,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id,new_addition
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-09-21 13:10:08.000000,2023-09-21 07:41:20,30889.0,500.0,4896.0,345.0,9879.0,1684.0,7980.0,11711.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1538.0,49,True,2023-08-17 23:02:23.000,1.11.2,96.0,scipy,conda-forge/scipy,,,,882780.0,819013.0,https://pypi.org/project/scipy,2023-08-17 22:08:09.000,63767.0,60860677.0,62096667.0,https://anaconda.org/conda-forge/scipy,2023-09-13 16:14:25.867,41891114.0,,,,,1.0,382133.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-09-21 10:16:26.000000,2023-09-20 22:54:48,48537.0,836.0,6873.0,590.0,17056.0,1185.0,8593.0,18106.0,matplotlib: plotting with Python.,1557.0,48,True,2023-09-15 02:33:40.000,3.8.0,77.0,matplotlib,conda-forge/matplotlib,,,,948640.0,948640.0,https://pypi.org/project/matplotlib,,,38383112.0,38909147.0,https://anaconda.org/conda-forge/matplotlib,2023-09-19 01:01:18.268,20515372.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-09-21 06:21:56.000000,2023-09-20 18:43:11,55839.0,1362.0,3997.0,289.0,12657.0,4826.0,8508.0,11320.0,A computer algebra system written in pure Python.,1251.0,48,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,87366.0,82726.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4640.0,10123714.0,10176682.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4290795.0,,,,,1.0,513569.0,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-09-21 10:56:40.000000,2023-09-20 12:21:33,15209.0,225.0,1916.0,222.0,4383.0,83.0,2818.0,11115.0,Python Imaging Library (Fork).,446.0,47,True,2023-09-15 14:02:24.000,10.0.1,52.0,Pillow,conda-forge/pillow,,,,1344836.0,1344836.0,https://pypi.org/project/Pillow,,,63812414.0,64674834.0,https://anaconda.org/conda-forge/pillow,2023-09-20 22:51:20.010,32771961.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-09-19 17:20:57.000000,2023-09-11 20:00:53,8346.0,50.0,19399.0,1924.0,6543.0,376.0,11524.0,59372.0,Deep Learning for humans.,1201.0,45,True,2023-09-12 16:19:40.000,2.14.0,82.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],652.0,13.0,https://pypi.org/project/keras,2023-09-11 17:21:02.000,639.0,11620763.0,11703810.0,https://anaconda.org/conda-forge/keras,2023-07-28 12:24:35.264,3238844.0,,,,,1.0,,-4.0,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-09-21 14:22:51.000000,2023-09-21 11:02:46,19181.0,1257.0,4705.0,459.0,24105.0,3301.0,12339.0,27685.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,916.0,45,True,2023-09-17 18:13:10.000,ray-2.7.0,91.0,ray,conda-forge/ray-tune,,,,11830.0,11419.0,https://pypi.org/project/ray,2023-09-17 17:48:25.000,411.0,3578411.0,3583342.0,https://anaconda.org/conda-forge/ray-tune,2023-08-17 00:56:02.998,162699.0,,,,,1.0,89.0,,,,,,,,,,,,,,,,,,,
16,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-09-21 13:56:50.000000,2023-09-21 13:38:25,9715.0,353.0,2942.0,237.0,9432.0,626.0,5835.0,24655.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",905.0,45,True,2023-09-14 19:22:12.000,2.0.9,102.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],24226.0,24226.0,https://pypi.org/project/pytorch-lightning,,,4110592.0,4135258.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-09-15 04:58:40.137,945424.0,,,,,1.0,13178.0,,,,,,,,,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-09-21 14:07:54.000000,2023-09-21 12:20:07,43844.0,1595.0,5341.0,726.0,40082.0,2046.0,16225.0,20856.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1107.0,45,True,2023-07-25 11:09:59.000,2.5.0,64.0,paddlepaddle,,,,['paddle'],4076.0,4000.0,https://pypi.org/project/paddlepaddle,2023-07-27 06:56:01.000,76.0,169194.0,169374.0,,,,,,,,1.0,15364.0,,,,,,,,,,,,,,,,,,,
18,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-09-21 10:27:05.000000,2023-09-21 08:26:25,20214.0,59.0,4122.0,448.0,5810.0,771.0,6665.0,17953.0,"Interactive Data Visualization in the browser, from Python.",669.0,45,True,2023-08-14 02:42:48.000,3.2.2,174.0,bokeh,conda-forge/bokeh,,,,79950.0,76206.0,https://pypi.org/project/bokeh,2023-08-14 02:42:48.000,3744.0,4885667.0,5209551.0,https://anaconda.org/conda-forge/bokeh,2023-08-14 08:47:36.698,12631494.0,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,
19,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-09-21 09:30:03.000000,2023-09-13 11:21:58,15993.0,54.0,4104.0,555.0,3871.0,73.0,5399.0,27142.0,Industrial-strength Natural Language Processing (NLP) in Python.,737.0,44,True,2023-08-08 14:45:58.000,3.6.1,100.0,spacy,conda-forge/spacy,,,,70022.0,70022.0,https://pypi.org/project/spacy,,,6330638.0,6413103.0,https://anaconda.org/conda-forge/spacy,2023-08-09 19:17:06.552,3216163.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-09-21 12:46:00.000000,2023-09-21 12:12:06,17483.0,921.0,2240.0,312.0,11009.0,1248.0,3273.0,24644.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",577.0,44,True,2023-09-19 01:49:31.000,jax-v0.4.16,81.0,jax,conda-forge/jaxlib,,,,17532.0,17532.0,https://pypi.org/project/jax,,,3170317.0,3193915.0,https://anaconda.org/conda-forge/jaxlib,2023-09-15 05:13:04.336,920332.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-09-21 08:56:42.000000,2023-09-21 01:45:31,4660.0,461.0,3551.0,293.0,6351.0,1244.0,2103.0,15296.0,Open source platform for the machine learning lifecycle.,637.0,44,True,2023-09-17 21:48:08.000,2.7.1,82.0,mlflow,conda-forge/mlflow,,,,24357.0,23870.0,https://pypi.org/project/mlflow,2023-09-17 18:36:26.000,487.0,14037372.0,14076386.0,https://anaconda.org/conda-forge/mlflow,2023-09-17 21:54:54.086,1521557.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-09-18 20:06:26.000000,2023-09-15 22:11:00,6199.0,137.0,2390.0,278.0,1551.0,1408.0,1350.0,14140.0,The interactive graphing library for Python This project now includes Plotly Express!.,244.0,44,True,2023-09-15 15:44:22.000,5.17.0,293.0,plotly,conda-forge/plotly,,,,207115.0,201939.0,https://pypi.org/project/plotly,2023-09-15 15:37:38.000,5170.0,11566793.0,11717706.0,https://anaconda.org/conda-forge/plotly,2023-09-15 18:28:38.444,4797966.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,6.0,30964.0,,,,,,,,,,,,,
23,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-09-21 11:56:50.000000,2023-09-21 11:56:50,7391.0,78.0,2973.0,276.0,3416.0,397.0,2857.0,13178.0,Network Analysis in Python.,670.0,44,True,2023-04-04 20:05:38.000,networkx-3.1,89.0,networkx,conda-forge/networkx,,,,200802.0,186204.0,https://pypi.org/project/networkx,2023-04-04 20:09:20.051,14598.0,27662177.0,27822334.0,https://anaconda.org/conda-forge/networkx,2023-06-16 13:18:51.990,13293077.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,,
24,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-09-13 17:51:48.000000,2023-09-01 10:54:50,15104.0,35.0,2577.0,277.0,3805.0,2495.0,2703.0,8861.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,44,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,102601.0,102601.0,https://pypi.org/project/statsmodels,,,11348962.0,11479510.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,11357695.0,,,,,1.0,29.0,,,,,,,,,,,,,,,,,,,
25,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-09-21 12:37:35.000000,2023-09-20 17:09:36,6557.0,146.0,8090.0,912.0,4675.0,310.0,4605.0,24583.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",623.0,43,True,2023-09-12 03:10:42.000,2.0.0,53.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,67001.0,67001.0,https://pypi.org/project/xgboost,,,10089145.0,10200850.0,https://anaconda.org/conda-forge/xgboost,2023-08-26 05:00:33.552,4242436.0,,,,,2.0,7115.0,,,,,,,,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-09-21 05:33:58.000000,2023-09-20 15:43:25,2520.0,117.0,3575.0,436.0,2943.0,324.0,2218.0,15548.0,Open standard for machine learning interoperability.,294.0,43,True,2023-08-25 21:00:03.000,1.14.1,30.0,onnx,conda-forge/onnx,,,,19380.0,18788.0,https://pypi.org/project/onnx,2023-08-25 20:34:27.000,592.0,3747956.0,3769607.0,https://anaconda.org/conda-forge/onnx,2023-09-11 18:49:12.565,833839.0,,,,,1.0,19253.0,,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-09-20 16:46:14.000000,2023-09-20 15:31:43,3348.0,59.0,3643.0,441.0,2989.0,285.0,2819.0,15475.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05.000,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,25260.0,25260.0,https://pypi.org/project/lightgbm,,,6563585.0,6621913.0,https://anaconda.org/conda-forge/lightgbm,2023-09-12 13:54:11.699,2005779.0,,,,,2.0,201177.0,,,,,,,,,,,,,,,,,,,
28,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-09-20 20:11:09.000000,2023-09-20 15:35:57,7868.0,67.0,1645.0,216.0,5453.0,955.0,4027.0,11392.0,Parallel computing with task scheduling.,586.0,43,True,2023-09-15 20:50:59.000,2023.9.2,180.0,dask,conda-forge/dask,,,,55700.0,52718.0,https://pypi.org/project/dask,2023-09-15 20:50:59.000,2982.0,9943848.0,10196181.0,https://anaconda.org/conda-forge/dask,2023-09-16 01:35:45.062,10093325.0,,,,,1.0,,,,,,,,stable/dask,,,,,,,,,,,,
29,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-09-21 04:29:45.000000,2023-09-20 23:43:22,5656.0,117.0,1604.0,193.0,4772.0,640.0,1204.0,6352.0,TensorFlows Visualization Toolkit.,305.0,43,True,2023-08-08 22:35:21.000,2.14.0,53.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],191222.0,188470.0,https://pypi.org/project/tensorboard,2023-08-08 22:35:21.000,2752.0,20755152.0,20864965.0,https://anaconda.org/conda-forge/tensorboard,2023-08-09 15:42:17.420,4282719.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
30,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-09-21 14:47:19.000000,2023-09-20 19:03:55,5674.0,391.0,1477.0,134.0,2468.0,418.0,2377.0,22039.0,"Wrap UIs around any model, share with anyone.",205.0,42,True,2023-09-19 04:12:50.000,3.44.4,500.0,gradio,,,,,13851.0,13693.0,https://pypi.org/project/gradio,2023-09-20 12:03:20.000,158.0,4515404.0,4515404.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-09-21 11:58:38.000000,2023-09-21 11:19:13,3684.0,143.0,6768.0,394.0,5004.0,931.0,2207.0,14543.0,"Datasets, Transforms and Models specific to Computer Vision.",550.0,42,True,2023-05-08 20:12:27.000,0.15.2,37.0,torchvision,conda-forge/torchvision,,,['pytorch'],4518.0,13.0,https://pypi.org/project/torchvision,2023-05-08 17:33:10.987,4505.0,7110668.0,7139482.0,https://anaconda.org/conda-forge/torchvision,2023-06-22 22:01:34.204,852562.0,,,,,1.0,30518.0,4.0,,,,,,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-09-21 14:40:08.000000,2023-09-21 14:39:59,4515.0,59.0,2024.0,1701.0,4333.0,227.0,2535.0,11196.0,WebGL2 powered visualization framework.,238.0,42,True,2023-09-21 09:29:00.287,8.9.30,613.0,pydeck,conda-forge/pydeck,,,['jupyter'],7024.0,6517.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,40.0,1445505.0,1846927.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,439503.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-09-21 09:29:00.287,467.0,391201.0,,,,,,,,,,,,,
33,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-09-18 14:23:15.000000,2023-09-18 14:23:14,3176.0,26.0,1706.0,258.0,1036.0,107.0,2274.0,11149.0,Statistical data visualization in Python.,199.0,42,True,2022-12-30 19:12:05.000,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,303284.0,303284.0,https://pypi.org/project/seaborn,,,9879233.0,9966989.0,https://anaconda.org/conda-forge/seaborn,2023-06-16 13:21:42.625,7459140.0,,,,,1.0,268.0,,,,,,,,,,,,,,,,,,,
34,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-09-15 20:01:59.000000,2023-09-15 20:01:58,3565.0,52.0,751.0,149.0,1262.0,199.0,1677.0,8464.0,Declarative statistical visualization library for Python.,157.0,42,True,2023-08-30 11:35:46.000,5.1.1,37.0,altair,conda-forge/altair,,,,75191.0,74599.0,https://pypi.org/project/altair,2023-08-30 11:28:40.000,592.0,14708043.0,14803730.0,https://anaconda.org/conda-forge/altair,2023-08-30 19:10:45.196,2009410.0,,,,,1.0,88.0,,,,,,,,,,,,,,,,,,,
35,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-09-21 13:28:00.000000,2023-09-21 13:28:00,13693.0,59.0,2092.0,187.0,4241.0,517.0,1995.0,5583.0,Image processing in Python.,626.0,42,False,2023-06-02 05:03:22.000,0.21.0,22.0,scikit-image,conda-forge/scikit-image,,,,154260.0,154260.0,https://pypi.org/project/scikit-image,,,8043622.0,8186354.0,https://anaconda.org/conda-forge/scikit-image,2023-07-08 14:10:33.891,5566586.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-09-21 14:09:36.000000,2023-09-20 23:33:02,1828.0,218.0,3368.0,309.0,2135.0,804.0,1352.0,28456.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",244.0,41,True,2023-09-11 21:12:04.000,0.10.3,71.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4315.0,4242.0,https://pypi.org/project/deepspeed,2023-09-11 21:07:54.000,73.0,413963.0,414352.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17150.0,1.0,,,,,,,,,,,,,,,,,,,,
37,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-09-21 14:45:20.000000,2023-09-21 08:39:52,5790.0,220.0,2369.0,299.0,3718.0,662.0,2951.0,27226.0,Streamlit A faster way to build and share data apps.,197.0,41,True,2023-09-20 19:43:02.000,1.26.0,205.0,streamlit,,,,,1985.0,987.0,https://pypi.org/project/streamlit,2023-08-24 21:21:06.000,998.0,2177519.0,2177519.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
38,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-09-18 15:01:54.000000,2023-09-15 09:25:20,2505.0,102.0,2920.0,260.0,696.0,1403.0,901.0,20136.0,A game theoretic approach to explain the output of any machine learning model.,220.0,41,True,2023-07-15 11:15:28.000,0.42.1,49.0,shap,conda-forge/shap,,,,13313.0,13313.0,https://pypi.org/project/shap,,,7121620.0,7184967.0,https://anaconda.org/conda-forge/shap,2023-07-26 09:30:41.606,2090465.0,,,,,1.0,,,,,,,,,shap/shap,,,,,,,,,,,
