,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
12,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-07-08 13:50:14.000000,2021-07-08 12:02:37.000000,24097,235.0,,30282.0,30658.0,Apache Spark Python API.,2492.0,38,True,2021-05-27 17:18:30.000000,3.1.2,26.0,pyspark,conda-forge/pyspark,,,['spark'],1363.0,603.0,https://pypi.org/project/pyspark,2021-05-27 17:18:30.000000,760.0,11685972.0,11707879.0,https://anaconda.org/conda-forge/pyspark,2021-05-29 01:33:32.376000,1139166.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,
13,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-07-08 14:51:47.000000,2021-07-08 14:30:45.000000,5632,2330.0,7644.0,17574.0,,The fundamental package for scientific computing with Python.,1284.0,38,True,2021-06-22 14:00:04.000000,1.21.0,101.0,numpy,conda-forge/numpy,,,,931310.0,761588.0,https://pypi.org/project/numpy,2021-06-22 13:39:59.000000,169722.0,79820008.0,80163777.0,https://anaconda.org/conda-forge/numpy,2021-06-23 00:23:44.138000,20912279.0,,,,,1.0,362614.0,,,,,,,,,,,,,,,,,,,,
14,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-07-08 11:26:21.000000,2021-07-08 08:33:58.000000,7983,296.0,3816.0,21259.0,5392.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",524.0,37,True,2021-05-13 11:35:17.000000,1.4.2,57.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,20563.0,18971.0,https://pypi.org/project/xgboost,2021-05-13 11:49:10.000000,1592.0,6195975.0,6229705.0,https://anaconda.org/conda-forge/xgboost,2021-04-29 20:56:44.761000,1752464.0,,,,,1.0,2613.0,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-07-08 11:31:23.003000,2021-07-08 07:32:14.000000,3492,96.0,4640.0,20844.0,14672.0,Industrial-strength Natural Language Processing (NLP) in Python.,597.0,37,True,2021-07-07 14:34:37.000000,3.1.0,180.0,spacy,conda-forge/spacy,,,,30182.0,27116.0,https://pypi.org/project/spacy,2021-07-07 14:33:50.000000,3066.0,2696393.0,2737381.0,https://anaconda.org/conda-forge/spacy,2021-07-08 11:31:23.003000,2169582.0,,,,,1.0,3044.0,,,,,,,,,,,,,,,,,,,,
16,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-07-06 00:59:08.000000,2021-06-18 19:22:56.000000,1423,92.0,1781.0,8559.0,2781.0,Statistical data visualization in Python.,153.0,37,True,2021-03-29 17:36:25.000000,joss_paper,23.0,seaborn,conda-forge/seaborn,,,,116905.0,104119.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,9083099.0,9125770.0,https://anaconda.org/conda-forge/seaborn,2021-01-28 11:50:33.609000,2517561.0,,,,,1.0,167.0,,,,,,,,,,,,,,,,,,,,
17,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-07-08 14:54:11.000000,2021-07-08 14:54:06.000000,1956,167.0,619.0,8130.0,9507.0,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,694.0,37,True,2021-04-26 21:13:42.000000,4.0.0,32.0,pyarrow,conda-forge/arrow,,,,1033.0,47.0,https://pypi.org/project/pyarrow,2021-05-30 17:16:04.000000,986.0,25200789.0,25211344.0,https://anaconda.org/conda-forge/arrow,2021-06-24 17:36:08.348000,654436.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
18,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-07-08 13:52:57.000000,2021-07-08 11:24:46.000000,11459,413.0,6877.0,48197.0,7522.0,"Transformers: State-of-the-art Natural Language Processing for Pytorch, TensorFlow, and JAX.",933.0,36,True,2021-06-30 12:42:38.000000,4.8.2,62.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",13305.0,13177.0,https://pypi.org/project/transformers,2021-06-30 12:31:04.000000,128.0,2924280.0,2926733.0,https://anaconda.org/conda-forge/transformers,2021-06-30 16:31:05.853000,50646.0,,,,,1.0,1360.0,,,,,,,,,,,,,,,,,,,,
19,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-07-01 13:13:26.000000,2021-05-17 23:19:33.000000,7031,312.0,1071.0,24575.0,1245.0,A toolkit for developing and comparing reinforcement learning algorithms.,275.0,36,True,2021-05-18 00:09:21.000000,0.18.3,93.0,gym,,,,,25061.0,21499.0,https://pypi.org/project/gym,2021-05-18 00:09:21.000000,3562.0,710673.0,710673.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-07-08 03:12:39.000000,2021-07-07 13:29:53.000000,3306,121.0,2206.0,12719.0,2598.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",235.0,36,True,2021-04-12 23:03:24.000000,3.2.1,25.0,lightgbm,conda-forge/lightgbm,,,,8393.0,7837.0,https://pypi.org/project/lightgbm,2021-03-22 15:04:09.000000,556.0,3629145.0,3644615.0,https://anaconda.org/conda-forge/lightgbm,2021-04-20 13:04:15.819000,639455.0,,,,,1.0,109641.0,,,,,,,,,,,,,,,,,,,,
21,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-07-07 08:51:00.000000,2021-06-29 09:09:24.000000,4025,378.0,1319.0,12220.0,4144.0,Topic Modelling for Humans.,408.0,36,True,2021-04-01 14:19:26.000000,4.0.1,85.0,gensim,conda-forge/gensim,,,,29772.0,25030.0,https://pypi.org/project/gensim,2021-03-25 13:43:34.000000,4742.0,7712626.0,7727500.0,https://anaconda.org/conda-forge/gensim,2021-06-15 14:29:56.801000,682033.0,,,,,1.0,3313.0,,,,,,,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-07-07 09:08:53.000000,2021-06-28 21:03:29.000000,1828,902.0,1114.0,9802.0,5126.0,The interactive graphing library for Python (includes Plotly Express).,178.0,36,True,2021-06-28 21:06:45.000000,5.1.0,269.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-06-28 19:35:15.000000,4982.0,5722281.0,5794876.0,https://anaconda.org/conda-forge/plotly,2021-06-28 22:31:25.796000,1551542.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,46298.0,,,,,,,,,,,,,
23,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-07-08 11:30:52.000000,2021-07-08 08:34:16.000000,4839,474.0,1337.0,9404.0,1869.0,"Datasets, Transforms and Models specific to Computer Vision.",403.0,36,True,2021-06-15 16:00:00.000000,0.10.0,24.0,torchvision,conda-forge/torchvision,,,['pytorch'],60297.0,55685.0,https://pypi.org/project/torchvision,2021-06-15 16:00:00.000000,4612.0,1673298.0,1675095.0,https://anaconda.org/conda-forge/torchvision,2021-07-01 17:23:25.774000,77281.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-07-08 14:48:59.000000,2021-07-08 14:48:59.000000,3416,4148.0,7410.0,8230.0,47405.0,A computer algebra system written in pure Python.,1081.0,36,True,2021-04-09 22:38:24.000000,sympy-1.8,37.0,sympy,conda-forge/sympy,,,,39847.0,33425.0,https://pypi.org/project/sympy,2021-04-09 22:41:01.000000,6422.0,1516691.0,1546243.0,https://anaconda.org/conda-forge/sympy,2021-04-10 01:00:41.286000,1556249.0,,,,,1.0,427483.0,,,,,,,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-07-08 13:33:21.000000,2021-07-08 13:33:20.000000,1401,551.0,992.0,5554.0,4618.0,TensorFlow's Visualization Toolkit.,261.0,36,True,2021-04-19 18:42:18.000000,2.5.0,37.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],74478.0,70864.0,https://pypi.org/project/tensorboard,2021-01-14 20:49:19.000000,3614.0,10221152.0,10270235.0,https://anaconda.org/conda-forge/tensorboard,2021-06-11 23:53:46.549000,2159657.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
26,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-07-01 13:51:17.000000,2021-06-11 10:31:40.000000,289,291.0,365.0,2482.0,1375.0,Computing with Python functions.,102.0,36,True,2021-02-09 16:46:29.000000,1.0.1,100.0,joblib,conda-forge/joblib,,,,120600.0,113990.0,https://pypi.org/project/joblib,2021-02-09 16:46:29.000000,6610.0,26320401.0,26395334.0,https://anaconda.org/conda-forge/joblib,2021-02-09 19:26:28.194000,4495988.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-07-08 08:59:20.000000,2021-07-08 08:56:35.000000,409,214.0,1004.0,1536.0,3684.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,164.0,36,True,2021-06-22 12:06:46.000000,3.3.0,28.0,h5py,conda-forge/h5py,,,,145756.0,122820.0,https://pypi.org/project/h5py,2021-06-22 12:26:45.000000,22936.0,11674194.0,11760725.0,https://anaconda.org/conda-forge/h5py,2021-06-23 03:02:36.658000,5536595.0,,,,,2.0,1183.0,,,,,,,,,,,,,,,,,,,,
28,Ray,ray-project/ray,,distributed-ml,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000000,2021-07-08 14:56:12.000000,2021-07-08 06:42:26.000000,2740,1710.0,5597.0,16547.0,8620.0,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",515.0,35,True,2021-06-30 22:04:46.000000,1.4.1,49.0,ray,,,,,2556.0,2396.0,https://pypi.org/project/ray,2021-06-30 22:04:46.000000,160.0,534818.0,534818.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-07-08 07:51:04.000000,2021-07-03 22:51:32.000000,2467,239.0,1256.0,9974.0,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,397.0,35,True,2021-04-07 21:36:50.000000,3.6.1,41.0,nltk,conda-forge/nltk,,,,127876.0,106884.0,https://pypi.org/project/nltk,2021-04-07 21:36:50.000000,20992.0,12427964.0,12441037.0,https://anaconda.org/conda-forge/nltk,2021-04-20 15:34:03.018000,771334.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
30,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-07-08 14:19:30.000000,2021-07-07 21:15:01.000000,2341,284.0,2397.0,9313.0,,Network Analysis in Python.,530.0,35,True,2021-04-03 22:22:02.000000,2.5.1,55.0,networkx,conda-forge/networkx,,,,99999.0,79181.0,https://pypi.org/project/networkx,2021-06-23 06:46:26.000000,20818.0,11921157.0,11990033.0,https://anaconda.org/conda-forge/networkx,2021-04-04 01:32:23.917000,3925959.0,,,,,1.0,54.0,,,,,,,,,,,,,,,,,,,,
31,MXNet,apache/incubator-mxnet,,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15.000000,2021-07-08 11:15:41.000000,2021-07-07 23:43:41.000000,6861,1917.0,7652.0,19547.0,11624.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",961.0,34,True,2021-03-21 14:56:00.000000,1.8.0,980.0,mxnet,mxnet,,,['mxnet'],2617.0,2173.0,https://pypi.org/project/mxnet,2021-03-31 20:05:38.000000,444.0,214154.0,214685.0,https://anaconda.org/anaconda/mxnet,2020-02-29 00:58:31.007000,6280.0,,,,,2.0,23906.0,,,,,,,,0.0,,,,,,,,,,,,
32,luigi,spotify/luigi,,data-pipelines,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38.000000,2021-07-07 10:21:38.000000,2021-07-07 10:18:00.000000,2266,87.0,844.0,14728.0,3994.0,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",556.0,34,True,2021-04-17 01:06:10.000000,3.0.3,72.0,luigi,luigi,,,,2153.0,1477.0,https://pypi.org/project/luigi,2020-09-23 11:57:12.000000,676.0,794642.0,794756.0,https://anaconda.org/anaconda/luigi,2021-04-17 18:49:18.708000,7410.0,,,,,1.0,,stable/luigi,,,,,,,0.0,,,,,,,,,,,,
33,pytorch-lightning,PyTorchLightning/pytorch-lightning,,ml-frameworks,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000000,2021-07-08 14:04:16.000000,2021-07-08 14:02:09.000000,1700,327.0,3264.0,14420.0,5226.0,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",489.0,34,True,2021-07-01 14:07:05.000000,1.3.8,177.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],3687.0,3673.0,https://pypi.org/project/pytorch-lightning,2021-07-01 14:07:05.000000,14.0,528725.0,542876.0,https://anaconda.org/conda-forge/pytorch-lightning,2021-07-01 17:14:15.252000,181964.0,,,,,2.0,3705.0,,,,,,,,,,,,,,,,,,,,
34,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-07-07 09:23:32.000000,2021-05-17 19:05:26.000000,1916,1090.0,537.0,13197.0,1930.0,A game theoretic approach to explain the output of any machine learning model.,156.0,34,True,2021-03-03 18:38:33.000000,0.39.0,93.0,shap,conda-forge/shap,,,,3066.0,2930.0,https://pypi.org/project/shap,2021-01-15 21:02:34.000000,136.0,2410733.0,2426590.0,https://anaconda.org/conda-forge/shap,2021-04-29 12:11:05.706000,555025.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
35,onnx,onnx/onnx,,model-serialisation,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000000,2021-07-08 15:07:59.000000,2021-07-02 21:24:44.000000,2001,494.0,1132.0,10925.0,1767.0,Open standard for machine learning interoperability.,202.0,34,True,2021-04-19 19:22:57.000000,1.9.0,21.0,onnx,conda-forge/onnx,,,,3803.0,3507.0,https://pypi.org/project/onnx,2021-04-19 19:22:57.000000,296.0,1849173.0,1855370.0,https://anaconda.org/conda-forge/onnx,2021-05-08 08:02:42.009000,258032.0,,,,,1.0,15022.0,,,,,,,,,,,,,,,,,,,,
36,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-06-05 14:19:15.755000,2021-04-13 19:05:58.000000,2514,674.0,2085.0,9432.0,28126.0,"Theano was a Python library that allows you to define, optimize, and evaluate mathematical expressions involving..",384.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,16725.0,11251.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,248622.0,275103.0,https://anaconda.org/conda-forge/theano,2021-06-05 14:19:15.755000,1588863.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
37,pydeck,visgl/deck.gl,,geospatial-data,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000000,2021-07-08 04:47:51.000000,2021-07-08 03:54:22.000000,1575,97.0,2077.0,8800.0,3707.0,WebGL2 powered geospatial visualization layers.,169.0,34,True,2021-07-01 22:44:05.000000,8.4.20,479.0,pydeck,conda-forge/pydeck,,,['jupyter'],2198.0,1636.0,https://pypi.org/project/pydeck,2021-04-13 02:26:45.000000,2.0,338712.0,550834.0,https://anaconda.org/conda-forge/pydeck,2021-04-13 20:41:22.066000,39454.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2021-07-06 06:10:52.046000,560.0,209802.0,,,,,,,,,,,,,
38,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-07-08 04:28:07.000000,2021-07-07 22:47:45.000000,1290,754.0,3079.0,8538.0,,Parallel computing with task scheduling.,455.0,34,True,2021-06-22 16:57:56.000000,2021.6.2,121.0,dask,conda-forge/dask,,,,32783.0,28867.0,https://pypi.org/project/dask,2021-06-22 16:57:56.000000,3916.0,4515518.0,4574346.0,https://anaconda.org/conda-forge/dask,2021-06-23 01:41:22.341000,3647341.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,
