,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,new_addition,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-04-29 16:58:58.000000,2022-04-29 16:58:58,27741,497.0,4146,330.0,7949.0,1799.0,6683.0,9529,"Ecosystem of open-source software for mathematics, science, and engineering.",1264.0,49,True,2022-02-05 23:29:16.000,1.8.0,77.0,scipy,conda-forge/scipy,,,,558066.0,501230.0,https://pypi.org/project/scipy,2022-02-05 22:53:25.000,56836.0,41689263.0,42009366.0,https://anaconda.org/conda-forge/scipy,2022-02-09 01:10:04.440,22426519.0,,,,,1.0,343219.0,,,,,,,,,,,,,,,,,,,,
11,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-04-29 11:08:31.000000,2022-04-29 11:08:31,11915,88.0,4266,476.0,2587.0,539.0,4185.0,19221,Asynchronous task queue/job queue based on distributed message passing.,1209.0,46,True,2022-04-05 08:37:09.000,5.2.6,190.0,celery,conda-forge/celery,,,,83590.0,68731.0,https://pypi.org/project/celery,2022-04-05 08:37:09.000,14859.0,5012379.0,5023579.0,https://anaconda.org/conda-forge/celery,2022-04-27 14:43:42.320,817655.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-04-29 17:24:39.000000,2022-04-29 17:24:39,15958,1064.0,10422,739.0,16447.0,947.0,4579.0,25986,"Platform to programmatically author, schedule, and monitor workflows.",2377.0,45,True,2022-04-04 09:30:39.000,2.2.5,109.0,apache-airflow,conda-forge/airflow,apache/airflow,,,463.0,,https://pypi.org/project/apache-airflow,2022-04-27 20:40:28.000,463.0,5792690.0,6642473.0,https://anaconda.org/conda-forge/airflow,2022-04-04 14:18:26.777,588470.0,https://hub.docker.com/r/apache/airflow,2022-04-27 09:54:25.995016,332.0,70247846.0,1.0,282128.0,stable/airflow,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-04-29 16:57:55.000000,2022-04-29 10:54:00,13091,527.0,1824,211.0,3734.0,110.0,2374.0,9718,The friendly PIL fork (Python Imaging Library).,394.0,45,True,2022-04-01 14:40:43.000,9.1.0,87.0,Pillow,conda-forge/pillow,,,,62658.0,,https://pypi.org/project/Pillow,2022-04-01 14:37:06.000,62658.0,41407704.0,41606565.0,https://anaconda.org/conda-forge/pillow,2022-04-13 03:19:38.560,14318000.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-04-29 16:47:44.000000,2022-04-28 22:21:31,6838,411.0,19076,1961.0,5207.0,322.0,10994.0,55065,Deep Learning for humans.,1058.0,44,True,2022-02-03 05:13:44.000,2.8.0,64.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],284.0,,https://pypi.org/project/keras,2022-04-22 17:58:51.000,284.0,8844551.0,8876911.0,https://anaconda.org/conda-forge/keras,2022-02-04 15:14:03.939,2200541.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-04-29 14:56:06.768000,2022-04-28 12:09:35,15410,142.0,3820,558.0,3053.0,99.0,5011.0,23227,Industrial-strength Natural Language Processing (NLP) in Python.,678.0,44,True,2022-04-29 07:49:22.000,3.3.0,194.0,spacy,conda-forge/spacy,,,,40560.0,38241.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2319.0,4398027.0,4440224.0,https://anaconda.org/conda-forge/spacy,2022-04-29 14:56:06.768,2613323.0,,,,,1.0,3137.0,,,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-04-29 16:45:38.000000,2022-04-29 11:41:39,5753,111.0,8362,936.0,3481.0,276.0,4134.0,22552,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",558.0,44,True,2022-04-16 04:09:35.000,1.6.0,63.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,31457.0,30128.0,https://pypi.org/project/xgboost,2022-04-16 04:09:35.000,1329.0,7675461.0,7717562.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2565677.0,,,,,1.0,3997.0,,,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-04-29 17:19:52.000000,2022-04-29 17:11:07,12301,1191.0,3495,426.0,14263.0,2255.0,7818.0,20167,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",671.0,44,True,2022-04-14 17:04:21.000,1.12.0,70.0,ray,conda-forge/ray-tune,,,,4884.0,4623.0,https://pypi.org/project/ray,2022-04-14 17:04:21.000,261.0,974545.0,976168.0,https://anaconda.org/conda-forge/ray-tune,2022-04-07 20:54:56.642,25969.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-04-29 07:00:31.000000,2022-04-29 02:34:30,19538,55.0,3912,461.0,5141.0,709.0,6194.0,16235,"Interactive Data Visualization in the browser, from Python.",602.0,44,True,2021-11-22 17:49:14.000,2.4.2,120.0,bokeh,conda-forge/bokeh,,,,54054.0,50528.0,https://pypi.org/project/bokeh,2022-04-27 03:15:18.000,3526.0,4901344.0,5019100.0,https://anaconda.org/conda-forge/bokeh,2022-04-13 06:00:47.827,7065411.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-04-29 12:05:14.000000,2022-04-13 03:25:55,14267,31.0,2572,474.0,1349.0,222.0,1393.0,10685,Suite of libraries and programs for symbolic and statistical natural language processing for English.,417.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,151742.0,139922.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,12671674.0,12689368.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1203225.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-04-29 17:11:52.000000,2022-04-28 19:17:25,7145,194.0,1471,224.0,4592.0,740.0,3595.0,9812,Parallel computing with task scheduling.,528.0,44,True,2022-04-15 20:57:39.000,2022.4.1,140.0,dask,conda-forge/dask,,,,38822.0,36216.0,https://pypi.org/project/dask,2022-04-15 20:57:39.000,2606.0,5758098.0,5834219.0,https://anaconda.org/conda-forge/dask,2022-04-16 04:09:25.891,5404629.0,,,,,1.0,,stable/dask,1.0,,,,,,,,,,,,,,,,,,
21,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-04-29 16:41:02.000000,2022-04-28 16:27:37,50795,802.0,3654,291.0,11480.0,4450.0,7901.0,9118,A computer algebra system written in pure Python.,1138.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,45757.0,41625.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1767637.0,1800024.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,1994568.0,,,,,1.0,450982.0,,,,,,,,,,,,,,,,,,,,
22,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-04-29 10:26:45.000000,2022-04-26 23:17:18,13196,120.0,1994,183.0,3735.0,623.0,1817.0,4876,Image processing in Python.,552.0,44,True,2022-02-17 18:25:54.000,0.19.2,44.0,scikit-image,conda-forge/scikit-image,,,,110348.0,101107.0,https://pypi.org/project/scikit-image,2022-02-17 18:24:44.000,9241.0,5381692.0,5428869.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3349620.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
23,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-04-29 16:29:06.000000,2022-04-29 15:37:08,11334,994.0,1581,265.0,6327.0,1058.0,2218.0,17302,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",389.0,43,True,2022-04-16 13:26:05.000,0.3.7,114.0,jax,conda-forge/jaxlib,,,,4468.0,4181.0,https://pypi.org/project/jax,2022-04-16 13:26:05.000,287.0,404982.0,414123.0,https://anaconda.org/conda-forge/jaxlib,2022-04-10 09:48:43.977,301684.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-04-29 14:18:44.000000,2022-04-28 22:08:33,6805,126.0,2581,274.0,2615.0,363.0,2508.0,10665,Network Analysis in Python.,588.0,43,True,2022-04-09 22:35:15.000,networkx-2.8,74.0,networkx,conda-forge/networkx,,,,118892.0,105638.0,https://pypi.org/project/networkx,2022-04-09 22:38:56.000,13254.0,17306622.0,17399818.0,https://anaconda.org/conda-forge/networkx,2022-04-10 05:15:19.223,6150977.0,,,,,1.0,59.0,,,,,,,,,,,,,,,,,,,,
25,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-04-27 03:23:55.000000,2022-04-26 05:14:59,14560,93.0,2431,261.0,3545.0,2266.0,2512.0,7321,Statsmodels: statistical modeling and econometrics in Python.,366.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,66656.0,62143.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,7875465.0,7960686.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,5965497.0,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,,,
26,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-04-29 16:53:46.000000,2022-04-27 20:11:15,5023,96.0,1472,194.0,4047.0,554.0,1114.0,5843,TensorFlows Visualization Toolkit.,278.0,43,True,2022-01-20 21:11:31.000,2.8.0,40.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],107734.0,105433.0,https://pypi.org/project/tensorboard,2022-01-20 21:11:31.000,2301.0,13921842.0,13975921.0,https://anaconda.org/conda-forge/tensorboard,2022-02-04 23:08:31.070,2866199.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-04-29 15:48:00.000000,2022-04-29 11:18:41,33041,789.0,25366,2080.0,36388.0,247.0,,32723,Apache Spark Python API.,2661.0,42,True,2022-01-26 05:20:58.000,3.2.1,29.0,pyspark,conda-forge/pyspark,,,['spark'],791.0,,https://pypi.org/project/pyspark,2022-01-26 05:20:58.000,791.0,20237474.0,20263280.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1574224.0,,,,,2.0,,stable/spark,,,,,,,,,,,,,,,,,,,
28,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-04-29 16:46:40.000000,2022-04-29 13:23:02,6903,471.0,2321,220.0,6105.0,533.0,4484.0,18203,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",665.0,42,True,2022-04-27 17:15:19.000,1.6.2,208.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],8882.0,8530.0,https://pypi.org/project/pytorch-lightning,2022-04-27 17:15:19.000,352.0,2706077.0,2725394.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-04-28 02:01:15.146,420698.0,,,,,2.0,6451.0,,,,,,,,,,,,,,,,,,,,
29,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-04-29 11:44:35.000000,2022-04-26 01:32:51,2945,90.0,3459,447.0,2534.0,174.0,2467.0,13721,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",257.0,42,True,2022-01-07 15:20:18.000,3.3.2,28.0,lightgbm,conda-forge/lightgbm,,,,13310.0,12734.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,576.0,7234845.0,7254487.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,979506.0,,,,,2.0,147538.0,,,,,,,,,,,,,,,,,,,,
30,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-04-29 12:08:49.000000,2022-04-28 16:03:05,2680,253.0,5899,365.0,3632.0,705.0,1737.0,11525,"Datasets, Transforms and Models specific to Computer Vision.",480.0,42,True,2022-03-10 18:28:39.000,0.12.0,30.0,torchvision,conda-forge/torchvision,,,['pytorch'],3611.0,,https://pypi.org/project/torchvision,2022-03-10 16:45:51.000,3611.0,3697126.0,3701357.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,216415.0,,,,,1.0,4202.0,,,,,,,,,,,,,,,,,,,,
31,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-04-29 01:47:04.000000,2022-04-28 18:16:01,5423,48.0,2134,272.0,1331.0,1141.0,1171.0,11400,The interactive graphing library for Python (includes Plotly Express).,194.0,42,True,2022-04-05 16:31:26.000,5.7.0,278.0,plotly,conda-forge/plotly,,,,3969.0,9.0,https://pypi.org/project/plotly,2022-04-05 16:26:03.000,3956.0,7303957.0,7384418.0,https://anaconda.org/conda-forge/plotly,2022-04-05 18:41:54.292,2438435.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,44602.0,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-04-29 16:07:34.000000,2022-04-29 16:07:30,4028,105.0,1766,1744.0,3802.0,150.0,2266.0,9766,WebGL2 powered visualization framework.,191.0,42,True,2022-04-22 19:14:29.341,8.7.8,528.0,pydeck,conda-forge/pydeck,,,['jupyter'],4371.0,3964.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,22.0,983462.0,1274304.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,90542.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-04-22 19:14:29.341,385.0,287360.0,,,,,,,,,,,,,
33,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-04-29 13:00:39.000000,2022-04-26 15:18:37,1588,108.0,7784,996.0,1230.0,109.0,1452.0,27343,A toolkit for developing and comparing reinforcement learning algorithms.,356.0,41,True,2022-03-14 22:44:47.000,0.23.1,99.0,gym,conda-forge/gym,,,,31192.0,28762.0,https://pypi.org/project/gym,2022-03-14 22:44:47.000,2430.0,431356.0,435590.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,101632.0,,,,,1.0,,,-1.0,,,,,,,,,,,,,,,,,,
34,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-04-29 15:35:08.000000,2022-04-29 12:54:56,35545,1781.0,4465,729.0,27758.0,2888.0,12505.0,18075,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,725.0,41,True,2022-01-26 02:13:57.000,2.2.2,53.0,paddlepaddle,,,,['paddle'],157.0,109.0,https://pypi.org/project/paddlepaddle,2022-04-15 11:42:45.000,48.0,78296.0,78521.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,,,,,,,
35,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-04-29 15:52:07.000000,2022-04-29 15:52:07,4372,65.0,4094,431.0,1601.0,380.0,1387.0,13132,Topic Modelling for Humans.,430.0,41,True,2021-09-18 14:21:47.000,4.1.2,89.0,gensim,conda-forge/gensim,,,,35508.0,32687.0,https://pypi.org/project/gensim,2021-09-17 00:24:57.000,2821.0,5208902.0,5223234.0,https://anaconda.org/conda-forge/gensim,2021-11-09 13:39:50.380,785823.0,,,,,1.0,3517.0,,,,,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-04-29 16:49:48.000000,2022-04-28 21:28:03,1940,51.0,2675,428.0,2196.0,276.0,1690.0,12426,Open standard for machine learning interoperability.,230.0,41,True,2022-02-17 21:58:59.000,1.11.0,25.0,onnx,conda-forge/onnx,,,,6934.0,6568.0,https://pypi.org/project/onnx,2022-02-17 19:16:40.000,366.0,1061454.0,1069132.0,https://anaconda.org/conda-forge/onnx,2022-04-24 20:16:13.541,389759.0,,,,,1.0,17555.0,,,,,,,,,,,,,,,,,,,,
37,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-04-29 15:52:35.000000,2022-04-29 06:16:23,2709,230.0,2645,273.0,3611.0,1029.0,1310.0,11746,Open source platform for the machine learning lifecycle.,395.0,41,True,2022-04-13 17:02:54.000,1.25.1,57.0,mlflow,conda-forge/mlflow,,,,300.0,,https://pypi.org/project/mlflow,2022-04-13 16:01:34.000,300.0,10153717.0,10168899.0,https://anaconda.org/conda-forge/mlflow,2022-04-13 23:51:35.810,546561.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
