,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,updated_github_id,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
23,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-05-22 13:18:26.000000,2025-05-22 13:18:26,20774.0,60.0,4219.0,433.0,6341.0,817.0,7159.0,19869.0,"Interactive Data Visualization in the browser, from Python.",710.0,45,True,2025-05-12 12:13:27.000,3.7.3,240.0,bokeh,conda-forge/bokeh,,,,104364.0,102411.0,https://pypi.org/project/bokeh,2025-05-12 12:13:27.000,1953.0,3418502.0,3699867.0,https://anaconda.org/conda-forge/bokeh,2025-05-12 23:15:08.842,16600581.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-05-02 04:33:22.000000,2025-05-02 04:33:22,14744.0,28.0,2928.0,458.0,1517.0,267.0,1598.0,14064.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,472.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,399757.0,394169.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,5588.0,34712927.0,34776605.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3183905.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-05-20 21:44:45.329000,2025-05-20 19:52:29,9565.0,90.0,1765.0,212.0,6287.0,1143.0,4418.0,13230.0,Parallel computing with task scheduling.,621.0,45,True,2025-05-20 19:54:20.000,2025.5.1,221.0,dask,conda-forge/dask,,,,77822.0,74901.0,https://pypi.org/project/dask,2025-05-20 19:54:20.000,2921.0,11528205.0,11748554.0,https://anaconda.org/conda-forge/dask,2025-05-20 21:44:45.329,13220974.0,,,,,1.0,,,,,,,,,stable/dask,,,,,,,,,,,
26,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-05-22 14:22:20.000000,2025-05-22 14:21:48,44467.0,738.0,28541.0,2015.0,50951.0,182.0,,41145.0,Apache Spark Python API.,3230.0,44,True,2025-02-27 09:16:31.000,3.5.5,51.0,pyspark,conda-forge/pyspark,,,['spark'],1862.0,,https://pypi.org/project/pyspark,2025-02-27 09:16:31.000,1862.0,45951936.0,46018149.0,https://anaconda.org/conda-forge/pyspark,2025-04-22 14:56:33.311,3906620.0,,,,,2.0,,,,,,,,,stable/spark,,,,,,,,,,,
27,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-05-22 12:01:10.000000,2025-05-22 12:00:48,16237.0,12.0,4510.0,564.0,4054.0,213.0,5541.0,31613.0,Industrial-strength Natural Language Processing (NLP) in Python.,765.0,44,True,2025-05-19 07:53:09.000,3.8.6,241.0,spacy,conda-forge/spacy,,,,136548.0,133360.0,https://pypi.org/project/spacy,2025-05-19 07:53:09.000,3188.0,18905335.0,19004335.0,https://anaconda.org/conda-forge/spacy,2025-05-20 06:41:40.051,5839246.0,,,,,1.0,2664.0,,,,,,1.0,,,,,,,,,,,,,
28,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-05-22 14:32:42.000000,2025-05-22 14:32:35,22101.0,2525.0,2963.0,119.0,5343.0,1302.0,4504.0,23015.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",553.0,44,True,2025-05-21 01:03:35.000,1.70.2-nightly,1147.0,litellm,,,,others,14276.0,13082.0,https://pypi.org/project/litellm,2025-05-21 00:12:21.000,1194.0,8910416.0,8910639.0,,,,,,,,1.0,671.0,,,,,,,,,,,,,,,,,,,
29,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-05-22 13:28:40.000000,2025-05-22 13:28:40,7771.0,529.0,4533.0,307.0,11222.0,1816.0,2840.0,20607.0,Open source platform for the machine learning lifecycle.,857.0,44,True,2025-04-24 09:56:38.000,2.22.0,138.0,mlflow,conda-forge/mlflow,,,,62688.0,61596.0,https://pypi.org/project/mlflow,2025-05-21 09:01:24.000,1092.0,17212806.0,17267341.0,https://anaconda.org/conda-forge/mlflow,2025-04-26 10:28:06.581,3217589.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
30,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-05-19 04:54:19.000000,2025-05-19 04:54:19,7990.0,77.0,3349.0,283.0,4148.0,369.0,3093.0,15772.0,Network Analysis in Python.,777.0,44,True,2024-10-21 12:40:41.000,networkx-3.4.2,99.0,networkx,conda-forge/networkx,,,,420466.0,409059.0,https://pypi.org/project/networkx,2025-05-09 15:49:39.000,11407.0,94372567.0,94762327.0,https://anaconda.org/conda-forge/networkx,2025-04-22 14:56:28.978,22216326.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,,
31,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-05-20 11:31:30.000000,2025-05-20 07:38:50,10615.0,106.0,3492.0,256.0,10508.0,943.0,6380.0,29503.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1011.0,43,True,2025-04-25 20:23:05.000,2.5.1.post0,287.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],48077.0,46403.0,https://pypi.org/project/pytorch-lightning,2025-04-25 20:24:27.000,1674.0,9541919.0,9568452.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-04-28 12:17:16.982,1549059.0,,,,,2.0,12516.0,,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-05-22 14:42:05.000000,2025-05-22 14:12:34,3181.0,166.0,3735.0,438.0,3782.0,322.0,2678.0,18978.0,Open standard for machine learning interoperability.,345.0,43,True,2025-05-12 23:07:37.000,1.18.0,36.0,onnx,conda-forge/onnx,,,,47593.0,46252.0,https://pypi.org/project/onnx,2025-05-12 22:01:31.000,1341.0,6953322.0,6983697.0,https://anaconda.org/conda-forge/onnx,2025-05-16 14:47:23.758,1776947.0,,,,,1.0,23518.0,,,,,,,,,,,,,,,,,,,
33,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2025-05-18 10:24:29.000000,2025-05-14 20:15:16,1556.0,106.0,2651.0,250.0,747.0,153.0,1464.0,17642.0,Download market data from Yahoo! Finances API.,133.0,43,True,2025-05-12 08:22:07.000,0.2.61,133.0,yfinance,ranaroussi/yfinance,,,,80198.0,79232.0,https://pypi.org/project/yfinance,2025-05-12 08:22:07.000,966.0,3484366.0,3486498.0,https://anaconda.org/ranaroussi/yfinance,2025-03-25 16:27:42.706,98086.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-05-14 15:22:26.000000,2025-05-14 15:22:26,1833.0,153.0,2574.0,144.0,711.0,1248.0,1150.0,16741.0,State-of-the-Art Text Embeddings.,222.0,43,True,2025-04-15 13:47:13.000,4.1.0,65.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],111017.0,108633.0,https://pypi.org/project/sentence-transformers,2025-04-15 13:46:12.000,2384.0,9345951.0,9358846.0,https://anaconda.org/conda-forge/sentence-transformers,2025-04-22 14:57:36.121,722170.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
35,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-05-22 15:08:15.000000,2025-05-22 14:25:43,4016.0,564.0,1912.0,198.0,4951.0,756.0,1015.0,15638.0,Development repository for the Triton language and compiler.,398.0,43,True,2025-04-09 20:27:25.000,3.3.0,198.0,triton,,,,,68686.0,68291.0,https://pypi.org/project/triton,2025-04-09 20:27:25.000,395.0,23509619.0,23509619.0,,,,,,,,1.0,,,,,,,,triton-lang/triton,,,,,,,,,,,,
36,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2025-04-22 14:56:26.328000,2025-01-26 16:55:13,3242.0,,1949.0,258.0,1142.0,168.0,2461.0,13144.0,Statistical data visualization in Python.,215.0,43,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,676917.0,666074.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,10843.0,24271123.0,24489814.0,https://anaconda.org/conda-forge/seaborn,2025-04-22 14:56:26.328,12902632.0,,,,,1.0,473.0,,,,,,1.0,,,,,,,,,,,,,
37,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-05-22 08:52:41.000000,2025-05-21 11:43:47,5172.0,68.0,2121.0,1663.0,5099.0,430.0,2780.0,12729.0,WebGL2 powered visualization framework.,289.0,43,True,2025-05-14 09:09:29.844,9.1.12,695.0,pydeck,conda-forge/pydeck,,,['jupyter'],9575.0,9071.0,https://pypi.org/project/pydeck,2025-03-21 15:25:17.000,157.0,8850938.0,9427425.0,https://anaconda.org/conda-forge/pydeck,2025-04-22 14:57:20.802,754954.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-05-14 09:09:29.844,347.0,563471.0,,,,,,,,,,,,,,
