,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-06-15 12:21:32.000000,2023-06-14 20:37:56,30319,566.0,4739,348.0,9539.0,1658.0,7760.0,11356,"Ecosystem of open-source software for mathematics, science, and engineering.",1477.0,49,True,2023-02-19 21:46:42.000,1.10.1,90.0,scipy,conda-forge/scipy,,,,816927.0,755311.0,https://pypi.org/project/scipy,2022-08-27 00:51:55.911,61616.0,55616275.0,56075998.0,https://anaconda.org/conda-forge/scipy,2023-05-12 19:18:42.399,38741422.0,,,,,1.0,374505.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-06-15 13:54:44.000000,2023-06-15 11:27:52,47414,682.0,6743,587.0,16566.0,1287.0,8254.0,17558,matplotlib: plotting with Python.,1528.0,48,True,2023-03-04 07:19:11.000,3.7.1,73.0,matplotlib,conda-forge/matplotlib,,,,864504.0,864504.0,https://pypi.org/project/matplotlib,,,32301488.0,32507984.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,19204143.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-06-15 00:09:06.000000,2023-06-14 13:01:45,14923,364.0,2050,219.0,4285.0,115.0,2727.0,10903,Python Imaging Library (Fork).,437.0,47,True,2023-04-01 09:33:34.000,9.5.0,92.0,Pillow,conda-forge/pillow,,,,1280076.0,1214856.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,65220.0,54519790.0,54861977.0,https://anaconda.org/conda-forge/pillow,2023-05-21 08:34:35.799,29428097.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-06-15 07:00:45.000000,2023-06-15 07:00:41,8272,378.0,19344,1912.0,6448.0,390.0,11447.0,58593,Deep Learning for humans.,1187.0,46,True,2023-05-01 21:51:04.013,2.13.0,78.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],577.0,,https://pypi.org/project/keras,2023-02-23 18:53:01.699,577.0,9885910.0,9923689.0,https://anaconda.org/conda-forge/keras,2023-03-25 02:52:58.755,3097954.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-06-15 08:48:53.000000,2023-06-15 08:48:52,54315,572.0,3975,290.0,12409.0,4752.0,8403.0,10861,A computer algebra system written in pure Python.,1226.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,70813.0,66352.0,https://pypi.org/project/sympy,2022-08-30 17:34:08.040,4461.0,9234414.0,9281094.0,https://anaconda.org/conda-forge/sympy,2023-05-15 20:27:39.985,3608171.0,,,,,1.0,503561.0,,,,,,,,,,,,,,,,,,,
15,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-06-14 18:51:01.000000,2023-06-14 18:51:01,15069,129.0,2536,275.0,3781.0,2456.0,2674.0,8578,Statsmodels: statistical modeling and econometrics in Python.,414.0,45,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,95393.0,95393.0,https://pypi.org/project/statsmodels,,,11360718.0,11481585.0,https://anaconda.org/conda-forge/statsmodels,2023-05-05 17:18:31.041,10152896.0,,,,,1.0,27.0,,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-06-15 07:36:01.000000,2023-06-14 15:48:41,15930,72.0,4134,553.0,3769.0,105.0,5348.0,26379,Industrial-strength Natural Language Processing (NLP) in Python.,726.0,44,True,2023-05-25 11:16:21.000,3.2.6,217.0,spacy,conda-forge/spacy,,,,64991.0,62321.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2670.0,5469193.0,5509804.0,https://anaconda.org/conda-forge/spacy,2023-05-16 12:39:45.588,3086496.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-06-15 14:24:59.000000,2023-06-15 07:17:57,17781,1365.0,4750,450.0,21991.0,2878.0,11530.0,26166,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,870.0,44,True,2023-06-08 16:59:57.000,ray-2.5.0,84.0,ray,conda-forge/ray-tune,,,,10427.0,10084.0,https://pypi.org/project/ray,2018-08-29 01:05:25.000,343.0,2105170.0,2109703.0,https://anaconda.org/conda-forge/ray-tune,2023-05-07 11:02:29.508,135975.0,,,,,1.0,83.0,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-06-15 13:44:48.000000,2023-06-14 23:39:26,6405,141.0,8600,914.0,4464.0,367.0,4512.0,24256,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",610.0,44,True,2023-03-30 19:47:07.654,1.7.5,73.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,60339.0,58761.0,https://pypi.org/project/xgboost,2023-01-06 19:21:10.487,1578.0,8870120.0,8923024.0,https://anaconda.org/conda-forge/xgboost,2023-06-02 10:01:13.176,3963368.0,,,,,1.0,6683.0,,,,,,,,,,,,,,,,,,,
19,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-06-15 13:33:48.000000,2023-06-15 09:57:01,16443,1144.0,2117,312.0,10180.0,1157.0,3107.0,23513,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",551.0,44,True,2023-06-08 23:51:45.000,jax-v0.4.12,75.0,jax,conda-forge/jaxlib,,,,13763.0,13763.0,https://pypi.org/project/jax,,,4468961.0,4485658.0,https://anaconda.org/conda-forge/jaxlib,2023-06-10 19:55:47.558,784786.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-06-15 13:54:04.000000,2023-06-15 03:53:04,20143,108.0,4109,448.0,5730.0,738.0,6611.0,17668,"Interactive Data Visualization in the browser, from Python.",660.0,44,True,2023-05-05 21:55:55.730,3.1.1,168.0,bokeh,conda-forge/bokeh,,,,74433.0,70779.0,https://pypi.org/project/bokeh,2022-12-20 09:06:57.840,3654.0,3275286.0,3430951.0,https://anaconda.org/conda-forge/bokeh,2023-05-10 15:00:00.656,11519254.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-06-15 13:54:59.000000,2023-06-15 12:49:03,4177,355.0,3395,290.0,5654.0,1119.0,1977.0,14584,Open source platform for the machine learning lifecycle.,587.0,44,True,2023-06-10 01:41:14.675,2.4.1,77.0,mlflow,conda-forge/mlflow,,,,20786.0,20351.0,https://pypi.org/project/mlflow,2020-03-03 02:08:10.000,435.0,10411447.0,10438152.0,https://anaconda.org/conda-forge/mlflow,2023-06-10 05:41:45.868,1335285.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-06-15 09:28:18.000000,2023-06-08 18:09:49,7312,99.0,2927,281.0,3313.0,385.0,2801.0,12763,Network Analysis in Python.,653.0,44,True,2023-04-04 20:05:38.000,networkx-3.1,89.0,networkx,conda-forge/networkx,,,,178641.0,164486.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,14155.0,26152610.0,26301201.0,https://anaconda.org/conda-forge/networkx,2023-04-05 11:11:39.426,11887348.0,,,,,1.0,64.0,,,,,,,,,,,,,,,,,,,
23,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-06-15 06:44:15.000000,2023-06-15 00:41:06,3282,55.0,3610,444.0,2912.0,267.0,2740.0,15060,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",283.0,43,True,2023-01-24 03:15:36.000,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,22567.0,22567.0,https://pypi.org/project/lightgbm,,,5727453.0,5755133.0,https://anaconda.org/conda-forge/lightgbm,2023-01-24 13:04:34.282,1780710.0,,,,,2.0,192472.0,,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-06-15 13:50:59.000000,2023-06-13 21:58:11,7791,166.0,1628,214.0,5361.0,920.0,3997.0,11108,Parallel computing with task scheduling.,581.0,43,True,2023-06-09 16:46:06.943,2023.6.0,172.0,dask,conda-forge/dask,,,,52822.0,50000.0,https://pypi.org/project/dask,2016-08-18 12:21:05.000,2822.0,7913886.0,8021476.0,https://anaconda.org/conda-forge/dask,2023-06-09 18:25:24.931,9145196.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-06-15 12:41:13.000000,2023-06-15 00:00:15,5527,128.0,1596,191.0,4637.0,634.0,1196.0,6274,TensorFlows Visualization Toolkit.,301.0,43,True,2023-05-04 23:06:01.343,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],175614.0,172963.0,https://pypi.org/project/tensorboard,2023-01-13 22:24:05.115,2651.0,19046193.0,19106624.0,https://anaconda.org/conda-forge/tensorboard,2023-05-05 12:08:20.046,4048880.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-06-15 14:11:09.000000,2023-06-15 13:50:47,9328,311.0,2930,232.0,8993.0,710.0,5551.0,23700,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",878.0,42,True,2023-06-07 20:36:20.465,2.0.3,250.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],583.0,,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,583.0,3958722.0,3982296.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-06-08 17:05:50.847,833869.0,,,,,2.0,12344.0,,,,,,,,,,,,,,,,,,,
27,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-06-15 14:10:33.000000,2023-06-15 11:22:35,42195,1618.0,5021,729.0,37740.0,1015.0,15775.0,20415,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1040.0,42,True,2023-05-08 08:33:39.000,2.4.2,59.0,paddlepaddle,,,,['paddle'],255.0,255.0,https://pypi.org/project/paddlepaddle,,,130473.0,130660.0,,,,,,,,2.0,15355.0,,,,,,,,,,,,,,,,,,,
28,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-06-15 14:32:47.000000,2023-06-15 13:27:18,5218,341.0,1251,130.0,1903.0,338.0,1925.0,18757,"Wrap UIs around any model, share with anyone.",171.0,42,True,2023-06-07 22:34:04.616,3.34.0,471.0,gradio,,,,,8390.0,8295.0,https://pypi.org/project/gradio,2022-07-04 20:09:27.000,95.0,3425685.0,3425685.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-06-14 19:08:03.000000,2023-06-08 15:53:39,4454,53.0,1992,1709.0,4267.0,226.0,2483.0,10962,WebGL2 powered visualization framework.,228.0,42,True,2023-06-14 19:00:53.647,8.9.19,600.0,pydeck,conda-forge/pydeck,,,['jupyter'],6545.0,6060.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,35.0,1439857.0,1893550.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,390204.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-06-14 19:00:53.647,450.0,443938.0,,,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-05-28 01:23:47.000000,2023-05-21 17:13:59,3147,23.0,1652,256.0,1003.0,119.0,2206.0,10817,Statistical data visualization in Python.,197.0,42,True,2022-12-30 19:12:05.000,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,270179.0,270179.0,https://pypi.org/project/seaborn,,,9213011.0,9296300.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,6829552.0,,,,,1.0,249.0,,,,,,,,,,,,,,,,,,,
31,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-06-15 13:07:24.000000,2023-06-14 14:42:11,3508,71.0,696,150.0,1211.0,176.0,1626.0,8313,Declarative statistical visualization library for Python.,155.0,42,True,2023-05-26 21:55:53.000,5.0.1,23.0,altair,conda-forge/altair,,,,60184.0,60184.0,https://pypi.org/project/altair,,,12053134.0,12075353.0,https://anaconda.org/conda-forge/altair,2023-05-29 13:23:59.383,1844223.0,,,,,1.0,54.0,,,,,,,,,,,,,,,,,,,
32,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-06-15 14:06:50.000000,2023-06-14 19:48:55,13596,124.0,2159,187.0,4173.0,696.0,1976.0,5443,Image processing in Python.,619.0,42,False,2023-06-02 05:03:22.000,0.21.0,57.0,scikit-image,conda-forge/scikit-image,,,,154134.0,144261.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9873.0,7333862.0,7394707.0,https://anaconda.org/conda-forge/scikit-image,2023-04-12 19:50:08.062,5171906.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-06-15 11:10:55.000000,2023-06-15 00:54:25,5557,192.0,2237,293.0,3403.0,645.0,2717.0,25304,Streamlit A faster way to build and share data apps.,184.0,41,True,2023-06-02 01:10:02.485,1.23.1,201.0,streamlit,,,,,1604.0,795.0,https://pypi.org/project/streamlit,2022-06-02 17:45:51.000,809.0,1867128.0,1867128.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-06-15 14:15:32.000000,2023-06-14 17:15:18,32105,723.0,4364,350.0,5838.0,126.0,6642.0,16548,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",582.0,41,True,2023-06-14 15:13:00.803,3.6.0,326.0,rasa,,,,['tensorflow'],3495.0,3430.0,https://pypi.org/project/rasa,2022-07-06 04:02:56.000,65.0,132620.0,132620.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
35,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-06-15 04:28:58.000000,2023-06-15 04:28:58,2388,145.0,3541,432.0,2787.0,393.0,2057.0,14942,Open standard for machine learning interoperability.,284.0,41,True,2023-05-05 16:35:02.000,1.14.0,29.0,onnx,conda-forge/onnx,,,,16478.0,15987.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,491.0,3031951.0,3043444.0,https://anaconda.org/conda-forge/onnx,2023-06-11 11:01:40.854,751423.0,,,,,1.0,18936.0,,,,,,,,,,,,,,,,,,,
36,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-06-01 12:58:34.000000,2023-05-25 15:50:03,4469,11.0,4364,432.0,1671.0,398.0,1436.0,14412,Topic Modelling for Humans.,446.0,41,True,2023-03-10 06:20:03.685,4.3.1,92.0,gensim,conda-forge/gensim,,,,50077.0,47014.0,https://pypi.org/project/gensim,2021-03-22 09:11:47.000,3063.0,3861070.0,3876698.0,https://anaconda.org/conda-forge/gensim,2023-03-28 02:35:38.702,1075022.0,,,,,1.0,4408.0,,,,,,,8.0,,,,,,,,,,,,
37,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-06-09 21:59:21.000000,2023-06-02 02:45:47,14445,7.0,2617,469.0,1421.0,232.0,1481.0,12035,Suite of libraries and programs for symbolic and statistical natural language processing for English.,441.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,200759.0,200759.0,https://pypi.org/project/nltk,,,10892526.0,10917244.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,2026948.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
38,dlib,davisking/dlib,ml-frameworks,,https://github.com/davisking/dlib,https://github.com/davisking/dlib,BSL-1.0,2014-01-29 00:45:33.000,2023-06-12 00:21:05.000000,2023-06-12 00:21:05,8202,45.0,3220,475.0,655.0,34.0,2097.0,12032,A toolkit for making real world machine learning and data analysis applications in C++.,188.0,41,False,2023-06-03 20:05:00.841,19.24.2,34.0,dlib,conda-forge/dlib,,,,21215.0,20433.0,https://pypi.org/project/dlib,2022-05-08 14:40:14.000,782.0,172133.0,179643.0,https://anaconda.org/conda-forge/dlib,2023-06-05 15:05:40.278,587039.0,,,,,2.0,25259.0,,,,,,,,,,,,,,,,,,,
39,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-06-15 09:26:16.000000,2023-06-15 03:58:21,8799,237.0,1063,135.0,4975.0,573.0,3756.0,11640,Data Version Control | Git for Data & Models | ML Experiments Management.,283.0,41,True,2023-06-13 14:49:00.846,3.0.0,435.0,dvc,conda-forge/dvc,,,,7913.0,7852.0,https://pypi.org/project/dvc,2018-05-17 17:05:03.000,61.0,650002.0,688810.0,https://anaconda.org/conda-forge/dvc,2023-05-31 14:47:12.166,1578454.0,,,,,1.0,109718.0,,,,,,,,dvc,dvc,dvc,,,,,,,,,
