,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,npm_latest_release_published_at,npm_dependent_project_count,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id,new_addition
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2024-02-08 10:56:11.000000,2024-02-08 10:56:10,49522.0,417.0,7379.0,593.0,17682.0,1540.0,8886.0,18848.0,matplotlib: plotting with Python.,1643.0,50,True,2023-11-18 03:45:11.000,3.7.4,119.0,matplotlib,conda-forge/matplotlib,,,,1146518.0,1082397.0,https://pypi.org/project/matplotlib,2023-11-18 03:45:11.000,64121.0,54759377.0,55251716.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21662926.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-02-08 13:56:22.000000,2024-02-08 10:09:03,31548.0,455.0,4991.0,349.0,10329.0,1789.0,8199.0,12175.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1580.0,50,True,2024-01-20 22:00:44.000,1.12.0,99.0,scipy,conda-forge/scipy,,,,983440.0,917115.0,https://pypi.org/project/scipy,2024-01-20 21:10:31.000,66325.0,78882231.0,80036672.0,https://anaconda.org/conda-forge/scipy,2024-01-24 03:11:41.395,44874384.0,,,,,1.0,393092.0,,,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-02-08 11:20:55.000000,2024-02-05 19:47:48,10291.0,312.0,19530.0,1911.0,6913.0,190.0,11396.0,60279.0,Deep Learning for humans.,1273.0,47,True,2024-01-20 20:12:55.000,3.0.4,90.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],740.0,,https://pypi.org/project/keras,2024-01-20 20:12:55.000,740.0,14272592.0,14349213.0,https://anaconda.org/conda-forge/keras,2024-01-21 22:53:49.247,3371357.0,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-02-08 01:29:07.000000,2024-02-07 20:43:34,17123.0,587.0,1963.0,224.0,4635.0,71.0,2926.0,11459.0,Python Imaging Library (Fork).,459.0,47,True,2024-01-02 09:38:41.000,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1526696.0,1526696.0,https://pypi.org/project/Pillow,,,88611909.0,89446414.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35883740.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-02-08 12:05:44.000000,2024-02-08 12:05:38,19277.0,1085.0,2490.0,321.0,12363.0,1571.0,3667.0,26549.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",631.0,46,True,2024-02-06 23:17:32.000,0.4.24,158.0,jax,conda-forge/jaxlib,,,,22533.0,21691.0,https://pypi.org/project/jax,2024-02-06 23:17:32.000,842.0,5501562.0,5525255.0,https://anaconda.org/conda-forge/jaxlib,2023-12-23 22:02:22.397,1042522.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-02-08 10:47:50.000000,2024-02-07 20:02:47,57094.0,449.0,4214.0,293.0,12929.0,4933.0,8647.0,11831.0,A computer algebra system written in pure Python.,1276.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,115039.0,110135.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4904.0,11212124.0,11269493.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4946384.0,,,,,1.0,531325.0,,,,,,,,,,,,,,,,,,,,
16,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-02-08 13:18:38.000000,2024-02-08 11:34:51,10127.0,226.0,3110.0,248.0,9909.0,648.0,6074.0,26151.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",927.0,45,True,2024-02-07 22:06:52.000,2.2.0,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],28756.0,28756.0,https://pypi.org/project/pytorch-lightning,,,4837662.0,4861750.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1047048.0,,,,,1.0,9946.0,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-02-07 23:26:55.000000,2024-02-04 21:03:38,6749.0,116.0,8710.0,908.0,4961.0,411.0,4713.0,25305.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",636.0,45,True,2023-12-19 21:59:17.000,2.0.3,80.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,81918.0,80097.0,https://pypi.org/project/xgboost,2023-12-19 21:59:17.000,1821.0,12339605.0,12445073.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4532251.0,,,,,1.0,8055.0,,,,,,,,,,,,,,,,,,,,
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-02-08 13:53:17.000000,2024-02-08 12:21:09,46622.0,1939.0,5220.0,723.0,43763.0,1005.0,16712.0,21336.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1158.0,45,True,2024-01-08 06:43:49.000,2.6.0,61.0,paddlepaddle,,,,['paddle'],4611.0,4611.0,https://pypi.org/project/paddlepaddle,,,227860.0,228030.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-02-07 22:56:53.000000,2024-02-07 22:39:17,20378.0,79.0,4209.0,444.0,5962.0,763.0,6814.0,18563.0,"Interactive Data Visualization in the browser, from Python.",681.0,45,True,2024-01-25 18:45:35.000,3.3.4,194.0,bokeh,conda-forge/bokeh,,,,86810.0,82995.0,https://pypi.org/project/bokeh,2024-01-30 22:20:58.000,3815.0,3911848.0,4215251.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13349736.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-02-07 14:11:13.000000,2024-02-07 14:11:12,15254.0,126.0,2621.0,279.0,3847.0,2563.0,2731.0,9289.0,Statsmodels: statistical modeling and econometrics in Python.,423.0,45,True,2023-12-14 14:31:51.000,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,114300.0,114300.0,https://pypi.org/project/statsmodels,,,12714772.0,12991082.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12157643.0,,,,,1.0,30.0,,,,,,,,,,,,,,,,,,,,
21,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-02-07 09:19:37.000000,2024-02-05 09:07:03,16113.0,39.0,4177.0,555.0,3958.0,79.0,5468.0,28197.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,44,True,2024-02-06 10:13:33.000,3.7.3,100.0,spacy,conda-forge/spacy,,,,79789.0,79789.0,https://pypi.org/project/spacy,,,6146056.0,6221676.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3327288.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
22,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-02-08 14:12:15.000000,2024-02-08 10:58:01,5354.0,358.0,3698.0,292.0,7426.0,1096.0,2320.0,16715.0,Open source platform for the machine learning lifecycle.,697.0,44,True,2024-02-06 12:13:09.000,2.10.1,82.0,mlflow,conda-forge/mlflow,,,,30049.0,30049.0,https://pypi.org/project/mlflow,,,15627337.0,15666504.0,https://anaconda.org/conda-forge/mlflow,2024-02-06 13:58:29.748,1723381.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
23,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-02-07 19:07:43.000000,2024-02-05 20:48:12,6299.0,60.0,2418.0,282.0,1598.0,1415.0,1379.0,14837.0,The interactive graphing library for Python This project now includes Plotly Express!.,254.0,44,True,2023-10-25 19:52:56.000,5.18.0,97.0,plotly,conda-forge/plotly,,,,237337.0,237337.0,https://pypi.org/project/plotly,,,12085246.0,12214735.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5208800.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,13738.0,,,,,,,,,,,,,,,
24,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-02-05 05:29:37.000000,2024-01-25 13:04:48,3229.0,30.0,1876.0,259.0,1087.0,129.0,2347.0,11657.0,Statistical data visualization in Python.,210.0,44,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,370368.0,358715.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,11653.0,14242530.0,14424281.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,7996932.0,,,,,1.0,375.0,,,,,,,,,,,,,,,,,,,,
25,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-02-08 13:34:40.000000,2024-02-08 03:27:29,20613.0,826.0,5126.0,466.0,26178.0,3591.0,13462.0,29817.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,969.0,43,True,2024-02-06 01:23:15.000,ray-2.9.2,98.0,ray,conda-forge/ray-tune,,,,14058.0,13590.0,https://pypi.org/project/ray,2024-02-05 22:50:44.000,468.0,3040000.0,3044896.0,https://anaconda.org/conda-forge/ray-tune,2024-02-07 20:13:08.038,185980.0,,,,,1.0,208.0,,,,,,,,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-02-08 11:16:32.000000,2024-02-07 22:39:33,6248.0,360.0,1883.0,145.0,3304.0,442.0,3235.0,26178.0,"Wrap UIs around any model, share with anyone.",259.0,43,True,2024-02-06 23:28:32.000,4.17.0,544.0,gradio,,,,,22780.0,22493.0,https://pypi.org/project/gradio,2024-02-06 23:28:32.000,287.0,5669358.0,5669358.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-02-08 13:40:12.000000,2024-02-06 23:57:31,2650.0,58.0,3644.0,437.0,3091.0,299.0,2354.0,16344.0,Open standard for machine learning interoperability.,306.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,24286.0,23607.0,https://pypi.org/project/onnx,2023-10-26 18:30:51.000,679.0,4493806.0,4514902.0,https://anaconda.org/conda-forge/onnx,2024-01-25 12:19:38.120,916738.0,,,,,1.0,19922.0,,,,,,,,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-02-08 04:40:11.000000,2024-02-03 07:14:30,3417.0,45.0,3795.0,435.0,3067.0,345.0,2899.0,15847.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",295.0,43,True,2024-01-26 03:29:02.000,4.3.0,36.0,lightgbm,conda-forge/lightgbm,,,,30404.0,29528.0,https://pypi.org/project/lightgbm,2024-01-26 03:29:02.000,876.0,7094842.0,7150556.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2177925.0,,,,,2.0,212746.0,,,,,,,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-02-08 14:28:36.000000,2024-02-08 14:28:36,8078.0,169.0,1673.0,213.0,5704.0,1038.0,4096.0,11762.0,Parallel computing with task scheduling.,592.0,43,True,2024-01-26 23:12:39.000,2024.1.1,188.0,dask,conda-forge/dask,,,,60114.0,56982.0,https://pypi.org/project/dask,2024-01-26 23:12:39.000,3132.0,6839979.0,7077595.0,https://anaconda.org/conda-forge/dask,2024-01-27 01:41:17.329,10692754.0,,,,,1.0,,,,,,,stable/dask,,,,,,,,,,,,,,
30,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-02-08 06:52:46.000000,2024-02-06 12:42:56,5758.0,43.0,1641.0,193.0,4909.0,650.0,1221.0,6472.0,TensorFlows Visualization Toolkit.,312.0,43,True,2023-11-02 20:49:50.000,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],216782.0,213843.0,https://pypi.org/project/tensorboard,2023-11-02 20:49:50.000,2939.0,22562540.0,22664706.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4495327.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
31,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2024-02-08 13:57:19.000000,2024-02-08 10:36:00,3789.0,60.0,6860.0,400.0,5158.0,970.0,2322.0,15110.0,"Datasets, Transforms and Models specific to Computer Vision.",574.0,42,True,2024-01-30 18:31:39.000,0.17.0,41.0,torchvision,conda-forge/torchvision,,,['pytorch'],5033.0,21.0,https://pypi.org/project/torchvision,2024-01-30 17:33:54.000,5012.0,11473242.0,11501516.0,https://anaconda.org/conda-forge/torchvision,2023-12-13 18:56:48.112,973843.0,,,,,1.0,36968.0,,,,,,,,,,,,,,,,,,,,
32,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-02-08 13:55:04.000000,2024-02-07 19:43:29,7588.0,88.0,3017.0,275.0,3645.0,173.0,2949.0,13880.0,Network Analysis in Python.,706.0,42,False,2023-10-28 09:53:23.000,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,221972.0,221972.0,https://pypi.org/project/networkx,,,43499307.0,43848200.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14653523.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,,,
33,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-02-04 15:36:20.000000,2024-01-29 09:04:39,14509.0,35.0,2702.0,468.0,1450.0,246.0,1506.0,12780.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,454.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,249461.0,249461.0,https://pypi.org/project/nltk,,,13380077.0,13406795.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2404667.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-02-08 14:22:18.000000,2024-02-08 14:22:15,4643.0,84.0,1982.0,1693.0,4493.0,264.0,2590.0,11522.0,WebGL2 powered visualization framework.,244.0,42,True,2024-01-19 15:06:18.000,8.9.34,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],7111.0,7111.0,https://pypi.org/project/pydeck,,,1946134.0,2386875.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,474542.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,430855.0,,,,,,,,,,,,,,,
35,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-02-08 14:23:31.000000,2024-02-08 08:26:19,6088.0,157.0,2726.0,305.0,4111.0,736.0,3185.0,30041.0,Streamlit A faster way to build and share data apps.,219.0,41,True,2024-02-01 17:57:10.000,1.31.0,214.0,streamlit,,,,,1370.0,,https://pypi.org/project/streamlit,2024-02-01 17:57:02.000,1370.0,3286971.0,3286971.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-02-04 18:15:19.000000,2024-01-27 21:48:33,2133.0,62.0,4390.0,308.0,440.0,69.0,769.0,28648.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",128.0,41,True,2023-11-24 19:09:08.000,0.9.12,54.0,timm,conda-forge/timm,,,['pytorch'],22714.0,22714.0,https://pypi.org/project/timm,,,4490586.0,4601509.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,121562.0,,,,,1.0,6161501.0,,huggingface/pytorch-image-models,,,,,,,,,,,,,,,,,,
37,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2024-02-08 12:30:22.311349,2024-02-07 09:16:47,19063.0,671.0,2699.0,321.0,18865.0,612.0,9462.0,25469.0,"A cloud-native vector database, storage for next generation AI applications.",263.0,41,True,2024-02-07 08:12:10.000,2.3.8,100.0,pymilvus,,milvusdb/milvus,,,82.0,,https://pypi.org/project/pymilvus,2024-01-24 02:49:14.000,82.0,472487.0,683069.0,,,,https://hub.docker.com/r/milvusdb/milvus,2024-02-08 12:30:22.311349,39.0,10889795.0,1.0,71621.0,,,,,,,,,,,,,,,,,,,,
38,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2024-02-08 12:15:38.000000,2024-02-08 12:15:37,9183.0,123.0,1115.0,137.0,5370.0,514.0,4064.0,12862.0,ML Experiments Management with Git.,290.0,41,True,2024-02-01 13:15:55.000,3.43.1,297.0,dvc,conda-forge/dvc,,,,12616.0,12616.0,https://pypi.org/project/dvc,,,801381.0,845144.0,https://anaconda.org/conda-forge/dvc,2024-02-01 14:20:26.395,1763027.0,,,,,1.0,44347.0,,,,,,,dvc,dvc,dvc,,,,,,,,,,,
