,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,trending,npm_latest_release_published_at,npm_dependent_project_count,updated_github_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-10-19 07:17:11.000000,2023-10-19 04:07:23,48746.0,803.0,7018.0,591.0,17266.0,1495.0,8662.0,18271.0,matplotlib: plotting with Python.,1589.0,50,True,2023-09-15 04:49:33.000,3.8.0,116.0,matplotlib,conda-forge/matplotlib,,,,1035446.0,973237.0,https://pypi.org/project/matplotlib,2023-09-15 04:49:33.000,62209.0,41123168.0,41646617.0,https://anaconda.org/conda-forge/matplotlib,2023-10-12 18:45:12.490,20937969.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-10-19 13:11:41.000000,2023-10-19 09:02:12,56475.0,1674.0,3997.0,291.0,12713.0,4826.0,8530.0,11442.0,A computer algebra system written in pure Python.,1256.0,48,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,92226.0,87528.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4698.0,9701206.0,9756081.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4509503.0,,,,,1.0,517583.0,,,,,,,,,,,,,,,,,,,
12,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-10-19 15:13:40.000000,2023-10-18 10:54:16,31002.0,463.0,4859.0,345.0,9955.0,1676.0,8021.0,11807.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1544.0,47,True,2023-09-27 22:44:39.000,1.11.3,97.0,scipy,conda-forge/scipy,,,,64314.0,19.0,https://pypi.org/project/scipy,2023-09-27 21:55:42.000,64295.0,63031422.0,64261070.0,https://anaconda.org/conda-forge/scipy,2023-10-05 05:09:54.567,42901951.0,,,,,1.0,383973.0,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-10-19 09:34:58.000000,2023-10-19 04:52:08,16398.0,349.0,1914.0,224.0,4425.0,73.0,2849.0,11172.0,Python Imaging Library (Fork).,448.0,47,True,2023-10-15 13:05:17.000,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1380341.0,1380341.0,https://pypi.org/project/Pillow,,,69214999.0,70084920.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,33926922.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-10-19 09:09:04.000000,2023-10-18 13:42:50,9861.0,579.0,19399.0,1916.0,6650.0,376.0,11227.0,59540.0,Deep Learning for humans.,1245.0,46,True,2023-09-12 16:19:40.000,2.14.0,83.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],670.0,19.0,https://pypi.org/project/keras,2023-10-13 19:39:47.000,651.0,12893227.0,12975379.0,https://anaconda.org/conda-forge/keras,2023-07-28 12:24:35.264,3286089.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-10-19 13:28:30.000000,2023-10-19 12:23:24,38504.0,1060.0,27668.0,2037.0,43426.0,262.0,,37017.0,Apache Spark Python API.,2958.0,45,True,2023-09-26 20:30:58.000,3.5.0,40.0,pyspark,conda-forge/pyspark,,,['spark'],1161.0,,https://pypi.org/project/pyspark,2023-09-26 20:30:58.000,1161.0,25698454.0,25770664.0,https://anaconda.org/conda-forge/pyspark,2023-10-04 13:44:45.676,2888425.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-10-19 13:43:54.000000,2023-10-19 09:52:39,17947.0,1153.0,2303.0,316.0,11349.0,1563.0,3338.0,25029.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",587.0,45,True,2023-10-07 00:18:08.000,jax-v0.4.18,152.0,jax,conda-forge/jaxlib,,,,19061.0,18365.0,https://pypi.org/project/jax,2023-10-07 00:16:53.000,696.0,3708623.0,3732574.0,https://anaconda.org/conda-forge/jaxlib,2023-10-12 10:54:38.956,958078.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-10-19 12:41:36.000000,2023-10-19 12:41:35,9822.0,359.0,3003.0,241.0,9559.0,701.0,5877.0,24898.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",908.0,45,True,2023-10-12 15:35:02.000,2.1.0,260.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],25731.0,25022.0,https://pypi.org/project/pytorch-lightning,2023-10-12 15:35:02.000,709.0,3946794.0,3971663.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-10-12 22:54:18.350,978098.0,,,,,1.0,13348.0,,,,,,,,,,,,,,,,,,,
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-10-19 13:55:44.000000,2023-10-19 13:10:08,44265.0,1593.0,5341.0,727.0,40629.0,2046.0,16334.0,20932.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1112.0,45,True,2023-07-25 11:09:59.000,2.5.0,64.0,paddlepaddle,,,,['paddle'],4180.0,4104.0,https://pypi.org/project/paddlepaddle,2023-07-27 06:56:01.000,76.0,171841.0,172019.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-10-19 11:18:36.000000,2023-10-19 08:31:36,20262.0,88.0,4122.0,447.0,5850.0,771.0,6700.0,18178.0,"Interactive Data Visualization in the browser, from Python.",671.0,45,True,2023-10-10 16:21:33.000,3.3.0,181.0,bokeh,conda-forge/bokeh,,,,81341.0,77586.0,https://pypi.org/project/bokeh,2023-10-10 19:03:58.000,3755.0,3480332.0,3802201.0,https://anaconda.org/conda-forge/bokeh,2023-10-11 08:08:05.962,12874774.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-10-19 14:46:45.000000,2023-10-19 13:22:14,19525.0,1250.0,4705.0,461.0,24591.0,3301.0,12547.0,28238.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,929.0,44,True,2023-10-09 17:47:23.000,ray-2.7.1,92.0,ray,conda-forge/ray-tune,,,,12239.0,11820.0,https://pypi.org/project/ray,2023-10-09 17:21:25.000,419.0,2381204.0,2386173.0,https://anaconda.org/conda-forge/ray-tune,2023-10-17 08:48:26.741,168912.0,,,,,1.0,93.0,,,,,,,,,,,,,,,,,,,
21,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-10-18 13:00:57.000000,2023-10-16 13:10:55,16058.0,86.0,4233.0,558.0,3898.0,93.0,5415.0,27358.0,Industrial-strength Natural Language Processing (NLP) in Python.,742.0,44,True,2023-10-16 16:11:22.000,3.7.2,226.0,spacy,conda-forge/spacy,,,,74678.0,71837.0,https://pypi.org/project/spacy,2023-10-16 16:09:47.000,2841.0,6911318.0,6992648.0,https://anaconda.org/conda-forge/spacy,2023-10-10 09:44:18.186,3253237.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-10-19 13:27:54.000000,2023-10-18 19:27:21,6599.0,150.0,8650.0,914.0,4733.0,364.0,4633.0,24855.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",626.0,44,True,2023-09-12 03:14:32.000,2.0.0,77.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,70983.0,69261.0,https://pypi.org/project/xgboost,2023-09-12 03:14:32.000,1722.0,11356718.0,11467681.0,https://anaconda.org/conda-forge/xgboost,2023-10-12 12:44:22.532,4325131.0,,,,,2.0,7306.0,,,,,,,,,,,,,,,,,,,
23,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-10-19 14:40:32.000000,2023-10-19 06:49:43,4811.0,419.0,3551.0,291.0,6607.0,1244.0,2225.0,15579.0,Open source platform for the machine learning lifecycle.,656.0,44,True,2023-09-17 21:48:08.000,2.7.1,82.0,mlflow,conda-forge/mlflow,,,,25509.0,25022.0,https://pypi.org/project/mlflow,2023-09-17 18:36:26.000,487.0,13681990.0,13721540.0,https://anaconda.org/conda-forge/mlflow,2023-09-21 15:54:18.751,1582029.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-10-16 17:58:22.000000,2023-10-12 17:19:40,6204.0,103.0,2369.0,279.0,1555.0,1368.0,1355.0,14296.0,The interactive graphing library for Python This project now includes Plotly Express!.,246.0,44,True,2023-09-15 15:44:22.000,5.17.0,96.0,plotly,conda-forge/plotly,,,,208549.0,208549.0,https://pypi.org/project/plotly,,,10729633.0,10889173.0,https://anaconda.org/conda-forge/plotly,2023-09-15 18:28:38.444,4939822.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,39057.0,,,,,,,,,,,,,,,
25,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-10-19 10:43:40.000000,2023-10-19 05:33:39,7456.0,118.0,3084.0,277.0,3488.0,388.0,2881.0,13288.0,Network Analysis in Python.,685.0,44,True,2023-10-19 04:10:50.000,networkx-3.2,91.0,networkx,conda-forge/networkx,,,,207235.0,192485.0,https://pypi.org/project/networkx,2023-10-19 04:01:15.000,14750.0,28125250.0,28485596.0,https://anaconda.org/conda-forge/networkx,2023-10-19 07:56:50.787,13693175.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,,
26,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-10-17 10:16:01.000000,2023-10-17 10:16:00,15106.0,14.0,2754.0,277.0,3808.0,2653.0,2708.0,8925.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,44,True,2023-05-05 11:36:02.375,0.14.0,35.0,statsmodels,conda-forge/statsmodels,,,,110081.0,104734.0,https://pypi.org/project/statsmodels,2023-05-05 11:36:02.375,5347.0,11204655.0,11495471.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11632676.0,,,,,2.0,29.0,,,,,,,,,,,,,,,,,,,
27,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-10-19 14:01:51.000000,2023-10-18 21:46:43,2561.0,117.0,3596.0,440.0,2986.0,308.0,2254.0,15719.0,Open standard for machine learning interoperability.,297.0,43,True,2023-08-25 21:00:03.000,1.14.1,30.0,onnx,conda-forge/onnx,,,,20218.0,19606.0,https://pypi.org/project/onnx,2023-08-25 20:34:27.000,612.0,3972407.0,3994105.0,https://anaconda.org/conda-forge/onnx,2023-10-11 15:26:47.399,857199.0,,,,,1.0,19370.0,,,,,,,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-10-13 14:08:53.000000,2023-10-10 01:05:51,3362.0,53.0,3771.0,441.0,3002.0,316.0,2843.0,15543.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 02:08:33.000,4.1.0,34.0,lightgbm,conda-forge/lightgbm,,,,26886.0,26080.0,https://pypi.org/project/lightgbm,2023-09-12 02:08:33.000,806.0,7031940.0,7090338.0,https://anaconda.org/conda-forge/lightgbm,2023-10-06 14:39:46.228,2063965.0,,,,,2.0,204068.0,,,,,,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-10-19 14:25:32.000000,2023-10-19 14:25:32,7890.0,65.0,1645.0,212.0,5482.0,955.0,4037.0,11459.0,Parallel computing with task scheduling.,588.0,43,True,2023-10-14 01:01:42.000,2023.10.0,182.0,dask,conda-forge/dask,,,,56510.0,53499.0,https://pypi.org/project/dask,2023-10-14 01:01:42.000,3011.0,7875127.0,8126263.0,https://anaconda.org/conda-forge/dask,2023-10-14 03:22:25.060,10296590.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-10-09 05:20:51.000000,2023-10-01 17:43:20,3191.0,37.0,1812.0,255.0,1052.0,115.0,2296.0,11254.0,Statistical data visualization in Python.,200.0,43,True,2023-09-29 19:01:44.000,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,324148.0,313064.0,https://pypi.org/project/seaborn,2023-09-29 18:58:33.000,11084.0,11315686.0,11506798.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7644415.0,,,,,1.0,279.0,,,,,,,,,,,,,,,,,,,
31,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-10-19 00:43:13.000000,2023-10-18 21:47:03,5686.0,91.0,1604.0,193.0,4828.0,640.0,1208.0,6378.0,TensorFlows Visualization Toolkit.,307.0,43,True,2023-09-27 23:37:16.000,2.14.1,54.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],195857.0,193058.0,https://pypi.org/project/tensorboard,2023-09-27 23:37:16.000,2799.0,21166492.0,21275311.0,https://anaconda.org/conda-forge/tensorboard,2023-09-28 16:22:20.856,4352762.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-10-19 11:34:45.000000,2023-10-18 17:16:43,3715.0,157.0,6768.0,395.0,5044.0,931.0,2257.0,14678.0,"Datasets, Transforms and Models specific to Computer Vision.",556.0,42,True,2023-10-04 17:32:50.000,0.16.0,38.0,torchvision,conda-forge/torchvision,,,['pytorch'],4675.0,19.0,https://pypi.org/project/torchvision,2023-10-04 17:02:21.000,4656.0,8655558.0,8684764.0,https://anaconda.org/conda-forge/torchvision,2023-10-02 13:13:36.301,892751.0,,,,,1.0,31889.0,,,,,4.0,,,,,,,,,,,,,,
33,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-09-28 08:36:01.000000,2023-09-28 08:36:01,14447.0,2.0,2781.0,465.0,1429.0,267.0,1486.0,12430.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,444.0,42,True,2023-07-20 15:52:53.307,0.9.9,59.0,nltk,conda-forge/nltk,,,,238163.0,225510.0,https://pypi.org/project/nltk,2023-01-02 22:02:43.849,12653.0,12376763.0,12403308.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2282885.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-10-18 18:57:26.000000,2023-10-18 18:57:22,4537.0,58.0,2024.0,1700.0,4373.0,227.0,2546.0,11244.0,WebGL2 powered visualization framework.,239.0,42,True,2023-10-11 09:15:23.387,8.9.31,617.0,pydeck,conda-forge/pydeck,,,['jupyter'],7142.0,6634.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,40.0,1513199.0,2028820.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,451680.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,505356.0,,2023-10-18 17:37:17.808,468.0,,,,,,,,,,,,
35,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-10-19 14:34:01.000000,2023-10-19 14:34:01,3581.0,61.0,761.0,145.0,1277.0,185.0,1704.0,8507.0,Declarative statistical visualization library for Python.,158.0,42,True,2023-10-03 18:18:45.000,5.1.2,38.0,altair,conda-forge/altair,,,,80825.0,80215.0,https://pypi.org/project/altair,2023-10-03 17:40:10.000,610.0,14770025.0,14863355.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2053243.0,,,,,1.0,89.0,,,,,,,,,,,,,,,,,,,
36,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-10-19 07:08:36.000000,2023-10-19 06:35:51,13760.0,106.0,2214.0,186.0,4297.0,742.0,2009.0,5628.0,Image processing in Python.,632.0,42,False,2023-10-03 21:36:37.000,0.22.0,59.0,scikit-image,conda-forge/scikit-image,,,,167209.0,156987.0,https://pypi.org/project/scikit-image,2023-10-03 21:35:27.000,10222.0,9563443.0,9705589.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5685849.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-10-19 10:51:48.000000,2023-10-18 23:36:20,1883.0,201.0,3368.0,299.0,2213.0,804.0,1403.0,28903.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",254.0,41,True,2023-10-09 16:56:27.000,0.11.1,73.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4585.0,4506.0,https://pypi.org/project/deepspeed,2023-10-09 16:56:27.000,79.0,363525.0,363907.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17220.0,1.0,,,,,,,,,,,,,,,,,,,,
