,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-11-03 14:26:09.000000,2022-11-03 14:26:09,11215.0,829.0,16741,860.0,9675.0,555.0,9880.0,73533,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1600.0,49,True,2022-11-01 15:45:13.000,4.24.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",39717.0,38742.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,8485733.0,8500935.0,https://anaconda.org/conda-forge/transformers,2022-11-03 07:57:01.121,561997.0,,,,,1.0,,625.0,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-11-03 15:09:31.000000,2022-11-03 08:29:55,28955.0,480.0,4446,337.0,8730.0,1699.0,7179.0,10429,"Ecosystem of open-source software for mathematics, science, and engineering.",1384.0,49,True,2022-10-20 02:34:14.000,1.9.3,85.0,scipy,conda-forge/scipy,,,,645202.0,586975.0,https://pypi.org/project/scipy,2022-10-20 00:45:22.690,58227.0,46357508.0,46737196.0,https://anaconda.org/conda-forge/scipy,2022-10-27 06:42:04.702,29296850.0,,,,,1.0,,359762.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-11-03 07:27:12.000000,2022-11-02 07:30:50,13952.0,371.0,1926,216.0,3963.0,110.0,2569.0,10281,The friendly PIL fork (Python Imaging Library).,417.0,47,True,2022-10-29 15:26:51.013,9.3.0,90.0,Pillow,conda-forge/pillow,,,,951383.0,888228.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63155.0,48327893.0,48584231.0,https://anaconda.org/conda-forge/pillow,2022-10-28 02:28:04.632,20250749.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-11-03 14:00:09.000000,2022-11-03 09:31:02,52367.0,588.0,3762,280.0,11866.0,4531.0,8151.0,9759,A computer algebra system written in pure Python.,1182.0,46,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,,,51772.0,47562.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4210.0,3171652.0,3208591.0,https://anaconda.org/conda-forge/sympy,2022-10-27 02:25:19.270,2553311.0,,,,,1.0,,470980.0,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-11-02 19:41:03.000000,2022-11-02 19:41:00,7487.0,248.0,19184,1934.0,5666.0,337.0,11257.0,56517,Deep Learning for humans.,1123.0,45,True,2022-09-02 21:31:44.000,2.10.0,71.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,10162612.0,10198081.0,https://anaconda.org/conda-forge/keras,2022-09-04 01:30:22.305,2660198.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-11-03 14:25:20.000000,2022-11-03 10:49:08,15674.0,105.0,3962,551.0,3391.0,104.0,5183.0,24495,Industrial-strength Natural Language Processing (NLP) in Python.,703.0,44,True,2022-10-20 08:13:43.000,3.4.2,198.0,spacy,conda-forge/spacy,,,,47338.0,44963.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4142613.0,4183655.0,https://anaconda.org/conda-forge/spacy,2022-10-21 09:56:56.869,2828981.0,,,,,1.0,,3147.0,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-11-02 23:57:45.000000,2022-11-02 23:57:45,6018.0,135.0,8496,929.0,3818.0,326.0,4309.0,23406,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",582.0,44,True,2022-10-31 19:29:16.000,1.7.0,68.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,39231.0,37861.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1370.0,8343587.0,8392010.0,https://anaconda.org/conda-forge/xgboost,2022-11-02 20:18:11.031,3289324.0,,,,,1.0,,5358.0,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-11-03 14:27:50.000000,2022-11-03 03:56:20,14864.0,1026.0,3942,428.0,17865.0,2733.0,9377.0,22561,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,774.0,44,True,2022-10-22 04:49:49.000,ray-2.0.1,77.0,ray,conda-forge/ray-tune,,,,6530.0,6251.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,2090469.0,2093598.0,https://anaconda.org/conda-forge/ray-tune,2022-10-21 17:02:33.296,71989.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-11-03 12:55:18.000000,2022-11-03 12:55:13,13646.0,1106.0,1930,286.0,7973.0,1170.0,2710.0,20811,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",467.0,44,True,2022-10-12 18:09:04.804,0.3.23,130.0,jax,conda-forge/jaxlib,,,,6240.0,5918.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,322.0,580155.0,592494.0,https://anaconda.org/conda-forge/jaxlib,2022-11-01 20:50:42.952,493576.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-11-03 03:04:22.000000,2022-11-01 18:53:23,7085.0,84.0,2767,275.0,2968.0,384.0,2662.0,11778,Network Analysis in Python.,627.0,44,True,2022-11-01 20:33:20.972,2.8.8,83.0,networkx,conda-forge/networkx,,,,135944.0,122480.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13464.0,19070398.0,19189159.0,https://anaconda.org/conda-forge/networkx,2022-11-02 12:22:18.460,8669566.0,,,,,1.0,1.0,60.0,,,,,,,,,,,,,,,,,,
20,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-11-03 10:39:20.000000,2022-10-28 12:09:56,14373.0,47.0,2650,469.0,1383.0,229.0,1431.0,11184,Suite of libraries and programs for symbolic and statistical natural language processing for English.,434.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,172481.0,160522.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11959.0,11408338.0,11429174.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1562756.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-11-03 00:47:00.161000,2022-11-02 19:41:36,14772.0,90.0,2598,269.0,3642.0,2455.0,2568.0,7868,Statsmodels: statistical modeling and econometrics in Python.,389.0,44,True,2022-11-02 17:40:09.913,0.13.5,33.0,statsmodels,conda-forge/statsmodels,,,,77079.0,72414.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4665.0,9070550.0,9170239.0,https://anaconda.org/conda-forge/statsmodels,2022-11-03 00:47:00.161,7676091.0,,,,,1.0,2.0,26.0,,,,,,,,,,,,,,,,,,
22,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-11-02 23:49:13.000000,2022-11-02 17:36:51,13319.0,75.0,2067,186.0,3879.0,641.0,1892.0,5108,Image processing in Python.,580.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,,125852.0,116486.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9366.0,5843173.0,5896329.0,https://anaconda.org/conda-forge/scikit-image,2022-10-30 12:02:37.338,4146234.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-11-03 13:57:09.000000,2022-11-03 13:32:41,34578.0,814.0,26265,2074.0,38472.0,234.0,,34266,Apache Spark Python API.,2753.0,43,True,2022-07-15 14:55:05.769,3.2.2,31.0,pyspark,conda-forge/pyspark,,,['spark'],849.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,849.0,26531632.0,26562596.0,https://anaconda.org/conda-forge/pyspark,2022-10-25 13:22:53.684,2105571.0,,,,,2.0,,,stable/spark,,,,,,,,,,,,,,,,,
24,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-11-03 11:44:08.000000,2022-11-03 11:44:04,19839.0,206.0,4002,449.0,5388.0,683.0,6371.0,16853,"Interactive Data Visualization in the browser, from Python.",622.0,43,True,2022-10-31 14:22:37.961,3.0.0,145.0,bokeh,conda-forge/bokeh,,,,3718.0,165.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3150079.0,3285557.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,9077074.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-11-02 23:15:14.000000,2022-11-02 23:13:16,7418.0,108.0,1551,220.0,4906.0,802.0,3815.0,10454,Parallel computing with task scheduling.,564.0,43,True,2022-10-31 16:12:26.474,2022.10.2,156.0,dask,conda-forge/dask,,,,43720.0,41053.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2667.0,6945656.0,7036381.0,https://anaconda.org/conda-forge/dask,2022-11-01 16:29:08.739,7076622.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,
26,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-11-03 14:10:00.000000,2022-11-03 14:10:00,5243.0,117.0,1547,192.0,4309.0,600.0,1143.0,6008,TensorFlows Visualization Toolkit.,290.0,43,True,2022-09-26 15:17:13.755,2.10.1,44.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],131694.0,129274.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2420.0,17917385.0,17974338.0,https://anaconda.org/conda-forge/tensorboard,2022-09-27 00:28:15.265,3417182.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-10-25 17:01:15.000000,2022-10-25 17:01:14,1755.0,54.0,8036,990.0,1431.0,28.0,1686.0,28940,A toolkit for developing and comparing reinforcement learning algorithms.,384.0,42,True,2022-10-04 23:58:42.348,0.26.2,107.0,gym,conda-forge/gym,,,,35890.0,33419.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2471.0,932815.0,937866.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,156598.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-11-03 14:24:56.000000,2022-11-03 12:44:05,38314.0,1465.0,4731,734.0,31981.0,2945.0,13545.0,19100,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,848.0,42,True,2022-08-17 11:15:01.081,2.3.2,57.0,paddlepaddle,,,,['paddle'],215.0,165.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,84441.0,84645.0,,,,,,,,2.0,,15322.0,,,,,,,,,,,,,,,,,,
29,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-11-02 21:43:14.000000,2022-11-02 21:38:52,3110.0,72.0,3640,450.0,2727.0,245.0,2615.0,14361,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",273.0,42,True,2022-10-10 21:18:04.234,3.3.3,30.0,lightgbm,conda-forge/lightgbm,,,,16688.0,16045.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,643.0,7112415.0,7135142.0,https://anaconda.org/conda-forge/lightgbm,2022-10-28 00:50:18.967,1293545.0,,,,,2.0,,168600.0,,,,,,,,,,,,,,,,,,
30,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-11-03 14:29:33.000000,2022-11-03 13:06:58,3162.0,305.0,6306,379.0,4284.0,809.0,1959.0,12704,"Datasets, Transforms and Models specific to Computer Vision.",509.0,42,True,2022-10-28 16:48:51.000,0.14.0,33.0,torchvision,conda-forge/torchvision,,,['pytorch'],3719.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3719.0,6418110.0,6425278.0,https://anaconda.org/conda-forge/torchvision,2022-07-24 12:57:15.567,410193.0,,,,,1.0,,14488.0,,,,,,,,,,,,,,,,,,
31,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-11-03 09:48:28.000000,2022-10-27 20:14:12,5643.0,53.0,2234,275.0,1418.0,1289.0,1224.0,12364,The interactive graphing library for Python (includes Plotly Express).,201.0,42,True,2022-10-27 17:34:35.000,5.11.0,284.0,plotly,conda-forge/plotly,,,,4159.0,13.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4142.0,7941185.0,8030641.0,https://anaconda.org/conda-forge/plotly,2022-10-29 16:17:19.513,3324098.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,45135.0,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-11-03 00:48:45.000000,2022-11-02 08:48:10,4244.0,65.0,1864,1732.0,4011.0,174.0,2371.0,10353,WebGL2 powered visualization framework.,208.0,42,True,2022-11-02 11:50:34.394,8.8.16,564.0,pydeck,conda-forge/pydeck,,,['jupyter'],5254.0,4813.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,843673.0,1185025.0,https://anaconda.org/conda-forge/pydeck,2022-10-25 16:43:13.656,219303.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-11-02 11:50:34.394,417.0,334707.0,,,,,,,,,,,,
33,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-11-02 15:47:54.000000,2022-11-01 10:41:59,3078.0,84.0,1663,250.0,930.0,104.0,2065.0,10013,Statistical data visualization in Python.,177.0,42,True,2022-10-18 13:02:16.355,0.12.1,32.0,seaborn,conda-forge/seaborn,,,,9410.0,,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,8575130.0,8642607.0,https://anaconda.org/conda-forge/seaborn,2022-10-18 18:26:52.529,5060698.0,,,,,1.0,,235.0,,,,,,,,,,,,,,,,,,
34,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-11-03 06:45:28.000000,2022-11-02 20:22:41,5063.0,215.0,1908,278.0,2750.0,550.0,2266.0,21200,Streamlit The fastest way to build data apps in Python.,156.0,41,True,2022-10-27 16:34:03.653,1.14.0,184.0,streamlit,,,,,879.0,458.0,https://pypi.org/project/streamlit,2022-07-27 21:22:03.770,421.0,875947.0,875947.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
35,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-11-03 14:10:49.000000,2022-11-03 12:25:27,2089.0,73.0,3102,427.0,2409.0,326.0,1855.0,13496,Open standard for machine learning interoperability.,260.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,,,9444.0,9051.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,393.0,2217554.0,2227169.0,https://anaconda.org/conda-forge/onnx,2022-10-28 09:16:24.405,559180.0,,,,,1.0,,18078.0,,,,,,,,,,,,,,,,,,
36,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-11-03 11:57:55.000000,2022-11-03 04:40:27,3411.0,405.0,3009,284.0,4584.0,964.0,1720.0,12943,Open source platform for the machine learning lifecycle.,505.0,41,True,2022-10-20 22:16:01.000,1.30.0,64.0,mlflow,conda-forge/mlflow,,,,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,13214364.0,13238337.0,https://anaconda.org/conda-forge/mlflow,2022-10-21 16:11:33.590,1030859.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-11-02 03:58:26.000000,2022-11-02 03:58:23,2592.0,102.0,7313,610.0,2142.0,118.0,1562.0,22943,The fastai deep learning library.,647.0,40,True,2022-11-02 03:05:36.811,2.7.10,144.0,fastai,,,,['pytorch'],11737.0,11436.0,https://pypi.org/project/fastai,2022-07-04 04:05:22.000,301.0,341659.0,341659.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
38,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-11-03 14:23:31.000000,2022-11-03 14:20:18,8039.0,698.0,2630,226.0,7530.0,669.0,5026.0,20502,"Build and train PyTorch models and connect them to the ML lifecycle using Lightning App templates, without handling..",790.0,40,True,2022-11-02 16:31:47.000,1.8.0.post1,226.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],498.0,102.0,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,396.0,3506399.0,3527052.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-09-23 22:18:39.548,590498.0,,,,,2.0,,9050.0,,,,,,,,,,,,,,,,,,
