,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-06-16 08:35:36.000000,2022-06-16 08:35:36,28110,576.0,4250,330.0,8148.0,1763.0,6833.0,9752,"Ecosystem of open-source software for mathematics, science, and engineering.",1288.0,49,True,2022-05-18 13:22:14.000,1.8.1,78.0,scipy,conda-forge/scipy,,,,581125.0,523417.0,https://pypi.org/project/scipy,2022-05-18 12:26:12.000,57708.0,43734093.0,44066465.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,23956319.0,,,,,1.0,,348999.0,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-06-16 09:25:02.000000,2022-06-16 09:24:36,13386,484.0,1856,211.0,3785.0,135.0,2433.0,9873,The friendly PIL fork (Python Imaging Library).,399.0,47,True,2022-05-17 16:46:23.000,9.1.1,88.0,Pillow,conda-forge/pillow,,,,827051.0,764143.0,https://pypi.org/project/Pillow,2022-05-17 16:34:46.000,62908.0,47775314.0,47987804.0,https://anaconda.org/conda-forge/pillow,2022-06-15 13:38:25.992,15724329.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-06-16 08:09:50.000000,2022-06-15 15:14:47,11952,103.0,4288,473.0,2622.0,555.0,4198.0,19520,Asynchronous task queue/job queue based on distributed message passing.,1220.0,46,True,2022-05-29 12:59:05.000,5.2.7,191.0,celery,conda-forge/celery,,,,85818.0,70951.0,https://pypi.org/project/celery,2022-05-29 12:57:59.000,14867.0,5967092.0,5978564.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,860465.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-06-16 14:47:59.000000,2022-06-16 11:32:22,16496,1077.0,10723,744.0,17080.0,874.0,4929.0,26699,"Platform to programmatically author, schedule, and monitor workflows.",2433.0,45,True,2022-06-04 14:19:24.000,2.3.2,115.0,apache-airflow,conda-forge/airflow,apache/airflow,,,477.0,,https://pypi.org/project/apache-airflow,2022-06-04 13:19:03.000,477.0,6671313.0,7550848.0,https://anaconda.org/conda-forge/airflow,2022-06-04 17:38:17.887,640934.0,https://hub.docker.com/r/apache/airflow,2022-06-15 16:29:30.023461,347.0,74417192.0,1.0,,304433.0,stable/airflow,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-06-16 07:08:00.000000,2022-06-15 22:50:30,7053,397.0,19092,1946.0,5330.0,335.0,11071.0,55445,Deep Learning for humans.,1071.0,44,True,2022-05-13 20:03:15.000,2.9.0,65.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],301.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,301.0,11141891.0,11175116.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2325799.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-06-16 13:19:26.000000,2022-06-16 09:42:34,15472,118.0,3846,554.0,3144.0,101.0,5047.0,23601,Industrial-strength Natural Language Processing (NLP) in Python.,683.0,44,True,2022-06-07 17:23:29.000,3.3.1,194.0,spacy,conda-forge/spacy,,,,42404.0,40048.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2356.0,6497968.0,6539769.0,https://anaconda.org/conda-forge/spacy,2022-06-10 19:12:34.838,2672358.0,,,,,1.0,,3141.0,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-06-16 00:43:28.000000,2022-06-09 10:15:08,5820,123.0,8398,928.0,3564.0,287.0,4175.0,22862,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",565.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,33619.0,32278.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1341.0,10111704.0,10154727.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2707785.0,,,,,1.0,,4322.0,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-06-16 11:15:20.000000,2022-06-16 01:08:30,11916,1077.0,1630,268.0,6737.0,1080.0,2306.0,17981,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",409.0,44,True,2022-05-16 19:13:45.000,0.3.13,120.0,jax,conda-forge/jaxlib,,,,4917.0,4614.0,https://pypi.org/project/jax,2022-05-16 19:13:45.000,303.0,546848.0,556452.0,https://anaconda.org/conda-forge/jaxlib,2022-05-25 09:41:31.539,336173.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-06-16 14:34:18.000000,2022-06-16 14:30:27,6929,186.0,2637,273.0,2758.0,392.0,2577.0,10856,Network Analysis in Python.,599.0,44,True,2022-06-14 04:04:30.000,2.8.4,79.0,networkx,conda-forge/networkx,,,,123472.0,110052.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13420.0,21014427.0,21113600.0,https://anaconda.org/conda-forge/networkx,2022-06-14 14:05:11.499,6743780.0,,,,,1.0,,60.0,,,,,,,,,,,,,,,,,,
19,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-06-13 20:10:39.000000,2022-06-13 20:10:39,14304,54.0,2572,471.0,1360.0,222.0,1402.0,10811,Suite of libraries and programs for symbolic and statistical natural language processing for English.,424.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,157439.0,145619.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,13842590.0,13861089.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1294947.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
20,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-06-16 13:20:56.000000,2022-06-15 21:00:45,51084,543.0,3662,284.0,11570.0,4444.0,7965.0,9313,A computer algebra system written in pure Python.,1150.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,47169.0,43037.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1767821.0,1801163.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2123862.0,,,,,1.0,,454586.0,,,,,,,,,,,,,,,,,,
21,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-06-16 14:20:30.000000,2022-06-16 14:05:47,13225,103.0,2017,186.0,3771.0,618.0,1840.0,4938,Image processing in Python.,558.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,,114791.0,105460.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9331.0,9037214.0,9085761.0,https://anaconda.org/conda-forge/scikit-image,2022-06-15 05:10:24.990,3543965.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-06-16 14:27:58.000000,2022-06-16 05:46:50,13013,1214.0,3618,427.0,15247.0,2567.0,8084.0,20935,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",709.0,43,True,2022-06-09 17:15:12.000,ray-1.13.0,73.0,ray,conda-forge/ray-tune,,,,5319.0,5045.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,274.0,1257731.0,1259649.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,34527.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-06-16 12:56:23.000000,2022-06-16 12:50:24,7031,367.0,2411,225.0,6260.0,406.0,4581.0,18712,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",686.0,43,True,2022-06-01 14:43:53.000,1.6.4,210.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],9901.0,9516.0,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,385.0,4149722.0,4168985.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-06-07 13:19:15.354,457559.0,,,,,2.0,,6973.0,,Lightning-AI/lightning,,,,,,,,,,,,,,,,
24,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-15 20:16:45.000000,2022-06-15 20:16:39,19562,50.0,3947,455.0,5170.0,715.0,6215.0,16376,"Interactive Data Visualization in the browser, from Python.",606.0,43,True,2022-05-18 19:00:14.000,2.4.3,126.0,bokeh,conda-forge/bokeh,,,,55910.0,52362.0,https://pypi.org/project/bokeh,2022-06-13 19:18:35.000,3548.0,2792945.0,2914740.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7551347.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-06-16 14:23:09.000000,2022-06-14 09:08:00,7233,165.0,1497,223.0,4688.0,740.0,3668.0,9991,Parallel computing with task scheduling.,539.0,43,True,2022-06-10 21:53:29.000,2022.6.0,145.0,dask,conda-forge/dask,,,,40202.0,37552.0,https://pypi.org/project/dask,2022-06-10 21:53:29.000,2650.0,6265590.0,6344850.0,https://anaconda.org/conda-forge/dask,2022-06-11 00:24:06.072,5786028.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,
26,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-06-16 12:15:38.000000,2022-06-16 10:46:21,2959,145.0,1594,247.0,825.0,108.0,1957.0,9516,Statistical data visualization in Python.,167.0,43,True,2021-08-16 00:42:18.000,0.11.2,26.0,seaborn,conda-forge/seaborn,,,,172318.0,163476.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000,8842.0,9973734.0,10030528.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,3975498.0,,,,,1.0,,219.0,,,,,,,,,,,,,,,,,,
27,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-06-15 13:32:08.000000,2022-06-14 12:11:58,14606,82.0,2431,263.0,3567.0,2266.0,2527.0,7458,Statsmodels: statistical modeling and econometrics in Python.,376.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,69285.0,64772.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,11451077.0,11539135.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6340201.0,,,,,2.0,,26.0,,,,,,,,,,,,,,,,,,
28,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-06-16 14:42:16.000000,2022-06-15 11:33:22,5063,84.0,1511,191.0,4102.0,576.0,1125.0,5880,TensorFlows Visualization Toolkit.,278.0,43,True,2022-06-13 11:14:01.000,2.9.1,42.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],114388.0,111988.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2400.0,16202863.0,16257284.0,https://anaconda.org/conda-forge/tensorboard,2022-06-12 14:07:22.031,2993186.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-06-16 13:25:00.000000,2022-06-16 13:24:57,33385,733.0,25702,2075.0,36863.0,201.0,,33149,Apache Spark Python API.,2681.0,42,True,2022-06-15 08:58:01.000,3.3.0,30.0,pyspark,conda-forge/pyspark,,,['spark'],840.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,840.0,22357999.0,22384974.0,https://anaconda.org/conda-forge/pyspark,2022-06-16 07:21:06.515,1699478.0,,,,,2.0,,,stable/spark,,,,,,,,,,,,,,,,,
30,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-06-16 14:27:01.000000,2022-06-16 13:29:13,1648,101.0,7796,993.0,1300.0,110.0,1571.0,27826,A toolkit for developing and comparing reinforcement learning algorithms.,362.0,42,True,2022-06-07 13:51:45.000,0.24.1,101.0,gym,conda-forge/gym,,,,32542.0,30089.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2453.0,571373.0,575782.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,114645.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-06-16 11:31:51.000000,2022-06-16 00:45:02,2275,214.0,2462,250.0,468.0,1367.0,596.0,16623,A game theoretic approach to explain the output of any machine learning model.,204.0,42,True,2022-06-16 00:31:04.000,0.41.0,95.0,shap,conda-forge/shap,,,,5899.0,5624.0,https://pypi.org/project/shap,2022-06-16 00:43:28.000,275.0,4544873.0,4571605.0,https://anaconda.org/conda-forge/shap,2022-01-23 08:45:26.945,1229704.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
32,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-06-16 05:42:14.000000,2022-06-14 19:50:26,2991,87.0,3541,450.0,2594.0,218.0,2497.0,13890,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",259.0,42,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,,,14258.0,13628.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,630.0,7422493.0,7442802.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1051423.0,,,,,2.0,,154373.0,,,,,,,,,,,,,,,,,,
33,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-06-11 18:04:24.000000,2022-05-06 00:53:28,4383,64.0,4210,431.0,1606.0,374.0,1393.0,13268,Topic Modelling for Humans.,430.0,42,True,2022-05-01 16:17:56.000,4.2.0,90.0,gensim,conda-forge/gensim,,,,36841.0,33963.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2878.0,6908860.0,6923226.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,816148.0,,,,,1.0,,3828.0,,,,,,,,,,,,,,,,,,
34,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-06-16 14:01:06.000000,2022-06-16 13:59:32,2800,245.0,5899,363.0,3807.0,705.0,1798.0,11805,"Datasets, Transforms and Models specific to Computer Vision.",487.0,42,True,2022-03-10 18:28:39.000,0.12.0,30.0,torchvision,conda-forge/torchvision,,,['pytorch'],3611.0,,https://pypi.org/project/torchvision,2022-03-10 16:45:51.000,3611.0,5709798.0,5714827.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,265599.0,,,,,1.0,,6883.0,,,,,,,,,,,,,,,,,,
35,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-06-15 15:23:51.000000,2022-06-14 19:22:27,5509,117.0,2161,273.0,1363.0,1173.0,1202.0,11652,The interactive graphing library for Python (includes Plotly Express).,201.0,42,True,2022-06-10 16:45:47.000,5.8.2,281.0,plotly,conda-forge/plotly,,,,4120.0,10.0,https://pypi.org/project/plotly,2022-06-10 16:42:16.000,4106.0,7648967.0,7733258.0,https://anaconda.org/conda-forge/plotly,2022-06-10 21:16:29.949,2712336.0,,,,,1.0,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,45544.0,,,,,,,,,,,
36,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-06-16 14:57:05.000000,2022-06-16 14:21:56,4126,134.0,1788,1737.0,3894.0,161.0,2292.0,9895,WebGL2 powered visualization framework.,198.0,42,True,2022-06-06 23:22:48.698,8.7.11,537.0,pydeck,conda-forge/pydeck,,,['jupyter'],4594.0,4185.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,911060.0,1199415.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,119855.0,,,,,1.0,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-06-13 19:49:04.818,385.0,284075.0,,,,,,,,,,,
37,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-06-16 10:58:06.000000,2022-06-14 00:00:14,2368,198.0,7239,617.0,2075.0,115.0,1497.0,22389,The fastai deep learning library.,613.0,41,True,2022-05-01 02:04:54.000,2.6.3,133.0,fastai,,,,['pytorch'],10743.0,10444.0,https://pypi.org/project/fastai,2022-05-01 02:04:54.000,299.0,292639.0,292639.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
38,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-06-16 13:59:04.000000,2022-06-16 13:42:39,36096,1478.0,4515,728.0,28659.0,2894.0,12769.0,18365,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,759.0,41,True,2022-05-13 08:03:36.000,2.3.0,54.0,paddlepaddle,,,,['paddle'],169.0,121.0,https://pypi.org/project/paddlepaddle,2022-05-09 06:15:03.000,48.0,97932.0,98150.0,,,,,,,,2.0,,15315.0,,,,,,,,,,,,,,,,,,
