,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-01-16 00:36:27.000000,2025-01-14 23:21:11,20663.0,44.0,4202.0,439.0,6232.0,799.0,7021.0,19524.0,"Interactive Data Visualization in the browser, from Python.",706.0,45,True,2024-12-03 15:39:22.000,3.6.2,224.0,bokeh,conda-forge/bokeh,,,,98440.0,96617.0,https://pypi.org/project/bokeh,2025-01-09 16:55:15.000,1823.0,3392085.0,3677586.0,https://anaconda.org/conda-forge/bokeh,2024-12-09 14:35:07.548,15702556.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-01-16 07:12:56.000000,2025-01-16 07:12:56,7856.0,43.0,3253.0,281.0,3965.0,344.0,3055.0,15277.0,Network Analysis in Python.,763.0,45,True,2024-10-21 12:40:41.000,networkx-3.4.2,98.0,networkx,conda-forge/networkx,,,,348701.0,339071.0,https://pypi.org/project/networkx,2024-10-21 12:39:36.000,9630.0,56520144.0,56891889.0,https://anaconda.org/conda-forge/networkx,2024-12-25 14:22:43.959,19702487.0,,,,,1.0,79.0,,,,,,,1.0,,,,,,,,,,,,
23,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-01-07 18:32:44.000000,2025-01-07 18:32:43,15639.0,96.0,3091.0,288.0,3975.0,2851.0,2813.0,10359.0,Statsmodels: statistical modeling and econometrics in Python.,448.0,45,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,154084.0,149615.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,14050867.0,14354226.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,16684787.0,,,,,1.0,35.0,,,,,,,,,,,,,,,,,,,
24,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-01-16 14:16:11.000000,2025-01-16 14:15:50,43302.0,793.0,28412.0,2019.0,49491.0,243.0,,40328.0,Apache Spark Python API.,3173.0,44,True,2024-12-20 14:34:41.000,3.5.4,50.0,pyspark,conda-forge/pyspark,,,['spark'],1654.0,,https://pypi.org/project/pyspark,2024-12-20 14:34:41.000,1654.0,30434092.0,30500205.0,https://anaconda.org/conda-forge/pyspark,2024-12-21 08:33:41.806,3636255.0,,,,,2.0,,,,,,,,,stable/spark,,,,,,,,,,,
25,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-01-16 14:39:20.000000,2025-01-16 14:00:54,7361.0,234.0,2657.0,180.0,4761.0,475.0,4757.0,35276.0,"Wrap UIs around any model, share with anyone.",485.0,44,True,2025-01-10 20:55:33.000,5.12.0,614.0,gradio,,,,,53868.0,52892.0,https://pypi.org/project/gradio,2025-01-10 20:55:33.000,976.0,5948024.0,5948024.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-01-14 11:08:42.000000,2025-01-13 17:17:36,16220.0,11.0,4429.0,561.0,4031.0,173.0,5523.0,30674.0,Industrial-strength Natural Language Processing (NLP) in Python.,762.0,44,True,2025-01-14 11:08:42.000,3.8.4,239.0,spacy,conda-forge/spacy,,,,114257.0,111366.0,https://pypi.org/project/spacy,2025-01-14 11:08:42.000,2891.0,10246167.0,10337097.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,5000259.0,,,,,1.0,1455.0,,,,,,,1.0,,,,,,,,,,,,
27,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-01-16 10:14:00.000000,2025-01-16 10:14:00,7031.0,418.0,4317.0,306.0,9929.0,1689.0,2655.0,19248.0,Open source platform for the machine learning lifecycle.,810.0,44,True,2024-12-11 12:49:06.000,2.19.0,122.0,mlflow,conda-forge/mlflow,,,,50944.0,49986.0,https://pypi.org/project/mlflow,2025-01-14 13:34:20.000,958.0,12844226.0,12891718.0,https://anaconda.org/conda-forge/mlflow,2024-12-12 05:57:45.831,2612068.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-01-16 14:49:18.000000,2025-01-16 06:02:45,19051.0,948.0,1905.0,90.0,3619.0,1070.0,3145.0,16237.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",378.0,44,True,2025-01-16 03:32:38.000,1.58.2-de2,1057.0,litellm,,,,others,6840.0,6147.0,https://pypi.org/project/litellm,2025-01-15 05:18:55.000,693.0,3578814.0,3578967.0,,,,,,,,1.0,461.0,,,,,,,1.0,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-01-16 12:17:25.000000,2025-01-16 12:17:25,9419.0,169.0,1732.0,214.0,6129.0,1092.0,4341.0,12845.0,Parallel computing with task scheduling.,619.0,44,True,2024-12-17 20:26:41.000,2024.12.1,214.0,dask,conda-forge/dask,,,,71456.0,68903.0,https://pypi.org/project/dask,2024-12-17 20:26:41.000,2553.0,9462480.0,9685672.0,https://anaconda.org/conda-forge/dask,2024-12-17 22:58:45.484,12498798.0,,,,,1.0,,,,,,,,,stable/dask,,,,,,,,,,,
30,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-01-09 12:21:35.000000,2025-01-09 11:28:08,10502.0,74.0,3410.0,252.0,10366.0,844.0,6350.0,28799.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",993.0,43,True,2024-12-21 01:35:39.000,2.5.0.post0,282.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],42326.0,40790.0,https://pypi.org/project/pytorch-lightning,2024-12-21 01:36:45.000,1536.0,6146735.0,6172443.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-12-22 08:21:07.098,1399323.0,,,,,2.0,11203.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,,
31,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-01-15 19:29:13.000000,2025-01-15 16:30:03,7771.0,41.0,2077.0,425.0,1169.0,495.0,1377.0,21804.0,Data Apps & Dashboards for Python. No JavaScript Required.,169.0,43,True,2024-11-04 21:17:37.000,2.18.2,182.0,dash,conda-forge/dash,,,,76983.0,75636.0,https://pypi.org/project/dash,2024-11-04 21:12:56.000,1347.0,4194567.0,4224302.0,https://anaconda.org/conda-forge/dash,2024-12-15 07:31:13.084,1635370.0,,,,,1.0,87.0,,,,,,,,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-01-16 14:16:35.000000,2025-01-14 19:10:59,2965.0,96.0,3694.0,435.0,3517.0,342.0,2580.0,18254.0,Open standard for machine learning interoperability.,330.0,43,True,2024-10-01 21:45:45.000,1.17.0,35.0,onnx,conda-forge/onnx,,,,39761.0,38708.0,https://pypi.org/project/onnx,2024-10-01 21:45:45.000,1053.0,5144173.0,5170334.0,https://anaconda.org/conda-forge/onnx,2024-12-31 09:55:45.556,1424583.0,,,,,1.0,22688.0,,,,,,,,,,,,,,,,,,,
33,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-01-16 12:12:36.000000,2025-01-15 20:56:22,3224.0,416.0,1651.0,197.0,3876.0,688.0,901.0,14030.0,Development repository for the Triton language and compiler.,356.0,43,True,2024-10-14 16:05:32.000,3.1.0,196.0,triton,,,,,49581.0,49316.0,https://pypi.org/project/triton,2024-10-14 16:05:32.000,265.0,13411111.0,13411111.0,,,,,,,,1.0,,triton-lang/triton,,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-01-16 14:31:54.000000,2025-01-16 14:31:54,5068.0,62.0,2098.0,1666.0,4935.0,363.0,2749.0,12392.0,WebGL2 powered visualization framework.,279.0,43,True,2025-01-15 15:58:31.199,9.0.40,681.0,pydeck,conda-forge/pydeck,,,['jupyter'],8961.0,8530.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,120.0,4720802.0,5131579.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,675461.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-01-15 15:58:31.199,311.0,399329.0,,,,,,,,,,,,,
35,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-01-16 04:42:40.000000,2025-01-16 04:42:40,18834.0,481.0,1044.0,118.0,3832.0,60.0,1642.0,11230.0,A hyperparameter optimization framework.,284.0,43,True,2024-11-12 05:51:56.000,4.1.0,67.0,optuna,conda-forge/optuna,,,,22012.0,20977.0,https://pypi.org/project/optuna,2024-11-12 05:51:56.000,1035.0,3251931.0,3290498.0,https://anaconda.org/conda-forge/optuna,2024-12-23 04:20:25.969,2121217.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2025-01-15 16:11:31.000000,2025-01-15 16:11:31,2662.0,152.0,4802.0,318.0,577.0,48.0,903.0,32915.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",167.0,42,True,2025-01-09 18:49:44.000,1.0.13,64.0,timm,conda-forge/timm,,,['pytorch'],46027.0,44968.0,https://pypi.org/project/timm,2025-01-09 18:46:53.000,1059.0,5051249.0,5165823.0,https://anaconda.org/conda-forge/timm,2025-01-11 18:16:23.093,299258.0,,,,,1.0,7414268.0,huggingface/pytorch-image-models,,,,,,,,,,,,,,,,,,
37,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2025-01-16 14:42:04.379115,2025-01-16 14:05:01,21663.0,695.0,3000.0,285.0,24095.0,758.0,11938.0,31909.0,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search.",302.0,42,True,2025-01-13 10:47:52.000,2.5.3,111.0,pymilvus,,milvusdb/milvus,,,205.0,,https://pypi.org/project/pymilvus,2025-01-02 11:19:58.000,205.0,1037591.0,2094410.0,,,,https://hub.docker.com/r/milvusdb/milvus,2025-01-16 14:42:04.379115,66.0,67322714.0,1.0,299073.0,,,,,,,,,,,,,,,,,,,
