,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
25,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-04-18 14:46:56.000000,2024-04-18 07:04:06,5713.0,476.0,3920.0,289.0,7949.0,1416.0,2408.0,17216.0,Open source platform for the machine learning lifecycle.,721.0,44,True,2024-04-17 13:49:52.000,2.12.1,96.0,mlflow,conda-forge/mlflow,,,,34281.0,33693.0,https://pypi.org/project/mlflow,2024-04-17 03:38:20.000,588.0,12504514.0,12544802.0,https://anaconda.org/conda-forge/mlflow,2024-04-18 12:52:55.901,1853292.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-04-18 13:55:04.000000,2024-04-17 15:46:48,6434.0,149.0,2481.0,278.0,1624.0,1500.0,1400.0,15223.0,The interactive graphing library for Python This project now includes Plotly Express!.,261.0,44,True,2024-04-17 15:27:19.000,5.21.0,297.0,plotly,conda-forge/plotly,,,,263075.0,257220.0,https://pypi.org/project/plotly,2024-04-17 15:19:34.000,5848.0,15091531.0,15216238.0,https://anaconda.org/conda-forge/plotly,2024-04-17 19:12:51.910,5555882.0,,,,,1.0,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,7.0,6497.0,,,,,,,,,,,
27,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-04-18 13:36:57.000000,2024-04-17 20:26:48,7672.0,102.0,3127.0,280.0,3746.0,319.0,2984.0,14153.0,Network Analysis in Python.,716.0,44,True,2024-04-06 13:09:07.000,networkx-3.3,94.0,networkx,conda-forge/networkx,,,,258641.0,243117.0,https://pypi.org/project/networkx,2024-04-06 12:59:44.000,15524.0,50314187.0,50661821.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,15295936.0,,,,,1.0,,67.0,,,,,,,,,,,,,,,,,,
28,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-04-18 14:11:00.000000,2024-04-18 14:11:00,8159.0,132.0,1665.0,211.0,5785.0,1047.0,4146.0,11979.0,Parallel computing with task scheduling.,600.0,44,True,2024-04-04 16:15:28.000,2024.4.1,194.0,dask,conda-forge/dask,,,,62421.0,59208.0,https://pypi.org/project/dask,2024-04-04 16:15:28.000,3213.0,7371659.0,7604722.0,https://anaconda.org/conda-forge/dask,2024-04-05 15:23:34.728,10953981.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-04-18 09:38:53.000000,2024-04-18 01:10:53,4841.0,215.0,2028.0,1687.0,4688.0,289.0,2672.0,11678.0,WebGL2 powered visualization framework.,257.0,44,True,2024-04-18 01:25:44.000,9.0.9,647.0,pydeck,conda-forge/pydeck,,,['jupyter'],8017.0,7456.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,61.0,3202703.0,3630159.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,500618.0,,,,,1.0,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-04-18 01:25:32.274,500.0,417444.0,,,,,,,,,,,
30,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-04-18 11:05:09.000000,2024-04-18 11:05:09,15308.0,39.0,2821.0,280.0,3869.0,2763.0,2749.0,9524.0,Statsmodels: statistical modeling and econometrics in Python.,426.0,44,True,2024-04-17 08:41:57.000,0.14.2,37.0,statsmodels,conda-forge/statsmodels,,,,126510.0,120790.0,https://pypi.org/project/statsmodels,2024-04-17 08:41:57.000,5720.0,17274917.0,17551081.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12703561.0,,,,,2.0,,31.0,,,,,,,,,,,,,,,,,,
31,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-04-18 14:19:16.000000,2024-04-16 16:08:48,5816.0,74.0,1624.0,193.0,4979.0,663.0,1227.0,6537.0,TensorFlows Visualization Toolkit.,319.0,44,True,2024-02-16 19:56:55.000,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],230740.0,227714.0,https://pypi.org/project/tensorboard,2024-02-16 19:56:55.000,3026.0,28069006.0,28168939.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4596947.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-04-09 13:41:51.000000,2024-04-05 12:26:56,2648.0,63.0,3124.0,241.0,853.0,1124.0,1309.0,21565.0,A game theoretic approach to explain the output of any machine learning model.,237.0,43,True,2024-03-08 11:55:08.000,0.45.0,102.0,shap,conda-forge/shap,,,,17321.0,16833.0,https://pypi.org/project/shap,2024-03-08 11:55:08.000,488.0,7928213.0,7992647.0,https://anaconda.org/conda-forge/shap,2024-04-03 17:47:00.611,2577397.0,,,,,1.0,,,,shap/shap,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-04-18 15:08:57.000000,2024-04-16 04:45:17,2716.0,79.0,3594.0,437.0,3187.0,312.0,2406.0,16785.0,Open standard for machine learning interoperability.,313.0,43,True,2024-03-25 15:40:18.000,1.16.0,32.0,onnx,conda-forge/onnx,,,,27178.0,26434.0,https://pypi.org/project/onnx,2024-03-25 15:25:07.000,744.0,5300399.0,5321457.0,https://anaconda.org/conda-forge/onnx,2024-03-26 22:34:37.040,956744.0,,,,,1.0,,20300.0,,,,,,,,,,,,,,,,,,
34,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-04-18 10:21:56.000000,2024-03-30 18:50:26,3231.0,5.0,1876.0,259.0,1099.0,129.0,2362.0,11938.0,Statistical data visualization in Python.,211.0,43,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,404461.0,392351.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,12110.0,17777064.0,17960493.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8437596.0,,,,,1.0,,384.0,,,,,,,,,,,,,,,,,,
35,triton,openai/triton,model-serialisation,,https://github.com/openai/triton,https://github.com/openai/triton,MIT,2014-08-30 17:07:16.000,2024-04-18 15:50:01.000000,2024-04-18 15:48:31,2097.0,474.0,1255.0,177.0,2419.0,518.0,659.0,10886.0,Development repository for the Triton language and compiler.,247.0,43,True,2024-04-05 02:47:42.000,2.3.0,193.0,triton,,,,,22836.0,22727.0,https://pypi.org/project/triton,2024-04-05 02:47:42.000,109.0,10198783.0,10198783.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-04-18 13:47:02.000000,2024-04-17 18:52:36,2260.0,194.0,3820.0,325.0,2683.0,1034.0,1583.0,32521.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",303.0,42,True,2024-04-15 19:52:37.000,0.14.1,89.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],6723.0,6616.0,https://pypi.org/project/deepspeed,2024-04-15 19:52:37.000,107.0,467286.0,467636.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17873.0,1.0,,,,,,,,,,,,,,,,,,,,
37,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-04-18 13:42:01.000000,2024-04-16 13:34:44,7388.0,288.0,1974.0,416.0,1055.0,829.0,899.0,20458.0,Data Apps & Dashboards for Python. No JavaScript Required.,152.0,42,True,2024-03-06 20:00:34.000,2.16.1,177.0,dash,conda-forge/dash,,,,63021.0,61506.0,https://pypi.org/project/dash,2024-03-06 19:54:50.000,1515.0,2836960.0,2864027.0,https://anaconda.org/conda-forge/dash,2024-03-10 12:59:07.948,1245051.0,,,,,1.0,,70.0,,,,,,,,,,,,,,,,,,
