,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-03-10 13:20:53.000000,2022-03-10 11:27:35,27453.0,567.0,4130,331.0,7757.0,1793.0,6493.0,9308,"Ecosystem of open-source software for mathematics, science, and engineering.",1245.0,49,True,2022-02-05 23:29:16.000,1.8.0,77.0,scipy,conda-forge/scipy,,,,530306.0,473587.0,https://pypi.org/project/scipy,2022-02-05 22:53:25.000,56719.0,36808015.0,37114488.0,https://anaconda.org/conda-forge/scipy,2022-02-09 01:10:04.440,21155620.0,,,,,1.0,340018.0,,,,,,,,,,,,,,,,,,,
11,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-03-10 14:01:19.000000,2022-03-10 14:01:05,9173.0,715.0,13604,795.0,7167.0,439.0,8469.0,59141,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1172.0,48,True,2022-03-03 15:19:06.000,4.17.0,88.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",24447.0,23661.0,https://pypi.org/project/transformers,2022-03-03 15:15:23.000,786.0,4603313.0,4606957.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,104687.0,,,,,1.0,1434.0,,,,,,,,,,,,,,,,,,,
12,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-03-10 13:45:36.000000,2022-03-09 13:51:48,11844.0,47.0,4207,474.0,2504.0,517.0,4162.0,18765,Asynchronous task queue/job queue based on distributed message passing.,1184.0,46,True,2021-12-29 05:52:09.000,5.2.3,187.0,celery,conda-forge/celery,,,,80768.0,65935.0,https://pypi.org/project/celery,2021-12-29 05:52:09.000,14833.0,5414771.0,5425761.0,https://anaconda.org/conda-forge/celery,2022-02-07 19:32:02.369,791351.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-03-10 14:43:53.000000,2022-03-10 12:33:53,15342.0,985.0,10154,736.0,15718.0,883.0,4301.0,25397,"Platform to programmatically author, schedule, and monitor workflows.",2312.0,45,True,2022-02-22 20:36:03.000,2.2.4,102.0,apache-airflow,conda-forge/airflow,apache/airflow,,,450.0,,https://pypi.org/project/apache-airflow,2022-02-22 19:55:33.000,450.0,5945868.0,6756829.0,https://anaconda.org/conda-forge/airflow,2022-02-28 17:47:50.844,550537.0,https://hub.docker.com/r/apache/airflow,2022-02-22 21:49:27.873222,321.0,66250293.0,1.0,258567.0,stable/airflow,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-03-09 22:56:02.000000,2022-03-06 21:01:31,12788.0,404.0,1788,212.0,3654.0,152.0,2321.0,9539,The friendly PIL fork (Python Imaging Library).,386.0,45,True,2022-02-03 03:49:29.000,9.0.1,86.0,Pillow,conda-forge/pillow,,,,62222.0,,https://pypi.org/project/Pillow,2022-02-03 03:41:36.000,62222.0,38485695.0,38670181.0,https://anaconda.org/conda-forge/pillow,2022-02-20 02:46:33.099,13098513.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-03-09 19:16:15.000000,2022-03-09 13:37:43,50453.0,929.0,3610,291.0,11375.0,4390.0,7833.0,8944,A computer algebra system written in pure Python.,1129.0,45,True,2022-03-06 17:35:21.000,sympy-1.10,44.0,sympy,conda-forge/sympy,,,,44164.0,40045.0,https://pypi.org/project/sympy,2022-03-06 17:37:38.000,4119.0,1819444.0,1850828.0,https://anaconda.org/conda-forge/sympy,2022-03-06 21:10:15.201,1896580.0,,,,,1.0,446181.0,,,,,,,,,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-03-10 13:56:11.000000,2022-03-10 02:03:04,6594.0,308.0,18986,1973.0,5043.0,266.0,10899.0,54549,Deep Learning for humans.,1036.0,44,True,2022-02-03 05:13:44.000,2.8.0,61.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],224.0,,https://pypi.org/project/keras,2022-01-31 19:00:05.000,224.0,8813492.0,8844535.0,https://anaconda.org/conda-forge/keras,2022-02-04 15:14:03.939,2079947.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-03-10 13:15:15.000000,2022-03-08 15:04:10,15339.0,130.0,3726,567.0,2975.0,100.0,4970.0,22747,Industrial-strength Natural Language Processing (NLP) in Python.,661.0,44,True,2022-03-01 12:13:12.000,3.2.3,192.0,spacy,conda-forge/spacy,,,,38143.0,35886.0,https://pypi.org/project/spacy,2022-02-11 13:10:28.000,2257.0,4514755.0,4556839.0,https://anaconda.org/conda-forge/spacy,2022-02-12 12:08:41.343,2564237.0,,,,,1.0,3127.0,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-03-10 08:46:10.000000,2022-03-09 16:21:48,5689.0,110.0,8315,938.0,3405.0,302.0,4066.0,22301,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",549.0,44,True,2022-01-17 16:17:38.000,1.5.2,61.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,29202.0,27921.0,https://pypi.org/project/xgboost,2022-01-17 16:17:38.000,1281.0,7995446.0,8034938.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2367213.0,,,,,1.0,3756.0,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-03-10 12:56:59.000000,2022-03-09 21:08:03,19507.0,82.0,3881,460.0,5106.0,708.0,6175.0,16038,"Interactive Data Visualization in the browser, from Python.",599.0,44,True,2021-11-22 17:49:14.000,2.4.2,119.0,bokeh,conda-forge/bokeh,,,,50488.0,46990.0,https://pypi.org/project/bokeh,2022-03-03 18:34:50.000,3498.0,4344714.0,4457638.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6662519.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-03-09 17:36:58.000000,2022-03-01 23:43:42,14228.0,36.0,2562,474.0,1339.0,217.0,1381.0,10534,Suite of libraries and programs for symbolic and statistical natural language processing for English.,413.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,145092.0,133281.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11811.0,11435874.0,11452911.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1141489.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-03-10 14:19:48.000000,2022-03-10 14:19:48,6737.0,86.0,2517,275.0,2505.0,329.0,2481.0,10420,Network Analysis in Python.,572.0,44,True,2022-03-05 14:43:11.000,2.7.1,73.0,networkx,conda-forge/networkx,,,,113597.0,100418.0,https://pypi.org/project/networkx,2022-03-05 14:43:11.000,13179.0,16319455.0,16406836.0,https://anaconda.org/conda-forge/networkx,2022-03-05 16:24:43.122,5679786.0,,,,,1.0,57.0,,,,,,,,,,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-03-09 12:57:58.000000,2022-03-02 10:23:52,14511.0,196.0,2431,259.0,3522.0,2266.0,2496.0,7171,Statsmodels: statistical modeling and econometrics in Python.,361.0,44,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,63557.0,59044.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,7965685.0,8048026.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,5681565.0,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,,
23,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-03-07 23:33:48.000000,2022-03-01 09:55:08,13107.0,92.0,1962,185.0,3686.0,327.0,1990.0,4810,Image processing in Python.,545.0,44,True,2022-02-17 18:25:54.000,0.19.2,44.0,scikit-image,conda-forge/scikit-image,,,,104777.0,95687.0,https://pypi.org/project/scikit-image,2022-02-17 18:24:44.000,9090.0,4932434.0,4978265.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3208179.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-03-10 14:01:24.000000,2022-03-10 13:49:16,11596.0,925.0,3336,419.0,13415.0,2384.0,7331.0,19461,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",638.0,43,True,2022-03-09 01:45:26.000,ray-1.11.0,68.0,ray,conda-forge/ray-tune,,,,4396.0,4155.0,https://pypi.org/project/ray,2022-03-09 01:43:54.000,241.0,1042493.0,1044045.0,https://anaconda.org/conda-forge/ray-tune,2022-02-07 13:21:59.855,23280.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-03-10 14:10:03.000000,2022-03-10 01:47:53,7047.0,171.0,1449,228.0,4485.0,760.0,3497.0,9637,Parallel computing with task scheduling.,515.0,43,True,2022-02-25 17:41:00.000,2022.2.1,137.0,dask,conda-forge/dask,,,,37174.0,34604.0,https://pypi.org/project/dask,2022-02-25 17:41:00.000,2570.0,5901397.0,5974155.0,https://anaconda.org/conda-forge/dask,2022-02-25 22:30:56.872,5093114.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
26,Arrow,apache/arrow,data-containers,,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000,2022-03-10 14:37:33.000000,2022-03-10 11:39:14,11079.0,538.0,2250,337.0,11865.0,227.0,708.0,9218,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,817.0,43,True,2021-11-18 03:54:39.000,6.0.1,36.0,pyarrow,conda-forge/arrow,,,,1477.0,64.0,https://pypi.org/project/pyarrow,2022-02-03 19:25:09.000,1413.0,52911181.0,52923938.0,https://anaconda.org/conda-forge/arrow,2022-01-27 20:04:47.163,893025.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-03-10 02:14:25.000000,2022-03-09 00:27:25,4970.0,89.0,1472,191.0,3983.0,554.0,1103.0,5781,TensorFlows Visualization Toolkit.,277.0,43,True,2022-01-20 21:11:31.000,2.8.0,40.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],100348.0,98047.0,https://pypi.org/project/tensorboard,2022-01-20 21:11:31.000,2301.0,13157908.0,13211167.0,https://anaconda.org/conda-forge/tensorboard,2022-02-04 23:08:31.070,2769505.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-03-10 14:02:00.000000,2022-03-10 13:58:09,32581.0,713.0,25242,2084.0,35778.0,248.0,,32245,Apache Spark Python API.,2634.0,42,True,2022-01-26 05:20:58.000,3.2.1,29.0,pyspark,conda-forge/pyspark,,,['spark'],774.0,,https://pypi.org/project/pyspark,2022-01-26 05:20:58.000,774.0,18623556.0,18648311.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1485343.0,,,,,2.0,,stable/spark,,,,,,,,,,,,,,,,,,
29,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-03-10 13:42:45.000000,2022-03-09 18:35:50,6646.0,432.0,2174,222.0,5823.0,490.0,4244.0,17607,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",632.0,42,True,2022-02-09 20:53:39.000,1.5.10,203.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],7712.0,7402.0,https://pypi.org/project/pytorch-lightning,2022-02-09 20:53:39.000,310.0,1451017.0,1470239.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-02-12 08:07:33.695,400002.0,,,,,2.0,5603.0,,,,,,,,,,,,,,,,,,,
30,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-03-10 13:51:21.000000,2022-03-10 02:48:03,10741.0,759.0,1500,263.0,5931.0,987.0,2127.0,16622,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",368.0,42,True,2022-02-18 22:37:57.000,0.3.1,108.0,jax,conda-forge/jaxlib,,,,3957.0,3691.0,https://pypi.org/project/jax,2022-02-18 22:37:57.000,266.0,344753.0,353566.0,https://anaconda.org/conda-forge/jaxlib,2022-03-07 23:24:44.155,282021.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
31,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-03-10 04:03:00.000000,2022-03-09 03:34:17,2894.0,77.0,3459,446.0,2479.0,168.0,2412.0,13533,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",252.0,42,True,2022-01-07 15:20:18.000,3.3.2,28.0,lightgbm,conda-forge/lightgbm,,,,12287.0,11711.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,576.0,6006571.0,6025337.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,917254.0,,,,,2.0,140841.0,,,,,,,,,,,,,,,,,,,
32,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-03-07 21:00:29.000000,2022-03-03 19:04:01,5381.0,51.0,2110,272.0,1308.0,1097.0,1163.0,11116,The interactive graphing library for Python (includes Plotly Express).,191.0,42,True,2022-02-09 18:43:08.000,5.6.0,277.0,plotly,conda-forge/plotly,,,,3852.0,9.0,https://pypi.org/project/plotly,2022-02-09 18:28:55.000,3839.0,7265813.0,7341383.0,https://anaconda.org/conda-forge/plotly,2022-02-10 14:36:08.196,2251371.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,41968.0,,,,,,,,,,,,,
33,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-03-10 14:17:23.000000,2022-03-09 19:34:09,2529.0,214.0,5588,365.0,3398.0,650.0,1640.0,11054,"Datasets, Transforms and Models specific to Computer Vision.",465.0,42,True,2022-01-27 22:31:01.000,0.11.3,29.0,torchvision,conda-forge/torchvision,,,['pytorch'],3482.0,,https://pypi.org/project/torchvision,2022-01-27 20:36:45.000,3482.0,3341872.0,3345451.0,https://anaconda.org/conda-forge/torchvision,2022-02-06 13:13:27.836,182568.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-03-08 17:23:22.000000,2022-03-08 16:56:37,3989.0,102.0,1733,1752.0,3757.0,131.0,2248.0,9571,WebGL2 powered visualization framework.,190.0,42,True,2022-02-25 17:15:23.000,8.7.0,521.0,pydeck,conda-forge/pydeck,,,['jupyter'],4113.0,3711.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,17.0,834663.0,1141336.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,71258.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-02-25 17:16:37.290,385.0,303823.0,,,,,,,,,,,,,
35,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-03-09 22:44:31.000000,2022-03-04 20:50:53,1533.0,92.0,7603,996.0,1168.0,101.0,1407.0,26862,A toolkit for developing and comparing reinforcement learning algorithms.,348.0,41,True,2022-03-04 20:51:37.000,0.23.0,98.0,gym,conda-forge/gym,,,,29513.0,27115.0,https://pypi.org/project/gym,2022-03-07 22:01:56.000,2398.0,415701.0,419724.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,92535.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-03-10 14:04:51.000000,2022-03-10 12:50:24,34425.0,1403.0,4314,736.0,26044.0,2852.0,12235.0,17748,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,712.0,41,True,2022-01-26 02:13:57.000,2.2.2,52.0,paddlepaddle,,,,['paddle'],141.0,97.0,https://pypi.org/project/paddlepaddle,2022-01-20 03:02:58.000,44.0,100697.0,100925.0,,,,,,,,2.0,15311.0,,,,,,,,,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-03-10 13:03:42.000000,2022-03-10 01:03:30,1908.0,48.0,2471,430.0,2152.0,517.0,1380.0,12155,Open standard for machine learning interoperability.,224.0,41,True,2022-02-17 21:58:59.000,1.11.0,25.0,onnx,conda-forge/onnx,,,,6193.0,5847.0,https://pypi.org/project/onnx,2022-02-17 19:16:40.000,346.0,1334573.0,1341875.0,https://anaconda.org/conda-forge/onnx,2022-03-01 13:35:47.004,362620.0,,,,,1.0,17478.0,,,,,,,,,,,,,,,,,,,
