,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-04-04 01:57:24.000000,2024-04-03 23:44:06,31966.0,602.0,4990.0,348.0,10534.0,1764.0,8341.0,12367.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1609.0,50,True,2024-04-02 21:56:52.000,1.13.0,101.0,scipy,conda-forge/scipy,,,,1027202.0,959785.0,https://pypi.org/project/scipy,2024-04-02 21:41:20.000,67417.0,101064321.0,102196463.0,https://anaconda.org/conda-forge/scipy,2024-01-24 03:11:41.395,46262481.0,,,,,1.0,397854.0,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-04-04 13:28:27.000000,2024-04-04 13:00:13,50044.0,591.0,7220.0,595.0,17843.0,1157.0,8990.0,19116.0,matplotlib: plotting with Python.,1662.0,48,True,2024-04-04 00:27:55.000,3.8.4,83.0,matplotlib,conda-forge/matplotlib,,,,1141859.0,1141859.0,https://pypi.org/project/matplotlib,,,60866242.0,61356586.0,https://anaconda.org/conda-forge/matplotlib,2024-02-15 20:37:52.070,22555826.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-04-04 01:17:20.000000,2024-04-03 06:23:28,17599.0,638.0,2104.0,222.0,4742.0,86.0,2970.0,11627.0,Python Imaging Library (Fork).,464.0,48,True,2024-04-01 12:34:53.000,10.3.0,95.0,Pillow,conda-forge/pillow,,,,1667903.0,1599930.0,https://pypi.org/project/Pillow,2023-10-15 13:01:25.000,67973.0,92237647.0,93068440.0,https://anaconda.org/conda-forge/pillow,2024-04-03 15:56:48.771,37385698.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-04-04 13:05:57.000000,2024-04-04 12:49:06,57415.0,553.0,4226.0,294.0,13079.0,4986.0,8708.0,12313.0,A computer algebra system written in pure Python.,1290.0,47,True,2024-03-31 22:49:13.000,1.12.1rc1,55.0,sympy,conda-forge/sympy,,,,128527.0,123523.0,https://pypi.org/project/sympy,2024-03-31 22:48:43.000,5004.0,22937455.0,22996023.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5168003.0,,,,,1.0,537748.0,,,,,,,,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-04-04 14:07:08.000000,2024-04-04 00:18:55,6215.0,212.0,2754.0,308.0,4288.0,793.0,3275.0,31152.0,Streamlit A faster way to build and share data apps.,224.0,46,True,2024-03-14 15:16:16.000,1.32.2,219.0,streamlit,,,,,347698.0,346185.0,https://pypi.org/project/streamlit,2024-03-14 15:16:07.000,1513.0,4289426.0,4289426.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-04-04 14:11:29.000000,2024-04-04 13:53:05,21190.0,907.0,5157.0,470.0,27000.0,3597.0,14049.0,30734.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,997.0,45,True,2024-03-21 19:02:34.000,ray-2.10.0,100.0,ray,conda-forge/ray-tune,,,,15074.0,14583.0,https://pypi.org/project/ray,2024-03-21 18:35:24.000,491.0,3583025.0,3587835.0,https://anaconda.org/conda-forge/ray-tune,2024-03-24 13:08:51.334,192321.0,,,,,1.0,208.0,,,,,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-04-04 14:18:06.000000,2024-04-04 12:35:28,20058.0,1245.0,2522.0,322.0,12994.0,1667.0,3785.0,27658.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",666.0,45,True,2024-04-03 22:09:19.000,jax-v0.4.26,160.0,jax,conda-forge/jaxlib,,,,24503.0,23579.0,https://pypi.org/project/jax,2024-04-03 21:45:34.000,924.0,5643534.0,5667089.0,https://anaconda.org/conda-forge/jaxlib,2024-03-17 07:48:22.558,1083535.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
17,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-04-04 14:13:43.000000,2024-04-04 00:42:25,10260.0,226.0,3225.0,247.0,10064.0,673.0,6170.0,26673.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",944.0,45,True,2024-03-04 18:59:32.000,2.2.1,268.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],31401.0,30583.0,https://pypi.org/project/pytorch-lightning,2024-03-04 18:59:32.000,818.0,4884326.0,4908049.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-03-05 21:00:43.443,1079994.0,,,,,1.0,8844.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-04-04 07:07:52.000000,2024-04-03 23:45:54,6795.0,90.0,8162.0,910.0,5043.0,360.0,4750.0,25497.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",638.0,45,True,2023-12-19 10:07:53.000,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,86138.0,86138.0,https://pypi.org/project/xgboost,,,18613606.0,18716244.0,https://anaconda.org/conda-forge/xgboost,2024-04-02 17:25:29.060,4615678.0,,,,,1.0,8236.0,,,,,,,,,,,,,,,,,,
19,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-04-04 12:52:22.000000,2024-04-03 18:09:43,47655.0,1807.0,5278.0,720.0,45150.0,950.0,16907.0,21549.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1183.0,45,True,2024-01-08 06:43:49.000,2.6.0,61.0,paddlepaddle,,,,['paddle'],4874.0,4874.0,https://pypi.org/project/paddlepaddle,,,227873.0,228040.0,,,,,,,,1.0,15369.0,,,,,,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-04-04 13:50:36.000000,2024-04-04 06:15:28,20447.0,94.0,4154.0,443.0,6023.0,751.0,6859.0,18747.0,"Interactive Data Visualization in the browser, from Python.",690.0,45,True,2024-03-14 16:38:08.000,3.4.0,199.0,bokeh,conda-forge/bokeh,,,,89553.0,85711.0,https://pypi.org/project/bokeh,2024-03-18 16:22:43.000,3842.0,5049609.0,5344714.0,https://anaconda.org/conda-forge/bokeh,2024-03-15 07:03:52.633,13574844.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-04-04 12:39:26.735000,2024-04-04 10:55:08,16122.0,28.0,4191.0,553.0,3972.0,84.0,5487.0,28596.0,Industrial-strength Natural Language Processing (NLP) in Python.,749.0,44,True,2024-02-15 19:16:59.000,3.7.4,100.0,spacy,conda-forge/spacy,,,,84232.0,84232.0,https://pypi.org/project/spacy,,,7603911.0,7676807.0,https://anaconda.org/conda-forge/spacy,2024-04-04 12:39:26.735,3353247.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
22,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-04-04 13:15:03.000000,2024-04-04 08:53:36,5654.0,456.0,3883.0,290.0,7853.0,1397.0,2390.0,17099.0,Open source platform for the machine learning lifecycle.,715.0,44,True,2024-03-22 01:05:35.000,2.11.3,94.0,mlflow,conda-forge/mlflow,,,,33520.0,32947.0,https://pypi.org/project/mlflow,2024-03-21 21:09:52.000,573.0,12955894.0,12995295.0,https://anaconda.org/conda-forge/mlflow,2024-03-22 09:15:59.167,1812480.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
23,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-04-03 18:35:19.000000,2024-03-22 15:38:47,6390.0,120.0,2471.0,281.0,1619.0,1487.0,1399.0,15132.0,The interactive graphing library for Python This project now includes Plotly Express!.,259.0,44,True,2024-03-13 16:27:36.000,5.20.0,296.0,plotly,conda-forge/plotly,,,,258748.0,252945.0,https://pypi.org/project/plotly,2024-03-13 16:21:20.000,5796.0,14760883.0,14883587.0,https://anaconda.org/conda-forge/plotly,2024-02-15 18:15:23.292,5451070.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,7.0,6724.0,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-04-04 14:12:00.000000,2024-04-03 22:50:15,8147.0,179.0,1666.0,212.0,5776.0,1053.0,4136.0,11940.0,Parallel computing with task scheduling.,597.0,44,True,2024-04-01 19:42:52.000,2024.4.0,193.0,dask,conda-forge/dask,,,,61944.0,58758.0,https://pypi.org/project/dask,2024-04-01 19:42:52.000,3186.0,7105421.0,7336817.0,https://anaconda.org/conda-forge/dask,2024-04-02 01:05:48.705,10875639.0,,,,,1.0,,,,,,,,stable/dask,,,,,,,,,,,
25,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-04-04 06:48:19.000000,2024-04-04 05:48:59,4813.0,211.0,2027.0,1690.0,4656.0,291.0,2657.0,11649.0,WebGL2 powered visualization framework.,255.0,44,True,2024-04-02 16:56:40.000,9.0.4,642.0,pydeck,conda-forge/pydeck,,,['jupyter'],7944.0,7385.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,61.0,3208444.0,3634198.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,492565.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-04-02 16:56:27.687,498.0,415903.0,,,,,,,,,,,,
26,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-04-03 14:40:11.000000,2024-03-29 17:44:04,15288.0,28.0,2640.0,280.0,3857.0,2589.0,2743.0,9479.0,Statsmodels: statistical modeling and econometrics in Python.,424.0,44,True,2023-12-14 14:31:51.000,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,119425.0,119425.0,https://pypi.org/project/statsmodels,,,17181322.0,17453941.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12540505.0,,,,,2.0,30.0,,,,,,,,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-04-04 08:36:10.000000,2024-04-03 17:22:01,5810.0,72.0,1620.0,192.0,4972.0,659.0,1227.0,6523.0,TensorFlows Visualization Toolkit.,319.0,44,True,2024-02-16 19:56:55.000,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],227546.0,224547.0,https://pypi.org/project/tensorboard,2024-02-16 19:56:55.000,2999.0,28816547.0,28915782.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4564845.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
28,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-04-04 13:59:52.000000,2024-04-03 23:07:39,10451.0,236.0,18638.0,1906.0,7039.0,220.0,11506.0,60805.0,Deep Learning for humans.,1285.0,43,True,2024-03-19 18:22:02.000,3.1.1,61.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,,,17871022.0,17945271.0,https://anaconda.org/conda-forge/keras,2024-03-22 14:49:27.132,3415464.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
29,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-04-04 14:35:54.000000,2024-04-04 11:38:12,6463.0,373.0,2066.0,154.0,3554.0,491.0,3513.0,28225.0,"Wrap UIs around any model, share with anyone.",286.0,43,True,2024-04-02 17:40:00.000,gradio@4.25.0,100.0,gradio,,,,,26519.0,26519.0,https://pypi.org/project/gradio,,,5444650.0,5444650.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
30,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-04-04 08:27:52.000000,2024-04-03 17:04:15,2704.0,75.0,3587.0,437.0,3178.0,311.0,2395.0,16713.0,Open standard for machine learning interoperability.,312.0,43,True,2024-03-25 15:40:18.000,1.16.0,32.0,onnx,conda-forge/onnx,,,,26503.0,25781.0,https://pypi.org/project/onnx,2024-03-25 15:25:07.000,722.0,5189870.0,5210652.0,https://anaconda.org/conda-forge/onnx,2024-03-26 22:34:37.040,944062.0,,,,,1.0,20239.0,,,,,,,,,,,,,,,,,,
31,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-04-04 13:12:59.000000,2024-04-03 21:43:50,7657.0,105.0,3120.0,279.0,3720.0,321.0,2980.0,14094.0,Network Analysis in Python.,714.0,43,True,2023-10-28 09:53:23.000,networkx-3.2.1,93.0,networkx,conda-forge/networkx,,,,253854.0,238405.0,https://pypi.org/project/networkx,2024-03-22 20:12:36.000,15449.0,48686744.0,49029798.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,15094391.0,,,,,1.0,67.0,,,,,,,,,,,,,,,,,,
32,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-04-01 05:07:40.000000,2024-03-30 18:50:26,3231.0,6.0,1876.0,260.0,1095.0,129.0,2360.0,11869.0,Statistical data visualization in Python.,211.0,43,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,397439.0,385435.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,12004.0,18238756.0,18419341.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8306788.0,,,,,1.0,380.0,,,,,,,,,,,,,,,,,,
33,triton,openai/triton,model-serialisation,,https://github.com/openai/triton,https://github.com/openai/triton,MIT,2014-08-30 17:07:16.000,2024-04-04 14:39:59.000000,2024-04-04 14:39:59,2005.0,426.0,1194.0,174.0,2317.0,495.0,651.0,10681.0,Development repository for the Triton language and compiler.,238.0,43,True,2024-01-10 03:11:56.000,2.2.0,192.0,triton,,,,,21401.0,21296.0,https://pypi.org/project/triton,2024-01-10 03:11:56.000,105.0,9988690.0,9988690.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
34,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-04-04 12:27:36.000000,2024-04-03 20:54:07,2229.0,202.0,3742.0,322.0,2646.0,972.0,1578.0,32279.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",298.0,42,True,2024-03-08 01:11:46.000,0.14.0,88.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],6497.0,6394.0,https://pypi.org/project/deepspeed,2024-03-08 01:11:46.000,103.0,470119.0,470468.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17840.0,1.0,,,,,,,,,,,,,,,,,,,
35,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-04-04 13:43:00.000000,2024-04-02 15:30:18,2641.0,58.0,3124.0,241.0,852.0,1204.0,1223.0,21464.0,A game theoretic approach to explain the output of any machine learning model.,236.0,42,True,2024-03-08 11:55:08.000,0.45.0,102.0,shap,conda-forge/shap,,,,17030.0,16546.0,https://pypi.org/project/shap,2024-03-08 11:55:08.000,484.0,8117872.0,8179892.0,https://anaconda.org/conda-forge/shap,2024-04-03 17:47:00.611,2480832.0,,,,,1.0,,shap/shap,,,,,,,,,,,,,,,,,
36,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-04-03 18:04:22.000000,2024-04-03 15:59:23,7364.0,273.0,1974.0,418.0,1051.0,829.0,895.0,20387.0,Data Apps & Dashboards for Python. No JavaScript Required.,149.0,42,True,2024-03-06 20:00:34.000,2.16.1,177.0,dash,conda-forge/dash,,,,62217.0,60716.0,https://pypi.org/project/dash,2024-03-06 19:54:50.000,1501.0,2911335.0,2938002.0,https://anaconda.org/conda-forge/dash,2024-03-10 12:59:07.948,1226654.0,,,,,1.0,70.0,,,,,,,,,,,,,,,,,,
37,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-04-03 19:21:42.000000,2024-03-25 13:46:12,3445.0,40.0,3795.0,435.0,3110.0,345.0,2938.0,15993.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",297.0,42,True,2024-01-26 03:29:02.000,4.3.0,36.0,lightgbm,conda-forge/lightgbm,,,,32122.0,31246.0,https://pypi.org/project/lightgbm,2024-01-26 03:29:02.000,876.0,7914435.0,7968842.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2227789.0,,,,,2.0,218261.0,,,,,,,,,,,,,,,,,,
38,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-04-02 21:31:38.000000,2024-04-02 21:31:38,2191.0,67.0,4449.0,306.0,453.0,76.0,779.0,29474.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",134.0,41,True,2024-02-19 19:35:21.000,0.9.16,55.0,timm,conda-forge/timm,,,['pytorch'],25831.0,25831.0,https://pypi.org/project/timm,,,4659682.0,4770444.0,https://anaconda.org/conda-forge/timm,2024-02-21 16:25:26.726,129980.0,,,,,1.0,6364595.0,huggingface/pytorch-image-models,,,,,,,,,,,,,,,,,
