,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-12-22 14:17:19.000000,2022-12-21 00:30:56,29210.0,428.0,4514,340.0,8897.0,1681.0,7334.0,10624,"Ecosystem of open-source software for mathematics, science, and engineering.",1401.0,49,True,2022-10-20 02:34:14.000,1.9.3,86.0,scipy,conda-forge/scipy,,362671.0,46230446.0,673561.0,615342.0,https://pypi.org/project/scipy,2022-10-20 00:45:22.690,58219.0,45833401.0,https://anaconda.org/conda-forge/scipy,2022-11-09 07:11:47.295,31044725.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-12-22 07:45:48.000000,2022-12-22 07:45:48,14123.0,357.0,1959,218.0,4032.0,123.0,2594.0,10384,The friendly PIL fork (Python Imaging Library).,420.0,47,True,2022-10-29 15:26:51.013,9.3.0,90.0,Pillow,conda-forge/pillow,,,51357886.0,1008887.0,945740.0,https://pypi.org/project/Pillow,2022-10-29 15:26:51.013,63147.0,51086041.0,https://anaconda.org/conda-forge/pillow,2022-12-22 00:50:46.029,21747602.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-12-22 11:22:21.000000,2022-12-22 11:22:21,52629.0,381.0,3779,283.0,11954.0,4594.0,8211.0,9902,A computer algebra system written in pure Python.,1186.0,47,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,479497.0,3366275.0,53900.0,49691.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4209.0,3327627.0,https://anaconda.org/conda-forge/sympy,2022-10-27 02:25:19.270,2718012.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-12-22 13:36:44.000000,2022-12-21 23:10:22,7599.0,215.0,19226,1938.0,5771.0,349.0,11298.0,56898,Deep Learning for humans.,1134.0,45,True,2022-11-14 18:10:37.000,2.11.0,73.0,keras,conda-forge/keras,['tensorflow'],,10050823.0,330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,10014183.0,https://anaconda.org/conda-forge/keras,2022-11-21 08:56:09.864,2784709.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-12-22 14:01:06.000000,2022-12-22 10:27:53,15462.0,1139.0,4073,435.0,18679.0,2657.0,9898.0,23163,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,793.0,45,True,2022-12-13 19:58:35.871,2.2.0,79.0,ray,conda-forge/ray-tune,,,1928313.0,6998.0,6719.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,1924708.0,https://anaconda.org/conda-forge/ray-tune,2022-12-13 16:15:12.918,86533.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-12-22 14:20:00.000000,2022-12-22 12:55:08,35134.0,948.0,26386,2064.0,39155.0,218.0,,34601,Apache Spark Python API.,2781.0,44,True,2022-11-28 18:27:04.218,3.2.3,32.0,pyspark,conda-forge/pyspark,['spark'],,26807947.0,845.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,845.0,26775807.0,https://anaconda.org/conda-forge/pyspark,2022-12-20 19:29:42.235,2217699.0,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-12-22 14:00:54.000000,2022-12-22 09:53:16,15750.0,128.0,3988,550.0,3499.0,99.0,5228.0,24831,Industrial-strength Natural Language Processing (NLP) in Python.,712.0,44,True,2022-12-16 07:55:55.000,2.3.9,205.0,spacy,conda-forge/spacy,,,4384680.0,49796.0,47421.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4343335.0,https://anaconda.org/conda-forge/spacy,2022-11-16 19:33:53.065,2894219.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-12-21 23:53:45.000000,2022-12-21 09:42:05,6114.0,178.0,8533,930.0,3965.0,347.0,4354.0,23571,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",589.0,44,True,2022-12-08 19:41:14.000,1.7.2,70.0,xgboost,conda-forge/xgboost,,5610.0,8698444.0,42320.0,40951.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1369.0,8648234.0,https://anaconda.org/conda-forge/xgboost,2022-11-07 20:50:22.110,3460900.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,
18,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-12-21 22:03:36.000000,2022-12-20 16:39:54,7134.0,101.0,2773,277.0,3043.0,394.0,2704.0,11977,Network Analysis in Python.,636.0,44,True,2022-11-01 20:33:20.972,2.8.8,84.0,networkx,conda-forge/networkx,,63.0,20509227.0,141945.0,128486.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13459.0,20383685.0,https://anaconda.org/conda-forge/networkx,2022-11-02 12:22:18.460,9290131.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-12-22 12:09:24.000000,2022-12-22 12:09:23,14396.0,44.0,2666,470.0,1395.0,232.0,1457.0,11329,Suite of libraries and programs for symbolic and statistical natural language processing for English.,436.0,44,True,2021-12-28 23:28:57.000,3.6.7,51.0,nltk,conda-forge/nltk,,,10945200.0,179489.0,167531.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11958.0,10923358.0,https://anaconda.org/conda-forge/nltk,2022-12-13 13:30:01.613,1660038.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-12-19 23:59:20.000000,2022-12-19 23:59:20,3090.0,46.0,1677,252.0,949.0,115.0,2107.0,10189,Statistical data visualization in Python.,182.0,44,True,2022-10-18 13:02:16.355,0.12.1,32.0,seaborn,conda-forge/seaborn,,238.0,8718531.0,212668.0,203258.0,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,8646414.0,https://anaconda.org/conda-forge/seaborn,2022-10-18 18:26:52.529,5480803.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
21,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-12-22 00:25:24.000000,2022-12-10 15:10:48,14848.0,130.0,2620,272.0,3675.0,2470.0,2598.0,8029,Statsmodels: statistical modeling and econometrics in Python.,402.0,44,True,2022-11-02 17:40:09.913,0.13.5,33.0,statsmodels,conda-forge/statsmodels,,26.0,9111199.0,80695.0,76030.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4665.0,9006136.0,https://anaconda.org/conda-forge/statsmodels,2022-11-04 18:55:06.900,8194943.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-12-22 10:50:01.000000,2022-12-22 05:59:51,14216.0,1063.0,1977,290.0,8399.0,1232.0,2778.0,21261,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",485.0,43,True,2022-12-13 18:24:20.000,jaxlib-v0.4.1,134.0,jax,conda-forge/jaxlib,,,734378.0,6822.0,6501.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,321.0,720576.0,https://anaconda.org/conda-forge/jaxlib,2022-12-14 15:37:17.163,565909.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-12-22 02:10:21.000000,2022-12-15 15:05:45,3137.0,45.0,3661,450.0,2758.0,254.0,2654.0,14481,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",275.0,43,True,2022-10-10 21:18:04.234,3.3.3,30.0,lightgbm,conda-forge/lightgbm,,173903.0,6344624.0,17804.0,17161.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,643.0,6320582.0,https://anaconda.org/conda-forge/lightgbm,2022-10-28 00:50:18.967,1396563.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-12-21 14:54:28.000000,2022-12-21 11:42:29,7484.0,113.0,1574,216.0,4992.0,835.0,3859.0,10596,Parallel computing with task scheduling.,570.0,43,True,2022-12-16 22:19:04.243,2022.12.1,160.0,dask,conda-forge/dask,,,7795745.0,45246.0,42581.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2665.0,7700805.0,https://anaconda.org/conda-forge/dask,2022-12-16 23:50:30.501,7500268.0,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-12-22 00:25:21.000000,2022-12-20 21:06:17,5306.0,113.0,1556,193.0,4381.0,616.0,1150.0,6060,TensorFlows Visualization Toolkit.,291.0,43,True,2022-11-09 01:43:55.758,2.11.0,45.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,16962629.0,139936.0,137517.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2419.0,16904301.0,https://anaconda.org/conda-forge/tensorboard,2022-11-09 05:16:36.975,3558050.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-12-21 11:45:43.000000,2022-12-17 16:05:03,13346.0,69.0,2075,186.0,3908.0,650.0,1904.0,5176,Image processing in Python.,586.0,43,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,5587384.0,130719.0,121354.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9365.0,5532199.0,https://anaconda.org/conda-forge/scikit-image,2022-10-30 12:02:37.338,4359662.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-12-22 14:15:03.000000,2022-12-22 13:59:14,8420.0,690.0,2687,227.0,7976.0,640.0,5141.0,21020,"Build and train PyTorch models and connect them to the ML lifecycle using Lightning App templates, without handling..",811.0,42,True,2022-12-21 19:21:24.787,1.8.6,237.0,pytorch-lightning,conda-forge/pytorch-lightning,['pytorch'],9895.0,3277837.0,395.0,,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,395.0,3256076.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-12-09 04:00:55.441,642240.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
28,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-12-22 13:41:23.000000,2022-12-22 12:58:35,39231.0,1537.0,4831,735.0,33342.0,3047.0,13794.0,19345,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,898.0,42,True,2022-12-13 09:22:18.000,2.4.1,59.0,paddlepaddle,,['paddle'],15328.0,100029.0,228.0,178.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,99828.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-12-21 11:05:40.000000,2022-12-21 08:43:51,19896.0,157.0,4011,452.0,5453.0,701.0,6415.0,17022,"Interactive Data Visualization in the browser, from Python.",624.0,42,True,2022-12-09 18:39:04.000,3.0.3,152.0,bokeh,conda-forge/bokeh,,,3696823.0,3729.0,177.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3552.0,3555857.0,https://anaconda.org/conda-forge/bokeh,2022-12-12 20:33:04.197,9585707.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-12-22 12:48:52.000000,2022-12-21 15:14:10,3241.0,220.0,6414,384.0,4385.0,828.0,2001.0,13014,"Datasets, Transforms and Models specific to Computer Vision.",514.0,42,True,2022-12-16 00:34:17.000,0.14.1,34.0,torchvision,conda-forge/torchvision,['pytorch'],16769.0,6922077.0,3716.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3716.0,6913987.0,https://anaconda.org/conda-forge/torchvision,2022-12-10 21:10:27.610,470679.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-12-21 19:13:03.000000,2022-12-16 15:19:38,4273.0,53.0,1892,1730.0,4067.0,199.0,2398.0,10488,WebGL2 powered visualization framework.,209.0,42,True,2022-11-15 10:22:32.162,8.8.20,568.0,pydeck,conda-forge/pydeck,['jupyter'],,1343241.0,5543.0,5100.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,984063.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,259189.0,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-11-15 10:22:32.162,419.0,351555.0,,,,,,,,,,,,,,,,,
32,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-11-23 06:34:20.000000,2022-10-25 17:01:14,1755.0,8.0,8124,999.0,1433.0,34.0,1697.0,29486,A toolkit for developing and comparing reinforcement learning algorithms.,384.0,41,True,2022-10-04 23:58:42.348,0.26.2,107.0,gym,conda-forge/gym,,,913117.0,37529.0,35059.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2470.0,907759.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,171462.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-12-22 10:41:45.000000,2022-12-21 22:40:47,5165.0,208.0,1962,284.0,2871.0,574.0,2353.0,21888,Streamlit The fastest way to build data apps in Python.,160.0,41,True,2022-12-15 00:04:04.781,1.16.0,191.0,streamlit,,,,1067260.0,957.0,536.0,https://pypi.org/project/streamlit,2022-07-27 21:22:03.770,421.0,1067260.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2022-12-22 14:18:35.000000,2022-12-16 09:04:27,30982.0,408.0,4185,346.0,5242.0,669.0,6065.0,15248,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",568.0,41,True,2022-12-14 15:48:01.070,3.4.0,283.0,rasa,,['tensorflow'],,160190.0,2895.0,2835.0,https://pypi.org/project/rasa,2022-07-06 04:02:56.000,60.0,160190.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-12-22 12:08:55.000000,2022-12-15 17:24:47,2117.0,65.0,3233,430.0,2453.0,328.0,1886.0,13838,Open standard for machine learning interoperability.,264.0,41,True,2022-12-12 14:38:36.000,1.13.0,27.0,onnx,conda-forge/onnx,,18276.0,2077960.0,10287.0,9895.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,392.0,2067652.0,https://anaconda.org/conda-forge/onnx,2022-12-15 14:09:08.911,610884.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-12-21 13:44:44.543000,2022-12-21 00:41:18,4427.0,37.0,4299,430.0,1635.0,387.0,1419.0,13807,Topic Modelling for Humans.,440.0,41,True,2022-12-21 00:42:57.000,4.3.0,91.0,gensim,conda-forge/gensim,,4004.0,4548550.0,42191.0,39290.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2901.0,4533529.0,https://anaconda.org/conda-forge/gensim,2022-12-21 13:44:44.543,943393.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-12-22 12:21:01.000000,2022-12-22 10:19:54,3603.0,407.0,3097,288.0,4807.0,998.0,1797.0,13263,Open source platform for the machine learning lifecycle.,530.0,41,True,2022-12-21 15:30:35.000,2.1.0,67.0,mlflow,conda-forge/mlflow,,,10869903.0,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,10844681.0,https://anaconda.org/conda-forge/mlflow,2022-12-07 04:28:47.238,1109803.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-12-13 19:27:57.000000,2022-10-27 20:14:12,5643.0,33.0,2250,275.0,1428.0,1316.0,1234.0,12640,The interactive graphing library for Python (includes Plotly Express).,201.0,41,True,2022-10-27 17:34:35.000,5.11.0,284.0,plotly,conda-forge/plotly,,,7803447.0,4159.0,13.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4142.0,7718279.0,https://anaconda.org/conda-forge/plotly,2022-12-05 13:36:59.426,3527461.0,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,38755.0,,,,,,,,,,,,,,,,,
