,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2024-02-15 10:15:51.000000,2024-02-14 22:45:24,49561.0,439.0,7406.0,594.0,17705.0,1542.0,8899.0,18863.0,matplotlib: plotting with Python.,1644.0,50,True,2024-02-15 01:48:12.000,3.8.3,120.0,matplotlib,conda-forge/matplotlib,,,,1152796.0,1088675.0,https://pypi.org/project/matplotlib,55172063.0,55665515.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21711930.0,,,,,1.0,,2024-02-15 01:48:12.000,64121.0,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-02-15 13:45:26.000000,2024-02-15 13:45:25,31572.0,438.0,4991.0,350.0,10353.0,1789.0,8209.0,12186.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1583.0,50,True,2024-01-20 22:00:44.000,1.12.0,99.0,scipy,conda-forge/scipy,,,,988241.0,921775.0,https://pypi.org/project/scipy,79921434.0,81078571.0,https://anaconda.org/conda-forge/scipy,2024-01-24 03:11:41.395,44979325.0,,,,,1.0,393565.0,2024-01-20 21:10:31.000,66466.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-02-15 09:31:00.000000,2024-02-15 09:23:43,17158.0,567.0,2173.0,224.0,4646.0,110.0,2929.0,11474.0,Python Imaging Library (Fork).,459.0,48,True,2024-01-02 09:38:41.000,10.2.0,95.0,Pillow,conda-forge/pillow,,,,1603121.0,1535378.0,https://pypi.org/project/Pillow,89037891.0,89874790.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35986681.0,,,,,1.0,,2023-10-15 13:01:25.000,67743.0,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-02-15 11:13:44.000000,2024-02-15 11:13:44,57119.0,453.0,4214.0,294.0,12945.0,4933.0,8659.0,11840.0,A computer algebra system written in pure Python.,1276.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,116453.0,111538.0,https://pypi.org/project/sympy,11479270.0,11536911.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4970995.0,,,,,1.0,532137.0,2023-05-10 18:24:09.226,4915.0,,,,,,,,,,,,,,,,,,
14,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-02-15 14:14:25.000000,2024-02-15 13:33:48,19397.0,1118.0,2385.0,321.0,12441.0,1255.0,3676.0,26612.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",635.0,45,True,2024-02-06 16:40:52.000,jax-v0.4.24,95.0,jax,conda-forge/jaxlib,,,,21885.0,21885.0,https://pypi.org/project/jax,5648440.0,5672273.0,https://anaconda.org/conda-forge/jaxlib,2024-02-14 13:36:46.247,1048681.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-02-15 02:53:54.000000,2024-02-14 18:01:38,6751.0,113.0,8145.0,909.0,4966.0,358.0,4713.0,25309.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",636.0,45,True,2023-12-19 10:07:53.000,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,80718.0,80718.0,https://pypi.org/project/xgboost,12608982.0,12714674.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4541915.0,,,,,1.0,8072.0,,,,,,,,,,,,,,,,,,,,
16,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-02-15 12:56:04.000000,2024-02-12 04:09:58,46629.0,1802.0,5227.0,723.0,43822.0,996.0,16725.0,21355.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1158.0,45,True,2024-01-08 06:43:49.000,2.6.0,61.0,paddlepaddle,,,,['paddle'],4630.0,4630.0,https://pypi.org/project/paddlepaddle,225864.0,226034.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,,,,,,,,
17,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-02-15 13:01:33.000000,2024-02-15 13:01:32,20386.0,84.0,4229.0,444.0,5969.0,767.0,6821.0,18579.0,"Interactive Data Visualization in the browser, from Python.",682.0,45,True,2024-01-25 18:45:35.000,3.3.4,194.0,bokeh,conda-forge/bokeh,,,,87250.0,83431.0,https://pypi.org/project/bokeh,4071328.0,4375270.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13373457.0,,,,,1.0,,2024-01-30 22:20:58.000,3819.0,,,,,,,,,,,,,,,,,,
18,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-02-13 23:43:19.000000,2024-02-13 23:43:19,15258.0,130.0,2622.0,280.0,3849.0,2566.0,2735.0,9301.0,Statsmodels: statistical modeling and econometrics in Python.,423.0,45,True,2023-12-14 14:31:51.000,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,114884.0,114884.0,https://pypi.org/project/statsmodels,12859683.0,13136794.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12192910.0,,,,,1.0,30.0,,,,,,,,,,,,,,,,,,,,
19,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-02-15 13:17:17.000000,2024-02-14 23:32:26,6121.0,180.0,2741.0,307.0,4143.0,736.0,3196.0,30152.0,Streamlit A faster way to build and share data apps.,220.0,44,True,2024-02-12 17:53:30.000,1.31.1,215.0,streamlit,,,,,309573.0,308186.0,https://pypi.org/project/streamlit,3466218.0,3466218.0,,,,,,,,1.0,,2024-02-12 17:53:21.000,1387.0,3.0,,,,,,,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-02-14 13:47:24.000000,2024-02-14 13:46:28,16116.0,41.0,4391.0,556.0,3963.0,91.0,5471.0,28249.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,44,True,2024-02-06 10:10:48.000,3.7.3,228.0,spacy,conda-forge/spacy,,,,83264.0,80279.0,https://pypi.org/project/spacy,6238454.0,6314164.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3331258.0,,,,,1.0,,2024-02-06 10:10:48.000,2985.0,,,,,,,,,,,,,,,,,,
21,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-02-15 10:42:29.000000,2024-02-14 22:49:11,10148.0,224.0,3118.0,247.0,9940.0,644.0,6089.0,26220.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",929.0,44,True,2024-02-12 19:43:45.000,2.2.0.post0,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],28949.0,28949.0,https://pypi.org/project/pytorch-lightning,4675465.0,4699655.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1051461.0,,,,,2.0,10001.0,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,
22,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-02-15 14:26:44.000000,2024-02-15 09:50:02,5402.0,362.0,3856.0,293.0,7494.0,1358.0,2336.0,16756.0,Open source platform for the machine learning lifecycle.,701.0,44,True,2024-02-09 12:58:56.000,2.10.2,90.0,mlflow,conda-forge/mlflow,,,,30924.0,30373.0,https://pypi.org/project/mlflow,15819930.0,15859281.0,https://anaconda.org/conda-forge/mlflow,2024-02-11 06:58:41.714,1731475.0,,,,,1.0,,2024-02-09 06:04:53.000,551.0,,,,,,,,,,,,,,,,,,
23,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-02-15 14:16:23.000000,2024-02-15 14:16:19,6326.0,82.0,2420.0,282.0,1602.0,1416.0,1381.0,14859.0,The interactive graphing library for Python This project now includes Plotly Express!.,254.0,44,True,2023-10-25 19:52:56.000,5.18.0,294.0,plotly,conda-forge/plotly,,,,244723.0,239083.0,https://pypi.org/project/plotly,12244187.0,12369062.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5229422.0,,,,,1.0,,2023-10-25 19:43:41.000,5633.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,7.0,8666.0,,,,,,,,,,,
24,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-02-15 13:34:58.000000,2024-02-15 13:34:57,7599.0,89.0,3172.0,275.0,3658.0,345.0,2952.0,13906.0,Network Analysis in Python.,708.0,44,True,2023-10-28 09:53:23.000,networkx-3.2.1,92.0,networkx,conda-forge/networkx,,,,238946.0,223711.0,https://pypi.org/project/networkx,43801744.0,44151789.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14701899.0,,,,,1.0,65.0,2023-10-28 08:41:36.000,15235.0,,,,,,,,,,,,,,,,,,
25,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-02-05 05:29:37.000000,2024-01-25 13:04:48,3229.0,30.0,1876.0,260.0,1087.0,129.0,2349.0,11671.0,Statistical data visualization in Python.,210.0,44,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,373170.0,361465.0,https://pypi.org/project/seaborn,14699227.0,14881594.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8024020.0,,,,,1.0,375.0,2024-01-25 13:21:49.000,11705.0,,,,,,,,,,,,,,,,,,
26,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-02-15 07:10:55.798000,2024-02-14 23:50:20,10313.0,278.0,18590.0,1912.0,6927.0,179.0,11404.0,60310.0,Deep Learning for humans.,1274.0,43,True,2024-02-14 22:35:12.000,3.0.5,59.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,14679228.0,14755957.0,https://anaconda.org/conda-forge/keras,2024-02-15 07:10:55.798,3376076.0,,,,,2.0,,,,-4.0,,,,,,,,,,,,,,,,,
27,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-02-15 14:14:44.000000,2024-02-15 03:40:45,20660.0,795.0,5149.0,467.0,26261.0,3607.0,13502.0,29909.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,970.0,43,True,2024-02-06 01:23:15.000,ray-2.9.2,98.0,ray,conda-forge/ray-tune,,,,14168.0,13700.0,https://pypi.org/project/ray,3075001.0,3079932.0,https://anaconda.org/conda-forge/ray-tune,2024-02-13 16:37:02.206,187329.0,,,,,1.0,208.0,2024-02-05 22:50:44.000,468.0,,,,,,,,,,,,,,,,,,
28,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-02-15 14:50:43.000000,2024-02-15 14:50:42,6283.0,352.0,1901.0,145.0,3347.0,439.0,3279.0,26286.0,"Wrap UIs around any model, share with anyone.",264.0,43,True,2024-02-14 22:26:39.000,4.19.0,546.0,gradio,,,,,23139.0,22846.0,https://pypi.org/project/gradio,6612572.0,6612572.0,,,,,,,,1.0,,2024-02-14 22:26:39.000,293.0,,,,,,,,,,,,,,,,,,
29,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-02-15 08:08:01.000000,2024-02-13 22:43:02,2656.0,59.0,3645.0,438.0,3101.0,303.0,2357.0,16377.0,Open standard for machine learning interoperability.,306.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,24509.0,23820.0,https://pypi.org/project/onnx,4586803.0,4607977.0,https://anaconda.org/conda-forge/onnx,2024-01-25 12:19:38.120,920153.0,,,,,1.0,19943.0,2023-10-26 18:30:51.000,689.0,,,,,,,,,,,,,,,,,,
30,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-02-15 12:06:37.000000,2024-02-15 04:17:35,3420.0,44.0,3795.0,435.0,3072.0,345.0,2900.0,15858.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",295.0,43,True,2024-01-26 03:29:02.000,4.3.0,36.0,lightgbm,conda-forge/lightgbm,,,,30612.0,29736.0,https://pypi.org/project/lightgbm,7492906.0,7548767.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2183682.0,,,,,2.0,213332.0,2024-01-26 03:29:02.000,876.0,,,,,,,,,,,,,,,,,,
31,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-02-15 13:06:43.000000,2024-02-15 13:06:42,8094.0,185.0,1674.0,213.0,5719.0,1037.0,4099.0,11781.0,Parallel computing with task scheduling.,592.0,43,True,2024-02-09 23:11:21.000,2024.2.0,189.0,dask,conda-forge/dask,,,,60335.0,57195.0,https://pypi.org/project/dask,7065853.0,7303908.0,https://anaconda.org/conda-forge/dask,2024-02-10 02:02:14.402,10712496.0,,,,,1.0,,2024-02-09 23:11:21.000,3140.0,,,,,,,,stable/dask,,,,,,,,,,
32,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-02-14 23:49:16.000000,2024-02-14 23:49:16,5766.0,46.0,1644.0,193.0,4919.0,652.0,1222.0,6475.0,TensorFlows Visualization Toolkit.,314.0,43,True,2024-02-14 15:54:12.000,2.16.1,59.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],217885.0,214937.0,https://pypi.org/project/tensorboard,22929771.0,23032104.0,https://anaconda.org/conda-forge/tensorboard,2024-02-09 13:56:55.080,4502659.0,,,,,1.0,,2024-02-14 15:54:12.000,2948.0,,,,,,,,,,,,,,,,,,
33,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-02-04 15:36:20.000000,2024-01-29 09:04:39,14509.0,27.0,2707.0,468.0,1450.0,246.0,1506.0,12796.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,454.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,250947.0,250947.0,https://pypi.org/project/nltk,13384123.0,13410896.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2409622.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-02-15 12:28:29.000000,2024-02-15 12:28:26,4656.0,79.0,2066.0,1692.0,4503.0,309.0,2593.0,11531.0,WebGL2 powered visualization framework.,246.0,42,True,2024-01-19 15:08:57.947,8.9.34,629.0,pydeck,conda-forge/pydeck,,,['jupyter'],7685.0,7135.0,https://pypi.org/project/pydeck,1981480.0,2413189.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,475912.0,,,,,1.0,,2023-04-15 06:29:01.705,58.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-02-14 10:04:47.307,492.0,421795.0,,,,,,,,,,,
35,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-02-15 14:30:15.000000,2024-02-15 13:14:57,2149.0,191.0,3805.0,315.0,2524.0,944.0,1526.0,31369.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",289.0,41,True,2024-02-12 17:20:29.000,0.13.2,84.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],5873.0,5771.0,https://pypi.org/project/deepspeed,382821.0,383182.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17717.0,1.0,,2024-02-12 17:20:29.000,102.0,,,,,,,,,,,,,,,,,,
36,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-02-12 23:01:56.000000,2024-02-12 23:01:45,2164.0,84.0,4388.0,309.0,440.0,70.0,770.0,28693.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",129.0,41,True,2023-11-24 19:09:08.000,0.9.12,54.0,timm,conda-forge/timm,,,['pytorch'],22969.0,22969.0,https://pypi.org/project/timm,4575742.0,4687035.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,122267.0,,,,,1.0,6181670.0,,,,huggingface/pytorch-image-models,,,,,,,,,,,,,,,,
37,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2024-02-14 22:43:14.000000,2024-02-13 02:26:47,19066.0,637.0,2699.0,317.0,18869.0,612.0,9480.0,25508.0,"A cloud-native vector database, storage for next generation AI applications.",263.0,41,True,2024-02-07 08:12:10.000,2.3.8,100.0,pymilvus,,milvusdb/milvus,,,82.0,,https://pypi.org/project/pymilvus,521088.0,734775.0,,,,https://hub.docker.com/r/milvusdb/milvus,2024-02-13 02:55:56.789899,39.0,11051341.0,1.0,72421.0,2024-01-24 02:49:14.000,82.0,,,,,,,,,,,,,,,,,,
38,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-02-15 09:38:13.000000,2024-02-15 09:38:12,2603.0,43.0,3127.0,245.0,802.0,1424.0,976.0,21161.0,A game theoretic approach to explain the output of any machine learning model.,230.0,41,True,2024-01-25 13:23:34.000,0.44.1,101.0,shap,conda-forge/shap,,,,16187.0,15725.0,https://pypi.org/project/shap,7603675.0,7663847.0,https://anaconda.org/conda-forge/shap,2024-01-08 16:40:58.890,2286557.0,,,,,1.0,,2024-01-25 13:23:34.000,462.0,,shap/shap,,,,,,,,,,,,,,,,
