,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
10,PyTorch,pytorch/pytorch,,ml-frameworks,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000000,2021-07-29 14:01:27.000000,2021-07-29 13:42:25.000000,13115,9073.0,14910.0,49784.0,38903.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,2782.0,39,True,2021-06-15 16:06:52.000000,1.9.0,33.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],6682.0,,https://pypi.org/project/torch,2021-06-15 15:09:35.000000,6682.0,4418204.0,4693276.0,https://anaconda.org/pytorch/pytorch,2021-06-15 16:26:06.511000,12103171.0,,,,,1.0,,-2.0,,,,,,,,,,,,,,,,,,,
11,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-07-29 13:52:35.000000,2021-07-28 23:08:42.000000,21707,2368.0,7023.0,46621.0,,scikit-learn: machine learning in Python.,2305.0,38,True,2021-04-28 17:20:23.000000,0.24.2,54.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],285800.0,247912.0,https://pypi.org/project/scikit-learn,2021-04-28 11:18:29.000000,37888.0,26322550.0,26464672.0,https://anaconda.org/conda-forge/scikit-learn,2021-07-06 10:14:33.510000,8810941.0,,,,,1.0,714.0,,,,,,,,,,,,,,,,,,,,
12,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-07-29 14:13:21.000000,2021-07-28 19:24:36.000000,5681,2324.0,7687.0,17768.0,,The fundamental package for scientific computing with Python.,1297.0,38,True,2021-07-18 20:01:25.000000,1.21.1,102.0,numpy,conda-forge/numpy,,,,950721.0,780999.0,https://pypi.org/project/numpy,2021-07-18 19:37:41.000000,169722.0,79004634.0,79359964.0,https://anaconda.org/conda-forge/numpy,2021-07-19 08:32:16.814000,21619703.0,,,,,1.0,371082.0,,,,,,,,,,,,,,,,,,,,
13,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-07-29 13:18:35.000000,2021-07-29 12:34:38.000000,24097,235.0,,30453.0,30902.0,Apache Spark Python API.,2509.0,37,True,2021-05-27 17:18:30.000000,3.1.2,26.0,pyspark,conda-forge/pyspark,,,['spark'],760.0,,https://pypi.org/project/pyspark,2021-05-27 17:18:30.000000,760.0,11772996.0,11795582.0,https://anaconda.org/conda-forge/pyspark,2021-05-29 01:33:32.376000,1174514.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,
14,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-07-29 12:42:55.000000,2021-07-28 09:17:05.000000,7983,296.0,3837.0,21363.0,5413.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",532.0,37,True,2021-05-13 11:35:17.000000,1.4.2,57.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,21355.0,19763.0,https://pypi.org/project/xgboost,2021-05-13 11:49:10.000000,1592.0,5820765.0,5855516.0,https://anaconda.org/conda-forge/xgboost,2021-04-29 20:56:44.761000,1805492.0,,,,,1.0,2707.0,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-07-29 09:23:53.000000,2021-07-29 07:18:02.000000,3518,103.0,4693.0,20977.0,14731.0,Industrial-strength Natural Language Processing (NLP) in Python.,606.0,37,True,2021-07-23 08:37:31.000000,3.0.7,182.0,spacy,conda-forge/spacy,,,,30970.0,27904.0,https://pypi.org/project/spacy,2021-07-20 08:39:51.000000,3066.0,2605506.0,2647346.0,https://anaconda.org/conda-forge/spacy,2021-07-21 09:36:07.628000,2214722.0,,,,,1.0,3048.0,,,,,,,,,,,,,,,,,,,,
16,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-07-27 12:54:31.000000,2021-07-24 19:02:29.000000,1453,96.0,1792.0,8610.0,2784.0,Statistical data visualization in Python.,155.0,37,True,2021-03-29 17:36:25.000000,joss_paper,23.0,seaborn,conda-forge/seaborn,,,,120386.0,107600.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,9120034.0,9163894.0,https://anaconda.org/conda-forge/seaborn,2021-01-28 11:50:33.609000,2587734.0,,,,,1.0,179.0,,,,,,,,,,,,,,,,,,,,
17,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-07-29 14:45:51.000000,2021-07-29 01:44:10.000000,1980,140.0,626.0,8199.0,9642.0,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,700.0,37,True,2021-05-30 17:16:04.000000,4.0.1,33.0,pyarrow,conda-forge/arrow,,,,1034.0,48.0,https://pypi.org/project/pyarrow,2021-07-28 18:21:54.000000,986.0,26687640.0,26698836.0,https://anaconda.org/conda-forge/arrow,2021-06-24 17:36:08.348000,694159.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-07-29 14:04:00.000000,2021-07-28 18:19:34.000000,11676,430.0,7066.0,49052.0,7667.0,"Transformers: State-of-the-art Natural Language Processing for Pytorch, TensorFlow, and JAX.",948.0,36,True,2021-07-26 14:24:25.000000,4.9.1,64.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",14135.0,14007.0,https://pypi.org/project/transformers,2021-07-26 14:23:01.000000,128.0,3025869.0,3028561.0,https://anaconda.org/conda-forge/transformers,2021-07-29 06:33:15.771000,55631.0,,,,,1.0,1389.0,,,,,,,,,,,,,,,,,,,,
19,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-07-29 04:54:00.000000,2021-07-29 02:21:47.000000,7095,319.0,1090.0,24782.0,1286.0,A toolkit for developing and comparing reinforcement learning algorithms.,297.0,36,True,2021-05-18 00:09:21.000000,0.18.3,93.0,gym,,,,,25524.0,21962.0,https://pypi.org/project/gym,2021-05-18 00:09:21.000000,3562.0,1970571.0,1970571.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-07-28 23:28:12.000000,2021-07-26 16:41:33.000000,3325,118.0,2222.0,12786.0,2613.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",235.0,36,True,2021-04-12 23:03:24.000000,3.2.1,25.0,lightgbm,conda-forge/lightgbm,,,,8700.0,8144.0,https://pypi.org/project/lightgbm,2021-03-22 15:04:09.000000,556.0,4124441.0,4140467.0,https://anaconda.org/conda-forge/lightgbm,2021-04-20 13:04:15.819000,664690.0,,,,,1.0,111170.0,,,,,,,,,,,,,,,,,,,,
21,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-07-29 13:32:30.000000,2021-07-23 07:12:33.000000,4039,373.0,1324.0,12281.0,4144.0,Topic Modelling for Humans.,408.0,36,True,2021-04-01 14:19:26.000000,4.0.1,85.0,gensim,conda-forge/gensim,,,,30328.0,25586.0,https://pypi.org/project/gensim,2021-03-25 13:43:34.000000,4742.0,6694815.0,6709944.0,https://anaconda.org/conda-forge/gensim,2021-06-15 14:29:56.801000,693703.0,,,,,1.0,3393.0,,,,,,,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-07-25 00:11:09.000000,2021-07-25 00:11:08.000000,1841,915.0,1122.0,9903.0,5147.0,The interactive graphing library for Python (includes Plotly Express).,179.0,36,True,2021-06-28 21:06:45.000000,5.1.0,269.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-06-28 19:35:15.000000,4982.0,5751098.0,5821704.0,https://anaconda.org/conda-forge/plotly,2021-07-15 17:20:11.895000,1626247.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,43043.0,,,,,,,,,,,,,
23,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-07-29 13:24:54.000000,2021-07-29 11:57:53.000000,3425,4174.0,7435.0,8256.0,47725.0,A computer algebra system written in pure Python.,1090.0,36,True,2021-04-09 22:38:24.000000,sympy-1.8,37.0,sympy,conda-forge/sympy,,,,40464.0,34042.0,https://pypi.org/project/sympy,2021-04-09 22:41:01.000000,6422.0,2874451.0,2904574.0,https://anaconda.org/conda-forge/sympy,2021-04-10 01:00:41.286000,1590912.0,,,,,1.0,428566.0,,,,,,,,,,,,,,,,,,,,
24,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-07-29 14:41:37.000000,2021-07-28 22:54:47.000000,1410,553.0,1001.0,5580.0,4657.0,TensorFlow's Visualization Toolkit.,263.0,36,True,2021-04-19 18:42:18.000000,2.5.0,37.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],76777.0,73163.0,https://pypi.org/project/tensorboard,2021-01-14 20:49:19.000000,3614.0,10527897.0,10579095.0,https://anaconda.org/conda-forge/tensorboard,2021-06-11 23:53:46.549000,2252723.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-07-10 10:38:06.000000,2021-06-11 10:31:40.000000,292,291.0,365.0,2506.0,1375.0,Computing with Python functions.,102.0,36,True,2021-02-09 16:46:29.000000,1.0.1,100.0,joblib,conda-forge/joblib,,,,125032.0,118422.0,https://pypi.org/project/joblib,2021-02-09 16:46:29.000000,6610.0,26861083.0,26939143.0,https://anaconda.org/conda-forge/joblib,2021-02-09 19:26:28.194000,4683609.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
26,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-07-27 11:34:49.000000,2021-07-27 11:31:58.000000,409,214.0,1007.0,1549.0,3694.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,166.0,36,True,2021-06-22 12:06:46.000000,3.3.0,28.0,h5py,conda-forge/h5py,,,,148576.0,125640.0,https://pypi.org/project/h5py,2021-06-22 12:26:45.000000,22936.0,10841604.0,10930888.0,https://anaconda.org/conda-forge/h5py,2021-06-23 03:02:36.658000,5712723.0,,,,,2.0,1246.0,,,,,,,,,,,,,,,,,,,,
27,pytorch-lightning,PyTorchLightning/pytorch-lightning,,ml-frameworks,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000000,2021-07-29 13:43:27.000000,2021-07-29 10:28:29.000000,1750,294.0,3332.0,14678.0,5344.0,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",501.0,35,True,2021-07-27 15:42:11.000000,1.4.0,181.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],3925.0,3911.0,https://pypi.org/project/pytorch-lightning,2021-07-27 15:42:11.000000,14.0,625826.0,641917.0,https://anaconda.org/conda-forge/pytorch-lightning,2021-07-27 18:14:36.526000,207104.0,,,,,2.0,3844.0,1.0,,,,,,,,,,,,,,,,,,,
28,onnx,onnx/onnx,,model-serialisation,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000000,2021-07-29 10:01:09.000000,2021-07-28 23:38:09.000000,2030,485.0,1148.0,11036.0,1791.0,Open standard for machine learning interoperability.,206.0,35,True,2021-04-19 19:22:57.000000,1.9.0,21.0,onnx,conda-forge/onnx,,,,3958.0,3662.0,https://pypi.org/project/onnx,2021-04-19 19:22:57.000000,296.0,1860803.0,1867225.0,https://anaconda.org/conda-forge/onnx,2021-05-08 08:02:42.009000,267554.0,,,,,1.0,15407.0,,,,,,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-07-29 09:50:35.000000,2021-07-29 08:05:10.000000,2467,235.0,1265.0,10020.0,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,398.0,35,True,2021-04-07 21:36:50.000000,3.6.1,41.0,nltk,conda-forge/nltk,,,,130319.0,109327.0,https://pypi.org/project/nltk,2021-04-07 21:36:50.000000,20992.0,12764839.0,12778481.0,https://anaconda.org/conda-forge/nltk,2021-04-20 15:34:03.018000,804917.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
30,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-07-29 14:03:08.000000,2021-07-28 22:58:32.000000,4921,489.0,1354.0,9519.0,1891.0,"Datasets, Transforms and Models specific to Computer Vision.",406.0,35,True,2021-06-15 16:00:00.000000,0.10.0,24.0,torchvision,conda-forge/torchvision,,,['pytorch'],4612.0,,https://pypi.org/project/torchvision,2021-06-15 16:00:00.000000,4612.0,1684290.0,1686272.0,https://anaconda.org/conda-forge/torchvision,2021-07-01 17:23:25.774000,85234.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
31,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-07-29 14:35:51.000000,2021-07-27 13:25:01.000000,2368,295.0,2408.0,9421.0,,Network Analysis in Python.,530.0,35,True,2021-07-27 02:21:18.000000,2.6.2,58.0,networkx,conda-forge/networkx,,,,101634.0,80816.0,https://pypi.org/project/networkx,2021-07-27 02:21:18.000000,20818.0,11175077.0,11246503.0,https://anaconda.org/conda-forge/networkx,2021-07-27 05:26:42.933000,4071325.0,,,,,1.0,56.0,,,,,,,,,,,,,,,,,,,,
32,luigi,spotify/luigi,,data-pipelines,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38.000000,2021-07-07 10:21:38.000000,2021-07-07 10:18:00.000000,2266,87.0,845.0,14829.0,3994.0,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",556.0,34,True,2021-04-17 01:06:10.000000,3.0.3,72.0,luigi,luigi,,,,2171.0,1495.0,https://pypi.org/project/luigi,2020-09-23 11:57:12.000000,676.0,741287.0,741403.0,https://anaconda.org/anaconda/luigi,2021-04-17 18:49:18.708000,7596.0,,,,,1.0,,,stable/luigi,,,,,,0.0,,,,,,,,,,,,
33,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-07-27 09:49:33.000000,2021-07-19 15:40:01.000000,1963,1105.0,543.0,13377.0,1936.0,A game theoretic approach to explain the output of any machine learning model.,156.0,34,True,2021-03-03 18:38:33.000000,0.39.0,93.0,shap,conda-forge/shap,,,,3189.0,3053.0,https://pypi.org/project/shap,2021-01-15 21:02:34.000000,136.0,2578042.0,2594552.0,https://anaconda.org/conda-forge/shap,2021-04-29 12:11:05.706000,577850.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-06-05 14:19:15.755000,2021-04-13 19:05:58.000000,2508,677.0,2085.0,9445.0,28126.0,"Theano was a Python library that allows you to define, optimize, and evaluate mathematical expressions involving..",384.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,16821.0,11347.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,233700.0,260663.0,https://anaconda.org/conda-forge/theano,2021-06-05 14:19:15.755000,1617829.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,,geospatial-data,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000000,2021-07-29 14:47:41.000000,2021-07-28 20:01:22.000000,1591,94.0,2094.0,8847.0,3735.0,WebGL2 powered geospatial visualization layers.,169.0,34,True,2021-07-26 18:50:46.000000,8.5.0,481.0,pydeck,conda-forge/pydeck,,,['jupyter'],2217.0,1655.0,https://pypi.org/project/pydeck,2021-04-13 02:26:45.000000,2.0,372270.0,590053.0,https://anaconda.org/conda-forge/pydeck,2021-04-13 20:41:22.066000,43559.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2021-07-26 18:52:21.413000,560.0,215221.0,,,,,,,,,,,,,
36,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-07-29 13:58:34.000000,2021-07-28 20:53:04.000000,1303,778.0,3106.0,8595.0,,Parallel computing with task scheduling.,458.0,34,True,2021-07-09 19:43:39.000000,2021.7.0,123.0,dask,conda-forge/dask,,,,33265.0,29349.0,https://pypi.org/project/dask,2021-07-23 19:04:26.000000,3916.0,4143248.0,4203844.0,https://anaconda.org/conda-forge/dask,2021-07-24 03:35:06.983000,3756961.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,
37,rq,rq/rq,,data-pipelines,https://github.com/rq/rq,https://github.com/rq/rq,BSD-3-Clause,2011-11-14 10:53:48.000000,2021-07-29 14:14:04.000000,2021-07-28 01:34:37.000000,1237,158.0,725.0,7808.0,1589.0,Simple job queues for Python.,243.0,34,True,2021-06-30 07:22:37.000000,1.9.0,66.0,rq,conda-forge/rq,,,,11742.0,8418.0,https://pypi.org/project/rq,2021-06-30 07:21:51.000000,3324.0,496181.0,497138.0,https://anaconda.org/conda-forge/rq,2021-06-30 09:49:43.099000,57420.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
38,MXNet,apache/incubator-mxnet,,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15.000000,2021-07-29 11:50:44.000000,2021-07-28 15:58:13.000000,6860,1922.0,7657.0,19581.0,11630.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",962.0,33,True,2021-03-21 14:56:00.000000,1.8.0,980.0,mxnet,mxnet,,,['mxnet'],444.0,,https://pypi.org/project/mxnet,2021-03-31 20:05:38.000000,444.0,218290.0,218825.0,https://anaconda.org/anaconda/mxnet,2020-02-29 00:58:31.007000,6385.0,,,,,2.0,24016.0,,,,,,,,0.0,,,,,,,,,,,,
