,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-12-29 13:57:28.000000,2022-12-29 07:02:33,45382,858.0,6637,590.0,15659.0,1912.0,7588.0,16615,matplotlib: plotting with Python.,1454.0,50,True,2022-11-03 01:53:13.000,3.6.2,96.0,matplotlib,conda-forge/matplotlib,,,,744624.0,689573.0,https://pypi.org/project/matplotlib,2022-10-08 09:47:16.868,55051.0,30582345.0,30755833.0,https://anaconda.org/conda-forge/matplotlib,2022-11-04 00:12:43.022,15093469.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-12-29 10:52:02.000000,2022-12-29 08:37:01,29230,422.0,4521,341.0,8914.0,1687.0,7353.0,10648,"Ecosystem of open-source software for mathematics, science, and engineering.",1402.0,49,True,2022-10-20 02:34:14.000,1.9.3,87.0,scipy,conda-forge/scipy,,,,677058.0,618839.0,https://pypi.org/project/scipy,2022-10-20 00:45:22.690,58219.0,45545561.0,45944509.0,https://anaconda.org/conda-forge/scipy,2022-11-09 07:11:47.295,31194870.0,,,,,1.0,,362901.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-12-29 14:20:08.000000,2022-12-29 10:08:58,14179,387.0,1959,219.0,4048.0,123.0,2608.0,10396,The friendly PIL fork (Python Imaging Library).,420.0,47,True,2022-10-29 15:26:51.013,9.3.0,90.0,Pillow,conda-forge/pillow,,,,1016372.0,953225.0,https://pypi.org/project/Pillow,2022-10-29 15:26:51.013,63147.0,49084814.0,49358346.0,https://anaconda.org/conda-forge/pillow,2022-12-22 00:50:46.029,21882590.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-12-29 11:42:38.000000,2022-12-27 17:20:41,52658,363.0,3779,284.0,11962.0,4594.0,8212.0,9922,A computer algebra system written in pure Python.,1186.0,47,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,,,54185.0,49976.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4209.0,3279955.0,3318782.0,https://anaconda.org/conda-forge/sympy,2022-10-27 02:25:19.270,2731623.0,,,,,1.0,,480267.0,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-12-29 11:17:15.000000,2022-12-23 22:35:13,7611,194.0,19226,1936.0,5775.0,349.0,11300.0,56959,Deep Learning for humans.,1136.0,45,True,2022-11-14 18:10:37.000,2.11.0,73.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,9981635.0,10018393.0,https://anaconda.org/conda-forge/keras,2022-11-21 08:56:09.864,2793650.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-12-29 13:44:23.000000,2022-12-29 07:05:18,15483,1072.0,4073,436.0,18713.0,2657.0,9931.0,23228,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,794.0,45,True,2022-12-13 19:58:35.871,2.2.0,79.0,ray,conda-forge/ray-tune,,,,7060.0,6781.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,1885652.0,1889289.0,https://anaconda.org/conda-forge/ray-tune,2022-12-13 16:15:12.918,87301.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-12-29 14:07:53.000000,2022-12-29 14:07:50,35221,984.0,26386,2063.0,39262.0,218.0,,34640,Apache Spark Python API.,2784.0,44,True,2022-11-28 18:27:04.218,3.2.3,32.0,pyspark,conda-forge/pyspark,,,['spark'],845.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,845.0,26292998.0,26325285.0,https://anaconda.org/conda-forge/pyspark,2022-12-20 19:29:42.235,2227807.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-12-29 13:01:09.000000,2022-12-29 13:01:08,15754,119.0,3988,551.0,3503.0,99.0,5230.0,24875,Industrial-strength Natural Language Processing (NLP) in Python.,712.0,44,True,2022-12-16 07:55:55.000,2.3.9,205.0,spacy,conda-forge/spacy,,,,50115.0,47740.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4169334.0,4210720.0,https://anaconda.org/conda-forge/spacy,2022-12-29 11:37:56.768,2897071.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-12-29 13:36:33.000000,2022-12-29 10:20:36,6120,168.0,8533,930.0,3969.0,347.0,4356.0,23594,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",589.0,44,True,2022-12-08 19:41:14.000,1.7.2,70.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,42666.0,41297.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1369.0,8488290.0,8538654.0,https://anaconda.org/conda-forge/xgboost,2022-11-07 20:50:22.110,3471504.0,,,,,1.0,,5647.0,,,,,,,,,,,,,,,,,,
19,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-12-29 04:14:05.000000,2022-12-27 10:05:10,7136,100.0,2773,278.0,3052.0,394.0,2706.0,11995,Network Analysis in Python.,636.0,44,True,2022-11-01 20:33:20.972,2.8.8,84.0,networkx,conda-forge/networkx,,,,142721.0,129262.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13459.0,19666937.0,19793151.0,https://anaconda.org/conda-forge/networkx,2022-11-02 12:22:18.460,9339878.0,,,,,1.0,,63.0,,,,,,,,,,,,,,,,,,
20,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-12-28 01:27:42.000000,2022-12-28 01:27:41,3093,48.0,1677,253.0,951.0,115.0,2113.0,10200,Statistical data visualization in Python.,182.0,44,True,2022-10-18 13:02:16.355,0.12.1,32.0,seaborn,conda-forge/seaborn,,,,214181.0,204771.0,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,8537775.0,8610317.0,https://anaconda.org/conda-forge/seaborn,2022-10-18 18:26:52.529,5513101.0,,,,,1.0,2.0,238.0,,,,,,,,,,,,,,,,,,
21,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-12-28 10:32:50.000000,2022-12-27 20:48:55,14852,131.0,2620,272.0,3679.0,2470.0,2598.0,8049,Statsmodels: statistical modeling and econometrics in Python.,403.0,44,True,2022-11-02 17:40:09.913,0.13.5,33.0,statsmodels,conda-forge/statsmodels,,,,81098.0,76433.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4665.0,8693926.0,8799481.0,https://anaconda.org/conda-forge/statsmodels,2022-11-04 18:55:06.900,8233359.0,,,,,1.0,,26.0,,,,,,,,,,,,,,,,,,
22,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-12-29 11:02:01.000000,2022-12-29 11:00:32,14261,1020.0,1977,291.0,8437.0,1232.0,2784.0,21305,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",486.0,43,True,2022-12-13 18:24:20.000,jaxlib-v0.4.1,134.0,jax,conda-forge/jaxlib,,,,6902.0,6581.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,321.0,689664.0,703537.0,https://anaconda.org/conda-forge/jaxlib,2022-12-14 15:37:17.163,568817.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
23,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-12-29 08:18:19.000000,2022-12-29 08:18:19,3149,57.0,3661,449.0,2764.0,254.0,2664.0,14495,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",277.0,43,True,2022-10-10 21:18:04.234,3.3.3,30.0,lightgbm,conda-forge/lightgbm,,,,17926.0,17283.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,643.0,6219637.0,6243805.0,https://anaconda.org/conda-forge/lightgbm,2022-10-28 00:50:18.967,1404117.0,,,,,2.0,,174586.0,,,,,,,,,,,,,,,,,,
24,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-12-28 18:11:00.000000,2022-12-28 18:11:00,14400,31.0,2666,469.0,1398.0,232.0,1460.0,11343,Suite of libraries and programs for symbolic and statistical natural language processing for English.,436.0,43,True,2021-12-28 23:28:57.000,3.6.7,51.0,nltk,conda-forge/nltk,,,,180476.0,168518.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11958.0,10617933.0,10639880.0,https://anaconda.org/conda-forge/nltk,2022-12-13 13:30:01.613,1667988.0,,,,,1.0,-1.0,,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-12-28 20:02:45.000000,2022-12-28 00:29:25,7489,117.0,1574,216.0,5001.0,835.0,3860.0,10612,Parallel computing with task scheduling.,570.0,43,True,2022-12-16 22:19:04.243,2022.12.1,160.0,dask,conda-forge/dask,,,,45427.0,42762.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2665.0,7577728.0,7673054.0,https://anaconda.org/conda-forge/dask,2022-12-16 23:50:30.501,7530795.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,
26,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-12-29 14:22:59.000000,2022-12-29 13:11:22,5310,110.0,1558,194.0,4386.0,616.0,1151.0,6073,TensorFlows Visualization Toolkit.,291.0,43,True,2022-11-09 01:43:55.758,2.11.0,45.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],140995.0,138576.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2419.0,16706009.0,16764523.0,https://anaconda.org/conda-forge/tensorboard,2022-11-09 05:16:36.975,3569363.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-12-21 11:45:43.000000,2022-12-17 16:05:03,13346,60.0,2075,186.0,3908.0,650.0,1904.0,5181,Image processing in Python.,586.0,43,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,,131406.0,122041.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9365.0,5286987.0,5342372.0,https://anaconda.org/conda-forge/scikit-image,2022-10-30 12:02:37.338,4375462.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-12-29 14:07:37.000000,2022-12-29 12:35:27,39315,1502.0,4840,734.0,33486.0,3035.0,13831.0,19355,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,900.0,42,True,2022-12-13 09:22:18.000,2.4.1,59.0,paddlepaddle,,,,['paddle'],229.0,179.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,91564.0,91765.0,,,,,,,,2.0,,15328.0,,,,,,,,,,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-12-28 19:03:49.000000,2022-12-28 08:50:10,19899,145.0,4013,452.0,5458.0,703.0,6419.0,17049,"Interactive Data Visualization in the browser, from Python.",626.0,42,True,2022-12-09 18:39:04.000,3.0.3,152.0,bokeh,conda-forge/bokeh,,,,3730.0,178.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3552.0,3446174.0,3587682.0,https://anaconda.org/conda-forge/bokeh,2022-12-12 20:33:04.197,9622545.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
30,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-12-29 12:49:19.000000,2022-12-21 15:14:10,3241,199.0,6414,387.0,4385.0,828.0,2001.0,13037,"Datasets, Transforms and Models specific to Computer Vision.",514.0,42,True,2022-12-16 00:34:17.000,0.14.1,34.0,torchvision,conda-forge/torchvision,,,['pytorch'],3716.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3716.0,7500310.0,7508468.0,https://anaconda.org/conda-forge/torchvision,2022-12-10 21:10:27.610,474576.0,,,,,1.0,,16956.0,,,,,,,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-12-28 20:36:37.000000,2022-12-28 19:25:25,4283,60.0,1897,1730.0,4071.0,195.0,2404.0,10513,WebGL2 powered visualization framework.,212.0,42,True,2022-12-28 20:06:07.358,8.8.21,569.0,pydeck,conda-forge/pydeck,,,['jupyter'],5578.0,5132.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,962823.0,1298819.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,262710.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-12-28 20:06:07.358,422.0,328270.0,,,,,,,,,,,,
32,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-11-23 06:34:20.000000,2022-10-25 17:01:14,1755,7.0,8137,998.0,1433.0,33.0,1698.0,29547,A toolkit for developing and comparing reinforcement learning algorithms.,384.0,41,True,2022-10-04 23:58:42.348,0.26.2,107.0,gym,conda-forge/gym,,,,37803.0,35333.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2470.0,771019.0,776412.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,172583.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-12-29 08:43:25.000000,2022-12-28 09:28:58,8433,643.0,2691,227.0,7998.0,644.0,5161.0,21057,"Build and train PyTorch models and connect them to the ML lifecycle using Lightning App templates, without handling..",812.0,41,True,2022-12-21 19:21:24.787,1.8.6,237.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],395.0,,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,395.0,3214248.0,3236149.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-12-09 04:00:55.441,646398.0,,,,,2.0,,9946.0,,,,,,,,,,,,,,,,,,
34,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2022-12-29 01:30:04.000000,2022-12-16 09:04:27,30982,381.0,4186,345.0,5244.0,672.0,6065.0,15270,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",568.0,41,True,2022-12-22 19:06:11.993,2.8.34,284.0,rasa,,,,['tensorflow'],2909.0,2849.0,https://pypi.org/project/rasa,2022-07-06 04:02:56.000,60.0,139743.0,139743.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
35,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-12-27 18:08:02.000000,2022-12-15 17:24:47,2117,61.0,3233,430.0,2455.0,328.0,1888.0,13857,Open standard for machine learning interoperability.,264.0,41,True,2022-12-12 14:38:36.000,1.13.0,27.0,onnx,conda-forge/onnx,,,,10401.0,10009.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,392.0,2123590.0,2133943.0,https://anaconda.org/conda-forge/onnx,2022-12-15 14:09:08.911,613572.0,,,,,1.0,,18292.0,,,,,,,,,,,,,,,,,,
36,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-12-21 13:44:44.543000,2022-12-21 00:41:18,4427,37.0,4299,430.0,1635.0,387.0,1422.0,13819,Topic Modelling for Humans.,440.0,41,True,2022-12-21 00:42:57.000,4.3.0,91.0,gensim,conda-forge/gensim,,,,42425.0,39524.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2901.0,4440978.0,4456042.0,https://anaconda.org/conda-forge/gensim,2022-12-21 13:44:44.543,946071.0,,,,,1.0,,4004.0,,,,,,,,,,,,,,,,,,
37,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-12-29 12:43:51.000000,2022-12-28 12:03:16,3619,386.0,3101,287.0,4835.0,997.0,1802.0,13309,Open source platform for the machine learning lifecycle.,532.0,41,True,2022-12-26 09:02:40.000,2.1.1,68.0,mlflow,conda-forge/mlflow,,,,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,10749847.0,10775241.0,https://anaconda.org/conda-forge/mlflow,2022-12-07 04:28:47.238,1117365.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
38,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-12-24 13:30:52.000000,2022-12-23 20:26:35,5648,38.0,2250,275.0,1432.0,1316.0,1234.0,12670,The interactive graphing library for Python (includes Plotly Express).,201.0,41,True,2022-10-27 17:34:35.000,5.11.0,284.0,plotly,conda-forge/plotly,,,,4159.0,13.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4142.0,7101188.0,7182413.0,https://anaconda.org/conda-forge/plotly,2022-12-05 13:36:59.426,3542246.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,34617.0,,,,,,,,,,,,
