,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url
10,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-06-03 12:52:52.000000,2021-06-03 12:52:41.000000,23914,214.0,,29989,30234.0,Apache Spark Python API.,2466.0,38,True,2021-05-27 17:18:30.000000,3.1.2,25.0,pyspark,conda-forge/pyspark,,,['spark'],1352.0,592.0,https://pypi.org/project/pyspark,2021-05-27 17:18:30.000000,760.0,10063310.0,10084391.0,https://anaconda.org/conda-forge/pyspark,2021-05-29 01:33:32.376000,1075135.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,,
11,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-06-03 14:48:43.000000,2021-05-31 19:59:29.000000,5540,2281.0,7569.0,17313,,The fundamental package for scientific computing with Python.,1268.0,38,True,2021-05-10 15:39:14.000000,1.20.3,99.0,numpy,conda-forge/numpy,,,,897391.0,727669.0,https://pypi.org/project/numpy,2021-05-24 15:55:21.000000,169722.0,75617244.0,75947419.0,https://anaconda.org/conda-forge/numpy,2021-05-26 08:31:16.607000,19755078.0,,,,,1.0,347724.0,,,,,,,,,,,,,,,,,,,,,
12,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-06-03 13:56:06.000000,2021-06-03 13:47:34.000000,21478,2361.0,6914.0,45986,,scikit-learn: machine learning in Python.,2237.0,37,True,2021-04-28 17:20:23.000000,0.24.2,54.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],265946.0,228058.0,https://pypi.org/project/scikit-learn,2021-04-28 11:18:29.000000,37888.0,22083606.0,22217026.0,https://anaconda.org/conda-forge/scikit-learn,2021-04-28 21:30:13.539000,8137980.0,,,,,1.0,694.0,,,,,,,,,,,,,,,,,,,,,
13,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-06-03 11:10:53.000000,2021-06-02 23:05:55.000000,7983,296.0,3785.0,21076,5353.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",521.0,37,True,2021-05-13 11:35:17.000000,1.4.2,57.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,19233.0,17641.0,https://pypi.org/project/xgboost,2021-05-13 11:49:10.000000,1592.0,5316673.0,5349432.0,https://anaconda.org/conda-forge/xgboost,2021-04-29 20:56:44.761000,1669263.0,,,,,1.0,2526.0,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-06-03 07:05:26.000000,2021-06-02 09:50:49.000000,3432,116.0,4574.0,20570,14526.0,Industrial-strength Natural Language Processing (NLP) in Python.,587.0,37,True,2021-05-18 06:23:32.000000,2.3.6,178.0,spacy,conda-forge/spacy,,,,28862.0,25796.0,https://pypi.org/project/spacy,2021-04-23 12:16:12.000000,3066.0,2227402.0,2267830.0,https://anaconda.org/conda-forge/spacy,2021-04-24 09:37:43.886000,2099447.0,,,,,1.0,3087.0,,,,,,,,,,,,,,,,,,,,,
15,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-06-02 19:25:06.340000,2021-06-02 15:47:24.000000,1429,146.0,368.0,12591,2650.0,Faker is a Python package that generates fake data for you.,403.0,37,True,2021-06-02 15:26:46.000000,8.5.0,144.0,Faker,conda-forge/faker,,,,34267.0,29555.0,https://pypi.org/project/Faker,2021-06-02 15:26:38.000000,4712.0,4284660.0,4293210.0,https://anaconda.org/conda-forge/faker,2021-06-02 19:25:06.340000,436065.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-06-03 01:44:12.000000,2021-05-14 19:52:22.000000,1420,92.0,1770.0,8469,2780.0,Statistical data visualization using matplotlib.,153.0,37,True,2021-03-29 17:36:25.000000,joss_paper,23.0,seaborn,conda-forge/seaborn,,,,110947.0,98161.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,5084439.0,5125804.0,https://anaconda.org/conda-forge/seaborn,2021-01-28 11:50:33.609000,2399166.0,,,,,1.0,165.0,,,,,,,,,,,,,,,,,,,,,
17,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-06-03 14:04:11.000000,2021-06-03 10:35:26.000000,11107,396.0,6587.0,46741,7278.0,"Transformers: State-of-the-art Natural Language Processing for Pytorch, TensorFlow, and JAX.",898.0,36,True,2021-05-20 14:57:12.000000,4.6.1,58.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",11853.0,11725.0,https://pypi.org/project/transformers,2021-05-20 14:54:53.000000,128.0,2513353.0,2515532.0,https://anaconda.org/conda-forge/transformers,2021-05-21 15:11:50.971000,42722.0,,,,,1.0,1337.0,,,,,,,,,,,,,,,,,,,,,
18,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-05-31 19:57:33.000000,2021-05-17 23:19:33.000000,6980,302.0,1070.0,24334,1245.0,A toolkit for developing and comparing reinforcement learning algorithms.,275.0,36,True,2021-05-18 00:09:21.000000,0.18.3,93.0,gym,,,,,24245.0,20683.0,https://pypi.org/project/gym,2021-05-18 00:09:21.000000,3562.0,1083057.0,1083057.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
19,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-06-03 11:32:08.000000,2021-06-03 11:32:08.000000,3286,119.0,2161.0,12580,2523.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",227.0,36,True,2021-04-12 23:03:24.000000,3.2.1,25.0,lightgbm,conda-forge/lightgbm,,,,7823.0,7267.0,https://pypi.org/project/lightgbm,2021-03-22 15:04:09.000000,556.0,3946514.0,3961434.0,https://anaconda.org/conda-forge/lightgbm,2021-04-20 13:04:15.819000,602944.0,,,,,1.0,104630.0,,,,,,,,,,,,,,,,,,,,,
20,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-06-01 01:56:45.000000,2021-06-01 01:56:45.000000,3984,364.0,1302.0,12124,4144.0,Topic Modelling for Humans.,402.0,36,True,2021-04-01 14:19:26.000000,4.0.1,85.0,gensim,conda-forge/gensim,,,,28766.0,24024.0,https://pypi.org/project/gensim,2021-03-25 13:43:34.000000,4742.0,8511599.0,8526358.0,https://anaconda.org/conda-forge/gensim,2021-04-02 10:56:03.560000,661994.0,,,,,1.0,3305.0,,,,,,,,,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-06-02 14:28:58.000000,2021-06-01 11:20:17.000000,1813,885.0,1093.0,9598,5046.0,The interactive graphing library for Python (includes Plotly Express).,175.0,36,True,2021-01-12 17:01:21.000000,4.14.3,266.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-05-31 20:58:35.000000,4982.0,5382852.0,5443239.0,https://anaconda.org/conda-forge/plotly,2021-01-12 17:11:42.117000,1432453.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,35690.0,,,,,,,,,,,,,,
22,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-06-03 14:22:08.000000,2021-06-03 14:22:07.000000,4716,465.0,1284.0,9173,1771.0,"Datasets, Transforms and Models specific to Computer Vision.",387.0,36,True,2021-03-25 17:51:25.000000,0.9.1,23.0,torchvision,conda-forge/torchvision,,,['pytorch'],56487.0,51875.0,https://pypi.org/project/torchvision,2021-03-25 16:28:06.000000,4612.0,1659851.0,1661408.0,https://anaconda.org/conda-forge/torchvision,2021-04-22 07:21:30.407000,65412.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
23,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-06-03 13:37:46.000000,2021-06-03 01:22:19.000000,3408,4144.0,7360.0,8125,47000.0,A computer algebra system written in pure Python.,1069.0,36,True,2021-04-09 22:38:24.000000,sympy-1.8,37.0,sympy,conda-forge/sympy,,,,38795.0,32373.0,https://pypi.org/project/sympy,2021-04-09 22:41:01.000000,6422.0,1577383.0,1606330.0,https://anaconda.org/conda-forge/sympy,2021-04-10 01:00:41.286000,1492844.0,,,,,1.0,425217.0,1.0,,,,,,,,,,,,,,,,,,,,
24,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-06-03 14:30:27.000000,2021-06-03 14:30:19.000000,1918,159.0,599.0,7974,9316.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,684.0,36,True,2021-04-26 21:13:42.000000,4.0.0,32.0,pyarrow,conda-forge/arrow,,,,1030.0,44.0,https://pypi.org/project/pyarrow,2021-05-30 17:16:04.000000,986.0,24310252.0,24320070.0,https://anaconda.org/conda-forge/arrow,2021-05-06 18:27:26.800000,598935.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-06-02 23:24:57.000000,2021-06-02 23:02:45.000000,1391,552.0,979.0,5504,4549.0,TensorFlow's Visualization Toolkit.,261.0,36,True,2021-04-19 18:42:18.000000,2.5.0,37.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],70245.0,66631.0,https://pypi.org/project/tensorboard,2021-01-14 20:49:19.000000,3614.0,10043696.0,10090874.0,https://anaconda.org/conda-forge/tensorboard,2021-01-15 08:30:57.960000,2028683.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
26,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-05-28 00:10:00.000000,2021-04-28 16:45:14.000000,405,227.0,987.0,1519,3623.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,162.0,36,True,2021-03-05 10:04:46.000000,3.2.1,27.0,h5py,conda-forge/h5py,,,,140600.0,117664.0,https://pypi.org/project/h5py,2021-03-05 10:24:13.000000,22936.0,10119483.0,10203417.0,https://anaconda.org/conda-forge/h5py,2021-04-16 22:09:04.226000,5286514.0,,,,,1.0,1124.0,,,,,,,,,,,,,,,,,,,,,
27,dash,plotly/dash,,data-viz,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000000,2021-06-03 14:08:55.000000,2021-06-03 14:08:53.000000,1467,444.0,585.0,14618,3544.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",77.0,35,True,2021-04-08 22:35:48.000000,1.20.0,137.0,dash,conda-forge/dash,,,,22608.0,21000.0,https://pypi.org/project/dash,2021-01-19 23:50:28.000000,1608.0,505182.0,512036.0,https://anaconda.org/conda-forge/dash,2021-04-10 06:31:33.446000,253600.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
28,jax,google/jax,,ml-frameworks,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000000,2021-06-03 13:50:06.000000,2021-06-03 13:49:56.000000,1166,764.0,1666.0,12845,8107.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",293.0,35,True,2021-05-04 00:58:32.000000,0.2.13,92.0,jax,conda-forge/jaxlib,,,,1769.0,1723.0,https://pypi.org/project/jax,2021-05-04 00:58:32.000000,46.0,566337.0,572014.0,https://anaconda.org/conda-forge/jaxlib,2021-05-18 05:56:35.288000,130589.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-06-02 16:11:42.000000,2021-05-29 23:11:17.000000,2467,235.0,1250.0,9913,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,397.0,35,True,2021-04-07 21:36:50.000000,3.6.1,41.0,nltk,conda-forge/nltk,,,,123618.0,102626.0,https://pypi.org/project/nltk,2021-04-07 21:36:50.000000,20992.0,8600109.0,8612584.0,https://anaconda.org/conda-forge/nltk,2021-04-20 15:34:03.018000,723602.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
30,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-06-03 12:46:03.000000,2021-06-02 17:50:03.000000,2321,279.0,2376.0,9174,,Network Analysis in Python.,518.0,35,True,2021-04-03 22:22:02.000000,2.5.1,54.0,networkx,conda-forge/networkx,,,,96984.0,76166.0,https://pypi.org/project/networkx,2021-05-31 20:30:58.000000,20818.0,13098902.0,13164895.0,https://anaconda.org/conda-forge/networkx,2021-04-04 01:32:23.917000,3695636.0,,,,,1.0,54.0,,,,,,,,,,,,,,,,,,,,,
31,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-06-01 09:42:01.000000,2021-06-01 09:42:01.000000,286,291.0,363.0,2451,1374.0,Computing with Python functions.,101.0,35,True,2021-02-09 16:46:29.000000,1.0.1,100.0,joblib,conda-forge/joblib,,,,112641.0,106031.0,https://pypi.org/project/joblib,2021-02-09 16:46:29.000000,6610.0,23123575.0,23193961.0,https://anaconda.org/conda-forge/joblib,2021-02-09 19:26:28.194000,4152812.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
32,MXNet,apache/incubator-mxnet,,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15.000000,2021-06-03 13:41:32.000000,2021-06-02 15:15:10.000000,6836,1883.0,7631.0,19485,11601.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",960.0,34,True,2021-03-21 14:56:00.000000,1.8.0,980.0,mxnet,mxnet,,,['mxnet'],2515.0,2071.0,https://pypi.org/project/mxnet,2021-03-31 20:05:38.000000,444.0,243029.0,243566.0,https://anaconda.org/anaconda/mxnet,2020-02-29 00:58:31.007000,6205.0,,,,,2.0,23819.0,,,,,,,,0.0,,,,,,,,,,,,,
33,luigi,spotify/luigi,,data-pipelines,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38.000000,2021-05-18 17:38:42.000000,2021-04-16 07:52:49.000000,2246,73.0,843.0,14589,3993.0,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",556.0,34,True,2021-04-16 09:12:59.000000,3.0.3,72.0,luigi,luigi,,,,2123.0,1447.0,https://pypi.org/project/luigi,2020-09-23 11:57:12.000000,676.0,949401.0,949513.0,https://anaconda.org/anaconda/luigi,2021-04-17 18:49:18.708000,7202.0,,,,,1.0,,,stable/luigi,,,,,,0.0,,,,,,,,,,,,,
34,pytorch-lightning,PyTorchLightning/pytorch-lightning,,ml-frameworks,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000000,2021-06-03 14:11:10.000000,2021-06-02 15:19:10.000000,1613,312.0,3123.0,13728,5002.0,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",461.0,34,True,2021-05-26 15:11:35.000000,1.3.3,171.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],3187.0,3173.0,https://pypi.org/project/pytorch-lightning,2021-05-26 15:11:35.000000,14.0,439544.0,451767.0,https://anaconda.org/conda-forge/pytorch-lightning,2021-05-26 18:13:59.046000,144880.0,,,,,2.0,3452.0,,,,,,,,,,,,,,,,,,,,,
35,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-05-31 21:09:39.000000,2021-05-17 19:05:26.000000,1857,1055.0,530.0,12844,1930.0,A game theoretic approach to explain the output of any machine learning model.,156.0,34,True,2021-03-03 18:38:33.000000,0.39.0,93.0,shap,conda-forge/shap,,,,2808.0,2672.0,https://pypi.org/project/shap,2021-01-15 21:02:34.000000,136.0,2628377.0,2643586.0,https://anaconda.org/conda-forge/shap,2021-04-29 12:11:05.706000,517111.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,,model-serialisation,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000000,2021-06-01 16:10:34.000000,2021-05-28 00:50:31.000000,1964,536.0,1047.0,10718,1755.0,Open standard for machine learning interoperability.,200.0,34,True,2021-04-19 19:22:57.000000,1.9.0,21.0,onnx,conda-forge/onnx,,,,3530.0,3234.0,https://pypi.org/project/onnx,2021-04-19 19:22:57.000000,296.0,1555249.0,1561181.0,https://anaconda.org/conda-forge/onnx,2021-05-08 08:02:42.009000,241172.0,,,,,1.0,14277.0,,,,,,,,,,,,,,,,,,,,,
37,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-04-29 07:32:59.000000,2021-04-13 19:05:58.000000,2514,674.0,2085.0,9416,28126.0,"Theano was a Python library that allows you to define, optimize, and evaluate mathematical expressions involving..",384.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,16544.0,11070.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,238955.0,264889.0,https://anaconda.org/conda-forge/theano,2021-01-21 21:14:21.756000,1530143.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
38,pydeck,visgl/deck.gl,,geospatial-data,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000000,2021-06-03 13:57:24.000000,2021-06-03 00:01:12.000000,1567,92.0,2050.0,8718,3651.0,WebGL2 powered geospatial visualization layers.,164.0,34,True,2021-05-07 16:22:03.508000,8.4.16,469.0,pydeck,conda-forge/pydeck,,,['jupyter'],2161.0,1599.0,https://pypi.org/project/pydeck,2021-04-13 02:26:45.000000,2.0,285952.0,472023.0,https://anaconda.org/conda-forge/pydeck,2021-04-13 20:41:22.066000,33083.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2021-05-25 18:30:07.668000,560.0,184004.0,,,,,,,,,,,,,,
