,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-10-13 14:30:03.000000,2022-10-13 13:52:43,10963,752.0,16442,858.0,9358.0,555.0,9736.0,72101,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1548.0,49,True,2022-10-11 12:02:53.000,4.23.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",37975.0,37000.0,https://pypi.org/project/transformers,2022-06-21 19:27:20.000,975.0,8013677.0,8027809.0,https://anaconda.org/conda-forge/transformers,2022-10-12 03:48:29.314,508285.0,,,,,1.0,,606.0,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-10-13 15:13:31.000000,2022-10-12 20:33:20,28873,586.0,4422,339.0,8663.0,1710.0,7128.0,10342,"Ecosystem of open-source software for mathematics, science, and engineering.",1374.0,49,True,2022-10-08 23:03:12.000,1.9.2,84.0,scipy,conda-forge/scipy,,,,635276.0,577049.0,https://pypi.org/project/scipy,2022-07-05 00:14:32.000,58227.0,45443882.0,45817456.0,https://anaconda.org/conda-forge/scipy,2022-08-30 14:11:29.079,28448243.0,,,,,1.0,,358184.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-10-13 13:12:45.000000,2022-10-13 13:12:45,13820,315.0,1886,215.0,3933.0,121.0,2543.0,10219,The friendly PIL fork (Python Imaging Library).,414.0,47,True,2022-07-01 18:32:05.000,9.2.0,89.0,Pillow,conda-forge/pillow,,,,930793.0,867638.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63155.0,46596075.0,46847082.0,https://anaconda.org/conda-forge/pillow,2022-08-13 11:08:07.290,19578594.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-10-12 23:56:58.000000,2022-10-07 21:33:46,52191,656.0,3749,282.0,11833.0,4521.0,8131.0,9692,A computer algebra system written in pure Python.,1178.0,46,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,,,51112.0,46902.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4210.0,2763474.0,2799881.0,https://anaconda.org/conda-forge/sympy,2022-09-30 23:50:08.948,2479011.0,,,,,1.0,,467745.0,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-10-13 13:50:18.000000,2022-10-13 02:57:58,7441,290.0,19175,1936.0,5623.0,334.0,11236.0,56380,Deep Learning for humans.,1115.0,45,True,2022-09-02 21:31:44.000,2.10.0,68.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,10021512.0,10056806.0,https://anaconda.org/conda-forge/keras,2022-09-04 01:30:22.305,2611825.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-10-13 10:22:17.000000,2022-10-12 13:17:40,15626,81.0,3946,552.0,3352.0,95.0,5166.0,24371,Industrial-strength Natural Language Processing (NLP) in Python.,701.0,44,True,2022-07-26 13:08:23.000,3.4.1,196.0,spacy,conda-forge/spacy,,,,46565.0,44190.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4284878.0,4326148.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2803444.0,,,,,1.0,,3146.0,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-10-13 14:26:47.000000,2022-10-13 13:03:45,5979,123.0,8473,927.0,3768.0,319.0,4290.0,23292,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",578.0,44,True,2022-08-23 13:05:54.000,1.6.2,65.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,38421.0,37051.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1370.0,8300039.0,8347737.0,https://anaconda.org/conda-forge/xgboost,2022-10-12 09:50:00.304,3192432.0,,,,,1.0,,5220.0,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-10-13 15:02:22.000000,2022-10-13 09:26:42,14571,1179.0,3925,427.0,17440.0,2673.0,9119.0,22316,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,766.0,44,True,2022-08-23 04:57:08.000,ray-2.0.0,76.0,ray,conda-forge/ray-tune,,,,6352.0,6073.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,2149350.0,2152340.0,https://anaconda.org/conda-forge/ray-tune,2022-09-08 16:00:53.758,65782.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-10-13 14:06:51.000000,2022-10-12 22:16:31,13391,1115.0,1899,287.0,7791.0,1136.0,2672.0,20553,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",460.0,44,True,2022-10-12 18:09:04.804,0.3.23,130.0,jax,conda-forge/jaxlib,,,,6068.0,5746.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,322.0,579544.0,591433.0,https://anaconda.org/conda-forge/jaxlib,2022-10-12 11:08:14.415,463709.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-10-12 07:40:01.000000,2022-10-04 07:04:07,14370,54.0,2650,472.0,1382.0,229.0,1430.0,11122,Suite of libraries and programs for symbolic and statistical natural language processing for English.,435.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,170267.0,158308.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11959.0,11490052.0,11510584.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1519396.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-10-13 13:19:36.000000,2022-10-13 12:56:37,13300,62.0,2042,188.0,3864.0,637.0,1885.0,5080,Image processing in Python.,576.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,,124107.0,114741.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9366.0,5203061.0,5255680.0,https://anaconda.org/conda-forge/scikit-image,2022-08-10 20:08:06.478,4051730.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-10-13 14:09:29.000000,2022-10-13 14:09:22,34360,740.0,26119,2077.0,38214.0,259.0,,34099,Apache Spark Python API.,2742.0,43,True,2022-07-15 14:55:05.769,3.2.2,31.0,pyspark,conda-forge/pyspark,,,['spark'],849.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,849.0,26661714.0,26692273.0,https://anaconda.org/conda-forge/pyspark,2022-07-27 06:26:20.797,2047462.0,,,,,2.0,,,stable/spark,,,,,,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-10-13 01:39:38.000000,2022-10-11 05:45:45,19789,194.0,3990,451.0,5349.0,690.0,6342.0,16772,"Interactive Data Visualization in the browser, from Python.",619.0,43,True,2022-05-18 19:00:14.000,2.4.3,141.0,bokeh,conda-forge/bokeh,,,,3710.0,157.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3181385.0,3315391.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8844419.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-10-13 12:45:55.000000,2022-10-12 20:15:33,7053,66.0,2745,278.0,2904.0,364.0,2645.0,11673,Network Analysis in Python.,618.0,43,True,2022-10-01 20:50:01.000,networkx-2.8.7,82.0,networkx,conda-forge/networkx,,,,133929.0,120465.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13464.0,18128886.0,18245522.0,https://anaconda.org/conda-forge/networkx,2022-10-01 23:32:58.825,8397799.0,,,,,1.0,,60.0,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-10-13 14:07:37.000000,2022-10-12 00:09:07,7391,120.0,1536,221.0,4882.0,796.0,3798.0,10389,Parallel computing with task scheduling.,562.0,43,True,2022-09-30 18:57:47.467,2022.9.2,153.0,dask,conda-forge/dask,,,,43234.0,40567.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2667.0,5818384.0,5907614.0,https://anaconda.org/conda-forge/dask,2022-10-01 02:48:44.071,6870741.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-10-13 14:52:12.000000,2022-10-13 14:52:12,5212,116.0,1541,191.0,4269.0,597.0,1141.0,5994,TensorFlows Visualization Toolkit.,288.0,43,True,2022-09-26 15:17:13.755,2.10.1,44.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],128978.0,126558.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2420.0,17689664.0,17746482.0,https://anaconda.org/conda-forge/tensorboard,2022-09-27 00:28:15.265,3352287.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-10-06 11:28:03.000000,2022-10-04 16:38:12,1754,68.0,8014,993.0,1429.0,35.0,1660.0,28781,A toolkit for developing and comparing reinforcement learning algorithms.,383.0,42,True,2022-10-04 23:58:42.348,0.26.2,107.0,gym,conda-forge/gym,,,,35349.0,32878.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2471.0,1005443.0,1010473.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,150912.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-10-13 14:15:08.000000,2022-10-13 13:30:38,37992,1468.0,4727,736.0,31457.0,2947.0,13410.0,19006,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,837.0,42,True,2022-08-17 11:15:01.081,2.3.2,57.0,paddlepaddle,,,,['paddle'],194.0,144.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,68802.0,69009.0,,,,,,,,2.0,,15321.0,,,,,,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-10-13 07:10:53.000000,2022-10-12 01:53:01,3109,87.0,3635,451.0,2718.0,237.0,2606.0,14262,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",273.0,42,True,2022-10-10 21:18:04.234,3.3.3,30.0,lightgbm,conda-forge/lightgbm,,,,16346.0,15703.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,643.0,7405531.0,7427979.0,https://anaconda.org/conda-forge/lightgbm,2022-10-11 02:19:22.986,1255194.0,,,,,2.0,,166698.0,,,,,,,,,,,,,,,,,,
29,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-10-13 14:42:44.000000,2022-10-13 11:59:04,3086,256.0,6254,381.0,4189.0,786.0,1940.0,12558,"Datasets, Transforms and Models specific to Computer Vision.",507.0,42,True,2022-08-05 20:19:15.000,0.13.1,32.0,torchvision,conda-forge/torchvision,,,['pytorch'],3719.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3719.0,5936487.0,5943311.0,https://anaconda.org/conda-forge/torchvision,2022-07-24 12:57:15.567,384148.0,,,,,1.0,,13287.0,,,,,,,,,,,,,,,,,,
30,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-10-11 17:58:49.000000,2022-08-11 14:39:59,5599,63.0,2191,274.0,1406.0,1225.0,1221.0,12241,The interactive graphing library for Python (includes Plotly Express).,201.0,42,True,2022-08-11 14:41:24.000,5.10.0,283.0,plotly,conda-forge/plotly,,,,4158.0,12.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4142.0,7748954.0,7835722.0,https://anaconda.org/conda-forge/plotly,2022-08-14 12:44:46.659,3232923.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,43080.0,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-10-13 15:20:22.000000,2022-10-12 05:22:47,4228,65.0,1855,1734.0,3998.0,174.0,2361.0,10260,WebGL2 powered visualization framework.,207.0,42,True,2022-10-12 03:19:33.336,8.8.13,560.0,pydeck,conda-forge/pydeck,,,['jupyter'],5178.0,4741.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,868038.0,1220662.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,204299.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-10-12 03:19:33.336,413.0,346240.0,,,,,,,,,,,,
32,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-10-13 11:31:00.000000,2022-10-12 00:53:53,3061,82.0,1660,248.0,920.0,107.0,2051.0,9898,Statistical data visualization in Python.,175.0,42,True,2022-09-06 03:06:52.511,0.12.0,31.0,seaborn,conda-forge/seaborn,,,,9410.0,,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,8812263.0,8878255.0,https://anaconda.org/conda-forge/seaborn,2022-09-06 19:11:47.177,4883269.0,,,,,1.0,,235.0,,,,,,,,,,,,,,,,,,
33,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-10-13 07:47:07.000000,2022-10-11 17:21:44,14736,65.0,2431,271.0,3611.0,2266.0,2559.0,7809,Statsmodels: statistical modeling and econometrics in Python.,386.0,42,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,75614.0,71101.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,9228178.0,9326378.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,7463238.0,,,,,2.0,,26.0,,,,,,,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-10-13 15:02:31.000000,2022-10-12 23:53:54,2075,80.0,3054,427.0,2397.0,326.0,1840.0,13395,Open standard for machine learning interoperability.,255.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,,,9074.0,8681.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,393.0,1857571.0,1866986.0,https://anaconda.org/conda-forge/onnx,2022-09-26 01:58:13.778,537836.0,,,,,1.0,,18006.0,,,,,,,,,,,,,,,,,,
35,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-10-13 14:36:30.000000,2022-10-13 13:34:05,3294,379.0,2977,283.0,4442.0,981.0,1688.0,12798,Open source platform for the machine learning lifecycle.,498.0,41,True,2022-09-20 06:34:57.823,1.29.0,62.0,mlflow,conda-forge/mlflow,,,,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,13739799.0,13762240.0,https://anaconda.org/conda-forge/mlflow,2022-09-20 12:50:43.646,942539.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-10-07 20:45:22.000000,2022-10-07 20:45:22,2558,131.0,7296,608.0,2130.0,118.0,1560.0,22862,The fastai deep learning library.,613.0,40,True,2022-08-03 23:18:02.359,2.7.9,143.0,fastai,,,,['pytorch'],11576.0,11275.0,https://pypi.org/project/fastai,2022-07-04 04:05:22.000,301.0,270243.0,270243.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
37,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-10-13 10:36:46.000000,2022-10-13 09:22:01,5009,221.0,1884,275.0,2694.0,550.0,2229.0,20949,Streamlit The fastest way to build data apps in Python.,154.0,40,True,2022-09-22 17:20:10.762,1.13.0,182.0,streamlit,,,,,854.0,433.0,https://pypi.org/project/streamlit,2022-07-27 21:22:03.770,421.0,898027.0,898027.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
38,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2022-10-13 14:36:17.000000,2022-10-07 12:47:20,6424,136.0,1779,406.0,819.0,691.0,703.0,17473,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",126.0,40,True,2022-09-23 14:50:19.000,2.6.2,154.0,dash,conda-forge/dash,,,,37090.0,35873.0,https://pypi.org/project/dash,2022-06-13 18:17:06.000,1217.0,1144696.0,1157043.0,https://anaconda.org/conda-forge/dash,2022-09-24 00:38:13.848,654422.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
