,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,new_addition
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-08-25 09:10:57.000000,2022-08-25 09:10:57,28567.0,560.0,4372,333.0,8476.0,1727.0,7023.0,10113,"Ecosystem of open-source software for mathematics, science, and engineering.",1341.0,49,True,2022-07-29 13:54:16.000,1.9.0,82.0,scipy,conda-forge/scipy,,354149.0,42916654.0,613709.0,555482.0,https://pypi.org/project/scipy,2022-07-05 00:14:32.000,58227.0,42560577.0,https://anaconda.org/conda-forge/scipy,2022-07-30 10:53:47.560,26393356.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-08-25 12:51:58.000000,2022-08-25 07:05:11,13605.0,274.0,1886,212.0,3866.0,121.0,2489.0,10071,The friendly PIL fork (Python Imaging Library).,408.0,47,True,2022-07-01 18:32:05.000,9.2.0,89.0,Pillow,conda-forge/pillow,,,45270765.0,886355.0,823200.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63155.0,45035617.0,https://anaconda.org/conda-forge/pillow,2022-08-13 11:08:07.290,17871268.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-08-25 05:35:51.000000,2022-08-24 22:38:24,7286.0,261.0,19164,1945.0,5489.0,322.0,11177.0,55996,Deep Learning for humans.,1100.0,45,True,2022-05-13 20:03:15.000,2.9.0,67.0,keras,conda-forge/keras,['tensorflow'],,8388933.0,330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,8354365.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2488903.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,,
13,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-08-25 14:10:12.000000,2022-08-23 11:09:36,15580.0,138.0,3904,554.0,3284.0,99.0,5129.0,24047,Industrial-strength Natural Language Processing (NLP) in Python.,699.0,44,True,2022-07-26 13:08:23.000,3.4.1,196.0,spacy,conda-forge/spacy,,3146.0,4703235.0,44863.0,42488.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4661517.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2750486.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-08-25 06:41:48.000000,2022-08-25 06:41:48,5907.0,108.0,8444,928.0,3684.0,311.0,4241.0,23110,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",573.0,44,True,2022-08-23 13:05:54.000,1.6.2,65.0,xgboost,conda-forge/xgboost,,4958.0,8369645.0,36562.0,35192.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1370.0,8324375.0,https://anaconda.org/conda-forge/xgboost,2022-08-12 07:39:35.276,2939382.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-08-25 13:02:00.000000,2022-08-25 11:41:35,14056.0,1325.0,3809,425.0,16750.0,2633.0,8648.0,21726,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,743.0,44,True,2022-08-23 04:57:08.000,ray-2.0.0,76.0,ray,conda-forge/ray-tune,,,1797741.0,5959.0,5680.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,1795033.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,54162.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-08-25 12:58:05.000000,2022-08-25 03:42:14,12833.0,1136.0,1820,286.0,7384.0,1066.0,2586.0,19954,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",436.0,44,True,2022-08-12 00:09:02.686,0.3.16,123.0,jax,conda-forge/jaxlib,,,617418.0,5638.0,5316.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,322.0,606473.0,https://anaconda.org/conda-forge/jaxlib,2022-08-25 06:57:48.005,404993.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-08-25 08:46:46.000000,2022-08-23 15:35:45,7020.0,170.0,2687,275.0,2839.0,337.0,2636.0,11463,Network Analysis in Python.,613.0,44,True,2022-08-22 14:09:24.936,2.8.6,81.0,networkx,conda-forge/networkx,,60.0,19398423.0,129483.0,116019.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13464.0,19287799.0,https://anaconda.org/conda-forge/networkx,2022-08-22 18:30:33.145,7743714.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-08-25 12:31:27.000000,2022-08-25 12:31:27,51817.0,755.0,3724,281.0,11758.0,4506.0,8072.0,9504,A computer algebra system written in pure Python.,1165.0,44,True,2022-08-23 23:36:12.000,sympy-1.11,47.0,sympy,conda-forge/sympy,,460689.0,2645708.0,49658.0,45448.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4210.0,2610673.0,https://anaconda.org/conda-forge/sympy,2022-08-23 23:56:28.223,2310732.0,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
19,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-08-24 19:49:55.000000,2022-08-23 21:09:05,13251.0,44.0,2042,185.0,3803.0,637.0,1856.0,5022,Image processing in Python.,564.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,5295846.0,120352.0,110986.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9366.0,5244714.0,https://anaconda.org/conda-forge/scikit-image,2022-08-10 20:08:06.478,3834926.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-08-25 14:24:25.000000,2022-08-25 13:46:24,33943.0,699.0,25868,2075.0,37634.0,224.0,,33711,Apache Spark Python API.,2716.0,43,True,2022-06-15 08:58:01.000,3.3.0,31.0,pyspark,conda-forge/pyspark,['spark'],,24999681.0,849.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,849.0,24970274.0,https://anaconda.org/conda-forge/pyspark,2022-07-27 06:26:20.797,1911467.0,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,,,,,,
21,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-08-25 08:45:58.000000,2022-07-29 02:21:56,14325.0,26.0,2635,471.0,1373.0,225.0,1420.0,10995,Suite of libraries and programs for symbolic and statistical natural language processing for English.,427.0,43,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,11645983.0,165163.0,153204.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11959.0,11626151.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1427933.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-08-25 14:18:54.000000,2022-08-24 14:48:24,7332.0,125.0,1521,221.0,4803.0,765.0,3746.0,10242,Parallel computing with task scheduling.,554.0,43,True,2022-08-19 22:39:00.887,2022.8.1,150.0,dask,conda-forge/dask,,,7138304.0,42052.0,39385.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2667.0,7053625.0,https://anaconda.org/conda-forge/dask,2022-08-19 23:36:51.157,6350978.0,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,,,,,,
23,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-08-24 22:22:18.000000,2022-08-24 18:36:44,5165.0,119.0,1526,189.0,4210.0,582.0,1138.0,5964,TensorFlows Visualization Toolkit.,286.0,43,True,2022-08-10 20:20:31.999,2.10.0,43.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,14481013.0,123349.0,120929.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2420.0,14425036.0,https://anaconda.org/conda-forge/tensorboard,2022-08-11 03:39:08.506,3190727.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-08-25 14:05:47.000000,2022-08-24 16:20:24,1721.0,99.0,7933,989.0,1395.0,36.0,1628.0,28354,A toolkit for developing and comparing reinforcement learning algorithms.,376.0,42,True,2022-08-18 17:41:14.000,0.25.2,104.0,gym,conda-forge/gym,,,625214.0,34278.0,31807.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2471.0,620261.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,138699.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-08-24 18:52:45.000000,2022-08-24 17:39:26,19675.0,128.0,3971,453.0,5262.0,704.0,6273.0,16625,"Interactive Data Visualization in the browser, from Python.",612.0,42,True,2022-05-18 19:00:14.000,2.4.3,131.0,bokeh,conda-forge/bokeh,,,3756754.0,3704.0,151.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3627915.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8245707.0,1.0,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,
26,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-08-23 18:20:52.000000,2022-08-11 14:39:59,5599.0,110.0,2191,272.0,1396.0,1225.0,1212.0,11994,The interactive graphing library for Python (includes Plotly Express).,201.0,42,True,2022-08-11 14:41:24.000,5.10.0,283.0,plotly,conda-forge/plotly,,,8683691.0,4158.0,12.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4142.0,8596115.0,https://anaconda.org/conda-forge/plotly,2022-08-14 12:44:46.659,3028961.0,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,45508.0,,,,,,,,,,,,,,,,,,
27,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-08-25 08:25:33.000000,2022-08-24 19:18:33,4191.0,131.0,1821,1736.0,3957.0,158.0,2343.0,10131,WebGL2 powered visualization framework.,204.0,42,True,2022-08-22 17:09:42.679,8.8.9,550.0,pydeck,conda-forge/pydeck,['jupyter'],,1118298.0,4942.0,4513.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,789244.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,165493.0,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-08-22 17:09:42.679,405.0,323538.0,,,,,,,,,,,,,,,,,,
28,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-08-23 10:41:02.000000,2022-08-23 10:41:02,14702.0,115.0,2431,268.0,3594.0,2266.0,2553.0,7681,Statsmodels: statistical modeling and econometrics in Python.,381.0,42,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,26.0,8920641.0,72978.0,68465.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,8826111.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6995266.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-08-25 14:18:32.000000,2022-08-25 14:07:48,37130.0,1299.0,4664,729.0,30124.0,2979.0,13064.0,18751,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,806.0,41,True,2022-08-16 08:23:49.000,2.3.2,56.0,paddlepaddle,,['paddle'],15319.0,78857.0,187.0,137.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,78645.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-08-23 14:39:08.000000,2022-06-16 14:46:20,2277.0,83.0,2561,252.0,477.0,1407.0,606.0,17295,A game theoretic approach to explain the output of any machine learning model.,205.0,41,True,2022-06-16 00:31:04.000,0.41.0,95.0,shap,conda-forge/shap,,,3711303.0,6658.0,6383.0,https://pypi.org/project/shap,2022-06-16 00:43:28.000,275.0,3681372.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1436716.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-08-25 13:48:13.000000,2022-08-25 13:48:11,3054.0,80.0,3606,449.0,2661.0,230.0,2573.0,14104,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",267.0,41,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,160953.0,5977079.0,15542.0,14899.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,643.0,5955438.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1166799.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-08-25 15:00:42.000000,2022-08-24 04:01:15,2037.0,77.0,2956,428.0,2338.0,309.0,1796.0,13132,Open standard for machine learning interoperability.,248.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,17855.0,1577181.0,8474.0,8081.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,393.0,1568309.0,https://anaconda.org/conda-forge/onnx,2022-08-18 20:33:15.885,488248.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-08-25 13:21:42.000000,2022-08-25 04:36:17,3075.0,296.0,2887,277.0,4113.0,940.0,1610.0,12490,Open source platform for the machine learning lifecycle.,473.0,41,True,2022-08-11 10:07:43.000,1.28.0,61.0,mlflow,conda-forge/mlflow,,,12723722.0,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,12705379.0,https://anaconda.org/conda-forge/mlflow,2022-08-19 06:19:56.811,733756.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-08-25 14:22:53.000000,2022-08-25 13:58:56,2923.0,151.0,6144,381.0,3999.0,751.0,1898.0,12284,"Datasets, Transforms and Models specific to Computer Vision.",497.0,41,True,2022-08-05 20:19:15.000,0.13.1,32.0,torchvision,conda-forge/torchvision,['pytorch'],11004.0,3802397.0,3719.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3719.0,3796238.0,https://anaconda.org/conda-forge/torchvision,2022-07-24 12:57:15.567,335370.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-08-25 11:51:21.000000,2022-08-25 11:50:32,3010.0,76.0,1631,244.0,876.0,103.0,1996.0,9727,Statistical data visualization in Python.,173.0,41,True,2021-08-16 00:42:18.000,0.11.2,30.0,seaborn,conda-forge/seaborn,,230.0,7578882.0,9410.0,,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,7516597.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,4484444.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-08-25 08:24:49.000000,2022-08-25 02:33:19,13752.0,875.0,733,125.0,2648.0,114.0,1151.0,6812,A hyperparameter optimization framework.,203.0,41,True,2022-06-13 05:39:20.000,2.10.1,48.0,optuna,conda-forge/optuna,,,1478088.0,4263.0,4023.0,https://pypi.org/project/optuna,2022-06-13 05:39:20.000,240.0,1468470.0,https://anaconda.org/conda-forge/optuna,2022-07-06 03:46:47.901,317403.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,dask.distributed,dask/distributed,distributed-ml,,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000,2022-08-25 13:07:41.000000,2022-08-25 13:07:40,4872.0,224.0,638,59.0,3967.0,1218.0,1958.0,1390,A distributed task scheduler for Dask.,284.0,41,True,2022-08-19 22:39:00.863,2022.8.1,181.0,distributed,conda-forge/distributed,,,4999136.0,25898.0,24711.0,https://pypi.org/project/distributed,2022-06-24 16:00:19.000,1187.0,4895880.0,https://anaconda.org/conda-forge/distributed,2022-08-19 23:15:11.293,7744204.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-08-19 04:56:39.000000,2022-08-19 04:56:35,2512.0,185.0,7273,608.0,2111.0,111.0,1546.0,22669,The fastai deep learning library.,613.0,40,True,2022-08-03 23:18:02.359,2.7.9,143.0,fastai,,['pytorch'],,278333.0,11245.0,10944.0,https://pypi.org/project/fastai,2022-07-04 04:05:22.000,301.0,278333.0,,,,2.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
