,name,github_id,pypi_id,conda_id,docs_url,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_dependent_project_count,show,projectrank_placing,github_release_downloads,helm_id,brew_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,apt_id,yum_id,snap_id,cargo_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
18,psutil,giampaolo/psutil,psutil,conda-forge/psutil,,system-monitoring,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48+00:00,2020-11-22 21:21:55+00:00,2020-11-15 21:53:59+00:00,1055.0,224.0,1198.0,6803.0,5574.0,2020-10-24 14:00:54+00:00,5.7.3,82.0,Cross-platform lib for process and system monitoring in Python.,89995.0,65329.0,153.0,36,https://pypi.org/project/psutil,2020-10-24 14:00:54+00:00,24666.0,13670117.0,13670117.0,https://anaconda.org/conda-forge/psutil,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,statsmodels,statsmodels,,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50+00:00,2020-11-29 20:41:45+00:00,2020-11-28 14:24:58+00:00,2092.0,1993.0,2215.0,5758.0,13497.0,2020-10-29 16:36:43+00:00,0.12.1,24.0,Statsmodels: statistical modeling and econometrics in Python.,39879.0,33223.0,295.0,36,https://pypi.org/project/statsmodels,2020-10-29 16:36:43+00:00,6656.0,2571690.0,2571690.0,https://anaconda.org/anaconda/statsmodels,2020-10-09 21:54:21+00:00,0.0,True,1,24.0,,,,,,,,,,,,,,,,,,,,,,
20,Tensorboard,tensorflow/tensorboard,tensorboard,,,ml-experiments,['tensorflow'],https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07+00:00,2020-11-30 17:00:36+00:00,2020-11-25 23:16:04+00:00,1312.0,548.0,889.0,5053.0,4040.0,2020-11-12 03:15:42+00:00,2.4.0,35.0,TensorFlow's Visualization Toolkit.,50061.0,46447.0,248.0,36,https://pypi.org/project/tensorboard,2020-11-12 03:15:33+00:00,3614.0,6017734.0,6017734.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
21,scikit-image,scikit-image/scikit-image,scikit-image,,,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20+00:00,2020-11-30 10:21:11+00:00,2020-11-27 08:05:05+00:00,1695.0,638.0,1453.0,4067.0,12382.0,2020-07-06 09:37:07+00:00,0.17.2,31.0,Image processing in Python.,69333.0,54559.0,470.0,36,https://pypi.org/project/scikit-image,2020-11-29 03:50:40+00:00,14774.0,1837120.0,1837120.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
22,pymongo,mongodb/mongo-python-driver,pymongo,,,db-clients,,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06+00:00,2020-11-27 07:15:48+00:00,2020-11-24 20:11:22+00:00,968.0,9.0,,3167.0,4606.0,2020-11-17 19:05:02+00:00,3.11.1,114.0,PyMongo - the Python driver for MongoDB.,114936.0,79074.0,179.0,36,https://pypi.org/project/pymongo,2020-11-17 18:06:45+00:00,35862.0,6309313.0,6309313.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
23,SQLAlchemy,sqlalchemy/sqlalchemy,SQLAlchemy,conda-forge/sqlalchemy,,db-clients,,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2018-11-27 03:35:03+00:00,2020-11-30 16:46:21+00:00,2020-11-30 16:45:58+00:00,468.0,155.0,5329.0,3021.0,13354.0,2020-10-12 22:33:21+00:00,rel_1_3_20,205.0,The Database Toolkit for Python.,300671.0,216965.0,445.0,36,https://pypi.org/project/SQLAlchemy,2020-11-02 21:20:19+00:00,83706.0,13517653.0,13517727.0,https://anaconda.org/conda-forge/sqlalchemy,,,True,1,1042.0,,,,,,,,,,,,,,,,,,,,,,
24,h5py,h5py/h5py,h5py,,,data-containers,,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02+00:00,2020-11-26 14:02:00+00:00,2020-11-07 16:05:19+00:00,393.0,182.0,932.0,1446.0,3458.0,2020-11-06 14:30:54+00:00,3.1.0,25.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,114943.0,92007.0,156.0,36,https://pypi.org/project/h5py,2020-11-06 14:30:54+00:00,22936.0,6035930.0,6035946.0,,,,True,1,713.0,,,,,,,,,,,,,,,,,,,,,,
25,OpenAI Gym,openai/gym,gym,,,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16+00:00,2020-11-27 17:03:56+00:00,2020-11-09 18:24:26+00:00,6420.0,190.0,1058.0,22802.0,1237.0,2020-05-08 23:33:21+00:00,0.17.2,90.0,A toolkit for developing and comparing reinforcement learning algorithms.,19541.0,15979.0,271.0,35,https://pypi.org/project/gym,2020-05-08 23:33:21+00:00,3562.0,469119.0,469119.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
26,XGBoost,dmlc/xgboost,xgboost,,https://xgboost.readthedocs.io/en/latest/,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03+00:00,2020-11-30 00:53:10+00:00,2020-11-28 19:18:33+00:00,7818.0,257.0,3553.0,20210.0,5124.0,2020-10-14 01:14:47+00:00,1.2.1,48.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",12507.0,11711.0,497.0,35,https://pypi.org/project/xgboost,2020-11-21 20:35:43+00:00,796.0,3161432.0,3161453.0,,,,True,2,1754.0,,,,,,,,,,,,,,,,,,,,,,
27,Airflow,apache/airflow,apache-airflow,conda-forge/airflow,,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58+00:00,2020-11-30 17:53:09+00:00,2020-11-30 17:29:53+00:00,7523.0,887.0,1609.0,19592.0,10926.0,2020-11-25 14:03:23+00:00,1.10.13,59.0,"Platform to programmatically author, schedule, and monitor workflows.",294.0,,1655.0,35,https://pypi.org/project/apache-airflow,2020-11-25 13:54:41+00:00,294.0,627341.0,666394.0,https://anaconda.org/conda-forge/airflow,,,True,1,55851.0,stable/airflow,,apache/airflow,https://hub.docker.com/r/apache/airflow,2020-11-30 15:31:43.235132+00:00,181.0,2557204.0,,,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,lightgbm,lightgbm,,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50+00:00,2020-11-30 11:54:40+00:00,2020-11-30 00:52:38+00:00,3113.0,86.0,1863.0,11865.0,2146.0,2020-11-16 04:30:42+00:00,3.1.0,23.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",5324.0,4768.0,187.0,35,https://pypi.org/project/lightgbm,2020-11-16 04:30:42+00:00,556.0,1589143.0,1590941.0,https://anaconda.org/anaconda/lightgbm,2019-11-17 05:00:09+00:00,,True,2,77331.0,,,,,,,,,,,,,,,,,,,,,,
29,gensim,RaRe-Technologies/gensim,gensim,,,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04+00:00,2020-11-30 16:35:17+00:00,2020-11-15 20:49:41+00:00,3825.0,349.0,1234.0,11426.0,3849.0,2020-05-04 05:55:15+00:00,3.8.3,83.0,Topic Modelling for Humans.,23450.0,18708.0,384.0,35,https://pypi.org/project/gensim,2020-11-15 12:53:37+00:00,4742.0,5255941.0,5255983.0,,,,False,1,2523.0,,,,,,,,,,,,,,,,,,,,,,
30,Theano,Theano/Theano,theano,theano,,ml-frameworks,,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06+00:00,2020-09-05 10:41:31+00:00,2020-09-05 10:39:50+00:00,2514.0,673.0,2079.0,9283.0,28123.0,2020-07-27 16:13:54+00:00,1.0.5,45.0,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-..",15081.0,9607.0,382.0,35,https://pypi.org/project/theano,2020-07-27 16:13:54+00:00,5474.0,276201.0,276201.0,https://anaconda.org/anaconda/theano,2019-09-12 14:53:26+00:00,0.0,True,2,,,,,,,,,,,,,,,,,,,,,,,
31,Plotly,plotly/plotly.py,plotly,,,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08+00:00,2020-11-30 15:48:12+00:00,2020-11-26 02:30:03+00:00,1699.0,729.0,1029.0,8326.0,4810.0,2020-11-23 13:51:35+00:00,4.13.0,261.0,The interactive graphing library for Python (includes Plotly Express).,4991.0,5.0,156.0,35,https://pypi.org/project/plotly,2020-11-23 13:44:32+00:00,4982.0,3172842.0,3203508.0,,,,True,1,,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2020-11-23 13:41:39.403000+00:00,4.0,30666.0,,,,,,,,,,
32,Seaborn,mwaskom/seaborn,seaborn,,,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19+00:00,2020-11-25 18:12:38+00:00,2020-11-25 18:12:10+00:00,1322.0,93.0,1613.0,7856.0,2714.0,2020-09-08 14:53:52+00:00,0.11.0,22.0,Statistical data visualization using matplotlib.,83903.0,71117.0,143.0,35,https://pypi.org/project/seaborn,2020-09-08 14:53:52+00:00,12786.0,2075517.0,2075518.0,,,,True,1,88.0,,,,,,,,,,,,,,,,,,,,,,
33,torchvision,pytorch/vision,torchvision,,,image,['pytorch'],https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43+00:00,2020-11-30 17:20:30+00:00,2020-11-30 15:28:00+00:00,3959.0,443.0,996.0,7823.0,1349.0,2020-10-27 21:22:05+00:00,0.8.1,20.0,"Datasets, Transforms and Models specific to Computer Vision.",39714.0,35102.0,338.0,35,https://pypi.org/project/torchvision,2020-10-27 21:17:07+00:00,4612.0,714596.0,714596.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
34,SymPy,sympy/sympy,sympy,sympy,,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14+00:00,2020-11-30 17:41:56+00:00,2020-11-30 00:14:04+00:00,3198.0,3944.0,7019.0,7574.0,45323.0,2020-11-29 14:03:54+00:00,sympy-1.7,35.0,A computer algebra system written in pure Python.,32940.0,26518.0,1012.0,35,https://pypi.org/project/sympy,2020-11-29 14:24:32+00:00,6422.0,797340.0,801980.0,https://anaconda.org/anaconda/sympy,2020-11-24 22:42:59.563000+00:00,0.0,True,1,408333.0,,,,,,,,,,,,,,,,,,,,,,
35,dask,dask/dask,dask,,,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00+00:00,2020-11-30 17:37:20+00:00,2020-11-30 16:44:02+00:00,1167.0,651.0,2733.0,7563.0,6221.0,2020-10-06 22:31:00+00:00,2.30.0,108.0,Parallel computing with task scheduling.,27125.0,23209.0,416.0,35,https://pypi.org/project/dask,2020-10-06 22:31:00+00:00,3916.0,1533075.0,1533075.0,,,,True,1,,stable/dask,,,,,,,,,,,,,,,,,,,,,
36,PyMySQL,PyMySQL/PyMySQL,PyMySQL,,,db-clients,,https://github.com/PyMySQL/PyMySQL,https://github.com/PyMySQL/PyMySQL,MIT,2011-07-27 17:38:47+00:00,2020-11-02 04:34:08+00:00,2020-09-10 07:29:31+00:00,1238.0,18.0,512.0,6222.0,943.0,2020-09-10 07:38:01+00:00,0.10.1,32.0,Pure Python MySQL Client.,86907.0,68481.0,104.0,35,https://pypi.org/project/PyMySQL,2020-09-10 07:38:01+00:00,18426.0,5541175.0,5541175.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,
37,google-cloud-storage,googleapis/google-cloud-python,google-cloud-storage,,,db-clients,,https://github.com/googleapis/google-cloud-python,https://github.com/googleapis/google-cloud-python,Apache-2.0,2014-01-28 15:51:47+00:00,2020-11-16 22:06:04+00:00,2020-10-29 21:15:18+00:00,1324.0,20.0,3311.0,3412.0,9049.0,2020-11-16 22:06:04+00:00,1.33.0,100.0,Google Cloud Client Library for Python.,2108.0,,311.0,35,https://pypi.org/project/google-cloud-storage,2020-11-16 22:06:04+00:00,2108.0,14163218.0,14163218.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,
38,elasticsearch,elastic/elasticsearch-py,elasticsearch,,,db-clients,,https://github.com/elastic/elasticsearch-py,https://github.com/elastic/elasticsearch-py,Apache-2.0,2013-05-01 22:47:39+00:00,2020-11-23 23:33:19+00:00,2020-11-23 22:53:07+00:00,948.0,72.0,770.0,3029.0,1248.0,2020-11-11 18:05:35+00:00,7.10.0,62.0,Official Python low-level client for Elasticsearch.,28979.0,18405.0,167.0,35,https://pypi.org/project/elasticsearch,2020-10-20 20:50:09+00:00,10574.0,4172811.0,4172841.0,,,,True,2,30.0,,,,,,,,,,,,,,,,,,,,,,
39,psycopg2,psycopg/psycopg2,psycopg2,psycopg2,,db-clients,,https://github.com/psycopg/psycopg2,https://github.com/psycopg/psycopg2,BSD-3-Clause-Attribution,2013-01-21 11:05:11+00:00,2020-11-18 16:10:19+00:00,2020-11-17 22:45:52+00:00,346.0,42.0,913.0,1988.0,2870.0,2020-09-06 22:41:27+00:00,2.8.6,45.0,PostgreSQL database adapter for the Python programming language.,395457.0,276245.0,110.0,35,https://pypi.org/project/psycopg2,2020-09-06 22:41:27+00:00,119212.0,5482070.0,5482070.0,https://anaconda.org/anaconda/psycopg2,2020-07-09 14:36:31+00:00,0.0,False,2,,,,,,,,,,,,,,,,,,,,,,,
40,MXNet,apache/incubator-mxnet,mxnet,mxnet,,ml-frameworks,['mxnet'],https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15+00:00,2020-11-30 08:50:56+00:00,2020-11-29 01:50:14+00:00,6765.0,1785.0,7523.0,19134.0,11455.0,2020-08-28 05:08:24+00:00,1.7.0,976.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",2047.0,1603.0,943.0,34,https://pypi.org/project/mxnet,2020-08-28 06:18:15+00:00,444.0,249380.0,249809.0,https://anaconda.org/anaconda/mxnet,2019-08-02 21:58:41+00:00,0.0,True,2,23208.0,,,,,,,,,,,,,,,,,,,,,,
41,nltk,nltk/nltk,nltk,,,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58+00:00,2020-11-30 00:10:14+00:00,2020-11-23 07:50:32+00:00,2397.0,243.0,1207.0,9445.0,,2019-08-20 10:55:21+00:00,3.4.5,39.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,101352.0,80360.0,377.0,34,https://pypi.org/project/nltk,2020-04-12 23:46:10+00:00,20992.0,4443988.0,4443988.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,
