,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-08-04 13:07:21.000000,2022-08-04 13:05:30,13557.0,315.0,1869,211.0,3833.0,113.0,2474.0,10013,The friendly PIL fork (Python Imaging Library).,407.0,47,True,2022-07-01 18:32:05.000,9.2.0,89.0,Pillow,conda-forge/pillow,,,44358428.0,868415.0,805260.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63155.0,44132695.0,https://anaconda.org/conda-forge/pillow,2022-07-05 08:21:30.516,17155774.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-08-04 10:47:40.000000,2022-08-04 10:47:40,7000.0,192.0,2657,273.0,2823.0,331.0,2628.0,11094,Network Analysis in Python.,610.0,45,True,2022-07-18 21:25:36.871,2.8.5,80.0,networkx,conda-forge/networkx,,60.0,18360004.0,127734.0,114270.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13464.0,18253766.0,https://anaconda.org/conda-forge/networkx,2022-07-19 07:19:04.156,7436678.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-08-04 13:44:35.000000,2022-08-04 00:21:32,7224.0,314.0,19133,1947.0,5441.0,357.0,11137.0,55835,Deep Learning for humans.,1092.0,44,True,2022-05-13 20:03:15.000,2.9.0,66.0,keras,conda-forge/keras,['tensorflow'],,8350952.0,330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,8317093.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2437854.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-08-04 13:14:19.000000,2022-08-04 13:14:19,15564.0,147.0,3892,551.0,3240.0,95.0,5109.0,23914,Industrial-strength Natural Language Processing (NLP) in Python.,696.0,44,True,2022-07-26 13:08:23.000,3.4.1,196.0,spacy,conda-forge/spacy,,3146.0,4637066.0,44161.0,41786.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4595690.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2727932.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-08-04 08:57:08.000000,2022-08-03 05:57:41,5883.0,121.0,8419,930.0,3646.0,301.0,4220.0,23029,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",571.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,4763.0,8206414.0,35722.0,34352.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1370.0,8162294.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2864751.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-08-04 14:51:09.000000,2022-08-04 12:59:50,13811.0,1412.0,3749,424.0,16346.0,2654.0,8444.0,21447,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,738.0,44,True,2022-06-09 17:15:12.000,ray-1.13.0,74.0,ray,conda-forge/ray-tune,,,1642591.0,5793.0,5514.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,1640084.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,50141.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-08-04 14:13:53.000000,2022-08-04 14:13:46,12493.0,1020.0,1787,284.0,7135.0,1110.0,2465.0,19692,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",427.0,44,True,2022-07-22 23:55:24.900,0.3.15,122.0,jax,conda-forge/jaxlib,,,591080.0,5447.0,5125.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,322.0,580784.0,https://anaconda.org/conda-forge/jaxlib,2022-07-28 06:40:04.372,380963.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-08-04 14:15:06.000000,2022-08-03 20:23:16,51702.0,783.0,3708,282.0,11706.0,4455.0,8058.0,9463,A computer algebra system written in pure Python.,1160.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,458684.0,2515534.0,48842.0,44710.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,2481373.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2246530.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-08-02 14:43:30.000000,2022-07-25 09:01:49,13244.0,44.0,2017,187.0,3785.0,618.0,1849.0,5007,Image processing in Python.,563.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,4654615.0,118798.0,109467.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9331.0,4604700.0,https://anaconda.org/conda-forge/scikit-image,2022-06-15 05:10:24.990,3743634.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-08-04 14:36:11.000000,2022-08-04 14:36:11,19632.0,89.0,3956,453.0,5232.0,715.0,6265.0,16537,"Interactive Data Visualization in the browser, from Python.",610.0,43,True,2022-05-18 19:00:14.000,2.4.3,129.0,bokeh,conda-forge/bokeh,,,3168358.0,57875.0,54322.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3043008.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,8022424.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-07-29 02:21:56.000000,2022-07-29 02:21:56,14325.0,39.0,2572,472.0,1365.0,222.0,1419.0,10951,Suite of libraries and programs for symbolic and statistical natural language processing for English.,427.0,43,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,11778142.0,162674.0,150854.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,11758871.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1387521.0,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-08-04 13:47:36.000000,2022-08-04 13:47:35,7306.0,143.0,1511,221.0,4772.0,753.0,3722.0,10177,Parallel computing with task scheduling.,553.0,43,True,2022-07-22 21:10:23.524,2022.7.1,148.0,dask,conda-forge/dask,,,7443171.0,41563.0,38896.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2667.0,7360965.0,https://anaconda.org/conda-forge/dask,2022-07-22 23:48:28.931,6165454.0,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-08-04 02:50:33.000000,2022-08-04 02:40:44,2993.0,172.0,1594,246.0,856.0,108.0,1984.0,9638,Statistical data visualization in Python.,171.0,43,True,2021-08-16 00:42:18.000,0.11.2,29.0,seaborn,conda-forge/seaborn,,222.0,7190458.0,181954.0,172544.0,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,7130576.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,4311408.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-08-04 14:00:47.000000,2022-08-03 11:08:25,5121.0,90.0,1511,189.0,4159.0,576.0,1136.0,5924,TensorFlows Visualization Toolkit.,284.0,43,True,2022-06-13 11:14:01.000,2.9.1,42.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,13812315.0,120755.0,118355.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2400.0,13757453.0,https://anaconda.org/conda-forge/tensorboard,2022-06-12 14:07:22.031,3127186.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-08-04 11:44:06.000000,2022-08-04 09:38:55,33752.0,675.0,25868,2077.0,37381.0,224.0,,33545,Apache Spark Python API.,2696.0,42,True,2022-06-15 08:58:01.000,3.3.0,31.0,pyspark,conda-forge/pyspark,['spark'],,24050226.0,849.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,849.0,24021775.0,https://anaconda.org/conda-forge/pyspark,2022-07-27 06:26:20.797,1849362.0,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,,,,,
26,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-08-04 04:13:43.000000,2022-08-03 11:40:29,1701.0,105.0,7914,989.0,1378.0,28.0,1613.0,28184,A toolkit for developing and comparing reinforcement learning algorithms.,372.0,42,True,2022-07-28 20:04:04.087,0.25.1,103.0,gym,conda-forge/gym,,,659263.0,33823.0,31352.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2471.0,654464.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,134379.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-08-03 23:49:23.000000,2022-07-27 00:22:05,5586.0,122.0,2163,273.0,1384.0,1187.0,1205.0,11885,The interactive graphing library for Python (includes Plotly Express).,203.0,42,True,2022-06-24 01:10:19.000,5.9.0,282.0,plotly,conda-forge/plotly,,,8218255.0,4134.0,11.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4119.0,8130163.0,https://anaconda.org/conda-forge/plotly,2022-06-24 05:08:11.888,2939078.0,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,47272.0,,,,,,,,,,,,,,,,,
28,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-08-03 13:59:45.000000,2022-08-01 18:26:58,4179.0,148.0,1819,1735.0,3946.0,154.0,2336.0,10063,WebGL2 powered visualization framework.,202.0,42,True,2022-07-28 07:55:09.948,8.8.6,547.0,pydeck,conda-forge/pydeck,['jupyter'],,1143923.0,4818.0,4400.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,855484.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,150051.0,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-07-28 07:55:09.948,394.0,283438.0,,,,,,,,,,,,,,,,,
29,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-08-02 02:32:03.000000,2022-08-02 02:32:03,14682.0,106.0,2431,265.0,3584.0,2266.0,2547.0,7611,Statsmodels: statistical modeling and econometrics in Python.,379.0,42,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,26.0,8445057.0,71898.0,67385.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,8353372.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6784702.0,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,
30,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-08-03 23:42:57.000000,2022-08-03 23:42:54,2490.0,271.0,7272,612.0,2105.0,117.0,1540.0,22596,The fastai deep learning library.,613.0,41,True,2022-08-03 23:18:02.359,2.7.9,143.0,fastai,,['pytorch'],,290275.0,11103.0,10802.0,https://pypi.org/project/fastai,2022-07-04 04:05:22.000,301.0,290275.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-08-04 13:59:15.000000,2022-08-04 11:06:27,36832.0,1235.0,4614,730.0,29707.0,2902.0,12998.0,18643,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,788.0,41,True,2022-07-12 03:54:24.000,2.3.1,55.0,paddlepaddle,,['paddle'],15319.0,71218.0,182.0,132.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,71006.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
32,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-08-03 14:11:20.000000,2022-06-16 14:46:20,2277.0,93.0,2540,252.0,473.0,1398.0,603.0,17075,A game theoretic approach to explain the output of any machine learning model.,205.0,41,True,2022-06-16 00:31:04.000,0.41.0,95.0,shap,conda-forge/shap,,,3672378.0,6450.0,6175.0,https://pypi.org/project/shap,2022-06-16 00:43:28.000,275.0,3644419.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1342058.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-08-04 13:56:28.000000,2022-08-03 16:28:22,3038.0,84.0,3541,449.0,2639.0,218.0,2551.0,14035,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",265.0,41,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,159103.0,5980416.0,15187.0,14557.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,630.0,5959466.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1126411.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-08-04 14:33:56.000000,2022-08-04 14:33:56,2014.0,71.0,2862,427.0,2313.0,301.0,1765.0,13010,Open standard for machine learning interoperability.,245.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,17790.0,1421111.0,8219.0,7826.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,393.0,1412585.0,https://anaconda.org/conda-forge/onnx,2022-06-18 09:22:46.041,468585.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-08-04 13:55:58.000000,2022-08-04 10:33:35,3000.0,278.0,2830,277.0,3985.0,942.0,1552.0,12379,Open source platform for the machine learning lifecycle.,460.0,41,True,2022-06-29 03:41:27.000,1.27.0,60.0,mlflow,conda-forge/mlflow,,,11573273.0,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,11557001.0,https://anaconda.org/conda-forge/mlflow,2022-06-30 04:32:03.462,650887.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-08-04 14:09:48.000000,2022-08-03 15:33:36,2857.0,160.0,6034,376.0,3919.0,727.0,1854.0,12177,"Datasets, Transforms and Models specific to Computer Vision.",492.0,41,True,2022-06-28 16:45:08.000,0.13.0,31.0,torchvision,conda-forge/torchvision,['pytorch'],9774.0,3484972.0,3704.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3704.0,3479196.0,https://anaconda.org/conda-forge/torchvision,2022-07-24 12:57:15.567,314957.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-08-04 14:36:49.000000,2022-08-03 03:11:22,13601.0,982.0,732,127.0,2598.0,114.0,1130.0,6742,A hyperparameter optimization framework.,202.0,41,True,2022-06-13 05:38:25.000,2.10.1,47.0,optuna,conda-forge/optuna,,,1421065.0,4110.0,3880.0,https://pypi.org/project/optuna,2022-06-13 05:39:20.000,230.0,1411742.0,https://anaconda.org/conda-forge/optuna,2022-07-06 03:46:47.901,307680.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,dask.distributed,dask/distributed,distributed-ml,,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000,2022-08-04 14:45:16.000000,2022-08-04 14:24:47,4815.0,240.0,630,58.0,3896.0,1202.0,1898.0,1381,A distributed task scheduler for Dask.,280.0,41,True,2022-07-22 21:12:01.550,2022.7.1,179.0,distributed,conda-forge/distributed,,,5245088.0,25684.0,24497.0,https://pypi.org/project/distributed,2022-06-24 16:00:19.000,1187.0,5144552.0,https://anaconda.org/conda-forge/distributed,2022-07-22 23:14:29.748,7540250.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
