,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,helm_id,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-12-27 13:11:08.000000,2023-12-22 09:55:16,49303.0,659.0,7112.0,591.0,17564.0,1167.0,8817.0,18629.0,matplotlib: plotting with Python.,1635.0,48,True,2023-11-18 01:36:36.000,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1045042.0,1045042.0,https://pypi.org/project/matplotlib,46950572.0,47461526.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21460099.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-12-28 10:42:32.000000,2023-12-28 10:42:32,31295.0,337.0,4929.0,348.0,10167.0,1719.0,8120.0,12020.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1561.0,48,True,2023-11-18 21:48:38.000,1.11.4,98.0,scipy,conda-forge/scipy,,,,65737.0,21.0,https://pypi.org/project/scipy,70024348.0,71225600.0,https://anaconda.org/conda-forge/scipy,2023-11-24 10:16:45.681,44303207.0,,,,,1.0,390831.0,2023-11-18 21:01:18.000,65716.0,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-12-28 10:11:09.000000,2023-12-27 11:58:35,16800.0,492.0,1948.0,223.0,4530.0,74.0,2895.0,11365.0,Python Imaging Library (Fork).,457.0,47,True,2023-10-15 13:05:17.000,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1477883.0,1477883.0,https://pypi.org/project/Pillow,72526497.0,73388917.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,35359234.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-12-28 03:59:27.000000,2023-12-28 03:59:24,18756.0,1113.0,2424.0,323.0,11960.0,1506.0,3595.0,26136.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",612.0,46,True,2023-12-14 07:31:53.000,0.4.23,157.0,jax,conda-forge/jaxlib,,,,21347.0,20570.0,https://pypi.org/project/jax,4708358.0,4732494.0,https://anaconda.org/conda-forge/jaxlib,2023-12-23 22:02:22.397,1013732.0,,,,,1.0,,2023-12-14 07:31:53.000,777.0,,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-12-26 08:08:27.000000,2023-12-23 12:37:29,56808.0,541.0,4134.0,292.0,12834.0,4885.0,8595.0,11705.0,A computer algebra system written in pure Python.,1265.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,106955.0,102105.0,https://pypi.org/project/sympy,9992006.0,10049179.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4819054.0,,,,,1.0,527153.0,2023-05-10 18:24:09.226,4850.0,,,,,,,,,,,,,,,,
15,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-12-28 07:30:54.000000,2023-12-26 21:54:52,10206.0,434.0,18576.0,1911.0,6843.0,135.0,11348.0,60094.0,Deep Learning for humans.,1266.0,45,True,2023-12-21 19:22:48.000,3.0.2,56.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,13423883.0,13503550.0,https://anaconda.org/conda-forge/keras,2023-12-23 16:24:50.607,3346031.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
16,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-12-28 13:52:33.000000,2023-12-28 08:18:21,39353.0,1065.0,28069.0,2032.0,44498.0,237.0,,37487.0,Apache Spark Python API.,2993.0,45,True,2023-12-16 00:30:15.000,3.3.4,42.0,pyspark,conda-forge/pyspark,,,['spark'],1240.0,,https://pypi.org/project/pyspark,27693480.0,27763925.0,https://anaconda.org/conda-forge/pyspark,2023-10-04 13:44:45.676,2958726.0,,,,,1.0,,2023-12-16 00:30:15.000,1240.0,stable/spark,7.0,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-12-28 13:43:59.000000,2023-12-21 10:00:06,16083.0,46.0,4150.0,556.0,3931.0,75.0,5444.0,27877.0,Industrial-strength Natural Language Processing (NLP) in Python.,746.0,45,True,2023-10-16 16:11:22.000,3.7.2,100.0,spacy,conda-forge/spacy,,,,77133.0,77133.0,https://pypi.org/project/spacy,6606449.0,6685132.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3304705.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-12-27 01:10:06.000000,2023-12-26 01:49:11,10031.0,283.0,3023.0,243.0,9800.0,645.0,5994.0,25527.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",918.0,45,True,2023-12-21 15:14:18.000,2.1.3,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],27497.0,27497.0,https://pypi.org/project/pytorch-lightning,4397768.0,4422676.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1028482.0,,,,,1.0,13907.0,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,
19,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-12-28 13:58:31.000000,2023-12-28 12:47:36,45755.0,1755.0,5387.0,726.0,42642.0,1918.0,16558.0,21179.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1148.0,45,True,2023-10-25 08:55:59.000,2.5.2,66.0,paddlepaddle,,,,['paddle'],4543.0,4449.0,https://pypi.org/project/paddlepaddle,190270.0,190444.0,,,,,,,,1.0,15368.0,2023-12-26 06:45:52.000,94.0,,,,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-12-26 18:50:31.000000,2023-12-22 18:23:34,20347.0,120.0,4201.0,444.0,5933.0,759.0,6790.0,18431.0,"Interactive Data Visualization in the browser, from Python.",679.0,45,True,2023-12-01 19:01:10.000,3.3.2,188.0,bokeh,conda-forge/bokeh,,,,84748.0,80951.0,https://pypi.org/project/bokeh,4054196.0,4369036.0,https://anaconda.org/conda-forge/bokeh,2023-12-01 23:42:13.932,13223321.0,,,,,1.0,,2023-12-16 09:15:19.000,3797.0,,,,,,,,,,,,,,,,
21,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-12-24 18:46:39.000000,2023-12-15 19:44:51,15177.0,67.0,2609.0,278.0,3829.0,2550.0,2725.0,9154.0,Statsmodels: statistical modeling and econometrics in Python.,419.0,45,True,2023-12-14 14:31:51.000,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,111040.0,111040.0,https://pypi.org/project/statsmodels,11742885.0,12028947.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12014614.0,,,,,1.0,30.0,,,,,,,,,,,,,,,,,,
22,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-12-28 14:17:46.000000,2023-12-27 17:45:14,20248.0,976.0,4998.0,465.0,25642.0,3372.0,13185.0,29233.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,955.0,44,True,2023-12-21 00:32:08.000,ray-2.9.0,96.0,ray,conda-forge/ray-tune,,,,13448.0,12993.0,https://pypi.org/project/ray,2676993.0,2681966.0,https://anaconda.org/conda-forge/ray-tune,2023-12-05 13:59:54.326,178962.0,,,,,1.0,165.0,2023-12-21 00:27:32.000,455.0,,,,,,,,,,,,,,,,
23,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-12-27 21:19:46.000000,2023-12-26 12:29:55,6689.0,116.0,8132.0,912.0,4887.0,351.0,4682.0,25143.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",631.0,44,True,2023-12-19 10:07:53.000,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,76129.0,76129.0,https://pypi.org/project/xgboost,11470498.0,11579652.0,https://anaconda.org/conda-forge/xgboost,2023-12-20 14:38:41.532,4472581.0,,,,,2.0,7916.0,,,,,,,,,,,,,,,,,,
24,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-12-28 08:03:19.000000,2023-12-28 01:28:04,5181.0,487.0,3743.0,291.0,7210.0,1301.0,2287.0,16138.0,Open source platform for the machine learning lifecycle.,683.0,44,True,2023-12-14 15:34:34.000,2.9.2,87.0,mlflow,conda-forge/mlflow,,,,28481.0,27959.0,https://pypi.org/project/mlflow,14095348.0,14135512.0,https://anaconda.org/conda-forge/mlflow,2023-12-14 16:11:35.887,1686926.0,,,,,1.0,,2023-12-14 05:30:49.000,522.0,,,,,,,,,,,,,,,,
25,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-12-27 19:35:54.000000,2023-12-21 22:10:00,6257.0,52.0,2403.0,280.0,1583.0,1402.0,1371.0,14619.0,The interactive graphing library for Python This project now includes Plotly Express!.,252.0,44,True,2023-10-25 19:52:56.000,5.18.0,97.0,plotly,conda-forge/plotly,,,,227256.0,227256.0,https://pypi.org/project/plotly,11333085.0,11490733.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5133509.0,,,,,1.0,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,38265.0,,,,,,,,,,
26,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-12-28 12:11:43.000000,2023-12-22 14:35:16,7543.0,129.0,3095.0,275.0,3587.0,397.0,2930.0,13697.0,Network Analysis in Python.,699.0,44,True,2023-10-28 09:53:23.000,networkx-3.2.1,92.0,networkx,conda-forge/networkx,,,,226723.0,211670.0,https://pypi.org/project/networkx,36421730.0,36781612.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14395284.0,,,,,1.0,65.0,2023-10-28 08:41:36.000,15053.0,,,,,,,,,,,,,,,,
27,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-12-28 11:52:10.000000,2023-12-27 22:16:56,6070.0,358.0,1773.0,144.0,3093.0,429.0,2995.0,25151.0,"Wrap UIs around any model, share with anyone.",238.0,43,True,2023-12-22 21:09:15.000,4.12.0,539.0,gradio,,,,,20054.0,19803.0,https://pypi.org/project/gradio,3954776.0,3954776.0,,,,,,,,1.0,,2023-12-22 21:09:15.000,251.0,,,,,,,,,,,,,,,,
28,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-12-28 11:08:18.000000,2023-12-22 15:15:54,2613.0,77.0,3615.0,438.0,3049.0,302.0,2315.0,16121.0,Open standard for machine learning interoperability.,302.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,22876.0,22219.0,https://pypi.org/project/onnx,3946422.0,3968023.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,896088.0,,,,,1.0,19695.0,2023-10-26 18:30:51.000,657.0,,,,,,,,,,,,,,,,
29,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-12-28 04:45:35.000000,2023-12-22 20:30:37,3400.0,49.0,3660.0,438.0,3045.0,310.0,2882.0,15760.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",292.0,43,True,2023-12-21 18:58:56.000,4.2.0,30.0,lightgbm,conda-forge/lightgbm,,,,28341.0,28341.0,https://pypi.org/project/lightgbm,6638973.0,6696569.0,https://anaconda.org/conda-forge/lightgbm,2023-12-22 13:12:54.633,2144066.0,,,,,2.0,209629.0,,,,,,,,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-12-27 19:57:11.000000,2023-12-27 19:57:11,3221.0,31.0,1747.0,259.0,1080.0,114.0,2332.0,11524.0,Statistical data visualization in Python.,209.0,43,True,2023-09-29 19:01:44.000,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,342893.0,342893.0,https://pypi.org/project/seaborn,12428415.0,12616430.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7896538.0,,,,,1.0,373.0,,,,,,,,,,,,,,,,,,
31,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-12-27 18:42:51.000000,2023-12-27 18:42:50,5737.0,67.0,1627.0,194.0,4881.0,644.0,1218.0,6438.0,TensorFlows Visualization Toolkit.,311.0,43,True,2023-11-02 20:49:50.000,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],210029.0,207126.0,https://pypi.org/project/tensorboard,21598512.0,21704619.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4456497.0,,,,,1.0,,2023-11-02 20:49:50.000,2903.0,,,,,,,,,,,,,,,,
32,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-12-28 12:21:36.000000,2023-12-28 12:12:57,3766.0,67.0,6835.0,397.0,5121.0,950.0,2298.0,14951.0,"Datasets, Transforms and Models specific to Computer Vision.",564.0,42,True,2023-12-15 02:04:19.000,0.16.2,40.0,torchvision,conda-forge/torchvision,,,['pytorch'],4928.0,21.0,https://pypi.org/project/torchvision,10150493.0,10179704.0,https://anaconda.org/conda-forge/torchvision,2023-12-13 18:56:48.112,949471.0,,,,,1.0,35268.0,2023-12-14 21:49:42.000,4907.0,,4.0,,,,,,,,,,,,,,
33,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-12-27 20:15:34.000000,2023-12-24 12:24:15,14508.0,42.0,2690.0,468.0,1446.0,251.0,1497.0,12628.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,451.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,240977.0,240977.0,https://pypi.org/project/nltk,12810590.0,12837606.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2377471.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-12-22 14:44:25.000000,2023-12-21 16:47:22,4595.0,73.0,2054.0,1694.0,4434.0,282.0,2569.0,11427.0,WebGL2 powered visualization framework.,242.0,42,True,2023-12-05 13:38:21.826,8.9.33,624.0,pydeck,conda-forge/pydeck,,,['jupyter'],7475.0,6939.0,https://pypi.org/project/pydeck,1922469.0,2319843.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,467347.0,,,,,1.0,,2023-04-15 06:29:01.705,52.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,387215.0,2023-12-05 13:38:21.826,484.0,,,,,,,,
35,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-12-27 17:10:01.000000,2023-12-27 17:10:01,3615.0,47.0,708.0,141.0,1313.0,161.0,1728.0,8627.0,Declarative statistical visualization library for Python.,160.0,42,True,2023-11-28 06:23:39.000,5.2.0,27.0,altair,conda-forge/altair,,,,96675.0,96675.0,https://pypi.org/project/altair,15777965.0,15866029.0,https://anaconda.org/conda-forge/altair,2023-12-05 00:22:25.208,2113521.0,,,,,1.0,93.0,,,,,,,,,,,,,,,,,,
36,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-12-23 11:51:31.000000,2023-12-22 22:10:20,13790.0,68.0,2115.0,186.0,4328.0,526.0,2035.0,5725.0,Image processing in Python.,644.0,42,False,2023-10-03 21:36:37.000,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,165183.0,165183.0,https://pypi.org/project/scikit-image,12049301.0,12188887.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5862619.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
37,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2023-10-22 22:49:37.000000,2023-01-30 18:15:21,1757.0,,8561.0,1062.0,1449.0,75.0,1716.0,33317.0,A toolkit for developing and comparing reinforcement learning algorithms.,384.0,41,True,2023-07-20 15:30:49.667,0.0.1,108.0,gym,conda-forge/gym,,,,51523.0,48828.0,https://pypi.org/project/gym,1117684.0,1123612.0,https://anaconda.org/conda-forge/gym,2023-06-16 19:18:41.854,260851.0,,,,,1.0,,2023-07-20 15:30:49.667,2695.0,,,,,,,,,,,,,,,,
38,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2023-12-27 13:26:50.000000,2023-12-22 19:18:25,2115.0,90.0,4412.0,305.0,431.0,69.0,757.0,28186.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",127.0,41,True,2023-11-24 19:09:08.000,0.9.12,55.0,timm,conda-forge/timm,,,['pytorch'],21108.0,20761.0,https://pypi.org/project/timm,3615323.0,3727143.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,116598.0,,,,,1.0,5993769.0,2023-11-24 18:56:31.000,347.0,,,huggingface/pytorch-image-models,,,,,,,,,,,,,
