,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,helm_id,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-01-30 05:04:15.000000,2025-01-30 05:04:15,34482.0,749.0,5234.0,350.0,11820.0,1729.0,9151.0,13335.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1739.0,50,True,2025-01-11 00:13:13.000,1.15.1,112.0,scipy,conda-forge/scipy,,,,1261111.0,1211899.0,https://pypi.org/project/scipy,2025-01-10 23:59:19.000,49212.0,118228387.0,119377841.0,https://anaconda.org/conda-forge/scipy,2025-01-11 20:58:33.827,57272776.0,,,,,1.0,455945.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-01-30 12:15:38.000000,2025-01-30 12:15:38,51897.0,528.0,7684.0,592.0,18824.0,1601.0,9461.0,20638.0,matplotlib: plotting with Python.,1769.0,49,True,2024-12-14 06:30:36.000,3.10.0,131.0,matplotlib,conda-forge/matplotlib,,,,1576878.0,1523895.0,https://pypi.org/project/matplotlib,2024-12-14 06:30:36.000,52983.0,66392662.0,66900839.0,https://anaconda.org/conda-forge/matplotlib,2024-12-16 20:44:59.565,27949757.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-01-28 23:51:25.000000,2025-01-28 23:51:25,59424.0,302.0,4545.0,292.0,13645.0,5219.0,8978.0,13256.0,A computer algebra system written in pure Python.,1349.0,49,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,,217629.0,214129.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,3500.0,30054442.0,30195942.0,https://anaconda.org/conda-forge/sympy,2025-01-07 11:14:01.011,7699259.0,,,,,1.0,553986.0,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-01-30 02:04:49.000000,2025-01-30 02:04:49,11322.0,226.0,19497.0,1914.0,7760.0,247.0,12095.0,62421.0,Deep Learning for humans.,1368.0,48,True,2025-01-07 18:27:26.000,3.8.0,105.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1698.0,,https://pypi.org/project/keras,2025-01-07 18:27:14.000,1698.0,13235980.0,13307083.0,https://anaconda.org/conda-forge/keras,2025-01-10 19:55:24.082,3910684.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-01-30 15:03:58.000000,2025-01-30 03:20:20,7018.0,259.0,3183.0,323.0,5407.0,1024.0,3828.0,36951.0,Streamlit A faster way to build and share data apps.,294.0,46,True,2025-01-21 22:19:09.000,1.39.1,234.0,streamlit,,,,,687538.0,684362.0,https://pypi.org/project/streamlit,2025-01-21 22:19:09.000,3176.0,6505520.0,6505520.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-01-30 14:11:29.000000,2025-01-30 14:11:29,23733.0,805.0,5963.0,480.0,30528.0,4306.0,15647.0,35088.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1134.0,46,True,2025-01-23 10:02:16.000,ray-2.41.0,121.0,ray,conda-forge/ray-tune,,,,21386.0,20525.0,https://pypi.org/project/ray,2025-01-23 05:29:32.000,861.0,5881067.0,5892791.0,https://anaconda.org/conda-forge/ray-tune,2025-01-26 08:13:15.105,574401.0,,,,,1.0,248.0,,,,,,,,,,,,,,,,,,,
16,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-01-29 14:18:02.000000,2025-01-28 21:24:30,7437.0,304.0,2585.0,276.0,1797.0,607.0,2494.0,16647.0,The interactive graphing library for Python This project now includes Plotly Express!.,281.0,46,True,2025-01-28 19:45:30.000,6.0.0,302.0,plotly,conda-forge/plotly,,,,363678.0,356354.0,https://pypi.org/project/plotly,2025-01-28 19:33:47.000,7315.0,18367052.0,18571918.0,https://anaconda.org/conda-forge/plotly,2024-12-09 08:37:37.782,8191896.0,,,,,1.0,9.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,58583.0,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-01-30 13:25:46.000000,2025-01-30 13:13:58,25342.0,1409.0,2853.0,332.0,17302.0,1489.0,4414.0,31112.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",823.0,45,True,2025-01-17 18:27:26.000,jax-v0.5.0,173.0,jax,conda-forge/jaxlib,,,,38475.0,36332.0,https://pypi.org/project/jax,2025-01-17 17:40:30.000,2143.0,5821518.0,5860829.0,https://anaconda.org/conda-forge/jaxlib,2025-01-06 04:26:25.655,2162108.0,,,,,1.0,,,,,,,jax-ml/jax,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-01-28 23:17:58.000000,2025-01-28 23:17:58,7313.0,154.0,8735.0,909.0,5813.0,458.0,4970.0,26541.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",657.0,45,True,2024-11-26 10:23:00.000,2.1.3,85.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,130354.0,128243.0,https://pypi.org/project/xgboost,2024-11-26 10:23:00.000,2111.0,23384997.0,23490857.0,https://anaconda.org/conda-forge/xgboost,2025-01-24 07:20:52.387,5710979.0,,,,,1.0,13313.0,,,,,,,,,,,,,,,,,,,
19,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-01-26 12:04:53.000000,2025-01-26 12:04:52,52734.0,1276.0,5654.0,714.0,52208.0,1779.0,17561.0,22435.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1347.0,45,True,2024-09-13 08:31:46.000,2.6.2,73.0,paddlepaddle,,,,['paddle'],7086.0,6874.0,https://pypi.org/project/paddlepaddle,2025-01-23 03:28:11.000,212.0,299856.0,300008.0,,,,,,,,1.0,15428.0,,,,,,,,,,,,,,,,,,,
20,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-01-28 23:27:18.000000,2025-01-28 23:27:18,7872.0,53.0,3253.0,280.0,3976.0,344.0,3059.0,15337.0,Network Analysis in Python.,767.0,45,True,2024-10-21 12:40:41.000,networkx-3.4.2,98.0,networkx,conda-forge/networkx,,,,354272.0,344642.0,https://pypi.org/project/networkx,2024-10-21 12:39:36.000,9630.0,62329207.0,62705566.0,https://anaconda.org/conda-forge/networkx,2024-12-25 14:22:43.959,19947069.0,,,,,1.0,79.0,,,,,,,,,,,,,,,,,,,
21,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-01-27 14:21:49.000000,2025-01-27 14:21:39,15650.0,87.0,3091.0,288.0,3980.0,2851.0,2819.0,10395.0,Statsmodels: statistical modeling and econometrics in Python.,450.0,45,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,155795.0,151326.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,15522418.0,15830062.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,16920450.0,,,,,1.0,35.0,,,,,,,,,,,,,,,,,,,
22,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-01-30 07:25:03.000000,2025-01-30 07:23:04,43473.0,813.0,28412.0,2018.0,49698.0,243.0,,40418.0,Apache Spark Python API.,3182.0,44,True,2024-12-20 14:34:41.000,3.5.4,50.0,pyspark,conda-forge/pyspark,,,['spark'],1654.0,,https://pypi.org/project/pyspark,2024-12-20 14:34:41.000,1654.0,31832348.0,31898884.0,https://anaconda.org/conda-forge/pyspark,2024-12-21 08:33:41.806,3659532.0,,,,,2.0,,,,,,,,stable/spark,,,,,,,,,,,,
23,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-01-30 15:09:34.000000,2025-01-30 07:20:20,7397.0,216.0,2680.0,179.0,4804.0,459.0,4815.0,35606.0,"Wrap UIs around any model, share with anyone.",496.0,44,True,2025-01-29 00:51:11.000,5.13.2,617.0,gradio,,,,,55461.0,54468.0,https://pypi.org/project/gradio,2025-01-29 00:51:11.000,993.0,6486439.0,6486439.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-01-30 14:43:27.000000,2025-01-30 12:45:02,7102.0,387.0,4325.0,305.0,10030.0,1703.0,2670.0,19346.0,Open source platform for the machine learning lifecycle.,816.0,44,True,2025-01-30 14:51:21.000,2.20.1,124.0,mlflow,conda-forge/mlflow,,,,52020.0,51049.0,https://pypi.org/project/mlflow,2025-01-30 13:34:45.000,971.0,13684165.0,13733611.0,https://anaconda.org/conda-forge/mlflow,2025-01-24 08:27:15.985,2719537.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-01-30 05:09:07.000000,2025-01-30 05:09:07,19252.0,1030.0,1985.0,92.0,3784.0,1145.0,3211.0,16770.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",386.0,44,True,2025-01-29 15:44:58.000,1.59.9,1068.0,litellm,,,,others,7465.0,6722.0,https://pypi.org/project/litellm,2025-01-29 06:59:09.000,743.0,4820829.0,4821052.0,,,,,,,,1.0,447.0,,,,,,,,,,,,,,,,,,,
26,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-01-30 14:57:32.000000,2025-01-30 14:57:32,9435.0,164.0,1732.0,214.0,6149.0,1102.0,4348.0,12889.0,Parallel computing with task scheduling.,619.0,44,True,2025-01-17 16:54:09.000,2025.1.0,215.0,dask,conda-forge/dask,,,,72005.0,69396.0,https://pypi.org/project/dask,2025-01-17 16:54:09.000,2609.0,9977502.0,10201775.0,https://anaconda.org/conda-forge/dask,2025-01-19 15:07:53.205,12559299.0,,,,,1.0,,,,,,,,stable/dask,,,,,,,,,,,,
27,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-01-30 11:27:43.000000,2025-01-30 11:27:42,19133.0,332.0,2252.0,219.0,5293.0,123.0,3157.0,12497.0,Python Imaging Library (Fork).,484.0,44,True,2025-01-02 08:20:18.000,11.1.0,100.0,Pillow,conda-forge/pillow,,,,10911.0,,https://pypi.org/project/Pillow,2025-01-02 08:10:16.000,10911.0,118186431.0,119097047.0,https://anaconda.org/conda-forge/pillow,2025-01-03 20:03:34.476,49173276.0,,,,,1.0,,,,,,,,,-4.0,,,,,,,,,,,
28,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-01-14 11:08:42.000000,2025-01-13 17:17:36,16220.0,8.0,4429.0,561.0,4032.0,173.0,5523.0,30762.0,Industrial-strength Natural Language Processing (NLP) in Python.,762.0,43,True,2025-01-14 11:08:42.000,3.8.4,239.0,spacy,conda-forge/spacy,,,,115746.0,112855.0,https://pypi.org/project/spacy,2025-01-14 11:08:42.000,2891.0,10307577.0,10400864.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,5129779.0,,,,,1.0,1581.0,,,,,,,,,,,,,,,,,,,
29,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-01-22 09:37:13.000000,2025-01-09 11:28:08,10502.0,68.0,3420.0,252.0,10367.0,854.0,6352.0,28871.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",993.0,43,True,2024-12-21 01:35:39.000,2.5.0.post0,282.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],42807.0,41271.0,https://pypi.org/project/pytorch-lightning,2024-12-21 01:36:45.000,1536.0,6799434.0,6825429.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-12-22 08:21:07.098,1414913.0,,,,,2.0,11381.0,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,
30,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-01-30 14:05:41.000000,2025-01-23 20:46:57,7777.0,41.0,2096.0,426.0,1179.0,516.0,1380.0,21858.0,Data Apps & Dashboards for Python. No JavaScript Required.,169.0,43,True,2024-11-04 21:17:37.000,2.18.2,183.0,dash,conda-forge/dash,,,,77982.0,76510.0,https://pypi.org/project/dash,2025-01-28 21:05:56.000,1472.0,4672352.0,4702451.0,https://anaconda.org/conda-forge/dash,2025-01-24 13:51:51.640,1655404.0,,,,,1.0,88.0,,,,,,,,,,,,,,,,,,,
31,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-01-30 06:46:55.000000,2025-01-30 06:25:01,2979.0,89.0,3700.0,434.0,3530.0,338.0,2598.0,18324.0,Open standard for machine learning interoperability.,332.0,43,True,2024-10-01 21:45:45.000,1.17.0,35.0,onnx,conda-forge/onnx,,,,40348.0,39295.0,https://pypi.org/project/onnx,2024-10-01 21:45:45.000,1053.0,5661754.0,5689140.0,https://anaconda.org/conda-forge/onnx,2024-12-31 09:55:45.556,1491821.0,,,,,1.0,22823.0,,,,,,,,,,,,,,,,,,,
32,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-01-30 14:50:03.000000,2025-01-30 14:50:00,3305.0,441.0,1729.0,197.0,3985.0,696.0,914.0,14206.0,Development repository for the Triton language and compiler.,360.0,43,True,2025-01-22 19:12:21.000,3.2.0,197.0,triton,,,,,51282.0,50946.0,https://pypi.org/project/triton,2025-01-22 19:12:21.000,336.0,15924178.0,15924178.0,,,,,,,,1.0,,,,,,,triton-lang/triton,,,,,,,,,,,,,
33,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-12-16 00:47:34.151000,2024-11-11 06:24:40,14683.0,1.0,2887.0,460.0,1503.0,276.0,1572.0,13805.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,462.0,43,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,347827.0,343130.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4697.0,22865325.0,22930234.0,https://anaconda.org/conda-forge/nltk,2024-12-16 00:47:34.151,2985849.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-01-28 20:44:55.000000,2025-01-28 19:56:31,5078.0,71.0,2100.0,1666.0,4942.0,361.0,2753.0,12436.0,WebGL2 powered visualization framework.,279.0,43,True,2025-01-21 19:54:38.606,9.1.0,682.0,pydeck,conda-forge/pydeck,,,['jupyter'],9023.0,8590.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,120.0,5509139.0,5993587.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,683254.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-01-21 19:54:38.606,313.0,472868.0,,,,,,,,,,,,,,
35,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-01-29 06:46:18.000000,2025-01-29 06:46:18,18861.0,440.0,1054.0,119.0,3850.0,61.0,1646.0,11285.0,A hyperparameter optimization framework.,284.0,43,True,2025-01-27 07:14:18.000,3.6.2,71.0,optuna,conda-forge/optuna,,,,22606.0,21483.0,https://pypi.org/project/optuna,2025-01-27 07:14:18.000,1123.0,3572699.0,3612314.0,https://anaconda.org/conda-forge/optuna,2025-01-20 09:28:46.974,2178838.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36,Altair,altair-viz/altair,data-viz,,https://github.com/vega/altair,https://github.com/vega/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2025-01-30 13:37:18.000000,2025-01-18 13:56:41,3855.0,52.0,795.0,138.0,1555.0,127.0,1935.0,9544.0,Declarative visualization library for Python.,173.0,43,True,2024-11-24 00:12:10.000,5.5.0,43.0,altair,conda-forge/altair,,,,195582.0,194666.0,https://pypi.org/project/altair,2024-11-23 23:39:56.000,916.0,24120009.0,24189745.0,https://anaconda.org/conda-forge/altair,2024-12-15 06:41:29.283,2580189.0,,,,,1.0,223.0,,,,,,vega/altair,,1.0,,,,,,,,,,,
37,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2025-01-27 15:06:45.000000,2025-01-27 02:51:07,21729.0,646.0,3009.0,286.0,24252.0,751.0,12004.0,32145.0,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search.",303.0,42,True,2025-01-24 02:30:17.000,2.5.4,113.0,pymilvus,,milvusdb/milvus,,,207.0,,https://pypi.org/project/pymilvus,2025-01-22 07:29:16.000,207.0,1223076.0,2281496.0,,,,https://hub.docker.com/r/milvusdb/milvus,2025-01-27 04:10:09.752072,68.0,67399189.0,1.0,302601.0,,,,,,,,,,,,,,,,,,,
38,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2025-01-29 21:55:27.000000,2025-01-18 16:14:36,1412.0,68.0,2512.0,244.0,670.0,202.0,1259.0,15548.0,Download market data from Yahoo! Finances API.,129.0,42,True,2025-01-18 16:23:18.000,0.2.52,124.0,yfinance,ranaroussi/yfinance,,,,59866.0,59067.0,https://pypi.org/project/yfinance,2025-01-18 16:23:18.000,799.0,3780528.0,3782852.0,https://anaconda.org/ranaroussi/yfinance,2023-06-16 19:26:44.442,97637.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
