,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-07-28 12:53:12.000000,2022-07-26 23:12:46,43692,587.0,6387,583.0,14746.0,1839.0,7213.0,15879,matplotlib: plotting with Python.,1386.0,49,True,2022-05-03 06:44:48.000,3.5.2,91.0,matplotlib,conda-forge/matplotlib,,,,650102.0,595574.0,https://pypi.org/project/matplotlib,2022-05-03 06:44:48.000,54528.0,26560157.0,26717452.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12898230.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-07-28 16:42:14.000000,2022-07-28 07:07:01,28392,626.0,4346,329.0,8366.0,1742.0,6948.0,10013,"Ecosystem of open-source software for mathematics, science, and engineering.",1326.0,49,True,2022-05-18 13:22:14.000,1.8.1,81.0,scipy,conda-forge/scipy,,,,600836.0,542609.0,https://pypi.org/project/scipy,2022-07-05 00:14:32.000,58227.0,40114377.0,40460504.0,https://anaconda.org/conda-forge/scipy,2022-07-26 19:35:14.966,25303428.0,,,,,1.0,,351917.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-07-28 08:53:30.000000,2022-07-28 08:53:30,13538,335.0,1869,211.0,3827.0,113.0,2470.0,9989,The friendly PIL fork (Python Imaging Library).,406.0,47,True,2022-07-01 18:32:05.000,9.2.0,89.0,Pillow,conda-forge/pillow,,,,862537.0,799382.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63155.0,43728244.0,43954170.0,https://anaconda.org/conda-forge/pillow,2022-07-05 08:21:30.516,16944516.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-07-28 15:45:40.000000,2022-07-25 19:25:07,6996,191.0,2657,273.0,2816.0,331.0,2625.0,11073,Network Analysis in Python.,608.0,45,True,2022-07-18 21:25:36.871,2.8.5,80.0,networkx,conda-forge/networkx,,,,127209.0,113745.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13464.0,17766246.0,17872522.0,https://anaconda.org/conda-forge/networkx,2022-07-19 07:19:04.156,7333106.0,,,,,1.0,,60.0,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-07-28 01:57:28.000000,2022-07-28 01:44:02,7186,302.0,19133,1945.0,5423.0,357.0,11124.0,55773,Deep Learning for humans.,1090.0,44,True,2022-05-13 20:03:15.000,2.9.0,65.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,8187590.0,8221698.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2421698.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-07-28 12:05:35.000000,2022-07-28 05:45:02,15560,150.0,3892,551.0,3234.0,95.0,5105.0,23872,Industrial-strength Natural Language Processing (NLP) in Python.,695.0,44,True,2022-07-26 13:08:23.000,3.4.1,196.0,spacy,conda-forge/spacy,,,,43983.0,41608.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4433779.0,4475686.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2721073.0,,,,,1.0,,3145.0,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-07-28 10:43:14.000000,2022-07-26 14:34:21,5879,126.0,8419,929.0,3638.0,301.0,4213.0,23005,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",570.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,35460.0,34090.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1370.0,8084961.0,8129420.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2842447.0,,,,,1.0,,4671.0,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-07-28 16:20:43.000000,2022-07-28 16:15:41,13698,1388.0,3675,426.0,16127.0,2664.0,8372.0,21387,A unified framework for scalable computing. Ray is packaged with scalable libraries for data processing (Ray..,737.0,44,True,2022-06-09 17:15:12.000,ray-1.13.0,73.0,ray,conda-forge/ray-tune,,,,5720.0,5443.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,277.0,1528853.0,1531438.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,49119.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-07-28 14:37:59.000000,2022-07-28 14:14:36,12428,1075.0,1787,282.0,7083.0,1110.0,2453.0,19612,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",427.0,44,True,2022-07-22 23:55:24.900,0.3.15,122.0,jax,conda-forge/jaxlib,,,,5397.0,5075.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,322.0,598478.0,608868.0,https://anaconda.org/conda-forge/jaxlib,2022-07-28 06:40:04.372,374056.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-07-22 09:42:11.000000,2022-07-19 20:49:31,14322,45.0,2572,471.0,1365.0,222.0,1416.0,10942,Suite of libraries and programs for symbolic and statistical natural language processing for English.,427.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,161921.0,150101.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,11612348.0,11631702.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1374183.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-07-28 14:17:33.000000,2022-07-27 22:07:52,51630,779.0,3708,283.0,11696.0,4455.0,8047.0,9444,A computer algebra system written in pure Python.,1158.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,48556.0,44424.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,2374084.0,2408426.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2227566.0,,,,,1.0,,457996.0,,,,,,,,,,,,,,,,,,
21,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-07-25 09:30:47.000000,2022-07-25 09:01:49,13244,48.0,2017,187.0,3784.0,618.0,1848.0,4999,Image processing in Python.,563.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,,118289.0,108958.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9331.0,4548292.0,4598479.0,https://anaconda.org/conda-forge/scikit-image,2022-06-15 05:10:24.990,3713907.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-07-28 14:45:51.000000,2022-07-27 21:54:20,19614,76.0,3956,455.0,5216.0,715.0,6254.0,16515,"Interactive Data Visualization in the browser, from Python.",609.0,43,True,2022-05-18 19:00:14.000,2.4.3,129.0,bokeh,conda-forge/bokeh,,,,57677.0,54124.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3076481.0,3202682.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7950668.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-07-28 14:48:50.000000,2022-07-28 02:11:16,7290,144.0,1511,222.0,4757.0,753.0,3713.0,10155,Parallel computing with task scheduling.,550.0,43,True,2022-07-22 21:10:23.524,2022.7.1,148.0,dask,conda-forge/dask,,,,41394.0,38727.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2667.0,7669367.0,7751969.0,https://anaconda.org/conda-forge/dask,2022-07-22 23:48:28.931,6112593.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,
24,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-07-26 00:35:11.000000,2022-07-26 00:35:11,2986,165.0,1594,247.0,850.0,108.0,1981.0,9625,Statistical data visualization in Python.,170.0,43,True,2021-08-16 00:42:18.000,0.11.2,28.0,seaborn,conda-forge/seaborn,,,,180640.0,171230.0,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,6992005.0,7052008.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,4260092.0,,,,,1.0,,222.0,,,,,,,,,,,,,,,,,,
25,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-07-22 14:19:45.000000,2022-07-22 14:19:44,14677,116.0,2431,264.0,3582.0,2266.0,2535.0,7590,Statsmodels: statistical modeling and econometrics in Python.,379.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,71584.0,67071.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,8213191.0,8305241.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6719670.0,,,,,2.0,,26.0,,,,,,,,,,,,,,,,,,
26,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-07-27 22:58:02.000000,2022-07-27 22:09:42,5105,81.0,1511,189.0,4146.0,576.0,1132.0,5919,TensorFlows Visualization Toolkit.,283.0,43,True,2022-06-13 11:14:01.000,2.9.1,42.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],119851.0,117451.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2400.0,13581683.0,13637158.0,https://anaconda.org/conda-forge/tensorboard,2022-06-12 14:07:22.031,3106652.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-07-28 14:36:10.000000,2022-07-28 13:20:02,33698,657.0,25868,2078.0,37305.0,224.0,,33501,Apache Spark Python API.,2691.0,42,True,2022-06-15 08:58:01.000,3.3.0,31.0,pyspark,conda-forge/pyspark,,,['spark'],849.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,849.0,23744346.0,23772891.0,https://anaconda.org/conda-forge/pyspark,2022-07-27 06:26:20.797,1826919.0,,,,,2.0,,,stable/spark,,,,,,,,,,,,,,,,,
28,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-07-28 12:54:46.000000,2022-07-26 22:29:43,1699,110.0,7885,990.0,1369.0,31.0,1610.0,28146,A toolkit for developing and comparing reinforcement learning algorithms.,371.0,42,True,2022-07-26 22:30:34.000,0.25.1,102.0,gym,conda-forge/gym,,,,33663.0,31192.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2471.0,654452.0,659374.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,132898.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-07-27 22:02:08.000000,2022-07-27 00:22:05,5586,150.0,2163,272.0,1383.0,1187.0,1205.0,11847,The interactive graphing library for Python (includes Plotly Express).,203.0,42,True,2022-06-24 01:10:19.000,5.9.0,282.0,plotly,conda-forge/plotly,,,,4134.0,11.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4119.0,7924540.0,8013710.0,https://anaconda.org/conda-forge/plotly,2022-06-24 05:08:11.888,2915107.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,48113.0,,,,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-07-28 08:13:37.000000,2022-07-27 12:00:33,4178,150.0,1811,1735.0,3944.0,163.0,2335.0,10055,WebGL2 powered visualization framework.,202.0,42,True,2022-07-28 07:48:09.000,8.8.6,547.0,pydeck,conda-forge/pydeck,,,['jupyter'],4793.0,4375.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,828815.0,1105350.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,143945.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-07-28 07:55:09.948,394.0,271572.0,,,,,,,,,,,,
31,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-07-28 12:51:14.000000,2022-07-28 04:06:01,2474,268.0,7262,612.0,2102.0,112.0,1531.0,22568,The fastai deep learning library.,613.0,41,True,2022-07-14 21:35:28.139,2.7.7,141.0,fastai,,,,['pytorch'],11058.0,10757.0,https://pypi.org/project/fastai,2022-07-04 04:05:22.000,301.0,283903.0,283903.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
32,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-07-28 14:08:03.000000,2022-07-28 13:23:05,36700,1155.0,4614,728.0,29532.0,2902.0,12990.0,18611,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,779.0,41,True,2022-07-12 03:54:24.000,2.3.1,55.0,paddlepaddle,,,,['paddle'],181.0,131.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,70964.0,71179.0,,,,,,,,2.0,,15319.0,,,,,,,,,,,,,,,,,,
33,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-07-21 00:59:30.000000,2022-06-16 14:46:20,2277,95.0,2530,252.0,472.0,1391.0,602.0,17025,A game theoretic approach to explain the output of any machine learning model.,205.0,41,True,2022-06-16 00:31:04.000,0.41.0,95.0,shap,conda-forge/shap,,,,6381.0,6106.0,https://pypi.org/project/shap,2022-06-16 00:43:28.000,275.0,3524043.0,3552199.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1323345.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-07-28 14:14:51.000000,2022-07-28 14:13:12,3025,80.0,3541,449.0,2634.0,218.0,2545.0,14004,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",262.0,41,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,,,15070.0,14440.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,630.0,5868179.0,5889253.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1113848.0,,,,,2.0,,158136.0,,,,,,,,,,,,,,,,,,
35,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-07-18 20:20:52.000000,2022-05-06 00:53:28,4383,10.0,4236,433.0,1612.0,383.0,1395.0,13397,Topic Modelling for Humans.,430.0,41,True,2022-05-01 16:17:56.000,4.2.0,90.0,gensim,conda-forge/gensim,,,,38016.0,35115.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2901.0,4511170.0,4525754.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,843188.0,,,,,1.0,,3831.0,,,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-07-28 16:20:04.000000,2022-07-27 15:55:17,2006,66.0,2862,426.0,2304.0,301.0,1759.0,12983,Open standard for machine learning interoperability.,243.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,,,8124.0,7731.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,393.0,1361827.0,1370414.0,https://anaconda.org/conda-forge/onnx,2022-06-18 09:22:46.041,463457.0,,,,,1.0,,17765.0,,,,,,,,,,,,,,,,,,
37,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-07-28 14:17:13.000000,2022-07-28 13:56:30,2972,263.0,2830,275.0,3954.0,942.0,1547.0,12355,Open source platform for the machine learning lifecycle.,457.0,41,True,2022-06-29 03:41:27.000,1.27.0,60.0,mlflow,conda-forge/mlflow,,,,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,11183931.0,11200440.0,https://anaconda.org/conda-forge/mlflow,2022-06-30 04:32:03.462,643881.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
38,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-07-28 15:17:22.000000,2022-07-28 15:10:50,2846,166.0,6034,372.0,3891.0,727.0,1844.0,12143,"Datasets, Transforms and Models specific to Computer Vision.",491.0,41,True,2022-06-28 16:45:08.000,0.13.0,31.0,torchvision,conda-forge/torchvision,,,['pytorch'],3704.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3704.0,3498603.0,3504355.0,https://anaconda.org/conda-forge/torchvision,2022-07-24 12:57:15.567,308239.0,,,,,1.0,,9366.0,,,,,,,,,,,,,,,,,,
