,name,github_id,pypi_id,conda_id,docs_url,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,projectrank_placing,github_release_downloads,helm_id,brew_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,new_addition,trending,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,updated_github_id,dnf_id,yay_id
10,spaCy,explosion/spaCy,spacy,conda-forge/spacy,,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2020-12-24 19:17:13.000000,2020-12-22 15:50:34.000000,3189.0,90.0,4116.0,17896.0,11715.0,2020-12-11 14:45:05.000000,2.3.5,169.0,Industrial-strength Natural Language Processing (NLP) with Python and Cython.,22828.0,19762.0,540.0,37,https://pypi.org/project/spacy,2020-12-11 14:45:05.000000,3066.0,911897.0,941611.0,https://anaconda.org/conda-forge/spacy,2020-12-18 10:09:15.705000,1364259.0,True,1,2894.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Celery,celery/celery,celery,conda-forge/celery,,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2020-12-27 12:36:42.000000,2020-12-27 00:08:32.000000,3908.0,487.0,3910.0,16434.0,11472.0,2020-12-16 15:41:18.000000,5.0.5,171.0,Asynchronous task queue/job queue based on distributed message passing.,75093.0,46859.0,1068.0,37,https://pypi.org/project/celery,2020-12-16 15:34:09.000000,28234.0,2172654.0,2178902.0,https://anaconda.org/conda-forge/celery,2020-11-11 10:39:38.599000,356163.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
12,networkx,networkx/networkx,networkx,conda-forge/networkx,,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2020-12-27 04:50:43.000000,2020-12-26 21:28:37.000000,2155.0,253.0,2278.0,8401.0,6361.0,2020-08-22 20:10:33.000000,networkx-2.5,52.0,Network Analysis in Python.,83836.0,63018.0,483.0,37,https://pypi.org/project/networkx,2020-08-22 20:38:37.000000,20818.0,5466664.0,5522339.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:29:02.065000,2783755.0,True,1,51.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,boto3,boto/boto3,boto3,conda-forge/boto3,,db-clients,,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000000,2020-12-24 12:48:26.000000,2020-12-23 19:07:30.000000,1291.0,305.0,1938.0,6016.0,3991.0,2020-12-23 20:19:40.000000,1.16.43,730.0,AWS SDK for Python.,113384.0,90294.0,108.0,37,https://pypi.org/project/boto3,2020-12-23 20:19:40.000000,23090.0,49318692.0,49402377.0,https://anaconda.org/conda-forge/boto3,2020-12-24 01:01:06.923000,4100574.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SQLAlchemy,sqlalchemy/sqlalchemy,SQLAlchemy,conda-forge/sqlalchemy,,db-clients,,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207000,2020-12-26 21:43:31.000000,2020-12-26 21:43:13.000000,491.0,149.0,5381.0,3133.0,13432.0,2020-12-18 21:13:06.000000,1.3.22,207.0,The Database Toolkit for Python.,308643.0,224937.0,448.0,37,https://pypi.org/project/SQLAlchemy,2020-12-18 21:13:06.000000,83706.0,12956734.0,13017282.0,https://anaconda.org/conda-forge/sqlalchemy,2020-12-19 08:49:20.725000,2842151.0,True,1,1159.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,transformers,huggingface/transformers,transformers,conda-forge/transformers,,nlp,"['pytorch', 'tensorflow']",https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2020-12-27 06:51:28.000000,2020-12-25 22:28:12.000000,9402.0,568.0,4959.0,38574.0,6196.0,2020-12-17 17:09:51.000000,4.1.1,44.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,6576.0,6448.0,740.0,36,https://pypi.org/project/transformers,2020-12-17 16:27:28.000000,128.0,722727.0,723692.0,https://anaconda.org/conda-forge/transformers,2020-12-19 08:26:53.237000,12829.0,True,1,1238.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,Faker,joke2k/faker,Faker,conda-forge/faker,,data-loading,,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2020-12-24 15:04:41.000000,2020-12-24 15:04:40.000000,1318.0,132.0,342.0,11824.0,2490.0,2020-12-15 21:37:38.000000,5.0.2,102.0,Faker is a Python package that generates fake data for you.,26501.0,21789.0,378.0,36,https://pypi.org/project/Faker,2020-12-15 21:37:28.000000,4712.0,2073110.0,2081069.0,https://anaconda.org/conda-forge/faker,2020-12-15 23:13:31.548000,358198.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
17,redis,andymccurdy/redis-py,redis,,,db-clients,,https://github.com/andymccurdy/redis-py,https://github.com/andymccurdy/redis-py,MIT,2009-11-06 10:22:26.000000,2020-12-21 07:23:24.000000,2020-11-22 20:52:44.000000,1903.0,62.0,803.0,8991.0,1550.0,2020-06-01 21:30:33.000000,3.5.3,66.0,Redis Python Client.,49438.0,,248.0,36,https://pypi.org/project/redis,2020-06-01 21:30:33.000000,49438.0,8388559.0,8388559.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,sympy,conda-forge/sympy,,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2020-12-27 15:37:04.000000,2020-12-27 13:29:04.000000,3209.0,3953.0,7058.0,7688.0,45510.0,2020-12-12 23:23:00.000000,1.7.1,36.0,A computer algebra system written in pure Python.,33916.0,27494.0,1023.0,36,https://pypi.org/project/sympy,2020-12-12 23:23:00.000000,6422.0,596120.0,622836.0,https://anaconda.org/conda-forge/sympy,2020-12-13 04:16:18.209000,1215318.0,True,1,411242.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,statsmodels,conda-forge/statsmodels,,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000000,2020-12-23 11:31:26.000000,2020-12-23 11:31:25.000000,2114.0,2042.0,2228.0,5840.0,13517.0,2020-10-29 16:36:43.000000,0.12.1,24.0,Statsmodels: statistical modeling and econometrics in Python.,41402.0,34746.0,296.0,36,https://pypi.org/project/statsmodels,2020-10-29 16:36:43.000000,6656.0,2327915.0,2384357.0,https://anaconda.org/conda-forge/statsmodels,2020-11-21 19:18:02.779000,3047909.0,True,1,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tensorboard,tensorflow/tensorboard,tensorboard,conda-forge/tensorboard,,ml-experiments,['tensorflow'],https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2020-12-24 01:34:33.000000,2020-12-24 01:22:39.000000,1326.0,544.0,899.0,5101.0,4126.0,2020-11-12 03:15:42.000000,2.4.0,35.0,TensorFlow's Visualization Toolkit.,53036.0,49422.0,248.0,36,https://pypi.org/project/tensorboard,2020-11-12 03:15:33.000000,3614.0,5292345.0,5332808.0,https://anaconda.org/conda-forge/tensorboard,2020-11-12 07:26:37.897000,1497141.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
21,scikit-image,scikit-image/scikit-image,scikit-image,conda-forge/scikit-image,,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000000,2020-12-26 15:57:29.000000,2020-12-26 14:27:27.000000,1713.0,644.0,1471.0,4111.0,12448.0,2020-12-23 06:36:46.000000,0.18.1,35.0,Image processing in Python.,71765.0,56991.0,472.0,36,https://pypi.org/project/scikit-image,2020-12-23 06:36:46.000000,14774.0,1778005.0,1814591.0,https://anaconda.org/conda-forge/scikit-image,2020-12-23 15:59:08.642000,2012273.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22,pymongo,mongodb/mongo-python-driver,pymongo,conda-forge/pymongo,,db-clients,,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06.000000,2020-12-23 23:48:05.000000,2020-12-22 03:22:29.000000,969.0,7.0,,3184.0,4617.0,2020-12-02 23:37:26.000000,3.11.2,115.0,PyMongo - the Python driver for MongoDB.,117970.0,82108.0,179.0,36,https://pypi.org/project/pymongo,2020-12-02 23:31:25.000000,35862.0,6143949.0,6149824.0,https://anaconda.org/conda-forge/pymongo,2020-10-12 20:39:14.177000,317272.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
23,h5py,h5py/h5py,h5py,conda-forge/h5py,,data-containers,,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2020-12-11 13:07:01.000000,2020-12-01 10:28:11.000000,393.0,183.0,936.0,1457.0,3463.0,2020-11-06 14:30:54.000000,3.1.0,25.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,118959.0,96023.0,156.0,36,https://pypi.org/project/h5py,2020-11-06 14:30:54.000000,22936.0,5553052.0,5629498.0,https://anaconda.org/conda-forge/h5py,2020-11-07 13:29:59.487000,4356566.0,True,1,761.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,Keras,keras-team/keras,keras,conda-forge/keras,https://keras.io,ml-frameworks,['keras'],https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42.000000,2020-12-23 19:08:38.000000,2020-12-23 18:27:33.000000,18680.0,3138.0,7218.0,50397.0,5361.0,2020-06-24 22:40:48.000000,2.4.3,53.0,Deep Learning for humans.,14996.0,,893.0,35,https://pypi.org/project/keras,2020-06-24 22:40:48.000000,14996.0,2031985.0,2058580.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:34.254000,1382946.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,,,
25,OpenAI Gym,openai/gym,gym,,,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2020-12-25 22:55:29.000000,2020-12-18 23:40:47.000000,6550.0,223.0,1061.0,22990.0,1240.0,2020-12-19 00:29:36.000000,0.18.0,92.0,A toolkit for developing and comparing reinforcement learning algorithms.,20307.0,16745.0,271.0,35,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,319218.0,319218.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
26,XGBoost,dmlc/xgboost,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2020-12-24 10:23:22.000000,2020-12-23 08:08:10.000000,7840.0,263.0,3630.0,20322.0,5164.0,2020-12-22 13:38:41.000000,1.3.1,50.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",14063.0,12471.0,500.0,35,https://pypi.org/project/xgboost,2020-12-09 19:03:33.000000,1592.0,2764362.0,2792385.0,https://anaconda.org/conda-forge/xgboost,2020-12-10 13:41:20.626000,1260057.0,True,2,1849.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,Airflow,apache/airflow,apache-airflow,conda-forge/airflow,,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2020-12-27 15:29:09.000000,2020-12-26 16:08:13.000000,7625.0,907.0,1758.0,19930.0,11215.0,2020-12-18 13:21:47.000000,2.0.0,67.0,"Platform to programmatically author, schedule, and monitor workflows.",294.0,,1682.0,35,https://pypi.org/project/apache-airflow,2020-12-14 17:07:53.000000,294.0,577015.0,633013.0,https://anaconda.org/conda-forge/airflow,2020-11-26 16:17:26.980000,248433.0,True,1,67766.0,stable/airflow,,apache/airflow,https://hub.docker.com/r/apache/airflow,2020-12-26 16:47:49.041345,190.0,3343133.0,,,,,,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,lightgbm,conda-forge/lightgbm,,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2020-12-27 07:37:14.000000,2020-12-26 22:51:08.000000,3136.0,88.0,1903.0,11970.0,2175.0,2020-12-08 03:00:35.000000,3.1.1,24.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",5632.0,5076.0,192.0,35,https://pypi.org/project/lightgbm,2020-12-08 03:00:35.000000,556.0,1461341.0,1474262.0,https://anaconda.org/conda-forge/lightgbm,2020-12-08 18:04:57.617000,453759.0,True,2,81612.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,gensim,RaRe-Technologies/gensim,gensim,conda-forge/gensim,,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2020-12-27 07:46:30.000000,2020-11-15 20:49:41.000000,3825.0,349.0,1237.0,11523.0,3849.0,2020-05-04 05:55:15.000000,3.8.3,83.0,Topic Modelling for Humans.,24317.0,19575.0,384.0,35,https://pypi.org/project/gensim,2020-11-15 12:53:37.000000,4742.0,6172457.0,6187402.0,https://anaconda.org/conda-forge/gensim,2020-05-14 08:28:35.604000,581247.0,False,1,2591.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,Theano,Theano/Theano,theano,conda-forge/theano,,ml-frameworks,,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2020-11-01 11:19:03.292000,2020-09-05 10:39:50.000000,2501.0,674.0,2081.0,9315.0,28123.0,2020-07-27 16:13:54.000000,1.0.5,45.0,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-..",15328.0,9854.0,382.0,35,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,230049.0,253666.0,https://anaconda.org/conda-forge/theano,2020-11-01 11:19:03.292000,1251747.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Plotly,plotly/plotly.py,plotly,conda-forge/plotly,,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2020-12-25 15:43:36.000000,2020-12-23 19:55:10.000000,1711.0,760.0,1037.0,8510.0,4884.0,2020-12-09 13:48:45.000000,4.14.1,263.0,The interactive graphing library for Python (includes Plotly Express).,4991.0,5.0,158.0,35,https://pypi.org/project/plotly,2020-12-09 13:29:15.000000,4982.0,2819798.0,2877274.0,https://anaconda.org/conda-forge/plotly,2020-12-09 14:47:46.237000,1130689.0,True,1,,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2020-12-09 13:24:37.313000,4.0,35732.0,,,,,,,,,,,,,
32,torchvision,pytorch/vision,torchvision,conda-forge/torchvision,,image,['pytorch'],https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2020-12-27 13:56:13.000000,2020-12-23 09:15:15.000000,4100.0,458.0,1022.0,8022.0,1396.0,2020-12-10 17:10:41.000000,0.8.2,21.0,"Datasets, Transforms and Models specific to Computer Vision.",42211.0,37599.0,346.0,35,https://pypi.org/project/torchvision,2020-12-10 16:27:20.000000,4612.0,715629.0,716576.0,https://anaconda.org/conda-forge/torchvision,2018-10-14 22:06:28.203000,34106.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Seaborn,mwaskom/seaborn,seaborn,conda-forge/seaborn,,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2020-12-23 16:23:31.000000,2020-12-23 16:23:27.000000,1354.0,80.0,1643.0,7934.0,2731.0,2020-12-20 20:53:25.000000,0.11.1,23.0,Statistical data visualization using matplotlib.,87786.0,75000.0,144.0,35,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,2106833.0,2141808.0,https://anaconda.org/conda-forge/seaborn,2020-12-21 10:06:33.576000,1818652.0,True,1,106.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,dask,dask/dask,dask,conda-forge/dask,,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2020-12-23 20:20:49.000000,2020-12-21 17:17:36.000000,1197.0,688.0,2775.0,7680.0,6265.0,2020-12-11 01:53:58.000000,2020.12.0,109.0,Parallel computing with task scheduling.,27930.0,24014.0,420.0,35,https://pypi.org/project/dask,2020-12-11 01:53:58.000000,3916.0,1355940.0,1406508.0,https://anaconda.org/conda-forge/dask,2020-12-11 06:35:53.129000,2781248.0,True,1,,stable/dask,,,,,,,,,,,,,,,,,,,,,,,,
35,Arrow,apache/arrow,pyarrow,conda-forge/arrow,,data-containers,,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2020-12-27 15:17:00.000000,2020-12-27 13:35:40.000000,1697.0,115.0,536.0,6780.0,8184.0,2020-10-19 21:15:12.000000,2.0.0,29.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,1012.0,26.0,606.0,35,https://pypi.org/project/pyarrow,2020-10-19 21:15:12.000000,986.0,11460581.0,11468570.0,https://anaconda.org/conda-forge/arrow,2020-10-12 18:31:14.221000,439429.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PyMySQL,PyMySQL/PyMySQL,PyMySQL,conda-forge/pymysql,,db-clients,,https://github.com/PyMySQL/PyMySQL,https://github.com/PyMySQL/PyMySQL,MIT,2011-07-27 17:38:47.000000,2020-12-10 02:51:07.000000,2020-12-10 02:51:06.000000,1238.0,18.0,515.0,6257.0,944.0,2020-09-10 07:38:01.000000,0.10.1,32.0,Pure Python MySQL Client.,89216.0,70790.0,104.0,35,https://pypi.org/project/PyMySQL,2020-09-10 07:38:01.000000,18426.0,5327944.0,5333902.0,https://anaconda.org/conda-forge/pymysql,2020-11-17 22:05:17.850000,226408.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
37,google-cloud-storage,googleapis/google-cloud-python,google-cloud-storage,conda-forge/google-cloud-storage,,db-clients,,https://github.com/googleapis/google-cloud-python,https://github.com/googleapis/google-cloud-python,Apache-2.0,2014-01-28 15:51:47.000000,2020-12-16 16:42:20.918000,2020-10-29 21:15:18.000000,1333.0,22.0,3313.0,3441.0,9049.0,2020-12-14 23:49:51.000000,1.35.0,100.0,Google Cloud Client Library for Python.,2108.0,,311.0,35,https://pypi.org/project/google-cloud-storage,2020-12-14 23:49:51.000000,2108.0,14080444.0,14093744.0,https://anaconda.org/conda-forge/google-cloud-storage,2020-12-16 16:42:20.918000,558630.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
