,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,new_addition,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,updated_github_id
10,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-01-16 16:57:43.000000,2021-01-16 16:57:42.000000,1554,233.0,1863.0,8113,11112.0,The friendly PIL fork (Python Imaging Library).,343.0,39,True,2021-01-02 20:13:09.000000,8.1.0,77.0,Pillow,conda-forge/pillow,,,,494622.0,383196.0,https://pypi.org/project/Pillow,2021-01-02 20:11:59.000000,111426.0,13221316.0,13339454.0,https://anaconda.org/conda-forge/pillow,2021-01-11 23:44:30.126000,6733914.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
11,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-01-17 13:38:45.000000,2021-01-16 21:42:27.000000,23224,211.0,,28541,29098.0,Apache Spark Python API.,2384.0,38,True,2020-09-07 15:29:07.000000,3.0.1,21.0,pyspark,conda-forge/pyspark,,,['spark'],1302.0,542.0,https://pypi.org/project/pyspark,2020-09-07 15:29:07.000000,760.0,6433670.0,6452569.0,https://anaconda.org/conda-forge/pyspark,2020-09-07 17:29:01.440000,869361.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,
12,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-01-17 11:56:06.000000,2021-01-17 11:48:43.000000,3200,90.0,4153.0,18044,11727.0,Industrial-strength Natural Language Processing (NLP) with Python and Cython.,545.0,37,True,2020-12-11 14:45:05.000000,2.3.5,169.0,spacy,conda-forge/spacy,,,,23506.0,20440.0,https://pypi.org/project/spacy,2020-12-11 14:45:05.000000,3066.0,837723.0,867248.0,https://anaconda.org/conda-forge/spacy,2020-12-18 10:09:15.705000,1385001.0,,,,,1.0,2913.0,,,,,,,,,,,,,,,,,,,,
13,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-01-17 06:01:50.000000,2021-01-15 17:01:11.000000,3928,498.0,3921.0,16544,11498.0,Asynchronous task queue/job queue based on distributed message passing.,1077.0,37,True,2020-12-16 15:41:18.000000,5.0.5,171.0,celery,conda-forge/celery,,,,75916.0,47682.0,https://pypi.org/project/celery,2020-12-16 15:34:09.000000,28234.0,1853863.0,1860151.0,https://anaconda.org/conda-forge/celery,2020-11-11 10:39:38.599000,364754.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-01-16 08:55:43.000000,2021-01-16 04:52:13.000000,2188,271.0,2289.0,8504,6384.0,Network Analysis in Python.,487.0,37,True,2020-08-22 20:10:33.000000,networkx-2.5,52.0,networkx,conda-forge/networkx,,,,85324.0,64506.0,https://pypi.org/project/networkx,2020-08-22 20:38:37.000000,20818.0,5002084.0,5058327.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:29:02.065000,2868428.0,,,,,1.0,51.0,,,,,,,,,,,,,,,,,,,,
15,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-01-17 01:03:03.000000,2021-01-15 18:12:26.000000,9653,545.0,5133.0,39514,6326.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,750.0,36,True,2021-01-14 13:22:31.000000,4.2.1,46.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",7078.0,6950.0,https://pypi.org/project/transformers,2021-01-14 13:20:10.000000,128.0,643499.0,644551.0,https://anaconda.org/conda-forge/transformers,2021-01-14 17:26:44.349000,15075.0,,,,,1.0,1240.0,,,,,,,,,,,,,,,,,,,,
16,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-01-17 13:52:29.000000,2021-01-15 15:57:36.000000,1357,137.0,349.0,11970,2524.0,Faker is a Python package that generates fake data for you.,383.0,36,True,2021-01-15 15:59:13.000000,5.6.1,111.0,Faker,conda-forge/faker,,,,27200.0,22488.0,https://pypi.org/project/Faker,2021-01-15 15:59:00.000000,4712.0,1807955.0,1815831.0,https://anaconda.org/conda-forge/faker,2021-01-15 17:50:14.085000,362332.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
17,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-01-17 12:32:24.000000,2021-01-15 19:13:00.000000,4230,447.0,1060.0,8161,1411.0,"Datasets, Transforms and Models specific to Computer Vision.",352.0,36,True,2020-12-10 17:10:41.000000,0.8.2,21.0,torchvision,conda-forge/torchvision,,,['pytorch'],43800.0,39188.0,https://pypi.org/project/torchvision,2020-12-10 16:27:20.000000,4612.0,696332.0,697253.0,https://anaconda.org/conda-forge/torchvision,2018-10-14 22:06:28.203000,34108.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-01-17 11:22:55.000000,2021-01-17 11:22:54.000000,3209,3953.0,7085.0,7746,45763.0,A computer algebra system written in pure Python.,1034.0,36,True,2020-12-12 23:23:00.000000,1.7.1,36.0,sympy,conda-forge/sympy,,,,34521.0,28099.0,https://pypi.org/project/sympy,2020-12-12 23:23:00.000000,6422.0,525149.0,551931.0,https://anaconda.org/conda-forge/sympy,2021-01-08 20:38:32.429000,1242993.0,,,,,1.0,412741.0,,,,,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,,ml-frameworks,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000000,2021-01-17 09:44:26.000000,2021-01-12 19:36:47.000000,2145,2063.0,2240.0,5916,13543.0,Statsmodels: statistical modeling and econometrics in Python.,298.0,36,True,2020-10-29 16:36:43.000000,0.12.1,24.0,statsmodels,conda-forge/statsmodels,,,,42462.0,35806.0,https://pypi.org/project/statsmodels,2020-10-29 16:36:43.000000,6656.0,1835784.0,1893055.0,https://anaconda.org/conda-forge/statsmodels,2021-01-12 04:40:51.933000,3149939.0,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,,
20,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-01-16 07:34:18.000000,2021-01-16 01:03:44.000000,1339,549.0,910.0,5119,4180.0,TensorFlow's Visualization Toolkit.,249.0,36,True,2021-01-14 20:44:05.000000,2.4.1,36.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],54971.0,51357.0,https://pypi.org/project/tensorboard,2020-11-12 03:15:33.000000,3614.0,4930051.0,4970519.0,https://anaconda.org/conda-forge/tensorboard,2021-01-15 08:30:57.960000,1537784.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
21,scikit-image,scikit-image/scikit-image,,image,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000000,2021-01-17 05:12:47.000000,2021-01-17 02:59:04.000000,1713,644.0,1475.0,4133,12462.0,Image processing in Python.,475.0,36,True,2020-12-23 06:36:46.000000,0.18.1,35.0,scikit-image,conda-forge/scikit-image,,,,73371.0,58597.0,https://pypi.org/project/scikit-image,2020-12-23 06:36:46.000000,14774.0,1741040.0,1777813.0,https://anaconda.org/conda-forge/scikit-image,2020-12-23 15:59:08.642000,2059338.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
22,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-01-15 14:09:09.000000,2021-01-15 12:02:27.000000,393,182.0,941.0,1468,3503.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,158.0,36,True,2020-11-06 14:30:54.000000,3.1.0,25.0,h5py,conda-forge/h5py,,,,121610.0,98674.0,https://pypi.org/project/h5py,2020-11-06 14:30:54.000000,22936.0,4898006.0,4974482.0,https://anaconda.org/conda-forge/h5py,2021-01-01 10:48:16.133000,4434649.0,,,,,1.0,782.0,,,,,,,,,,,,,,,,,,,,
23,Keras,keras-team/keras,,ml-frameworks,https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42.000000,2021-01-15 19:43:35.000000,2021-01-15 19:43:24.000000,18691,3165.0,7224.0,50529,5370.0,Deep Learning for humans.,895.0,35,True,2020-06-24 22:40:48.000000,2.4.3,53.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],14996.0,,https://pypi.org/project/keras,2020-06-24 22:40:48.000000,14996.0,1737932.0,1764342.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:34.254000,1399776.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-01-14 15:25:07.000000,2021-01-11 17:58:46.000000,6600,235.0,1063.0,23212,1241.0,A toolkit for developing and comparing reinforcement learning algorithms.,272.0,35,True,2020-12-19 00:29:36.000000,0.18.0,92.0,gym,,,,,20775.0,17213.0,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,288639.0,288639.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-01-15 18:58:20.000000,2021-01-15 18:58:19.000000,7854,237.0,3646.0,20406,5188.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",501.0,35,True,2021-01-13 14:21:24.000000,1.3.2,50.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,14592.0,13000.0,https://pypi.org/project/xgboost,2020-12-09 19:03:33.000000,1592.0,2384027.0,2412366.0,https://anaconda.org/conda-forge/xgboost,2020-12-10 13:41:20.626000,1302554.0,,,,,1.0,1895.0,,,,,,,,,,,,,,,,,,,,
26,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-01-17 14:40:14.000000,2021-01-17 12:53:11.000000,7764,979.0,1843.0,20277,11429.0,"Platform to programmatically author, schedule, and monitor workflows.",1710.0,35,True,2020-12-18 13:21:47.000000,2.0.0,67.0,apache-airflow,conda-forge/airflow,apache/airflow,,,294.0,,https://pypi.org/project/apache-airflow,2020-12-14 17:07:53.000000,294.0,518042.0,589071.0,https://anaconda.org/conda-forge/airflow,2020-11-26 16:17:26.980000,261173.0,https://hub.docker.com/r/apache/airflow,2021-01-16 17:57:36.984905,204.0,4409721.0,1.0,77068.0,,stable/airflow,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-01-17 14:02:05.000000,2021-01-16 21:28:01.000000,3176,92.0,1952.0,12061,2217.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",197.0,35,True,2020-12-08 03:00:35.000000,3.1.1,24.0,lightgbm,conda-forge/lightgbm,,,,5851.0,5295.0,https://pypi.org/project/lightgbm,2020-12-08 03:00:35.000000,556.0,1332584.0,1345601.0,https://anaconda.org/conda-forge/lightgbm,2021-01-15 08:38:34.182000,466019.0,,,,,1.0,86507.0,,,,,,,,,,,,,,,,,,,,
28,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-01-17 09:39:32.000000,2021-01-17 09:11:30.000000,3895,353.0,1246.0,11601,3849.0,Topic Modelling for Humans.,385.0,35,False,2020-05-04 05:55:15.000000,3.8.3,83.0,gensim,conda-forge/gensim,,,,24825.0,20083.0,https://pypi.org/project/gensim,2020-11-15 12:53:37.000000,4742.0,7580230.0,7594963.0,https://anaconda.org/conda-forge/gensim,2020-05-14 08:28:35.604000,587474.0,,,,,1.0,2945.0,,,,,,,,,,,,,,,,,,,,
29,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-01-14 02:04:14.000000,2021-01-14 02:04:12.000000,1727,779.0,1046.0,8665,4923.0,The interactive graphing library for Python (includes Plotly Express).,162.0,35,True,2021-01-12 17:01:21.000000,4.14.3,265.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-01-12 16:12:40.000000,4982.0,2517840.0,2602286.0,https://anaconda.org/conda-forge/plotly,2021-01-12 17:11:42.117000,1156172.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,62632.0,,,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-01-16 22:27:51.000000,2021-01-16 13:52:36.000000,1366,87.0,1664.0,7993,2741.0,Statistical data visualization using matplotlib.,147.0,35,True,2020-12-20 20:53:25.000000,0.11.1,23.0,seaborn,conda-forge/seaborn,,,,90331.0,77545.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,1719966.0,1755345.0,https://anaconda.org/conda-forge/seaborn,2020-12-21 10:06:33.576000,1875045.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,,,
31,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-01-16 23:09:25.000000,2021-01-15 21:23:17.000000,1206,701.0,2796.0,7766,6290.0,Parallel computing with task scheduling.,422.0,35,True,2021-01-15 21:25:29.000000,2021.1.0,110.0,dask,conda-forge/dask,,,,28434.0,24518.0,https://pypi.org/project/dask,2021-01-15 21:25:29.000000,3916.0,1229292.0,1279929.0,https://anaconda.org/conda-forge/dask,2021-01-16 03:43:53.371000,2835725.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,
32,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-01-17 14:40:48.000000,2021-01-17 11:02:19.000000,1730,107.0,544.0,6890,8352.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,612.0,35,True,2020-10-19 21:15:12.000000,2.0.0,29.0,pyarrow,conda-forge/arrow,,,,1015.0,29.0,https://pypi.org/project/pyarrow,2020-10-19 21:15:12.000000,986.0,14035475.0,14043516.0,https://anaconda.org/conda-forge/arrow,2021-01-12 20:46:01.093000,450328.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
33,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-01-12 11:48:34.000000,2020-12-28 10:07:59.000000,286,291.0,350.0,2310,1365.0,Computing with Python functions.,98.0,35,True,2020-12-14 14:21:00.000000,1.0.0,99.0,joblib,conda-forge/joblib,,,,83549.0,76939.0,https://pypi.org/project/joblib,2020-12-14 14:21:00.000000,6610.0,15830561.0,15883271.0,https://anaconda.org/conda-forge/joblib,2020-12-14 14:36:22.998000,2846340.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,MXNet,apache/incubator-mxnet,,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15.000000,2021-01-17 13:25:22.000000,2021-01-16 20:51:00.000000,6808,1822.0,7544.0,19222,11501.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",948.0,34,True,2020-08-28 05:08:24.000000,1.7.0,976.0,mxnet,mxnet,,,['mxnet'],2174.0,1730.0,https://pypi.org/project/mxnet,2020-08-28 06:18:15.000000,444.0,138678.0,139248.0,https://anaconda.org/anaconda/mxnet,2020-02-29 00:58:31.007000,5683.0,,,,,2.0,23352.0,,,,,,,,0.0,,,,,,,,,,,,
35,dash,plotly/dash,,data-viz,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000000,2021-01-17 01:54:37.000000,2021-01-17 00:59:29.000000,1401,401.0,554.0,13714,3542.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",72.0,34,True,2020-12-09 22:01:52.000000,1.18.1,136.0,dash,conda-forge/dash,,,,18133.0,16525.0,https://pypi.org/project/dash,2020-12-09 21:34:25.000000,1608.0,211799.0,218268.0,https://anaconda.org/conda-forge/dash,2020-12-11 15:37:58.126000,207012.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
36,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-01-12 19:15:53.000000,2021-01-02 00:33:13.000000,2397,243.0,1221.0,9550,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,386.0,34,True,2019-08-20 10:55:21.000000,3.4.5,39.0,nltk,conda-forge/nltk,,,,107021.0,86029.0,https://pypi.org/project/nltk,2020-04-12 23:46:10.000000,20992.0,4584354.0,4595941.0,https://anaconda.org/conda-forge/nltk,2019-08-08 17:07:46.504000,614113.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
37,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2020-11-01 11:19:03.292000,2020-09-05 10:39:50.000000,2501,674.0,2081.0,9326,28123.0,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-..",382.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,15482.0,10008.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,191739.0,215178.0,https://anaconda.org/conda-forge/theano,2020-11-01 11:19:03.292000,1265755.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
38,mlflow,mlflow/mlflow,,ml-experiments,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000000,2021-01-17 12:36:09.000000,2021-01-15 08:44:54.000000,1852,670.0,1030.0,8182,1852.0,Open source platform for the machine learning lifecycle.,274.0,34,True,2020-12-31 09:17:41.000000,1.13.1,40.0,mlflow,conda-forge/mlflow,,,,1952.0,1798.0,https://pypi.org/project/mlflow,2020-12-31 08:55:08.000000,154.0,2397618.0,2407135.0,https://anaconda.org/conda-forge/mlflow,2021-01-11 17:08:19.258000,199864.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
