,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2024-05-02 12:50:21.000000,2024-05-02 11:34:42,50234.0,570.0,7389.0,595.0,17932.0,1525.0,9040.0,19305.0,matplotlib: plotting with Python.,1670.0,50,True,2024-04-04 01:47:18.000,3.8.4,123.0,matplotlib,conda-forge/matplotlib,,,,1241569.0,1175065.0,https://pypi.org/project/matplotlib,2024-04-09 18:34:26.000,66504.0,63785641.0,64280445.0,https://anaconda.org/conda-forge/matplotlib,2024-04-09 16:56:24.718,23255803.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-05-02 13:42:10.000000,2024-05-01 20:59:09,32297.0,744.0,5012.0,348.0,10682.0,1807.0,8408.0,12473.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1622.0,50,True,2024-04-02 21:56:52.000,1.13.0,101.0,scipy,conda-forge/scipy,,,,1214520.0,983601.0,https://pypi.org/project/scipy,2024-04-02 21:41:20.000,230919.0,106106552.0,107240211.0,https://anaconda.org/conda-forge/scipy,2024-04-05 03:45:35.344,47455193.0,,,,,1.0,400095.0,,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-05-02 04:17:26.000000,2024-05-01 17:03:00,10645.0,357.0,19344.0,1908.0,7158.0,196.0,11637.0,60970.0,Deep Learning for humans.,1293.0,48,True,2024-04-26 23:21:04.000,3.3.3,98.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1277.0,,https://pypi.org/project/keras,2024-04-22 23:37:45.000,1277.0,18007216.0,18080784.0,https://anaconda.org/conda-forge/keras,2024-04-27 08:28:33.749,3457707.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-05-02 08:55:42.000000,2024-05-02 08:55:42,57571.0,494.0,4293.0,295.0,13130.0,5027.0,8728.0,12405.0,A computer algebra system written in pure Python.,1298.0,48,True,2024-03-31 22:49:13.000,1.12.1rc1,55.0,sympy,conda-forge/sympy,,,,136613.0,131555.0,https://pypi.org/project/sympy,2024-03-31 22:48:43.000,5058.0,27892896.0,27952975.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5369014.0,,,,,1.0,539837.0,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-05-02 03:43:24.000000,2024-04-30 09:37:37,17754.0,620.0,2115.0,220.0,4811.0,111.0,2991.0,11716.0,Python Imaging Library (Fork).,467.0,48,True,2024-04-01 12:34:53.000,10.3.0,97.0,Pillow,conda-forge/pillow,,,,1641897.0,1639537.0,https://pypi.org/project/Pillow,2024-04-01 12:17:01.000,2360.0,96684730.0,97525890.0,https://anaconda.org/conda-forge/pillow,2024-04-03 15:56:48.771,38693372.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-05-02 15:04:35.000000,2024-05-01 22:23:24,6284.0,210.0,2788.0,313.0,4398.0,797.0,3320.0,31806.0,Streamlit A faster way to build and share data apps.,227.0,46,True,2024-04-04 17:36:56.000,1.33.0,220.0,streamlit,,,,,371102.0,368899.0,https://pypi.org/project/streamlit,2024-04-04 17:36:47.000,2203.0,4051517.0,4051517.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-05-02 13:59:29.000000,2024-05-02 12:20:34,40804.0,1048.0,27954.0,2030.0,46304.0,202.0,,38404.0,Apache Spark Python API.,3056.0,45,True,2024-04-18 08:17:20.000,3.4.3,44.0,pyspark,conda-forge/pyspark,,,['spark'],1373.0,,https://pypi.org/project/pyspark,2024-04-18 08:17:20.000,1373.0,29648176.0,29714429.0,https://anaconda.org/conda-forge/pyspark,2024-03-03 13:07:40.821,3113921.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-05-02 14:36:27.000000,2024-05-02 13:11:06,21485.0,916.0,5261.0,473.0,27408.0,3647.0,14203.0,31168.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1010.0,45,True,2024-05-01 21:58:22.000,ray-2.20.0,103.0,ray,conda-forge/ray-tune,,,,15805.0,15134.0,https://pypi.org/project/ray,2024-05-01 20:47:31.000,671.0,4442785.0,4447825.0,https://anaconda.org/conda-forge/ray-tune,2024-04-27 07:43:08.400,206565.0,,,,,1.0,211.0,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-05-02 14:17:50.000000,2024-05-02 14:17:45,20503.0,1294.0,2528.0,322.0,13329.0,1667.0,3837.0,28016.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",683.0,45,True,2024-04-03 22:09:19.000,jax-v0.4.26,160.0,jax,conda-forge/jaxlib,,,,25579.0,24655.0,https://pypi.org/project/jax,2024-04-03 21:45:34.000,924.0,6179583.0,6203947.0,https://anaconda.org/conda-forge/jaxlib,2024-04-07 22:22:00.984,1145133.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-05-01 02:49:46.000000,2024-04-28 22:33:46,6827.0,81.0,8665.0,912.0,5108.0,429.0,4753.0,25596.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",640.0,45,True,2023-12-19 21:59:17.000,2.0.3,80.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,91518.0,89618.0,https://pypi.org/project/xgboost,2023-12-19 21:59:17.000,1900.0,19234545.0,19337167.0,https://anaconda.org/conda-forge/xgboost,2024-04-18 01:21:37.436,4717469.0,,,,,1.0,8510.0,,,,,,,,,,,,,,,,,,,
20,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-05-02 13:34:00.000000,2024-04-30 10:47:27,48117.0,1652.0,5428.0,721.0,45858.0,1929.0,16990.0,21625.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1195.0,45,True,2024-04-09 11:19:43.000,2.6.1,67.0,paddlepaddle,,,,['paddle'],5122.0,5016.0,https://pypi.org/project/paddlepaddle,2024-03-19 06:55:39.000,106.0,268461.0,268626.0,,,,,,,,1.0,15369.0,,,,,,,,,,,,,,,,,,,
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-05-01 08:54:18.000000,2024-04-29 20:14:06,20473.0,97.0,4158.0,442.0,6051.0,759.0,6879.0,18847.0,"Interactive Data Visualization in the browser, from Python.",693.0,45,True,2024-04-11 21:02:24.000,3.4.1,200.0,bokeh,conda-forge/bokeh,,,,90850.0,86989.0,https://pypi.org/project/bokeh,2024-04-11 21:02:24.000,3861.0,5313160.0,5606343.0,https://anaconda.org/conda-forge/bokeh,2024-04-12 05:55:15.282,13779636.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-04-27 15:40:42.000000,2024-04-19 16:08:39,15315.0,46.0,2821.0,280.0,3877.0,2763.0,2753.0,9563.0,Statsmodels: statistical modeling and econometrics in Python.,426.0,45,True,2024-04-17 08:41:57.000,0.14.2,37.0,statsmodels,conda-forge/statsmodels,,,,127951.0,122214.0,https://pypi.org/project/statsmodels,2024-04-17 08:41:57.000,5737.0,17547033.0,17821246.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12888028.0,,,,,1.0,31.0,,,,,,,,,,,,,,,,,,,
23,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-05-02 14:44:23.000000,2024-05-02 04:48:49,6565.0,340.0,2144.0,156.0,3671.0,501.0,3653.0,29030.0,"Wrap UIs around any model, share with anyone.",311.0,44,True,2024-04-26 18:22:11.000,4.28.3,561.0,gradio,,,,,29389.0,28858.0,https://pypi.org/project/gradio,2024-04-26 18:22:11.000,531.0,6147076.0,6147076.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-04-30 07:18:03.000000,2024-04-30 07:17:59,16129.0,17.0,4283.0,555.0,3998.0,107.0,5493.0,28777.0,Industrial-strength Natural Language Processing (NLP) in Python.,751.0,44,True,2024-02-15 19:16:59.000,3.7.4,230.0,spacy,conda-forge/spacy,,,,89958.0,86887.0,https://pypi.org/project/spacy,2024-04-22 09:55:45.000,3071.0,8899386.0,8971834.0,https://anaconda.org/conda-forge/spacy,2024-04-04 16:04:13.461,3405095.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-05-02 13:18:02.000000,2024-05-01 22:45:35,10278.0,169.0,3252.0,246.0,10091.0,722.0,6178.0,26953.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",945.0,44,True,2024-05-01 22:58:16.000,2.2.4,271.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],33093.0,31748.0,https://pypi.org/project/pytorch-lightning,2024-05-01 22:58:16.000,1345.0,5026957.0,5050770.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-04-12 18:53:30.868,1109512.0,,,,,2.0,7472.0,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,
26,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-05-02 12:48:36.000000,2024-05-02 01:18:27,5772.0,466.0,3930.0,289.0,8044.0,1428.0,2419.0,17317.0,Open source platform for the machine learning lifecycle.,726.0,44,True,2024-04-17 13:49:52.000,2.12.1,96.0,mlflow,conda-forge/mlflow,,,,34984.0,34391.0,https://pypi.org/project/mlflow,2024-04-17 03:38:20.000,593.0,13488690.0,13529007.0,https://anaconda.org/conda-forge/mlflow,2024-04-19 15:11:57.032,1894933.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-05-01 21:21:41.000000,2024-05-01 21:21:36,6470.0,130.0,2487.0,279.0,1633.0,1509.0,1404.0,15308.0,The interactive graphing library for Python This project now includes Plotly Express!.,262.0,44,True,2024-05-01 14:04:11.000,5.22.0,298.0,plotly,conda-forge/plotly,,,,297052.0,261453.0,https://pypi.org/project/plotly,2024-05-01 14:00:07.000,35590.0,15955930.0,16080884.0,https://anaconda.org/conda-forge/plotly,2024-04-17 19:12:51.910,5667360.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,6884.0,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-05-02 07:37:57.000000,2024-05-01 19:45:54,7682.0,99.0,3127.0,281.0,3755.0,319.0,2987.0,14201.0,Network Analysis in Python.,717.0,44,True,2024-04-06 13:09:07.000,networkx-3.3,94.0,networkx,conda-forge/networkx,,,,263560.0,247999.0,https://pypi.org/project/networkx,2024-04-06 12:59:44.000,15561.0,52620447.0,52964974.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,15503749.0,,,,,1.0,67.0,,,,,,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-05-02 14:48:00.000000,2024-04-30 20:22:56,8174.0,110.0,1668.0,211.0,5804.0,1053.0,4155.0,12019.0,Parallel computing with task scheduling.,600.0,44,True,2024-04-19 21:09:49.000,2024.4.2,195.0,dask,conda-forge/dask,,,,62939.0,59713.0,https://pypi.org/project/dask,2024-04-19 21:09:49.000,3226.0,7838209.0,8068062.0,https://anaconda.org/conda-forge/dask,2024-04-20 03:30:51.092,11032963.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-05-02 15:05:54.000000,2024-04-30 18:04:15,4869.0,235.0,2034.0,1684.0,4721.0,289.0,2680.0,11711.0,WebGL2 powered visualization framework.,260.0,44,True,2024-04-29 19:16:05.000,0.9.0,652.0,pydeck,conda-forge/pydeck,,,['jupyter'],9728.0,7509.0,https://pypi.org/project/pydeck,2024-04-29 19:16:05.000,61.0,3314377.0,3766794.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,508506.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-04-26 21:35:04.370,2158.0,442447.0,,,,,,,,,,,,
31,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-05-02 13:41:09.000000,2024-05-02 13:41:08,5825.0,71.0,1630.0,193.0,4989.0,665.0,1228.0,6548.0,TensorFlows Visualization Toolkit.,319.0,44,True,2024-02-16 19:56:55.000,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],232917.0,230976.0,https://pypi.org/project/tensorboard,2024-02-16 19:56:55.000,1941.0,28628932.0,28727416.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4628749.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-05-02 05:17:49.000000,2024-04-30 16:07:22,2654.0,64.0,3124.0,241.0,860.0,1115.0,1327.0,21670.0,A game theoretic approach to explain the output of any machine learning model.,239.0,43,True,2024-03-08 11:55:08.000,0.45.0,102.0,shap,conda-forge/shap,,,,17618.0,17126.0,https://pypi.org/project/shap,2024-03-08 11:55:08.000,492.0,7233965.0,7299299.0,https://anaconda.org/conda-forge/shap,2024-04-03 17:47:00.611,2678705.0,,,,,1.0,,,shap/shap,,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-05-02 12:57:55.000000,2024-05-01 20:33:13,2724.0,77.0,3598.0,439.0,3206.0,310.0,2419.0,16880.0,Open standard for machine learning interoperability.,314.0,43,True,2024-03-25 15:40:18.000,1.16.0,32.0,onnx,conda-forge/onnx,,,,27805.0,27054.0,https://pypi.org/project/onnx,2024-03-25 15:25:07.000,751.0,5514666.0,5535631.0,https://anaconda.org/conda-forge/onnx,2024-03-26 22:34:37.040,973254.0,,,,,1.0,20398.0,,,,,,,,,,,,,,,,,,,
34,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-05-01 20:52:43.000000,2024-05-01 17:57:55,3462.0,47.0,3768.0,437.0,3125.0,376.0,2963.0,16068.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",301.0,43,True,2024-01-26 03:29:02.000,4.3.0,36.0,lightgbm,conda-forge/lightgbm,,,,33244.0,32329.0,https://pypi.org/project/lightgbm,2024-01-26 03:29:02.000,915.0,7674400.0,7728687.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2274318.0,,,,,2.0,220831.0,,,,,,,,,,,,,,,,,,,
35,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-04-30 16:33:12.611000,2024-04-25 14:36:49,3234.0,5.0,1860.0,259.0,1103.0,149.0,2366.0,11965.0,Statistical data visualization in Python.,212.0,43,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,408763.0,399404.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,9359.0,17508773.0,17691304.0,https://anaconda.org/conda-forge/seaborn,2024-04-30 16:33:12.611,8578839.0,,,,,1.0,386.0,,,,,,,,,,,,,,,,,,,
36,triton,openai/triton,model-serialisation,,https://github.com/openai/triton,https://github.com/openai/triton,MIT,2014-08-30 17:07:16.000,2024-05-02 15:44:03.000000,2024-05-02 15:44:03,2175.0,494.0,1286.0,178.0,2513.0,534.0,673.0,11053.0,Development repository for the Triton language and compiler.,258.0,43,True,2024-04-05 02:47:42.000,2.3.0,193.0,triton,,,,,24918.0,24142.0,https://pypi.org/project/triton,2024-04-05 02:47:42.000,776.0,11182740.0,11182740.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-05-01 20:03:51.000000,2024-04-22 15:43:08,7425.0,293.0,1985.0,418.0,1058.0,832.0,904.0,20528.0,Data Apps & Dashboards for Python. No JavaScript Required.,153.0,42,True,2024-03-06 20:00:34.000,2.16.1,177.0,dash,conda-forge/dash,,,,63742.0,62221.0,https://pypi.org/project/dash,2024-03-06 19:54:50.000,1521.0,2810836.0,2837673.0,https://anaconda.org/conda-forge/dash,2024-03-10 12:59:07.948,1261334.0,,,,,1.0,70.0,,,,,,,,,,,,,,,,,,,
