,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-11-02 12:57:01.000000,2023-11-02 12:49:34,48880.0,810.0,7021.0,594.0,17339.0,1495.0,8694.0,18352.0,matplotlib: plotting with Python.,1605.0,50,True,2023-11-01 00:39:39.000,3.8.1,117.0,matplotlib,conda-forge/matplotlib,,,,1049117.0,986539.0,https://pypi.org/project/matplotlib,2023-11-01 00:39:39.000,62578.0,42928923.0,43444560.0,https://anaconda.org/conda-forge/matplotlib,2023-11-01 20:55:47.459,21141147.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-11-02 02:07:00.000000,2023-11-01 22:34:43,31052.0,422.0,4859.0,348.0,9982.0,1676.0,8039.0,11860.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1550.0,47,True,2023-09-27 22:44:39.000,1.11.3,97.0,scipy,conda-forge/scipy,,,,64647.0,21.0,https://pypi.org/project/scipy,2023-09-27 21:55:42.000,64626.0,64812363.0,66021623.0,https://anaconda.org/conda-forge/scipy,2023-10-05 05:09:54.567,43394832.0,,,,,1.0,384876.0,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-11-02 03:53:05.000000,2023-11-01 19:15:27,56564.0,1473.0,3997.0,290.0,12746.0,4826.0,8543.0,11492.0,A computer algebra system written in pure Python.,1257.0,47,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,94811.0,90077.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4734.0,9887494.0,9943027.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4620917.0,,,,,1.0,519584.0,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-11-02 07:22:08.000000,2023-11-02 07:22:07,16430.0,339.0,1928.0,225.0,4447.0,79.0,2856.0,11209.0,Python Imaging Library (Fork).,448.0,47,True,2023-10-15 13:05:17.000,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1399283.0,1399283.0,https://pypi.org/project/Pillow,,,72438017.0,73299013.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,34439850.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-11-02 10:40:02.000000,2023-11-01 23:04:33,9909.0,511.0,19399.0,1922.0,6689.0,376.0,11251.0,59653.0,Deep Learning for humans.,1246.0,46,True,2023-09-12 16:19:40.000,2.14.0,83.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],672.0,21.0,https://pypi.org/project/keras,2023-10-13 19:39:47.000,651.0,13182930.0,13263562.0,https://anaconda.org/conda-forge/keras,2023-10-27 17:22:04.536,3305912.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-11-02 14:15:59.000000,2023-11-02 11:04:23,18070.0,1157.0,2303.0,315.0,11452.0,1563.0,3355.0,25157.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",591.0,46,True,2023-10-19 20:10:17.000,0.4.19,153.0,jax,conda-forge/jaxlib,,,,19458.0,18744.0,https://pypi.org/project/jax,2023-10-19 20:10:17.000,714.0,4077008.0,4100798.0,https://anaconda.org/conda-forge/jaxlib,2023-10-25 14:41:56.031,975429.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
16,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-11-02 13:38:07.000000,2023-11-02 04:08:04,38650.0,1039.0,27668.0,2034.0,43608.0,262.0,,37094.0,Apache Spark Python API.,2967.0,45,True,2023-09-26 20:30:58.000,3.5.0,40.0,pyspark,conda-forge/pyspark,,,['spark'],1161.0,,https://pypi.org/project/pyspark,2023-09-26 20:30:58.000,1161.0,26349767.0,26420887.0,https://anaconda.org/conda-forge/pyspark,2023-10-04 13:44:45.676,2915952.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,
17,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-11-02 13:59:14.000000,2023-11-02 13:03:03,9858.0,341.0,2970.0,241.0,9616.0,655.0,5909.0,25017.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",908.0,45,True,2023-10-12 13:10:13.000,2.1.0,103.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],25451.0,25451.0,https://pypi.org/project/pytorch-lightning,,,4173092.0,4197773.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-10-12 22:54:18.350,995261.0,,,,,1.0,13432.0,,,,,,,,,,,,,,,,,,
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-11-02 14:11:54.000000,2023-11-02 14:10:09,44490.0,1635.0,5341.0,726.0,40958.0,2014.0,16377.0,20974.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1116.0,45,True,2023-07-27 06:56:01.000,2.5.1,65.0,paddlepaddle,,,,['paddle'],4271.0,4183.0,https://pypi.org/project/paddlepaddle,2023-10-25 08:55:59.000,88.0,181250.0,181426.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,,,,,,
19,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-11-02 14:09:47.000000,2023-11-02 05:14:19,19700.0,1247.0,4725.0,470.0,24848.0,3301.0,12703.0,28454.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,937.0,44,True,2023-10-09 17:47:23.000,ray-2.7.1,92.0,ray,conda-forge/ray-tune,,,,12465.0,12039.0,https://pypi.org/project/ray,2023-10-09 17:21:25.000,426.0,2490262.0,2495156.0,https://anaconda.org/conda-forge/ray-tune,2023-10-17 08:48:26.741,171267.0,,,,,1.0,100.0,,,,,,,,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-11-02 11:02:18.000000,2023-11-02 11:02:18,16064.0,74.0,4131.0,566.0,3905.0,74.0,5421.0,27504.0,Industrial-strength Natural Language Processing (NLP) in Python.,742.0,44,True,2023-10-16 16:11:22.000,3.7.2,100.0,spacy,conda-forge/spacy,,,,72827.0,72827.0,https://pypi.org/project/spacy,,,7317700.0,7397479.0,https://anaconda.org/conda-forge/spacy,2023-10-10 09:44:18.186,3270944.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-11-02 10:10:43.000000,2023-11-01 23:20:44,6625.0,154.0,8671.0,914.0,4773.0,377.0,4642.0,24932.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",629.0,44,True,2023-10-24 08:56:42.000,2.0.1,78.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,72261.0,70528.0,https://pypi.org/project/xgboost,2023-10-24 08:35:29.000,1733.0,11464419.0,11573638.0,https://anaconda.org/conda-forge/xgboost,2023-10-24 05:08:56.957,4366209.0,,,,,2.0,7477.0,,,,,,,,,,,,,,,,,,
22,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-11-02 14:11:04.000000,2023-11-02 14:11:04,4967.0,531.0,3551.0,291.0,6830.0,1244.0,2246.0,15714.0,Open source platform for the machine learning lifecycle.,668.0,44,True,2023-10-29 21:36:49.000,2.8.0,83.0,mlflow,conda-forge/mlflow,,,,26018.0,25522.0,https://pypi.org/project/mlflow,2023-10-29 15:57:26.000,496.0,13608176.0,13647947.0,https://anaconda.org/conda-forge/mlflow,2023-10-29 23:48:54.745,1630638.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
23,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-11-01 17:31:59.000000,2023-10-31 18:43:54,6231.0,94.0,2390.0,279.0,1566.0,1408.0,1356.0,14345.0,The interactive graphing library for Python This project now includes Plotly Express!.,246.0,44,True,2023-10-25 19:52:56.000,5.18.0,294.0,plotly,conda-forge/plotly,,,,217565.0,212241.0,https://pypi.org/project/plotly,2023-10-25 19:43:41.000,5318.0,11134049.0,11300430.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5008051.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,6.0,47142.0,,,,,,,,,,,,
24,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-11-02 06:42:41.000000,2023-11-01 20:48:33,7485.0,132.0,3095.0,277.0,3524.0,397.0,2893.0,13369.0,Network Analysis in Python.,687.0,44,True,2023-10-28 09:53:23.000,networkx-3.2.1,92.0,networkx,conda-forge/networkx,,,,210719.0,195906.0,https://pypi.org/project/networkx,2023-10-28 08:41:36.000,14813.0,31374924.0,31732705.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,13953490.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,
25,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-02 05:35:29.000000,2023-10-31 16:42:00,20290.0,112.0,4038.0,447.0,5868.0,739.0,6721.0,18255.0,"Interactive Data Visualization in the browser, from Python.",673.0,43,True,,,54.0,bokeh,conda-forge/bokeh,,,,78497.0,78497.0,https://pypi.org/project/bokeh,,,3512753.0,3829657.0,https://anaconda.org/conda-forge/bokeh,2023-10-11 08:08:05.962,12993077.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-11-02 14:13:28.879000,2023-11-01 20:43:02,2586.0,129.0,3602.0,438.0,3013.0,303.0,2267.0,15810.0,Open standard for machine learning interoperability.,298.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,20675.0,20056.0,https://pypi.org/project/onnx,2023-10-26 18:30:51.000,619.0,4142186.0,4163617.0,https://anaconda.org/conda-forge/onnx,2023-11-02 14:13:28.879,867786.0,,,,,1.0,19433.0,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-11-02 12:36:03.000000,2023-11-02 12:36:03,3366.0,53.0,3643.0,441.0,3015.0,296.0,2849.0,15588.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05.000,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,26473.0,26473.0,https://pypi.org/project/lightgbm,,,6859775.0,6917422.0,https://anaconda.org/conda-forge/lightgbm,2023-10-25 14:14:10.430,2091948.0,,,,,2.0,205123.0,,,,,,,,,,,,,,,,,,
28,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-11-02 10:54:11.000000,2023-11-01 18:03:03,7903.0,69.0,1645.0,212.0,5498.0,955.0,4041.0,11496.0,Parallel computing with task scheduling.,589.0,43,True,2023-10-27 22:14:53.000,2023.10.1,183.0,dask,conda-forge/dask,,,,56941.0,53912.0,https://pypi.org/project/dask,2023-10-27 22:14:53.000,3029.0,7289662.0,7537242.0,https://anaconda.org/conda-forge/dask,2023-10-28 00:11:07.362,10398363.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,
29,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-11-01 17:20:14.000000,2023-10-22 21:29:01,3194.0,38.0,1812.0,255.0,1057.0,115.0,2299.0,11292.0,Statistical data visualization in Python.,200.0,43,True,2023-09-29 19:01:44.000,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,329633.0,318463.0,https://pypi.org/project/seaborn,2023-09-29 18:58:33.000,11170.0,12553809.0,12742437.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7733674.0,,,,,1.0,282.0,,,,,,,,,,,,,,,,,,
30,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-10-29 19:50:07.000000,2023-10-29 06:30:59,15118.0,24.0,2754.0,278.0,3813.0,2653.0,2709.0,8972.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,43,True,2023-05-05 11:36:02.375,0.14.0,35.0,statsmodels,conda-forge/statsmodels,,,,111267.0,105877.0,https://pypi.org/project/statsmodels,2023-05-05 11:36:02.375,5390.0,11433681.0,11720466.0,https://anaconda.org/conda-forge/statsmodels,2023-10-05 23:45:15.777,11758219.0,,,,,2.0,29.0,,,,,,,,,,,,,,,,,,
31,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-11-02 12:42:36.000000,2023-11-01 16:55:40,5710.0,99.0,1604.0,193.0,4849.0,640.0,1214.0,6387.0,TensorFlows Visualization Toolkit.,307.0,43,True,2023-10-19 19:32:39.000,2.15.0,55.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],198256.0,195438.0,https://pypi.org/project/tensorboard,2023-10-19 19:32:39.000,2818.0,21463616.0,21570640.0,https://anaconda.org/conda-forge/tensorboard,2023-10-20 00:55:28.414,4388006.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
32,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-10-27 10:14:23.000000,2023-09-28 08:36:01,14447.0,2.0,2781.0,466.0,1430.0,267.0,1487.0,12479.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,444.0,42,True,2023-07-20 15:52:53.307,0.9.9,59.0,nltk,conda-forge/nltk,,,,240952.0,228279.0,https://pypi.org/project/nltk,2023-01-02 22:02:43.849,12673.0,12555056.0,12581701.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2318168.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-11-02 10:30:05.000000,2023-10-31 16:06:15,4550.0,61.0,2024.0,1699.0,4391.0,227.0,2549.0,11270.0,WebGL2 powered visualization framework.,239.0,42,True,2023-10-24 16:58:59.931,8.9.32,618.0,pydeck,conda-forge/pydeck,,,['jupyter'],7198.0,6688.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,40.0,1615715.0,2132469.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,457343.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-10-24 16:58:59.931,470.0,506591.0,,,,,,,,,,,,
34,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-11-02 06:29:49.000000,2023-10-29 18:51:32,3585.0,53.0,761.0,145.0,1285.0,185.0,1711.0,8525.0,Declarative statistical visualization library for Python.,158.0,42,True,2023-10-03 18:18:45.000,5.1.2,38.0,altair,conda-forge/altair,,,,83746.0,83129.0,https://pypi.org/project/altair,2023-10-03 17:40:10.000,617.0,13645577.0,13735802.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2075171.0,,,,,1.0,89.0,,,,,,,,,,,,,,,,,,
35,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-11-01 14:32:16.000000,2023-10-31 20:08:48,13768.0,111.0,2109.0,184.0,4303.0,519.0,2018.0,5651.0,Image processing in Python.,632.0,42,False,2023-10-03 21:36:37.000,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,158387.0,158387.0,https://pypi.org/project/scikit-image,,,10032142.0,10172310.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5746906.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
36,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2023-10-22 22:49:37.000000,2023-01-30 18:15:21,1757.0,,8561.0,1066.0,1449.0,69.0,1716.0,32981.0,A toolkit for developing and comparing reinforcement learning algorithms.,384.0,41,True,2023-07-20 15:30:49.667,0.0.1,108.0,gym,conda-forge/gym,,,,49547.0,46871.0,https://pypi.org/project/gym,2022-10-04 23:58:42.348,2676.0,449352.0,455277.0,https://anaconda.org/conda-forge/gym,2023-06-16 19:18:41.854,254792.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
37,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-11-02 10:52:55.000000,2023-10-31 18:15:43,1905.0,192.0,3368.0,307.0,2240.0,804.0,1415.0,29132.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",255.0,41,True,2023-10-09 16:56:27.000,0.11.1,73.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4732.0,4653.0,https://pypi.org/project/deepspeed,2023-10-09 16:56:27.000,79.0,384000.0,384375.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17252.0,1.0,,,,,,,,,,,,,,,,,,,
38,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-11-02 14:30:13.000000,2023-11-02 05:36:08,5914.0,259.0,2444.0,309.0,3875.0,662.0,3025.0,28236.0,Streamlit A faster way to build and share data apps.,203.0,41,True,2023-10-26 17:18:34.000,1.28.0,209.0,streamlit,,,,,2182.0,1038.0,https://pypi.org/project/streamlit,2023-10-26 17:18:26.000,1144.0,2534045.0,2534045.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
