,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-09-26 10:38:59.000000,2024-09-26 10:38:59,33539.0,685.0,5121.0,346.0,11309.0,1808.0,8809.0,12931.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1685.0,50,True,2024-08-21 00:10:50.000,1.14.1,108.0,scipy,conda-forge/scipy,,,414955.0,125127248.0,1145695.0,1100338.0,https://pypi.org/project/scipy,2024-08-21 00:03:32.000,45357.0,123980018.0,https://anaconda.org/conda-forge/scipy,2024-09-09 09:00:52.252,52599092.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-09-25 17:31:41.000000,2024-09-25 17:31:41,58932.0,698.0,4394.0,291.0,13414.0,5124.0,8867.0,12812.0,A computer algebra system written in pure Python.,1329.0,49,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,548337.0,31603137.0,176224.0,172734.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,3490.0,31471267.0,https://anaconda.org/conda-forge/sympy,2024-08-12 22:08:15.340,6644506.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-09-25 18:42:57.000000,2024-09-25 18:42:54,10990.0,204.0,19419.0,1911.0,7455.0,249.0,11887.0,61664.0,Deep Learning for humans.,1330.0,48,True,2024-08-12 20:42:48.000,3.5.0,102.0,keras,conda-forge/keras,https://keras.io,['tensorflow'],,13993381.0,1567.0,,https://pypi.org/project/keras,2024-08-12 20:42:48.000,1567.0,13993381.0,https://anaconda.org/conda-forge/keras,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-09-26 09:36:50.000000,2024-09-26 09:36:50,51095.0,471.0,7579.0,593.0,18377.0,1597.0,9278.0,20028.0,matplotlib: plotting with Python.,1729.0,48,True,2024-08-13 01:44:21.000,3.9.2,127.0,matplotlib,conda-forge/matplotlib,,,,76789571.0,1395122.0,1345592.0,https://pypi.org/project/matplotlib,2024-08-13 01:44:21.000,49530.0,76279771.0,https://anaconda.org/conda-forge/matplotlib,2024-09-12 20:10:05.995,25999839.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-09-26 10:20:50.000000,2024-09-26 10:20:50,18555.0,467.0,2210.0,220.0,5082.0,134.0,3074.0,12132.0,Python Imaging Library (Fork).,479.0,48,True,2024-07-01 09:51:39.000,10.4.0,98.0,Pillow,conda-forge/pillow,,,,121254624.0,1846353.0,1838671.0,https://pypi.org/project/Pillow,2024-07-01 09:45:22.000,7682.0,120365128.0,https://anaconda.org/conda-forge/pillow,2024-09-11 18:35:06.338,44474801.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-09-26 15:12:40.000000,2024-09-25 23:20:45,6668.0,227.0,3013.0,319.0,4904.0,952.0,3617.0,34792.0,Streamlit A faster way to build and share data apps.,241.0,46,True,2024-09-23 19:37:48.000,1.26.1,227.0,streamlit,,,,,6220714.0,522694.0,519966.0,https://pypi.org/project/streamlit,2024-09-23 19:37:48.000,2728.0,6220714.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-09-26 09:14:53.000000,2024-09-26 09:14:53,51088.0,1896.0,5546.0,717.0,49943.0,1751.0,17361.0,22096.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1281.0,46,True,2024-09-13 08:31:46.000,2.6.2,70.0,paddlepaddle,,,['paddle'],15403.0,576391.0,6119.0,5941.0,https://pypi.org/project/paddlepaddle,2024-09-13 08:31:46.000,178.0,576233.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-09-26 12:25:23.000000,2024-09-26 12:25:23,22702.0,685.0,5612.0,475.0,29070.0,4028.0,14940.0,33168.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1075.0,45,True,2024-09-24 23:37:52.000,ray-2.37.0,117.0,ray,conda-forge/ray-tune,,,237.0,5568945.0,18698.0,17930.0,https://pypi.org/project/ray,2024-09-24 23:30:46.000,768.0,5559857.0,https://anaconda.org/conda-forge/ray-tune,2024-09-25 03:15:35.287,408902.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-09-26 14:24:07.000000,2024-09-26 12:53:15,23226.0,1597.0,2749.0,334.0,15558.0,1366.0,4198.0,30043.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",758.0,45,True,2024-09-16 18:42:31.000,jax-v0.4.33,167.0,jax,conda-forge/jaxlib,,,,3720804.0,32206.0,30368.0,https://pypi.org/project/jax,2024-09-16 18:38:45.000,1838.0,3687830.0,https://anaconda.org/conda-forge/jaxlib,2024-08-31 00:56:55.014,1681677.0,1.0,,,,,,jax-ml/jax,,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-09-25 15:41:32.000000,2024-09-25 15:41:28,7104.0,167.0,8699.0,909.0,5558.0,463.0,4890.0,26127.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",652.0,45,True,2024-07-31 08:14:26.000,2.1.1,83.0,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,10972.0,22590825.0,110761.0,108797.0,https://pypi.org/project/xgboost,2024-07-31 08:14:26.000,1964.0,22485272.0,https://anaconda.org/conda-forge/xgboost,2024-09-25 05:38:44.236,5273349.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-09-26 05:39:30.000000,2024-09-25 15:37:56,20603.0,69.0,4175.0,442.0,6167.0,761.0,6978.0,19251.0,"Interactive Data Visualization in the browser, from Python.",699.0,45,True,2024-08-23 08:14:02.000,3.5.2,216.0,bokeh,conda-forge/bokeh,,,,4561843.0,94360.0,92629.0,https://pypi.org/project/bokeh,2024-09-25 15:55:56.000,1731.0,4268516.0,https://anaconda.org/conda-forge/bokeh,2024-08-23 12:55:11.815,14959685.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-09-25 08:35:09.000000,2024-09-25 08:35:04,14681.0,147.0,2856.0,463.0,1488.0,273.0,1553.0,13452.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,461.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,23073189.0,312409.0,307755.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4654.0,23007038.0,https://anaconda.org/conda-forge/nltk,2024-08-18 23:14:52.073,2778364.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-09-23 12:50:32.000000,2024-09-15 22:10:29,15487.0,59.0,2869.0,282.0,3928.0,2829.0,2787.0,10003.0,Statsmodels: statistical modeling and econometrics in Python.,435.0,45,True,2024-09-16 09:55:30.000,0.14.3,38.0,statsmodels,conda-forge/statsmodels,,,34.0,16859934.0,141115.0,136694.0,https://pypi.org/project/statsmodels,2024-09-16 09:55:30.000,4421.0,16565715.0,https://anaconda.org/conda-forge/statsmodels,2024-09-21 06:26:48.581,15005214.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
23,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-09-26 13:28:26.000000,2024-09-26 13:28:16,42294.0,850.0,28218.0,2021.0,48233.0,200.0,,39374.0,Apache Spark Python API.,3124.0,44,True,2024-09-24 00:28:04.000,3.5.3,47.0,pyspark,conda-forge/pyspark,,['spark'],,30297176.0,1543.0,,https://pypi.org/project/pyspark,2024-09-24 00:28:04.000,1543.0,30229907.0,https://anaconda.org/conda-forge/pyspark,2024-03-03 13:07:40.821,3430741.0,2.0,,,,,,,stable/spark,,,,,,,,,,,,,,,,,
24,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-09-26 15:18:53.000000,2024-09-19 00:00:11,7026.0,258.0,2415.0,169.0,4309.0,533.0,4229.0,32375.0,"Wrap UIs around any model, share with anyone.",384.0,44,True,2024-09-10 21:46:23.000,4.44.0,588.0,gradio,,,,,6346385.0,42407.0,41634.0,https://pypi.org/project/gradio,2024-09-23 19:20:22.000,773.0,6346385.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
25,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-09-22 12:43:59.353000,2024-09-14 09:36:27,16169.0,35.0,4355.0,562.0,4015.0,137.0,5512.0,29732.0,Industrial-strength Natural Language Processing (NLP) in Python.,757.0,44,True,2024-09-14 09:07:39.000,3.8.1,236.0,spacy,conda-forge/spacy,,,239.0,12644946.0,102374.0,99706.0,https://pypi.org/project/spacy,2024-09-14 09:07:39.000,2668.0,12564479.0,https://anaconda.org/conda-forge/spacy,2024-09-22 12:43:59.353,4103669.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
26,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-09-26 11:51:45.000000,2024-09-26 11:51:24,10421.0,71.0,3359.0,247.0,10273.0,771.0,6299.0,28047.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",970.0,44,True,2024-08-07 09:46:38.000,2.4.0,277.0,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],9122.0,6863183.0,38197.0,36763.0,https://pypi.org/project/pytorch-lightning,2024-08-07 09:46:38.000,1434.0,6837792.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1283093.0,2.0,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,,
27,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-09-26 06:24:09.000000,2024-09-26 01:48:11,6518.0,365.0,4155.0,296.0,9099.0,1596.0,2575.0,18398.0,Open source platform for the machine learning lifecycle.,773.0,44,True,2024-09-17 03:45:48.000,2.16.2,113.0,mlflow,conda-forge/mlflow,,,,14564283.0,43581.0,42710.0,https://pypi.org/project/mlflow,2024-09-17 02:23:27.000,871.0,14518313.0,https://anaconda.org/conda-forge/mlflow,2024-09-17 10:26:09.229,2344474.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
28,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-09-23 17:31:30.000000,2024-09-19 16:25:54,6683.0,155.0,2533.0,274.0,1704.0,527.0,2440.0,16054.0,The interactive graphing library for Python This project now includes Plotly Express!.,269.0,44,True,2024-09-12 15:42:27.000,5.24.1,301.0,plotly,conda-forge/plotly,,,,19489359.0,312331.0,306065.0,https://pypi.org/project/plotly,2024-09-12 15:36:24.000,6257.0,19348227.0,https://anaconda.org/conda-forge/plotly,2024-09-12 22:24:43.567,7019493.0,1.0,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,6142.0,,,,,,,,,,,,
29,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-09-25 15:22:02.000000,2024-09-20 20:47:12,7785.0,77.0,3202.0,279.0,3876.0,347.0,3022.0,14776.0,Network Analysis in Python.,747.0,44,True,2024-04-06 13:09:07.000,networkx-3.3,94.0,networkx,conda-forge/networkx,,,76.0,70274191.0,305437.0,296040.0,https://pypi.org/project/networkx,2024-04-06 12:59:44.000,9397.0,69911558.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,17769026.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
30,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2024-09-26 05:11:57.000000,2024-09-26 05:11:57,17848.0,3856.0,1444.0,70.0,2614.0,601.0,2660.0,12462.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",337.0,44,True,2024-09-26 03:46:57.000,1.48.2,961.0,litellm,,,others,541.0,1931431.0,3842.0,3421.0,https://pypi.org/project/litellm,2024-09-26 03:34:35.000,421.0,1930890.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
31,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-09-26 08:15:07.000000,2024-09-24 15:15:11,8318.0,92.0,1696.0,212.0,5964.0,1100.0,4247.0,12436.0,Parallel computing with task scheduling.,609.0,44,True,2024-09-13 21:27:30.000,2024.9.0,207.0,dask,conda-forge/dask,,,,11736917.0,67163.0,64813.0,https://pypi.org/project/dask,2024-09-13 21:27:30.000,2350.0,11507550.0,https://anaconda.org/conda-forge/dask,2024-09-14 00:35:37.416,11927090.0,1.0,,,,,,,stable/dask,,,,,,,,,,,,,,,,,
32,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-09-25 06:13:33.000000,2024-09-24 21:13:32,2766.0,70.0,3251.0,241.0,965.0,754.0,1776.0,22566.0,A game theoretic approach to explain the output of any machine learning model.,251.0,43,True,2024-06-27 10:16:34.000,0.46.0,104.0,shap,conda-forge/shap,,,,6690695.0,21150.0,20402.0,https://pypi.org/project/shap,2024-06-27 10:16:34.000,748.0,6603818.0,https://anaconda.org/conda-forge/shap,2024-05-08 21:55:59.406,3909509.0,1.0,,,,,,shap/shap,,,,,,,,,,,,,,,,,,
33,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-09-20 15:45:31.000000,2024-09-20 15:45:31,7679.0,123.0,2041.0,420.0,1125.0,469.0,1346.0,21230.0,Data Apps & Dashboards for Python. No JavaScript Required.,162.0,43,True,2024-09-12 16:11:13.000,2.18.1,181.0,dash,conda-forge/dash,,,78.0,3439594.0,70607.0,69324.0,https://pypi.org/project/dash,2024-09-12 16:08:23.000,1283.0,3410465.0,https://anaconda.org/conda-forge/dash,2024-09-14 04:47:51.793,1485533.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-09-25 21:48:32.399000,2024-09-25 01:30:32,2825.0,72.0,3652.0,440.0,3354.0,340.0,2508.0,17691.0,Open standard for machine learning interoperability.,323.0,43,True,2024-08-01 13:15:32.000,1.16.2,34.0,onnx,conda-forge/onnx,,,21769.0,5419500.0,34707.0,33662.0,https://pypi.org/project/onnx,2024-08-01 13:10:23.000,1045.0,5394926.0,https://anaconda.org/conda-forge/onnx,2024-09-25 21:48:32.399,1239954.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
35,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-09-26 02:39:47.000000,2024-09-26 02:39:45,3570.0,71.0,3819.0,433.0,3251.0,367.0,3059.0,16554.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",318.0,43,True,2024-07-26 14:38:57.000,4.5.0,38.0,lightgbm,conda-forge/lightgbm,,,235621.0,9927607.0,38776.0,37699.0,https://pypi.org/project/lightgbm,2024-07-26 14:38:57.000,1077.0,9868658.0,https://anaconda.org/conda-forge/lightgbm,2024-09-12 16:03:18.124,2702527.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
36,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2024-09-26 15:22:44.000000,2024-09-26 15:22:44,2719.0,291.0,1506.0,191.0,3243.0,641.0,780.0,12859.0,Development repository for the Triton language and compiler.,324.0,43,True,2024-07-09 07:22:23.000,3.0.0,195.0,triton,,,,,14717636.0,37741.0,37504.0,https://pypi.org/project/triton,2024-07-09 07:22:23.000,237.0,14717636.0,,,,1.0,,,,,,triton-lang/triton,,,,,,,,,,,,,,,,,,
37,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-09-26 12:54:44.000000,2024-09-26 09:35:08,4990.0,65.0,2080.0,1674.0,4855.0,351.0,2718.0,12108.0,WebGL2 powered visualization framework.,273.0,43,True,2024-09-23 08:13:29.833,9.0.30,670.0,pydeck,conda-forge/pydeck,,['jupyter'],,5697663.0,8499.0,8088.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,112.0,5119806.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,612632.0,1.0,,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-09-23 08:13:29.833,299.0,566719.0,,,,,,,,,,,,
38,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2024-09-26 08:46:04.000000,2024-09-26 08:46:03,18260.0,388.0,994.0,116.0,3648.0,69.0,1605.0,10595.0,A hyperparameter optimization framework.,271.0,43,True,2024-09-02 05:17:47.000,4.0.0,66.0,optuna,conda-forge/optuna,,,,3683716.0,18644.0,17693.0,https://pypi.org/project/optuna,2024-09-02 05:17:47.000,951.0,3651503.0,https://anaconda.org/conda-forge/optuna,2024-09-03 06:05:16.374,1642891.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
