,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-06-08 10:48:04.000000,2022-06-08 10:48:04,13344.0,479.0,1856,211.0,3781.0,135.0,2422.0,9838,The friendly PIL fork (Python Imaging Library).,399.0,47,True,2022-05-17 16:46:23.000,9.1.1,88.0,Pillow,conda-forge/pillow,,,48334695.0,820996.0,758088.0,https://pypi.org/project/Pillow,2022-05-17 16:34:46.000,62908.0,48334695.0,https://anaconda.org/conda-forge/pillow,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-06-09 15:20:40.000000,2022-06-09 15:20:40,11946.0,102.0,4288,474.0,2616.0,555.0,4193.0,19476,Asynchronous task queue/job queue based on distributed message passing.,1217.0,46,True,2022-05-29 12:59:05.000,5.2.7,191.0,celery,conda-forge/celery,,,5749948.0,85514.0,70647.0,https://pypi.org/project/celery,2022-05-29 12:57:59.000,14867.0,5738559.0,https://anaconda.org/conda-forge/celery,2022-05-29 18:35:32.713,854225.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-06-09 15:23:45.000000,2022-06-09 09:53:59,16432.0,1063.0,10674,742.0,16997.0,878.0,4889.0,26616,"Platform to programmatically author, schedule, and monitor workflows.",2422.0,45,True,2022-06-04 14:19:24.000,2.3.2,115.0,apache-airflow,conda-forge/airflow,,301212.0,7719480.0,475.0,,https://pypi.org/project/apache-airflow,2022-06-04 13:19:03.000,475.0,6847456.0,https://anaconda.org/conda-forge/airflow,2022-06-04 17:38:17.887,634165.0,1.0,,apache/airflow,stable/airflow,https://hub.docker.com/r/apache/airflow,2022-06-04 14:40:41.989913,344.0,73784198.0,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-06-08 21:31:22.000000,2022-06-08 21:31:17,7048.0,418.0,19092,1947.0,5321.0,335.0,11064.0,55390,Deep Learning for humans.,1070.0,44,True,2022-05-13 20:03:15.000,2.9.0,65.0,keras,conda-forge/keras,['tensorflow'],,11549442.0,301.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,301.0,11516508.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2305443.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-06-09 14:01:37.000000,2022-06-08 17:34:11,15466.0,125.0,3833,556.0,3130.0,99.0,5042.0,23551,Industrial-strength Natural Language Processing (NLP) in Python.,682.0,44,True,2022-06-07 17:23:29.000,3.3.1,194.0,spacy,conda-forge/spacy,,3141.0,7256958.0,42129.0,39791.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2338.0,7215343.0,https://anaconda.org/conda-forge/spacy,2022-05-03 18:34:30.893,2660478.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-06-09 10:15:08.000000,2022-06-09 10:15:08,5820.0,130.0,8398,928.0,3560.0,287.0,4169.0,22828,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",565.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,4287.0,10757693.0,33298.0,31957.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1341.0,10714996.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2687249.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-06-09 11:34:58.000000,2022-06-09 08:39:26,11824.0,1055.0,1627,265.0,6677.0,1080.0,2289.0,17707,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",403.0,44,True,2022-05-16 19:13:45.000,0.3.13,120.0,jax,conda-forge/jaxlib,,,485216.0,4841.0,4538.0,https://pypi.org/project/jax,2022-05-16 19:13:45.000,303.0,475805.0,https://anaconda.org/conda-forge/jaxlib,2022-05-25 09:41:31.539,329398.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-06-09 13:18:48.000000,2022-06-09 13:18:48,6885.0,147.0,2631,273.0,2700.0,358.0,2569.0,10835,Network Analysis in Python.,598.0,44,True,2022-06-04 16:19:09.000,2.8.3,78.0,networkx,conda-forge/networkx,,60.0,21965676.0,122742.0,109351.0,https://pypi.org/project/networkx,2022-06-04 16:19:09.000,13391.0,21867994.0,https://anaconda.org/conda-forge/networkx,2022-06-04 20:42:40.216,6642402.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-06-09 13:15:38.000000,2022-06-09 09:07:13,51064.0,561.0,3662,284.0,11561.0,4444.0,7958.0,9297,A computer algebra system written in pure Python.,1148.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,454182.0,1729423.0,46946.0,42814.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1696367.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2103304.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-06-09 06:13:31.000000,2022-06-08 23:56:07,13214.0,104.0,2005,187.0,3759.0,623.0,1832.0,4930,Image processing in Python.,555.0,44,True,2022-02-17 18:25:54.000,0.19.2,44.0,scikit-image,conda-forge/scikit-image,,,10066898.0,114096.0,104809.0,https://pypi.org/project/scikit-image,2022-02-17 18:24:44.000,9287.0,10018813.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3510232.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-06-09 14:39:32.000000,2022-06-09 12:54:34,12909.0,1264.0,3573,429.0,15084.0,2381.0,8050.0,20843,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",704.0,43,True,2022-05-16 22:46:43.000,ray-1.12.1,72.0,ray,conda-forge/ray-tune,,,1255320.0,5249.0,4978.0,https://pypi.org/project/ray,2022-05-16 22:38:01.000,271.0,1253501.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,32755.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-06-09 14:01:32.000000,2022-06-08 20:02:16,7012.0,360.0,2376,223.0,6229.0,494.0,4573.0,18656,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",686.0,43,True,2022-06-01 14:32:40.000,1.6.4,210.0,pytorch-lightning,conda-forge/pytorch-lightning,['pytorch'],6907.0,4691018.0,9754.0,9377.0,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,377.0,4671995.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-06-07 13:19:15.354,451841.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-09 10:36:17.000000,2022-06-08 20:11:55,19554.0,47.0,3933,455.0,5166.0,711.0,6210.0,16350,"Interactive Data Visualization in the browser, from Python.",605.0,43,True,2022-05-18 19:00:14.000,2.4.3,125.0,bokeh,conda-forge/bokeh,,,2900079.0,55606.0,52070.0,https://pypi.org/project/bokeh,2022-05-18 19:00:14.000,3536.0,2779491.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7476490.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-05-30 11:40:09.000000,2022-05-25 20:00:43,14291.0,41.0,2572,471.0,1359.0,222.0,1402.0,10798,Suite of libraries and programs for symbolic and statistical natural language processing for English.,422.0,43,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,14354359.0,156671.0,144851.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,14336065.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1280626.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-06-09 11:05:11.000000,2022-06-08 18:04:17,7225.0,173.0,1489,223.0,4681.0,737.0,3665.0,9975,Parallel computing with task scheduling.,536.0,43,True,2022-05-26 22:05:43.000,2022.5.2,144.0,dask,conda-forge/dask,,,6471441.0,39983.0,37347.0,https://pypi.org/project/dask,2022-05-26 22:05:43.000,2636.0,6392971.0,https://anaconda.org/conda-forge/dask,2022-05-27 01:12:14.569,5728361.0,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,,,,,
25,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-06-09 02:51:00.000000,2022-06-07 00:45:56,2941.0,127.0,1594,248.0,808.0,108.0,1928.0,9499,Statistical data visualization in Python.,167.0,43,True,2021-08-16 00:42:18.000,0.11.2,26.0,seaborn,conda-forge/seaborn,,219.0,10543065.0,170910.0,162068.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000,8842.0,10486974.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,3926241.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-06-08 15:13:19.000000,2022-06-05 22:49:12,14601.0,78.0,2431,262.0,3565.0,2266.0,2523.0,7441,Statsmodels: statistical modeling and econometrics in Python.,375.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,26.0,12223390.0,68894.0,64381.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,12136312.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,6269621.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-06-09 13:41:33.000000,2022-06-09 13:29:52,5058.0,86.0,1510,191.0,4093.0,580.0,1122.0,5877,TensorFlows Visualization Toolkit.,278.0,43,True,2022-06-08 16:31:57.000,2.9.1,41.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,16635211.0,113379.0,110980.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2399.0,16581152.0,https://anaconda.org/conda-forge/tensorboard,2022-05-02 19:23:15.865,2973263.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-06-09 13:56:40.000000,2022-06-09 13:43:31,33330.0,738.0,25644,2075.0,36799.0,219.0,,33083,Apache Spark Python API.,2679.0,42,True,2022-02-18 23:01:24.000,3.1.3,29.0,pyspark,conda-forge/pyspark,['spark'],,21703904.0,826.0,,https://pypi.org/project/pyspark,2022-02-18 23:01:24.000,826.0,21677279.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1677396.0,2.0,,,stable/spark,,,,,,,,,,,,,,,,,,,,,,
29,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-06-09 13:38:18.000000,2022-06-09 13:38:18,1640.0,103.0,7796,994.0,1286.0,110.0,1567.0,27753,A toolkit for developing and comparing reinforcement learning algorithms.,360.0,42,True,2022-06-07 13:51:45.000,0.24.1,101.0,gym,conda-forge/gym,,,579162.0,32345.0,29892.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2453.0,574847.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,112200.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-06-09 12:16:21.000000,2022-06-08 03:03:10,2986.0,91.0,3541,450.0,2582.0,218.0,2491.0,13875,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",258.0,42,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,153445.0,7530006.0,14140.0,13510.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,630.0,7509925.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1038831.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-05-25 13:12:56.039000,2022-05-06 00:53:28,4383.0,71.0,4210,431.0,1605.0,374.0,1391.0,13253,Topic Modelling for Humans.,430.0,42,True,2022-05-01 16:17:56.000,4.2.0,90.0,gensim,conda-forge/gensim,,3828.0,7504133.0,36653.0,33775.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2878.0,7489874.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,810057.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
32,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-06-09 14:06:01.000000,2022-06-09 13:53:04,2787.0,252.0,5899,362.0,3782.0,705.0,1793.0,11761,"Datasets, Transforms and Models specific to Computer Vision.",486.0,42,True,2022-03-10 18:28:39.000,0.12.0,30.0,torchvision,conda-forge/torchvision,['pytorch'],6436.0,6220138.0,3611.0,,https://pypi.org/project/torchvision,2022-03-10 16:45:51.000,3611.0,6215257.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,258053.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-06-09 08:51:41.000000,2022-06-08 14:50:39,5497.0,105.0,2158,271.0,1357.0,1170.0,1200.0,11617,The interactive graphing library for Python (includes Plotly Express).,201.0,42,True,2022-06-08 14:42:58.000,5.8.1,280.0,plotly,conda-forge/plotly,,,7790038.0,4115.0,10.0,https://pypi.org/project/plotly,2022-06-08 14:40:13.000,4101.0,7706381.0,https://anaconda.org/conda-forge/plotly,2022-06-08 18:12:48.062,2667918.0,1.0,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,45544.0,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-06-09 11:07:23.000000,2022-06-09 08:29:36,4098.0,109.0,1787,1738.0,3867.0,165.0,2284.0,9878,WebGL2 powered visualization framework.,197.0,42,True,2022-06-06 23:22:48.698,8.7.11,535.0,pydeck,conda-forge/pydeck,['jupyter'],,1221500.0,4572.0,4163.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,927056.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,115368.0,1.0,,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-06-07 21:57:14.283,385.0,290324.0,,,,,,,,,,,,,
35,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-06-09 00:30:04.000000,2022-06-03 18:25:01,2352.0,210.0,7239,617.0,2068.0,115.0,1495.0,22362,The fastai deep learning library.,613.0,41,True,2022-05-01 02:04:54.000,2.6.3,133.0,fastai,,['pytorch'],,301624.0,10677.0,10378.0,https://pypi.org/project/fastai,2022-05-01 02:04:54.000,299.0,301624.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-06-09 14:05:37.000000,2022-06-09 12:12:38,35994.0,1540.0,4515,729.0,28495.0,2894.0,12703.0,18327,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,750.0,41,True,2022-05-13 08:03:36.000,2.3.0,54.0,paddlepaddle,,['paddle'],15315.0,104364.0,167.0,119.0,https://pypi.org/project/paddlepaddle,2022-05-09 06:15:03.000,48.0,104146.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-06-09 00:26:05.000000,2022-06-08 17:03:15,1969.0,59.0,2707,427.0,2236.0,277.0,1730.0,12612,Open standard for machine learning interoperability.,237.0,41,True,2022-02-17 21:58:59.000,1.11.0,25.0,onnx,conda-forge/onnx,,17621.0,1182479.0,7429.0,7056.0,https://pypi.org/project/onnx,2022-02-17 19:16:40.000,373.0,1174469.0,https://anaconda.org/conda-forge/onnx,2022-04-24 20:16:13.541,423325.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-06-09 14:05:58.000000,2022-06-08 10:12:07,2820.0,277.0,2723,276.0,3759.0,1032.0,1467.0,11996,Open source platform for the machine learning lifecycle.,429.0,41,True,2022-05-28 01:18:34.000,1.26.1,59.0,mlflow,conda-forge/mlflow,,,11060444.0,313.0,,https://pypi.org/project/mlflow,2022-05-28 01:10:58.000,313.0,11044930.0,https://anaconda.org/conda-forge/mlflow,2022-05-28 13:03:41.958,589561.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
