,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,new_addition
12,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-06-30 13:50:47.000000,2022-06-30 11:56:09,6962.0,197.0,2637,272.0,2783.0,392.0,2616.0,10919,Network Analysis in Python.,604.0,45,True,2022-06-14 04:04:30.000,2.8.4,79.0,networkx,conda-forge/networkx,,60.0,21094707.0,124852.0,111432.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13420.0,20992701.0,https://anaconda.org/conda-forge/networkx,2022-06-14 14:05:11.499,6936444.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-06-30 13:41:02.000000,2022-06-29 18:51:00,7084.0,353.0,19130,1946.0,5355.0,349.0,11096.0,55536,Deep Learning for humans.,1077.0,44,True,2022-05-13 20:03:15.000,2.9.0,65.0,keras,conda-forge/keras,['tensorflow'],,9963545.0,324.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,324.0,9929850.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2358660.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-06-30 12:53:03.000000,2022-06-30 09:28:12,15508.0,129.0,3846,552.0,3177.0,101.0,5065.0,23684,Industrial-strength Natural Language Processing (NLP) in Python.,690.0,44,True,2022-06-07 17:23:29.000,3.3.1,194.0,spacy,conda-forge/spacy,,3142.0,5312275.0,43027.0,40671.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2356.0,5270224.0,https://anaconda.org/conda-forge/spacy,2022-06-10 19:12:34.838,2688331.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-06-30 11:56:28.000000,2022-06-30 11:24:22,5837.0,113.0,8398,930.0,3587.0,287.0,4187.0,22906,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",567.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,4418.0,8964101.0,34253.0,32912.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1341.0,8920432.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2748381.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-06-30 14:52:33.000000,2022-06-30 14:38:36,13204.0,1253.0,3618,427.0,15481.0,2567.0,8146.0,21097,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",716.0,44,True,2022-06-09 17:15:12.000,ray-1.13.0,73.0,ray,conda-forge/ray-tune,,,1333805.0,5483.0,5209.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,274.0,1331747.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,37049.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-06-30 12:54:05.000000,2022-06-29 22:47:42,12111.0,1112.0,1742,281.0,6864.0,1108.0,2403.0,19099,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",417.0,44,True,2022-06-28 20:01:20.000,0.3.14,121.0,jax,conda-forge/jaxlib,,,684995.0,5110.0,4789.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,321.0,675026.0,https://anaconda.org/conda-forge/jaxlib,2022-06-25 03:27:15.374,348929.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-06-21 14:32:14.000000,2022-06-13 20:10:39,14304.0,46.0,2572,470.0,1361.0,223.0,1402.0,10860,Suite of libraries and programs for symbolic and statistical natural language processing for English.,424.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,12376912.0,159132.0,147312.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,12358044.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1320820.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-06-30 15:04:40.000000,2022-06-30 04:43:27,51228.0,554.0,3662,281.0,11618.0,4444.0,7991.0,9358,A computer algebra system written in pure Python.,1153.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,455461.0,2048296.0,47601.0,43469.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,2014465.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2159021.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-06-28 00:30:10.000000,2022-06-23 18:04:30,13229.0,82.0,2017,187.0,3772.0,618.0,1841.0,4955,Image processing in Python.,558.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,8916900.0,116044.0,106713.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9331.0,8867587.0,https://anaconda.org/conda-forge/scikit-image,2022-06-15 05:10:24.990,3599857.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-29 02:39:10.000000,2022-06-29 01:28:42,19575.0,50.0,3956,454.0,5179.0,709.0,6233.0,16435,"Interactive Data Visualization in the browser, from Python.",607.0,43,True,2022-05-18 19:00:14.000,2.4.3,127.0,bokeh,conda-forge/bokeh,,,3000665.0,56784.0,53233.0,https://pypi.org/project/bokeh,2022-06-24 23:39:00.000,3551.0,2876678.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7687218.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-06-30 13:26:38.000000,2022-06-29 19:07:53,7257.0,171.0,1500,222.0,4707.0,744.0,3681.0,10053,Parallel computing with task scheduling.,543.0,43,True,2022-06-24 16:00:12.000,2022.6.1,146.0,dask,conda-forge/dask,,,8747805.0,40659.0,38000.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2659.0,8666969.0,https://anaconda.org/conda-forge/dask,2022-06-24 22:50:48.953,5901066.0,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-06-29 02:09:33.000000,2022-06-28 13:25:38,2968.0,153.0,1594,246.0,831.0,108.0,1963.0,9557,Statistical data visualization in Python.,168.0,43,True,2021-08-16 00:42:18.000,0.11.2,27.0,seaborn,conda-forge/seaborn,,219.0,9286778.0,175431.0,166049.0,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9382.0,9228719.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,4064023.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-06-29 20:31:36.000000,2022-06-29 20:31:36,14662.0,130.0,2431,264.0,3576.0,2266.0,2529.0,7495,Statsmodels: statistical modeling and econometrics in Python.,377.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,26.0,9985006.0,70092.0,65579.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,9895286.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6459849.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-06-29 23:35:18.000000,2022-06-29 19:56:48,5087.0,95.0,1511,189.0,4122.0,576.0,1126.0,5887,TensorFlows Visualization Toolkit.,280.0,43,True,2022-06-13 11:14:01.000,2.9.1,42.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,15115326.0,116234.0,113834.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2400.0,15060234.0,https://anaconda.org/conda-forge/tensorboard,2022-06-12 14:07:22.031,3030093.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-06-30 14:06:32.000000,2022-06-30 13:26:44,33486.0,721.0,25702,2079.0,37009.0,201.0,,33266,Apache Spark Python API.,2684.0,42,True,2022-06-15 08:58:01.000,3.3.0,30.0,pyspark,conda-forge/pyspark,['spark'],,24084622.0,840.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,840.0,24056955.0,https://anaconda.org/conda-forge/pyspark,2022-06-16 07:21:06.515,1743061.0,2.0,,,stable/spark,,,,,,,,,,,,,,,,,,,,,,
27,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-06-30 10:24:12.000000,2022-06-29 15:17:25,1667.0,108.0,7796,993.0,1329.0,110.0,1575.0,27908,A toolkit for developing and comparing reinforcement learning algorithms.,364.0,42,True,2022-06-07 13:51:45.000,0.24.1,101.0,gym,conda-forge/gym,,,533815.0,32968.0,30515.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2453.0,529256.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,118540.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-06-29 21:40:08.000000,2022-06-28 01:15:55,3015.0,97.0,3541,449.0,2617.0,218.0,2514.0,13937,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",261.0,42,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,155804.0,6609619.0,14494.0,13864.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,630.0,6588946.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1071540.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-06-22 07:34:38.000000,2022-05-06 00:53:28,4383.0,45.0,4210,432.0,1607.0,374.0,1394.0,13308,Topic Modelling for Humans.,430.0,42,True,2022-05-01 16:17:56.000,4.2.0,90.0,gensim,conda-forge/gensim,,3828.0,5471554.0,37261.0,34383.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2878.0,5457011.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,826258.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-06-30 11:47:03.000000,2022-06-29 13:14:31,2814.0,220.0,6034,365.0,3834.0,727.0,1809.0,11958,"Datasets, Transforms and Models specific to Computer Vision.",487.0,42,True,2022-06-28 16:45:08.000,0.13.0,31.0,torchvision,conda-forge/torchvision,['pytorch'],7908.0,4485488.0,3704.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3704.0,4480190.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,279262.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-06-29 16:35:33.000000,2022-06-24 01:11:35,5535.0,122.0,2163,273.0,1370.0,1187.0,1204.0,11717,The interactive graphing library for Python (includes Plotly Express).,202.0,42,True,2022-06-24 01:10:19.000,5.9.0,282.0,plotly,conda-forge/plotly,,,7864374.0,4133.0,10.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4119.0,7778210.0,https://anaconda.org/conda-forge/plotly,2022-06-24 05:08:11.888,2785609.0,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,46370.0,,,,,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-06-30 15:15:19.000000,2022-06-30 15:00:53,4150.0,149.0,1795,1739.0,3914.0,162.0,2312.0,9920,WebGL2 powered visualization framework.,198.0,42,True,2022-06-23 18:28:37.845,8.7.12,540.0,pydeck,conda-forge/pydeck,['jupyter'],,1142467.0,4649.0,4240.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,860186.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,127338.0,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-06-27 16:47:41.915,385.0,277734.0,,,,,,,,,,,,,,,,,
33,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-06-30 14:31:20.000000,2022-06-30 14:31:18,13214.0,988.0,707,127.0,2528.0,125.0,1102.0,6595,A hyperparameter optimization framework.,201.0,42,True,2022-06-13 05:38:25.000,2.10.1,47.0,optuna,conda-forge/optuna,,,3380249.0,3834.0,3604.0,https://pypi.org/project/optuna,2022-06-13 05:39:20.000,230.0,3370953.0,https://anaconda.org/conda-forge/optuna,2021-10-04 08:58:48.864,288184.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
34,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-06-30 04:43:56.000000,2022-06-30 01:38:34,2409.0,232.0,7245,613.0,2088.0,104.0,1517.0,22450,The fastai deep learning library.,613.0,41,True,2022-06-28 04:42:23.000,2.7.4,138.0,fastai,,['pytorch'],,323078.0,10860.0,10559.0,https://pypi.org/project/fastai,2022-06-28 04:42:36.000,301.0,323078.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-06-30 13:56:07.000000,2022-06-30 13:29:30,36311.0,1325.0,4515,730.0,28955.0,2894.0,12867.0,18462,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,766.0,41,True,2022-05-13 08:03:36.000,2.3.0,54.0,paddlepaddle,,['paddle'],15315.0,82015.0,174.0,126.0,https://pypi.org/project/paddlepaddle,2022-05-09 06:15:03.000,48.0,81797.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-06-24 15:26:33.000000,2022-06-16 14:46:20,2277.0,107.0,2497,251.0,470.0,1372.0,599.0,16790,A game theoretic approach to explain the output of any machine learning model.,205.0,41,True,2022-06-16 00:31:04.000,0.41.0,95.0,shap,conda-forge/shap,,,4237450.0,6035.0,5760.0,https://pypi.org/project/shap,2022-06-16 00:43:28.000,275.0,4210095.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1258364.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-06-30 05:31:30.000000,2022-06-27 18:32:20,1988.0,69.0,2789,426.0,2274.0,282.0,1749.0,12794,Open standard for machine learning interoperability.,240.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,17653.0,1270597.0,7729.0,7346.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,383.0,1262231.0,https://anaconda.org/conda-forge/onnx,2022-06-18 09:22:46.041,442806.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-06-30 14:30:25.000000,2022-06-30 14:30:25,2872.0,280.0,2792,274.0,3828.0,934.0,1497.0,12152,Open source platform for the machine learning lifecycle.,441.0,41,True,2022-06-29 03:41:27.000,1.27.0,60.0,mlflow,conda-forge/mlflow,,,11269060.0,325.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,325.0,11252897.0,https://anaconda.org/conda-forge/mlflow,2022-06-30 04:32:03.462,614198.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
