,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2024-02-22 13:34:04.000000,2024-02-21 11:18:45,49589.0,445.0,7331.0,594.0,17715.0,1536.0,8907.0,18895.0,matplotlib: plotting with Python.,1645.0,50,True,2024-02-16 10:48:06.000,3.7.5,121.0,matplotlib,conda-forge/matplotlib,,,,1160516.0,1095487.0,https://pypi.org/project/matplotlib,2024-02-16 10:48:06.000,65029.0,55436844.0,55932070.0,https://anaconda.org/conda-forge/matplotlib,2024-02-15 20:37:52.070,21789967.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-02-22 11:17:12.000000,2024-02-21 23:56:10,31615.0,449.0,5010.0,349.0,10379.0,1814.0,8225.0,12210.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1586.0,50,True,2024-01-20 22:00:44.000,1.12.0,99.0,scipy,conda-forge/scipy,,,,993449.0,926836.0,https://pypi.org/project/scipy,2024-01-20 21:10:31.000,66613.0,80884745.0,82045103.0,https://anaconda.org/conda-forge/scipy,2024-01-24 03:11:41.395,45104680.0,,,,,1.0,394373.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-02-22 10:52:25.000000,2024-02-22 10:51:56,17192.0,588.0,2173.0,224.0,4664.0,110.0,2930.0,11493.0,Python Imaging Library (Fork).,461.0,48,True,2024-01-02 09:38:41.000,10.2.0,95.0,Pillow,conda-forge/pillow,,,,1612139.0,1544383.0,https://pypi.org/project/Pillow,2023-10-15 13:01:25.000,67756.0,89305501.0,90145440.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,36117414.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-02-22 14:10:26.000000,2024-02-22 14:02:37,19486.0,1129.0,2490.0,322.0,12516.0,1571.0,3687.0,26726.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",638.0,46,True,2024-02-06 23:17:32.000,0.4.24,158.0,jax,conda-forge/jaxlib,,,,22951.0,22109.0,https://pypi.org/project/jax,2024-02-06 23:17:32.000,842.0,5595783.0,5619720.0,https://anaconda.org/conda-forge/jaxlib,2024-02-15 20:21:50.521,1053231.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-02-22 11:01:40.000000,2024-02-19 11:13:31,57126.0,429.0,4214.0,293.0,12958.0,4933.0,8663.0,11861.0,A computer algebra system written in pure Python.,1276.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,118121.0,113192.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4929.0,12590066.0,12647963.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4994210.0,,,,,1.0,532964.0,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-02-22 09:34:13.000000,2024-02-22 09:34:12,6759.0,118.0,8145.0,908.0,4977.0,355.0,4722.0,25321.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",636.0,45,True,2023-12-19 10:07:53.000,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,81400.0,81400.0,https://pypi.org/project/xgboost,,,12608422.0,12714346.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4551829.0,,,,,1.0,8100.0,,,,,,,,,,,,,,,,,,
16,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-02-22 14:15:49.000000,2024-02-22 13:49:23,46834.0,1858.0,5368.0,723.0,44027.0,1852.0,16758.0,21374.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1161.0,45,True,2024-01-08 06:43:49.000,2.6.0,66.0,paddlepaddle,,,,['paddle'],4754.0,4660.0,https://pypi.org/project/paddlepaddle,2023-12-26 06:45:52.000,94.0,227458.0,227628.0,,,,,,,,1.0,15368.0,,,,,,,,,,,,,,,,,,
17,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-02-22 11:40:13.000000,2024-02-20 19:47:06,20393.0,85.0,4228.0,444.0,5977.0,757.0,6825.0,18598.0,"Interactive Data Visualization in the browser, from Python.",684.0,45,True,2024-01-25 18:45:35.000,3.3.4,195.0,bokeh,conda-forge/bokeh,,,,87604.0,83781.0,https://pypi.org/project/bokeh,2024-02-15 16:35:27.000,3823.0,4193580.0,4498042.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13396349.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-02-22 13:08:04.000000,2024-02-22 13:08:03,8105.0,191.0,1674.0,212.0,5732.0,1037.0,4103.0,11801.0,Parallel computing with task scheduling.,592.0,45,True,2024-02-09 23:11:21.000,2024.2.0,189.0,dask,conda-forge/dask,,,,60547.0,57404.0,https://pypi.org/project/dask,2024-02-09 23:11:21.000,3143.0,7121799.0,7360266.0,https://anaconda.org/conda-forge/dask,2024-02-10 02:02:14.402,10731031.0,,,,,1.0,,2.0,stable/dask,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-02-21 02:23:56.000000,2024-02-13 23:43:19,15258.0,130.0,2825.0,280.0,3850.0,2701.0,2736.0,9324.0,Statsmodels: statistical modeling and econometrics in Python.,423.0,45,True,2023-12-14 14:50:21.000,0.14.1,36.0,statsmodels,conda-forge/statsmodels,,,,121106.0,115504.0,https://pypi.org/project/statsmodels,2023-12-14 14:50:21.000,5602.0,13012757.0,13290807.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12234217.0,,,,,1.0,30.0,,,,,,,,,,,,,,,,,,
20,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-02-22 14:42:32.000000,2024-02-22 13:40:40,6130.0,185.0,2694.0,307.0,4157.0,747.0,3199.0,30295.0,Streamlit A faster way to build and share data apps.,221.0,44,True,2024-02-12 17:53:30.000,1.31.1,215.0,streamlit,,,,,314106.0,312711.0,https://pypi.org/project/streamlit,2024-02-12 17:53:21.000,1395.0,4183318.0,4183318.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-02-20 12:17:52.000000,2024-02-20 12:17:51,16117.0,39.0,4179.0,556.0,3964.0,83.0,5472.0,28301.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,44,True,2024-02-15 19:16:59.000,3.7.4,100.0,spacy,conda-forge/spacy,,,,80855.0,80855.0,https://pypi.org/project/spacy,,,6160886.0,6236672.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3334616.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
22,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-02-22 14:07:03.000000,2024-02-22 14:07:03,10170.0,216.0,3119.0,249.0,9959.0,643.0,6104.0,26262.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",929.0,44,True,2024-02-12 19:43:45.000,2.2.0.post0,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],29140.0,29140.0,https://pypi.org/project/pytorch-lightning,,,4573288.0,4597546.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1054376.0,,,,,2.0,10035.0,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,
23,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-02-22 14:00:07.000000,2024-02-22 08:41:12,5449.0,399.0,3845.0,293.0,7553.0,1363.0,2345.0,16799.0,Open source platform for the machine learning lifecycle.,701.0,44,True,2024-02-09 12:58:56.000,2.10.2,90.0,mlflow,conda-forge/mlflow,,,,31260.0,30706.0,https://pypi.org/project/mlflow,2024-02-09 06:04:53.000,554.0,15566791.0,15606290.0,https://anaconda.org/conda-forge/mlflow,2024-02-18 19:30:33.405,1737964.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
24,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-02-19 17:25:23.000000,2024-02-15 16:34:58,6368.0,113.0,2477.0,282.0,1608.0,1487.0,1383.0,14889.0,The interactive graphing library for Python This project now includes Plotly Express!.,257.0,44,True,2024-02-15 15:49:11.000,5.19.0,295.0,plotly,conda-forge/plotly,,,,246643.0,240974.0,https://pypi.org/project/plotly,2024-02-15 15:42:04.000,5662.0,12401591.0,12527034.0,https://anaconda.org/conda-forge/plotly,2024-02-15 18:15:23.292,5257523.0,,,,,1.0,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,7.0,8610.0,,,,,,,,,,
25,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-02-22 04:46:13.000000,2024-02-22 04:46:12,7602.0,91.0,3172.0,276.0,3665.0,345.0,2954.0,13925.0,Network Analysis in Python.,708.0,44,True,2023-10-28 09:53:23.000,networkx-3.2.1,92.0,networkx,conda-forge/networkx,,,,240997.0,225725.0,https://pypi.org/project/networkx,2023-10-28 08:41:36.000,15272.0,44126081.0,44477254.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14749283.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,
26,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-02-18 17:42:11.000000,2024-01-25 13:04:48,3229.0,25.0,1876.0,260.0,1088.0,129.0,2351.0,11714.0,Statistical data visualization in Python.,210.0,44,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,376180.0,364430.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,11750.0,15027895.0,15211026.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8057644.0,,,,,1.0,376.0,,,,,,,,,,,,,,,,,,
27,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-02-22 14:00:29.000000,2024-02-22 02:20:23,10329.0,229.0,18589.0,1912.0,6945.0,173.0,11421.0,60342.0,Deep Learning for humans.,1276.0,43,True,2024-02-14 22:35:12.000,3.0.5,59.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,,,15013975.0,15090810.0,https://anaconda.org/conda-forge/keras,2024-02-15 07:10:55.798,3380756.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
28,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-02-22 14:35:31.000000,2024-02-22 11:29:03,20723.0,794.0,5074.0,468.0,26351.0,3618.0,13585.0,30011.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,977.0,43,True,2024-02-06 01:23:15.000,ray-2.9.2,98.0,ray,conda-forge/ray-tune,,,,14291.0,13820.0,https://pypi.org/project/ray,2024-02-05 22:50:44.000,471.0,3140554.0,3145512.0,https://anaconda.org/conda-forge/ray-tune,2024-02-13 16:37:02.206,188344.0,,,,,1.0,208.0,,,,,,,,,,,,,,,,,,
29,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-02-22 13:51:12.000000,2024-02-22 13:28:56,6318.0,354.0,1904.0,145.0,3379.0,450.0,3305.0,26462.0,"Wrap UIs around any model, share with anyone.",266.0,43,True,2024-02-16 20:37:21.000,4.19.1,547.0,gradio,,,,,23602.0,23306.0,https://pypi.org/project/gradio,2024-02-16 20:37:21.000,296.0,7312482.0,7312482.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
30,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-02-22 11:41:37.000000,2024-02-19 19:12:40,2661.0,64.0,3646.0,438.0,3110.0,308.0,2362.0,16440.0,Open standard for machine learning interoperability.,306.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,24765.0,24072.0,https://pypi.org/project/onnx,2023-10-26 18:30:51.000,693.0,4783779.0,4805022.0,https://anaconda.org/conda-forge/onnx,2024-01-25 12:19:38.120,923188.0,,,,,1.0,19974.0,,,,,,,,,,,,,,,,,,
31,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-02-22 12:58:07.000000,2024-02-22 03:26:09,3427.0,48.0,3675.0,434.0,3083.0,323.0,2914.0,15867.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",296.0,43,True,2024-01-26 02:11:11.000,4.3.0,31.0,lightgbm,conda-forge/lightgbm,,,,29968.0,29968.0,https://pypi.org/project/lightgbm,,,7702218.0,7758227.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2189277.0,,,,,2.0,214220.0,,,,,,,,,,,,,,,,,,
32,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-02-19 22:55:10.000000,2024-01-29 09:04:39,14509.0,27.0,2832.0,468.0,1451.0,266.0,1506.0,12820.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,454.0,43,True,2023-07-20 15:52:53.307,0.9.9,59.0,nltk,conda-forge/nltk,,,,265544.0,252608.0,https://pypi.org/project/nltk,2023-07-20 15:52:53.307,12936.0,13805897.0,13832727.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2414750.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
33,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-02-22 02:51:05.000000,2024-02-20 20:37:02,5771.0,51.0,1609.0,193.0,4927.0,654.0,1222.0,6478.0,TensorFlows Visualization Toolkit.,314.0,43,True,2024-02-16 19:56:55.000,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],219146.0,216189.0,https://pypi.org/project/tensorboard,2024-02-16 19:56:55.000,2957.0,23711782.0,23814285.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4510143.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
34,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2024-02-22 11:34:42.000000,2024-02-15 15:37:11,3792.0,49.0,6860.0,398.0,5163.0,970.0,2328.0,15143.0,"Datasets, Transforms and Models specific to Computer Vision.",574.0,42,True,2024-01-30 18:31:39.000,0.17.0,41.0,torchvision,conda-forge/torchvision,,,['pytorch'],5111.0,21.0,https://pypi.org/project/torchvision,2024-01-30 17:33:54.000,5090.0,10521056.0,10549589.0,https://anaconda.org/conda-forge/torchvision,2023-12-13 18:56:48.112,982903.0,,,,,1.0,37017.0,4.0,,,,,,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-02-22 14:51:35.000000,2024-02-22 01:07:21,4666.0,81.0,2068.0,1692.0,4514.0,304.0,2596.0,11535.0,WebGL2 powered visualization framework.,246.0,42,True,2024-01-19 15:08:57.947,8.9.34,629.0,pydeck,conda-forge/pydeck,,,['jupyter'],7711.0,7160.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,58.0,2215939.0,2666012.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,477640.0,,,,,1.0,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-02-14 10:04:47.307,493.0,440123.0,,,,,,,,,,
36,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-02-22 13:11:45.000000,2024-02-22 12:07:03,2168.0,207.0,3817.0,315.0,2549.0,942.0,1531.0,31470.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",290.0,41,True,2024-02-12 17:20:29.000,0.13.2,84.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],5939.0,5837.0,https://pypi.org/project/deepspeed,2024-02-12 17:20:29.000,102.0,380299.0,380660.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17728.0,1.0,,,,,,,,,,,,,,,,,,,
37,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-02-21 16:25:26.726000,2024-02-19 19:32:03,2172.0,68.0,4537.0,308.0,442.0,71.0,770.0,28791.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",129.0,41,True,2024-02-19 19:35:21.000,0.9.16,56.0,timm,conda-forge/timm,,,['pytorch'],23683.0,23291.0,https://pypi.org/project/timm,2024-02-19 19:33:42.000,392.0,4551595.0,4663309.0,https://anaconda.org/conda-forge/timm,2024-02-21 16:25:26.726,123045.0,,,,,1.0,6204642.0,,,huggingface/pytorch-image-models,,,,,,,,,,,,,,,
