,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-02-27 12:48:36.000000,2025-02-27 12:48:36,34688.0,655.0,5257.0,350.0,11924.0,1708.0,9206.0,13404.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1749.0,50,True,2025-02-17 01:57:38.000,1.15.2,113.0,scipy,conda-forge/scipy,,,,1291634.0,1241128.0,https://pypi.org/project/scipy,2025-02-17 00:28:56.000,50506.0,125695478.0,126843677.0,https://anaconda.org/conda-forge/scipy,2025-02-17 15:24:02.424,58351353.0,,,,,1.0,466362.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-02-27 01:16:04.000000,2025-02-26 22:39:20,52005.0,475.0,7684.0,588.0,18919.0,1601.0,9496.0,20802.0,matplotlib: plotting with Python.,1778.0,49,True,2024-12-14 06:30:36.000,3.10.0,131.0,matplotlib,conda-forge/matplotlib,,,,1624203.0,1571220.0,https://pypi.org/project/matplotlib,2024-12-14 06:30:36.000,52983.0,73798501.0,74305532.0,https://anaconda.org/conda-forge/matplotlib,2024-12-16 20:44:59.565,28393747.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-02-27 03:18:23.000000,2025-02-27 03:18:23,59584.0,345.0,4563.0,292.0,13728.0,5238.0,9014.0,13343.0,A computer algebra system written in pure Python.,1354.0,49,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,,229819.0,225811.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,4008.0,35848587.0,35992135.0,https://anaconda.org/conda-forge/sympy,2025-01-07 11:14:01.011,7954529.0,,,,,1.0,555309.0,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-02-26 23:15:33.000000,2025-02-26 23:15:33,11371.0,193.0,19528.0,1911.0,7848.0,264.0,12136.0,62628.0,Deep Learning for humans.,1373.0,48,True,2025-01-07 18:27:26.000,3.8.0,105.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1698.0,,https://pypi.org/project/keras,2025-01-07 18:27:14.000,1698.0,12959406.0,13030058.0,https://anaconda.org/conda-forge/keras,2025-01-10 19:55:24.082,3956536.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-02-22 15:27:55.000000,2025-02-22 15:27:55,19230.0,340.0,2252.0,218.0,5334.0,123.0,3171.0,12575.0,Python Imaging Library (Fork).,484.0,48,True,2025-01-02 08:20:18.000,11.1.0,100.0,Pillow,conda-forge/pillow,,,,2094243.0,2083332.0,https://pypi.org/project/Pillow,2025-01-02 08:10:16.000,10911.0,126669299.0,127584062.0,https://anaconda.org/conda-forge/pillow,2025-01-03 20:03:34.476,50311975.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-02-27 13:52:34.000000,2025-02-27 13:52:31,24167.0,1015.0,6033.0,482.0,31104.0,4369.0,15830.0,35689.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1164.0,47,True,2025-02-11 22:21:54.000,ray-2.42.1,123.0,ray,conda-forge/ray-tune,,,,22198.0,21317.0,https://pypi.org/project/ray,2025-02-11 21:13:19.000,881.0,5850705.0,5864544.0,https://anaconda.org/conda-forge/ray-tune,2025-02-22 21:32:42.347,691891.0,,,,,1.0,248.0,,,,,,,,,,,,,,,,,,,
16,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-02-27 14:58:48.000000,2025-02-27 10:33:30,7159.0,300.0,3259.0,329.0,5583.0,1032.0,3886.0,37794.0,Streamlit A faster way to build and share data apps.,322.0,46,True,2025-02-20 21:09:21.000,1.42.2,237.0,streamlit,,,,,735150.0,731837.0,https://pypi.org/project/streamlit,2025-02-20 21:09:12.000,3313.0,7600004.0,7600004.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-02-27 13:35:08.000000,2025-02-27 13:25:35,43779.0,880.0,28524.0,2018.0,50071.0,202.0,,40625.0,Apache Spark Python API.,3192.0,45,True,2025-02-27 09:16:31.000,3.5.5,51.0,pyspark,conda-forge/pyspark,,,['spark'],1755.0,,https://pypi.org/project/pyspark,2025-02-27 09:16:31.000,1755.0,31885800.0,31952121.0,https://anaconda.org/conda-forge/pyspark,2024-12-21 08:33:41.806,3713983.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-02-27 14:08:48.000000,2025-02-27 11:26:37,25927.0,1540.0,2896.0,334.0,17777.0,1506.0,4489.0,31445.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",839.0,45,True,2025-02-24 21:03:58.000,jax-v0.5.1,174.0,jax,conda-forge/jaxlib,,,,40127.0,37877.0,https://pypi.org/project/jax,2025-02-24 17:22:52.000,2250.0,6702136.0,6743860.0,https://anaconda.org/conda-forge/jaxlib,2025-02-27 10:13:41.358,2336594.0,,,,,1.0,,,jax-ml/jax,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-02-27 07:45:17.000000,2025-02-27 07:45:17,7354.0,152.0,8746.0,908.0,5866.0,427.0,5033.0,26645.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",658.0,45,True,2025-02-06 18:23:31.000,2.1.4,87.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,135912.0,133620.0,https://pypi.org/project/xgboost,2025-02-26 10:19:45.000,2292.0,22596903.0,22703739.0,https://anaconda.org/conda-forge/xgboost,2025-02-07 00:07:26.580,5870192.0,,,,,1.0,13908.0,,,,,,,,,,,,,,,,,,,
20,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-02-27 13:49:07.000000,2025-02-27 13:49:07,52965.0,1063.0,5672.0,714.0,52495.0,1760.0,17601.0,22518.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1350.0,45,True,2024-09-13 08:31:46.000,2.6.2,73.0,paddlepaddle,,,,['paddle'],7353.0,7141.0,https://pypi.org/project/paddlepaddle,2025-01-23 03:28:11.000,212.0,327591.0,327742.0,,,,,,,,1.0,15428.0,,,,,,,,,,,,,,,,,,,
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-02-27 07:23:23.000000,2025-02-27 07:14:58,20720.0,79.0,4206.0,437.0,6292.0,796.0,7103.0,19641.0,"Interactive Data Visualization in the browser, from Python.",710.0,45,True,2025-02-05 17:52:27.000,3.6.3,230.0,bokeh,conda-forge/bokeh,,,,100250.0,98384.0,https://pypi.org/project/bokeh,2025-02-13 18:53:19.000,1866.0,3905664.0,4190576.0,https://anaconda.org/conda-forge/bokeh,2025-02-06 12:06:49.451,15955117.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-02-26 22:41:59.000000,2025-02-19 15:49:37,7560.0,190.0,2599.0,278.0,1817.0,626.0,2512.0,16788.0,The interactive graphing library for Python.,282.0,45,True,2025-01-28 19:45:30.000,6.0.0,302.0,plotly,conda-forge/plotly,,,,377722.0,370398.0,https://pypi.org/project/plotly,2025-01-28 19:33:47.000,7315.0,19562838.0,19776723.0,https://anaconda.org/conda-forge/plotly,2025-01-31 01:47:40.544,8450869.0,,,,,1.0,55.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,65625.0,-1.0,,,,,,,,,,,
23,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-02-24 18:45:50.000000,2025-02-24 18:45:50,7915.0,80.0,3253.0,281.0,4029.0,344.0,3065.0,15441.0,Network Analysis in Python.,761.0,45,True,2024-10-21 12:40:41.000,networkx-3.4.2,98.0,networkx,conda-forge/networkx,,,,367780.0,358150.0,https://pypi.org/project/networkx,2024-10-21 12:39:36.000,9630.0,69163631.0,69542024.0,https://anaconda.org/conda-forge/networkx,2024-12-25 14:22:43.959,20433256.0,,,,,1.0,79.0,,,,,,,,,,,,,,,,,,,
24,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-02-20 05:28:58.000000,2025-02-20 05:28:58,14714.0,18.0,2887.0,461.0,1507.0,276.0,1579.0,13885.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,469.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,358057.0,353360.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4697.0,25339850.0,25404354.0,https://anaconda.org/conda-forge/nltk,2024-12-16 00:47:34.151,3031725.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-02-19 12:26:31.000000,2025-02-19 12:26:31,15662.0,60.0,3091.0,288.0,3987.0,2851.0,2822.0,10462.0,Statsmodels: statistical modeling and econometrics in Python.,451.0,45,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,159658.0,155189.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,15776308.0,16086407.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,17365552.0,,,,,1.0,35.0,,,,,,,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-02-27 07:35:34.000000,2025-02-27 06:10:38,7503.0,256.0,2737.0,182.0,4910.0,469.0,4922.0,36427.0,"Wrap UIs around any model, share with anyone.",516.0,44,True,2025-02-27 00:43:48.000,5.19.0,626.0,gradio,,,,,59582.0,58537.0,https://pypi.org/project/gradio,2025-02-27 00:43:48.000,1045.0,7299578.0,7299578.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-02-03 17:32:33.000000,2025-02-03 17:32:23,16225.0,12.0,4443.0,564.0,4036.0,182.0,5525.0,31016.0,Industrial-strength Natural Language Processing (NLP) in Python.,763.0,44,True,2025-01-14 11:08:42.000,3.8.4,239.0,spacy,conda-forge/spacy,,,,119732.0,116801.0,https://pypi.org/project/spacy,2025-01-14 11:08:42.000,2931.0,12215505.0,12311994.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,5402370.0,,,,,1.0,1641.0,,,,,,,,,,,,,,,,,,,
28,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-02-27 13:55:01.000000,2025-02-27 13:52:48,7275.0,428.0,4361.0,308.0,10349.0,1716.0,2705.0,19620.0,Open source platform for the machine learning lifecycle.,827.0,44,True,2025-02-26 12:53:54.000,2.20.3,126.0,mlflow,conda-forge/mlflow,,,,54206.0,53212.0,https://pypi.org/project/mlflow,2025-02-26 07:40:53.000,994.0,13795340.0,13848672.0,https://anaconda.org/conda-forge/mlflow,2025-02-27 00:29:33.199,2986599.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-02-27 07:55:37.000000,2025-02-27 07:55:19,19637.0,1165.0,2227.0,98.0,4187.0,1316.0,3447.0,18128.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",416.0,44,True,2025-02-27 06:27:29.000,1.61.19-nightly,1096.0,litellm,,,,others,8937.0,8076.0,https://pypi.org/project/litellm,2025-02-27 05:39:04.000,861.0,5690692.0,5690906.0,,,,,,,,1.0,428.0,,,,,,,,,,,,,,,,,,,
30,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-02-27 13:45:37.000000,2025-02-27 13:45:37,9491.0,148.0,1742.0,214.0,6206.0,1105.0,4372.0,12979.0,Parallel computing with task scheduling.,621.0,44,True,2025-02-13 23:03:39.000,2025.2.0,216.0,dask,conda-forge/dask,,,,73261.0,70595.0,https://pypi.org/project/dask,2025-02-13 23:03:39.000,2666.0,9754848.0,9977611.0,https://anaconda.org/conda-forge/dask,2025-02-14 01:09:15.019,12697526.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
31,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-02-26 17:10:29.000000,2025-02-26 17:10:29,10512.0,47.0,3437.0,252.0,10382.0,872.0,6352.0,29047.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",997.0,43,True,2024-12-21 01:35:39.000,2.5.0.post0,282.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],43921.0,42385.0,https://pypi.org/project/pytorch-lightning,2024-12-21 01:36:45.000,1536.0,7642550.0,7668696.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-12-22 08:21:07.098,1449163.0,,,,,2.0,11605.0,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,
32,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-02-27 00:06:08.000000,2025-02-14 21:26:12,7787.0,29.0,2114.0,426.0,1204.0,531.0,1392.0,21997.0,Data Apps & Dashboards for Python. No JavaScript Required.,170.0,43,True,2024-11-04 21:17:37.000,2.18.2,185.0,dash,conda-forge/dash,,,,80000.0,78488.0,https://pypi.org/project/dash,2025-02-21 18:16:32.000,1512.0,4849604.0,4879763.0,https://anaconda.org/conda-forge/dash,2025-01-24 13:51:51.640,1688865.0,,,,,1.0,88.0,,,,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-02-26 17:19:58.000000,2025-02-26 16:48:32,3021.0,95.0,3724.0,438.0,3577.0,334.0,2611.0,18509.0,Open standard for machine learning interoperability.,339.0,43,True,2024-10-01 21:45:45.000,1.17.0,35.0,onnx,conda-forge/onnx,,,,41827.0,40774.0,https://pypi.org/project/onnx,2024-10-01 21:45:45.000,1053.0,5731155.0,5760403.0,https://anaconda.org/conda-forge/onnx,2024-12-31 09:55:45.556,1623297.0,,,,,1.0,23046.0,,,,,,,,,,,,,,,,,,,
34,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2025-02-25 11:21:00.000000,2025-02-24 00:56:28,3648.0,47.0,3856.0,435.0,3344.0,402.0,3109.0,16982.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",325.0,43,True,2025-02-15 04:02:50.000,4.6.0,39.0,lightgbm,conda-forge/lightgbm,,,,46522.0,45274.0,https://pypi.org/project/lightgbm,2025-02-15 04:02:50.000,1248.0,8410884.0,8473692.0,https://anaconda.org/conda-forge/lightgbm,2025-02-19 15:41:37.440,3169042.0,,,,,2.0,283427.0,,,,,,,,,,,,,,,,,,,
35,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-02-27 14:59:41.000000,2025-02-27 14:10:47,3490.0,458.0,1729.0,195.0,4221.0,715.0,935.0,14642.0,Development repository for the Triton language and compiler.,371.0,43,True,2025-01-22 19:12:21.000,3.2.0,197.0,triton,,,,,55117.0,54781.0,https://pypi.org/project/triton,2025-01-22 19:12:21.000,336.0,19785500.0,19785500.0,,,,,,,,1.0,,,triton-lang/triton,,,,,,,,,,,,,,,,,
36,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-02-27 07:02:44.566000,2025-02-27 06:47:10,5108.0,89.0,2111.0,1666.0,4998.0,390.0,2767.0,12521.0,WebGL2 powered visualization framework.,282.0,43,True,2025-02-27 07:02:44.566,9.1.4,687.0,pydeck,conda-forge/pydeck,,,['jupyter'],9148.0,8713.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,120.0,6537114.0,7099365.0,https://anaconda.org/conda-forge/pydeck,2025-01-31 18:06:48.129,700374.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-02-27 07:02:44.566,315.0,549517.0,,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-02-25 03:25:24.000000,2025-02-25 03:25:24,18906.0,347.0,1057.0,119.0,3869.0,61.0,1655.0,11443.0,A hyperparameter optimization framework.,288.0,43,True,2025-02-12 07:57:23.000,4.2.1,72.0,optuna,conda-forge/optuna,,,,23765.0,22609.0,https://pypi.org/project/optuna,2025-02-12 07:57:23.000,1156.0,3405212.0,3446024.0,https://anaconda.org/conda-forge/optuna,2025-02-14 01:37:55.790,2285477.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
