,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,new_addition
10,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-12-05 13:32:40.000000,2024-12-05 13:32:40,11199.0,270.0,19486.0,1913.0,7620.0,260.0,11999.0,62165.0,Deep Learning for humans.,1353.0,48,True,2024-11-26 17:04:02.000,3.7.0,104.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1654.0,,https://pypi.org/project/keras,2024-11-26 17:04:02.000,1654.0,14707371.0,14778257.0,https://anaconda.org/conda-forge/keras,2024-11-27 10:22:41.816,3827890.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-12-05 14:22:29.000000,2024-12-05 14:22:29,34011.0,568.0,5190.0,350.0,11541.0,1748.0,8995.0,13167.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1716.0,48,True,2024-08-21 00:10:50.000,1.14.1,108.0,scipy,conda-forge/scipy,,,,1209167.0,1163291.0,https://pypi.org/project/scipy,2024-08-21 00:03:32.000,45876.0,,1130416.0,https://anaconda.org/conda-forge/scipy,2024-10-21 07:19:53.878,55202308.0,,,,,1.0,433816.0,,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-12-03 11:11:43.000000,2024-12-03 11:11:43,18876.0,445.0,2235.0,219.0,5188.0,137.0,3117.0,12364.0,Python Imaging Library (Fork).,482.0,48,True,2024-10-15 14:29:17.000,11.0.0,99.0,Pillow,conda-forge/pillow,,,,1953288.0,1944393.0,https://pypi.org/project/Pillow,2024-10-15 14:21:49.000,8895.0,125142142.0,126029975.0,https://anaconda.org/conda-forge/pillow,2024-10-18 22:08:55.292,47055185.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-12-05 15:06:13.000000,2024-12-05 14:22:53,6871.0,260.0,3111.0,319.0,5172.0,977.0,3753.0,36027.0,Streamlit A faster way to build and share data apps.,248.0,46,True,2024-11-25 21:30:36.000,1.40.2,231.0,streamlit,,,,,615287.0,612364.0,https://pypi.org/project/streamlit,2024-11-25 21:30:28.000,2923.0,8274612.0,8274612.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-12-05 13:36:04.000000,2024-12-05 13:36:03,23222.0,651.0,5816.0,478.0,29791.0,4258.0,15361.0,34302.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1108.0,46,True,2024-12-04 00:01:15.000,ray-2.40.0,120.0,ray,conda-forge/ray-tune,,,,20189.0,19369.0,https://pypi.org/project/ray,2024-12-03 23:45:31.000,820.0,6464162.0,6474197.0,https://anaconda.org/conda-forge/ray-tune,2024-11-24 02:24:06.889,481588.0,,,,,1.0,247.0,,,,,,,,,,,,,,,,,,,,
15,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-12-05 05:41:43.000000,2024-12-04 21:31:45,51410.0,406.0,7674.0,592.0,18608.0,1602.0,9370.0,20405.0,matplotlib: plotting with Python.,1753.0,46,True,2024-11-30 10:15:10.000,3.9.3,129.0,matplotlib,conda-forge/matplotlib,,,,1497111.0,1444789.0,https://pypi.org/project/matplotlib,2024-11-30 10:14:04.000,52322.0,,502671.0,https://anaconda.org/conda-forge/matplotlib,2024-12-02 22:25:03.866,27144285.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-12-05 04:21:34.000000,2024-12-05 04:21:34,59248.0,401.0,4458.0,293.0,13541.0,5148.0,8936.0,13066.0,A computer algebra system written in pure Python.,1343.0,46,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,,199314.0,195814.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,3500.0,,136115.0,https://anaconda.org/conda-forge/sympy,2024-10-09 14:38:28.134,7264893.0,,,,,1.0,551817.0,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-12-05 13:36:27.000000,2024-12-05 13:36:23,24470.0,1627.0,2801.0,336.0,16579.0,1451.0,4317.0,30675.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",797.0,45,True,2024-10-22 21:01:49.000,jax-v0.4.35,169.0,jax,conda-forge/jaxlib,,,,35578.0,33671.0,https://pypi.org/project/jax,2024-10-22 20:56:34.000,1907.0,4539196.0,4574953.0,https://anaconda.org/conda-forge/jaxlib,2024-10-24 10:52:07.546,1930922.0,,,,,1.0,,jax-ml/jax,,,,,,,,,,,,,,,,,,,
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-12-05 11:52:38.000000,2024-12-05 11:52:38,52027.0,1186.0,5606.0,716.0,51289.0,1796.0,17496.0,22319.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1332.0,45,True,2024-09-13 08:31:46.000,2.6.2,71.0,paddlepaddle,,,,['paddle'],6658.0,6465.0,https://pypi.org/project/paddlepaddle,2024-11-01 08:33:35.000,193.0,316046.0,316200.0,,,,,,,,1.0,15416.0,,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-12-05 11:17:55.000000,2024-12-03 23:34:20,20647.0,64.0,4188.0,438.0,6214.0,785.0,7002.0,19421.0,"Interactive Data Visualization in the browser, from Python.",703.0,45,True,2024-12-03 15:39:22.000,3.6.2,223.0,bokeh,conda-forge/bokeh,,,,96987.0,95192.0,https://pypi.org/project/bokeh,2024-12-03 23:43:55.000,1795.0,4317153.0,4603543.0,https://anaconda.org/conda-forge/bokeh,2024-12-03 20:01:08.384,15465067.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-12-04 21:49:25.000000,2024-12-03 20:47:13,7359.0,578.0,2558.0,276.0,1759.0,580.0,2482.0,16398.0,The interactive graphing library for Python This project now includes Plotly Express!.,281.0,45,True,2024-09-12 15:42:27.000,5.24.1,301.0,plotly,conda-forge/plotly,,,,340228.0,333899.0,https://pypi.org/project/plotly,2024-09-12 15:36:24.000,6320.0,21589404.0,21738365.0,https://anaconda.org/conda-forge/plotly,2024-09-12 22:24:43.567,7658764.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,9711.0,,,,,,,,,,,,,,
21,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-11-29 16:39:20.000000,2024-11-14 16:42:05,15567.0,78.0,2968.0,284.0,3961.0,2843.0,2806.0,10213.0,Statsmodels: statistical modeling and econometrics in Python.,447.0,45,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,149323.0,144854.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,16453185.0,16750699.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,16065806.0,,,,,1.0,35.0,,,,,,,,,,,,,,,,,,,,
22,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-12-05 03:03:39.000000,2024-12-05 03:03:32,42940.0,839.0,28347.0,2022.0,49040.0,229.0,,40116.0,Apache Spark Python API.,3149.0,44,True,2024-10-25 08:14:53.000,3.4.4,49.0,pyspark,conda-forge/pyspark,,,['spark'],1574.0,,https://pypi.org/project/pyspark,2024-10-25 08:14:53.000,1574.0,31196538.0,31262493.0,https://anaconda.org/conda-forge/pyspark,2024-10-24 22:12:13.872,3561616.0,,,,,2.0,,,,,,,,stable/spark,,,,,,,,,,,,,
23,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-12-05 15:30:15.000000,2024-12-05 04:48:49,7268.0,265.0,2611.0,177.0,4666.0,453.0,4639.0,34386.0,"Wrap UIs around any model, share with anyone.",467.0,44,True,2024-12-05 00:47:02.000,5.8.0,609.0,gradio,,,,,49400.0,48490.0,https://pypi.org/project/gradio,2024-12-05 00:47:02.000,910.0,6730324.0,6730324.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-12-05 10:20:06.000000,2024-12-05 10:18:31,6878.0,444.0,4264.0,303.0,9706.0,1664.0,2636.0,18952.0,Open source platform for the machine learning lifecycle.,798.0,44,True,2024-11-18 15:11:13.000,2.18.0,120.0,mlflow,conda-forge/mlflow,,,,48149.0,47227.0,https://pypi.org/project/mlflow,2024-12-04 09:57:20.000,922.0,17322168.0,17368988.0,https://anaconda.org/conda-forge/mlflow,2024-11-19 20:43:56.930,2528296.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2024-12-05 08:44:17.000000,2024-12-05 08:08:17,18538.0,1059.0,1711.0,78.0,3168.0,884.0,2989.0,14629.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",362.0,44,True,2024-12-05 08:44:17.000,1.53.7,1016.0,litellm,,,,others,5541.0,4952.0,https://pypi.org/project/litellm,2024-12-05 08:32:02.000,589.0,3577305.0,3577463.0,,,,,,,,1.0,474.0,,,,,,,,,,,,,,,,,,,,
26,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-11-24 12:28:01.906000,2024-11-19 09:43:40,16213.0,77.0,4404.0,561.0,4027.0,157.0,5521.0,30396.0,Industrial-strength Natural Language Processing (NLP) in Python.,762.0,43,True,2024-10-01 18:20:24.000,3.8.2,237.0,spacy,conda-forge/spacy,,,,109762.0,107073.0,https://pypi.org/project/spacy,2024-10-01 18:20:24.000,2689.0,,86117.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,4649833.0,,,,,1.0,775.0,,,,,,,,,,,,,,,,,,,,
27,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-12-05 10:24:00.000000,2024-12-05 10:24:00,7222.0,145.0,8731.0,908.0,5720.0,459.0,4931.0,26373.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",654.0,43,True,2024-11-26 10:23:00.000,2.1.3,85.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,121602.0,119491.0,https://pypi.org/project/xgboost,2024-11-26 10:23:00.000,2111.0,,104133.0,https://anaconda.org/conda-forge/xgboost,2024-12-03 00:14:17.609,5514005.0,,,,,2.0,12457.0,,,,,,,,,,,,,,,,,,,,
28,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2024-12-05 15:18:32.000000,2024-12-04 15:13:25,7759.0,104.0,2077.0,427.0,1163.0,495.0,1373.0,21607.0,Data Apps & Dashboards for Python. No JavaScript Required.,167.0,43,True,2024-11-04 21:17:37.000,2.18.2,182.0,dash,conda-forge/dash,,,,74595.0,73248.0,https://pypi.org/project/dash,2024-11-04 21:12:56.000,1347.0,4350345.0,4379641.0,https://anaconda.org/conda-forge/dash,2024-12-04 07:17:49.795,1581932.0,,,,,1.0,86.0,,,,,,,,,,,,,,,,,,,,
29,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-12-01 15:49:11.000000,2024-11-29 13:53:50,2926.0,119.0,3683.0,437.0,3479.0,346.0,2558.0,18041.0,Open standard for machine learning interoperability.,327.0,43,True,2024-10-01 21:45:45.000,1.17.0,35.0,onnx,conda-forge/onnx,,,,37870.0,36817.0,https://pypi.org/project/onnx,2024-10-01 21:45:45.000,1053.0,6533223.0,6558667.0,https://anaconda.org/conda-forge/onnx,2024-10-21 21:30:32.889,1359971.0,,,,,1.0,22417.0,,,,,,,,,,,,,,,,,,,,
30,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2024-12-05 02:31:43.000000,2024-12-04 22:40:37,3054.0,399.0,1651.0,197.0,3659.0,664.0,865.0,13599.0,Development repository for the Triton language and compiler.,347.0,43,True,2024-10-14 16:05:32.000,3.1.0,196.0,triton,,,,,45426.0,45161.0,https://pypi.org/project/triton,2024-10-14 16:05:32.000,265.0,15697714.0,15697714.0,,,,,,,,1.0,,triton-lang/triton,,,,,,,,,,,,,,,,,,,
31,Altair,altair-viz/altair,data-viz,,https://github.com/vega/altair,https://github.com/vega/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-12-02 18:58:23.000000,2024-12-02 16:01:53,3831.0,65.0,795.0,140.0,1532.0,194.0,1843.0,9421.0,Declarative visualization library for Python.,173.0,43,True,2024-11-24 00:12:10.000,5.5.0,43.0,altair,conda-forge/altair,,,,181825.0,180909.0,https://pypi.org/project/altair,2024-11-23 23:39:56.000,916.0,25303958.0,25373979.0,https://anaconda.org/conda-forge/altair,2024-11-24 00:36:17.006,2520703.0,,,,,1.0,209.0,vega/altair,,,,,,,,,,,,,,,,,,,
32,Catboost,catboost/catboost,ml-frameworks,,https://github.com/catboost/catboost,https://github.com/catboost/catboost,Apache-2.0,2017-07-18 05:29:04.000,2024-12-05 14:19:15.000000,2024-12-05 14:19:10,48847.0,303.0,1189.0,191.0,402.0,575.0,1788.0,8127.0,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification,..",1293.0,43,True,2024-09-07 20:11:05.000,1.2.7,113.0,catboost,conda-forge/catboost,,,,550.0,15.0,https://pypi.org/project/catboost,2024-09-07 16:51:57.000,535.0,3811033.0,3851390.0,https://anaconda.org/conda-forge/catboost,2024-09-07 21:05:39.027,1792328.0,,,,,2.0,328798.0,,,,,,,,,,,,,,,,,,,,
33,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-12-04 02:05:33.000000,2024-12-04 02:05:31,3605.0,39.0,3834.0,434.0,3295.0,375.0,3079.0,16749.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",320.0,42,True,2024-07-26 14:38:57.000,4.5.0,38.0,lightgbm,conda-forge/lightgbm,,,,41978.0,40901.0,https://pypi.org/project/lightgbm,2024-07-26 14:38:57.000,1077.0,11236800.0,11296256.0,https://anaconda.org/conda-forge/lightgbm,2024-10-10 08:17:38.424,2898866.0,,,,,2.0,240725.0,,,,,,,,,,,,,,,,,,,,
34,yfinance,ranaroussi/yfinance,financial-data,,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000,2024-11-23 19:57:22.000000,2024-11-19 21:41:42,1371.0,76.0,2449.0,241.0,634.0,190.0,1214.0,15017.0,Download market data from Yahoo! Finances API.,127.0,42,True,2024-11-19 21:44:10.000,0.2.50,122.0,yfinance,ranaroussi/yfinance,,,,53743.0,53035.0,https://pypi.org/project/yfinance,2024-11-19 21:44:10.000,708.0,3897412.0,3899785.0,https://anaconda.org/ranaroussi/yfinance,2023-06-16 19:26:44.442,97328.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
35,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-12-05 10:24:55.000000,2024-12-05 10:24:55,8423.0,110.0,1718.0,213.0,6073.0,1101.0,4313.0,12658.0,Parallel computing with task scheduling.,613.0,42,True,2024-12-03 22:42:53.000,2024.12.0,213.0,dask,conda-forge/dask,,,,69995.0,67472.0,https://pypi.org/project/dask,2024-12-03 22:42:53.000,2523.0,,224025.0,https://anaconda.org/conda-forge/dask,2024-12-04 03:07:03.414,12321379.0,,,,,1.0,,,,,,,,stable/dask,,,,,,,,,,,,,
36,wandb client,wandb/client,ml-experiments,,https://github.com/wandb/wandb,https://github.com/wandb/wandb,MIT,2017-03-24 05:46:23.000,2024-12-05 14:39:06.000000,2024-12-05 10:00:52,7399.0,484.0,675.0,61.0,5593.0,601.0,2817.0,9217.0,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation..",199.0,42,True,2024-12-05 03:02:58.000,0.19.0,295.0,wandb,conda-forge/wandb,,,,61431.0,59890.0,https://pypi.org/project/wandb,2024-12-05 02:38:17.000,1541.0,18733797.0,18748442.0,https://anaconda.org/conda-forge/wandb,2024-11-14 21:50:04.093,775807.0,,,,,1.0,378.0,wandb/wandb,,,,,,,,,,,,,,,,,,,
37,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2024-12-04 06:26:57.000000,2024-12-04 06:26:57,6368.0,90.0,7849.0,443.0,3174.0,169.0,9250.0,44805.0,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages..",266.0,41,True,2024-10-22 05:57:58.000,2.9.1,48.0,paddleocr,,,,['paddle'],3897.0,3789.0,https://pypi.org/project/paddleocr,2024-10-22 05:57:58.000,108.0,371583.0,387349.0,,,,,,,,1.0,804102.0,,,,,,,,,,,,,,,,,,,,
