,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-06-22 13:18:51.000000,2023-06-22 01:09:04,47458,678.0,6746.0,587.0,16591.0,1276.0,8276.0,17582.0,matplotlib: plotting with Python.,1529.0,48,True,2023-03-04 07:19:11.000,3.7.1,73.0,matplotlib,conda-forge/matplotlib,,,,871832.0,871832.0,https://pypi.org/project/matplotlib,31746416.0,31953925.0,https://anaconda.org/conda-forge/matplotlib,2023-06-16 13:05:49.794,19298384.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-06-22 13:31:03.000000,2023-06-22 09:44:50,14939,342.0,1885.0,220.0,4291.0,83.0,2731.0,10917.0,Python Imaging Library (Fork).,438.0,47,True,2023-04-01 09:33:34.000,9.5.0,50.0,Pillow,conda-forge/pillow,,,,1226123.0,1226123.0,https://pypi.org/project/Pillow,54015718.0,54360544.0,https://anaconda.org/conda-forge/pillow,2023-06-16 13:16:20.418,29655037.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-06-22 12:50:55.000000,2023-06-21 12:33:38,54342,488.0,3975.0,290.0,12432.0,4752.0,8407.0,10880.0,A computer algebra system written in pure Python.,1226.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,72014.0,67554.0,https://pypi.org/project/sympy,9288049.0,9335298.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,3656080.0,,,,,1.0,504207.0,2022-08-30 17:34:08.040,4460.0,,,,,,,,,,,,,,,,
13,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-06-22 14:02:57.000000,2023-06-22 13:04:22,61397,3376.0,18020.0,1653.0,69156.0,11249.0,23385.0,68054.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4130.0,45,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,10853448.0,11652493.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,16775188.0,,,,,1.0,18429.0,,,-6.0,,,,,,,,,,,,,,,
14,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-06-22 13:38:47.000000,2023-06-22 13:38:36,37131,880.0,26998.0,2040.0,41668.0,272.0,,36036.0,Apache Spark Python API.,2889.0,45,True,2023-04-13 18:49:07.812,3.4.0,36.0,pyspark,conda-forge/pyspark,,,['spark'],1033.0,,https://pypi.org/project/pyspark,25228741.0,25263728.0,https://anaconda.org/conda-forge/pyspark,2023-06-16 13:22:52.467,2624041.0,,,,,1.0,,2022-11-28 18:27:04.218,1033.0,7.0,stable/spark,,,,,,,,,,,,,,
15,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-06-20 20:54:28.000000,2023-06-14 18:51:01,15069,123.0,2536.0,275.0,3782.0,2460.0,2676.0,8599.0,Statsmodels: statistical modeling and econometrics in Python.,414.0,45,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,96077.0,96077.0,https://pypi.org/project/statsmodels,11348537.0,11470591.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,10252587.0,,,,,1.0,28.0,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-06-22 13:39:12.000000,2023-06-21 13:34:28,15939,77.0,4134.0,552.0,3776.0,105.0,5351.0,26422.0,Industrial-strength Natural Language Processing (NLP) in Python.,728.0,44,True,2023-05-25 11:16:21.000,3.2.6,217.0,spacy,conda-forge/spacy,,,,65530.0,62848.0,https://pypi.org/project/spacy,5308955.0,5349706.0,https://anaconda.org/conda-forge/spacy,2023-06-16 13:23:26.389,3097121.0,,,,,1.0,,2022-04-05 12:33:50.000,2682.0,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-06-22 13:54:20.000000,2023-06-22 12:38:55,17875,1338.0,4907.0,450.0,22142.0,2972.0,11582.0,26262.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,873.0,44,True,2023-06-21 18:09:41.000,ray-2.5.1,85.0,ray,conda-forge/ray-tune,,,,10563.0,10211.0,https://pypi.org/project/ray,2099328.0,2103958.0,https://anaconda.org/conda-forge/ray-tune,2023-06-21 15:09:11.978,138878.0,,,,,1.0,84.0,2018-08-29 01:05:25.000,352.0,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-06-22 13:09:38.000000,2023-06-22 12:22:53,16523,1104.0,2128.0,310.0,10242.0,1149.0,3129.0,23579.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",552.0,44,True,2023-06-08 23:51:45.000,jax-v0.4.12,75.0,jax,conda-forge/jaxlib,,,,14274.0,14274.0,https://pypi.org/project/jax,4438160.0,4455139.0,https://anaconda.org/conda-forge/jaxlib,2023-06-10 19:55:47.558,798029.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-06-22 12:05:28.000000,2023-06-19 16:35:16,20145,87.0,4112.0,449.0,5739.0,741.0,6617.0,17686.0,"Interactive Data Visualization in the browser, from Python.",660.0,44,True,2023-06-21 19:11:28.440,3.2.0,170.0,bokeh,conda-forge/bokeh,,,,74849.0,71181.0,https://pypi.org/project/bokeh,3290023.0,3446956.0,https://anaconda.org/conda-forge/bokeh,2023-06-16 13:23:47.229,11613060.0,,,,,1.0,,2022-12-20 09:06:57.840,3668.0,,,,,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-06-22 13:24:40.000000,2023-06-22 07:28:52,4198,352.0,3395.0,291.0,5694.0,1119.0,1980.0,14633.0,Open source platform for the machine learning lifecycle.,591.0,44,True,2023-06-10 01:41:14.675,2.4.1,77.0,mlflow,conda-forge/mlflow,,,,21006.0,20571.0,https://pypi.org/project/mlflow,10798828.0,10825783.0,https://anaconda.org/conda-forge/mlflow,2023-06-10 05:41:45.868,1347757.0,,,,,1.0,,2020-03-03 02:08:10.000,435.0,,,,,,,,,,,,,,,,
21,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-06-22 12:03:14.000000,2023-06-17 18:23:55,7313,88.0,2927.0,279.0,3315.0,385.0,2803.0,12781.0,Network Analysis in Python.,653.0,44,True,2023-04-04 20:05:38.000,networkx-3.1,89.0,networkx,conda-forge/networkx,,,,180457.0,166292.0,https://pypi.org/project/networkx,26034927.0,26184807.0,https://anaconda.org/conda-forge/networkx,2023-06-16 13:18:51.990,11990457.0,,,,,1.0,65.0,2022-06-14 04:04:30.000,14165.0,,,,,,,,,,,,,,,,
22,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-06-22 03:54:41.000000,2023-06-21 22:43:11,6411,135.0,8058.0,913.0,4477.0,318.0,4517.0,24289.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",611.0,43,True,2023-06-19 01:38:37.000,1.7.6,51.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,59451.0,59451.0,https://pypi.org/project/xgboost,9000849.0,9054056.0,https://anaconda.org/conda-forge/xgboost,2023-06-02 10:01:13.176,3986094.0,,,,,2.0,6713.0,,,,,,,,,,,,,,,,,,
23,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-06-22 08:49:04.000000,2023-06-20 16:08:46,3285,56.0,3613.0,444.0,2914.0,261.0,2748.0,15085.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",284.0,43,True,2023-01-24 03:15:36.000,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,22805.0,22805.0,https://pypi.org/project/lightgbm,5717741.0,5745672.0,https://anaconda.org/conda-forge/lightgbm,2023-06-16 13:25:28.690,1797870.0,,,,,2.0,193134.0,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-06-22 12:55:46.000000,2023-06-22 12:55:45,7797,153.0,1626.0,214.0,5367.0,927.0,4000.0,11129.0,Parallel computing with task scheduling.,581.0,43,True,2023-06-09 16:46:06.943,2023.6.0,172.0,dask,conda-forge/dask,,,,53071.0,50238.0,https://pypi.org/project/dask,8044386.0,8152889.0,https://anaconda.org/conda-forge/dask,2023-06-09 18:25:24.931,9222836.0,,,,,1.0,,2016-08-18 12:21:05.000,2833.0,,stable/dask,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-06-21 22:41:23.000000,2023-06-21 02:25:59,5532,118.0,1597.0,191.0,4647.0,637.0,1196.0,6280.0,TensorFlows Visualization Toolkit.,301.0,43,True,2023-05-04 23:06:01.343,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],177155.0,174499.0,https://pypi.org/project/tensorboard,18819542.0,18880230.0,https://anaconda.org/conda-forge/tensorboard,2023-06-16 13:24:55.263,4066161.0,,,,,1.0,,2023-01-13 22:24:05.115,2656.0,,,,,,,,,,,,,,,,
26,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-06-21 23:32:27.000000,2023-06-20 15:33:22,8279,358.0,18463.0,1912.0,6458.0,297.0,11454.0,58636.0,Deep Learning for humans.,1190.0,42,True,2023-03-21 20:12:17.000,2.12.0,48.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,9757656.0,9795575.0,https://anaconda.org/conda-forge/keras,2023-06-16 13:24:44.459,3109429.0,,,,,2.0,,,,-4.0,,,,,,,,,,,,,,,
27,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-06-22 09:56:59.000000,2023-06-22 09:56:44,42249,1504.0,5202.0,729.0,37824.0,2012.0,15802.0,20434.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1044.0,42,True,2023-05-08 08:33:39.000,2.4.2,63.0,paddlepaddle,,,,['paddle'],335.0,262.0,https://pypi.org/project/paddlepaddle,130617.0,130804.0,,,,,,,,2.0,15355.0,2023-02-17 11:58:01.010,73.0,,,,,,,,,,,,,,,,
28,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-06-22 14:01:34.000000,2023-06-22 11:01:51,3537,106.0,6719.0,387.0,4810.0,910.0,2147.0,14150.0,"Datasets, Transforms and Models specific to Computer Vision.",538.0,42,True,2023-05-08 20:12:27.000,0.15.2,37.0,torchvision,conda-forge/torchvision,,,['pytorch'],4250.0,,https://pypi.org/project/torchvision,6942666.0,6953890.0,https://anaconda.org/conda-forge/torchvision,2023-06-02 10:31:02.417,717222.0,,,,,1.0,26422.0,2018-04-24 19:12:00.028,4250.0,6.0,,,,,,,,,,,,,,,
29,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-06-21 19:47:02.000000,2023-06-16 03:26:24,6014,181.0,2366.0,279.0,1516.0,1371.0,1334.0,13659.0,The interactive graphing library for Python This project now includes Plotly Express!.,231.0,42,True,2023-06-08 16:08:55.000,5.15.0,290.0,plotly,conda-forge/plotly,,,,4770.0,,https://pypi.org/project/plotly,8826900.0,8912965.0,https://anaconda.org/conda-forge/plotly,2023-06-08 23:46:03.363,4373842.0,,,,,1.0,,2023-01-23 19:05:16.751,4764.0,6.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,6.0,32726.0,,,,,,,,,
30,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-06-22 13:38:27.000000,2023-06-22 13:38:22,4456,50.0,1997.0,1707.0,4269.0,232.0,2486.0,10978.0,WebGL2 powered visualization framework.,228.0,42,True,2023-06-14 19:00:53.647,8.9.19,600.0,pydeck,conda-forge/pydeck,,,['jupyter'],6596.0,6109.0,https://pypi.org/project/pydeck,1400379.0,1866389.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,394436.0,,,,,1.0,,2021-10-25 17:38:40.000,35.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-06-14 19:00:53.647,452.0,456150.0,,,,,,,,,
31,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-06-20 00:53:31.000000,2023-06-20 00:52:44,3150,25.0,1654.0,257.0,1007.0,119.0,2212.0,10835.0,Statistical data visualization in Python.,197.0,42,True,2022-12-30 19:12:05.000,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,273029.0,273029.0,https://pypi.org/project/seaborn,9655621.0,9739501.0,https://anaconda.org/conda-forge/seaborn,2023-06-16 13:21:42.625,6878072.0,,,,,1.0,249.0,,,,,,,,,,,,,,,,,,
32,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-06-18 20:59:04.000000,2023-06-18 20:59:03,3513,67.0,699.0,150.0,1213.0,175.0,1629.0,8321.0,Declarative statistical visualization library for Python.,156.0,42,True,2023-05-26 21:55:53.000,5.0.1,23.0,altair,conda-forge/altair,,,,61296.0,61296.0,https://pypi.org/project/altair,12089072.0,12111460.0,https://anaconda.org/conda-forge/altair,2023-06-16 13:24:26.672,1858239.0,,,,,1.0,62.0,,,,,,,,,,,,,,,,,,
33,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-06-22 06:39:52.000000,2023-06-14 19:48:55,13596,118.0,2159.0,187.0,4177.0,696.0,1977.0,5455.0,Image processing in Python.,619.0,42,False,2023-06-02 05:03:22.000,0.21.0,57.0,scikit-image,conda-forge/scikit-image,,,,155087.0,145210.0,https://pypi.org/project/scikit-image,7249408.0,7310637.0,https://anaconda.org/conda-forge/scikit-image,2023-06-16 13:16:26.659,5204481.0,,,,,1.0,,2022-06-12 18:11:12.000,9877.0,,,,,,,,,,,,,,,,
34,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-06-22 14:34:47.000000,2023-06-22 14:32:48,5277,358.0,1246.0,129.0,1969.0,344.0,1959.0,18996.0,"Wrap UIs around any model, share with anyone.",172.0,41,True,2023-06-15 22:03:01.000,3.35.2,100.0,gradio,,,,,8702.0,8702.0,https://pypi.org/project/gradio,3253280.0,3253280.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
35,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-06-22 14:13:54.000000,2023-06-22 12:47:31,32109,613.0,4364.0,349.0,5867.0,126.0,6642.0,16586.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",582.0,41,True,2023-06-14 15:13:00.803,3.6.0,326.0,rasa,,,,['tensorflow'],3521.0,3456.0,https://pypi.org/project/rasa,135991.0,135991.0,,,,,,,,1.0,,2022-07-06 04:02:56.000,65.0,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-06-22 00:36:13.000000,2023-06-21 01:10:29,2402,142.0,3548.0,433.0,2802.0,388.0,2069.0,14993.0,Open standard for machine learning interoperability.,284.0,41,True,2023-05-05 16:35:02.000,1.14.0,29.0,onnx,conda-forge/onnx,,,,16694.0,16188.0,https://pypi.org/project/onnx,2946946.0,2958546.0,https://anaconda.org/conda-forge/onnx,2023-06-11 11:01:40.854,758570.0,,,,,1.0,18977.0,2022-06-18 02:36:59.000,506.0,,,,,,,,,,,,,,,,
37,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-06-16 13:20:53.756000,2023-06-02 02:45:47,14445,7.0,2620.0,468.0,1421.0,237.0,1482.0,12057.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,441.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,202328.0,202328.0,https://pypi.org/project/nltk,10843188.0,10868076.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2040866.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
38,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-06-22 13:21:35.000000,2023-06-22 13:21:34,8820,235.0,1063.0,135.0,4997.0,573.0,3772.0,11671.0,Data Version Control | Git for Data & Models | ML Experiments Management.,283.0,41,True,2023-06-18 22:21:41.000,3.1.0,436.0,dvc,conda-forge/dvc,,,,8025.0,7964.0,https://pypi.org/project/dvc,651971.0,701488.0,https://anaconda.org/conda-forge/dvc,2023-06-20 13:41:08.308,1593937.0,,,,,1.0,110070.0,2018-05-17 17:05:03.000,61.0,,,,,,,,dvc,dvc,dvc,,,,,,
39,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-06-22 06:51:43.000000,2023-06-21 22:00:34,5568,187.0,2254.0,294.0,3430.0,644.0,2729.0,25495.0,Streamlit A faster way to build and share data apps.,185.0,40,True,2023-06-02 01:10:02.485,1.23.1,201.0,streamlit,,,,,1637.0,811.0,https://pypi.org/project/streamlit,1840142.0,1840142.0,,,,,,,,1.0,,2022-06-02 17:45:51.000,826.0,,,,,,,,,,,,,,,,
