,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-04-27 14:07:54.000000,2023-04-27 06:24:57,29988.0,535.0,4696,348.0,9353.0,1675.0,7634.0,11157,"Ecosystem of open-source software for mathematics, science, and engineering.",1455.0,49,True,2023-02-19 21:46:42.000,1.10.1,89.0,scipy,conda-forge/scipy,,,,775188.0,713061.0,https://pypi.org/project/scipy,2023-01-03 22:36:58.305,62127.0,55262522.0,55702990.0,https://anaconda.org/conda-forge/scipy,2023-04-18 11:58:20.745,36228221.0,,,,,1.0,370515.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-04-27 11:44:42.000000,2023-04-27 11:16:23,47054.0,864.0,6673,589.0,16317.0,1392.0,8047.0,17278,matplotlib: plotting with Python.,1500.0,48,True,2023-03-04 07:19:11.000,3.7.1,73.0,matplotlib,conda-forge/matplotlib,,,,808114.0,808114.0,https://pypi.org/project/matplotlib,,,33327518.0,33521954.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,17693760.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-04-27 07:02:12.000000,2023-04-27 07:02:11,14754.0,426.0,1866,220.0,4233.0,83.0,2687.0,10765,Python Imaging Library (Fork).,435.0,47,True,2023-04-01 09:33:34.000,9.5.0,50.0,Pillow,conda-forge/pillow,,,,1130234.0,1130234.0,https://pypi.org/project/Pillow,,,55214809.0,55536033.0,https://anaconda.org/conda-forge/pillow,2023-04-05 12:37:43.311,26982871.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-04-27 00:31:35.000000,2023-04-26 23:56:04,8110.0,398.0,19322,1920.0,6325.0,403.0,11414.0,58136,Deep Learning for humans.,1179.0,46,True,2023-03-21 20:12:17.000,2.12.0,76.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],568.0,,https://pypi.org/project/keras,2023-02-23 18:53:01.699,568.0,9795440.0,9832884.0,https://anaconda.org/conda-forge/keras,2023-03-25 02:52:58.755,2995540.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-04-27 08:59:15.000000,2023-04-25 22:29:19,54027.0,831.0,3923,290.0,12336.0,4709.0,8371.0,10625,A computer algebra system written in pure Python.,1217.0,46,True,2022-08-30 17:34:08.040,1.11.1,49.0,sympy,conda-forge/sympy,,,,63765.0,59267.0,https://pypi.org/project/sympy,2022-08-30 17:34:08.040,4498.0,7551226.0,7594955.0,https://anaconda.org/conda-forge/sympy,2023-03-20 20:07:58.909,3276639.0,,,,,1.0,497524.0,,,,,,,,,,,,,,,,,,,
15,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-04-26 12:05:26.000000,2023-04-26 12:02:22,15018.0,124.0,2509,275.0,3752.0,2424.0,2663.0,8418,Statsmodels: statistical modeling and econometrics in Python.,412.0,45,True,2022-11-02 16:51:52.000,0.13.5,24.0,statsmodels,conda-forge/statsmodels,,,,90470.0,90470.0,https://pypi.org/project/statsmodels,,,9590656.0,9706971.0,https://anaconda.org/conda-forge/statsmodels,2022-11-04 18:55:06.900,9537858.0,,,,,1.0,27.0,,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-04-27 13:27:13.000000,2023-04-27 13:27:13,15891.0,76.0,4075,550.0,3716.0,106.0,5323.0,25953,Industrial-strength Natural Language Processing (NLP) in Python.,724.0,44,True,2023-04-12 07:50:01.000,3.5.2,213.0,spacy,conda-forge/spacy,,,,60844.0,58156.0,https://pypi.org/project/spacy,2023-01-20 09:51:09.566,2688.0,4908159.0,4948971.0,https://anaconda.org/conda-forge/spacy,2023-04-18 13:03:09.405,3020147.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-04-27 14:14:29.000000,2023-04-27 14:14:28,17040.0,1241.0,4392,450.0,20903.0,2746.0,11150.0,25293,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,852.0,44,True,2023-04-25 17:27:57.000,ray-2.4.0,83.0,ray,conda-forge/ray-tune,,,,9659.0,9178.0,https://pypi.org/project/ray,2023-02-24 06:15:04.778,481.0,2366629.0,2370856.0,https://anaconda.org/conda-forge/ray-tune,2023-02-26 10:20:09.550,118380.0,,,,,1.0,60.0,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-04-27 12:55:33.000000,2023-04-27 11:29:03,6325.0,159.0,8568,917.0,4313.0,364.0,4471.0,24069,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",603.0,44,True,2023-03-30 19:47:07.654,1.7.5,73.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,55375.0,53791.0,https://pypi.org/project/xgboost,2023-01-06 19:21:10.487,1584.0,8526726.0,8579283.0,https://anaconda.org/conda-forge/xgboost,2023-03-17 07:46:42.740,3832469.0,,,,,1.0,6385.0,,,,,,,,,,,,,,,,,,,
19,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-04-27 14:12:10.000000,2023-04-27 00:19:05,15895.0,1323.0,2051,308.0,9753.0,1117.0,3001.0,22893,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",532.0,44,True,2023-03-29 21:23:10.000,jax-v0.4.8,67.0,jax,conda-forge/jaxlib,,,,10701.0,10701.0,https://pypi.org/project/jax,,,4198431.0,4214046.0,https://anaconda.org/conda-forge/jaxlib,2023-04-26 20:52:50.319,702690.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-04-22 06:20:41.000000,2023-03-13 06:42:52,14438.0,12.0,2694,467.0,1413.0,229.0,1477.0,11864,Suite of libraries and programs for symbolic and statistical natural language processing for English.,439.0,44,True,2023-01-02 22:02:43.849,3.8.1,52.0,nltk,conda-forge/nltk,,,,201654.0,189302.0,https://pypi.org/project/nltk,2023-01-02 22:02:43.849,12352.0,9773927.0,9797925.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,1919919.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-04-27 01:31:18.000000,2023-04-26 00:57:23,3255.0,89.0,3593,443.0,2884.0,248.0,2715.0,14907,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",281.0,43,True,2023-01-24 03:15:36.000,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,20919.0,20919.0,https://pypi.org/project/lightgbm,,,5651806.0,5678596.0,https://anaconda.org/conda-forge/lightgbm,2023-01-24 13:04:34.282,1668885.0,,,,,2.0,187558.0,,,,,,,,,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-04-27 13:46:04.000000,2023-04-27 13:46:04,7705.0,182.0,1610,213.0,5276.0,931.0,3963.0,10939,Parallel computing with task scheduling.,580.0,43,True,2023-04-14 18:45:36.792,2023.4.0,168.0,dask,conda-forge/dask,,,,51205.0,48094.0,https://pypi.org/project/dask,2023-03-01 21:19:05.337,3111.0,6861055.0,6965103.0,https://anaconda.org/conda-forge/dask,2023-04-15 00:14:02.841,8636039.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-04-27 00:47:44.000000,2023-04-27 00:47:43,3136.0,27.0,1646,256.0,993.0,112.0,2189.0,10645,Statistical data visualization in Python.,193.0,43,True,2022-12-30 19:12:05.000,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,249059.0,249059.0,https://pypi.org/project/seaborn,,,8896513.0,8977728.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,6497042.0,,,,,1.0,242.0,,,,,,,,,,,,,,,,,,,
24,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-04-27 07:48:51.000000,2023-04-26 17:13:09,5464.0,120.0,1591,190.0,4568.0,635.0,1180.0,6212,TensorFlows Visualization Toolkit.,298.0,43,True,2023-04-19 13:42:39.000,2.12.2,50.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],163890.0,161229.0,https://pypi.org/project/tensorboard,2023-01-13 22:24:05.115,2661.0,17754740.0,17814715.0,https://anaconda.org/conda-forge/tensorboard,2023-04-13 21:56:19.131,3898409.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-04-27 14:13:21.000000,2023-04-27 12:37:33,9180.0,536.0,2852,229.0,8816.0,653.0,5462.0,22586,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",861.0,42,True,2023-04-24 14:51:08.481,2.0.2,249.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],617.0,,https://pypi.org/project/pytorch-lightning,2023-01-18 02:35:00.780,617.0,4381261.0,4404540.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-04-24 18:49:45.463,777548.0,,,,,2.0,11491.0,,,,,,,,,,,,,,,,,,,
26,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-04-27 14:12:55.000000,2023-04-27 14:09:44,41523.0,1900.0,4973,727.0,36703.0,1013.0,15546.0,20150,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1020.0,42,True,2022-12-13 09:22:18.000,2.4.1,58.0,paddlepaddle,,,,['paddle'],224.0,224.0,https://pypi.org/project/paddlepaddle,,,143870.0,144061.0,,,,,,,,2.0,15350.0,,,,,,,,,,,,,,,,,,,
27,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-04-27 11:31:15.000000,2023-04-21 19:18:54,3455.0,184.0,6652,387.0,4711.0,918.0,2094.0,13842,"Datasets, Transforms and Models specific to Computer Vision.",525.0,42,True,2023-03-15 19:37:56.000,0.15.1,36.0,torchvision,conda-forge/torchvision,,,['pytorch'],4254.0,,https://pypi.org/project/torchvision,2022-12-15 20:19:32.655,4254.0,5461398.0,5471580.0,https://anaconda.org/conda-forge/torchvision,2023-03-09 00:59:08.061,630971.0,,,,,1.0,23372.0,,,,,,,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-04-26 18:53:00.000000,2023-04-25 23:57:12,7265.0,96.0,2803,279.0,3266.0,187.0,2780.0,12570,Network Analysis in Python.,649.0,42,False,2023-04-04 20:05:38.000,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,152725.0,152725.0,https://pypi.org/project/networkx,,,24887802.0,25030156.0,https://anaconda.org/conda-forge/networkx,2023-04-05 11:11:39.426,11103647.0,,,,,1.0,64.0,,,,,,,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-04-26 22:38:02.000000,2023-04-26 16:10:34,4430.0,130.0,1972,1715.0,4232.0,212.0,2462.0,10815,WebGL2 powered visualization framework.,224.0,42,True,2023-04-26 16:46:47.865,8.9.11,591.0,pydeck,conda-forge/pydeck,,,['jupyter'],6217.0,5738.0,https://pypi.org/project/pydeck,2022-11-04 14:23:59.154,38.0,1210756.0,1739438.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,342163.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-04-26 16:46:47.865,441.0,519678.0,,,,,,,,,,,,,
30,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-04-27 14:04:09.000000,2023-04-26 18:44:34,13518.0,145.0,2053,187.0,4087.0,471.0,1964.0,5374,Image processing in Python.,611.0,42,False,2023-02-28 23:32:35.000,0.20.0,21.0,scikit-image,conda-forge/scikit-image,,,,137298.0,137298.0,https://pypi.org/project/scikit-image,,,7277212.0,7336687.0,https://anaconda.org/conda-forge/scikit-image,2023-04-12 19:50:08.062,4936469.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-04-27 14:40:12.000000,2023-04-27 08:55:44,5469.0,238.0,2134,288.0,3264.0,647.0,2591.0,24212,Streamlit A faster way to build and share data apps.,176.0,41,True,2023-04-06 19:00:03.773,1.21.0,198.0,streamlit,,,,,1468.0,704.0,https://pypi.org/project/streamlit,2023-03-09 21:00:47.459,764.0,1590667.0,1590667.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-04-27 14:08:00.000000,2023-04-26 20:13:33,6782.0,218.0,1868,407.0,933.0,735.0,792.0,18568,Data Apps & Dashboards for Python. No JavaScript Required.,135.0,41,True,2023-04-13 17:42:40.000,2.9.3,163.0,dash,conda-forge/dash,,,,46478.0,45121.0,https://pypi.org/project/dash,2023-01-30 17:00:04.941,1357.0,1607360.0,1623000.0,https://anaconda.org/conda-forge/dash,2023-04-14 05:50:33.991,922787.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
33,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-04-27 14:07:08.000000,2023-04-26 22:38:46,5026.0,301.0,1074,119.0,1678.0,320.0,1687.0,16596,"Wrap UIs around any model, share with anyone.",151.0,41,True,2023-04-15 03:35:31.767,3.27.0,459.0,gradio,,,,,5921.0,5836.0,https://pypi.org/project/gradio,2023-02-20 00:20:01.258,85.0,3592722.0,3592722.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-04-27 13:47:19.000000,2023-04-26 12:19:01,31699.0,598.0,4165,347.0,5667.0,1.0,6640.0,16043,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",581.0,41,True,2023-04-20 13:16:34.000,3.3.9,100.0,rasa,,,,['tensorflow'],3238.0,3238.0,https://pypi.org/project/rasa,,,149011.0,149011.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
35,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-04-26 22:01:38.000000,2023-04-26 16:57:47,2330.0,178.0,3485,432.0,2720.0,390.0,1996.0,14601,Open standard for machine learning interoperability.,274.0,41,True,2023-02-22 18:47:36.000,1.13.1,28.0,onnx,conda-forge/onnx,,,,15008.0,14490.0,https://pypi.org/project/onnx,2022-12-12 13:26:02.139,518.0,2925344.0,2936462.0,https://anaconda.org/conda-forge/onnx,2023-03-21 10:27:00.271,704252.0,,,,,1.0,18756.0,,,,,,,,,,,,,,,,,,,
36,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-04-26 10:13:23.000000,2023-03-13 05:30:56,4444.0,17.0,4345,431.0,1664.0,396.0,1433.0,14263,Topic Modelling for Humans.,445.0,41,True,2023-03-10 06:20:03.685,4.3.1,92.0,gensim,conda-forge/gensim,,,,47642.0,44572.0,https://pypi.org/project/gensim,2022-12-21 00:21:03.066,3070.0,4155828.0,4171371.0,https://anaconda.org/conda-forge/gensim,2023-03-28 02:35:38.702,1038189.0,,,,,1.0,4294.0,,,,,,,,,,,,,,,,,,,
37,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-04-27 09:59:33.000000,2023-04-27 09:59:33,3959.0,285.0,3331,288.0,5323.0,1080.0,1944.0,14226,Open source platform for the machine learning lifecycle.,573.0,41,True,2023-04-18 23:58:13.000,2.3.0,73.0,mlflow,conda-forge/mlflow,,,,450.0,,https://pypi.org/project/mlflow,2023-03-14 04:24:03.737,450.0,10570001.0,10596432.0,https://anaconda.org/conda-forge/mlflow,2023-04-20 12:23:23.402,1268725.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
38,dlib,davisking/dlib,ml-frameworks,,https://github.com/davisking/dlib,https://github.com/davisking/dlib,BSL-1.0,2014-01-29 00:45:33.000,2023-04-25 19:22:19.000000,2023-04-22 13:19:58,8187.0,48.0,3199,472.0,643.0,38.0,2088.0,11909,A toolkit for making real world machine learning and data analysis applications in C++.,185.0,41,False,2023-03-23 01:44:00.937,19.24.1,33.0,dlib,conda-forge/dlib,,,,20025.0,19241.0,https://pypi.org/project/dlib,2022-05-08 14:40:14.000,784.0,207767.0,215162.0,https://anaconda.org/conda-forge/dlib,2023-03-24 02:36:47.638,563052.0,,,,,2.0,25230.0,,,,,,,,,,,,,,,,,,,
39,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-04-27 11:40:32.000000,2023-04-27 11:39:26,8660.0,313.0,1050,135.0,4823.0,592.0,3668.0,11424,Data Version Control | Git for Data & Models | ML Experiments Management.,282.0,41,True,2023-04-20 08:25:39.082,2.55.0,423.0,dvc,conda-forge/dvc,,,,7287.0,7196.0,https://pypi.org/project/dvc,2023-03-06 21:00:01.192,91.0,655552.0,694117.0,https://anaconda.org/conda-forge/dvc,2023-04-25 22:03:30.839,1501278.0,,,,,1.0,109302.0,,,,,,,dvc,dvc,dvc,,,,,,,,,,
