,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-01-18 12:47:28.000000,2024-01-18 12:47:28,17027.0,589.0,2156.0,223.0,4593.0,93.0,2917.0,11411.0,Python Imaging Library (Fork).,458.0,48,True,2024-01-02 09:38:41.000,10.2.0,95.0,Pillow,conda-forge/pillow,,,,70404056.0,1568318.0,1500720.0,https://pypi.org/project/Pillow,2023-10-15 13:01:25.000,67598.0,69556549.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,35595317.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-01-18 13:37:14.000000,2024-01-17 12:11:15,56929.0,421.0,4134.0,291.0,12875.0,4885.0,8621.0,11764.0,A computer algebra system written in pure Python.,1269.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,529127.0,9306440.0,110785.0,105922.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4863.0,9249242.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4875953.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-01-18 07:34:21.000000,2024-01-15 19:02:55,10224.0,360.0,18586.0,1912.0,6863.0,162.0,11369.0,60192.0,Deep Learning for humans.,1269.0,45,True,2023-12-21 19:22:48.000,3.0.2,56.0,keras,conda-forge/keras,https://keras.io,['tensorflow'],,12626020.0,21.0,21.0,https://pypi.org/project/keras,,,12547949.0,https://anaconda.org/conda-forge/keras,2023-12-23 16:24:50.607,3357059.0,1.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
13,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-01-18 14:00:36.000000,2024-01-18 11:55:14,39581.0,1064.0,28150.0,2032.0,44758.0,201.0,,37614.0,Apache Spark Python API.,2997.0,45,True,2023-12-16 00:30:15.000,3.3.4,42.0,pyspark,conda-forge/pyspark,,['spark'],,28286740.0,1259.0,,https://pypi.org/project/pyspark,2023-12-16 00:30:15.000,1259.0,28217680.0,https://anaconda.org/conda-forge/pyspark,2023-10-04 13:44:45.676,2969618.0,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,,,
14,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-01-18 07:20:53.000000,2024-01-18 03:43:49,19004.0,1023.0,2355.0,322.0,12144.0,1230.0,3626.0,26334.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",620.0,45,True,2023-12-14 07:26:26.000,jax-v0.4.23,93.0,jax,conda-forge/jaxlib,,,,4586990.0,21112.0,21112.0,https://pypi.org/project/jax,,,4563116.0,https://anaconda.org/conda-forge/jaxlib,2023-12-23 22:02:22.397,1026588.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
15,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-01-18 14:15:52.000000,2024-01-17 11:20:12,10064.0,242.0,3045.0,245.0,9841.0,652.0,6032.0,25684.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",922.0,45,True,2023-12-21 15:14:18.000,2.1.3,106.0,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],14007.0,4227677.0,28128.0,28128.0,https://pypi.org/project/pytorch-lightning,,,4203167.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-12-21 18:47:20.324,1036278.0,1.0,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-01-18 03:23:26.000000,2024-01-17 05:19:34,6725.0,123.0,8135.0,910.0,4936.0,345.0,4705.0,25222.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",634.0,45,True,2023-12-19 10:07:53.000,2.0.3,56.0,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,7991.0,11647154.0,78132.0,78132.0,https://pypi.org/project/xgboost,,,11539898.0,https://anaconda.org/conda-forge/xgboost,2023-12-20 14:38:41.532,4501976.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-01-18 14:06:16.000000,2024-01-18 13:10:46,46078.0,1791.0,5196.0,726.0,43080.0,1009.0,16641.0,21242.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1155.0,45,True,2024-01-08 06:43:49.000,2.6.0,61.0,paddlepaddle,,,['paddle'],15368.0,172996.0,4527.0,4527.0,https://pypi.org/project/paddlepaddle,,,172824.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-18 11:07:00.000000,2024-01-18 11:06:54,20360.0,84.0,4202.0,443.0,5948.0,761.0,6800.0,18495.0,"Interactive Data Visualization in the browser, from Python.",680.0,45,True,2024-01-08 19:07:44.000,3.3.3,190.0,bokeh,conda-forge/bokeh,,,,3633781.0,85743.0,81938.0,https://pypi.org/project/bokeh,2024-01-08 19:07:44.000,3805.0,3325025.0,https://anaconda.org/conda-forge/bokeh,2024-01-08 21:10:28.843,13276546.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-01-18 10:54:03.000000,2024-01-18 10:54:02,15247.0,132.0,2825.0,279.0,3840.0,2701.0,2731.0,9220.0,Statsmodels: statistical modeling and econometrics in Python.,422.0,45,True,2023-12-14 14:50:21.000,0.14.1,36.0,statsmodels,conda-forge/statsmodels,,,30.0,11932782.0,118057.0,112535.0,https://pypi.org/project/statsmodels,2023-12-14 14:50:21.000,5522.0,11651886.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12078570.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-01-17 09:21:22.000000,2024-01-02 09:03:06,16084.0,26.0,4354.0,557.0,3932.0,93.0,5451.0,28003.0,Industrial-strength Natural Language Processing (NLP) in Python.,746.0,44,True,2023-10-16 16:11:22.000,3.7.2,226.0,spacy,conda-forge/spacy,,,,5465041.0,81362.0,78421.0,https://pypi.org/project/spacy,2023-10-16 16:09:47.000,2941.0,5387968.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3314144.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-01-18 12:41:52.000000,2024-01-18 11:31:25,5230.0,405.0,3768.0,291.0,7269.0,1307.0,2296.0,16268.0,Open source platform for the machine learning lifecycle.,687.0,44,True,2023-12-14 15:34:34.000,2.9.2,87.0,mlflow,conda-forge/mlflow,,,,13684569.0,29412.0,28881.0,https://pypi.org/project/mlflow,2023-12-14 05:30:49.000,531.0,13644982.0,https://anaconda.org/conda-forge/mlflow,2023-12-14 16:11:35.887,1702272.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
22,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-01-18 08:38:08.000000,2024-01-18 08:38:08,7569.0,111.0,3095.0,274.0,3617.0,397.0,2940.0,13778.0,Network Analysis in Python.,705.0,44,True,2023-10-28 09:53:23.000,networkx-3.2.1,92.0,networkx,conda-forge/networkx,,,65.0,35412083.0,231560.0,216458.0,https://pypi.org/project/networkx,2023-10-28 08:41:36.000,15102.0,35058120.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14512487.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-01-13 15:46:08.000000,2024-01-13 15:46:08,3226.0,35.0,1865.0,259.0,1083.0,128.0,2340.0,11586.0,Statistical data visualization in Python.,210.0,44,True,2023-12-31 22:10:18.000,0.13.1,36.0,seaborn,conda-forge/seaborn,,,375.0,12301553.0,361890.0,350362.0,https://pypi.org/project/seaborn,2023-12-31 22:10:18.000,11528.0,12116870.0,https://anaconda.org/conda-forge/seaborn,2024-01-03 20:19:50.194,7941263.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
24,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-01-18 13:27:32.000000,2024-01-18 05:23:13,20405.0,844.0,5037.0,463.0,25856.0,3390.0,13296.0,29502.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,965.0,43,True,2023-12-21 00:32:08.000,ray-2.9.0,96.0,ray,conda-forge/ray-tune,,,187.0,2614999.0,13715.0,13255.0,https://pypi.org/project/ray,2023-12-21 00:27:32.000,460.0,2610093.0,https://anaconda.org/conda-forge/ray-tune,2024-01-15 14:57:28.754,181479.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
25,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-01-18 15:10:08.000000,2024-01-17 23:12:15,6117.0,314.0,1761.0,145.0,3163.0,435.0,3081.0,25652.0,"Wrap UIs around any model, share with anyone.",242.0,43,True,2023-08-23 23:33:20.000,3.41.0,100.0,gradio,,,,,4439467.0,21126.0,21126.0,https://pypi.org/project/gradio,,,4439467.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-01-17 18:56:58.000000,2024-01-16 23:52:26,2635.0,72.0,3622.0,438.0,3072.0,310.0,2323.0,16232.0,Open standard for machine learning interoperability.,305.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,19804.0,3759703.0,23548.0,22884.0,https://pypi.org/project/onnx,2023-10-26 18:30:51.000,664.0,3738390.0,https://anaconda.org/conda-forge/onnx,2023-11-07 18:53:33.533,905136.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-01-17 10:25:56.000000,2024-01-17 05:27:59,3412.0,50.0,3796.0,437.0,3061.0,342.0,2890.0,15802.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",295.0,43,True,2023-12-22 04:47:45.000,4.2.0,35.0,lightgbm,conda-forge/lightgbm,,,211202.0,6349945.0,29710.0,28840.0,https://pypi.org/project/lightgbm,2023-12-22 04:47:45.000,870.0,6293357.0,https://anaconda.org/conda-forge/lightgbm,2023-12-22 13:12:54.633,2159259.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
28,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-01-17 22:35:00.000000,2023-12-21 22:10:00,6257.0,35.0,2409.0,280.0,1587.0,1408.0,1372.0,14706.0,The interactive graphing library for Python This project now includes Plotly Express!.,252.0,43,True,2023-10-25 19:52:56.000,5.18.0,294.0,plotly,conda-forge/plotly,,,,10285562.0,237580.0,232042.0,https://pypi.org/project/plotly,2023-10-25 19:43:41.000,5531.0,10146540.0,https://anaconda.org/conda-forge/plotly,2023-10-25 22:33:48.925,5168358.0,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,7.0,21560.0,,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-01-18 14:39:14.000000,2024-01-18 14:39:14,8017.0,124.0,1665.0,213.0,5640.0,1031.0,4084.0,11703.0,Parallel computing with task scheduling.,592.0,43,True,2024-01-12 21:50:35.000,2024.1.0,187.0,dask,conda-forge/dask,,,,5891682.0,59470.0,56360.0,https://pypi.org/project/dask,2024-01-12 21:50:35.000,3110.0,5649972.0,https://anaconda.org/conda-forge/dask,2024-01-13 01:04:10.654,10635275.0,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,,
30,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-01-17 23:59:19.000000,2024-01-17 17:09:20,5742.0,53.0,1634.0,193.0,4887.0,648.0,1221.0,6454.0,TensorFlows Visualization Toolkit.,312.0,43,True,2023-11-02 20:49:50.000,2.15.1,56.0,tensorboard,conda-forge/tensorboard,,['tensorflow'],,20058057.0,213336.0,210428.0,https://pypi.org/project/tensorboard,2023-11-02 20:49:50.000,2908.0,19954022.0,https://anaconda.org/conda-forge/tensorboard,2023-11-03 15:31:12.158,4473543.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
31,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2024-01-18 12:49:30.000000,2024-01-18 10:16:59,3775.0,59.0,6855.0,398.0,5137.0,960.0,2304.0,15027.0,"Datasets, Transforms and Models specific to Computer Vision.",569.0,42,True,2023-12-15 02:04:19.000,0.16.2,40.0,torchvision,conda-forge/torchvision,,['pytorch'],36285.0,9960066.0,5005.0,21.0,https://pypi.org/project/torchvision,2023-12-14 21:49:42.000,4984.0,9931339.0,https://anaconda.org/conda-forge/torchvision,2023-12-13 18:56:48.112,961521.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
32,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-01-14 08:16:58.000000,2023-12-24 12:24:15,14508.0,42.0,2694.0,468.0,1447.0,248.0,1503.0,12709.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,452.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,11792781.0,245049.0,245049.0,https://pypi.org/project/nltk,,,11765930.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2389769.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-01-18 15:13:18.000000,2024-01-18 14:32:10,4625.0,88.0,2064.0,1693.0,4468.0,298.0,2577.0,11461.0,WebGL2 powered visualization framework.,243.0,42,True,2023-12-05 13:38:21.826,8.9.33,625.0,pydeck,conda-forge/pydeck,,['jupyter'],,2015829.0,7566.0,7022.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,56.0,1698301.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,470055.0,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-01-16 15:01:18.485,488.0,307527.0,,,,,,,,,,,,,,,
34,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-01-16 18:30:09.000000,2024-01-16 18:30:08,2124.0,77.0,4491.0,308.0,434.0,67.0,764.0,28432.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",128.0,41,True,2023-11-24 19:09:08.000,0.9.12,55.0,timm,conda-forge/timm,,['pytorch'],6072145.0,3825380.0,22076.0,21698.0,https://pypi.org/project/timm,2023-11-24 18:56:31.000,378.0,3714121.0,https://anaconda.org/conda-forge/timm,2023-11-25 15:42:55.281,118787.0,1.0,,,huggingface/pytorch-image-models,,,,,,,,,,,,,,,,,,,,
35,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2024-01-18 14:18:55.000000,2024-01-18 14:18:55,18902.0,678.0,2451.0,336.0,18597.0,674.0,9346.0,25157.0,"A cloud-native vector database, storage for next generation AI applications.",262.0,41,True,2024-01-17 12:27:12.000,2.3.5,100.0,pymilvus,,,,67200.0,569473.0,82.0,,https://pypi.org/project/pymilvus,2024-01-03 03:52:59.000,82.0,364590.0,,,,1.0,,,,,,,,,milvusdb/milvus,https://hub.docker.com/r/milvusdb/milvus,2024-01-18 13:10:49.289066,39.0,10385145.0,,,,,,,,,,
36,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2024-01-18 11:52:04.002000,2024-01-18 03:11:03,9152.0,116.0,1141.0,137.0,5338.0,521.0,4050.0,12782.0,ML Experiments Management with Git.,290.0,41,True,2024-01-18 03:13:48.000,3.40.0,506.0,dvc,conda-forge/dvc,,,45136.0,630024.0,12161.0,12068.0,https://pypi.org/project/dvc,2024-01-18 03:13:48.000,93.0,585539.0,https://anaconda.org/conda-forge/dvc,2024-01-18 11:52:04.002,1751174.0,1.0,,,,,,,,,,,,,,dvc,dvc,dvc,,,,,,,
37,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2024-01-16 18:13:51.000000,2024-01-09 19:28:45,3619.0,36.0,778.0,141.0,1318.0,175.0,1742.0,8664.0,Declarative statistical visualization library for Python.,160.0,41,True,2023-11-28 06:23:39.000,5.2.0,39.0,altair,conda-forge/altair,,,96.0,14736877.0,101512.0,100863.0,https://pypi.org/project/altair,2023-11-28 05:41:35.000,649.0,14651965.0,https://anaconda.org/conda-forge/altair,2023-12-05 00:22:25.208,2122783.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
38,Catboost,catboost/catboost,ml-frameworks,,https://github.com/catboost/catboost,https://github.com/catboost/catboost,Apache-2.0,2017-07-18 05:29:04.000,2024-01-18 13:58:04.000000,2024-01-18 13:58:00,47207.0,469.0,1139.0,197.0,377.0,525.0,1661.0,7548.0,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification,..",1194.0,41,True,2023-09-19 20:01:10.000,1.2.2,109.0,catboost,conda-forge/catboost,,,210801.0,1561865.0,367.0,12.0,https://pypi.org/project/catboost,2023-09-19 18:13:58.000,355.0,1521290.0,https://anaconda.org/conda-forge/catboost,2023-09-19 20:23:11.996,1436502.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
