,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,snap_id,apt_id,yum_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,new_addition,bitbucket_id
13,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-10-21 13:36:10.000000,2021-10-21 13:24:34.000000,24630,218.0,,31109.0,31478.0,Apache Spark Python API.,2553.0,37,True,2021-10-18 08:17:19.000000,3.2.0,27.0,pyspark,conda-forge/pyspark,,,['spark'],760.0,,https://pypi.org/project/pyspark,2021-10-18 08:17:19.000000,760.0,14123968.0,14147745.0,https://anaconda.org/conda-forge/pyspark,2021-10-18 11:47:59.356000,1307739.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-10-21 13:31:06.000000,2021-10-21 13:31:06.000000,3590,97.0,4809.0,21543.0,14886.0,Industrial-strength Natural Language Processing (NLP) in Python.,629.0,37,True,2021-09-20 12:06:22.000000,3.1.3,184.0,spacy,conda-forge/spacy,,,,33903.0,30837.0,https://pypi.org/project/spacy,2021-09-20 11:58:35.000000,3066.0,3067011.0,3109241.0,https://anaconda.org/conda-forge/spacy,2021-09-21 18:23:38.111000,2362032.0,,,,,1.0,3079.0,,,,,,,,,,,,,,,,,,,,,
15,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-10-21 14:00:51.000000,2021-10-21 13:30:53.000000,2031,179.0,654.0,8533.0,10189.0,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,742.0,37,True,2021-05-30 17:16:04.000000,4.0.1,33.0,pyarrow,conda-forge/arrow,,,,1041.0,55.0,https://pypi.org/project/pyarrow,2021-07-28 18:21:54.000000,986.0,38003614.0,38015914.0,https://anaconda.org/conda-forge/arrow,2021-10-04 15:53:12.541000,799513.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-10-21 15:14:32.000000,2021-10-21 11:30:23.000000,3476,4183.0,7602.0,8515.0,48881.0,A computer algebra system written in pure Python.,1103.0,37,True,2021-10-08 23:27:06.000000,sympy-1.9,39.0,sympy,conda-forge/sympy,,,,42649.0,36227.0,https://pypi.org/project/sympy,2021-10-08 23:29:29.000000,6422.0,1795465.0,1826438.0,https://anaconda.org/conda-forge/sympy,2021-10-09 04:32:03.313000,1727803.0,,,,,1.0,434905.0,,,,,,,,,,,,,,,,,,,,,
17,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-10-20 15:26:43.000000,2021-10-15 18:41:09.000000,1433,565.0,1030.0,5665.0,4826.0,TensorFlow's Visualization Toolkit.,271.0,37,True,2021-10-13 16:17:43.000000,2.7.0,39.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],85455.0,81841.0,https://pypi.org/project/tensorboard,2021-10-13 16:17:43.000000,3614.0,10816585.0,10870843.0,https://anaconda.org/conda-forge/tensorboard,2021-08-23 13:40:58.886000,2550148.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
18,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-10-20 12:31:23.000000,2021-10-17 01:37:34.000000,7268,99.0,1321.0,25496.0,1415.0,A toolkit for developing and comparing reinforcement learning algorithms.,320.0,36,True,2021-10-06 22:04:25.000000,0.21.0,96.0,gym,,,,,27265.0,23703.0,https://pypi.org/project/gym,2021-10-06 22:04:25.000000,3562.0,927013.0,927013.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
19,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-10-21 12:06:38.000000,2021-10-20 07:49:30.000000,3390,135.0,2290.0,13063.0,2716.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",240.0,36,True,2021-10-09 02:35:18.000000,3.3.0,26.0,lightgbm,conda-forge/lightgbm,,,,9986.0,9430.0,https://pypi.org/project/lightgbm,2021-10-09 02:35:18.000000,556.0,17764266.0,17781520.0,https://anaconda.org/conda-forge/lightgbm,2021-04-20 13:04:15.819000,764785.0,,,,,1.0,122009.0,,,,,,,,,,,,,,,,,,,,,
20,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-10-11 13:53:53.000000,2021-09-28 14:17:17.000000,4066,378.0,1351.0,12569.0,4263.0,Topic Modelling for Humans.,409.0,36,True,2021-09-18 14:21:47.000000,4.1.2,89.0,gensim,conda-forge/gensim,,,,32379.0,27637.0,https://pypi.org/project/gensim,2021-09-17 00:24:57.000000,4742.0,16415705.0,16430737.0,https://anaconda.org/conda-forge/gensim,2021-09-20 12:42:22.371000,734177.0,,,,,1.0,3500.0,,,,,,,,,,,,,,,,,,,,,
21,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-10-19 12:34:57.000000,2021-10-19 08:40:46.000000,1733,174.0,2155.0,9051.0,,The friendly PIL fork (Python Imaging Library).,372.0,36,True,2021-10-15 08:16:09.000000,8.4.0,84.0,Pillow,conda-forge/pillow,,,,690668.0,579242.0,https://pypi.org/project/Pillow,2021-10-15 08:10:15.000000,111426.0,35562115.0,35727896.0,https://anaconda.org/conda-forge/pillow,2021-09-03 19:46:04.672000,10941556.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
22,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-10-21 09:26:23.000000,2021-10-20 15:24:01.000000,425,232.0,1033.0,1598.0,3782.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,170.0,36,True,2021-10-20 16:21:45.000000,3.5.0,30.0,h5py,conda-forge/h5py,,,,158595.0,135659.0,https://pypi.org/project/h5py,2021-10-20 16:24:16.000000,22936.0,10301999.0,10397473.0,https://anaconda.org/conda-forge/h5py,2021-09-13 23:55:44.101000,6395035.0,,,,,2.0,1479.0,,,,,,,,,,,,,,,,,,,,,
23,pytorch-lightning,PyTorchLightning/pytorch-lightning,,ml-frameworks,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000000,2021-10-21 13:53:34.000000,2021-10-21 08:35:01.000000,1911,361.0,3707.0,15750.0,5859.0,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",555.0,35,True,2021-09-30 13:54:31.000000,1.4.9,191.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],5121.0,5107.0,https://pypi.org/project/pytorch-lightning,2021-10-11 19:56:31.000000,14.0,657293.0,677427.0,https://anaconda.org/conda-forge/pytorch-lightning,2021-09-30 16:57:36.670000,319522.0,,,,,1.0,4449.0,,,,,,,,,,,,,,,,,,,,,
24,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-10-21 13:19:08.000000,2021-10-21 08:38:41.000000,6063,1672.0,6578.0,14383.0,,matplotlib: plotting with Python.,1289.0,35,True,2021-08-13 03:27:23.000000,3.4.3,71.0,matplotlib,conda-forge/matplotlib,,,,524146.0,445042.0,https://pypi.org/project/matplotlib,2021-10-02 03:08:30.000000,79104.0,,138009.0,https://anaconda.org/conda-forge/matplotlib,2021-09-23 19:35:38.578000,10074692.0,,,,,1.0,,,-7.0,,,,,,,,,,,,,,,,,,,
25,onnx,onnx/onnx,,model-serialisation,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000000,2021-10-21 10:31:17.000000,2021-10-20 18:50:15.000000,2149,509.0,1235.0,11559.0,1841.0,Open standard for machine learning interoperability.,214.0,35,True,2021-08-02 20:22:19.000000,1.10.1,23.0,onnx,conda-forge/onnx,,,,4701.0,4405.0,https://pypi.org/project/onnx,2021-08-02 20:16:08.000000,296.0,1643331.0,1650019.0,https://anaconda.org/conda-forge/onnx,2021-09-26 18:58:23.318000,297668.0,,,,,1.0,17086.0,,,,,,,,,,,,,,,,,,,,,
26,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-10-20 16:06:36.000000,2021-10-20 06:21:07.000000,2513,220.0,1325.0,10187.0,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,407.0,35,True,2021-10-11 03:49:05.000000,3.6.5,45.0,nltk,conda-forge/nltk,,,,138837.0,117845.0,https://pypi.org/project/nltk,2021-10-11 03:49:05.000000,20992.0,9639430.0,9655052.0,https://anaconda.org/conda-forge/nltk,2021-10-11 12:28:19.966000,968604.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
27,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-10-21 13:48:44.000000,2021-10-21 13:24:28.000000,5187,518.0,1468.0,10053.0,1988.0,"Datasets, Transforms and Models specific to Computer Vision.",433.0,35,True,2021-09-27 04:40:36.000000,0.10.1,25.0,torchvision,conda-forge/torchvision,,,['pytorch'],4612.0,,https://pypi.org/project/torchvision,2021-09-20 22:49:49.000000,4612.0,2748318.0,2751160.0,https://anaconda.org/conda-forge/torchvision,2021-09-27 23:35:13.750000,130777.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
28,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-10-19 08:57:04.000000,2021-10-07 20:44:44.000000,315,332.0,373.0,2575.0,1383.0,Computing with Python functions.,106.0,35,True,2021-02-09 16:46:29.000000,1.0.1,102.0,joblib,conda-forge/joblib,,,,142891.0,136281.0,https://pypi.org/project/joblib,2021-10-07 14:42:42.000000,6610.0,32915958.0,33005662.0,https://anaconda.org/conda-forge/joblib,2021-10-07 20:15:36.705000,5651395.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
29,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-10-21 14:03:05.000000,2021-10-21 12:39:29.000000,22087,2432.0,7199.0,47641.0,,scikit-learn: machine learning in Python.,2369.0,34,True,2021-09-24 16:24:56.000000,1.0,57.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],313047.0,275159.0,https://pypi.org/project/scikit-learn,2021-09-24 13:20:04.000000,37888.0,,153723.0,https://anaconda.org/conda-forge/scikit-learn,2021-09-26 02:16:47.839000,9991331.0,,,,,2.0,743.0,,,,,,,,,,,,,,,,,,,,,
30,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-10-21 14:24:46.000000,2021-10-20 18:39:45.000000,1898,965.0,1138.0,10387.0,5247.0,The interactive graphing library for Python (includes Plotly Express).,182.0,34,True,2021-09-01 01:27:28.000000,5.3.1,274.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-09-01 01:25:05.000000,4982.0,,76540.0,https://anaconda.org/conda-forge/plotly,2021-09-01 04:57:38.242000,1942978.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,45202.0,,,,,,,,,,,,,,
31,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-09-08 03:37:10.000000,2021-04-13 19:05:58.000000,2505,680.0,2085.0,9488.0,28126.0,"Theano was a Python library that allows you to define, optimize, and evaluate mathematical expressions involving..",384.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,17123.0,11649.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,234591.0,262151.0,https://anaconda.org/conda-forge/theano,2021-06-05 14:19:15.755000,1736283.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,,geospatial-data,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000000,2021-10-20 23:52:24.000000,2021-10-20 23:52:21.000000,1636,111.0,2161.0,9109.0,3811.0,WebGL2 powered visualization framework.,176.0,34,True,2021-10-11 23:33:47.307000,8.6.0,496.0,pydeck,conda-forge/pydeck,,,['jupyter'],2344.0,1782.0,https://pypi.org/project/pydeck,2021-08-27 16:45:08.000000,2.0,547965.0,782948.0,https://anaconda.org/conda-forge/pydeck,2021-08-27 19:51:19.577000,56737.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2021-10-11 23:33:47.307000,560.0,232147.0,,,,,,,,,,,,,,
33,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-10-21 14:52:13.000000,2021-10-21 13:19:25.000000,1353,776.0,3298.0,8928.0,,Parallel computing with task scheduling.,481.0,34,True,2021-09-21 22:38:52.000000,2021.9.1,128.0,dask,conda-forge/dask,,,,34955.0,31039.0,https://pypi.org/project/dask,2021-09-21 22:38:52.000000,3916.0,6049226.0,6116128.0,https://anaconda.org/conda-forge/dask,2021-09-22 05:13:20.960000,4348668.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,
34,pandas-profiling,pandas-profiling/pandas-profiling,,data-viz,https://github.com/pandas-profiling/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,MIT,2016-01-09 23:47:55.000000,2021-10-19 18:09:04.000000,2021-10-19 17:52:32.000000,1173,88.0,425.0,8124.0,911.0,Create HTML profiling reports from pandas DataFrame objects.,81.0,34,True,2021-09-27 23:12:22.000000,3.1.0,31.0,pandas-profiling,conda-forge/pandas-profiling,,,"['jupyter', 'pandas']",5680.0,5520.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000000,160.0,13265131.0,13267908.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,172203.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,
35,scikit-image,scikit-image/scikit-image,,image,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000000,2021-10-21 13:13:46.000000,2021-10-21 13:13:46.000000,1892,696.0,1979.0,4571.0,,Image processing in Python.,526.0,34,True,2021-08-24 18:20:04.000000,0.18.3,39.0,scikit-image,conda-forge/scikit-image,,,,97996.0,83222.0,https://pypi.org/project/scikit-image,2021-08-24 18:09:55.000000,14774.0,17242994.0,17288016.0,https://anaconda.org/conda-forge/scikit-image,2021-09-04 14:14:08.481000,2926458.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
36,TF Addons,tensorflow/addons,,tensorflow-utils,https://github.com/tensorflow/addons,https://github.com/tensorflow/addons,Apache-2.0,2018-11-26 23:57:17.000000,2021-10-18 05:12:33.000000,2021-10-14 16:43:07.000000,480,218.0,685.0,1398.0,1399.0,Useful extra functionality for TensorFlow 2.x maintained by SIG-addons.,177.0,34,True,2021-08-19 13:22:01.000000,0.14.0,27.0,tensorflow-addons,,,,['tensorflow'],4426.0,4408.0,https://pypi.org/project/tensorflow-addons,2021-08-19 13:22:01.000000,18.0,14063430.0,14063430.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
37,Bokeh,bokeh/bokeh,,data-viz,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000000,2021-10-19 22:45:44.000000,2021-10-19 20:31:59.000000,3800,694.0,6056.0,15635.0,,"Interactive Data Visualization in the browser, from Python.",575.0,33,True,2021-10-13 17:43:33.000000,2.4.1,111.0,bokeh,conda-forge/bokeh,,,,45881.0,40009.0,https://pypi.org/project/bokeh,2021-10-13 17:43:33.000000,5872.0,1824706.0,1930554.0,https://anaconda.org/conda-forge/bokeh,2021-10-16 13:46:04.385000,5715795.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
38,dash,plotly/dash,,data-viz,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000000,2021-10-21 14:47:23.000000,2021-10-18 13:41:20.000000,1558,499.0,605.0,15284.0,5518.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",100.0,33,True,2021-09-04 01:00:46.000000,2.0.0,142.0,dash,conda-forge/dash,,,,1755.0,147.0,https://pypi.org/project/dash,2021-09-04 00:32:40.000000,1608.0,765983.0,773567.0,https://anaconda.org/conda-forge/dash,2021-09-21 14:47:05.413000,310967.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
