,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,conda_dependent_project_count,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-01-05 13:57:43.000000,2023-01-05 13:57:43,52727.0,376.0,3779,284.0,11982.0,4594.0,8218.0,9937,A computer algebra system written in pure Python.,1190.0,46,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,,,54466.0,50257.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4209.0,3118211.0,3156811.0,https://anaconda.org/conda-forge/sympy,2022-10-27 02:25:19.270,2750491.0,,,,,1.0,480976.0,,,,,,,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-01-05 14:47:27.000000,2023-01-05 14:47:26,15532.0,997.0,4084,438.0,18774.0,2657.0,9991.0,23512,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,794.0,45,True,2022-12-13 19:58:35.871,2.2.0,79.0,ray,conda-forge/ray-tune,,,,7122.0,6843.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,1809173.0,1812697.0,https://anaconda.org/conda-forge/ray-tune,2023-01-02 14:24:21.128,88109.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-01-05 10:09:49.000000,2023-01-04 11:02:31,7615.0,180.0,19226,1936.0,5780.0,349.0,11309.0,56998,Deep Learning for humans.,1137.0,44,True,2022-11-14 18:10:37.000,2.11.0,73.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,9684136.0,9720553.0,https://anaconda.org/conda-forge/keras,2022-11-21 08:56:09.864,2804127.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-01-05 13:47:43.000000,2023-01-05 13:32:00,35324.0,1023.0,26386,2063.0,39381.0,218.0,,34671,Apache Spark Python API.,2791.0,44,True,2022-11-28 18:27:04.218,3.2.3,32.0,pyspark,conda-forge/pyspark,,,['spark'],845.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,845.0,25704611.0,25736599.0,https://anaconda.org/conda-forge/pyspark,2022-12-20 19:29:42.235,2239175.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-01-05 11:27:25.000000,2023-01-05 10:46:04,15759.0,117.0,3988,550.0,3516.0,99.0,5231.0,24915,Industrial-strength Natural Language Processing (NLP) in Python.,712.0,44,True,2022-12-16 07:55:55.000,2.3.9,205.0,spacy,conda-forge/spacy,,,,50458.0,48083.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4260779.0,4301635.0,https://anaconda.org/conda-forge/spacy,2022-12-29 11:37:56.768,2900820.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-01-05 14:19:09.000000,2023-01-05 09:48:26,6130.0,164.0,8533,930.0,3981.0,347.0,4358.0,23611,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",589.0,44,True,2022-12-08 19:41:14.000,1.7.2,70.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,43042.0,41673.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1369.0,8290483.0,8340314.0,https://anaconda.org/conda-forge/xgboost,2022-11-07 20:50:22.110,3484461.0,,,,,1.0,5664.0,,,,,,,,,,,,,,,,,,,
19,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-01-05 11:30:51.000000,2023-01-05 00:13:27,7147.0,105.0,2815,279.0,3070.0,393.0,2707.0,12018,Network Analysis in Python.,638.0,44,True,2022-11-01 20:33:20.972,2.8.8,84.0,networkx,conda-forge/networkx,,,,143431.0,129972.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13459.0,18711132.0,18836460.0,https://anaconda.org/conda-forge/networkx,2022-11-02 12:22:18.460,9399656.0,,,,,1.0,63.0,,,,,,,,,,,,,,,,,,,
20,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-01-03 10:31:40.000000,2023-01-03 10:31:40,14407.0,37.0,2673,469.0,1402.0,221.0,1461.0,11365,Suite of libraries and programs for symbolic and statistical natural language processing for English.,436.0,44,True,2023-01-02 22:02:43.849,3.8.1,52.0,nltk,conda-forge/nltk,,,,181300.0,169342.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11958.0,10173479.0,10195267.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,1677680.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-01-02 13:16:08.000000,2023-01-02 13:16:07,3101.0,52.0,1683,253.0,955.0,106.0,2116.0,10214,Statistical data visualization in Python.,183.0,44,True,2023-01-02 17:36:07.692,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,215666.0,206256.0,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,8205406.0,8277545.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,5554621.0,,,,,1.0,238.0,,,,,,,,,,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-01-03 20:52:15.000000,2023-01-03 20:52:15,14854.0,132.0,2620,271.0,3679.0,2470.0,2598.0,8064,Statsmodels: statistical modeling and econometrics in Python.,403.0,44,True,2022-11-02 17:40:09.913,0.13.5,33.0,statsmodels,conda-forge/statsmodels,,,,81546.0,76881.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4665.0,8337523.0,8442335.0,https://anaconda.org/conda-forge/statsmodels,2022-11-04 18:55:06.900,8280163.0,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,,
23,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-01-05 14:21:45.000000,2023-01-05 13:20:03,14299.0,972.0,1977,290.0,8470.0,1232.0,2793.0,21377,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",488.0,43,True,2022-12-13 18:24:20.000,jaxlib-v0.4.1,134.0,jax,conda-forge/jaxlib,,,,6981.0,6660.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,321.0,647376.0,661009.0,https://anaconda.org/conda-forge/jaxlib,2022-12-14 15:37:17.163,572593.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
24,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-01-05 06:25:26.000000,2023-01-03 01:42:19,3155.0,58.0,3661,450.0,2771.0,240.0,2669.0,14516,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",277.0,43,True,2023-01-05 03:01:03.350,3.3.4,31.0,lightgbm,conda-forge/lightgbm,,,,18060.0,17417.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,643.0,6002841.0,6026803.0,https://anaconda.org/conda-forge/lightgbm,2022-10-28 00:50:18.967,1413952.0,,,,,2.0,175191.0,,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-01-05 13:10:52.000000,2023-01-05 13:02:22,7492.0,104.0,1574,216.0,5005.0,835.0,3863.0,10633,Parallel computing with task scheduling.,571.0,43,True,2022-12-16 22:19:04.243,2022.12.1,160.0,dask,conda-forge/dask,,,,45611.0,42946.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2665.0,7297552.0,7392173.0,https://anaconda.org/conda-forge/dask,2022-12-16 23:50:30.501,7569733.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
26,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-01-05 07:18:11.000000,2023-01-04 18:59:22,5315.0,110.0,1561,193.0,4394.0,619.0,1153.0,6079,TensorFlows Visualization Toolkit.,292.0,43,True,2022-11-09 01:43:55.758,2.11.0,45.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],141992.0,139573.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2419.0,16251379.0,16309162.0,https://anaconda.org/conda-forge/tensorboard,2022-11-09 05:16:36.975,3582607.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-12-21 11:45:43.000000,2022-12-17 16:05:03,13346.0,56.0,2075,186.0,3908.0,650.0,1905.0,5182,Image processing in Python.,586.0,43,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,,132090.0,122725.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9365.0,5101946.0,5156896.0,https://anaconda.org/conda-forge/scikit-image,2022-10-30 12:02:37.338,4396031.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-01-05 14:11:39.000000,2023-01-05 13:03:59,39403.0,1588.0,4845,733.0,33606.0,3060.0,13852.0,19374,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,902.0,42,True,2022-12-13 09:22:18.000,2.4.1,59.0,paddlepaddle,,,,['paddle'],232.0,182.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,88414.0,88613.0,,,,,,,,2.0,15328.0,,,,,,,,,,,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-01-05 13:36:54.000000,2023-01-05 11:23:35,19906.0,136.0,4013,452.0,5462.0,703.0,6422.0,17076,"Interactive Data Visualization in the browser, from Python.",628.0,42,True,2022-12-09 18:39:04.000,3.0.3,152.0,bokeh,conda-forge/bokeh,,,,3730.0,178.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3552.0,3268966.0,3409113.0,https://anaconda.org/conda-forge/bokeh,2022-12-12 20:33:04.197,9670176.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
30,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-01-05 02:14:52.000000,2023-01-04 22:40:20,5669.0,53.0,2250,275.0,1434.0,1316.0,1238.0,12701,The interactive graphing library for Python (includes Plotly Express).,207.0,42,True,2022-10-27 17:34:35.000,5.11.0,284.0,plotly,conda-forge/plotly,,,,4159.0,13.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4142.0,6590423.0,6667286.0,https://anaconda.org/conda-forge/plotly,2022-12-05 13:36:59.426,3560886.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,30618.0,,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-01-04 23:46:11.000000,2023-01-04 20:38:03,4286.0,61.0,1899,1729.0,4080.0,188.0,2404.0,10523,WebGL2 powered visualization framework.,212.0,42,True,2022-12-28 20:06:07.358,8.8.21,569.0,pydeck,conda-forge/pydeck,,,['jupyter'],5604.0,5158.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,898304.0,1196390.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,266672.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-12-28 20:06:07.358,422.0,290467.0,,,,,,,,,,,,,
32,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-01-05 14:15:33.000000,2023-01-05 14:07:43,8453.0,636.0,2693,228.0,8030.0,635.0,5166.0,21127,"Build and train PyTorch models and connect them to the ML lifecycle using Lightning App templates, without handling..",813.0,41,True,2022-12-21 19:21:24.787,1.8.6,237.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],395.0,,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,395.0,3066950.0,3088301.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-12-09 04:00:55.441,651218.0,,,,,2.0,9978.0,,,,,,,,,,,,,,,,,,,
33,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-01-05 12:24:29.000000,2022-12-16 09:04:27,30982.0,368.0,4186,347.0,5249.0,672.0,6065.0,15299,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",569.0,41,True,2022-12-22 19:06:11.993,2.8.34,284.0,rasa,,,,['tensorflow'],2923.0,2863.0,https://pypi.org/project/rasa,2022-07-06 04:02:56.000,60.0,112791.0,112791.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-01-05 14:32:15.000000,2023-01-01 16:56:15,2118.0,45.0,3250,430.0,2462.0,343.0,1892.0,13881,Open standard for machine learning interoperability.,264.0,41,True,2022-12-12 14:38:36.000,1.13.0,27.0,onnx,conda-forge/onnx,,,,10493.0,10101.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,392.0,2122483.0,2132726.0,https://anaconda.org/conda-forge/onnx,2022-12-15 14:09:08.911,617123.0,,,,,1.0,18305.0,,,,,,,,,,,,,,,,,,,
35,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-12-21 13:44:44.543000,2022-12-21 00:41:18,4427.0,36.0,4299,430.0,1635.0,387.0,1422.0,13837,Topic Modelling for Humans.,440.0,41,True,2022-12-21 00:42:57.000,4.3.0,91.0,gensim,conda-forge/gensim,,,,42655.0,39754.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2901.0,4251141.0,4266017.0,https://anaconda.org/conda-forge/gensim,2022-12-21 13:44:44.543,949171.0,,,,,1.0,4006.0,,,,,,,,,,,,,,,,,,,
36,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-01-05 09:51:24.000000,2023-01-05 09:26:42,3625.0,362.0,3108,287.0,4851.0,1014.0,1804.0,13345,Open source platform for the machine learning lifecycle.,533.0,41,True,2022-12-26 09:02:40.000,2.1.1,68.0,mlflow,conda-forge/mlflow,,,,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,10502643.0,10527666.0,https://anaconda.org/conda-forge/mlflow,2022-12-07 04:28:47.238,1126051.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-01-05 12:49:33.000000,2023-01-05 12:11:02,3244.0,178.0,6431,387.0,4390.0,828.0,2006.0,13071,"Datasets, Transforms and Models specific to Computer Vision.",515.0,41,True,2022-12-16 00:34:17.000,0.14.1,34.0,torchvision,conda-forge/torchvision,,,['pytorch'],3716.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3716.0,7830640.0,7838744.0,https://anaconda.org/conda-forge/torchvision,2022-12-10 21:10:27.610,479272.0,,,,,1.0,17171.0,,,,,,,,,,,,,,,,,,,
38,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-01-05 14:19:42.000000,2023-01-04 16:57:29,8257.0,236.0,1010,137.0,4444.0,657.0,3446.0,10851,Data Version Control | Git for Data & Models | ML Experiments Management.,276.0,41,True,2022-12-15 07:19:01.084,2.38.1,397.0,dvc,conda-forge/dvc,,,,5844.0,5797.0,https://pypi.org/project/dvc,2022-07-05 20:50:17.000,47.0,1531638.0,1569418.0,https://anaconda.org/conda-forge/dvc,2022-12-16 11:26:34.758,1368174.0,,,,,1.0,114529.0,,,,,,,dvc,dvc,dvc,,,,,,,,,,
