,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
10,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-12-02 14:26:11.000000,2021-12-02 14:26:11.000000,6207,2305.0,8072.0,18952.0,,The fundamental package for scientific computing with Python.,1367.0,38,True,2021-11-05 01:42:23.000000,1.21.4,106.0,numpy,conda-forge/numpy,,426175.0,68508896.0,1068849.0,899127.0,https://pypi.org/project/numpy,2021-11-23 19:36:52.000000,169722.0,68104008.0,https://anaconda.org/conda-forge/numpy,2021-11-05 22:05:37.357000,26659434.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-11-27 18:58:32.000000,2021-11-27 18:58:32.000000,1489,97.0,1842.0,8968.0,2812.0,Statistical data visualization in Python.,161.0,38,True,2021-08-16 00:39:03.000000,0.11.2,25.0,seaborn,conda-forge/seaborn,,209.0,6472470.0,140206.0,127420.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000000,12786.0,6423532.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619000,3131954.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-12-02 13:48:18.147729,,85871,2811.0,,162945.0,,An Open Source Machine Learning Framework for Everyone.,882.0,37,True,2021-11-04 21:19:34.000000,2.7.0,139.0,tensorflow,conda-forge/tensorflow,['tensorflow'],,11231980.0,22524.0,,https://pypi.org/project/tensorflow,2021-11-04 21:19:34.000000,22524.0,10336995.0,https://anaconda.org/conda-forge/tensorflow,2021-11-22 10:59:19.834000,2925897.0,1.0,https://www.tensorflow.org/overview,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2021-12-02 13:48:18.147729,1969.0,62238463.0,-7.0,,,,,,,,,,,,,,,,,,,
13,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-12-02 14:05:58.000000,2021-12-02 13:26:37.000000,22237,2467.0,7289.0,48130.0,,scikit-learn: machine learning in Python.,2416.0,37,True,2021-10-25 11:00:07.000000,1.0.1,58.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],755.0,19251840.0,327049.0,289161.0,https://pypi.org/project/scikit-learn,2021-10-25 11:00:07.000000,37888.0,19093746.0,https://anaconda.org/conda-forge/scikit-learn,2021-11-13 11:24:34.144000,10591610.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-12-02 13:21:44.000000,2021-12-02 08:47:44.000000,24756,218.0,,31473.0,31812.0,Apache Spark Python API.,2575.0,37,True,2021-10-18 08:17:19.000000,3.2.0,27.0,pyspark,conda-forge/pyspark,['spark'],,11623942.0,760.0,,https://pypi.org/project/pyspark,2021-10-18 08:17:19.000000,760.0,11599861.0,https://anaconda.org/conda-forge/pyspark,2021-10-18 11:47:59.356000,1372660.0,1.0,,,,,,,,stable/spark,,,,,,,,,,,,,,,,,,
15,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-12-01 01:02:55.000000,2021-11-30 10:58:59.000000,3635,87.0,4851.0,21861.0,15195.0,Industrial-strength Natural Language Processing (NLP) in Python.,642.0,37,True,2021-11-05 15:54:48.000000,3.2.0,186.0,spacy,conda-forge/spacy,,3097.0,2597331.0,35387.0,32321.0,https://pypi.org/project/spacy,2021-11-05 15:49:02.000000,3066.0,2554602.0,https://anaconda.org/conda-forge/spacy,2021-11-08 22:47:56.654000,2475451.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-12-02 11:02:08.000000,2021-12-01 22:19:29.000000,6155,1699.0,6704.0,14634.0,,matplotlib: plotting with Python.,1309.0,37,True,2021-11-16 07:19:21.000000,3.5.0,72.0,matplotlib,conda-forge/matplotlib,,,21199772.0,545089.0,465985.0,https://pypi.org/project/matplotlib,2021-11-16 05:01:00.000000,79104.0,21060359.0,https://anaconda.org/conda-forge/matplotlib,2021-11-19 09:51:33.352000,10455980.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-12-02 14:42:21.000000,2021-12-02 14:41:41.000000,2119,190.0,675.0,8752.0,10464.0,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,767.0,37,True,2021-10-26 15:00:11.000000,6.0.0,35.0,pyarrow,conda-forge/arrow,,,25389308.0,1042.0,56.0,https://pypi.org/project/pyarrow,2021-11-18 03:54:39.000000,986.0,25376905.0,https://anaconda.org/conda-forge/arrow,2021-10-26 15:18:02.635000,831043.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-12-02 15:07:30.000000,2021-12-02 14:36:10.000000,3508,4242.0,7683.0,8647.0,49395.0,A computer algebra system written in pure Python.,1121.0,37,True,2021-10-08 23:27:06.000000,sympy-1.9,39.0,sympy,conda-forge/sympy,,438904.0,1529967.0,43885.0,37463.0,https://pypi.org/project/sympy,2021-10-08 23:29:29.000000,6422.0,1498747.0,https://anaconda.org/conda-forge/sympy,2021-11-06 22:30:34.086000,1800670.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-12-02 00:49:10.000000,2021-12-01 20:46:38.000000,1451,558.0,1051.0,5706.0,4873.0,TensorFlow's Visualization Toolkit.,274.0,37,True,2021-10-13 16:17:43.000000,2.7.0,39.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,8618724.0,90221.0,86607.0,https://pypi.org/project/tensorboard,2021-10-13 16:17:43.000000,3614.0,8563993.0,https://anaconda.org/conda-forge/tensorboard,2021-11-10 21:16:52.072000,2681827.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-12-02 10:15:53.000000,2021-11-22 21:39:00.000000,7337,118.0,1329.0,25823.0,1437.0,A toolkit for developing and comparing reinforcement learning algorithms.,328.0,36,True,2021-10-06 22:04:25.000000,0.21.0,96.0,gym,,,,793711.0,28316.0,24754.0,https://pypi.org/project/gym,2021-10-06 22:04:25.000000,3562.0,793711.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-12-01 18:59:05.000000,2021-12-01 18:13:08.000000,2165,1204.0,561.0,14777.0,2010.0,A game theoretic approach to explain the output of any machine learning model.,162.0,36,True,2021-10-20 18:36:57.000000,0.40.0,94.0,shap,conda-forge/shap,,,3372199.0,4048.0,3912.0,https://pypi.org/project/shap,2021-10-20 19:13:31.000000,136.0,3354487.0,https://anaconda.org/conda-forge/shap,2021-10-24 14:05:16.285000,708493.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-12-02 13:56:58.000000,2021-12-02 04:56:01.000000,3433,163.0,2336.0,13237.0,2793.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",246.0,36,True,2021-10-27 23:58:39.000000,3.3.1,27.0,lightgbm,conda-forge/lightgbm,,128928.0,8904772.0,10640.0,10084.0,https://pypi.org/project/lightgbm,2021-10-27 23:58:39.000000,556.0,8887003.0,https://anaconda.org/conda-forge/lightgbm,2021-11-20 15:50:31.621000,819760.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-11-26 13:49:23.000000,2021-10-28 01:18:52.000000,4094,380.0,1357.0,12702.0,4263.0,Topic Modelling for Humans.,411.0,36,True,2021-09-18 14:21:47.000000,4.1.2,89.0,gensim,conda-forge/gensim,,3501.0,8174336.0,33445.0,28703.0,https://pypi.org/project/gensim,2021-09-17 00:24:57.000000,4742.0,8159566.0,https://anaconda.org/conda-forge/gensim,2021-11-09 13:39:50.380000,750889.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-12-01 21:16:57.000000,2021-11-23 16:09:16.000000,2035,1005.0,1150.0,10621.0,5318.0,The interactive graphing library for Python (includes Plotly Express).,189.0,36,True,2021-11-15 14:40:20.000000,5.4.0,275.0,plotly,conda-forge/plotly,,,7398240.0,4991.0,5.0,https://pypi.org/project/plotly,2021-11-15 14:39:00.000000,4982.0,7307938.0,https://anaconda.org/conda-forge/plotly,2021-11-15 16:33:27.242000,2099654.0,1.0,,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,57495.0,,,,,,,,,,,,,
25,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-11-26 22:25:41.747000,2021-11-24 11:35:21.000000,431,221.0,1051.0,1621.0,3843.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,172.0,36,True,2021-11-16 09:55:10.000000,3.6.0,31.0,h5py,conda-forge/h5py,,1605.0,8404868.0,163812.0,140876.0,https://pypi.org/project/h5py,2021-11-16 13:35:22.000000,22936.0,8307552.0,https://anaconda.org/conda-forge/h5py,2021-11-26 22:25:41.747000,6712874.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,pytorch-lightning,PyTorchLightning/pytorch-lightning,,ml-frameworks,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000000,2021-12-02 12:09:59.000000,2021-12-02 11:46:57.000000,2004,441.0,3897.0,16415.0,6178.0,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",581.0,35,True,2021-11-30 14:52:17.000000,1.5.4,197.0,pytorch-lightning,conda-forge/pytorch-lightning,['pytorch'],4773.0,654473.0,5783.0,5769.0,https://pypi.org/project/pytorch-lightning,2021-11-30 14:52:17.000000,14.0,633161.0,https://anaconda.org/conda-forge/pytorch-lightning,2021-11-30 21:51:35.151000,380672.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,onnx,onnx/onnx,,model-serialisation,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000000,2021-12-01 23:27:00.000000,2021-11-22 22:40:13.000000,2215,481.0,1300.0,11750.0,1855.0,Open standard for machine learning interoperability.,215.0,35,True,2021-10-26 19:14:09.000000,1.10.2,24.0,onnx,conda-forge/onnx,,17247.0,1151635.0,5123.0,4827.0,https://pypi.org/project/onnx,2021-10-26 19:14:09.000000,296.0,1144745.0,https://anaconda.org/conda-forge/onnx,2021-10-24 18:06:22.378000,320783.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-12-02 09:37:17.000000,2021-11-29 08:07:24.000000,2513,220.0,1357.0,10275.0,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,411.0,35,True,2021-10-11 03:49:05.000000,3.6.5,45.0,nltk,conda-forge/nltk,,,7133509.0,143374.0,122382.0,https://pypi.org/project/nltk,2021-10-11 03:49:05.000000,20992.0,7116826.0,https://anaconda.org/conda-forge/nltk,2021-10-11 12:28:19.966000,1067749.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-11-25 03:56:10.000000,2021-11-25 03:56:09.000000,2431,317.0,2449.0,9978.0,,Network Analysis in Python.,554.0,35,True,2021-09-09 22:09:39.000000,2.6.3,59.0,networkx,conda-forge/networkx,,57.0,13979770.0,112558.0,91740.0,https://pypi.org/project/networkx,2021-09-09 22:09:39.000000,20818.0,13897616.0,https://anaconda.org/conda-forge/networkx,2021-10-26 12:59:30.009000,5093601.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-12-01 00:24:43.000000,2021-11-23 08:52:10.000000,2509,679.0,2086.0,9500.0,28127.0,"Theano was a Python library that allows you to define, optimize, and evaluate mathematical expressions involving..",384.0,35,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,200774.0,17315.0,11841.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,173356.0,https://anaconda.org/conda-forge/theano,2021-11-10 16:59:17.809000,1782219.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-12-02 00:15:17.000000,2021-11-27 08:28:37.000000,1733,174.0,2194.0,9197.0,,The friendly PIL fork (Python Imaging Library).,374.0,35,True,2021-10-15 08:16:09.000000,8.4.0,84.0,Pillow,conda-forge/pillow,,,27069505.0,111426.0,,https://pypi.org/project/Pillow,2021-10-15 08:10:15.000000,111426.0,26897425.0,https://anaconda.org/conda-forge/pillow,2021-11-10 16:07:31.860000,11701484.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,luigi,spotify/luigi,,data-pipelines,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38.000000,2021-12-01 15:18:56.000000,2021-11-27 16:59:30.000000,2303,92.0,850.0,15172.0,4011.0,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",568.0,34,True,2021-11-06 14:59:15.000000,3.0.3,72.0,luigi,luigi,,,568894.0,2276.0,1600.0,https://pypi.org/project/luigi,2020-09-23 11:57:12.000000,676.0,568774.0,https://anaconda.org/anaconda/luigi,2021-04-17 18:49:18.708000,8420.0,1.0,,,,,,,,stable/luigi,,,,,,0.0,,,,,,,,,,,,
33,pydeck,visgl/deck.gl,,geospatial-data,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000000,2021-12-02 14:33:01.000000,2021-12-02 14:10:01.000000,1676,138.0,2184.0,9254.0,3863.0,WebGL2 powered visualization framework.,183.0,34,True,2021-11-14 22:51:34.270000,8.6.4,503.0,pydeck,conda-forge/pydeck,['jupyter'],,726578.0,2532.0,1970.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000000,2.0,497065.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329000,62033.0,1.0,,,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2021-11-25 18:58:27.006000,560.0,226694.0,,,,,,,,,,,,,
34,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-12-02 14:33:59.000000,2021-11-30 02:55:09.000000,1391,740.0,3351.0,9239.0,,Parallel computing with task scheduling.,488.0,34,True,2021-11-19 20:18:29.000000,2021.11.2,132.0,dask,conda-forge/dask,,,6277054.0,35908.0,31992.0,https://pypi.org/project/dask,2021-11-19 20:18:29.000000,3916.0,6207742.0,https://anaconda.org/conda-forge/dask,2021-11-20 05:27:05.139000,4643954.0,1.0,,,,,,,,stable/dask,,,,,,,,,,,,,,,,,,
35,scikit-image,scikit-image/scikit-image,,image,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000000,2021-12-02 04:57:34.000000,2021-12-02 03:41:46.000000,1915,310.0,2003.0,4656.0,,Image processing in Python.,535.0,34,True,2021-08-24 18:20:04.000000,0.18.3,40.0,scikit-image,conda-forge/scikit-image,,,5783934.0,101723.0,86949.0,https://pypi.org/project/scikit-image,2021-11-22 06:24:01.000000,14774.0,5738558.0,https://anaconda.org/conda-forge/scikit-image,2021-12-01 16:53:56.975000,3040229.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-11-08 20:50:44.000000,2021-11-08 20:50:44.000000,315,332.0,376.0,2618.0,1385.0,Computing with Python functions.,106.0,34,True,2021-02-09 16:46:29.000000,1.0.1,102.0,joblib,conda-forge/joblib,,,21512264.0,152279.0,145669.0,https://pypi.org/project/joblib,2021-10-07 14:42:42.000000,6610.0,21414935.0,https://anaconda.org/conda-forge/joblib,2021-10-07 20:15:36.705000,6326436.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,TF Addons,tensorflow/addons,,tensorflow-utils,https://github.com/tensorflow/addons,https://github.com/tensorflow/addons,Apache-2.0,2018-11-26 23:57:17.000000,2021-12-01 22:51:07.000000,2021-11-20 15:16:46.000000,480,218.0,691.0,1422.0,1419.0,Useful extra functionality for TensorFlow 2.x maintained by SIG-addons.,182.0,34,True,2021-11-10 21:09:55.000000,0.15.0,28.0,tensorflow-addons,,['tensorflow'],,5894634.0,4777.0,4759.0,https://pypi.org/project/tensorflow-addons,2021-11-10 21:40:18.000000,18.0,5894634.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MXNet,apache/incubator-mxnet,,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15.000000,2021-12-02 12:47:06.000000,2021-12-02 12:47:06.000000,6875,1944.0,7690.0,19771.0,11749.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",971.0,33,True,2021-03-21 14:56:00.000000,1.8.0,980.0,mxnet,mxnet,['mxnet'],24275.0,492386.0,444.0,,https://pypi.org/project/mxnet,2021-03-31 20:05:38.000000,444.0,491883.0,https://anaconda.org/anaconda/mxnet,2020-02-29 00:58:31.007000,6798.0,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
