,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-03-27 14:23:06.000000,2025-03-27 14:23:03,34839.0,537.0,5257.0,351.0,12021.0,1708.0,9261.0,13494.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1758.0,50,True,2025-02-17 01:57:38.000,1.15.2,113.0,scipy,conda-forge/scipy,,,,1325824.0,1275318.0,https://pypi.org/project/scipy,2025-02-17 00:28:56.000,50506.0,132294524.0,133445062.0,https://anaconda.org/conda-forge/scipy,2025-03-25 16:00:05.956,59613886.0,,,,,1.0,477769.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-03-27 09:00:56.000000,2025-03-27 01:57:10,52219.0,441.0,7781.0,585.0,19000.0,1615.0,9527.0,20940.0,matplotlib: plotting with Python.,1787.0,49,True,2025-02-27 19:18:10.000,3.10.1,132.0,matplotlib,conda-forge/matplotlib,,,,1686857.0,1630740.0,https://pypi.org/project/matplotlib,2025-02-27 19:18:10.000,56117.0,83356714.0,83864047.0,https://anaconda.org/conda-forge/matplotlib,2025-03-25 16:00:02.106,28918012.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-03-27 14:36:27.000000,2025-03-27 14:36:26,24565.0,1148.0,6151.0,479.0,31663.0,4429.0,15992.0,36243.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1188.0,48,True,2025-03-21 05:22:57.000,2.44.0,125.0,ray,conda-forge/ray-tune,,,,23201.0,22280.0,https://pypi.org/project/ray,2025-03-21 05:22:57.000,921.0,6664880.0,6678947.0,https://anaconda.org/conda-forge/ray-tune,2025-03-26 01:02:02.974,717326.0,,,,,1.0,249.0,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-03-25 16:00:05.047000,2025-03-24 21:25:22,59775.0,473.0,4566.0,290.0,13821.0,5238.0,9054.0,13464.0,A computer algebra system written in pure Python.,1360.0,48,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,,242780.0,238772.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,4008.0,41168117.0,41314245.0,https://anaconda.org/conda-forge/sympy,2025-03-25 16:00:05.047,8244917.0,,,,,1.0,556544.0,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-03-27 12:47:29.000000,2025-03-27 12:47:29,19340.0,366.0,2252.0,217.0,5377.0,123.0,3186.0,12655.0,Python Imaging Library (Fork).,483.0,48,True,2025-01-02 08:20:18.000,11.1.0,100.0,Pillow,conda-forge/pillow,,,,2163609.0,2152698.0,https://pypi.org/project/Pillow,2025-01-02 08:10:16.000,10911.0,137868731.0,138788942.0,https://anaconda.org/conda-forge/pillow,2025-03-25 16:00:04.643,51531853.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-03-26 23:02:11.000000,2025-03-26 22:36:54,11429.0,170.0,19554.0,1901.0,7930.0,275.0,12162.0,62771.0,Deep Learning for humans.,1392.0,47,True,2025-03-26 23:02:11.000,3.9.1,107.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1785.0,,https://pypi.org/project/keras,2025-03-26 23:02:11.000,1785.0,14140830.0,14211053.0,https://anaconda.org/conda-forge/keras,2025-03-25 16:00:08.865,4002762.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-03-27 13:31:39.000000,2025-03-27 11:31:04,7373.0,454.0,3343.0,325.0,5858.0,1101.0,3948.0,38421.0,Streamlit A faster way to build and share data apps.,350.0,46,True,2025-03-25 19:43:57.000,1.44.0,241.0,streamlit,,,,,793254.0,789766.0,https://pypi.org/project/streamlit,2025-03-25 19:43:50.000,3488.0,8963295.0,8963295.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-03-27 14:13:13.000000,2025-03-27 14:03:23,26544.0,1665.0,2962.0,330.0,18348.0,1539.0,4546.0,31762.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",852.0,46,True,2025-03-19 18:23:38.000,0.5.3,176.0,jax,conda-forge/jaxlib,,,,42119.0,39770.0,https://pypi.org/project/jax,2025-03-19 18:23:38.000,2349.0,8250038.0,8292704.0,https://anaconda.org/conda-forge/jaxlib,2025-03-25 16:00:51.738,2432001.0,,,,,1.0,,jax-ml/jax,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-03-27 06:57:36.000000,2025-03-27 06:57:36,7389.0,118.0,8751.0,905.0,5917.0,433.0,5054.0,26752.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",659.0,46,True,2025-03-15 13:45:01.000,3.0.0,88.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,142584.0,140256.0,https://pypi.org/project/xgboost,2025-03-15 13:45:01.000,2328.0,24603579.0,24709934.0,https://anaconda.org/conda-forge/xgboost,2025-03-25 16:00:16.789,5949455.0,,,,,1.0,15220.0,,,,,,,,,,,,,,,,,,,
19,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-03-27 12:52:12.000000,2025-03-26 20:49:55,7683.0,267.0,2614.0,276.0,1842.0,639.0,2532.0,16918.0,The interactive graphing library for Python.,283.0,46,True,2025-03-17 15:02:47.000,6.0.1,303.0,plotly,conda-forge/plotly,,,,395732.0,388044.0,https://pypi.org/project/plotly,2025-03-17 15:02:18.000,7679.0,22024531.0,22240648.0,https://anaconda.org/conda-forge/plotly,2025-03-25 16:00:08.574,8773028.0,,,,,1.0,94.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,64858.0,5.0,,,,,,,,,,,,
20,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-03-27 13:52:48.000000,2025-03-27 13:52:40,44018.0,901.0,28461.0,2013.0,50397.0,203.0,,40822.0,Apache Spark Python API.,3207.0,45,True,2025-02-27 09:16:31.000,3.5.5,51.0,pyspark,conda-forge/pyspark,,,['spark'],1780.0,,https://pypi.org/project/pyspark,2025-02-27 09:16:31.000,1780.0,35412603.0,35478706.0,https://anaconda.org/conda-forge/pyspark,2025-03-25 16:00:16.758,3767909.0,,,,,1.0,,,,,,,,,stable/spark,,,,,,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-03-27 14:14:11.000000,2025-03-27 14:14:11,53352.0,964.0,5696.0,715.0,53053.0,1753.0,17667.0,22618.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1362.0,45,True,2025-03-26 08:17:50.000,3.0.0,74.0,paddlepaddle,,,,['paddle'],7678.0,7450.0,https://pypi.org/project/paddlepaddle,2025-03-26 08:17:50.000,228.0,436939.0,437088.0,,,,,,,,1.0,15430.0,,,,,,,,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-03-27 10:45:27.000000,2025-03-25 20:51:44,20749.0,95.0,4213.0,434.0,6317.0,810.0,7131.0,19729.0,"Interactive Data Visualization in the browser, from Python.",710.0,45,True,2025-03-25 22:00:52.000,3.7.1,236.0,bokeh,conda-forge/bokeh,,,,101443.0,99538.0,https://pypi.org/project/bokeh,2025-03-25 22:00:52.000,1905.0,4148321.0,4431775.0,https://anaconda.org/conda-forge/bokeh,2025-03-26 14:51:59.741,16156890.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-03-27 03:08:16.000000,2025-03-27 03:08:15,7934.0,86.0,3253.0,280.0,4064.0,344.0,3078.0,15534.0,Network Analysis in Python.,767.0,45,True,2024-10-21 12:40:41.000,networkx-3.4.2,98.0,networkx,conda-forge/networkx,,,,383282.0,373652.0,https://pypi.org/project/networkx,2024-10-21 12:39:36.000,9630.0,76240683.0,76622282.0,https://anaconda.org/conda-forge/networkx,2025-03-25 16:00:12.530,20987960.0,,,,,1.0,79.0,,,,,,,,,,,,,,,,,,,
24,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-03-25 16:00:09.760000,2025-03-15 01:00:12,14735.0,34.0,2887.0,459.0,1514.0,276.0,1587.0,13939.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,470.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,370676.0,365979.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4697.0,27932050.0,27996330.0,https://anaconda.org/conda-forge/nltk,2025-03-25 16:00:09.760,3085466.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-03-27 11:18:31.000000,2025-03-27 11:18:30,15683.0,57.0,3091.0,285.0,3997.0,2851.0,2827.0,10532.0,Statsmodels: statistical modeling and econometrics in Python.,453.0,45,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,164488.0,160019.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,16796504.0,17110939.0,https://anaconda.org/conda-forge/statsmodels,2025-03-25 16:00:06.856,17922845.0,,,,,1.0,35.0,,,,,,,,,,,,,,,,,,,
26,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-03-27 13:35:56.000000,2025-03-25 23:31:30,7580.0,259.0,2816.0,183.0,4999.0,476.0,5021.0,37108.0,"Wrap UIs around any model, share with anyone.",540.0,44,True,2025-03-25 23:43:07.000,5.23.1,632.0,gradio,,,,,65083.0,63971.0,https://pypi.org/project/gradio,2025-03-25 23:43:07.000,1112.0,8456666.0,8456666.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-03-27 07:00:36.000000,2025-03-25 09:55:15,10539.0,44.0,3461.0,251.0,10406.0,895.0,6367.0,29193.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1005.0,44,True,2025-03-19 20:28:20.000,2.5.1,286.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],45284.0,43655.0,https://pypi.org/project/pytorch-lightning,2025-03-19 20:28:20.000,1629.0,9425205.0,9451428.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-03-25 16:01:11.222,1479203.0,,,,,2.0,11759.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,,
28,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-03-27 13:45:01.000000,2025-03-27 05:23:06,7441.0,464.0,4419.0,307.0,10649.0,1761.0,2753.0,19930.0,Open source platform for the machine learning lifecycle.,833.0,44,True,2025-03-26 21:01:50.000,2.21.2,131.0,mlflow,conda-forge/mlflow,,,,56816.0,55798.0,https://pypi.org/project/mlflow,2025-03-26 15:47:21.000,1018.0,14426136.0,14479692.0,https://anaconda.org/conda-forge/mlflow,2025-03-26 07:00:15.624,3052705.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-03-27 06:23:36.000000,2025-03-27 06:23:35,20935.0,2144.0,2464.0,108.0,4537.0,1510.0,3630.0,19751.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",454.0,44,True,2025-03-26 19:47:07.000,1.64.1-nightly,1114.0,litellm,,,,others,10539.0,9571.0,https://pypi.org/project/litellm,2025-03-26 18:43:35.000,968.0,6068080.0,6068321.0,,,,,,,,1.0,482.0,,,,,,,,,,,,,,,,,,,
30,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-03-25 16:00:05.363000,2025-03-25 14:33:46,9516.0,134.0,1753.0,213.0,6235.0,1118.0,4386.0,13065.0,Parallel computing with task scheduling.,621.0,44,True,2025-03-21 22:18:07.000,2025.3.0,217.0,dask,conda-forge/dask,,,,74714.0,71945.0,https://pypi.org/project/dask,2025-03-21 22:18:07.000,2769.0,11006598.0,11228266.0,https://anaconda.org/conda-forge/dask,2025-03-25 16:00:05.363,12856749.0,,,,,1.0,,,,,,,,,stable/dask,,,,,,,,,,,
31,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-03-25 16:00:16.057000,2025-02-03 17:32:23,16225.0,7.0,4443.0,562.0,4043.0,182.0,5526.0,31249.0,Industrial-strength Natural Language Processing (NLP) in Python.,763.0,43,True,2025-01-14 11:08:42.000,3.8.4,239.0,spacy,conda-forge/spacy,,,,124683.0,121752.0,https://pypi.org/project/spacy,2025-01-14 11:08:42.000,2931.0,13348644.0,13447308.0,https://anaconda.org/conda-forge/spacy,2025-03-25 16:00:16.057,5622560.0,,,,,1.0,1975.0,,,,,,,,,,,,,,,,,,,
32,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-03-27 13:38:53.000000,2025-03-27 13:38:53,8154.0,255.0,2125.0,424.0,1228.0,549.0,1405.0,22211.0,Data Apps & Dashboards for Python. No JavaScript Required.,174.0,43,True,2025-03-25 15:11:43.000,3.0.1,188.0,dash,conda-forge/dash,,,,1566.0,,https://pypi.org/project/dash,2025-03-25 15:09:58.000,1566.0,5346959.0,5377415.0,https://anaconda.org/conda-forge/dash,2025-03-26 05:25:17.692,1735982.0,,,,,1.0,88.0,,,,,,,-3.0,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-03-26 16:56:01.000000,2025-03-26 16:25:16,3090.0,153.0,3712.0,440.0,3663.0,348.0,2622.0,18702.0,Open standard for machine learning interoperability.,342.0,43,True,2024-10-01 21:45:45.000,1.17.0,35.0,onnx,conda-forge/onnx,,,,43815.0,42551.0,https://pypi.org/project/onnx,2024-10-01 21:45:45.000,1264.0,6301999.0,6331530.0,https://anaconda.org/conda-forge/onnx,2025-03-25 16:00:27.476,1668498.0,,,,,1.0,23212.0,,,,,,,,,,,,,,,,,,,
34,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-03-27 08:06:23.000000,2025-03-27 08:05:51,1804.0,186.0,2565.0,145.0,675.0,1247.0,1125.0,16323.0,State-of-the-Art Text Embeddings.,218.0,43,True,2025-03-26 14:59:03.000,4.0.1,63.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],86220.0,83921.0,https://pypi.org/project/sentence-transformers,2025-03-26 14:29:38.000,2299.0,8188248.0,8199287.0,https://anaconda.org/conda-forge/sentence-transformers,2025-03-26 16:26:35.465,596133.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
35,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-03-27 13:39:53.000000,2025-03-27 06:25:57,3649.0,515.0,1859.0,196.0,4436.0,731.0,971.0,15003.0,Development repository for the Triton language and compiler.,383.0,43,True,2025-01-22 19:12:21.000,3.2.0,197.0,triton,,,,,59266.0,58930.0,https://pypi.org/project/triton,2025-01-22 19:12:21.000,336.0,21420877.0,21420877.0,,,,,,,,1.0,,triton-lang/triton,,,,,,,,,,,,,,,,,,
36,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2025-03-25 16:00:08.893000,2025-01-26 16:55:13,3242.0,4.0,1949.0,262.0,1140.0,168.0,2451.0,12976.0,Statistical data visualization in Python.,215.0,43,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,611916.0,601073.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,10843.0,23981165.0,24193100.0,https://anaconda.org/conda-forge/seaborn,2025-03-25 16:00:08.893,12080174.0,,,,,1.0,468.0,,,,,,,,,,,,,,,,,,,
37,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-03-25 16:01:04.301000,2025-03-24 17:24:34,5127.0,87.0,2115.0,1665.0,5037.0,414.0,2774.0,12593.0,WebGL2 powered visualization framework.,284.0,43,True,2025-03-24 17:36:53.487,9.1.8,691.0,pydeck,conda-forge/pydeck,,,['jupyter'],9334.0,8835.0,https://pypi.org/project/pydeck,2025-03-21 15:25:17.000,157.0,7743539.0,8435473.0,https://anaconda.org/conda-forge/pydeck,2025-03-25 16:01:04.301,719032.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-03-24 17:36:53.487,342.0,679095.0,,,,,,,,,,,,,
