,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
12,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-07-21 14:16:52.000000,2022-07-20 07:40:32,6992.0,194.0,2657,272.0,2809.0,331.0,2622.0,11030,Network Analysis in Python.,607.0,45,True,2022-07-18 21:25:36.871,2.8.5,80.0,networkx,conda-forge/networkx,,60.0,19797788.0,126631.0,113167.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13464.0,19692967.0,https://anaconda.org/conda-forge/networkx,2022-07-19 07:19:04.156,7232684.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-07-21 13:45:45.000000,2022-07-19 21:46:43,7152.0,285.0,19133,1945.0,5408.0,357.0,11119.0,55703,Deep Learning for humans.,1085.0,44,True,2022-05-13 20:03:15.000,2.9.0,65.0,keras,conda-forge/keras,['tensorflow'],,8510174.0,330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,8476270.0,https://anaconda.org/conda-forge/keras,2022-05-19 01:56:08.499,2407240.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-07-21 11:49:49.000000,2022-07-19 10:37:18,15546.0,143.0,3876,552.0,3217.0,93.0,5092.0,23813,Industrial-strength Natural Language Processing (NLP) in Python.,691.0,44,True,2022-07-12 06:16:11.000,3.4.0,195.0,spacy,conda-forge/spacy,,3145.0,4446770.0,43748.0,41373.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4404987.0,https://anaconda.org/conda-forge/spacy,2022-07-12 21:34:03.211,2713000.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-07-21 13:41:50.000000,2022-07-21 13:41:50,5874.0,130.0,8419,929.0,3632.0,301.0,4207.0,22985,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",570.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,4596.0,8064487.0,35150.0,33780.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1370.0,8020359.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2821316.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-07-21 15:11:23.000000,2022-07-21 15:10:11,13501.0,1319.0,3675,427.0,15893.0,2664.0,8289.0,21323,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",733.0,44,True,2022-06-09 17:15:12.000,ray-1.13.0,73.0,ray,conda-forge/ray-tune,,,1476002.0,5671.0,5394.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,277.0,1473474.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,48033.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-07-21 13:33:49.000000,2022-07-21 07:09:31,12334.0,1067.0,1776,285.0,7031.0,1107.0,2430.0,19522,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",422.0,44,True,2022-06-28 20:01:20.000,0.3.14,121.0,jax,conda-forge/jaxlib,,,628032.0,5336.0,5014.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,322.0,617857.0,https://anaconda.org/conda-forge/jaxlib,2022-07-16 18:08:37.488,366335.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-07-19 20:49:32.000000,2022-07-19 20:49:31,14322.0,48.0,2572,470.0,1364.0,222.0,1415.0,10917,Suite of libraries and programs for symbolic and statistical natural language processing for English.,427.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,11603550.0,161265.0,149445.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,11584394.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1360095.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-07-21 15:24:46.000000,2022-07-21 12:51:31,51596.0,790.0,3701,283.0,11678.0,4451.0,8042.0,9420,A computer algebra system written in pure Python.,1157.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,457367.0,2388226.0,48300.0,44168.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,2354106.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2211609.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-07-20 19:58:14.000000,2022-07-17 20:20:16,13243.0,58.0,2017,187.0,3784.0,618.0,1846.0,4986,Image processing in Python.,563.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,6736755.0,117757.0,108426.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9331.0,6686946.0,https://anaconda.org/conda-forge/scikit-image,2022-06-15 05:10:24.990,3685912.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-07-21 07:50:37.000000,2022-07-21 07:50:34,19609.0,81.0,3956,454.0,5212.0,715.0,6251.0,16508,"Interactive Data Visualization in the browser, from Python.",608.0,43,True,2022-05-18 19:00:14.000,2.4.3,129.0,bokeh,conda-forge/bokeh,,,3123958.0,57431.0,53878.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,2998830.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7883067.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-07-21 14:42:07.000000,2022-07-20 14:49:32,7277.0,154.0,1508,222.0,4743.0,759.0,3703.0,10113,Parallel computing with task scheduling.,545.0,43,True,2022-07-08 21:15:19.327,2022.7.0,147.0,dask,conda-forge/dask,,,9775415.0,41215.0,38548.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2667.0,9693481.0,https://anaconda.org/conda-forge/dask,2022-07-09 00:16:50.806,6063169.0,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,,,
23,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-07-21 02:41:41.000000,2022-07-15 00:44:15,2979.0,158.0,1594,246.0,847.0,108.0,1972.0,9602,Statistical data visualization in Python.,170.0,43,True,2021-08-16 00:42:18.000,0.11.2,28.0,seaborn,conda-forge/seaborn,,222.0,7875867.0,179265.0,169855.0,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,7816578.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,4209403.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
24,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-07-20 22:18:02.000000,2022-07-19 07:01:39,14667.0,120.0,2431,264.0,3582.0,2266.0,2534.0,7572,Statsmodels: statistical modeling and econometrics in Python.,378.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,26.0,8465312.0,71234.0,66721.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,8374149.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6654925.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-07-20 21:24:17.000000,2022-07-20 18:00:47,5097.0,80.0,1511,189.0,4139.0,576.0,1130.0,5913,TensorFlows Visualization Toolkit.,281.0,43,True,2022-06-13 11:14:01.000,2.9.1,42.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,13899681.0,118987.0,116587.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2400.0,13844568.0,https://anaconda.org/conda-forge/tensorboard,2022-06-12 14:07:22.031,3086339.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
26,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-07-21 13:40:01.000000,2022-07-21 13:39:58,33646.0,666.0,25868,2078.0,37220.0,224.0,,33452,Apache Spark Python API.,2690.0,42,True,2022-06-15 08:58:01.000,3.3.0,31.0,pyspark,conda-forge/pyspark,['spark'],,23999866.0,849.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,849.0,23971651.0,https://anaconda.org/conda-forge/pyspark,2022-06-16 07:21:06.515,1805818.0,2.0,,stable/spark,-1.0,,,,,,,,,,,,,,,,,,,,,
27,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-07-21 13:00:57.000000,2022-07-21 13:00:57,1691.0,109.0,7885,992.0,1360.0,31.0,1601.0,28096,A toolkit for developing and comparing reinforcement learning algorithms.,369.0,42,True,2022-07-14 22:00:24.966,0.25.0,102.0,gym,conda-forge/gym,,,619534.0,33487.0,31016.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2471.0,614662.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,131551.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
28,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-07-21 14:50:17.000000,2022-07-21 14:49:34,5539.0,109.0,2163,272.0,1378.0,1187.0,1205.0,11817,The interactive graphing library for Python (includes Plotly Express).,203.0,42,True,2022-06-24 01:10:19.000,5.9.0,282.0,plotly,conda-forge/plotly,,,7889171.0,4133.0,10.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4119.0,7798968.0,https://anaconda.org/conda-forge/plotly,2022-06-24 05:08:11.888,2888912.0,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,49515.0,,,,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-07-21 11:19:06.000000,2022-07-21 01:02:15,4167.0,146.0,1811,1737.0,3938.0,163.0,2330.0,10037,WebGL2 powered visualization framework.,200.0,42,True,2022-07-11 18:40:03.522,8.8.4,545.0,pydeck,conda-forge/pydeck,['jupyter'],,1101612.0,4755.0,4338.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,822710.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,139412.0,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-07-11 18:40:03.522,393.0,274095.0,,,,,,,,,,,,,,,,
30,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-07-20 22:05:32.000000,2022-07-20 22:05:29,2437.0,234.0,7262,613.0,2096.0,112.0,1529.0,22520,The fastai deep learning library.,613.0,41,True,2022-07-14 21:35:28.139,2.7.7,141.0,fastai,,['pytorch'],,302815.0,11011.0,10710.0,https://pypi.org/project/fastai,2022-07-04 04:05:22.000,301.0,302815.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
31,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-07-21 14:21:47.000000,2022-07-21 12:54:58,36602.0,1169.0,4614,730.0,29394.0,2902.0,12948.0,18575,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,773.0,41,True,2022-07-12 03:54:24.000,2.3.1,55.0,paddlepaddle,,['paddle'],15319.0,71890.0,181.0,131.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,71675.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
32,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-07-21 00:59:30.000000,2022-06-16 14:46:20,2277.0,96.0,2519,251.0,472.0,1387.0,602.0,16966,A game theoretic approach to explain the output of any machine learning model.,205.0,41,True,2022-06-16 00:31:04.000,0.41.0,95.0,shap,conda-forge/shap,,,3478251.0,6268.0,5993.0,https://pypi.org/project/shap,2022-06-16 00:43:28.000,275.0,3450425.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1307827.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
33,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-07-20 16:51:19.000000,2022-07-12 00:23:50,3022.0,84.0,3541,449.0,2632.0,218.0,2539.0,13979,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",261.0,41,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,157329.0,6000146.0,14896.0,14266.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,630.0,5979286.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1101808.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
34,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-07-18 20:20:52.000000,2022-05-06 00:53:28,4383.0,24.0,4236,432.0,1612.0,383.0,1395.0,13374,Topic Modelling for Humans.,430.0,41,True,2022-05-01 16:17:56.000,4.2.0,90.0,gensim,conda-forge/gensim,,3829.0,4450411.0,37852.0,34951.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2901.0,4435905.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,838631.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
35,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-07-21 14:45:27.000000,2022-07-21 01:03:06,1999.0,62.0,2862,426.0,2295.0,301.0,1755.0,12940,Open standard for machine learning interoperability.,241.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,17732.0,1400709.0,8035.0,7642.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,393.0,1392216.0,https://anaconda.org/conda-forge/onnx,2022-06-18 09:22:46.041,458206.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
36,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-07-21 14:13:21.000000,2022-07-20 23:41:31,2932.0,251.0,2830,274.0,3907.0,942.0,1529.0,12308,Open source platform for the machine learning lifecycle.,453.0,41,True,2022-06-29 03:41:27.000,1.27.0,60.0,mlflow,conda-forge/mlflow,,,11090749.0,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,11074430.0,https://anaconda.org/conda-forge/mlflow,2022-06-30 04:32:03.462,636467.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
37,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-07-21 14:24:37.000000,2022-07-21 09:08:31,2832.0,187.0,6034,371.0,3873.0,727.0,1836.0,12098,"Datasets, Transforms and Models specific to Computer Vision.",491.0,41,True,2022-06-28 16:45:08.000,0.13.0,31.0,torchvision,conda-forge/torchvision,['pytorch'],9046.0,3492483.0,3704.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3704.0,3486872.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,300762.0,1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,,
38,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2022-07-21 08:03:31.000000,2022-07-21 06:39:01,13532.0,1034.0,721,128.0,2573.0,125.0,1121.0,6677,A hyperparameter optimization framework.,202.0,41,True,2022-06-13 05:38:25.000,2.10.1,47.0,optuna,conda-forge/optuna,,,1580867.0,3999.0,3769.0,https://pypi.org/project/optuna,2022-06-13 05:39:20.000,230.0,1571515.0,https://anaconda.org/conda-forge/optuna,2022-07-06 03:46:47.901,299273.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
