,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-04-21 12:59:14.000000,2022-04-19 18:26:47,19527.0,54.0,3881,462.0,5135.0,708.0,6186.0,16209,"Interactive Data Visualization in the browser, from Python.",601.0,44,True,2021-11-22 17:49:14.000,2.4.2,119.0,bokeh,conda-forge/bokeh,,,,53690.0,50192.0,https://pypi.org/project/bokeh,2022-03-03 18:34:50.000,3498.0,5503445.0,5619925.0,https://anaconda.org/conda-forge/bokeh,2022-04-13 06:00:47.827,6988805.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-04-20 07:01:47.000000,2022-04-13 03:25:55,14267.0,36.0,2572,474.0,1347.0,222.0,1391.0,10660,Suite of libraries and programs for symbolic and statistical natural language processing for English.,417.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,150806.0,138986.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,12731241.0,12748737.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1189740.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-04-20 08:39:07.000000,2022-04-15 19:10:14,13170.0,123.0,1962,183.0,3722.0,426.0,1810.0,4870,Image processing in Python.,551.0,44,True,2022-02-17 18:25:54.000,0.19.2,44.0,scikit-image,conda-forge/scikit-image,,,,109386.0,100296.0,https://pypi.org/project/scikit-image,2022-02-17 18:24:44.000,9090.0,4916068.0,4962832.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3320304.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-04-21 06:17:42.000000,2022-04-20 22:28:18,11238.0,985.0,1581,265.0,6265.0,1058.0,2209.0,17226,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",384.0,43,True,2022-04-16 13:26:05.000,0.3.7,114.0,jax,conda-forge/jaxlib,,,,4375.0,4088.0,https://pypi.org/project/jax,2022-04-16 13:26:05.000,287.0,379828.0,388902.0,https://anaconda.org/conda-forge/jaxlib,2022-04-10 09:48:43.977,299444.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
24,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-04-20 22:32:08.000000,2022-04-20 14:22:24,6798.0,129.0,2581,274.0,2603.0,363.0,2503.0,10631,Network Analysis in Python.,584.0,43,True,2022-04-09 22:35:15.000,networkx-2.8,74.0,networkx,conda-forge/networkx,,,,118124.0,104870.0,https://pypi.org/project/networkx,2022-04-09 22:38:56.000,13254.0,16947670.0,17039557.0,https://anaconda.org/conda-forge/networkx,2022-04-10 05:15:19.223,6064542.0,,,,,1.0,59.0,,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-04-21 14:36:10.000000,2022-04-20 20:27:05,7120.0,188.0,1471,224.0,4570.0,740.0,3570.0,9786,Parallel computing with task scheduling.,527.0,43,True,2022-04-15 20:57:39.000,2022.4.1,140.0,dask,conda-forge/dask,,,,38577.0,35971.0,https://pypi.org/project/dask,2022-04-15 20:57:39.000,2606.0,5646225.0,5721558.0,https://anaconda.org/conda-forge/dask,2022-04-16 04:09:25.891,5348652.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
26,Arrow,apache/arrow,data-containers,,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000,2022-04-21 14:40:41.000000,2022-04-21 14:42:34,11359.0,573.0,2304,337.0,12189.0,264.0,717.0,9389,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,846.0,43,True,2021-11-18 03:54:39.000,6.0.1,36.0,pyarrow,conda-forge/arrow,,,,1478.0,65.0,https://pypi.org/project/pyarrow,2022-02-03 19:25:09.000,1413.0,44288313.0,44301483.0,https://anaconda.org/conda-forge/arrow,2022-01-27 20:04:47.163,935079.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-04-21 09:07:08.000000,2022-04-19 16:31:58,14546.0,101.0,2431,261.0,3539.0,2266.0,2508.0,7292,Statsmodels: statistical modeling and econometrics in Python.,364.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,66167.0,61654.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,7915989.0,8000405.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,5909186.0,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,,
28,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-04-20 19:54:33.000000,2022-04-20 19:54:33,5015.0,97.0,1472,195.0,4038.0,554.0,1113.0,5831,TensorFlows Visualization Toolkit.,278.0,43,True,2022-01-20 21:11:31.000,2.8.0,40.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],106550.0,104249.0,https://pypi.org/project/tensorboard,2022-01-20 21:11:31.000,2301.0,13815789.0,13869493.0,https://anaconda.org/conda-forge/tensorboard,2022-02-04 23:08:31.070,2846363.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-04-21 13:55:33.000000,2022-04-21 13:53:28,32958.0,762.0,25366,2076.0,36274.0,247.0,,32637,Apache Spark Python API.,2655.0,42,True,2022-01-26 05:20:58.000,3.2.1,29.0,pyspark,conda-forge/pyspark,,,['spark'],791.0,,https://pypi.org/project/pyspark,2022-01-26 05:20:58.000,791.0,20020921.0,20046444.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1556916.0,,,,,2.0,,stable/spark,,,,,,,,,,,,,,,,,,
30,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-04-21 10:10:07.000000,2022-04-18 15:30:56,1578.0,106.0,7688,997.0,1219.0,111.0,1446.0,27271,A toolkit for developing and comparing reinforcement learning algorithms.,353.0,42,True,2022-03-14 22:44:47.000,0.23.1,99.0,gym,conda-forge/gym,,,,30894.0,28490.0,https://pypi.org/project/gym,2022-03-14 22:44:47.000,2404.0,728199.0,732360.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,99885.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-04-21 13:58:03.000000,2022-04-21 12:38:01,6861.0,435.0,2291,219.0,6061.0,574.0,4404.0,18106,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",654.0,42,True,2022-04-13 18:30:15.000,1.6.1,207.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],8700.0,8353.0,https://pypi.org/project/pytorch-lightning,2022-04-13 18:41:32.000,347.0,2347935.0,2367033.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-04-14 05:59:45.710,416037.0,,,,,2.0,6236.0,,,,,,,,,,,,,,,,,,,
32,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-04-21 08:53:13.000000,2022-04-15 14:12:15,2937.0,84.0,3459,446.0,2525.0,170.0,2460.0,13691,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",257.0,42,True,2022-01-07 15:20:18.000,3.3.2,28.0,lightgbm,conda-forge/lightgbm,,,,13144.0,12568.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,576.0,7272141.0,7291579.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,968683.0,,,,,2.0,146649.0,,,,,,,,,,,,,,,,,,,
33,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-04-21 14:11:51.000000,2022-04-21 11:19:25,2636.0,239.0,5752,365.0,3575.0,699.0,1728.0,11452,"Datasets, Transforms and Models specific to Computer Vision.",480.0,42,True,2022-03-10 18:28:39.000,0.12.0,30.0,torchvision,conda-forge/torchvision,,,['pytorch'],3540.0,,https://pypi.org/project/torchvision,2022-03-10 16:45:51.000,3540.0,3671609.0,3675722.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,210755.0,,,,,1.0,3700.0,,,,,,,,,,,,,,,,,,,
34,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-04-09 10:37:22.000000,2022-04-05 19:03:00,5421.0,46.0,2134,271.0,1326.0,1141.0,1170.0,11346,The interactive graphing library for Python (includes Plotly Express).,193.0,42,True,2022-04-05 16:31:26.000,5.7.0,278.0,plotly,conda-forge/plotly,,,,3969.0,9.0,https://pypi.org/project/plotly,2022-04-05 16:26:03.000,3956.0,7512755.0,7593268.0,https://anaconda.org/conda-forge/plotly,2022-04-05 18:41:54.292,2400870.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,45207.0,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-04-21 09:06:02.000000,2022-04-21 02:15:45,4017.0,107.0,1764,1745.0,3793.0,152.0,2259.0,9719,WebGL2 powered visualization framework.,190.0,42,True,2022-04-20 11:02:53.000,8.7.7,527.0,pydeck,conda-forge/pydeck,,,['jupyter'],4329.0,3922.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,22.0,984106.0,1266779.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,86381.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-04-20 10:48:41.131,385.0,279351.0,,,,,,,,,,,,
36,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-04-21 13:43:07.000000,2022-04-21 13:31:38,35416.0,1797.0,4451,729.0,27506.0,2867.0,12442.0,18005,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,724.0,41,True,2022-01-26 02:13:57.000,2.2.2,53.0,paddlepaddle,,,,['paddle'],156.0,108.0,https://pypi.org/project/paddlepaddle,2022-04-15 11:42:45.000,48.0,87738.0,87963.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,,,,,,
37,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-04-19 18:36:21.000000,2022-04-19 18:36:19,4350.0,50.0,4094,431.0,1597.0,380.0,1381.0,13111,Topic Modelling for Humans.,426.0,41,True,2021-09-18 14:21:47.000,4.1.2,89.0,gensim,conda-forge/gensim,,,,35240.0,32419.0,https://pypi.org/project/gensim,2021-09-17 00:24:57.000,2821.0,5212576.0,5226858.0,https://anaconda.org/conda-forge/gensim,2021-11-09 13:39:50.380,783082.0,,,,,1.0,3517.0,,1.0,,,,,,,,,,,,,,,,,
