,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-07-27 12:51:55.000000,2023-07-26 15:41:21,54552,444.0,3997,291.0,12507.0,4826.0,8439.0,11100,A computer algebra system written in pure Python.,1230.0,47,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,77046.0,72534.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4512.0,8733627.0,8783154.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,3895769.0,,,,,1.0,507392.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-07-26 10:10:58.000000,2023-07-25 22:16:34,15083,302.0,2075,220.0,4338.0,105.0,2763.0,11005,Python Imaging Library (Fork).,440.0,47,True,2023-07-01 14:57:58.842,10.0.0,93.0,Pillow,conda-forge/pillow,,,,1338397.0,1272729.0,https://pypi.org/project/Pillow,2023-07-01 14:57:58.842,65668.0,56159585.0,57014955.0,https://anaconda.org/conda-forge/pillow,2023-07-02 00:52:56.834,30793355.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-07-27 14:03:35.000000,2023-07-27 13:33:35,62422,2861.0,18286,1662.0,70551.0,11485.0,23838.0,69241,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4225.0,45,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,,,10139213.0,10932962.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,17456936.0,,,,,1.0,20712.0,,,,,,,,,,,,,,,,,,
14,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-07-27 14:13:06.000000,2023-07-27 13:53:54,37496,934.0,27139,2039.0,42159.0,258.0,,36315,Apache Spark Python API.,2904.0,45,True,2023-06-23 08:31:27.681,3.4.1,38.0,pyspark,conda-forge/pyspark,,,['spark'],1083.0,,https://pypi.org/project/pyspark,2023-06-23 08:31:27.681,1083.0,25782363.0,25855455.0,https://anaconda.org/conda-forge/pyspark,2023-06-27 13:31:45.123,2704404.0,,,,,1.0,,stable/spark,7.0,,,,,,,,,,,,,,,,
15,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-07-25 03:36:02.000000,2023-06-30 11:52:22,15089,68.0,2559,277.0,3794.0,2478.0,2686.0,8712,Statsmodels: statistical modeling and econometrics in Python.,414.0,45,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,98677.0,98677.0,https://pypi.org/project/statsmodels,,,11544628.0,11670848.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,10728716.0,,,,,1.0,29.0,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-07-27 14:10:14.000000,2023-07-27 04:25:56,18347,1281.0,4614,452.0,22843.0,3118.0,11900.0,26768,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,890.0,44,True,2023-07-24 05:07:30.000,ray-2.6.1,87.0,ray,conda-forge/ray-tune,,,,11043.0,10667.0,https://pypi.org/project/ray,2023-07-24 04:52:13.000,376.0,2140453.0,2145326.0,https://anaconda.org/conda-forge/ray-tune,2023-07-24 16:07:37.720,151044.0,,,,,1.0,85.0,,,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-07-26 15:52:26.000000,2023-07-26 14:05:53,15968,75.0,4195,550.0,3820.0,103.0,5377.0,26721,Industrial-strength Natural Language Processing (NLP) in Python.,730.0,44,True,2023-07-07 08:32:23.000,3.6.0,222.0,spacy,conda-forge/spacy,,,,67642.0,64921.0,https://pypi.org/project/spacy,2023-07-07 08:25:12.430,2721.0,5303925.0,5388927.0,https://anaconda.org/conda-forge/spacy,2023-07-10 13:51:26.746,3145085.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-07-27 12:39:48.000000,2023-07-27 01:25:17,16825,915.0,2174,313.0,10446.0,1175.0,3185.0,24000,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",555.0,44,True,2023-06-23 00:53:14.000,jax-v0.4.13,77.0,jax,conda-forge/jaxlib,,,,15835.0,15835.0,https://pypi.org/project/jax,,,3287028.0,3310115.0,https://anaconda.org/conda-forge/jaxlib,2023-07-04 17:04:18.476,854232.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-07-27 13:27:08.000000,2023-07-27 11:38:16,20175,82.0,4111,446.0,5767.0,757.0,6635.0,17789,"Interactive Data Visualization in the browser, from Python.",665.0,44,True,2023-07-20 10:11:25.000,3.2.1,172.0,bokeh,conda-forge/bokeh,,,,76562.0,72859.0,https://pypi.org/project/bokeh,2023-07-20 10:11:25.000,3703.0,3191168.0,3516287.0,https://anaconda.org/conda-forge/bokeh,2023-07-20 14:00:10.384,12029422.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
20,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-07-27 05:48:07.000000,2023-07-27 01:14:04,4413,449.0,3460,290.0,5983.0,1177.0,2020.0,14862,Open source platform for the machine learning lifecycle.,603.0,44,True,2023-07-17 08:47:14.000,2.5.0,79.0,mlflow,conda-forge/mlflow,,,,22124.0,21672.0,https://pypi.org/project/mlflow,2023-07-17 08:15:06.470,452.0,13269149.0,13307128.0,https://anaconda.org/conda-forge/mlflow,2023-07-18 00:01:43.462,1405249.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-07-27 13:24:58.000000,2023-07-27 13:07:05,7343,77.0,2956,280.0,3348.0,393.0,2816.0,12907,Network Analysis in Python.,659.0,44,True,2023-04-04 20:05:38.000,networkx-3.1,89.0,networkx,conda-forge/networkx,,,,187687.0,173375.0,https://pypi.org/project/networkx,2023-04-04 20:09:20.051,14312.0,25507426.0,25661727.0,https://anaconda.org/conda-forge/networkx,2023-06-16 13:18:51.990,12498422.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,
22,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-07-27 08:44:33.000000,2023-07-27 03:09:55,6460,127.0,8067,913.0,4545.0,327.0,4540.0,24410,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",617.0,43,True,2023-06-19 01:38:37.000,1.7.6,51.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,62428.0,62428.0,https://pypi.org/project/xgboost,,,10140454.0,10255143.0,https://anaconda.org/conda-forge/xgboost,2023-06-28 08:56:09.590,4126616.0,,,,,2.0,6843.0,,,,,,,,,,,,,,,,,,
23,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-07-24 17:44:20.000000,2023-07-24 03:37:11,3310,55.0,3631,443.0,2948.0,277.0,2774.0,15308,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",286.0,43,True,2023-07-13 18:43:08.000,4.0.0,28.0,lightgbm,conda-forge/lightgbm,,,,23717.0,23717.0,https://pypi.org/project/lightgbm,,,6405222.0,6463121.0,https://anaconda.org/conda-forge/lightgbm,2023-07-14 13:55:17.383,1879500.0,,,,,2.0,196527.0,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-07-26 18:47:15.000000,2023-07-25 16:13:04,7829,118.0,1636,215.0,5400.0,937.0,4010.0,11238,Parallel computing with task scheduling.,583.0,43,True,2023-07-20 21:08:46.000,2023.7.1,175.0,dask,conda-forge/dask,,,,54128.0,51237.0,https://pypi.org/project/dask,2023-07-20 21:08:46.000,2891.0,7919966.0,8171656.0,https://anaconda.org/conda-forge/dask,2023-07-20 23:14:11.175,9564220.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-07-26 21:27:36.000000,2023-07-26 21:27:35,5602,136.0,1600,191.0,4716.0,639.0,1199.0,6312,TensorFlows Visualization Toolkit.,305.0,43,True,2023-05-04 23:06:01.343,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],182702.0,179995.0,https://pypi.org/project/tensorboard,2023-05-04 23:06:01.343,2707.0,18233176.0,18294239.0,https://anaconda.org/conda-forge/tensorboard,2023-06-16 13:24:55.263,4152350.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
26,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-07-27 13:59:13.000000,2023-07-27 11:38:30,9477,279.0,2974,234.0,9179.0,751.0,5640.0,24177,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",889.0,42,True,2023-07-25 00:07:33.000,2.0.6,253.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],627.0,,https://pypi.org/project/pytorch-lightning,2023-07-25 00:07:33.000,627.0,3664620.0,3688955.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-07-25 02:24:00.731,884545.0,,,,,2.0,12890.0,,4.0,,,,,,,,,,,,,,,,
27,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-07-27 14:07:57.000000,2023-07-27 13:08:46,42744,1197.0,5279,728.0,38554.0,2055.0,15966.0,20657,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1065.0,42,True,2023-07-25 11:09:59.000,2.5.0,64.0,paddlepaddle,,,,['paddle'],348.0,272.0,https://pypi.org/project/paddlepaddle,2023-07-27 06:56:01.000,76.0,118710.0,118895.0,,,,,,,,2.0,15356.0,,,,,,,,,,,,,,,,,,
28,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-07-27 14:16:02.000000,2023-07-26 09:40:45,2449,117.0,3562,433.0,2857.0,382.0,2108.0,15198,Open standard for machine learning interoperability.,290.0,42,True,2023-05-05 16:35:02.000,1.14.0,29.0,onnx,conda-forge/onnx,,,,17650.0,17112.0,https://pypi.org/project/onnx,2023-05-04 23:16:04.549,538.0,2762905.0,2784574.0,https://anaconda.org/conda-forge/onnx,2023-07-12 10:54:40.179,791557.0,,,,,1.0,19111.0,,,,,,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-07-26 16:47:40.000000,2023-07-25 19:54:53,4481,48.0,2020,1706.0,4297.0,227.0,2505.0,11061,WebGL2 powered visualization framework.,232.0,42,True,2023-07-20 17:46:08.468,8.9.22,604.0,pydeck,conda-forge/pydeck,,,['jupyter'],6774.0,6273.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,35.0,1428731.0,1877584.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,415084.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-07-20 17:46:08.468,466.0,438729.0,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-07-24 20:56:27.000000,2023-07-22 23:08:18,3155,19.0,1688,257.0,1016.0,125.0,2224.0,10940,Statistical data visualization in Python.,198.0,42,True,2022-12-30 19:12:05.000,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,284623.0,284623.0,https://pypi.org/project/seaborn,,,9975742.0,10061316.0,https://anaconda.org/conda-forge/seaborn,2023-06-16 13:21:42.625,7102553.0,,,,,1.0,258.0,,,,,,,,,,,,,,,,,,
31,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-07-27 09:46:50.000000,2023-07-27 09:46:50,3525,56.0,697,150.0,1228.0,179.0,1641.0,8389,Declarative statistical visualization library for Python.,156.0,42,True,2023-05-26 21:55:53.000,5.0.1,23.0,altair,conda-forge/altair,,,,65753.0,65753.0,https://pypi.org/project/altair,,,12869955.0,12971264.0,https://anaconda.org/conda-forge/altair,2023-07-12 14:27:15.237,1924871.0,,,,,1.0,73.0,,,,,,,,,,,,,,,,,,
32,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-07-26 15:19:46.000000,2023-07-24 22:28:55,13656,136.0,2169,187.0,4201.0,716.0,1983.0,5519,Image processing in Python.,620.0,42,False,2023-06-02 05:03:22.000,0.21.0,57.0,scikit-image,conda-forge/scikit-image,,,,158737.0,148777.0,https://pypi.org/project/scikit-image,2023-06-02 05:00:23.583,9960.0,7036758.0,7181390.0,https://anaconda.org/conda-forge/scikit-image,2023-07-08 14:10:33.891,5351396.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
33,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-07-27 08:17:11.000000,2023-07-26 18:32:27,8321,162.0,18480,1917.0,6505.0,299.0,11474.0,58927,Deep Learning for humans.,1196.0,41,True,2023-06-27 23:42:33.000,2.13.1,50.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,,,9953037.0,9991139.0,https://anaconda.org/conda-forge/keras,2023-06-16 13:24:44.459,3162474.0,,,,,2.0,,,-5.0,,,,,,,,,,,,,,,,
34,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-07-27 13:45:08.000000,2023-07-26 21:10:24,5461,426.0,1328,128.0,2180.0,382.0,2085.0,20250,"Wrap UIs around any model, share with anyone.",181.0,41,True,2023-07-26 21:14:51.000,3.39.0,100.0,gradio,,,,,10548.0,10548.0,https://pypi.org/project/gradio,,,3110468.0,3110468.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
35,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-07-27 10:42:29.000000,2023-07-27 10:10:52,2454,177.0,2960,253.0,629.0,1431.0,835.0,19779,A game theoretic approach to explain the output of any machine learning model.,215.0,41,True,2023-07-15 11:31:17.694,0.42.1,98.0,shap,conda-forge/shap,,,,12815.0,12432.0,https://pypi.org/project/shap,2023-07-15 11:31:17.694,383.0,6571993.0,6636720.0,https://anaconda.org/conda-forge/shap,2023-07-26 09:30:41.606,2006562.0,,,,,1.0,,,,,,,,,shap/shap,,,,,,,,,,
36,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-07-19 00:02:26.000000,2023-06-02 02:45:47,14445,7.0,2642,466.0,1424.0,240.0,1482.0,12161,Suite of libraries and programs for symbolic and statistical natural language processing for English.,441.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,208594.0,208594.0,https://pypi.org/project/nltk,,,10452549.0,10477860.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2100842.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
37,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-07-27 08:45:23.000000,2023-07-26 13:29:14,8887,222.0,1077,137.0,5067.0,568.0,3828.0,11794,Data Version Control | Git for Data & Models | ML Experiments Management.,283.0,41,True,2023-07-25 20:50:29.000,3.8.1,450.0,dvc,conda-forge/dvc,,,,8695.0,8630.0,https://pypi.org/project/dvc,2023-07-25 20:52:06.000,65.0,669554.0,719247.0,https://anaconda.org/conda-forge/dvc,2023-07-25 22:03:28.332,1649414.0,,,,,1.0,76735.0,,,,,,,,,dvc,dvc,dvc,,,,,,,
38,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-07-27 12:21:57.000000,2023-07-26 22:08:39,5640,161.0,2308,296.0,3523.0,661.0,2814.0,26219,Streamlit A faster way to build and share data apps.,190.0,40,True,2023-07-20 22:07:55.000,1.25.0,204.0,streamlit,,,,,1798.0,895.0,https://pypi.org/project/streamlit,2023-07-20 22:07:48.000,903.0,1926579.0,1926579.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
39,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-07-25 15:55:11.000000,2023-07-25 15:55:07,6953,159.0,1830,414.0,971.0,716.0,823.0,19046,Data Apps & Dashboards for Python. No JavaScript Required.,139.0,40,True,2023-06-29 20:21:49.000,2.11.1,97.0,dash,conda-forge/dash,,,,49496.0,49496.0,https://pypi.org/project/dash,,,1915915.0,1943912.0,https://anaconda.org/conda-forge/dash,2023-07-01 05:39:11.946,1035905.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
