,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2024-03-07 09:49:32.000000,2024-03-07 08:49:50,49637.0,404.0,7331.0,594.0,17749.0,1536.0,8929.0,18963.0,matplotlib: plotting with Python.,1649.0,50,True,2024-02-16 10:48:06.000,3.7.5,121.0,matplotlib,conda-forge/matplotlib,,,,1176728.0,1111534.0,https://pypi.org/project/matplotlib,2024-02-16 10:48:06.000,65194.0,58176890.0,58664337.0,https://anaconda.org/conda-forge/matplotlib,2024-02-15 20:37:52.070,21935133.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-03-07 13:58:33.000000,2024-03-06 23:24:18,31695.0,477.0,5010.0,347.0,10421.0,1814.0,8264.0,12253.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1595.0,50,True,2024-01-20 22:00:44.000,1.12.0,99.0,scipy,conda-forge/scipy,,,,1004890.0,937965.0,https://pypi.org/project/scipy,2024-01-20 21:10:31.000,66925.0,89634439.0,90772008.0,https://anaconda.org/conda-forge/scipy,2024-01-24 03:11:41.395,45350643.0,,,,,1.0,395582.0,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-03-07 11:39:28.000000,2024-03-07 09:18:41,17259.0,527.0,2173.0,223.0,4689.0,110.0,2940.0,11533.0,Python Imaging Library (Fork).,462.0,48,True,2024-01-02 09:38:41.000,10.2.0,95.0,Pillow,conda-forge/pillow,,,,1630699.0,1562898.0,https://pypi.org/project/Pillow,2023-10-15 13:01:25.000,67801.0,87818576.0,88645439.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,36381994.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-03-07 12:58:47.000000,2024-03-06 13:42:30,10358.0,203.0,19300.0,1912.0,6962.0,196.0,11440.0,60580.0,Deep Learning for humans.,1278.0,47,True,2024-02-14 22:35:35.000,3.0.5,91.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],762.0,,https://pypi.org/project/keras,2024-02-14 22:35:35.000,762.0,16588618.0,16663954.0,https://anaconda.org/conda-forge/keras,2024-02-15 07:10:55.798,3390136.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-03-07 13:21:19.000000,2024-03-07 12:37:36,19665.0,1107.0,2416.0,320.0,12653.0,1257.0,3722.0,26936.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",648.0,45,True,2024-02-26 16:01:19.000,jax-v0.4.25,97.0,jax,conda-forge/jaxlib,,,,22583.0,22583.0,https://pypi.org/project/jax,,,5903991.0,5927589.0,https://anaconda.org/conda-forge/jaxlib,2024-03-02 05:03:07.971,1061919.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-03-07 13:27:21.000000,2024-03-06 15:24:58,10200.0,219.0,3182.0,249.0,9996.0,634.0,6140.0,26382.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",932.0,45,True,2024-03-04 18:59:32.000,2.2.1,268.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],30398.0,29592.0,https://pypi.org/project/pytorch-lightning,2024-03-04 18:59:32.000,806.0,4809264.0,4833101.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-03-05 21:00:43.443,1061537.0,,,,,1.0,8700.0,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-03-07 14:10:59.000000,2024-03-05 05:36:08,6777.0,111.0,8710.0,907.0,4996.0,411.0,4727.0,25377.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",637.0,45,True,2023-12-19 21:59:17.000,2.0.3,80.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,84852.0,83010.0,https://pypi.org/project/xgboost,2023-12-19 21:59:17.000,1842.0,15960988.0,16064929.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4570478.0,,,,,1.0,8129.0,,,,,,,,,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-03-07 13:50:14.000000,2024-03-07 12:04:17,47212.0,1879.0,5238.0,721.0,44522.0,960.0,16827.0,21423.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1166.0,45,True,2024-01-08 06:43:49.000,2.6.0,61.0,paddlepaddle,,,,['paddle'],4726.0,4726.0,https://pypi.org/project/paddlepaddle,,,259323.0,259491.0,,,,,,,,1.0,15369.0,,,,,,,,,,,,,,,,,,,
18,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-03-07 10:40:52.000000,2024-03-07 10:40:49,8127.0,201.0,1653.0,212.0,5753.0,1042.0,4115.0,11845.0,Parallel computing with task scheduling.,594.0,45,True,2024-02-23 18:13:34.000,2024.2.1,190.0,dask,conda-forge/dask,,,,61042.0,57886.0,https://pypi.org/project/dask,2024-02-23 18:13:34.000,3156.0,7262330.0,7496495.0,https://anaconda.org/conda-forge/dask,2024-02-26 17:58:46.709,10771610.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-03-05 03:01:41.000000,2024-02-28 12:40:58,15260.0,101.0,2632.0,280.0,3851.0,2573.0,2740.0,9376.0,Statsmodels: statistical modeling and econometrics in Python.,423.0,45,True,2023-12-14 14:31:51.000,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,116838.0,116838.0,https://pypi.org/project/statsmodels,,,14422013.0,14695841.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12322273.0,,,,,1.0,30.0,,,,,,,,,,,,,,,,,,,
20,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-03-07 12:24:46.000000,2024-03-07 01:27:54,6146.0,171.0,2713.0,308.0,4185.0,754.0,3227.0,30585.0,Streamlit A faster way to build and share data apps.,221.0,44,True,2024-02-12 17:53:30.000,1.31.1,215.0,streamlit,,,,,325385.0,323960.0,https://pypi.org/project/streamlit,2024-02-12 17:53:21.000,1425.0,5658771.0,5658771.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-03-07 14:08:28.000000,2024-03-07 00:24:44,20917.0,826.0,5096.0,469.0,26581.0,3609.0,13807.0,30231.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,982.0,44,True,2024-02-22 19:57:55.000,ray-2.9.3,99.0,ray,conda-forge/ray-tune,,,,14550.0,14075.0,https://pypi.org/project/ray,2024-02-22 19:42:56.000,475.0,3380674.0,3385536.0,https://anaconda.org/conda-forge/ray-tune,2024-03-07 01:45:05.697,189552.0,,,,,1.0,208.0,,,,,,,,,,,,,,,,,,,
22,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-03-07 13:56:38.000000,2024-02-20 12:17:51,16117.0,33.0,4395.0,554.0,3965.0,94.0,5479.0,28393.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,44,True,2024-02-15 19:16:59.000,3.7.4,229.0,spacy,conda-forge/spacy,,,,84923.0,81913.0,https://pypi.org/project/spacy,2024-02-15 18:47:21.000,3010.0,6438385.0,6512602.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3339790.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-03-07 05:12:53.000000,2024-03-06 20:52:01,6366.0,357.0,1933.0,149.0,3432.0,466.0,3364.0,27066.0,"Wrap UIs around any model, share with anyone.",276.0,44,True,2024-03-06 17:21:51.000,4.20.1,550.0,gradio,,,,,24649.0,24331.0,https://pypi.org/project/gradio,2024-03-06 17:21:51.000,318.0,6896214.0,6896214.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-03-07 11:57:53.000000,2024-03-07 05:25:24,5538.0,415.0,3861.0,293.0,7656.0,1356.0,2365.0,16902.0,Open source platform for the machine learning lifecycle.,707.0,44,True,2024-03-06 08:35:11.000,2.11.1,92.0,mlflow,conda-forge/mlflow,,,,31956.0,31393.0,https://pypi.org/project/mlflow,2024-03-06 07:13:34.000,563.0,15384263.0,15423284.0,https://anaconda.org/conda-forge/mlflow,2024-03-07 11:22:53.008,1755988.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-03-07 12:46:31.000000,2024-02-15 16:34:58,6368.0,105.0,2463.0,281.0,1610.0,1484.0,1393.0,14957.0,The interactive graphing library for Python This project now includes Plotly Express!.,257.0,44,True,2024-02-15 15:49:11.000,5.19.0,295.0,plotly,conda-forge/plotly,,,,250891.0,245190.0,https://pypi.org/project/plotly,2024-02-15 15:42:04.000,5694.0,13197259.0,13320890.0,https://anaconda.org/conda-forge/plotly,2024-02-15 18:15:23.292,5314554.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,7.0,8098.0,,,,,,,,,,,,
26,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-03-07 13:00:30.000000,2024-03-07 07:05:26,7627.0,103.0,3172.0,275.0,3684.0,345.0,2968.0,13985.0,Network Analysis in Python.,710.0,44,True,2023-10-28 09:53:23.000,networkx-3.2.1,92.0,networkx,conda-forge/networkx,,,,245046.0,229774.0,https://pypi.org/project/networkx,2023-10-28 08:41:36.000,15272.0,47420224.0,47765505.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14847088.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,,
27,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-03-07 14:40:09.000000,2024-03-06 18:28:20,57222.0,461.0,4114.0,294.0,12996.0,4287.0,8678.0,11916.0,A computer algebra system written in pure Python.,1278.0,44,False,2023-05-10 18:09:23.000,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,116524.0,116524.0,https://pypi.org/project/sympy,,,15930071.0,15987893.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5042675.0,,,,,1.0,534726.0,,,,,,,,,,,,,,,,,,,
28,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-03-04 05:08:14.000000,2024-02-25 16:31:25,3230.0,20.0,1876.0,259.0,1091.0,129.0,2355.0,11756.0,Statistical data visualization in Python.,211.0,44,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,383966.0,372153.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,11813.0,16782436.0,16963107.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8130084.0,,,,,1.0,376.0,,,,,,,,,,,,,,,,,,,
29,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-03-07 13:33:07.000000,2024-03-06 11:49:28,5778.0,49.0,1615.0,192.0,4938.0,655.0,1223.0,6484.0,TensorFlows Visualization Toolkit.,315.0,44,True,2024-02-16 19:56:55.000,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],221824.0,218849.0,https://pypi.org/project/tensorboard,2024-02-16 19:56:55.000,2975.0,25722263.0,25822822.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4525166.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
30,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-03-07 14:14:46.000000,2024-03-07 12:22:18,20411.0,86.0,4093.0,443.0,5996.0,722.0,6838.0,18647.0,"Interactive Data Visualization in the browser, from Python.",685.0,43,True,,,58.0,bokeh,conda-forge/bokeh,,,,84586.0,84586.0,https://pypi.org/project/bokeh,,,4575718.0,4874469.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13443795.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-03-07 12:30:22.887000,2024-03-06 21:20:51,2686.0,79.0,3584.0,438.0,3144.0,312.0,2371.0,16537.0,Open standard for machine learning interoperability.,309.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,25297.0,24598.0,https://pypi.org/project/onnx,2023-10-26 18:30:51.000,699.0,5134095.0,5154993.0,https://anaconda.org/conda-forge/onnx,2024-03-07 12:30:22.887,928714.0,,,,,1.0,20065.0,,,,,,,,,,,,,,,,,,,
32,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-03-07 11:42:34.000000,2024-03-04 18:06:08,3435.0,47.0,3677.0,434.0,3091.0,325.0,2922.0,15902.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",296.0,43,True,2024-01-26 02:11:11.000,4.3.0,31.0,lightgbm,conda-forge/lightgbm,,,,30414.0,30414.0,https://pypi.org/project/lightgbm,,,8108192.0,8163204.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2201416.0,,,,,2.0,215655.0,,,,,,,,,,,,,,,,,,,
33,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-03-06 20:48:22.000000,2024-01-29 09:04:39,14509.0,27.0,2832.0,468.0,1451.0,266.0,1513.0,12871.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,454.0,43,True,2023-07-20 15:52:53.307,0.9.9,59.0,nltk,conda-forge/nltk,,,,268774.0,255816.0,https://pypi.org/project/nltk,2023-07-20 15:52:53.307,12958.0,15953242.0,15979900.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2425931.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-03-07 09:06:14.000000,2024-03-07 05:55:10,4705.0,116.0,2013.0,1692.0,4556.0,310.0,2624.0,11580.0,WebGL2 powered visualization framework.,249.0,43,True,2024-02-28 21:43:30.387,8.9.35,634.0,pydeck,conda-forge/pydeck,,,['jupyter'],7780.0,7227.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,58.0,2861237.0,3298058.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,482123.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-03-07 05:55:50.803,495.0,426982.0,,,,,,,,,,,,
35,triton,openai/triton,model-serialisation,,https://github.com/openai/triton,https://github.com/openai/triton,MIT,2014-08-30 17:07:16.000,2024-03-07 14:38:06.000000,2024-03-07 14:22:25,1837.0,302.0,1120.0,177.0,2126.0,459.0,614.0,10209.0,Development repository for the Triton language and compiler.,218.0,43,True,2024-01-10 03:11:56.000,2.2.0,192.0,triton,,,,,18922.0,18824.0,https://pypi.org/project/triton,2024-01-10 03:11:56.000,98.0,9645713.0,9645713.0,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,
36,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-03-07 14:10:29.000000,2024-03-06 01:18:03,2188.0,208.0,3737.0,317.0,2578.0,972.0,1547.0,31723.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",291.0,42,True,2024-03-06 01:17:22.000,0.13.5,87.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],6116.0,6013.0,https://pypi.org/project/deepspeed,2024-03-06 01:17:22.000,103.0,446620.0,446975.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17770.0,1.0,,,,,,,,,,,,,,,,,,,,
37,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-03-06 10:51:06.000000,2024-03-06 10:51:06,13863.0,77.0,2249.0,186.0,4361.0,762.0,2051.0,5799.0,Image processing in Python.,653.0,42,False,2023-10-03 21:36:37.000,0.22.0,59.0,scikit-image,conda-forge/scikit-image,,,,182831.0,172263.0,https://pypi.org/project/scikit-image,2023-10-03 21:35:27.000,10568.0,15629363.0,15762519.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,5992034.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
38,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2024-03-06 06:17:10.000000,2024-03-06 06:17:10,2174.0,63.0,4408.0,309.0,444.0,71.0,771.0,29010.0,"PyTorch image models, scripts, pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT),..",130.0,41,True,2024-02-19 19:35:21.000,0.9.16,55.0,timm,conda-forge/timm,,,['pytorch'],24041.0,24041.0,https://pypi.org/project/timm,,,4740375.0,4851039.0,https://anaconda.org/conda-forge/timm,2024-02-21 16:25:26.726,124794.0,,,,,1.0,6254030.0,huggingface/pytorch-image-models,,,,,,,,,,,,,,,,,,
