,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,helm_id,brew_id,apt_id,yum_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,dnf_id,yay_id,snap_id,new_addition
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-06-29 10:55:19.000000,2023-06-29 10:55:18,47514.0,631.0,6753,587.0,16628.0,1261.0,8309.0,17604,matplotlib: plotting with Python.,1529.0,48,True,2023-03-04 07:19:11.000,3.7.1,73.0,matplotlib,conda-forge/matplotlib,,,,877982.0,877982.0,https://pypi.org/project/matplotlib,31499756.0,31708265.0,https://anaconda.org/conda-forge/matplotlib,2023-06-16 13:05:49.794,19391375.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-06-29 12:24:39.000000,2023-06-29 12:24:38,14997.0,358.0,1891,220.0,4303.0,78.0,2737.0,10933,Python Imaging Library (Fork).,439.0,47,True,2023-04-01 09:33:34.000,9.5.0,50.0,Pillow,conda-forge/pillow,,,,1235721.0,1235721.0,https://pypi.org/project/Pillow,53673763.0,54021209.0,https://anaconda.org/conda-forge/pillow,2023-06-16 13:16:20.418,29880366.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-06-29 09:16:14.000000,2023-06-28 20:15:35,54369.0,456.0,3975,291.0,12445.0,4752.0,8415.0,10938,A computer algebra system written in pure Python.,1227.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,73053.0,68574.0,https://pypi.org/project/sympy,9291192.0,9339015.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,3704403.0,,,,,1.0,504803.0,2022-08-30 17:34:08.040,4479.0,,,,,,,,,,,,,,,,,,,
13,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-06-29 14:03:41.000000,2023-06-29 13:40:48,61589.0,3262.0,18074,1652.0,69399.0,11283.0,23472.0,68291,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4162.0,45,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],,,https://pypi.org/project/torch,10826202.0,11631834.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,16913395.0,,,,,1.0,18876.0,,,,,,,,,,,,,,,,,,,,,
14,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-06-29 14:10:36.000000,2023-06-29 09:28:03,37195.0,893.0,27107,2039.0,41759.0,262.0,,36109,Apache Spark Python API.,2891.0,45,True,2023-06-23 08:31:27.681,3.4.1,37.0,pyspark,conda-forge/pyspark,,,['spark'],1046.0,,https://pypi.org/project/pyspark,25386420.0,25459819.0,https://anaconda.org/conda-forge/pyspark,2023-06-27 13:31:45.123,2642394.0,,,,,1.0,,2022-11-28 18:27:04.218,1046.0,stable/spark,,,,,,,,,,,,,,,,,,
15,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-06-29 13:40:04.000000,2023-06-29 11:16:30,15075.0,128.0,2540,275.0,3787.0,2469.0,2680.0,8620,Statsmodels: statistical modeling and econometrics in Python.,414.0,45,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,96635.0,96635.0,https://pypi.org/project/statsmodels,11540285.0,11663515.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,10351393.0,,,,,1.0,29.0,,,,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-06-28 15:10:35.000000,2023-06-28 15:09:57,15945.0,72.0,4188,552.0,3785.0,102.0,5357.0,26506,Industrial-strength Natural Language Processing (NLP) in Python.,728.0,44,True,2023-06-28 16:17:49.000,3.5.4,219.0,spacy,conda-forge/spacy,,,,65996.0,63301.0,https://pypi.org/project/spacy,5061584.0,5102452.0,https://anaconda.org/conda-forge/spacy,2023-06-16 13:23:26.389,3105971.0,,,,,1.0,,2022-04-05 12:33:50.000,2695.0,,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-06-29 14:19:27.000000,2023-06-29 03:50:23,17986.0,1317.0,4920,450.0,22292.0,3010.0,11658.0,26363,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,876.0,44,True,2023-06-21 18:09:41.000,ray-2.5.1,85.0,ray,conda-forge/ray-tune,,,,10682.0,10324.0,https://pypi.org/project/ray,2086267.0,2090973.0,https://anaconda.org/conda-forge/ray-tune,2023-06-26 06:39:43.897,141172.0,,,,,1.0,84.0,2018-08-29 01:05:25.000,358.0,,,,,,,,,,,,,,,,,,,
18,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-06-29 10:23:28.000000,2023-06-29 05:15:16,16587.0,1036.0,2207,312.0,10288.0,1462.0,3136.0,23651,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",553.0,44,True,2023-06-23 00:53:14.000,jax-v0.4.13,147.0,jax,conda-forge/jaxlib,,,,15185.0,14656.0,https://pypi.org/project/jax,4501592.0,4518780.0,https://anaconda.org/conda-forge/jaxlib,2023-06-10 19:55:47.558,807870.0,,,,,1.0,,2023-01-25 19:22:32.273,529.0,,,,,,,,,,,,,,,,,,,
19,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-06-29 12:35:06.000000,2023-06-29 12:35:04,4242.0,379.0,3426,291.0,5766.0,1165.0,1986.0,14697,Open source platform for the machine learning lifecycle.,592.0,44,True,2023-06-10 01:41:14.675,2.4.1,77.0,mlflow,conda-forge/mlflow,,,,21235.0,20791.0,https://pypi.org/project/mlflow,11395440.0,11422637.0,https://anaconda.org/conda-forge/mlflow,2023-06-10 05:41:45.868,1359869.0,,,,,1.0,,2020-03-03 02:08:10.000,444.0,,,,,,,,,,,,,,,,,,,
20,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-06-29 02:34:31.000000,2023-06-29 02:34:30,6417.0,125.0,8060,910.0,4495.0,323.0,4520.0,24308,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",612.0,43,True,2023-06-19 01:38:37.000,1.7.6,51.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,60033.0,60033.0,https://pypi.org/project/xgboost,9324494.0,9439029.0,https://anaconda.org/conda-forge/xgboost,2023-06-28 08:56:09.590,4006632.0,,,,,2.0,6729.0,,,,,,,,,,,,,,,,,,,,,
21,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-06-29 13:02:59.000000,2023-06-29 13:02:58,3291.0,52.0,3739,444.0,2924.0,283.0,2752.0,15104,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",284.0,43,True,2023-01-24 03:35:51.144,3.3.5,32.0,lightgbm,conda-forge/lightgbm,,,,23744.0,22993.0,https://pypi.org/project/lightgbm,5951166.0,5979359.0,https://anaconda.org/conda-forge/lightgbm,2023-06-16 13:25:28.690,1815649.0,,,,,2.0,194017.0,2022-01-07 15:20:18.000,751.0,,,,,,,,,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-06-29 10:36:11.000000,2023-06-28 19:39:30,7803.0,146.0,1630,215.0,5375.0,922.0,4002.0,11151,Parallel computing with task scheduling.,581.0,43,True,2023-06-26 20:39:04.766,2023.6.1,173.0,dask,conda-forge/dask,,,,53276.0,50427.0,https://pypi.org/project/dask,8169244.0,8420582.0,https://anaconda.org/conda-forge/dask,2023-06-26 23:10:51.947,9299525.0,,,,,1.0,,2016-08-18 12:21:05.000,2849.0,stable/dask,,,,,,,,,,,,,,,,,,
23,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-06-28 23:05:07.000000,2023-06-28 23:05:05,5564.0,141.0,1597,190.0,4672.0,637.0,1196.0,6289,TensorFlows Visualization Toolkit.,302.0,43,True,2023-05-04 23:06:01.343,2.13.0,52.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],178356.0,175697.0,https://pypi.org/project/tensorboard,18944645.0,19005596.0,https://anaconda.org/conda-forge/tensorboard,2023-06-16 13:24:55.263,4083740.0,,,,,1.0,,2023-01-13 22:24:05.115,2659.0,,,,,,,,,,,,,,,,,,,
24,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-06-29 05:37:52.000000,2023-06-29 05:37:45,8286.0,345.0,18470,1910.0,6471.0,294.0,11464.0,58691,Deep Learning for humans.,1190.0,42,True,2023-06-27 23:42:33.000,2.13.1,50.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,9777226.0,9815279.0,https://anaconda.org/conda-forge/keras,2023-06-16 13:24:44.459,3120392.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
25,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-06-29 14:05:23.000000,2023-06-29 13:45:19,42350.0,1396.0,5211,730.0,37978.0,2012.0,15830.0,20476,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1049.0,42,True,2023-06-21 06:42:02.235,2.5.0,63.0,paddlepaddle,,,,['paddle'],339.0,265.0,https://pypi.org/project/paddlepaddle,125613.0,125800.0,,,,,,,,2.0,15355.0,2023-02-17 11:58:01.010,74.0,,,,,,,,,,,,,,,,,,,
26,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-06-29 12:18:51.000000,2023-06-29 09:13:11,20157.0,91.0,4014,449.0,5741.0,708.0,6619.0,17702,"Interactive Data Visualization in the browser, from Python.",660.0,42,True,,,51.0,bokeh,conda-forge/bokeh,,,,71542.0,71542.0,https://pypi.org/project/bokeh,3275310.0,3600487.0,https://anaconda.org/conda-forge/bokeh,2023-06-26 09:51:49.689,11706406.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
27,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-06-29 11:31:09.000000,2023-06-29 09:08:33,3548.0,109.0,6719,388.0,4820.0,910.0,2154.0,14193,"Datasets, Transforms and Models specific to Computer Vision.",541.0,42,True,2023-05-08 20:12:27.000,0.15.2,37.0,torchvision,conda-forge/torchvision,,,['pytorch'],4256.0,,https://pypi.org/project/torchvision,6828346.0,6855697.0,https://anaconda.org/conda-forge/torchvision,2023-06-22 22:01:34.204,728744.0,,,,,1.0,26743.0,2018-04-24 19:12:00.028,4256.0,,,,,,,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-06-29 13:49:16.000000,2023-06-29 00:53:02,7319.0,80.0,2839,279.0,3324.0,192.0,2809.0,12798,Network Analysis in Python.,655.0,42,False,2023-04-04 20:05:38.000,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,167751.0,167751.0,https://pypi.org/project/networkx,26385044.0,26536205.0,https://anaconda.org/conda-forge/networkx,2023-06-16 13:18:51.990,12092930.0,,,,,1.0,65.0,,,,,,,,,,,,,,,,,,,,,
29,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-06-28 10:47:44.000000,2023-06-28 10:47:42,3151.0,26.0,1656,257.0,1010.0,119.0,2219.0,10856,Statistical data visualization in Python.,197.0,42,True,2022-12-30 19:12:05.000,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,275540.0,275540.0,https://pypi.org/project/seaborn,9949302.0,10033756.0,https://anaconda.org/conda-forge/seaborn,2023-06-16 13:21:42.625,6925110.0,,,,,1.0,249.0,,,,,,,,,,,,,,,,,,,,,
30,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-06-18 20:59:04.000000,2023-06-18 20:59:03,3513.0,58.0,738,151.0,1212.0,191.0,1632.0,8332,Declarative statistical visualization library for Python.,156.0,42,True,2023-05-26 21:55:53.000,5.0.1,35.0,altair,conda-forge/altair,,,,62721.0,62169.0,https://pypi.org/project/altair,12380626.0,12403175.0,https://anaconda.org/conda-forge/altair,2023-06-16 13:24:26.672,1871607.0,,,,,1.0,66.0,2018-05-02 23:13:47.000,552.0,,,,,,,,,,,,,,,,,,,
31,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-06-29 14:17:43.000000,2023-06-28 09:55:11,13597.0,116.0,2159,187.0,4179.0,696.0,1977.0,5469,Image processing in Python.,619.0,42,False,2023-06-02 05:03:22.000,0.21.0,57.0,scikit-image,conda-forge/scikit-image,,,,155840.0,145935.0,https://pypi.org/project/scikit-image,7334322.0,7395905.0,https://anaconda.org/conda-forge/scikit-image,2023-06-16 13:16:26.659,5234607.0,,,,,1.0,,2022-06-12 18:11:12.000,9905.0,,,,,,,,,,,,,,,,,,,
32,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-06-29 14:38:43.000000,2023-06-29 14:33:32,5313.0,362.0,1262,128.0,2014.0,360.0,1976.0,19218,"Wrap UIs around any model, share with anyone.",175.0,41,True,2023-06-15 22:03:01.000,3.35.2,100.0,gradio,,,,,9180.0,9180.0,https://pypi.org/project/gradio,3051867.0,3051867.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-06-29 12:07:38.000000,2023-06-29 00:09:14,2412.0,138.0,3550,433.0,2822.0,392.0,2078.0,15036,Open standard for machine learning interoperability.,285.0,41,True,2023-05-05 16:35:02.000,1.14.0,29.0,onnx,conda-forge/onnx,,,,16920.0,16412.0,https://pypi.org/project/onnx,2889357.0,2901028.0,https://anaconda.org/conda-forge/onnx,2023-06-11 11:01:40.854,763316.0,,,,,1.0,18993.0,2022-06-18 02:36:59.000,508.0,,,,,,,,,,,,,,,,,,,
34,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-06-28 16:18:24.000000,2023-06-02 02:45:47,14445.0,7.0,2628,468.0,1422.0,239.0,1482.0,12074,Suite of libraries and programs for symbolic and statistical natural language processing for English.,441.0,41,True,,,17.0,nltk,conda-forge/nltk,,,,203628.0,203628.0,https://pypi.org/project/nltk,10770066.0,10795098.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2052635.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
35,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2023-06-29 13:05:49.000000,2023-06-29 11:52:49,8830.0,220.0,1073,135.0,5010.0,569.0,3787.0,11701,Data Version Control | Git for Data & Models | ML Experiments Management.,283.0,41,True,2023-06-29 13:05:49.000,3.2.3,440.0,dvc,conda-forge/dvc,,,,8203.0,8139.0,https://pypi.org/project/dvc,651623.0,701558.0,https://anaconda.org/conda-forge/dvc,2023-06-26 07:00:32.638,1603911.0,,,,,1.0,107648.0,2018-05-17 17:05:03.000,64.0,,dvc,dvc,dvc,,,,,,,,,,,,,,,
36,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-06-27 12:56:12.000000,2023-06-27 12:56:11,4457.0,42.0,1997,1707.0,4271.0,232.0,2487.0,10990,WebGL2 powered visualization framework.,228.0,41,True,2023-06-14 19:00:53.647,8.9.19,600.0,pydeck,conda-forge/pydeck,,,['jupyter'],6625.0,6138.0,https://pypi.org/project/pydeck,1415691.0,1900413.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,399070.0,,,,,1.0,,2021-10-25 17:38:40.000,35.0,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-06-14 19:00:53.647,452.0,474746.0,,,,,,,,,,
37,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-06-29 12:41:14.000000,2023-06-28 07:25:40,5577.0,178.0,2260,296.0,3447.0,647.0,2741.0,25656,Streamlit A faster way to build and share data apps.,186.0,40,True,2023-06-27 06:15:31.171,1.24.0,202.0,streamlit,,,,,1672.0,833.0,https://pypi.org/project/streamlit,1855020.0,1855020.0,,,,,,,,1.0,,2022-06-02 17:45:51.000,839.0,,,,,,,,,,,,,,,,,,,
38,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2023-06-29 08:23:59.000000,2023-06-27 20:30:58,2412.0,135.0,2852,256.0,580.0,1485.0,754.0,19580,A game theoretic approach to explain the output of any machine learning model.,213.0,40,True,2022-06-16 00:31:04.000,0.41.0,47.0,shap,conda-forge/shap,,,,11974.0,11974.0,https://pypi.org/project/shap,5208554.0,5242476.0,https://anaconda.org/conda-forge/shap,2023-06-11 05:50:42.032,1967519.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
39,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-06-29 12:26:26.000000,2023-06-29 10:46:32,32124.0,569.0,4381,349.0,5915.0,134.0,6642.0,16611,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",582.0,40,True,2023-06-27 16:44:26.000,3.6.1a1,328.0,rasa,,,,['tensorflow'],3537.0,3472.0,https://pypi.org/project/rasa,137123.0,137123.0,,,,,,,,1.0,,2022-07-06 04:02:56.000,65.0,,,,,,,,,,,,,,,,,,,
