,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url,new_addition
10,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-01-28 14:01:46.000000,2021-01-28 06:27:07.000000,23273,222.0,,28643,29207.0,Apache Spark Python API.,2392.0,38,True,2020-09-07 15:29:07.000000,3.0.1,21.0,pyspark,conda-forge/pyspark,,,['spark'],1317.0,557.0,https://pypi.org/project/pyspark,2020-09-07 15:29:07.000000,760.0,5508147.0,5527305.0,https://anaconda.org/conda-forge/pyspark,2020-09-07 17:29:01.440000,881268.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,,,
11,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-01-28 11:42:14.000000,2021-01-28 10:51:11.000000,20927,2296.0,6643.0,44386,,scikit-learn: machine learning in Python.,2129.0,37,True,2021-01-19 18:10:37.000000,0.24.1,53.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],224546.0,186658.0,https://pypi.org/project/scikit-learn,2021-01-19 18:06:50.000000,37888.0,8394694.0,8511399.0,https://anaconda.org/conda-forge/scikit-learn,2021-01-21 23:33:46.354000,6534919.0,,,,,1.0,642.0,,-4.0,,,,,,,,,,,,,,,,,,,,
12,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-01-28 10:01:13.000000,2021-01-27 12:40:42.000000,3200,90.0,4184.0,18130,11750.0,Industrial-strength Natural Language Processing (NLP) with Python and Cython.,547.0,37,True,2020-12-11 14:45:05.000000,2.3.5,169.0,spacy,conda-forge/spacy,,,,23932.0,20866.0,https://pypi.org/project/spacy,2020-12-11 14:45:05.000000,3066.0,742022.0,771826.0,https://anaconda.org/conda-forge/spacy,2020-12-18 10:09:15.705000,1398121.0,,,,,1.0,2937.0,,,,,,,,,,,,,,,,,,,,,,
13,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-01-27 20:18:26.000000,2021-01-23 03:34:47.000000,3940,500.0,3923.0,16606,11504.0,Asynchronous task queue/job queue based on distributed message passing.,1080.0,37,True,2020-12-16 15:41:18.000000,5.0.5,171.0,celery,conda-forge/celery,,,,76480.0,48246.0,https://pypi.org/project/celery,2020-12-16 15:34:09.000000,28234.0,1714266.0,1720711.0,https://anaconda.org/conda-forge/celery,2020-11-11 10:39:38.599000,373839.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-01-28 10:11:47.000000,2021-01-27 19:23:12.000000,2202,264.0,2297.0,8562,6397.0,Network Analysis in Python.,491.0,37,True,2020-08-22 20:10:33.000000,networkx-2.5,52.0,networkx,conda-forge/networkx,,,,86318.0,65500.0,https://pypi.org/project/networkx,2020-08-22 20:38:37.000000,20818.0,4416505.0,4473962.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:29:02.065000,2930308.0,,,,,1.0,51.0,,,,,,,,,,,,,,,,,,,,,,
15,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-01-28 14:30:22.000000,2021-01-28 14:21:58.000000,9768,531.0,5270.0,40103,6425.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,768.0,36,True,2021-01-21 08:14:39.000000,4.2.2,47.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",7369.0,7241.0,https://pypi.org/project/transformers,2021-01-21 08:11:31.000000,128.0,569137.0,570290.0,https://anaconda.org/conda-forge/transformers,2021-01-21 12:14:11.802000,16576.0,,,,,1.0,1250.0,,,,,,,,,,,,,,,,,,,,,,
16,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-01-26 18:13:56.129000,2021-01-26 15:13:28.000000,1365,134.0,350.0,12022,2546.0,Faker is a Python package that generates fake data for you.,386.0,36,True,2021-01-26 15:13:28.000000,5.8.0,117.0,Faker,conda-forge/faker,,,,27586.0,22874.0,https://pypi.org/project/Faker,2021-01-26 15:13:11.000000,4712.0,1587343.0,1595279.0,https://anaconda.org/conda-forge/faker,2021-01-26 18:13:56.129000,365100.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-01-28 14:37:12.000000,2021-01-28 10:44:14.000000,4267,454.0,1078.0,8246,1437.0,"Datasets, Transforms and Models specific to Computer Vision.",358.0,36,True,2020-12-10 17:10:41.000000,0.8.2,21.0,torchvision,conda-forge/torchvision,,,['pytorch'],44734.0,40122.0,https://pypi.org/project/torchvision,2020-12-10 16:27:20.000000,4612.0,515683.0,516604.0,https://anaconda.org/conda-forge/torchvision,2018-10-14 22:06:28.203000,34110.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-01-28 13:59:28.000000,2021-01-27 15:11:56.000000,3273,4027.0,7099.0,7764,45923.0,A computer algebra system written in pure Python.,1034.0,36,True,2020-12-12 23:23:00.000000,1.7.1,36.0,sympy,conda-forge/sympy,,,,34895.0,28473.0,https://pypi.org/project/sympy,2020-12-12 23:23:00.000000,6422.0,477156.0,504260.0,https://anaconda.org/conda-forge/sympy,2021-01-08 20:38:32.429000,1260446.0,,,,,1.0,413732.0,,,,,,,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,,ml-frameworks,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000000,2021-01-28 08:07:06.000000,2021-01-27 16:08:19.000000,2145,2063.0,2247.0,5950,13568.0,Statsmodels: statistical modeling and econometrics in Python.,299.0,36,True,2020-10-29 16:36:43.000000,0.12.1,24.0,statsmodels,conda-forge/statsmodels,,,,43085.0,36429.0,https://pypi.org/project/statsmodels,2020-10-29 16:36:43.000000,6656.0,1589544.0,1648084.0,https://anaconda.org/conda-forge/statsmodels,2021-01-12 04:40:51.933000,3219739.0,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,
20,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-01-28 06:51:57.000000,2021-01-28 03:55:45.000000,1346,552.0,933.0,5136,4226.0,TensorFlow's Visualization Toolkit.,250.0,36,True,2021-01-14 20:44:05.000000,2.4.1,36.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],56137.0,52523.0,https://pypi.org/project/tensorboard,2020-11-12 03:15:33.000000,3614.0,4242426.0,4283941.0,https://anaconda.org/conda-forge/tensorboard,2021-01-15 08:30:57.960000,1577575.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
21,scikit-image,scikit-image/scikit-image,,image,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000000,2021-01-28 10:37:34.000000,2021-01-22 13:57:44.000000,1727,661.0,1481.0,4156,12469.0,Image processing in Python.,477.0,36,True,2021-01-19 08:17:34.000000,0.18.1,35.0,scikit-image,conda-forge/scikit-image,,,,74298.0,59524.0,https://pypi.org/project/scikit-image,2020-12-23 06:36:46.000000,14774.0,1393657.0,1431034.0,https://anaconda.org/conda-forge/scikit-image,2021-01-21 20:53:16.554000,2093160.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
22,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-01-28 00:30:09.000000,2021-01-19 08:39:24.000000,393,183.0,945.0,1475,3510.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,159.0,36,True,2020-11-06 14:30:54.000000,3.1.0,25.0,h5py,conda-forge/h5py,,,,123216.0,100280.0,https://pypi.org/project/h5py,2020-11-06 14:30:54.000000,22936.0,4152927.0,4230366.0,https://anaconda.org/conda-forge/h5py,2021-01-01 10:48:16.133000,4490522.0,,,,,1.0,801.0,,,,,,,,,,,,,,,,,,,,,,
23,Keras,keras-team/keras,,ml-frameworks,https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42.000000,2021-01-28 01:21:44.000000,2021-01-27 21:42:13.000000,18720,3182.0,7229.0,50600,5379.0,Deep Learning for humans.,896.0,35,True,2020-06-24 22:40:48.000000,2.4.3,53.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],14996.0,,https://pypi.org/project/keras,2020-06-24 22:40:48.000000,14996.0,1457701.0,1484323.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:34.254000,1411008.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
24,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-01-25 09:30:06.000000,2021-01-11 17:58:46.000000,6624,241.0,1061.0,23310,1241.0,A toolkit for developing and comparing reinforcement learning algorithms.,272.0,35,True,2020-12-19 00:29:36.000000,0.18.0,92.0,gym,,,,,21093.0,17531.0,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,259501.0,259501.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
25,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-01-28 14:18:43.000000,2021-01-28 13:47:57.000000,7873,250.0,3654.0,20485,5207.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",501.0,35,True,2021-01-20 13:52:38.000000,1.3.3,53.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,14926.0,13334.0,https://pypi.org/project/xgboost,2021-01-20 13:39:06.000000,1592.0,2044187.0,2073095.0,https://anaconda.org/conda-forge/xgboost,2020-12-10 13:41:20.626000,1328746.0,,,,,1.0,1903.0,,,,,,,,,,,,,,,,,,,,,,
26,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-01-28 15:13:14.000000,2021-01-28 00:09:02.000000,7869,1000.0,1898.0,20466,11511.0,"Platform to programmatically author, schedule, and monitor workflows.",1720.0,35,True,2020-12-18 13:21:47.000000,2.0.0,67.0,apache-airflow,conda-forge/airflow,apache/airflow,,,294.0,,https://pypi.org/project/apache-airflow,2020-12-14 17:07:53.000000,294.0,475057.0,559800.0,https://anaconda.org/conda-forge/airflow,2020-11-26 16:17:26.980000,266581.0,https://hub.docker.com/r/apache/airflow,2021-01-26 16:40:01.050356,208.0,5342278.0,1.0,81989.0,stable/airflow,,,,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-01-28 13:09:56.000000,2021-01-28 11:26:52.000000,3176,92.0,1995.0,12115,2274.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",200.0,35,True,2020-12-08 03:00:35.000000,3.1.1,24.0,lightgbm,conda-forge/lightgbm,,,,6005.0,5449.0,https://pypi.org/project/lightgbm,2020-12-08 03:00:35.000000,556.0,1121292.0,1134570.0,https://anaconda.org/conda-forge/lightgbm,2021-01-15 08:38:34.182000,473927.0,,,,,1.0,89789.0,,,,,,,,,,,,,,,,,,,,,,
28,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-01-24 13:04:03.000000,2021-01-23 08:45:26.000000,3897,351.0,1249.0,11646,3849.0,Topic Modelling for Humans.,386.0,35,True,2020-05-04 05:55:15.000000,3.8.3,83.0,gensim,conda-forge/gensim,,,,25146.0,20404.0,https://pypi.org/project/gensim,2020-11-15 12:53:37.000000,4742.0,5769060.0,5783891.0,https://anaconda.org/conda-forge/gensim,2020-05-14 08:28:35.604000,591324.0,,,,,1.0,3021.0,,,,,,,,,,,,,,,,,,,,,,
29,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-01-26 15:38:29.000000,2021-01-14 02:04:12.000000,1739,800.0,1048.0,8749,4923.0,The interactive graphing library for Python (includes Plotly Express).,162.0,35,True,2021-01-12 17:01:21.000000,4.14.3,265.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-01-12 16:12:40.000000,4982.0,2130970.0,2303397.0,https://anaconda.org/conda-forge/plotly,2021-01-12 17:11:42.117000,1172010.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,150314.0,,,,,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-01-28 12:37:52.000000,2021-01-24 13:21:41.000000,1366,87.0,1671.0,8033,2744.0,Statistical data visualization using matplotlib.,147.0,35,True,2020-12-20 20:53:25.000000,0.11.1,23.0,seaborn,conda-forge/seaborn,,,,91884.0,79098.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,1541404.0,1577544.0,https://anaconda.org/conda-forge/seaborn,2021-01-28 11:50:33.609000,1915387.0,,,,,1.0,124.0,,,,,,,,,,,,,,,,,,,,,,
31,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-01-28 14:42:14.000000,2021-01-27 20:40:52.000000,1209,716.0,2805.0,7823,6304.0,Parallel computing with task scheduling.,423.0,35,True,2021-01-22 18:21:58.000000,2021.1.1,111.0,dask,conda-forge/dask,,,,28773.0,24857.0,https://pypi.org/project/dask,2021-01-22 18:21:58.000000,3916.0,1112078.0,1163476.0,https://anaconda.org/conda-forge/dask,2021-01-23 02:09:28.436000,2878341.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,,
32,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-01-28 14:51:22.000000,2021-01-28 14:44:24.000000,1750,148.0,547.0,6974,8440.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,617.0,35,True,2020-10-19 21:15:12.000000,3.0.0,30.0,pyarrow,conda-forge/arrow,,,,1016.0,30.0,https://pypi.org/project/pyarrow,2021-01-26 01:05:45.000000,986.0,11438626.0,11446786.0,https://anaconda.org/conda-forge/arrow,2021-01-12 20:46:01.093000,457005.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
33,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-01-12 11:48:34.000000,2020-12-28 10:07:59.000000,286,291.0,352.0,2323,1365.0,Computing with Python functions.,98.0,35,True,2020-12-14 14:21:00.000000,1.0.0,99.0,joblib,conda-forge/joblib,,,,85557.0,78947.0,https://pypi.org/project/joblib,2020-12-14 14:21:00.000000,6610.0,12833705.0,12889224.0,https://anaconda.org/conda-forge/joblib,2020-12-14 14:36:22.998000,2998071.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
34,MXNet,apache/incubator-mxnet,,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15.000000,2021-01-28 13:29:40.000000,2021-01-20 22:37:51.000000,6808,1822.0,7547.0,19241,11503.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",948.0,34,True,2020-08-28 05:08:24.000000,1.7.0,976.0,mxnet,mxnet,,,['mxnet'],2211.0,1767.0,https://pypi.org/project/mxnet,2020-08-28 06:18:15.000000,444.0,109139.0,109711.0,https://anaconda.org/anaconda/mxnet,2020-02-29 00:58:31.007000,5708.0,,,,,2.0,23430.0,,,,,,,,0.0,,,,,,,,,,,,,,
35,dash,plotly/dash,,data-viz,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000000,2021-01-24 02:22:19.000000,2021-01-20 23:05:35.000000,1414,405.0,558.0,13825,3543.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",72.0,34,True,2021-01-20 00:00:50.000000,1.19.0,137.0,dash,conda-forge/dash,,,,18501.0,16893.0,https://pypi.org/project/dash,2021-01-19 23:50:28.000000,1608.0,190089.0,196645.0,https://anaconda.org/conda-forge/dash,2021-01-21 16:17:38.594000,209812.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
36,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-01-24 01:38:07.000000,2021-01-02 00:33:13.000000,2397,243.0,1223.0,9571,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,386.0,34,True,2019-08-20 10:55:21.000000,3.4.5,39.0,nltk,conda-forge/nltk,,,,108412.0,87420.0,https://pypi.org/project/nltk,2020-04-12 23:46:10.000000,20992.0,4173682.0,4185344.0,https://anaconda.org/conda-forge/nltk,2019-08-08 17:07:46.504000,618091.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
37,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-01-27 07:16:52.000000,2020-09-05 10:39:50.000000,2501,674.0,2081.0,9328,28123.0,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-..",382.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,15580.0,10106.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,156831.0,180473.0,https://anaconda.org/conda-forge/theano,2021-01-21 21:14:21.756000,1276711.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
38,mlflow,mlflow/mlflow,,ml-experiments,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000000,2021-01-28 11:42:07.000000,2021-01-27 04:57:11.000000,1865,679.0,1039.0,8258,1861.0,Open source platform for the machine learning lifecycle.,276.0,34,True,2020-12-31 09:17:41.000000,1.13.1,40.0,mlflow,conda-forge/mlflow,,,,2008.0,1854.0,https://pypi.org/project/mlflow,2020-12-31 08:55:08.000000,154.0,2060585.0,2070329.0,https://anaconda.org/conda-forge/mlflow,2021-01-11 17:08:19.258000,204644.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
