,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-04-07 14:41:17.000000,2022-04-07 11:18:47,42546.0,683.0,6296,579.0,14325.0,1795.0,6966.0,15290,matplotlib: plotting with Python.,1350.0,49,True,2021-12-11 08:22:08.000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,,587593.0,534120.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000,53473.0,25729861.0,25875691.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086,11520630.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-04-07 14:06:03.000000,2022-04-06 05:37:12,27649.0,566.0,4146,334.0,7880.0,1799.0,6626.0,9424,"Ecosystem of open-source software for mathematics, science, and engineering.",1255.0,49,True,2022-02-05 23:29:16.000,1.8.0,77.0,scipy,conda-forge/scipy,,,,547254.0,490418.0,https://pypi.org/project/scipy,2022-02-05 22:53:25.000,56836.0,39563224.0,39874372.0,https://anaconda.org/conda-forge/scipy,2022-02-09 01:10:04.440,21791787.0,,,,,1.0,342024.0,,,,,,,,,,,,,,,,,,,
12,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-04-07 12:59:50.000000,2022-04-07 12:59:35,11887.0,70.0,4250,475.0,2558.0,537.0,4178.0,19021,Asynchronous task queue/job queue based on distributed message passing.,1196.0,46,True,2022-04-05 08:37:09.000,5.2.6,190.0,celery,conda-forge/celery,,,,82485.0,67631.0,https://pypi.org/project/celery,2022-04-05 08:37:09.000,14854.0,5322675.0,5333681.0,https://anaconda.org/conda-forge/celery,2022-02-07 19:32:02.369,803452.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-04-07 14:43:52.000000,2022-04-07 14:41:56,15654.0,957.0,10340,740.0,16095.0,929.0,4452.0,25722,"Platform to programmatically author, schedule, and monitor workflows.",2354.0,45,True,2022-04-04 09:30:39.000,2.2.5,106.0,apache-airflow,conda-forge/airflow,apache/airflow,,,456.0,,https://pypi.org/project/apache-airflow,2022-04-04 07:17:20.000,456.0,6294519.0,7122454.0,https://anaconda.org/conda-forge/airflow,2022-04-04 14:18:26.777,568889.0,https://hub.docker.com/r/apache/airflow,2022-04-07 12:37:16.933397,328.0,68451319.0,1.0,271779.0,stable/airflow,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-04-06 22:59:10.000000,2022-04-06 13:59:58,12975.0,477.0,1824,211.0,3696.0,110.0,2358.0,9641,The friendly PIL fork (Python Imaging Library).,390.0,45,True,2022-04-01 14:40:43.000,9.1.0,87.0,Pillow,conda-forge/pillow,,,,62541.0,,https://pypi.org/project/Pillow,2022-04-01 14:37:06.000,62541.0,39492981.0,39683430.0,https://anaconda.org/conda-forge/pillow,2022-04-02 00:22:03.526,13712387.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-04-07 09:44:11.000000,2022-04-07 09:44:10,50667.0,909.0,3620,292.0,11422.0,4400.0,7872.0,9030,A computer algebra system written in pure Python.,1133.0,45,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,45114.0,40982.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1820720.0,1852367.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,1943281.0,,,,,1.0,449126.0,,,,,,,,,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-04-07 11:23:44.000000,2022-04-06 23:09:31,6743.0,403.0,19028,1966.0,5138.0,308.0,10949.0,54866,Deep Learning for humans.,1051.0,44,True,2022-02-03 05:13:44.000,2.8.0,62.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],263.0,,https://pypi.org/project/keras,2022-04-04 17:25:18.000,263.0,8820046.0,8851517.0,https://anaconda.org/conda-forge/keras,2022-02-04 15:14:03.939,2140070.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-04-07 14:23:59.000000,2022-04-07 12:47:37,15386.0,151.0,3790,559.0,3025.0,97.0,4997.0,23092,Industrial-strength Natural Language Processing (NLP) in Python.,667.0,44,True,2022-03-30 14:15:37.000,3.1.6,194.0,spacy,conda-forge/spacy,,,,39595.0,37303.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2292.0,4568763.0,4610590.0,https://anaconda.org/conda-forge/spacy,2022-03-31 10:26:05.872,2590418.0,,,,,1.0,3130.0,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-04-07 11:07:58.000000,2022-04-07 03:35:01,5726.0,121.0,8352,938.0,3443.0,284.0,4096.0,22437,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",556.0,44,True,2022-01-17 16:17:38.000,1.5.2,62.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,30504.0,29198.0,https://pypi.org/project/xgboost,2022-03-31 01:02:05.000,1306.0,7900212.0,7941251.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2501016.0,,,,,1.0,3831.0,,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-04-05 00:26:12.000000,2022-04-01 18:52:57,19525.0,67.0,3881,462.0,5128.0,708.0,6184.0,16148,"Interactive Data Visualization in the browser, from Python.",600.0,44,True,2021-11-22 17:49:14.000,2.4.2,119.0,bokeh,conda-forge/bokeh,,,,52914.0,49416.0,https://pypi.org/project/bokeh,2022-03-03 18:34:50.000,3498.0,4857176.0,4971631.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6867339.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-04-03 11:10:19.000000,2022-03-31 05:37:24,14258.0,30.0,2572,472.0,1344.0,222.0,1385.0,10615,Suite of libraries and programs for symbolic and statistical natural language processing for English.,416.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,149096.0,137276.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,11637369.0,11654589.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1170967.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-04-07 12:50:45.000000,2022-04-06 11:02:12,6776.0,113.0,2517,274.0,2562.0,329.0,2495.0,10562,Network Analysis in Python.,582.0,44,True,2022-03-05 14:43:11.000,2.7.1,73.0,networkx,conda-forge/networkx,,,,116794.0,103615.0,https://pypi.org/project/networkx,2022-03-05 14:43:11.000,13179.0,16792853.0,16882599.0,https://anaconda.org/conda-forge/networkx,2022-03-23 10:48:38.100,5923247.0,,,,,1.0,58.0,,,,,,,,,,,,,,,,,,,
22,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-04-07 14:50:17.000000,2022-04-07 00:54:52,7095.0,193.0,1464,224.0,4540.0,712.0,3552.0,9752,Parallel computing with task scheduling.,522.0,44,True,2022-04-01 15:17:51.000,2022.4.0,139.0,dask,conda-forge/dask,,,,38114.0,35519.0,https://pypi.org/project/dask,2022-04-01 15:17:51.000,2595.0,5631064.0,5705116.0,https://anaconda.org/conda-forge/dask,2022-04-01 20:17:17.613,5257732.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
23,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-04-07 10:01:56.000000,2022-04-06 13:14:59,13139.0,96.0,1962,184.0,3712.0,383.0,1836.0,4845,Image processing in Python.,549.0,44,True,2022-02-17 18:25:54.000,0.19.2,44.0,scikit-image,conda-forge/scikit-image,,,,107989.0,98899.0,https://pypi.org/project/scikit-image,2022-02-17 18:24:44.000,9090.0,4898017.0,4944127.0,https://anaconda.org/conda-forge/scikit-image,2022-02-18 18:04:10.940,3273878.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-04-07 14:27:40.000000,2022-04-07 08:56:25,12002.0,1131.0,3419,424.0,13904.0,2343.0,7563.0,19801,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",654.0,43,True,2022-03-09 01:45:26.000,ray-1.11.0,69.0,ray,conda-forge/ray-tune,,,,4683.0,4431.0,https://pypi.org/project/ray,2022-04-04 20:17:44.000,252.0,1231326.0,1232852.0,https://anaconda.org/conda-forge/ray-tune,2022-02-07 13:21:59.855,24428.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-04-07 14:04:52.000000,2022-04-07 03:00:20,11039.0,903.0,1538,269.0,6121.0,1023.0,2181.0,17029,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",378.0,43,True,2022-03-18 21:14:40.000,0.3.4,111.0,jax,conda-forge/jaxlib,,,,4246.0,3967.0,https://pypi.org/project/jax,2022-03-18 21:14:40.000,279.0,376306.0,385165.0,https://anaconda.org/conda-forge/jaxlib,2022-04-06 12:18:16.125,292356.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,Arrow,apache/arrow,data-containers,,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000,2022-04-07 14:22:12.000000,2022-04-07 13:24:52,11253.0,578.0,2292,338.0,12077.0,247.0,716.0,9330,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,839.0,43,True,2021-11-18 03:54:39.000,6.0.1,36.0,pyarrow,conda-forge/arrow,,,,1477.0,64.0,https://pypi.org/project/pyarrow,2022-02-03 19:25:09.000,1413.0,43425403.0,43438361.0,https://anaconda.org/conda-forge/arrow,2022-01-27 20:04:47.163,920067.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
27,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-04-06 14:51:23.000000,2022-04-04 09:15:25,14534.0,150.0,2431,261.0,3533.0,2266.0,2504.0,7254,Statsmodels: statistical modeling and econometrics in Python.,363.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,65347.0,60834.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,7866577.0,7949724.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,5820328.0,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,,
28,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-04-06 05:24:16.000000,2022-04-06 05:24:16,5000.0,98.0,1472,193.0,4020.0,554.0,1109.0,5814,TensorFlows Visualization Toolkit.,277.0,43,True,2022-01-20 21:11:31.000,2.8.0,40.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],104673.0,102372.0,https://pypi.org/project/tensorboard,2022-01-20 21:11:31.000,2301.0,13479779.0,13532864.0,https://anaconda.org/conda-forge/tensorboard,2022-02-04 23:08:31.070,2813538.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
29,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-04-07 13:27:17.000000,2022-04-07 05:52:50,32803.0,714.0,25366,2077.0,36074.0,247.0,,32506,Apache Spark Python API.,2650.0,42,True,2022-01-26 05:20:58.000,3.2.1,29.0,pyspark,conda-forge/pyspark,,,['spark'],791.0,,https://pypi.org/project/pyspark,2022-01-26 05:20:58.000,791.0,19131688.0,19156764.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1529684.0,,,,,2.0,,stable/spark,,,,,,,,,,,,,,,,,,
30,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-04-07 07:18:32.000000,2022-04-06 19:14:12,1563.0,102.0,7688,996.0,1197.0,111.0,1436.0,27120,A toolkit for developing and comparing reinforcement learning algorithms.,356.0,42,True,2022-03-14 22:44:47.000,0.23.1,99.0,gym,conda-forge/gym,,,,30509.0,28105.0,https://pypi.org/project/gym,2022-03-14 22:44:47.000,2404.0,760985.0,765028.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,97035.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-04-07 13:48:05.000000,2022-04-07 12:52:07,6804.0,438.0,2257,219.0,5986.0,500.0,4344.0,17929,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",646.0,42,True,2022-03-29 19:46:24.000,1.6.0,206.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],8436.0,8094.0,https://pypi.org/project/pytorch-lightning,2022-03-29 19:46:24.000,342.0,2003498.0,2022282.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-03-30 02:26:21.793,409243.0,,,,,2.0,6046.0,,,,,,,,,,,,,,,,,,,
32,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-04-06 03:17:59.000000,2022-04-06 03:17:58,2928.0,83.0,3459,446.0,2510.0,168.0,2448.0,13642,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",255.0,42,True,2022-01-07 15:20:18.000,3.3.2,28.0,lightgbm,conda-forge/lightgbm,,,,12869.0,12293.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,576.0,6927971.0,6947078.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,951283.0,,,,,2.0,145111.0,,,,,,,,,,,,,,,,,,,
33,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-04-07 14:34:52.000000,2022-04-07 10:02:13,2611.0,251.0,5746,371.0,3539.0,699.0,1700.0,11313,"Datasets, Transforms and Models specific to Computer Vision.",475.0,42,True,2022-03-10 18:28:39.000,0.12.0,30.0,torchvision,conda-forge/torchvision,,,['pytorch'],3540.0,,https://pypi.org/project/torchvision,2022-03-10 16:45:51.000,3540.0,3368739.0,3372664.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,201685.0,,,,,1.0,2823.0,,,,,,,,,,,,,,,,,,,
34,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-04-05 20:56:36.000000,2022-04-05 19:03:00,5421.0,46.0,2134,273.0,1325.0,1141.0,1166.0,11266,The interactive graphing library for Python (includes Plotly Express).,193.0,42,True,2022-04-05 16:31:26.000,5.7.0,278.0,plotly,conda-forge/plotly,,,,3969.0,9.0,https://pypi.org/project/plotly,2022-04-05 16:26:03.000,3956.0,7674664.0,7754150.0,https://anaconda.org/conda-forge/plotly,2022-04-05 18:41:54.292,2341431.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,45054.0,,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-04-07 11:57:01.000000,2022-04-07 08:26:15,4008.0,110.0,1749,1748.0,3779.0,139.0,2257.0,9677,WebGL2 powered visualization framework.,190.0,42,True,2022-04-04 22:30:31.000,8.7.4,525.0,pydeck,conda-forge/pydeck,,,['jupyter'],4265.0,3858.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,22.0,966610.0,1254742.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,80112.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-04-04 22:32:09.716,385.0,285051.0,,,,,,,,,,,,,
36,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-04-07 14:23:58.000000,2022-04-07 14:15:52,35147.0,1710.0,4375,731.0,27020.0,2947.0,12288.0,17903,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,721.0,41,True,2022-01-26 02:13:57.000,2.2.2,52.0,paddlepaddle,,,,['paddle'],148.0,104.0,https://pypi.org/project/paddlepaddle,2022-01-20 03:02:58.000,44.0,92946.0,93171.0,,,,,,,,2.0,15314.0,,,,,,,,,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-04-06 23:35:20.000000,2022-04-06 23:20:05,1922.0,54.0,2536,428.0,2171.0,519.0,1423.0,12296,Open standard for machine learning interoperability.,226.0,41,True,2022-02-17 21:58:59.000,1.11.0,25.0,onnx,conda-forge/onnx,,,,6592.0,6244.0,https://pypi.org/project/onnx,2022-02-17 19:16:40.000,348.0,1188971.0,1196405.0,https://anaconda.org/conda-forge/onnx,2022-03-01 13:35:47.004,376839.0,,,,,1.0,17513.0,,,,,,,,,,,,,,,,,,,
