,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,updated_github_id,new_addition
10,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-02-17 14:04:24.000000,2022-02-17 13:42:14,9002.0,654.0,13604,796.0,6945.0,439.0,8347.0,58260,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1154.0,48,True,2022-01-31 16:54:26.000,4.16.2,87.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",23250.0,22495.0,https://pypi.org/project/transformers,2022-01-31 16:52:49.000,755.0,3681764.0,3685244.0,https://anaconda.org/conda-forge/transformers,2022-01-31 21:40:31.059,96458.0,,,,,1.0,1431.0,,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2022-02-17 13:13:46.000000,2022-02-17 11:16:13,42205.0,805.0,6167,574.0,14133.0,1738.0,6847.0,15042,matplotlib: plotting with Python.,1338.0,48,True,2021-12-11 08:22:08.000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,,555340.0,502902.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000,52438.0,23843895.0,23986847.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086,11007345.0,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,
12,Celery,celery/celery,data-pipelines,,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000,2022-02-17 14:12:23.000000,2022-02-16 02:57:00,11833.0,54.0,4207,477.0,2492.0,517.0,4160.0,18668,Asynchronous task queue/job queue based on distributed message passing.,1181.0,46,True,2021-12-29 05:52:09.000,5.2.3,187.0,celery,conda-forge/celery,,,,79602.0,64769.0,https://pypi.org/project/celery,2021-12-29 05:52:09.000,14833.0,5326437.0,5337469.0,https://anaconda.org/conda-forge/celery,2022-02-07 19:32:02.369,783332.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-02-17 09:47:29.000000,2022-02-09 12:51:15,14220.0,50.0,2545,472.0,1336.0,211.0,1378.0,10468,Suite of libraries and programs for symbolic and statistical natural language processing for English.,412.0,45,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,142307.0,130513.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11794.0,11404144.0,11421185.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1124735.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-02-17 11:43:44.000000,2022-02-17 11:43:43,12613.0,309.0,1788,212.0,3614.0,152.0,2297.0,9458,The friendly PIL fork (Python Imaging Library).,385.0,45,True,2022-02-03 03:49:29.000,9.0.1,86.0,Pillow,conda-forge/pillow,,,,62222.0,,https://pypi.org/project/Pillow,2022-02-03 03:41:36.000,62222.0,37368774.0,37550659.0,https://anaconda.org/conda-forge/pillow,2022-02-10 14:02:40.964,12731961.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-02-17 12:58:01.000000,2022-02-17 10:48:08,50263.0,937.0,3511,289.0,11291.0,4242.0,7804.0,8880,A computer algebra system written in pure Python.,1124.0,45,True,2021-10-08 23:27:06.000,sympy-1.9,40.0,sympy,conda-forge/sympy,,,,43408.0,39361.0,https://pypi.org/project/sympy,2021-10-08 23:29:29.000,4047.0,1984888.0,2016291.0,https://anaconda.org/conda-forge/sympy,2021-11-06 22:30:34.086,1869202.0,,,,,1.0,444355.0,1.0,,,,,,,,,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-02-17 04:04:06.000000,2022-02-16 21:33:15,6483.0,260.0,18986,1974.0,4967.0,266.0,10866.0,53988,Deep Learning for humans.,1028.0,44,True,2022-02-03 05:13:44.000,2.8.0,61.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],224.0,,https://pypi.org/project/keras,2022-01-31 19:00:05.000,224.0,8415449.0,8446483.0,https://anaconda.org/conda-forge/keras,2022-02-04 15:14:03.939,2048260.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
17,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2022-02-17 14:35:11.000000,2022-02-17 14:35:11,15086.0,939.0,10018,733.0,15432.0,944.0,4166.0,25106,"Platform to programmatically author, schedule, and monitor workflows.",2273.0,44,True,2022-01-10 18:26:40.000,helm-chart/1.4.0,100.0,apache-airflow,conda-forge/airflow,apache/airflow,,,446.0,,https://pypi.org/project/apache-airflow,2021-12-21 16:23:13.000,446.0,4775967.0,5565907.0,https://anaconda.org/conda-forge/airflow,2021-12-22 16:00:13.998,539633.0,https://hub.docker.com/r/apache/airflow,2022-01-25 18:25:05.854481,317.0,63737366.0,1.0,248749.0,,stable/airflow,,,,,,,,,,,,,,,,,,
18,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-02-17 13:32:51.000000,2022-02-17 10:35:34,15310.0,130.0,3710,563.0,2938.0,100.0,4943.0,22428,Industrial-strength Natural Language Processing (NLP) in Python.,656.0,44,True,2022-02-11 13:12:29.000,3.2.2,190.0,spacy,conda-forge/spacy,,,,37206.0,34965.0,https://pypi.org/project/spacy,2022-02-11 13:10:28.000,2241.0,4073451.0,4115999.0,https://anaconda.org/conda-forge/spacy,2022-02-12 12:08:41.343,2550059.0,,,,,1.0,3125.0,,,,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-02-17 14:04:47.000000,2022-02-16 17:27:20,5663.0,103.0,8315,940.0,3374.0,302.0,4032.0,22213,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",547.0,44,True,2022-01-17 16:17:38.000,1.5.2,61.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,28355.0,27074.0,https://pypi.org/project/xgboost,2022-01-17 16:17:38.000,1281.0,8426640.0,8465829.0,https://anaconda.org/conda-forge/xgboost,2022-02-15 21:57:51.489,2309852.0,,,,,1.0,3708.0,,,,,,,,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-02-17 11:04:13.000000,2022-02-17 10:01:38,19489.0,105.0,3866,462.0,5092.0,703.0,6135.0,15962,"Interactive Data Visualization in the browser, from Python.",598.0,44,True,2021-11-22 17:49:14.000,2.4.2,118.0,bokeh,conda-forge/bokeh,,,,48784.0,45301.0,https://pypi.org/project/bokeh,2022-01-27 18:33:32.000,3483.0,3389026.0,3501666.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6533163.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
21,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-02-16 15:10:23.000000,2022-02-14 02:51:09,6702.0,64.0,2466,276.0,2477.0,336.0,2473.0,10314,Network Analysis in Python.,568.0,44,True,2021-09-09 22:09:39.000,2.6.3,70.0,networkx,conda-forge/networkx,,,,111237.0,98181.0,https://pypi.org/project/networkx,2021-12-15 13:42:18.312,13056.0,16199871.0,16286223.0,https://anaconda.org/conda-forge/networkx,2021-10-26 12:59:30.009,5526529.0,,,,,1.0,57.0,,,,,,,,,,,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-02-17 06:14:43.000000,2022-02-16 17:57:40,14489.0,225.0,2431,258.0,3510.0,2266.0,2488.0,7116,Statsmodels: statistical modeling and econometrics in Python.,359.0,44,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,62266.0,57753.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,7763941.0,7846208.0,https://anaconda.org/conda-forge/statsmodels,2022-02-11 00:02:55.006,5594162.0,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,,,
23,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-02-17 01:17:45.000000,2022-02-16 16:02:04,13098.0,128.0,1929,184.0,3673.0,314.0,2051.0,4783,Image processing in Python.,543.0,44,True,2021-12-15 17:06:01.000,0.19.1,43.0,scikit-image,conda-forge/scikit-image,,,,102481.0,93472.0,https://pypi.org/project/scikit-image,2021-12-15 17:04:53.000,9009.0,4945822.0,4991823.0,https://anaconda.org/conda-forge/scikit-image,2021-12-17 22:08:09.599,3174134.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
24,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-02-17 14:32:24.000000,2022-02-17 14:22:29,11337.0,859.0,3272,417.0,13046.0,2334.0,7180.0,19219,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",630.0,43,True,2022-02-04 19:23:01.000,ray-1.10.0,66.0,ray,conda-forge/ray-tune,,,,4194.0,3960.0,https://pypi.org/project/ray,2022-02-15 19:46:21.000,234.0,895711.0,897334.0,https://anaconda.org/conda-forge/ray-tune,2022-02-07 13:21:59.855,22727.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-02-17 14:36:25.000000,2022-02-16 23:54:58,6998.0,149.0,1442,227.0,4449.0,797.0,3441.0,9552,Parallel computing with task scheduling.,508.0,43,True,2022-02-11 17:53:17.000,2022.2.0,136.0,dask,conda-forge/dask,,,,36450.0,33890.0,https://pypi.org/project/dask,2022-02-11 17:53:17.000,2560.0,7658817.0,7731130.0,https://anaconda.org/conda-forge/dask,2022-02-11 23:28:58.354,4989661.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,
26,Arrow,apache/arrow,data-containers,,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000,2022-02-17 14:29:44.000000,2022-02-17 13:13:10,10960.0,582.0,2209,335.0,11731.0,211.0,701.0,9121,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,803.0,43,True,2021-11-18 03:54:39.000,6.0.1,36.0,pyarrow,conda-forge/arrow,,,,1477.0,64.0,https://pypi.org/project/pyarrow,2022-02-03 19:25:09.000,1413.0,52328456.0,52341183.0,https://anaconda.org/conda-forge/arrow,2022-01-27 20:04:47.163,878215.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-02-17 13:55:54.000000,2022-02-17 10:18:09,32378.0,648.0,25125,2088.0,35530.0,232.0,,32073,Apache Spark Python API.,2616.0,42,True,2022-01-26 05:20:58.000,3.2.1,28.0,pyspark,conda-forge/pyspark,,,['spark'],759.0,,https://pypi.org/project/pyspark,2022-01-26 05:20:58.000,759.0,17595678.0,17620407.0,https://anaconda.org/conda-forge/pyspark,2022-01-26 09:34:57.784,1459060.0,,,,,2.0,,,stable/spark,,,,,,,,,,,,,,,,,,
28,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-02-17 13:11:54.000000,2022-02-16 17:29:24,1505.0,72.0,7337,992.0,1140.0,118.0,1384.0,26432,A toolkit for developing and comparing reinforcement learning algorithms.,343.0,42,True,2021-10-06 22:04:25.000,0.21.0,96.0,gym,conda-forge/gym,,,,28840.0,26498.0,https://pypi.org/project/gym,2021-10-06 22:04:25.000,2342.0,546912.0,551016.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,90298.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
29,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-02-17 13:21:20.000000,2022-02-17 05:58:54,6535.0,454.0,2151,222.0,5686.0,490.0,4166.0,17360,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",621.0,42,True,2022-02-09 20:53:39.000,1.5.10,203.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],7236.0,6926.0,https://pypi.org/project/pytorch-lightning,2022-02-09 20:53:39.000,310.0,1063543.0,1083501.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-02-12 08:07:33.695,395667.0,,,,,2.0,5435.0,,,,,,,,,,,,,,,,,,,,
30,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-02-17 09:09:39.000000,2022-02-16 22:39:11,2869.0,91.0,3459,445.0,2462.0,168.0,2388.0,13465,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",251.0,42,True,2022-01-07 15:20:18.000,3.3.2,28.0,lightgbm,conda-forge/lightgbm,,,,11873.0,11297.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,576.0,5983181.0,6001832.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,894726.0,,,,,2.0,138316.0,,,,,,,,,,,,,,,,,,,,
31,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-02-14 17:31:58.000000,2022-02-09 18:45:14,5379.0,60.0,2110,267.0,1303.0,1097.0,1162.0,10997,The interactive graphing library for Python (includes Plotly Express).,191.0,42,True,2022-02-09 18:43:08.000,5.6.0,277.0,plotly,conda-forge/plotly,,,,3852.0,9.0,https://pypi.org/project/plotly,2022-02-09 18:28:55.000,3839.0,7267470.0,7351167.0,https://anaconda.org/conda-forge/plotly,2022-02-10 14:36:08.196,2210650.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,50203.0,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-02-17 14:24:47.000000,2022-02-17 14:24:41,3947.0,112.0,1720,1751.0,3713.0,139.0,2226.0,9481,WebGL2 powered visualization framework.,188.0,42,True,2022-02-02 00:06:12.571,8.6.8,517.0,pydeck,conda-forge/pydeck,,,['jupyter'],4007.0,3606.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,16.0,785252.0,1088646.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,69029.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-02-10 08:30:10.984,385.0,300518.0,,,,,,,,,,,,,
33,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-02-17 04:19:07.000000,2022-02-15 20:19:53,4952.0,88.0,1471,189.0,3961.0,550.0,1089.0,5768,TensorFlows Visualization Toolkit.,276.0,42,True,2022-01-20 21:11:31.000,2.8.0,40.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],97109.0,94812.0,https://pypi.org/project/tensorboard,2022-01-20 21:11:31.000,2297.0,13297882.0,13351753.0,https://anaconda.org/conda-forge/tensorboard,2022-02-04 23:08:31.070,2747438.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-02-17 13:46:02.000000,2022-02-17 13:34:09,33979.0,1291.0,4253,734.0,25463.0,2773.0,12158.0,17612,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,705.0,41,True,2022-01-26 02:13:57.000,2.2.2,52.0,paddlepaddle,,,,['paddle'],136.0,92.0,https://pypi.org/project/paddlepaddle,2022-01-20 03:02:58.000,44.0,106885.0,107116.0,,,,,,,,2.0,15309.0,,,,,,,,,,,,,,,,,,,,
35,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-02-17 12:31:06.000000,2022-02-17 12:30:59,10538.0,804.0,1488,258.0,5806.0,978.0,2097.0,16361,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",365.0,41,True,2022-02-10 21:43:48.000,0.3.0,107.0,jax,conda-forge/jaxlib,,,,3732.0,3472.0,https://pypi.org/project/jax,2022-02-10 21:43:48.000,260.0,280522.0,289380.0,https://anaconda.org/conda-forge/jaxlib,2021-12-10 12:52:23.006,274627.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
36,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-02-07 15:11:17.000000,2022-01-25 16:55:35,4302.0,15.0,4094,433.0,1577.0,380.0,1362.0,12922,Topic Modelling for Humans.,417.0,41,True,2021-09-18 14:21:47.000,4.1.2,89.0,gensim,conda-forge/gensim,,,,33289.0,30468.0,https://pypi.org/project/gensim,2021-09-17 00:24:57.000,2821.0,5726435.0,5740955.0,https://anaconda.org/conda-forge/gensim,2021-11-09 13:39:50.380,767129.0,,,,,1.0,3505.0,,,,,,,,,,,,,,,,,,,,
37,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-02-17 03:31:01.000000,2022-02-11 17:33:55,1896.0,43.0,2347,429.0,2142.0,481.0,1370.0,12055,Open standard for machine learning interoperability.,221.0,41,True,2021-10-26 19:14:09.000,1.10.2,24.0,onnx,conda-forge/onnx,,,,5888.0,5570.0,https://pypi.org/project/onnx,2021-10-26 19:14:09.000,318.0,1472143.0,1479410.0,https://anaconda.org/conda-forge/onnx,2021-12-14 07:56:56.053,353532.0,,,,,1.0,17432.0,,,,,,,,,,,,,,,,,,,,
