,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-04-20 14:14:47.000000,2023-04-20 14:05:36,12646.0,821.0,18901.0,969.0,11395.0,533.0,10873.0,94801.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1854.0,49,True,2023-04-14 16:57:36.000,4.28.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",64737.0,64737.0,https://pypi.org/project/transformers,,,12640297.0,12665603.0,https://anaconda.org/conda-forge/transformers,2023-04-15 05:23:24.770,1062744.0,,,,,1.0,135.0,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-04-20 05:58:06.000000,2023-04-19 15:56:39,29917.0,517.0,4666.0,349.0,9320.0,1681.0,7607.0,11099.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1451.0,49,True,2023-02-19 21:46:42.000,1.10.1,89.0,scipy,conda-forge/scipy,,,,769564.0,707696.0,https://pypi.org/project/scipy,2023-01-03 22:36:58.305,61868.0,55058044.0,55495346.0,https://anaconda.org/conda-forge/scipy,2023-04-18 11:58:20.745,35965846.0,,,,,1.0,370053.0,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-04-20 13:27:26.000000,2023-04-19 13:26:18,14739.0,417.0,2029.0,219.0,4221.0,112.0,2683.0,10731.0,Python Imaging Library (Fork).,435.0,47,True,2023-04-01 09:33:34.000,9.5.0,92.0,Pillow,conda-forge/pillow,,,,1184641.0,1119409.0,https://pypi.org/project/Pillow,2023-01-02 21:32:51.909,65232.0,55356629.0,55674861.0,https://anaconda.org/conda-forge/pillow,2023-04-05 12:37:43.311,26731529.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-04-20 11:53:45.000000,2023-04-19 13:34:41,53945.0,961.0,3923.0,290.0,12326.0,4709.0,8364.0,10594.0,A computer algebra system written in pure Python.,1215.0,47,True,2022-08-30 17:34:08.040,1.11.1,49.0,sympy,conda-forge/sympy,,,,62822.0,58356.0,https://pypi.org/project/sympy,2022-08-30 17:34:08.040,4466.0,7081601.0,7124820.0,https://anaconda.org/conda-forge/sympy,2023-03-20 20:07:58.909,3235004.0,,,,,1.0,496641.0,,,,,,,,,,,,,,,,,,
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-04-20 12:40:06.000000,2023-04-19 22:28:01,8072.0,400.0,19315.0,1919.0,6290.0,390.0,11406.0,57965.0,Deep Learning for humans.,1179.0,45,True,2023-03-21 20:12:17.000,2.12.0,76.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],562.0,,https://pypi.org/project/keras,2023-02-23 18:53:01.699,562.0,10086992.0,10124306.0,https://anaconda.org/conda-forge/keras,2023-03-25 02:52:58.755,2985182.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
15,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-04-20 03:50:26.000000,2023-04-17 16:13:46,14974.0,89.0,2508.0,275.0,3735.0,2425.0,2647.0,8398.0,Statsmodels: statistical modeling and econometrics in Python.,409.0,45,True,2022-11-02 16:51:52.000,0.13.5,23.0,statsmodels,conda-forge/statsmodels,,,,89852.0,89852.0,https://pypi.org/project/statsmodels,,,9581845.0,9697106.0,https://anaconda.org/conda-forge/statsmodels,2022-11-04 18:55:06.900,9451481.0,,,,,1.0,27.0,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-04-20 13:46:06.000000,2023-04-20 12:06:32,15885.0,102.0,4075.0,550.0,3707.0,106.0,5320.0,25878.0,Industrial-strength Natural Language Processing (NLP) in Python.,723.0,44,True,2023-04-12 07:50:01.000,3.5.2,213.0,spacy,conda-forge/spacy,,,,60239.0,57572.0,https://pypi.org/project/spacy,2023-01-20 09:51:09.566,2667.0,4684244.0,4724908.0,https://anaconda.org/conda-forge/spacy,2023-04-18 13:03:09.405,3009158.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-04-20 14:22:11.000000,2023-04-20 12:25:54,16943.0,1234.0,4343.0,449.0,20770.0,2667.0,11112.0,25180.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,846.0,44,True,2023-03-27 17:25:34.000,ray-2.3.1,82.0,ray,conda-forge/ray-tune,,,,9520.0,9046.0,https://pypi.org/project/ray,2023-02-24 06:15:04.778,474.0,2498215.0,2502313.0,https://anaconda.org/conda-forge/ray-tune,2023-02-26 10:20:09.550,114751.0,,,,,1.0,58.0,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-04-20 14:00:42.000000,2023-04-20 08:29:35,6303.0,143.0,8568.0,918.0,4274.0,364.0,4458.0,24026.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",598.0,44,True,2023-03-30 19:47:07.654,1.7.5,73.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,54601.0,53032.0,https://pypi.org/project/xgboost,2023-01-06 19:21:10.487,1569.0,8374266.0,8426564.0,https://anaconda.org/conda-forge/xgboost,2023-03-17 07:46:42.740,3813523.0,,,,,1.0,6342.0,,,,,,,,,,,,,,,,,,
19,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-04-20 13:21:47.000000,2023-04-20 13:16:45,15817.0,1313.0,2045.0,308.0,9699.0,1105.0,2988.0,22703.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",531.0,44,True,2023-03-29 21:23:10.000,jax-v0.4.8,67.0,jax,conda-forge/jaxlib,,,,10296.0,10296.0,https://pypi.org/project/jax,,,3998028.0,4013363.0,https://anaconda.org/conda-forge/jaxlib,2023-03-31 09:45:52.205,690103.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
20,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-04-16 18:18:44.000000,2023-03-13 06:42:52,14438.0,12.0,2694.0,467.0,1412.0,229.0,1477.0,11826.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,439.0,44,True,2023-01-02 22:02:43.849,3.8.1,52.0,nltk,conda-forge/nltk,,,,200124.0,187853.0,https://pypi.org/project/nltk,2023-01-02 22:02:43.849,12271.0,9723969.0,9747779.0,https://anaconda.org/conda-forge/nltk,2023-01-02 21:54:06.351,1904845.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-04-19 09:16:48.000000,2023-04-19 08:19:27,20087.0,168.0,4100.0,447.0,5682.0,709.0,6577.0,17494.0,"Interactive Data Visualization in the browser, from Python.",650.0,43,True,2023-03-10 15:54:05.466,3.1.0,161.0,bokeh,conda-forge/bokeh,,,,3908.0,212.0,https://pypi.org/project/bokeh,2022-12-20 09:06:57.840,3696.0,3476485.0,3626966.0,https://anaconda.org/conda-forge/bokeh,2023-03-14 12:50:41.968,10834697.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-04-20 04:29:41.000000,2023-04-19 03:20:40,3249.0,85.0,3589.0,444.0,2874.0,245.0,2712.0,14872.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",281.0,43,True,2023-01-24 03:15:36.000,3.3.5,27.0,lightgbm,conda-forge/lightgbm,,,,20708.0,20708.0,https://pypi.org/project/lightgbm,,,5823830.0,5850354.0,https://anaconda.org/conda-forge/lightgbm,2023-01-24 13:04:34.282,1651250.0,,,,,2.0,186734.0,,,,,,,,,,,,,,,,,,
23,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-04-20 14:05:43.000000,2023-04-18 11:49:10,3452.0,191.0,6636.0,387.0,4705.0,909.0,2093.0,13776.0,"Datasets, Transforms and Models specific to Computer Vision.",524.0,43,True,2023-03-15 19:37:56.000,0.15.1,36.0,torchvision,conda-forge/torchvision,,,['pytorch'],4217.0,,https://pypi.org/project/torchvision,2022-12-15 20:19:32.655,4217.0,5616056.0,5626052.0,https://anaconda.org/conda-forge/torchvision,2023-03-09 00:59:08.061,619411.0,,,,,1.0,22948.0,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-04-19 21:43:53.000000,2023-04-19 21:43:53,7699.0,187.0,1610.0,214.0,5261.0,931.0,3959.0,10912.0,Parallel computing with task scheduling.,580.0,43,True,2023-04-14 18:45:36.792,2023.4.0,168.0,dask,conda-forge/dask,,,,50932.0,47838.0,https://pypi.org/project/dask,2023-03-01 21:19:05.337,3094.0,6917359.0,7020501.0,https://anaconda.org/conda-forge/dask,2023-04-15 00:14:02.841,8560823.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,
25,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-04-19 16:35:47.000000,2023-04-16 21:50:34,3134.0,29.0,1712.0,258.0,988.0,119.0,2184.0,10616.0,Statistical data visualization in Python.,193.0,43,True,2023-01-02 17:36:07.692,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,256447.0,246181.0,https://pypi.org/project/seaborn,2023-01-02 17:36:07.692,10266.0,8940369.0,9020983.0,https://anaconda.org/conda-forge/seaborn,2022-12-31 14:43:52.040,6448980.0,,,,,1.0,242.0,,,,,,,,,,,,,,,,,,
26,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-04-20 05:01:05.000000,2023-04-19 21:29:54,5451.0,116.0,1589.0,191.0,4559.0,639.0,1180.0,6202.0,TensorFlows Visualization Toolkit.,298.0,43,True,2023-04-19 13:42:39.000,2.12.2,50.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],162318.0,159661.0,https://pypi.org/project/tensorboard,2023-01-13 22:24:05.115,2657.0,17769946.0,17829621.0,https://anaconda.org/conda-forge/tensorboard,2023-04-13 21:56:19.131,3878913.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
27,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-04-20 13:15:08.000000,2023-04-19 14:39:00,9137.0,547.0,2838.0,229.0,8781.0,702.0,5447.0,22455.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",857.0,42,True,2023-04-12 15:45:35.321,1.9.5,248.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],611.0,,https://pypi.org/project/pytorch-lightning,2023-01-18 02:35:00.780,611.0,4494514.0,4517522.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-04-12 08:20:52.946,768954.0,,,,,2.0,11377.0,,,,,,,,,,,,,,,,,,
28,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-04-20 14:12:05.000000,2023-04-20 14:09:10,41375.0,1754.0,4957.0,728.0,36460.0,1021.0,15503.0,20096.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1015.0,42,True,2022-12-13 09:22:18.000,2.4.1,58.0,paddlepaddle,,,,['paddle'],218.0,218.0,https://pypi.org/project/paddlepaddle,,,157009.0,157200.0,,,,,,,,2.0,15347.0,,,,,,,,,,,,,,,,,,
29,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-04-18 14:32:46.000000,2023-04-06 15:59:03,5849.0,107.0,2334.0,276.0,1487.0,1342.0,1306.0,13288.0,The interactive graphing library for Python This project now includes Plotly Express!.,224.0,42,True,2023-04-05 18:48:14.000,5.14.1,289.0,plotly,conda-forge/plotly,,,,4777.0,,https://pypi.org/project/plotly,2023-01-23 19:05:16.751,4771.0,8293654.0,8379755.0,https://anaconda.org/conda-forge/plotly,2023-04-05 21:57:15.625,4065365.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,6.0,35284.0,,,,,,,,,,,,
30,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2023-04-20 13:12:23.000000,2023-04-17 10:05:40,7261.0,92.0,2799.0,279.0,3261.0,187.0,2778.0,12531.0,Network Analysis in Python.,648.0,42,False,2023-04-04 20:05:38.000,networkx-3.1,52.0,networkx,conda-forge/networkx,,,,151245.0,151245.0,https://pypi.org/project/networkx,,,24101989.0,24242885.0,https://anaconda.org/conda-forge/networkx,2023-04-05 11:11:39.426,10989944.0,,,,,1.0,64.0,,,,,,,,,,,,,,,,,,
31,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-04-20 12:52:38.000000,2023-04-20 12:19:21,4427.0,128.0,1968.0,1717.0,4229.0,212.0,2461.0,10789.0,WebGL2 powered visualization framework.,224.0,42,True,2023-04-20 12:45:59.609,8.9.8,588.0,pydeck,conda-forge/pydeck,,,['jupyter'],6173.0,5694.0,https://pypi.org/project/pydeck,2022-11-04 14:23:59.154,38.0,1168044.0,1687586.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,335253.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-04-20 12:45:59.609,441.0,510720.0,,,,,,,,,,,,
32,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-04-20 12:46:58.000000,2023-04-15 01:45:54,13514.0,149.0,2136.0,188.0,4080.0,665.0,1961.0,5361.0,Image processing in Python.,610.0,42,False,2023-02-28 23:32:35.000,0.20.0,55.0,scikit-image,conda-forge/scikit-image,,,,146322.0,136383.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9939.0,7367555.0,7426541.0,https://anaconda.org/conda-forge/scikit-image,2023-04-12 19:50:08.062,4895904.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
33,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-04-20 10:51:58.000000,2023-04-20 10:51:58,5435.0,225.0,2122.0,286.0,3223.0,647.0,2575.0,24031.0,Streamlit A faster way to build and share data apps.,175.0,41,True,2023-04-06 19:00:03.773,1.21.0,198.0,streamlit,,,,,1440.0,691.0,https://pypi.org/project/streamlit,2023-03-09 21:00:47.459,749.0,1535202.0,1535202.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
34,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2023-04-16 16:13:48.000000,2023-04-13 14:17:44,6754.0,209.0,1868.0,408.0,932.0,735.0,788.0,18520.0,Data Apps & Dashboards for Python. No JavaScript Required.,135.0,41,True,2023-04-13 17:42:40.000,2.9.3,163.0,dash,conda-forge/dash,,,,46072.0,44719.0,https://pypi.org/project/dash,2023-01-30 17:00:04.941,1353.0,1560118.0,1575574.0,https://anaconda.org/conda-forge/dash,2023-04-14 05:50:33.991,911907.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
35,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-04-20 13:38:15.000000,2023-04-19 12:31:21,31654.0,569.0,4158.0,346.0,5639.0,1.0,6640.0,15999.0,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",581.0,41,True,2023-04-20 13:16:34.000,3.3.9,100.0,rasa,,,,['tensorflow'],3214.0,3214.0,https://pypi.org/project/rasa,,,161190.0,161190.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-04-20 09:58:09.000000,2023-04-20 01:09:06,2320.0,182.0,3471.0,433.0,2710.0,391.0,1989.0,14541.0,Open standard for machine learning interoperability.,274.0,41,True,2023-02-22 18:47:36.000,1.13.1,28.0,onnx,conda-forge/onnx,,,,14835.0,14318.0,https://pypi.org/project/onnx,2022-12-12 13:26:02.139,517.0,2853155.0,2864184.0,https://anaconda.org/conda-forge/onnx,2023-03-21 10:27:00.271,698552.0,,,,,1.0,18681.0,,,,,,,,,,,,,,,,,,
37,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-04-01 12:59:51.000000,2023-03-13 05:30:56,4444.0,17.0,4345.0,432.0,1663.0,396.0,1433.0,14230.0,Topic Modelling for Humans.,445.0,41,True,2023-03-10 06:20:03.685,4.3.1,92.0,gensim,conda-forge/gensim,,,,47304.0,44248.0,https://pypi.org/project/gensim,2022-12-21 00:21:03.066,3056.0,4169086.0,4184531.0,https://anaconda.org/conda-forge/gensim,2023-03-28 02:35:38.702,1031656.0,,,,,1.0,4293.0,,,,,,,,,,,,,,,,,,
38,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-04-20 13:51:52.000000,2023-04-20 13:51:51,3934.0,271.0,3319.0,288.0,5278.0,1082.0,1935.0,14158.0,Open source platform for the machine learning lifecycle.,571.0,41,True,2023-04-18 23:58:13.000,2.3.0,73.0,mlflow,conda-forge/mlflow,,,,444.0,,https://pypi.org/project/mlflow,2023-03-14 04:24:03.737,444.0,10532883.0,10559100.0,https://anaconda.org/conda-forge/mlflow,2023-04-20 12:23:23.402,1258432.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
