,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,new_addition
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-09-04 22:29:36.000000,2024-09-04 22:29:36,33268.0,565.0,5121.0,347.0,11234.0,1808.0,8756.0,12886.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1678.0,50,True,2024-08-21 00:10:50.000,1.14.1,108.0,scipy,conda-forge/scipy,,,411363.0,120625329.0,1128458.0,1083640.0,https://pypi.org/project/scipy,2024-08-21 00:03:32.000,44818.0,119493193.0,https://anaconda.org/conda-forge/scipy,2024-08-22 15:46:59.754,51906302.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-09-05 12:15:40.000000,2024-09-05 12:15:40,58816.0,785.0,4370.0,292.0,13365.0,5124.0,8847.0,12752.0,A computer algebra system written in pure Python.,1322.0,49,True,2024-08-11 16:59:00.000,1.13.2,63.0,sympy,conda-forge/sympy,,,547056.0,29664701.0,169884.0,166484.0,https://pypi.org/project/sympy,2024-08-11 16:58:39.000,3400.0,29535996.0,https://anaconda.org/conda-forge/sympy,2024-08-12 22:08:15.340,6480408.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-09-05 03:42:28.000000,2024-09-05 03:42:28,10920.0,201.0,19416.0,1913.0,7419.0,240.0,11863.0,61555.0,Deep Learning for humans.,1325.0,48,True,2024-08-12 20:42:48.000,3.5.0,102.0,keras,conda-forge/keras,https://keras.io,['tensorflow'],,14026758.0,1528.0,,https://pypi.org/project/keras,2024-08-12 20:42:48.000,1528.0,13954555.0,https://anaconda.org/conda-forge/keras,2024-08-17 19:28:53.337,3682388.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-09-03 22:00:24.000000,2024-09-03 22:00:24,50973.0,494.0,7554.0,595.0,18303.0,1600.0,9240.0,19922.0,matplotlib: plotting with Python.,1717.0,48,True,2024-08-13 01:44:21.000,3.9.2,127.0,matplotlib,conda-forge/matplotlib,,,,72120676.0,1368264.0,1319685.0,https://pypi.org/project/matplotlib,2024-08-13 01:44:21.000,48579.0,71617361.0,https://anaconda.org/conda-forge/matplotlib,2024-08-22 20:32:53.714,25669070.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-09-05 12:54:21.000000,2024-09-05 12:53:48,18389.0,456.0,2210.0,220.0,5027.0,134.0,3065.0,12076.0,Python Imaging Library (Fork).,475.0,48,True,2024-07-01 09:51:39.000,10.4.0,98.0,Pillow,conda-forge/pillow,,,,113732231.0,1818069.0,1810387.0,https://pypi.org/project/Pillow,2024-07-01 09:45:22.000,7682.0,112857636.0,https://anaconda.org/conda-forge/pillow,2024-07-02 08:21:06.154,43729768.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-09-05 14:10:56.000000,2024-09-05 12:11:28,6607.0,218.0,2976.0,319.0,4823.0,937.0,3573.0,34405.0,Streamlit A faster way to build and share data apps.,240.0,46,True,2024-08-27 18:46:56.000,1.38.0,226.0,streamlit,,,,,5631298.0,498767.0,496110.0,https://pypi.org/project/streamlit,2024-08-27 18:46:49.000,2657.0,5631298.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-09-05 13:36:36.000000,2024-09-05 11:57:52,22800.0,1609.0,2713.0,323.0,15182.0,1703.0,4160.0,29742.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",742.0,46,True,2024-07-30 00:25:44.000,0.4.31,165.0,jax,conda-forge/jaxlib,,,,3410536.0,31375.0,29587.0,https://pypi.org/project/jax,2024-07-30 00:25:44.000,1788.0,3378882.0,https://anaconda.org/conda-forge/jaxlib,2024-08-31 00:56:55.014,1614396.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-09-05 12:19:34.000000,2024-09-05 12:19:34,50806.0,2002.0,5535.0,717.0,49544.0,1822.0,17311.0,22049.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1267.0,46,True,2024-06-27 10:00:34.000,3.0.0-beta0,69.0,paddlepaddle,,,['paddle'],15389.0,513774.0,5982.0,5822.0,https://pypi.org/project/paddlepaddle,2024-07-08 06:22:25.000,160.0,513616.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-09-05 14:56:39.000000,2024-09-05 14:56:37,22555.0,728.0,5571.0,475.0,28864.0,3963.0,14866.0,32918.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1066.0,45,True,2024-08-28 00:11:51.000,ray-2.35.0,114.0,ray,conda-forge/ray-tune,,,235.0,4187177.0,18328.0,17572.0,https://pypi.org/project/ray,2024-08-27 22:09:04.000,756.0,4178743.0,https://anaconda.org/conda-forge/ray-tune,2024-08-29 18:04:13.302,379447.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-09-02 20:06:23.000000,2024-09-02 11:44:12,7077.0,178.0,8699.0,911.0,5527.0,463.0,4886.0,26063.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",649.0,45,True,2024-07-31 08:14:26.000,2.1.1,83.0,xgboost,conda-forge/xgboost,https://xgboost.readthedocs.io/en/latest/,,10600.0,20972549.0,107800.0,105855.0,https://pypi.org/project/xgboost,2024-07-31 08:14:26.000,1945.0,20868255.0,https://anaconda.org/conda-forge/xgboost,2024-08-28 02:29:22.781,5210537.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-09-05 13:46:10.000000,2024-09-05 05:49:08,20582.0,67.0,4176.0,443.0,6151.0,760.0,6969.0,19203.0,"Interactive Data Visualization in the browser, from Python.",698.0,45,True,2024-08-23 08:14:02.000,3.5.2,214.0,bokeh,conda-forge/bokeh,,,,4638994.0,93450.0,91749.0,https://pypi.org/project/bokeh,2024-08-23 08:14:02.000,1701.0,4348692.0,https://anaconda.org/conda-forge/bokeh,2024-08-23 12:55:11.815,14805433.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-09-04 01:00:39.000000,2024-09-04 01:00:39,14678.0,146.0,2856.0,463.0,1485.0,273.0,1547.0,13404.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,461.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,21531340.0,306804.0,302235.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4569.0,21465994.0,https://anaconda.org/conda-forge/nltk,2024-08-18 23:14:52.073,2744535.0,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-09-05 10:38:13.000000,2024-09-05 10:38:13,15476.0,98.0,2865.0,283.0,3913.0,2828.0,2780.0,9959.0,Statsmodels: statistical modeling and econometrics in Python.,434.0,45,True,2024-04-17 08:41:57.000,0.14.2,37.0,statsmodels,conda-forge/statsmodels,,,33.0,16200181.0,138847.0,134520.0,https://pypi.org/project/statsmodels,2024-04-17 08:41:57.000,4327.0,15911517.0,https://anaconda.org/conda-forge/statsmodels,2024-05-17 10:41:00.825,14721872.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-09-05 13:02:43.000000,2024-09-05 13:02:20,42077.0,821.0,28177.0,2025.0,47970.0,215.0,,39247.0,Apache Spark Python API.,3115.0,44,True,2024-08-12 14:57:56.000,3.5.2,46.0,pyspark,conda-forge/pyspark,,['spark'],,30302212.0,1513.0,,https://pypi.org/project/pyspark,2024-08-12 14:57:56.000,1513.0,30235908.0,https://anaconda.org/conda-forge/pyspark,2024-03-03 13:07:40.821,3381530.0,2.0,,,,,,,stable/spark,,,,,,,,,,,,,,,,,,
24,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-09-03 22:39:19.000000,2024-08-22 13:59:19,10415.0,91.0,3337.0,247.0,10257.0,750.0,6294.0,27910.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",969.0,44,True,2024-08-07 09:46:38.000,2.4.0,277.0,pytorch-lightning,conda-forge/pytorch-lightning,,['pytorch'],8322.0,6318926.0,37505.0,36085.0,https://pypi.org/project/pytorch-lightning,2024-08-07 09:46:38.000,1420.0,6293942.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-08-07 15:45:27.965,1263355.0,2.0,,,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,
25,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-09-05 09:50:22.000000,2024-09-05 09:50:22,6428.0,392.0,4131.0,296.0,8960.0,1587.0,2558.0,18271.0,Open source platform for the machine learning lifecycle.,765.0,44,True,2024-08-30 22:00:41.000,2.16.0,111.0,mlflow,conda-forge/mlflow,,,,14963496.0,42464.0,41608.0,https://pypi.org/project/mlflow,2024-08-30 08:49:56.000,856.0,14918455.0,https://anaconda.org/conda-forge/mlflow,2024-09-04 14:05:24.643,2297113.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-08-30 19:40:02.000000,2024-08-29 18:22:16,6632.0,117.0,2535.0,273.0,1692.0,530.0,2435.0,15967.0,The interactive graphing library for Python This project now includes Plotly Express!.,265.0,44,True,2024-08-29 17:58:45.000,5.24.0,300.0,plotly,conda-forge/plotly,,,,17866134.0,305245.0,299117.0,https://pypi.org/project/plotly,2024-08-29 17:54:43.000,6119.0,17728870.0,https://anaconda.org/conda-forge/plotly,2024-08-30 03:08:35.026,6843734.0,1.0,,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,5654.0,,,,,,,,,,,,
27,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-09-04 20:26:08.000000,2024-09-02 06:15:24,7773.0,77.0,3202.0,281.0,3860.0,347.0,3018.0,14674.0,Network Analysis in Python.,744.0,44,True,2024-04-06 13:09:07.000,networkx-3.3,94.0,networkx,conda-forge/networkx,,,73.0,64361613.0,298297.0,289035.0,https://pypi.org/project/networkx,2024-04-06 12:59:44.000,9262.0,64004873.0,https://anaconda.org/conda-forge/networkx,2024-04-08 01:42:36.044,17480261.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-09-05 08:14:59.000000,2024-09-04 14:46:00,8309.0,99.0,1693.0,212.0,5951.0,1096.0,4242.0,12371.0,Parallel computing with task scheduling.,608.0,44,True,2024-08-30 20:43:20.000,2024.8.2,206.0,dask,conda-forge/dask,,,,10903598.0,66368.0,64053.0,https://pypi.org/project/dask,2024-08-30 20:43:20.000,2315.0,10676383.0,https://anaconda.org/conda-forge/dask,2024-08-31 00:34:24.911,11815186.0,1.0,,,,,,,stable/dask,,,,,,,,,,,,,,,,,,
29,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-09-05 03:56:20.000000,2024-09-02 17:00:47,7001.0,296.0,2379.0,168.0,4207.0,546.0,4145.0,31960.0,"Wrap UIs around any model, share with anyone.",372.0,43,True,2024-09-04 06:35:28.000,@self/spaces-test@0.0.1,584.0,gradio,,,,,6255022.0,40474.0,39730.0,https://pypi.org/project/gradio,2024-09-04 06:40:21.000,744.0,6255022.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-09-04 12:31:25.000000,2024-08-20 10:16:08,16136.0,4.0,4344.0,560.0,4010.0,139.0,5511.0,29609.0,Industrial-strength Natural Language Processing (NLP) in Python.,751.0,43,True,2024-08-20 14:29:00.000,3.7.6,233.0,spacy,conda-forge/spacy,,,117.0,11866882.0,100391.0,97783.0,https://pypi.org/project/spacy,2024-08-20 14:29:00.000,2608.0,11788576.0,https://anaconda.org/conda-forge/spacy,2024-07-29 11:52:18.238,3993558.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2024-09-05 10:55:38.000000,2024-09-05 10:55:38,2754.0,78.0,3233.0,239.0,948.0,768.0,1759.0,22438.0,A game theoretic approach to explain the output of any machine learning model.,250.0,43,True,2024-06-27 10:16:34.000,0.46.0,104.0,shap,conda-forge/shap,,,,6506013.0,20641.0,19903.0,https://pypi.org/project/shap,2024-06-27 10:16:34.000,738.0,6422895.0,https://anaconda.org/conda-forge/shap,2024-05-08 21:55:59.406,3740335.0,1.0,,,,,,,,shap/shap,,,,,,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-09-05 00:16:09.000000,2024-09-04 21:18:58,2805.0,68.0,3650.0,440.0,3325.0,341.0,2493.0,17598.0,Open standard for machine learning interoperability.,323.0,43,True,2024-08-01 13:15:32.000,1.16.2,34.0,onnx,conda-forge/onnx,,,21593.0,5758482.0,33748.0,32732.0,https://pypi.org/project/onnx,2024-08-01 13:10:23.000,1016.0,5734602.0,https://anaconda.org/conda-forge/onnx,2024-09-03 14:45:24.706,1204660.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-09-04 03:30:31.000000,2024-09-04 03:30:30,3566.0,83.0,3819.0,434.0,3244.0,367.0,3056.0,16510.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",318.0,43,True,2024-07-26 14:38:57.000,4.5.0,38.0,lightgbm,conda-forge/lightgbm,,,233786.0,10071468.0,37967.0,36890.0,https://pypi.org/project/lightgbm,2024-07-26 14:38:57.000,1077.0,10013983.0,https://anaconda.org/conda-forge/lightgbm,2024-08-02 18:29:39.160,2633258.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2024-09-05 12:40:43.000000,2024-09-05 01:41:47,2638.0,283.0,1506.0,186.0,3129.0,617.0,767.0,12466.0,Development repository for the Triton language and compiler.,319.0,43,True,2024-07-09 07:22:23.000,3.0.0,195.0,triton,,,,,13542382.0,35802.0,35571.0,https://pypi.org/project/triton,2024-07-09 07:22:23.000,231.0,13542382.0,,,,1.0,,,,,,,,triton-lang/triton,,,,,,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-09-05 01:55:22.000000,2024-09-04 17:53:05,4978.0,77.0,2074.0,1679.0,4843.0,341.0,2713.0,12041.0,WebGL2 powered visualization framework.,271.0,43,True,2024-09-04 13:59:16.023,9.0.29,669.0,pydeck,conda-forge/pydeck,,['jupyter'],,5217497.0,8403.0,7999.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,105.0,4566579.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,601103.0,1.0,,,,,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-09-04 13:59:16.023,299.0,639989.0,,,,,,,,,,,,
36,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2024-09-05 15:25:56.000000,2024-09-05 15:21:41,17365.0,4526.0,1366.0,66.0,2408.0,550.0,2541.0,11994.0,"Python SDK, Proxy Server to call 100+ LLM APIs using the OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere,..",324.0,43,True,2024-09-05 04:45:50.000,1.44.17-stable,937.0,litellm,,,others,242.0,1559753.0,3534.0,3154.0,https://pypi.org/project/litellm,2024-09-05 15:25:56.000,380.0,1559632.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2024-09-05 04:43:31.000000,2024-09-05 04:43:24,18214.0,491.0,994.0,115.0,3638.0,69.0,1596.0,10459.0,A hyperparameter optimization framework.,271.0,43,True,2024-09-02 05:17:47.000,4.0.0,66.0,optuna,conda-forge/optuna,,,,3351160.0,18145.0,17194.0,https://pypi.org/project/optuna,2024-09-02 05:17:47.000,951.0,3320886.0,https://anaconda.org/conda-forge/optuna,2024-09-03 06:05:16.374,1543998.0,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,
