,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,updated_github_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000,2023-10-05 13:17:58.000000,2023-10-04 21:56:58,48634.0,790.0,7018.0,591.0,17160.0,1495.0,8628.0,18197.0,matplotlib: plotting with Python.,1571.0,50,True,2023-09-15 04:49:33.000,3.8.0,116.0,matplotlib,conda-forge/matplotlib,,,,1022476.0,960583.0,https://pypi.org/project/matplotlib,2023-09-15 04:49:33.000,61893.0,39244565.0,39762899.0,https://anaconda.org/conda-forge/matplotlib,2023-09-21 21:56:55.120,20733365.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-10-05 11:04:42.000000,2023-10-05 11:04:42,30960.0,491.0,4859.0,345.0,9926.0,1676.0,7999.0,11758.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1543.0,47,True,2023-09-27 22:44:39.000,1.11.3,97.0,scipy,conda-forge/scipy,,,,64052.0,16.0,https://pypi.org/project/scipy,2023-09-27 21:55:42.000,64036.0,60409889.0,61624921.0,https://anaconda.org/conda-forge/scipy,2023-10-05 05:09:54.567,42390777.0,,,,,1.0,382882.0,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-10-05 07:43:20.000000,2023-10-03 21:08:07,16281.0,261.0,2107.0,223.0,4400.0,112.0,2828.0,11143.0,Python Imaging Library (Fork).,448.0,47,True,2023-09-15 14:02:24.000,10.0.1,94.0,Pillow,conda-forge/pillow,,,,1428653.0,1362094.0,https://pypi.org/project/Pillow,2023-09-15 13:56:57.000,66559.0,65536188.0,66392050.0,https://anaconda.org/conda-forge/pillow,2023-10-03 09:17:12.702,33378620.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-10-05 13:46:22.000000,2023-10-05 13:46:22,9784.0,642.0,19399.0,1923.0,6592.0,376.0,11196.0,59451.0,Deep Learning for humans.,1244.0,46,True,2023-09-12 16:19:40.000,2.14.0,82.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],655.0,16.0,https://pypi.org/project/keras,2023-09-11 17:21:02.000,639.0,12215304.0,12296954.0,https://anaconda.org/conda-forge/keras,2023-07-28 12:24:35.264,3266023.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-10-05 14:40:46.000000,2023-10-05 14:00:26,56177.0,1566.0,3951.0,290.0,12689.0,4228.0,8518.0,11380.0,A computer algebra system written in pure Python.,1254.0,46,False,2023-05-10 18:09:23.000,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,85111.0,85111.0,https://pypi.org/project/sympy,,,9835818.0,9889403.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4396241.0,,,,,1.0,515482.0,,,,,,,,,,,,,,,,,,,
15,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2023-10-05 14:17:04.000000,2023-10-05 09:07:21,38332.0,1049.0,27668.0,2045.0,43200.0,262.0,,36863.0,Apache Spark Python API.,2952.0,45,True,2023-09-26 20:30:58.000,3.5.0,40.0,pyspark,conda-forge/pyspark,,,['spark'],1161.0,,https://pypi.org/project/pyspark,2023-09-26 20:30:58.000,1161.0,25047017.0,25118492.0,https://anaconda.org/conda-forge/pyspark,2023-10-04 13:44:45.676,2859004.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-10-05 13:33:08.000000,2023-10-05 09:59:30,17721.0,1085.0,2303.0,313.0,11194.0,1563.0,3307.0,24839.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",581.0,45,True,2023-10-04 00:52:51.000,jax-v0.4.17,151.0,jax,conda-forge/jaxlib,,,,18617.0,17924.0,https://pypi.org/project/jax,2023-10-04 00:39:50.000,693.0,3391771.0,3415226.0,https://anaconda.org/conda-forge/jaxlib,2023-09-15 05:13:04.336,938225.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-10-05 12:18:42.000000,2023-09-28 12:18:51,44000.0,1500.0,5341.0,727.0,40311.0,2046.0,16276.0,20894.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1107.0,45,True,2023-07-25 11:09:59.000,2.5.0,64.0,paddlepaddle,,,,['paddle'],4132.0,4056.0,https://pypi.org/project/paddlepaddle,2023-07-27 06:56:01.000,76.0,163239.0,163417.0,,,,,,,,1.0,15365.0,,,,,,,,,,,,,,,,,,,
18,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-10-05 14:51:32.000000,2023-10-05 09:02:00,20233.0,72.0,4122.0,450.0,5822.0,771.0,6677.0,18028.0,"Interactive Data Visualization in the browser, from Python.",670.0,45,True,2023-08-14 02:42:48.000,3.2.2,177.0,bokeh,conda-forge/bokeh,,,,80675.0,76923.0,https://pypi.org/project/bokeh,2023-10-05 09:19:55.000,3752.0,3449366.0,3768257.0,https://anaconda.org/conda-forge/bokeh,2023-08-14 08:47:36.698,12755659.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
19,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-10-05 15:07:00.000000,2023-10-05 11:38:51,19354.0,1234.0,4705.0,459.0,24356.0,3301.0,12425.0,28014.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,924.0,44,True,2023-09-17 18:13:10.000,ray-2.7.0,91.0,ray,conda-forge/ray-tune,,,,12025.0,11609.0,https://pypi.org/project/ray,2023-09-17 17:48:25.000,416.0,2160984.0,2165852.0,https://anaconda.org/conda-forge/ray-tune,2023-08-17 00:56:02.998,165486.0,,,,,1.0,89.0,,,,,,,,,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-10-05 14:20:48.000000,2023-10-05 14:10:19,16051.0,88.0,4233.0,558.0,3891.0,93.0,5407.0,27251.0,Industrial-strength Natural Language Processing (NLP) in Python.,741.0,44,True,2023-10-05 06:46:15.000,3.7.1,225.0,spacy,conda-forge/spacy,,,,73727.0,70890.0,https://pypi.org/project/spacy,2023-10-05 06:22:52.000,2837.0,6386138.0,6466955.0,https://anaconda.org/conda-forge/spacy,2023-08-09 19:17:06.552,3232680.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-10-05 14:02:02.000000,2023-10-05 14:01:59,9778.0,362.0,3003.0,240.0,9502.0,701.0,5857.0,24766.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",906.0,44,True,2023-09-28 18:47:58.000,2.0.9.post0,258.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],25303.0,24604.0,https://pypi.org/project/pytorch-lightning,2023-09-28 19:50:29.000,699.0,3936001.0,3960445.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-09-15 04:58:40.137,961211.0,,,,,2.0,13261.0,,,,,,,,,,,,,,,,,,,
22,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-10-04 18:54:45.000000,2023-09-28 18:29:33,6573.0,145.0,8650.0,913.0,4690.0,364.0,4614.0,24724.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",625.0,44,True,2023-09-12 03:14:32.000,2.0.0,77.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,69807.0,68096.0,https://pypi.org/project/xgboost,2023-09-12 03:14:32.000,1711.0,10629610.0,10739463.0,https://anaconda.org/conda-forge/xgboost,2023-08-26 05:00:33.552,4281863.0,,,,,2.0,7213.0,,,,,,,,,,,,,,,,,,,
23,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-10-05 11:37:06.000000,2023-10-05 04:09:34,4725.0,419.0,3551.0,292.0,6459.0,1244.0,2150.0,15476.0,Open source platform for the machine learning lifecycle.,645.0,44,True,2023-09-17 21:48:08.000,2.7.1,82.0,mlflow,conda-forge/mlflow,,,,24898.0,24411.0,https://pypi.org/project/mlflow,2023-09-17 18:36:26.000,487.0,13916684.0,13955382.0,https://anaconda.org/conda-forge/mlflow,2023-09-21 15:54:18.751,1547949.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-10-04 18:04:34.000000,2023-10-04 18:04:34,6201.0,120.0,2390.0,279.0,1552.0,1408.0,1352.0,14215.0,The interactive graphing library for Python This project now includes Plotly Express!.,245.0,44,True,2023-09-15 15:44:22.000,5.17.0,293.0,plotly,conda-forge/plotly,,,,210497.0,205282.0,https://pypi.org/project/plotly,2023-09-15 15:37:38.000,5209.0,10678204.0,10830930.0,https://anaconda.org/conda-forge/plotly,2023-09-15 18:28:38.444,4868837.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,6.0,33974.0,,,,,,,,,,,,,
25,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-10-02 13:55:55.000000,2023-09-01 10:54:50,15104.0,13.0,2754.0,277.0,3807.0,2653.0,2706.0,8891.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,44,True,2023-05-05 11:36:02.375,0.14.0,35.0,statsmodels,conda-forge/statsmodels,,,,108949.0,103636.0,https://pypi.org/project/statsmodels,2023-05-05 11:36:02.375,5313.0,11074331.0,11204844.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,11485147.0,,,,,2.0,29.0,,,,,,,,,,,,,,,,,,,
26,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-10-05 14:09:58.000000,2023-10-05 04:38:26,2551.0,127.0,3592.0,438.0,2971.0,321.0,2229.0,15640.0,Open standard for machine learning interoperability.,296.0,43,True,2023-08-25 21:00:03.000,1.14.1,30.0,onnx,conda-forge/onnx,,,,19776.0,19171.0,https://pypi.org/project/onnx,2023-08-25 20:34:27.000,605.0,3821909.0,3843289.0,https://anaconda.org/conda-forge/onnx,2023-09-11 18:49:12.565,844489.0,,,,,1.0,19315.0,,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-10-05 04:36:36.000000,2023-10-03 04:08:32,3353.0,54.0,3771.0,441.0,2996.0,316.0,2826.0,15503.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 02:08:33.000,4.1.0,34.0,lightgbm,conda-forge/lightgbm,,,,26476.0,25670.0,https://pypi.org/project/lightgbm,2023-09-12 02:08:33.000,806.0,6846629.0,6904209.0,https://anaconda.org/conda-forge/lightgbm,2023-09-12 13:54:11.699,2034492.0,,,,,2.0,202361.0,,,,,,,,,,,,,,,,,,,
28,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-10-05 08:26:39.000000,2023-10-04 19:04:37,7876.0,64.0,1645.0,216.0,5465.0,955.0,4031.0,11426.0,Parallel computing with task scheduling.,588.0,43,True,2023-09-29 22:05:24.000,2023.9.3,181.0,dask,conda-forge/dask,,,,56102.0,53107.0,https://pypi.org/project/dask,2023-09-29 22:05:24.000,2995.0,8258604.0,8507256.0,https://anaconda.org/conda-forge/dask,2023-09-30 21:04:26.876,10194733.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,
29,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-10-02 16:03:37.621000,2023-10-01 17:43:20,3191.0,38.0,1812.0,257.0,1049.0,115.0,2287.0,11212.0,Statistical data visualization in Python.,200.0,43,True,2023-09-29 19:01:44.000,0.13.0,35.0,seaborn,conda-forge/seaborn,,,,319042.0,308018.0,https://pypi.org/project/seaborn,2023-09-29 18:58:33.000,11024.0,9936242.0,10125015.0,https://anaconda.org/conda-forge/seaborn,2023-10-02 16:03:37.621,7550854.0,,,,,1.0,272.0,,,,,,,,,,,,,,,,,,,
30,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-10-05 14:00:38.000000,2023-10-04 17:22:49,5676.0,102.0,1604.0,193.0,4804.0,640.0,1207.0,6362.0,TensorFlows Visualization Toolkit.,307.0,43,True,2023-09-27 23:37:16.000,2.14.1,54.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],193496.0,190697.0,https://pypi.org/project/tensorboard,2023-09-27 23:37:16.000,2799.0,20680485.0,20788393.0,https://anaconda.org/conda-forge/tensorboard,2023-09-28 16:22:20.856,4316340.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-10-05 15:14:37.000000,2023-10-05 15:09:47,5731.0,350.0,1514.0,136.0,2562.0,396.0,2467.0,22358.0,"Wrap UIs around any model, share with anyone.",207.0,42,True,2023-08-23 23:33:20.000,3.41.0,100.0,gradio,,,,,14469.0,14469.0,https://pypi.org/project/gradio,,,3604079.0,3604079.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
32,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-10-05 12:12:38.000000,2023-10-05 12:04:16,3708.0,152.0,6768.0,396.0,5031.0,931.0,2223.0,14616.0,"Datasets, Transforms and Models specific to Computer Vision.",556.0,42,True,2023-10-04 17:32:50.000,0.16.0,38.0,torchvision,conda-forge/torchvision,,,['pytorch'],4672.0,16.0,https://pypi.org/project/torchvision,2023-10-04 17:02:21.000,4656.0,7296602.0,7325167.0,https://anaconda.org/conda-forge/torchvision,2023-10-02 13:13:36.301,873182.0,,,,,1.0,31118.0,,,,,,,4.0,,,,,,,,,,,,
33,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2023-09-28 08:36:01.000000,2023-09-28 08:36:01,14447.0,2.0,2781.0,465.0,1429.0,267.0,1484.0,12387.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,444.0,42,True,2023-07-20 15:52:53.307,0.9.9,59.0,nltk,conda-forge/nltk,,,,235540.0,222914.0,https://pypi.org/project/nltk,2023-01-02 22:02:43.849,12626.0,12091190.0,12117348.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2249603.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-10-05 09:00:43.000000,2023-10-05 08:38:11,4526.0,65.0,2024.0,1700.0,4352.0,227.0,2540.0,11219.0,WebGL2 powered visualization framework.,238.0,42,True,2023-09-21 09:29:00.287,8.9.30,613.0,pydeck,conda-forge/pydeck,,,['jupyter'],7080.0,6573.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,40.0,1480411.0,1990571.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,445711.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-09-21 09:29:00.287,467.0,500031.0,,,,,,,,,,,,,
35,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-10-05 09:50:54.000000,2023-10-03 19:57:27,3574.0,60.0,761.0,145.0,1270.0,185.0,1691.0,8481.0,Declarative statistical visualization library for Python.,157.0,42,True,2023-10-03 18:18:45.000,5.1.2,38.0,altair,conda-forge/altair,,,,78036.0,77432.0,https://pypi.org/project/altair,2023-10-03 17:40:10.000,604.0,15533971.0,15626277.0,https://anaconda.org/conda-forge/altair,2023-10-03 20:26:07.376,2030722.0,,,,,1.0,88.0,,,,,,,,,,,,,,,,,,,
36,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-10-05 07:08:11.000000,2023-10-05 04:55:11,13735.0,93.0,2214.0,187.0,4276.0,742.0,2004.0,5611.0,Image processing in Python.,629.0,42,False,2023-10-03 21:36:37.000,0.22.0,59.0,scikit-image,conda-forge/scikit-image,,,,165778.0,155578.0,https://pypi.org/project/scikit-image,2023-10-03 21:35:27.000,10200.0,8407762.0,8548357.0,https://anaconda.org/conda-forge/scikit-image,2023-07-08 14:10:33.891,5623820.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
37,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-10-05 10:56:34.000000,2023-10-05 04:49:49,1854.0,208.0,3368.0,301.0,2178.0,804.0,1371.0,28679.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",249.0,41,True,2023-09-11 21:12:04.000,0.10.3,71.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4413.0,4340.0,https://pypi.org/project/deepspeed,2023-09-11 21:07:54.000,73.0,364513.0,364894.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17176.0,1.0,,,,,,,,,,,,,,,,,,,,
