,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url
10,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-04-22 14:23:40.000000,2021-04-22 13:35:43.000000,5386,2271.0,7444.0,16922,,The fundamental package for scientific computing with Python.,1308.0,38,True,2021-03-27 23:33:19.000000,1.20.2,97.0,numpy,conda-forge/numpy,,331655.0,70723618.0,854276.0,684554.0,https://pypi.org/project/numpy,2021-03-27 22:16:26.000000,169722.0,70404421.0,https://anaconda.org/conda-forge/numpy,2021-03-28 21:35:26.037000,18463501.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tensorflow,tensorflow/tensorflow,,ml-frameworks,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000000,2021-04-22 13:55:05.988692,,84359,4031.0,,156399,,An Open Source Machine Learning Framework for Everyone.,783.0,37,True,2021-01-21 19:38:00.000000,2.4.1,117.0,tensorflow,conda-forge/tensorflow,['tensorflow'],,10589740.0,22524.0,,https://pypi.org/project/tensorflow,2021-04-01 23:34:05.000000,22524.0,9772868.0,https://anaconda.org/conda-forge/tensorflow,2021-04-12 19:23:10.836000,2489980.0,1.0,https://www.tensorflow.org/overview,,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2021-04-22 13:55:05.988692,1888.0,50443447.0,-7.0,,,,,,,,,,,,,,,,,,,
12,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-04-22 14:00:00.000000,2021-04-22 13:26:04.000000,21271,2379.0,6837.0,45482,,scikit-learn: machine learning in Python.,2208.0,37,True,2021-01-19 18:10:37.000000,0.24.1,53.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],683.0,21866355.0,250239.0,212351.0,https://pypi.org/project/scikit-learn,2021-01-19 18:06:50.000000,37888.0,21735110.0,https://anaconda.org/conda-forge/scikit-learn,2021-01-21 23:33:46.354000,7742836.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-04-22 14:01:59.000000,2021-04-21 20:48:32.000000,7942,278.0,3731.0,20892,5304.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",513.0,37,True,2021-04-20 00:37:45.000000,1.4.1,55.0,xgboost,conda-forge/xgboost,,2076.0,5196372.0,17667.0,16075.0,https://pypi.org/project/xgboost,2021-04-12 18:26:19.000000,1592.0,5164757.0,https://anaconda.org/conda-forge/xgboost,2021-03-09 14:27:32.491000,1547973.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-04-22 13:52:04.000000,2021-04-22 12:58:29.000000,3366,107.0,4476.0,20241,14461.0,Industrial-strength Natural Language Processing (NLP) in Python.,579.0,37,True,2021-03-10 11:33:30.000000,3.0.5,176.0,spacy,conda-forge/spacy,,3003.0,2071742.0,27001.0,23935.0,https://pypi.org/project/spacy,2021-03-10 11:33:30.000000,3066.0,2037037.0,https://anaconda.org/conda-forge/spacy,2021-03-11 13:42:03.785000,1732544.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-04-22 06:28:12.000000,2021-04-19 16:42:38.000000,1404,142.0,361.0,12418,2618.0,Faker is a Python package that generates fake data for you.,398.0,37,True,2021-04-13 22:07:27.000000,8.1.0,134.0,Faker,conda-forge/faker,,,4108968.0,30546.0,25834.0,https://pypi.org/project/Faker,2021-04-05 18:17:51.000000,4712.0,4100546.0,https://anaconda.org/conda-forge/faker,2021-04-14 00:47:35.172000,412725.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-04-19 04:32:07.000000,2021-04-17 12:29:05.000000,1383,98.0,1736.0,8339,2765.0,Statistical data visualization using matplotlib.,151.0,37,True,2021-03-29 17:36:25.000000,joss_paper,23.0,seaborn,conda-forge/seaborn,,160.0,4965550.0,103925.0,91139.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,4925045.0,https://anaconda.org/conda-forge/seaborn,2021-01-28 11:50:33.609000,2268269.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-04-22 14:20:30.000000,2021-04-22 14:10:16.000000,10575,720.0,5916.0,45011,7033.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,853.0,36,True,2021-04-13 15:25:42.000000,4.5.1,56.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1294.0,1894314.0,10023.0,9895.0,https://pypi.org/project/transformers,2021-04-13 15:21:35.000000,128.0,1892271.0,https://anaconda.org/conda-forge/transformers,2021-04-14 06:06:28.483000,35994.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-04-22 15:03:16.000000,2021-04-22 14:28:03.000000,8352,956.0,2384.0,21456,12208.0,"Platform to programmatically author, schedule, and monitor workflows.",1843.0,36,True,2021-04-19 21:11:50.000000,2.0.2,75.0,apache-airflow,conda-forge/airflow,,115803.0,2048817.0,294.0,,https://pypi.org/project/apache-airflow,2021-04-19 20:59:24.000000,294.0,1803225.0,https://anaconda.org/conda-forge/airflow,2021-04-20 10:47:28.101000,307641.0,1.0,,stable/airflow,apache/airflow,https://hub.docker.com/r/apache/airflow,2021-04-21 11:54:16.208951,233.0,17088870.0,,,,,,,,,,,,,,,,,,,,
19,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-04-22 11:55:56.000000,2021-04-22 03:51:36.000000,3264,112.0,2102.0,12444,2465.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",221.0,36,True,2021-04-12 23:03:24.000000,3.2.1,25.0,lightgbm,conda-forge/lightgbm,,108041.0,3727278.0,7118.0,6562.0,https://pypi.org/project/lightgbm,2021-03-22 15:04:09.000000,556.0,3712611.0,https://anaconda.org/conda-forge/lightgbm,2021-04-20 13:04:15.819000,558784.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-04-22 10:21:46.000000,2021-04-19 12:55:19.000000,3950,358.0,1289.0,11975,4144.0,Topic Modelling for Humans.,393.0,36,True,2021-04-01 14:19:26.000000,4.0.1,85.0,gensim,conda-forge/gensim,,3304.0,8558921.0,27382.0,22640.0,https://pypi.org/project/gensim,2021-03-25 13:43:34.000000,4742.0,8544095.0,https://anaconda.org/conda-forge/gensim,2021-04-02 10:56:03.560000,635380.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-04-22 14:35:45.000000,2021-04-22 13:41:23.000000,1791,865.0,1072.0,9346,4942.0,The interactive graphing library for Python (includes Plotly Express).,166.0,36,True,2021-01-12 17:01:21.000000,4.14.3,265.0,plotly,conda-forge/plotly,,,5449537.0,4991.0,5.0,https://pypi.org/project/plotly,2021-01-12 16:12:40.000000,4982.0,5271263.0,https://anaconda.org/conda-forge/plotly,2021-01-12 17:11:42.117000,1328653.0,1.0,,,,,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,154549.0,,,,,,,,,,,,,,
22,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-04-22 13:43:37.000000,2021-04-22 07:22:45.000000,4520,442.0,1221.0,8895,1638.0,"Datasets, Transforms and Models specific to Computer Vision.",380.0,36,True,2021-03-25 17:51:25.000000,0.9.1,23.0,torchvision,conda-forge/torchvision,['pytorch'],,1426633.0,52163.0,47551.0,https://pypi.org/project/torchvision,2021-03-25 16:28:06.000000,4612.0,1425346.0,https://anaconda.org/conda-forge/torchvision,2021-04-22 07:21:30.407000,51517.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-04-22 13:03:59.000000,2021-04-21 21:45:40.000000,1379,550.0,961.0,5262,4442.0,TensorFlow's Visualization Toolkit.,257.0,36,True,2021-04-19 18:42:18.000000,2.5.0,37.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,8974977.0,64839.0,61225.0,https://pypi.org/project/tensorboard,2021-01-14 20:49:19.000000,3614.0,8928705.0,https://anaconda.org/conda-forge/tensorboard,2021-01-15 08:30:57.960000,1897186.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-04-09 10:22:50.000000,2021-04-02 12:08:27.000000,286,291.0,358.0,2413,1370.0,Computing with Python functions.,99.0,36,True,2021-02-09 16:46:29.000000,1.0.1,100.0,joblib,conda-forge/joblib,,,28725211.0,102234.0,95624.0,https://pypi.org/project/joblib,2021-02-09 16:46:29.000000,6610.0,28657986.0,https://anaconda.org/conda-forge/joblib,2021-02-09 19:26:28.194000,3831873.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-04-20 08:28:00.000000,2021-04-20 08:25:11.000000,399,217.0,980.0,1509,3620.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,162.0,36,True,2021-03-05 10:04:46.000000,3.2.1,27.0,h5py,conda-forge/h5py,,1022.0,8928842.0,134115.0,111179.0,https://pypi.org/project/h5py,2021-03-05 10:24:13.000000,22936.0,8846473.0,https://anaconda.org/conda-forge/h5py,2021-04-16 22:09:04.226000,5023304.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-04-18 17:02:30.000000,2021-04-06 15:18:55.000000,6822,284.0,1068.0,24005,1244.0,A toolkit for developing and comparing reinforcement learning algorithms.,275.0,35,True,2020-12-19 00:29:36.000000,0.18.0,92.0,gym,,,,428854.0,23119.0,19557.0,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,428854.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,dash,plotly/dash,,data-viz,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000000,2021-04-10 06:31:33.446000,2021-04-08 21:29:36.000000,1453,418.0,571.0,14369,3544.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",74.0,35,True,2021-04-08 22:35:48.000000,1.20.0,137.0,dash,conda-forge/dash,,,449792.0,21141.0,19533.0,https://pypi.org/project/dash,2021-01-19 23:50:28.000000,1608.0,442886.0,https://anaconda.org/conda-forge/dash,2021-04-10 06:31:33.446000,241741.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
28,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-04-20 15:34:03.018000,2021-04-20 04:49:36.000000,2467,235.0,1243.0,9809,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,394.0,35,True,2021-04-07 21:36:50.000000,3.6.1,41.0,nltk,conda-forge/nltk,,,13537885.0,117919.0,96927.0,https://pypi.org/project/nltk,2021-04-07 21:36:50.000000,20992.0,13525856.0,https://anaconda.org/conda-forge/nltk,2021-04-20 15:34:03.018000,673677.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
29,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-04-21 11:33:19.000000,2021-04-21 10:35:02.000000,2286,286.0,2333.0,8962,,Network Analysis in Python.,507.0,35,True,2021-04-03 22:22:02.000000,2.5.1,53.0,networkx,conda-forge/networkx,,51.0,12784468.0,93124.0,72306.0,https://pypi.org/project/networkx,2021-04-03 22:22:02.000000,20818.0,12720601.0,https://anaconda.org/conda-forge/networkx,2021-04-04 01:32:23.917000,3448842.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-04-22 15:11:18.000000,2021-04-22 13:18:53.000000,3371,4150.0,7274.0,8020,46675.0,A computer algebra system written in pure Python.,1056.0,35,True,2021-04-09 22:38:24.000000,sympy-1.8,37.0,sympy,conda-forge/sympy,,421739.0,1012375.0,37382.0,30960.0,https://pypi.org/project/sympy,2021-04-09 22:41:01.000000,6422.0,983825.0,https://anaconda.org/conda-forge/sympy,2021-04-10 01:00:41.286000,1416946.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-04-22 14:45:34.000000,2021-04-22 11:08:48.000000,1880,139.0,584.0,7773,9088.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,670.0,35,True,2021-01-26 01:05:45.000000,3.0.0,30.0,pyarrow,conda-forge/arrow,,,23179514.0,1024.0,38.0,https://pypi.org/project/pyarrow,2021-01-26 01:05:45.000000,986.0,23170322.0,https://anaconda.org/conda-forge/arrow,2021-03-07 23:47:25.555000,542328.0,2.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,
32,MXNet,apache/incubator-mxnet,,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15.000000,2021-04-22 13:39:37.000000,2021-04-22 01:29:16.000000,6827,1888.0,7599.0,19417,11575.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",956.0,34,True,2021-03-21 14:56:00.000000,1.8.0,980.0,mxnet,mxnet,['mxnet'],23730.0,245911.0,2411.0,1967.0,https://pypi.org/project/mxnet,2021-03-31 20:05:38.000000,444.0,245358.0,https://anaconda.org/anaconda/mxnet,2020-02-29 00:58:31.007000,6065.0,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
33,PyFlink,apache/flink,,ml-frameworks,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10.000000,2021-04-22 13:54:21.000000,2021-04-22 13:23:56.000000,8682,499.0,,16048,26709.0,Apache Flink Python API.,1244.0,34,True,2021-01-15 01:51:44.000000,1.12.1,13.0,apache-flink,,,,9281.0,276.0,276.0,https://pypi.org/project/apache-flink,2021-01-15 01:51:44.000000,0.0,9281.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,luigi,spotify/luigi,,data-pipelines,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38.000000,2021-04-22 13:15:18.000000,2021-04-16 07:52:49.000000,2246,73.0,842.0,14460,3993.0,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",556.0,34,True,2021-04-16 09:12:59.000000,3.0.3,72.0,luigi,luigi,,,860134.0,2069.0,1393.0,https://pypi.org/project/luigi,2020-09-23 11:57:12.000000,676.0,860022.0,https://anaconda.org/anaconda/luigi,2021-04-17 18:49:18.708000,6964.0,1.0,,stable/luigi,,,,,,,,,,,,0.0,,,,,,,,,,,,,
35,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-04-20 15:09:13.000000,2021-04-06 00:10:26.000000,1801,1013.0,518.0,12400,1927.0,A game theoretic approach to explain the output of any machine learning model.,156.0,34,True,2021-03-03 18:38:33.000000,0.39.0,93.0,shap,conda-forge/shap,,,2724288.0,2509.0,2373.0,https://pypi.org/project/shap,2021-01-15 21:02:34.000000,136.0,2710077.0,https://anaconda.org/conda-forge/shap,2020-12-16 19:26:39.477000,454769.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,onnx,onnx/onnx,,model-serialisation,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000000,2021-04-22 08:36:54.000000,2021-04-21 23:22:13.000000,1893,540.0,1018.0,10198,1727.0,Open standard for machine learning interoperability.,195.0,34,True,2021-04-19 19:22:57.000000,1.9.0,21.0,onnx,conda-forge/onnx,,11602.0,1808630.0,3203.0,2907.0,https://pypi.org/project/onnx,2021-04-19 19:22:57.000000,296.0,1802974.0,https://anaconda.org/conda-forge/onnx,2021-04-19 16:03:25.171000,220580.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-04-13 19:05:58.000000,2021-04-13 19:05:58.000000,2517,673.0,2083.0,9396,28126.0,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-..",384.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,300822.0,16205.0,10731.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,275195.0,https://anaconda.org/conda-forge/theano,2021-01-21 21:14:21.756000,1460763.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-04-22 15:06:08.000000,2021-04-22 15:06:08.000000,1257,736.0,2986.0,8236,,Parallel computing with task scheduling.,443.0,34,True,2021-04-02 16:16:30.000000,2021.4.0,115.0,dask,conda-forge/dask,,,4227995.0,30777.0,26861.0,https://pypi.org/project/dask,2021-04-02 16:16:30.000000,3916.0,4172412.0,https://anaconda.org/conda-forge/dask,2021-04-02 22:33:17.507000,3279425.0,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,,,,,,
