,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
18,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-09-28 14:14:54.000000,2023-09-28 12:18:51,44000.0,1632.0,5341.0,726.0,40288.0,2046.0,16261.0,20877.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1107.0,45,True,2023-07-25 11:09:59.000,2.5.0,64.0,paddlepaddle,,,,['paddle'],4111.0,4035.0,https://pypi.org/project/paddlepaddle,167347.0,167527.0,,,,,,,,1.0,15365.0,2023-07-27 06:56:01.000,76.0,,,,,,,,,,,,,,,,,,
19,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-09-28 08:22:47.000000,2023-09-28 08:22:44,20222.0,64.0,4122.0,449.0,5813.0,771.0,6670.0,17979.0,"Interactive Data Visualization in the browser, from Python.",670.0,45,True,2023-08-14 02:42:48.000,3.2.2,175.0,bokeh,conda-forge/bokeh,,,,80412.0,76663.0,https://pypi.org/project/bokeh,3913750.0,4239272.0,https://anaconda.org/conda-forge/bokeh,2023-08-14 08:47:36.698,12695362.0,,,,,1.0,,2023-09-27 17:20:40.000,3749.0,,,,,,,,,,,,,,,,,,
20,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-09-28 10:18:15.000000,2023-09-28 08:01:09,19249.0,1212.0,4705.0,468.0,24202.0,3301.0,12383.0,27880.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,918.0,44,True,2023-09-17 18:13:10.000,ray-2.7.0,91.0,ray,conda-forge/ray-tune,,,,11929.0,11518.0,https://pypi.org/project/ray,2587737.0,2592707.0,https://anaconda.org/conda-forge/ray-tune,2023-08-17 00:56:02.998,163978.0,,,,,1.0,89.0,2023-09-17 17:48:25.000,411.0,,,,,,,,,,,,,,,,,,
21,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-09-28 14:08:30.000000,2023-09-28 09:36:44,15999.0,54.0,4122.0,568.0,3880.0,76.0,5403.0,27220.0,Industrial-strength Natural Language Processing (NLP) in Python.,740.0,44,True,2023-08-08 14:45:58.000,3.6.1,100.0,spacy,conda-forge/spacy,,,,70453.0,70453.0,https://pypi.org/project/spacy,6351627.0,6434303.0,https://anaconda.org/conda-forge/spacy,2023-08-09 19:17:06.552,3224381.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
22,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-09-28 13:47:41.000000,2023-09-28 10:53:29,6570.0,153.0,8650.0,912.0,4687.0,364.0,4610.0,24608.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",625.0,44,True,2023-09-12 03:14:32.000,2.0.0,77.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,69290.0,67586.0,https://pypi.org/project/xgboost,10274473.0,10386725.0,https://anaconda.org/conda-forge/xgboost,2023-08-26 05:00:33.552,4263230.0,,,,,2.0,7152.0,2023-09-12 03:14:32.000,1704.0,,,,,,,,,,,,,,,,,,
23,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-09-28 13:58:24.000000,2023-09-28 10:19:28,4684.0,428.0,3551.0,293.0,6396.0,1244.0,2107.0,15356.0,Open source platform for the machine learning lifecycle.,637.0,44,True,2023-09-17 21:48:08.000,2.7.1,82.0,mlflow,conda-forge/mlflow,,,,24628.0,24141.0,https://pypi.org/project/mlflow,14002630.0,14042036.0,https://anaconda.org/conda-forge/mlflow,2023-09-21 15:54:18.751,1536854.0,,,,,1.0,,2023-09-17 18:36:26.000,487.0,,,,,,,,,,,,,,,,,,
24,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-09-18 20:06:26.000000,2023-09-15 22:11:00,6199.0,125.0,2390.0,279.0,1551.0,1408.0,1351.0,14193.0,The interactive graphing library for Python This project now includes Plotly Express!.,244.0,44,True,2023-09-15 15:44:22.000,5.17.0,293.0,plotly,conda-forge/plotly,,,,208948.0,203758.0,https://pypi.org/project/plotly,10791312.0,10947154.0,https://anaconda.org/conda-forge/plotly,2023-09-15 18:28:38.444,4832578.0,,,,,1.0,,2023-09-15 15:37:38.000,5184.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,6.0,35028.0,,,,,,,,,,,
25,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-09-28 14:21:20.000000,2023-09-28 04:12:02,7411.0,92.0,3037.0,277.0,3441.0,398.0,2864.0,13214.0,Network Analysis in Python.,673.0,44,True,2023-04-04 20:05:38.000,networkx-3.1,89.0,networkx,conda-forge/networkx,,,,202408.0,187745.0,https://pypi.org/project/networkx,27656718.0,27818104.0,https://anaconda.org/conda-forge/networkx,2023-06-16 13:18:51.990,13395095.0,,,,,1.0,65.0,2023-04-04 20:09:20.051,14663.0,,,,,,,,,,,,,,,,,,
26,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-09-13 17:51:48.000000,2023-09-01 10:54:50,15104.0,15.0,2580.0,277.0,3805.0,2494.0,2706.0,8872.0,Statsmodels: statistical modeling and econometrics in Python.,416.0,44,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,103146.0,103146.0,https://pypi.org/project/statsmodels,11092095.0,11223372.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,11421165.0,,,,,2.0,29.0,,,,,,,,,,,,,,,,,,,,
27,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-09-28 00:04:11.000000,2023-09-27 05:10:52,2535.0,121.0,3579.0,438.0,2955.0,319.0,2225.0,15601.0,Open standard for machine learning interoperability.,295.0,43,True,2023-08-25 21:00:03.000,1.14.1,30.0,onnx,conda-forge/onnx,,,,19580.0,18983.0,https://pypi.org/project/onnx,3827312.0,3849095.0,https://anaconda.org/conda-forge/onnx,2023-09-11 18:49:12.565,838986.0,,,,,1.0,19288.0,2023-08-25 20:34:27.000,597.0,,,,,,,,,,,,,,,,,,
28,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-09-27 02:13:46.000000,2023-09-25 15:50:35,3350.0,57.0,3644.0,440.0,2992.0,288.0,2821.0,15489.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",290.0,43,True,2023-09-12 01:51:05.000,4.1.0,29.0,lightgbm,conda-forge/lightgbm,,,,25486.0,25486.0,https://pypi.org/project/lightgbm,6722977.0,6781704.0,https://anaconda.org/conda-forge/lightgbm,2023-09-12 13:54:11.699,2019893.0,,,,,2.0,201697.0,,,,,,,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-09-28 10:50:36.000000,2023-09-26 13:17:20,7873.0,68.0,1645.0,216.0,5461.0,955.0,4031.0,11409.0,Parallel computing with task scheduling.,587.0,43,True,2023-09-15 20:50:59.000,2023.9.2,180.0,dask,conda-forge/dask,,,,55928.0,52936.0,https://pypi.org/project/dask,8757409.0,9010995.0,https://anaconda.org/conda-forge/dask,2023-09-16 01:35:45.062,10143462.0,,,,,1.0,,2023-09-15 20:50:59.000,2992.0,,stable/dask,,,,,,,,,,,,,,,,
30,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-09-28 00:30:18.000000,2023-09-27 16:34:54,5670.0,102.0,1604.0,193.0,4786.0,640.0,1204.0,6361.0,TensorFlows Visualization Toolkit.,305.0,43,True,2023-09-27 23:37:16.000,2.14.1,54.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],192378.0,189579.0,https://pypi.org/project/tensorboard,20856770.0,20967016.0,https://anaconda.org/conda-forge/tensorboard,2023-08-09 15:42:17.420,4299596.0,,,,,1.0,,2023-09-27 23:37:16.000,2799.0,,,,,,,,,,,,,,,,,,
31,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-09-28 14:39:21.000000,2023-09-28 13:47:11,5706.0,375.0,1490.0,136.0,2526.0,411.0,2428.0,22214.0,"Wrap UIs around any model, share with anyone.",206.0,42,True,2023-09-27 06:00:19.000,3.45.1,506.0,gradio,,,,,14266.0,14106.0,https://pypi.org/project/gradio,4173263.0,4173263.0,,,,,,,,1.0,,2023-09-27 13:55:07.000,160.0,,,,,,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-09-28 14:31:06.000000,2023-09-27 17:14:41,4521.0,64.0,2024.0,1701.0,4340.0,227.0,2537.0,11211.0,WebGL2 powered visualization framework.,238.0,42,True,2023-09-21 09:29:00.287,8.9.30,613.0,pydeck,conda-forge/pydeck,,,['jupyter'],7057.0,6550.0,https://pypi.org/project/pydeck,1471547.0,1964973.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,442742.0,,,,,1.0,,2023-04-15 06:29:01.705,40.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-09-21 09:29:00.287,467.0,483130.0,,,,,,,,,,,
33,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-09-27 01:15:04.000000,2023-09-27 00:35:39,3188.0,37.0,1810.0,257.0,1048.0,117.0,2283.0,11181.0,Statistical data visualization in Python.,199.0,42,True,2023-01-02 17:36:07.692,0.12.2,34.0,seaborn,conda-forge/seaborn,,,,316646.0,305646.0,https://pypi.org/project/seaborn,9648155.0,9736406.0,https://anaconda.org/conda-forge/seaborn,2023-06-16 13:21:42.625,7501186.0,,,,,1.0,270.0,2023-09-26 14:04:27.000,11000.0,,,,,,,,,,,,,,,,,,
34,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-09-28 13:52:32.000000,2023-09-28 13:27:51,13714.0,79.0,2096.0,187.0,4262.0,521.0,2000.0,5597.0,Image processing in Python.,627.0,42,False,2023-06-02 05:03:22.000,0.21.0,22.0,scikit-image,conda-forge/scikit-image,,,,154911.0,154911.0,https://pypi.org/project/scikit-image,8201634.0,8345090.0,https://anaconda.org/conda-forge/scikit-image,2023-07-08 14:10:33.891,5594795.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
35,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-09-28 11:48:29.000000,2023-09-27 22:39:24,1836.0,212.0,3368.0,314.0,2152.0,804.0,1362.0,28602.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",246.0,41,True,2023-09-11 21:12:04.000,0.10.3,71.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],4363.0,4290.0,https://pypi.org/project/deepspeed,374549.0,374939.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17163.0,1.0,,2023-09-11 21:07:54.000,73.0,,,,,,,,,,,,,,,,,,
36,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2023-09-28 14:13:39.000000,2023-09-27 21:10:08,5809.0,227.0,2378.0,305.0,3746.0,662.0,2953.0,27345.0,Streamlit A faster way to build and share data apps.,197.0,41,True,2023-09-21 19:46:20.000,1.27.0,206.0,streamlit,,,,,2057.0,993.0,https://pypi.org/project/streamlit,2103210.0,2103210.0,,,,,,,,1.0,,2023-09-21 19:46:12.000,1064.0,,,,,,,,,,,,,,,,,,
37,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-09-28 09:01:15.000000,2023-09-28 09:01:14,2512.0,100.0,2990.0,260.0,704.0,1406.0,906.0,20186.0,A game theoretic approach to explain the output of any machine learning model.,222.0,41,True,2023-07-15 11:31:17.694,0.42.1,98.0,shap,conda-forge/shap,,,,13852.0,13442.0,https://pypi.org/project/shap,7173763.0,7237412.0,https://anaconda.org/conda-forge/shap,2023-07-26 09:30:41.606,2100445.0,,,,,1.0,,2023-07-15 11:31:17.694,410.0,,,,,,,,shap/shap,,,,,,,,,,
38,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-09-01 12:48:33.000000,2023-08-27 14:14:44,4506.0,37.0,4143.0,434.0,1676.0,374.0,1442.0,14653.0,Topic Modelling for Humans.,447.0,41,True,2023-08-24 08:44:46.000,4.3.2,43.0,gensim,conda-forge/gensim,,,,50494.0,50494.0,https://pypi.org/project/gensim,4172014.0,4210218.0,https://anaconda.org/conda-forge/gensim,2023-08-24 12:30:21.806,1144721.0,,,,,1.0,4450.0,,,,,,,,,,,,,,,,,,,,
