,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2025-01-09 13:23:02.000000,2025-01-09 13:23:02,34342.0,713.0,5226.0,350.0,11731.0,1724.0,9082.0,13267.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1728.0,50,True,2025-01-03 16:20:32.000,1.15.0,111.0,scipy,conda-forge/scipy,,,,1241651.0,1192686.0,https://pypi.org/project/scipy,2025-01-03 14:30:00.000,48965.0,109347025.0,110479794.0,https://anaconda.org/conda-forge/scipy,2025-01-08 20:21:47.925,56443315.0,,,,,1.0,445001.0,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-01-08 23:53:44.000000,2025-01-08 22:41:13,51814.0,581.0,7684.0,593.0,18753.0,1601.0,9430.0,20560.0,matplotlib: plotting with Python.,1762.0,49,True,2024-12-14 06:30:36.000,3.10.0,131.0,matplotlib,conda-forge/matplotlib,,,,1545531.0,1492548.0,https://pypi.org/project/matplotlib,2024-12-14 06:30:36.000,52983.0,62767556.0,63269805.0,https://anaconda.org/conda-forge/matplotlib,2024-12-16 20:44:59.565,27623720.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2025-01-09 14:25:19.000000,2025-01-09 14:25:19,59355.0,333.0,4458.0,293.0,13603.0,5148.0,8960.0,13191.0,A computer algebra system written in pure Python.,1344.0,49,True,2024-09-18 21:54:45.000,1.13.3,64.0,sympy,conda-forge/sympy,,,,210427.0,206927.0,https://pypi.org/project/sympy,2024-09-18 21:54:23.000,3500.0,25762252.0,25900477.0,https://anaconda.org/conda-forge/sympy,2025-01-07 11:14:01.011,7516202.0,,,,,1.0,553114.0,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-01-09 00:22:54.000000,2025-01-08 17:54:18,11280.0,251.0,19477.0,1917.0,7706.0,254.0,12057.0,62342.0,Deep Learning for humans.,1362.0,48,True,2025-01-07 18:27:26.000,3.8.0,105.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1698.0,,https://pypi.org/project/keras,2025-01-07 18:27:14.000,1698.0,12543055.0,12613580.0,https://anaconda.org/conda-forge/keras,2024-12-10 19:57:35.430,3878888.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-01-09 12:18:03.000000,2025-01-09 12:18:02,19062.0,360.0,2243.0,219.0,5263.0,125.0,3147.0,12455.0,Python Imaging Library (Fork).,484.0,48,True,2025-01-02 08:20:18.000,11.1.0,100.0,Pillow,conda-forge/pillow,,,,2007527.0,1996616.0,https://pypi.org/project/Pillow,2025-01-02 08:10:16.000,10911.0,106178298.0,107072967.0,https://anaconda.org/conda-forge/pillow,2025-01-03 20:03:34.476,48312175.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-01-09 15:02:28.000000,2025-01-09 12:30:15,6952.0,240.0,3155.0,323.0,5295.0,1000.0,3801.0,36600.0,Streamlit A faster way to build and share data apps.,275.0,46,True,2024-12-13 21:22:19.000,1.41.1,233.0,streamlit,,,,,658987.0,655979.0,https://pypi.org/project/streamlit,2024-12-13 21:22:11.000,3008.0,5703395.0,5703395.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-01-09 11:57:38.000000,2025-01-09 11:57:38,23543.0,773.0,5918.0,479.0,30221.0,4265.0,15577.0,34813.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1125.0,46,True,2024-12-04 00:01:15.000,ray-2.40.0,120.0,ray,conda-forge/ray-tune,,,,20894.0,20074.0,https://pypi.org/project/ray,2024-12-03 23:45:31.000,820.0,5237206.0,5247767.0,https://anaconda.org/conda-forge/ray-tune,2024-12-20 21:34:53.315,517398.0,,,,,1.0,248.0,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-01-09 13:54:01.000000,2025-01-09 02:34:10,24980.0,1436.0,2847.0,336.0,16987.0,1477.0,4366.0,30939.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",812.0,46,True,2024-12-17 23:03:44.000,0.4.38,172.0,jax,conda-forge/jaxlib,,,,37336.0,35266.0,https://pypi.org/project/jax,2024-12-17 23:03:44.000,2070.0,4516377.0,4553643.0,https://anaconda.org/conda-forge/jaxlib,2025-01-06 04:26:25.655,2049662.0,,,,,1.0,,,jax-ml/jax,,,,,,,,,,,,,,,,,
18,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-01-07 19:34:23.000000,2024-12-17 17:18:05,7386.0,460.0,2558.0,276.0,1769.0,580.0,2491.0,16547.0,The interactive graphing library for Python This project now includes Plotly Express!.,281.0,46,True,2024-09-12 15:42:27.000,5.24.1,301.0,plotly,conda-forge/plotly,,,,353805.0,347476.0,https://pypi.org/project/plotly,2024-09-12 15:36:24.000,6320.0,17044410.0,17222662.0,https://anaconda.org/conda-forge/plotly,2024-12-09 08:37:37.782,7987939.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,35611.0,,,,,,,,,,,,
19,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-01-07 19:30:35.000000,2025-01-07 19:30:34,7288.0,160.0,8735.0,910.0,5786.0,458.0,4954.0,26463.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",657.0,45,True,2024-11-26 10:23:00.000,2.1.3,85.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,127042.0,124931.0,https://pypi.org/project/xgboost,2024-11-26 10:23:00.000,2111.0,23482983.0,23587032.0,https://anaconda.org/conda-forge/xgboost,2024-12-03 00:14:17.609,5613364.0,,,,,1.0,12855.0,-1.0,,,,,,,,,,,,,,,,,,
20,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-01-09 13:49:21.000000,2025-01-09 10:55:29,52550.0,1358.0,5642.0,717.0,52000.0,1788.0,17527.0,22395.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1344.0,45,True,2024-09-13 08:31:46.000,2.6.2,72.0,paddlepaddle,,,,['paddle'],6943.0,6735.0,https://pypi.org/project/paddlepaddle,2025-01-09 02:42:38.000,208.0,305905.0,306057.0,,,,,,,,1.0,15424.0,,,,,,,,,,,,,,,,,,,
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-01-08 23:25:14.000000,2025-01-08 20:56:46,20659.0,44.0,4188.0,439.0,6230.0,785.0,7019.0,19515.0,"Interactive Data Visualization in the browser, from Python.",705.0,45,True,2024-12-03 15:39:22.000,3.6.2,223.0,bokeh,conda-forge/bokeh,,,,98129.0,96334.0,https://pypi.org/project/bokeh,2024-12-03 23:43:55.000,1795.0,3330197.0,3614878.0,https://anaconda.org/conda-forge/bokeh,2024-12-09 14:35:07.548,15657472.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
22,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-01-07 18:32:44.000000,2025-01-07 18:32:43,15639.0,131.0,3091.0,288.0,3974.0,2851.0,2813.0,10335.0,Statsmodels: statistical modeling and econometrics in Python.,448.0,45,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,153312.0,148843.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,14102029.0,14403444.0,https://anaconda.org/conda-forge/statsmodels,2024-10-03 20:40:26.151,16577876.0,,,,,1.0,35.0,,,,,,,,,,,,,,,,,,,
23,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-01-09 09:29:09.000000,2025-01-09 09:29:02,43206.0,793.0,28412.0,2020.0,49389.0,243.0,,40310.0,Apache Spark Python API.,3167.0,44,True,2024-12-20 14:34:41.000,3.5.4,50.0,pyspark,conda-forge/pyspark,,,['spark'],1654.0,,https://pypi.org/project/pyspark,2024-12-20 14:34:41.000,1654.0,30282741.0,30348662.0,https://anaconda.org/conda-forge/pyspark,2024-12-21 08:33:41.806,3625689.0,,,,,2.0,,,,,,,,,stable/spark,,,,,,,,,,,
24,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-01-09 02:04:00.000000,2025-01-08 21:27:15,7341.0,255.0,2650.0,178.0,4735.0,459.0,4734.0,35105.0,"Wrap UIs around any model, share with anyone.",483.0,44,True,2025-01-08 21:04:27.000,5.11.0,613.0,gradio,,,,,53091.0,52126.0,https://pypi.org/project/gradio,2025-01-08 21:04:27.000,965.0,5736027.0,5736027.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-01-09 02:56:26.000000,2025-01-09 02:54:55,6998.0,420.0,4302.0,306.0,9895.0,1687.0,2649.0,19185.0,Open source platform for the machine learning lifecycle.,810.0,44,True,2024-12-11 12:49:06.000,2.19.0,121.0,mlflow,conda-forge/mlflow,,,,50428.0,49496.0,https://pypi.org/project/mlflow,2024-12-11 09:49:32.000,932.0,13390168.0,13437407.0,https://anaconda.org/conda-forge/mlflow,2024-12-12 05:57:45.831,2598146.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-01-02 03:09:49.000000,2025-01-02 03:09:49,7851.0,42.0,3253.0,281.0,3963.0,344.0,3055.0,15250.0,Network Analysis in Python.,760.0,44,True,2024-10-21 12:40:41.000,networkx-3.4.2,98.0,networkx,conda-forge/networkx,,,,345920.0,336290.0,https://pypi.org/project/networkx,2024-10-21 12:39:36.000,9630.0,57479856.0,57849094.0,https://anaconda.org/conda-forge/networkx,2024-12-25 14:22:43.959,19569657.0,,,,,1.0,78.0,,,,,,,,,,,,,,,,,,,
27,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-01-09 14:25:31.000000,2025-01-09 14:25:31,9404.0,166.0,1729.0,214.0,6118.0,1096.0,4331.0,12819.0,Parallel computing with task scheduling.,619.0,44,True,2024-12-17 20:26:41.000,2024.12.1,214.0,dask,conda-forge/dask,,,,71209.0,68656.0,https://pypi.org/project/dask,2024-12-17 20:26:41.000,2553.0,10099196.0,10321824.0,https://anaconda.org/conda-forge/dask,2024-12-17 22:58:45.484,12467191.0,,,,,1.0,,,,,,,,,stable/dask,,,,,,,,,,,
28,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-12-16 14:17:50.000000,2024-12-11 13:14:08,16218.0,9.0,4417.0,562.0,4030.0,168.0,5523.0,30616.0,Industrial-strength Natural Language Processing (NLP) in Python.,762.0,43,True,2024-12-11 13:12:14.000,3.8.3,238.0,spacy,conda-forge/spacy,,,,113507.0,110669.0,https://pypi.org/project/spacy,2024-12-11 13:12:14.000,2838.0,10975409.0,11065277.0,https://anaconda.org/conda-forge/spacy,2024-11-24 12:28:01.906,4941957.0,,,,,1.0,1289.0,-1.0,,,,,,,,,,,,,,,,,,
29,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-01-09 12:21:35.000000,2025-01-09 11:28:08,10502.0,74.0,3409.0,253.0,10364.0,840.0,6349.0,28762.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",993.0,43,True,2024-12-21 01:35:39.000,2.5.0.post0,282.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],42046.0,40510.0,https://pypi.org/project/pytorch-lightning,2024-12-21 01:36:45.000,1536.0,6060365.0,6085929.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-12-22 08:21:07.098,1391571.0,,,,,2.0,11059.0,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,
30,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-01-08 19:59:26.000000,2024-12-11 17:57:01,7769.0,68.0,2077.0,425.0,1168.0,495.0,1378.0,21771.0,Data Apps & Dashboards for Python. No JavaScript Required.,169.0,43,True,2024-11-04 21:17:37.000,2.18.2,182.0,dash,conda-forge/dash,,,,76569.0,75222.0,https://pypi.org/project/dash,2024-11-04 21:12:56.000,1347.0,4183171.0,4212706.0,https://anaconda.org/conda-forge/dash,2024-12-15 07:31:13.084,1624377.0,,,,,1.0,87.0,,,,,,,,,,,,,,,,,,,
31,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2025-01-08 16:03:32.000000,2025-01-08 07:34:36,2962.0,104.0,3695.0,434.0,3512.0,340.0,2575.0,18212.0,Open standard for machine learning interoperability.,330.0,43,True,2024-10-01 21:45:45.000,1.17.0,35.0,onnx,conda-forge/onnx,,,,39432.0,38379.0,https://pypi.org/project/onnx,2024-10-01 21:45:45.000,1053.0,5265526.0,5291479.0,https://anaconda.org/conda-forge/onnx,2024-12-31 09:55:45.556,1413130.0,,,,,1.0,22646.0,,,,,,,,,,,,,,,,,,,
32,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-01-09 06:08:23.000000,2025-01-09 06:08:20,18958.0,926.0,1877.0,90.0,3527.0,1015.0,3123.0,16029.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",377.0,43,True,2025-01-09 04:41:46.000,1.57.4,1048.0,litellm,,,,others,6565.0,5888.0,https://pypi.org/project/litellm,2025-01-09 03:51:51.000,677.0,2946112.0,2946271.0,,,,,,,,1.0,478.0,,,,,,,,,,,,,,,,,,,
33,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-01-09 02:07:07.000000,2025-01-08 21:47:55,3176.0,398.0,1651.0,197.0,3817.0,681.0,896.0,13943.0,Development repository for the Triton language and compiler.,356.0,43,True,2024-10-14 16:05:32.000,3.1.0,196.0,triton,,,,,48886.0,48621.0,https://pypi.org/project/triton,2024-10-14 16:05:32.000,265.0,13195823.0,13195823.0,,,,,,,,1.0,,,triton-lang/triton,,,,,,,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-01-09 10:51:19.000000,2025-01-09 08:16:35,5054.0,48.0,2089.0,1667.0,4927.0,371.0,2748.0,12388.0,WebGL2 powered visualization framework.,279.0,43,True,2024-12-11 10:43:06.025,9.0.38,679.0,pydeck,conda-forge/pydeck,,,['jupyter'],8916.0,8489.0,https://pypi.org/project/pydeck,2024-05-10 15:36:17.000,120.0,4803832.0,5207045.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,671337.0,,,,,1.0,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-12-11 10:43:06.025,307.0,391835.0,,,,,,,,,,,,
35,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-01-09 10:25:32.000000,2025-01-09 10:25:32,18824.0,496.0,1042.0,118.0,3829.0,63.0,1636.0,11195.0,A hyperparameter optimization framework.,283.0,43,True,2024-11-12 05:51:56.000,4.1.0,67.0,optuna,conda-forge/optuna,,,,21762.0,20727.0,https://pypi.org/project/optuna,2024-11-12 05:51:56.000,1035.0,3293160.0,3331230.0,https://anaconda.org/conda-forge/optuna,2024-12-23 04:20:25.969,2093874.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
36,PyTorch Image Models,rwightman/pytorch-image-models,image,,https://github.com/huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Apache-2.0,2019-02-02 05:51:12.000,2025-01-09 05:10:54.000000,2025-01-09 05:10:15,2642.0,150.0,4773.0,318.0,568.0,45.0,903.0,32844.0,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and..",166.0,42,True,2024-12-03 19:05:39.000,1.0.12,63.0,timm,conda-forge/timm,,,['pytorch'],45462.0,44455.0,https://pypi.org/project/timm,2024-12-03 18:46:09.000,1007.0,5014875.0,5129024.0,https://anaconda.org/conda-forge/timm,2024-12-17 14:22:47.539,294379.0,,,,,1.0,7391485.0,,huggingface/pytorch-image-models,,,,,,,,,,,,,,,,,
37,Milvus,milvus-io/milvus,nn-search,,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,2019-09-16 06:43:43.000,2025-01-09 13:18:31.991142,2025-01-09 11:43:04,21601.0,708.0,2990.0,283.0,23965.0,762.0,11885.0,31796.0,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search.",300.0,42,True,2025-01-03 04:00:20.000,2.5.2,111.0,pymilvus,,milvusdb/milvus,,,205.0,,https://pypi.org/project/pymilvus,2025-01-02 11:19:58.000,205.0,1111711.0,2167843.0,,,,https://hub.docker.com/r/milvusdb/milvus,2025-01-09 13:18:31.991142,66.0,67286089.0,1.0,296802.0,,,,,,,,,,,,,,,,,,,
