,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2024-03-14 11:28:27.000000,2024-03-14 11:28:27,31754.0,508.0,5010.0,347.0,10443.0,1814.0,8278.0,12288.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1597.0,50,True,2024-01-20 22:00:44.000,1.12.0,99.0,scipy,conda-forge/scipy,,,,1010430.0,943331.0,https://pypi.org/project/scipy,2024-01-20 21:10:31.000,67099.0,93699887.0,94840300.0,https://anaconda.org/conda-forge/scipy,2024-01-24 03:11:41.395,45464256.0,,1.0,395953.0,,,,,,,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-03-14 12:30:27.000000,2024-03-14 12:30:26,49916.0,549.0,7188.0,594.0,17780.0,1168.0,8948.0,18999.0,matplotlib: plotting with Python.,1655.0,48,True,2024-02-16 09:23:20.000,3.7.5,82.0,matplotlib,conda-forge/matplotlib,,,,1119129.0,1119129.0,https://pypi.org/project/matplotlib,,,59759500.0,60248253.0,https://anaconda.org/conda-forge/matplotlib,2024-02-15 20:37:52.070,21993902.0,,1.0,,-2.0,,,,,,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-03-14 13:49:17.000000,2024-03-14 12:02:19,17360.0,606.0,1975.0,223.0,4700.0,72.0,2950.0,11566.0,Python Imaging Library (Fork).,463.0,48,True,2024-01-02 09:38:41.000,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1572245.0,1572245.0,https://pypi.org/project/Pillow,,,89667644.0,90497296.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,36504725.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-03-14 11:30:43.000000,2024-03-13 15:44:09,10374.0,201.0,19306.0,1910.0,6981.0,216.0,11450.0,60638.0,Deep Learning for humans.,1281.0,47,True,2024-03-11 16:04:05.000,3.1.0,91.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],767.0,,https://pypi.org/project/keras,2024-02-14 22:35:35.000,767.0,17269540.0,17344984.0,https://anaconda.org/conda-forge/keras,2024-02-15 07:10:55.798,3394986.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2024-03-14 14:04:32.000000,2024-03-14 14:04:31,57313.0,519.0,4214.0,294.0,13019.0,4933.0,8691.0,11941.0,A computer algebra system written in pure Python.,1283.0,46,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,123170.0,118205.0,https://pypi.org/project/sympy,2023-05-10 18:24:09.226,4965.0,18214420.0,18272505.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5066774.0,,1.0,535569.0,,,,,,,,,,,,,,,,,,,,,,
15,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2024-03-14 14:07:31.000000,2024-03-14 13:25:17,40153.0,931.0,27836.0,2033.0,45489.0,190.0,,38053.0,Apache Spark Python API.,3030.0,45,True,2024-02-26 02:41:49.000,3.5.1,43.0,pyspark,conda-forge/pyspark,,,['spark'],1297.0,,https://pypi.org/project/pyspark,2024-02-26 02:41:49.000,1297.0,29350288.0,29417349.0,https://anaconda.org/conda-forge/pyspark,2024-03-03 13:07:40.821,3017780.0,,1.0,,7.0,stable/spark,,,,,,,,,,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-03-14 14:01:20.000000,2024-03-14 11:31:16,19781.0,1121.0,2437.0,321.0,12752.0,1604.0,3747.0,27031.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",658.0,45,True,2024-02-26 16:01:19.000,jax-v0.4.25,159.0,jax,conda-forge/jaxlib,,,,23690.0,22821.0,https://pypi.org/project/jax,2024-02-26 15:54:03.000,869.0,5857811.0,5881531.0,https://anaconda.org/conda-forge/jaxlib,2024-03-13 02:26:06.433,1067422.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-03-14 10:04:09.000000,2024-03-14 01:53:04,10210.0,202.0,3182.0,249.0,10009.0,648.0,6152.0,26460.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",935.0,45,True,2024-03-04 18:59:32.000,2.2.1,268.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],30614.0,29808.0,https://pypi.org/project/pytorch-lightning,2024-03-04 18:59:32.000,806.0,4797392.0,4821302.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-03-05 21:00:43.443,1064745.0,,1.0,8737.0,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-03-14 11:23:55.000000,2024-03-13 09:02:34,6783.0,104.0,8646.0,909.0,5012.0,426.0,4740.0,25408.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",637.0,45,True,2023-12-19 21:59:17.000,2.0.3,80.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,85685.0,83835.0,https://pypi.org/project/xgboost,2023-12-19 21:59:17.000,1850.0,17242699.0,17346873.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4580750.0,,1.0,8156.0,,,,,,,,,,,,,,,,,,,,,,
19,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-03-14 13:25:44.000000,2024-03-14 12:40:29,47339.0,1847.0,5375.0,721.0,44694.0,1841.0,16847.0,21456.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1169.0,45,True,2024-01-08 06:43:49.000,2.6.0,66.0,paddlepaddle,,,,['paddle'],4857.0,4763.0,https://pypi.org/project/paddlepaddle,2023-12-26 06:45:52.000,94.0,263934.0,264102.0,,,,,1.0,15369.0,,,,,,,,,,,,,,,,,,,,,,
20,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-03-14 07:49:41.000000,2024-03-14 07:49:40,20426.0,90.0,4150.0,443.0,6006.0,757.0,6847.0,18665.0,"Interactive Data Visualization in the browser, from Python.",688.0,45,True,2024-01-25 18:45:35.000,3.3.4,197.0,bokeh,conda-forge/bokeh,,,,88723.0,84893.0,https://pypi.org/project/bokeh,2024-03-08 23:07:48.000,3830.0,4702275.0,5001563.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13468000.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
21,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-03-14 02:50:10.000000,2024-02-28 12:40:58,15260.0,80.0,2825.0,280.0,3851.0,2701.0,2740.0,9397.0,Statsmodels: statistical modeling and econometrics in Python.,423.0,45,True,2023-12-14 14:50:21.000,0.14.1,36.0,statsmodels,conda-forge/statsmodels,,,,123174.0,117538.0,https://pypi.org/project/statsmodels,2023-12-14 14:50:21.000,5636.0,15260678.0,15535464.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12365384.0,,1.0,30.0,,,,,,,,,,,,,,,,,,,,,,
22,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-03-14 12:44:56.000000,2024-03-14 02:10:09,6167.0,187.0,2727.0,309.0,4212.0,761.0,3243.0,30721.0,Streamlit A faster way to build and share data apps.,222.0,44,True,2024-03-12 17:28:36.000,1.32.1,218.0,streamlit,,,,,330592.0,329147.0,https://pypi.org/project/streamlit,2024-03-13 23:17:16.000,1445.0,5987873.0,5987873.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-03-14 14:30:37.000000,2024-03-14 14:14:53,21018.0,836.0,5096.0,471.0,26713.0,3609.0,13886.0,30348.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,985.0,44,True,2024-02-22 19:57:55.000,ray-2.9.3,99.0,ray,conda-forge/ray-tune,,,,14660.0,14180.0,https://pypi.org/project/ray,2024-02-22 19:42:56.000,480.0,3424715.0,3429596.0,https://anaconda.org/conda-forge/ray-tune,2024-03-07 01:45:05.697,190289.0,,1.0,208.0,,,,,,,,,,,,,,,,,,,,,,
24,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-03-07 13:56:38.000000,2024-02-20 12:17:51,16117.0,28.0,4395.0,554.0,3965.0,94.0,5479.0,28437.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,44,True,2024-02-15 19:16:59.000,3.7.4,229.0,spacy,conda-forge/spacy,,,,85506.0,82484.0,https://pypi.org/project/spacy,2024-02-15 18:47:21.000,3022.0,6515447.0,6589731.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3342797.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
25,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-03-14 12:38:18.000000,2024-03-14 08:45:48,5571.0,419.0,3874.0,292.0,7698.0,1377.0,2371.0,16945.0,Open source platform for the machine learning lifecycle.,707.0,44,True,2024-03-06 08:35:11.000,2.11.1,92.0,mlflow,conda-forge/mlflow,,,,32398.0,31830.0,https://pypi.org/project/mlflow,2024-03-06 07:13:34.000,568.0,14736771.0,14776020.0,https://anaconda.org/conda-forge/mlflow,2024-03-08 02:03:24.341,1766233.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
26,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-03-14 14:07:31.000000,2024-03-13 17:05:06,6380.0,114.0,2471.0,281.0,1616.0,1487.0,1396.0,15002.0,The interactive graphing library for Python This project now includes Plotly Express!.,257.0,44,True,2024-03-13 16:27:36.000,5.20.0,296.0,plotly,conda-forge/plotly,,,,252928.0,247186.0,https://pypi.org/project/plotly,2024-03-13 16:21:20.000,5735.0,13550076.0,13674098.0,https://anaconda.org/conda-forge/plotly,2024-02-15 18:15:23.292,5340678.0,,1.0,,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,7.0,7921.0,,,,,,,,,,,,,,
27,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2024-03-14 09:11:29.000000,2024-03-13 16:42:43,7637.0,106.0,3172.0,276.0,3695.0,345.0,2972.0,14003.0,Network Analysis in Python.,712.0,44,True,2023-10-28 09:53:23.000,networkx-3.2.1,92.0,networkx,conda-forge/networkx,,,,247165.0,231805.0,https://pypi.org/project/networkx,2023-10-28 08:41:36.000,15360.0,48828481.0,49174890.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14895609.0,,1.0,65.0,,,,,,,,,,,,,,,,,,,,,,
28,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-03-14 09:41:11.000000,2024-03-13 01:20:07,8133.0,182.0,1659.0,212.0,5760.0,1049.0,4122.0,11879.0,Parallel computing with task scheduling.,595.0,44,True,2024-03-12 10:19:17.000,2024.3.0,191.0,dask,conda-forge/dask,,,,61257.0,58093.0,https://pypi.org/project/dask,2024-03-12 10:19:17.000,3164.0,7225691.0,7460310.0,https://anaconda.org/conda-forge/dask,2024-03-13 10:03:38.154,10792516.0,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,,,
29,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-03-04 05:08:14.000000,2024-02-25 16:31:25,3230.0,17.0,1770.0,259.0,1091.0,122.0,2357.0,11792.0,Statistical data visualization in Python.,211.0,44,True,2024-01-25 13:21:20.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,375690.0,375690.0,https://pypi.org/project/seaborn,,,17474056.0,17655494.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8164602.0,,1.0,376.0,,,,,,,,,,,,,,,,,,,,,,
30,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-03-14 07:08:19.000000,2024-03-12 18:49:47,5783.0,49.0,1617.0,193.0,4942.0,655.0,1224.0,6494.0,TensorFlows Visualization Toolkit.,316.0,44,True,2024-02-16 19:56:55.000,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],223155.0,220176.0,https://pypi.org/project/tensorboard,2024-02-16 19:56:55.000,2979.0,27050601.0,27151328.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4532724.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
31,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-03-14 14:41:11.000000,2024-03-14 14:37:51,6381.0,341.0,1985.0,151.0,3453.0,451.0,3411.0,27530.0,"Wrap UIs around any model, share with anyone.",265.0,43,True,2024-03-09 00:41:17.000,@gradio/wasm@0.8.0,100.0,gradio,,,,,24886.0,24886.0,https://pypi.org/project/gradio,,,6219653.0,6219653.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
32,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-03-14 14:15:25.000000,2024-03-13 05:57:07,2689.0,79.0,3583.0,438.0,3150.0,306.0,2379.0,16579.0,Open standard for machine learning interoperability.,309.0,43,True,2023-10-31 17:04:56.000,1.15.0,31.0,onnx,conda-forge/onnx,,,,25574.0,24866.0,https://pypi.org/project/onnx,2023-10-26 18:30:51.000,708.0,5261825.0,5282818.0,https://anaconda.org/conda-forge/onnx,2024-03-13 23:35:28.732,932944.0,,1.0,20126.0,,,,,,,,,,,,,,,,,,,,,,
33,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-03-11 11:25:18.000000,2024-03-04 18:06:08,3435.0,44.0,3795.0,435.0,3092.0,345.0,2923.0,15927.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",296.0,43,True,2024-01-26 03:29:02.000,4.3.0,36.0,lightgbm,conda-forge/lightgbm,,,,31481.0,30605.0,https://pypi.org/project/lightgbm,2024-01-26 03:29:02.000,876.0,8296747.0,8351902.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2207216.0,,2.0,216098.0,,,,,,,,,,,,,,,,,,,,,,
34,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-03-11 14:42:17.000000,2024-01-29 09:04:39,14509.0,27.0,2832.0,468.0,1452.0,266.0,1513.0,12894.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,454.0,43,True,2023-07-20 15:52:53.307,0.9.9,59.0,nltk,conda-forge/nltk,,,,270425.0,257445.0,https://pypi.org/project/nltk,2023-07-20 15:52:53.307,12980.0,16900775.0,16927495.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2431548.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
35,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-03-14 13:45:51.000000,2024-03-14 12:29:02,4753.0,159.0,2017.0,1693.0,4598.0,297.0,2644.0,11600.0,WebGL2 powered visualization framework.,253.0,43,True,2024-02-28 21:43:30.387,8.9.35,636.0,pydeck,conda-forge/pydeck,,,['jupyter'],7827.0,7270.0,https://pypi.org/project/pydeck,2023-04-15 06:29:01.705,59.0,3135137.0,3571871.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,484314.0,,1.0,,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2024-03-13 10:54:21.833,498.0,426851.0,,,,,,,,,,,,,,
36,triton,openai/triton,model-serialisation,,https://github.com/openai/triton,https://github.com/openai/triton,MIT,2014-08-30 17:07:16.000,2024-03-14 15:19:21.000000,2024-03-14 06:31:55,1895.0,340.0,1129.0,177.0,2179.0,459.0,618.0,10337.0,Development repository for the Triton language and compiler.,227.0,43,True,2024-01-10 03:11:56.000,2.2.0,192.0,triton,,,,,19510.0,19410.0,https://pypi.org/project/triton,2024-01-10 03:11:56.000,100.0,9830458.0,9830458.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
37,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-03-14 13:22:52.000000,2024-03-13 22:33:44,2206.0,215.0,3742.0,318.0,2603.0,972.0,1551.0,31848.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",292.0,42,True,2024-03-08 01:11:46.000,0.14.0,88.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],6191.0,6088.0,https://pypi.org/project/deepspeed,2024-03-08 01:11:46.000,103.0,477706.0,478061.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,1.0,,,,,,,,,,2022-09-02 00:25:31.275782,4.0,17794.0,,,,,,,,,,,
38,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-03-14 12:56:35.000000,2024-03-14 10:25:03,13874.0,86.0,2123.0,186.0,4364.0,537.0,2053.0,5816.0,Image processing in Python.,654.0,42,False,2023-10-03 21:36:37.000,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,173074.0,173074.0,https://pypi.org/project/scikit-image,,,15583809.0,15717261.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,6005347.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
