,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-12-15 14:30:03.000000,2022-12-14 23:33:58,52586.0,377.0,3779,283.0,11941.0,4594.0,8202.0,9878,A computer algebra system written in pure Python.,1187.0,46,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,478172.0,3188281.0,53540.0,49331.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4209.0,3149904.0,https://anaconda.org/conda-forge/sympy,2022-10-27 02:25:19.270,2697588.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-12-15 01:59:38.000000,2022-12-14 23:24:15,7579.0,225.0,19226,1937.0,5755.0,349.0,11294.0,56829,Deep Learning for humans.,1132.0,45,True,2022-11-14 18:10:37.000,2.11.0,73.0,keras,conda-forge/keras,['tensorflow'],,9925229.0,330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,9888831.0,https://anaconda.org/conda-forge/keras,2022-11-21 08:56:09.864,2766282.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-12-15 14:30:37.000000,2022-12-15 14:14:02,15374.0,1123.0,4048,435.0,18583.0,2629.0,9842.0,23076,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,789.0,45,True,2022-12-13 19:58:35.871,2.2.0,79.0,ray,conda-forge/ray-tune,,,2039336.0,6921.0,6642.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,2035803.0,https://anaconda.org/conda-forge/ray-tune,2022-12-13 16:15:12.918,84802.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
15,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-12-15 14:00:20.000000,2022-12-15 13:50:20,35044.0,918.0,26386,2067.0,39049.0,218.0,,34565,Apache Spark Python API.,2777.0,44,True,2022-11-28 18:27:04.218,3.2.3,32.0,pyspark,conda-forge/pyspark,['spark'],,26951359.0,845.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,845.0,26919424.0,https://anaconda.org/conda-forge/pyspark,2022-10-25 13:22:53.684,2203534.0,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-12-15 13:49:51.000000,2022-12-15 09:55:01,15745.0,124.0,3984,549.0,3486.0,102.0,5223.0,24772,Industrial-strength Natural Language Processing (NLP) in Python.,710.0,44,True,2022-12-14 15:06:25.000,3.4.4,200.0,spacy,conda-forge/spacy,,3153.0,4471336.0,49406.0,47031.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4430059.0,https://anaconda.org/conda-forge/spacy,2022-11-16 19:33:53.065,2886398.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-12-15 12:58:59.000000,2022-12-15 09:57:26,6105.0,178.0,8531,931.0,3951.0,343.0,4354.0,23546,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",589.0,44,True,2022-12-08 19:41:14.000,1.7.2,70.0,xgboost,conda-forge/xgboost,,5571.0,8685571.0,41891.0,40522.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1369.0,8635634.0,https://anaconda.org/conda-forge/xgboost,2022-11-07 20:50:22.110,3441996.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,
18,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-12-14 17:31:55.000000,2022-12-14 17:12:48,7130.0,100.0,2773,276.0,3039.0,394.0,2700.0,11948,Network Analysis in Python.,636.0,44,True,2022-11-01 20:33:20.972,2.8.8,84.0,networkx,conda-forge/networkx,,63.0,20690477.0,141016.0,127557.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13459.0,20565981.0,https://anaconda.org/conda-forge/networkx,2022-11-02 12:22:18.460,9212757.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-12-13 23:20:00.000000,2022-12-13 22:42:43,14393.0,45.0,2666,469.0,1394.0,232.0,1454.0,11312,Suite of libraries and programs for symbolic and statistical natural language processing for English.,435.0,44,True,2021-12-28 23:28:57.000,3.6.7,51.0,nltk,conda-forge/nltk,,,11198310.0,178338.0,166380.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11958.0,11176640.0,https://anaconda.org/conda-forge/nltk,2022-12-13 13:30:01.613,1646975.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
20,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-12-14 22:14:51.000000,2022-12-10 15:10:48,14848.0,133.0,2620,272.0,3671.0,2470.0,2595.0,7993,Statsmodels: statistical modeling and econometrics in Python.,402.0,44,True,2022-11-02 17:40:09.913,0.13.5,33.0,statsmodels,conda-forge/statsmodels,,26.0,9397134.0,80157.0,75492.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4665.0,9292953.0,https://anaconda.org/conda-forge/statsmodels,2022-11-04 18:55:06.900,8126155.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-12-15 11:58:51.000000,2022-12-15 01:50:23,14124.0,1046.0,1977,288.0,8333.0,1232.0,2775.0,21199,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",484.0,43,True,2022-12-13 18:24:20.000,jaxlib-v0.4.1,134.0,jax,conda-forge/jaxlib,,,722047.0,6729.0,6408.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,321.0,708421.0,https://anaconda.org/conda-forge/jaxlib,2022-12-14 15:37:17.163,558697.0,2.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-12-15 05:26:36.000000,2022-12-13 05:22:39,3136.0,44.0,3658,450.0,2755.0,250.0,2651.0,14467,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",275.0,43,True,2022-10-10 21:18:04.234,3.3.3,30.0,lightgbm,conda-forge/lightgbm,,173481.0,6410223.0,17624.0,16981.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,643.0,6386393.0,https://anaconda.org/conda-forge/lightgbm,2022-10-28 00:50:18.967,1383183.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-12-15 00:30:40.000000,2022-12-13 16:37:50,7468.0,101.0,1566,217.0,4980.0,834.0,3854.0,10570,Parallel computing with task scheduling.,570.0,43,True,2022-12-02 21:17:01.563,2022.12.0,159.0,dask,conda-forge/dask,,,7854793.0,45020.0,42355.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2665.0,7760596.0,https://anaconda.org/conda-forge/dask,2022-12-03 00:25:05.270,7441596.0,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,,,,,
24,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-12-15 03:02:15.000000,2022-12-14 22:59:01,5302.0,119.0,1554,193.0,4378.0,614.0,1149.0,6050,TensorFlows Visualization Toolkit.,290.0,43,True,2022-11-09 01:43:55.758,2.11.0,45.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,17237238.0,138714.0,136295.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2419.0,17179189.0,https://anaconda.org/conda-forge/tensorboard,2022-11-09 05:16:36.975,3541032.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-12-15 11:23:02.000000,2022-12-15 11:23:02,13343.0,74.0,2075,187.0,3903.0,650.0,1902.0,5169,Image processing in Python.,585.0,43,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,5690943.0,129965.0,120600.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9365.0,5636086.0,https://anaconda.org/conda-forge/scikit-image,2022-10-30 12:02:37.338,4333730.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-12-15 14:18:17.000000,2022-12-15 12:30:20,39127.0,1591.0,4826,734.0,33194.0,3089.0,13761.0,19315,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,895.0,42,True,2022-12-13 09:22:18.000,2.4.1,59.0,paddlepaddle,,['paddle'],15326.0,99296.0,226.0,176.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,99095.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-12-14 11:15:39.000000,2022-12-12 16:24:18,19890.0,167.0,4008,451.0,5448.0,696.0,6414.0,16990,"Interactive Data Visualization in the browser, from Python.",624.0,42,True,2022-12-09 18:39:04.000,3.0.3,151.0,bokeh,conda-forge/bokeh,,,3779615.0,3729.0,177.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3552.0,3639615.0,https://anaconda.org/conda-forge/bokeh,2022-12-12 20:33:04.197,9520012.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-12-15 12:49:30.000000,2022-12-13 08:51:08,3235.0,241.0,6388,381.0,4378.0,819.0,1993.0,12982,"Datasets, Transforms and Models specific to Computer Vision.",512.0,42,True,2022-10-28 16:48:51.000,0.14.0,33.0,torchvision,conda-forge/torchvision,['pytorch'],16490.0,6845871.0,3716.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3716.0,6837910.0,https://anaconda.org/conda-forge/torchvision,2022-12-10 21:10:27.610,463184.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-12-15 10:44:57.000000,2022-12-12 20:39:52,4271.0,58.0,1886,1729.0,4064.0,199.0,2395.0,10473,WebGL2 powered visualization framework.,209.0,42,True,2022-11-15 10:22:32.162,8.8.20,568.0,pydeck,conda-forge/pydeck,['jupyter'],,1334745.0,5495.0,5052.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,965614.0,https://anaconda.org/conda-forge/pydeck,2022-11-04 19:21:00.914,253832.0,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-11-15 10:22:32.162,419.0,361666.0,,,,,,,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-12-10 16:06:40.000000,2022-12-10 16:06:39,3087.0,50.0,1677,252.0,945.0,115.0,2098.0,10163,Statistical data visualization in Python.,181.0,42,True,2022-10-18 13:02:16.355,0.12.1,32.0,seaborn,conda-forge/seaborn,,238.0,8517630.0,9410.0,,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,8446277.0,https://anaconda.org/conda-forge/seaborn,2022-10-18 18:26:52.529,5422717.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-11-23 06:34:20.000000,2022-10-25 17:01:14,1755.0,8.0,8107,999.0,1433.0,31.0,1695.0,29399,A toolkit for developing and comparing reinforcement learning algorithms.,384.0,41,True,2022-10-04 23:58:42.348,0.26.2,107.0,gym,conda-forge/gym,,,1033787.0,37277.0,34807.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2470.0,1028477.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,169925.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
32,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-12-15 07:23:52.000000,2022-12-15 01:04:39,5156.0,217.0,1956,285.0,2865.0,571.0,2346.0,21828,Streamlit The fastest way to build data apps in Python.,159.0,41,True,2022-12-15 00:04:04.781,1.16.0,191.0,streamlit,,,,1041959.0,949.0,528.0,https://pypi.org/project/streamlit,2022-07-27 21:22:03.770,421.0,1041959.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2022-12-15 14:00:55.000000,2022-12-14 13:50:17,30978.0,425.0,4182,343.0,5234.0,667.0,6062.0,15215,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",568.0,41,True,2022-12-14 15:48:01.070,3.4.0,283.0,rasa,,['tensorflow'],,171686.0,2877.0,2817.0,https://pypi.org/project/rasa,2022-07-06 04:02:56.000,60.0,171686.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-12-15 14:35:42.000000,2022-12-08 23:04:47,2116.0,68.0,3212,430.0,2448.0,328.0,1883.0,13807,Open standard for machine learning interoperability.,264.0,41,True,2022-12-12 14:38:36.000,1.13.0,27.0,onnx,conda-forge/onnx,,18244.0,1979814.0,10168.0,9776.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,392.0,1969604.0,https://anaconda.org/conda-forge/onnx,2022-12-15 14:09:08.911,604931.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-12-15 13:10:30.000000,2022-12-15 10:26:27,3568.0,394.0,3074,285.0,4771.0,1006.0,1781.0,13188,Open source platform for the machine learning lifecycle.,523.0,41,True,2022-11-15 04:58:02.747,2.0.1,66.0,mlflow,conda-forge/mlflow,,,10913618.0,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,10888582.0,https://anaconda.org/conda-forge/mlflow,2022-12-07 04:28:47.238,1101605.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
36,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-12-13 19:27:57.000000,2022-10-27 20:14:12,5643.0,36.0,2250,275.0,1428.0,1316.0,1231.0,12614,The interactive graphing library for Python (includes Plotly Express).,201.0,41,True,2022-10-27 17:34:35.000,5.11.0,284.0,plotly,conda-forge/plotly,,,8240021.0,4159.0,13.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4142.0,8152754.0,https://anaconda.org/conda-forge/plotly,2022-12-05 13:36:59.426,3502478.0,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,41182.0,,,,,,,,,,,,,,,,,
37,DVC,iterative/dvc,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000,2022-12-15 13:20:43.000000,2022-12-15 13:20:41,8232.0,283.0,1010,136.0,4413.0,657.0,3400.0,10788,Data Version Control | Git for Data & Models | ML Experiments Management.,276.0,41,True,2022-12-15 07:19:01.084,2.38.1,397.0,dvc,conda-forge/dvc,,113929.0,1626837.0,5675.0,5628.0,https://pypi.org/project/dvc,2022-07-05 20:50:17.000,47.0,1588446.0,https://anaconda.org/conda-forge/dvc,2022-12-15 12:07:46.121,1351628.0,1.0,,,,,,,,,dvc,dvc,dvc,,,,,,,,,,,,,,
38,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-12-15 00:15:04.000000,2022-12-15 00:15:04,2600.0,75.0,7313,609.0,2146.0,120.0,1562.0,23100,The fastai deep learning library.,647.0,40,True,2022-11-02 03:05:36.811,2.7.10,144.0,fastai,,['pytorch'],,342438.0,12119.0,11818.0,https://pypi.org/project/fastai,2022-07-04 04:05:22.000,301.0,342438.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
