,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
15,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-06-23 13:53:39.000000,2022-06-23 08:57:46,15489,125.0,3846,554.0,3162.0,101.0,5056.0,23636,Industrial-strength Natural Language Processing (NLP) in Python.,686.0,44,True,2022-06-07 17:23:29.000,3.3.1,194.0,spacy,conda-forge/spacy,,,,42741.0,40385.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2356.0,5860566.0,5902477.0,https://anaconda.org/conda-forge/spacy,2022-06-10 19:12:34.838,2679370.0,,,,,1.0,3142.0,,,,,,,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-06-23 12:48:51.000000,2022-06-22 16:03:02,5829,121.0,8398,929.0,3578.0,287.0,4182.0,22887,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",565.0,44,True,2022-05-09 09:32:28.000,1.6.1,64.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,33954.0,32613.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1341.0,9417486.0,9460808.0,https://anaconda.org/conda-forge/xgboost,2022-02-17 18:39:15.686,2726560.0,,,,,1.0,4382.0,,,,,,,,,,,,,,,,,,
17,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-06-23 14:58:31.000000,2022-06-23 13:52:46,13107,1226.0,3618,427.0,15373.0,2567.0,8109.0,21011,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",712.0,44,True,2022-06-09 17:15:12.000,ray-1.13.0,73.0,ray,conda-forge/ray-tune,,,,5397.0,5123.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,274.0,1270215.0,1272201.0,https://anaconda.org/conda-forge/ray-tune,2022-05-23 13:43:37.546,35760.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
18,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-06-21 14:32:14.000000,2022-06-13 20:10:39,14304,53.0,2572,471.0,1361.0,222.0,1402.0,10836,Suite of libraries and programs for symbolic and statistical natural language processing for English.,424.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,,158335.0,146515.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11820.0,13119771.0,13138456.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1307956.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-06-23 13:18:30.000000,2022-06-23 13:10:41,51142,497.0,3662,283.0,11597.0,4444.0,7983.0,9346,A computer algebra system written in pure Python.,1152.0,44,True,2022-03-20 11:58:15.000,sympy-1.10.1,45.0,sympy,conda-forge/sympy,,,,47388.0,43256.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4132.0,1914236.0,1947810.0,https://anaconda.org/conda-forge/sympy,2022-03-20 19:12:31.090,2140561.0,,,,,1.0,455024.0,,,,,,,,,,,,,,,,,,
20,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-06-23 00:05:14.000000,2022-06-23 00:05:14,13227,98.0,2017,186.0,3771.0,618.0,1841.0,4951,Image processing in Python.,558.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,,115455.0,106124.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9331.0,9483904.0,9532830.0,https://anaconda.org/conda-forge/scikit-image,2022-06-15 05:10:24.990,3571606.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-06-23 14:03:57.000000,2022-06-23 00:55:39,7074,347.0,2420,227.0,6292.0,507.0,4635.0,19085,Build high-performance AI models with PyTorch Lightning (organized PyTorch). Deploy models with Lightning Apps..,689.0,43,True,2022-06-01 14:43:53.000,1.6.4,210.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],10030.0,9645.0,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,385.0,3486195.0,3505662.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-06-07 13:19:15.354,462374.0,,,,,1.0,7073.0,,,,,,,,,,,,,,,,,,
22,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-06-23 13:51:54.000000,2022-06-23 13:27:42,12020,1119.0,1675,278.0,6804.0,1080.0,2335.0,18829,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",412.0,43,True,2022-06-21 21:51:59.000,jax-v0.3.14,120.0,jax,conda-forge/jaxlib,,,,5031.0,4728.0,https://pypi.org/project/jax,2022-05-16 19:13:45.000,303.0,621012.0,630761.0,https://anaconda.org/conda-forge/jaxlib,2022-05-25 09:41:31.539,341242.0,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,
23,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-06-23 05:56:11.000000,2022-06-23 02:39:25,19565,47.0,3947,455.0,5174.0,715.0,6227.0,16406,"Interactive Data Visualization in the browser, from Python.",607.0,43,True,2022-05-18 19:00:14.000,2.4.3,126.0,bokeh,conda-forge/bokeh,,,,56397.0,52849.0,https://pypi.org/project/bokeh,2022-06-13 19:18:35.000,3548.0,2770152.0,2893011.0,https://anaconda.org/conda-forge/bokeh,2022-05-19 15:00:53.638,7617275.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
24,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-06-23 14:35:34.000000,2022-06-22 17:59:18,7244,172.0,1497,223.0,4700.0,740.0,3671.0,10030,Parallel computing with task scheduling.,540.0,43,True,2022-06-10 21:53:29.000,2022.6.0,145.0,dask,conda-forge/dask,,,,40415.0,37765.0,https://pypi.org/project/dask,2022-06-10 21:53:29.000,2650.0,7998919.0,8078893.0,https://anaconda.org/conda-forge/dask,2022-06-11 00:24:06.072,5838126.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,
25,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-06-22 19:03:56.000000,2022-06-22 01:28:42,2961,147.0,1594,247.0,828.0,108.0,1957.0,9541,Statistical data visualization in Python.,168.0,43,True,2021-08-16 00:42:18.000,0.11.2,26.0,seaborn,conda-forge/seaborn,,,,173615.0,164773.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000,8842.0,9442460.0,9499874.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619,4018893.0,,,,,1.0,219.0,,,,,,,,,,,,,,,,,,
26,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-06-22 04:24:16.000000,2022-06-22 04:24:15,14659,129.0,2431,264.0,3573.0,2266.0,2528.0,7470,Statsmodels: statistical modeling and econometrics in Python.,377.0,43,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,,,69697.0,65184.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,10690503.0,10779402.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,6400743.0,,,,,1.0,26.0,,,,,,,,,,,,,,,,,,
27,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-06-23 14:29:58.000000,2022-06-22 17:31:31,5073,85.0,1511,191.0,4108.0,576.0,1126.0,5888,TensorFlows Visualization Toolkit.,279.0,43,True,2022-06-13 11:14:01.000,2.9.1,42.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],115368.0,112968.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2400.0,15825864.0,15880620.0,https://anaconda.org/conda-forge/tensorboard,2022-06-12 14:07:22.031,3011598.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
28,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-06-23 13:46:15.000000,2022-06-23 08:24:57,33438,730.0,25702,2076.0,36941.0,201.0,,33212,Apache Spark Python API.,2682.0,42,True,2022-06-15 08:58:01.000,3.3.0,30.0,pyspark,conda-forge/pyspark,,,['spark'],840.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,840.0,23255454.0,23282795.0,https://anaconda.org/conda-forge/pyspark,2022-06-16 07:21:06.515,1722488.0,,,,,2.0,,,stable/spark,,,,,,,,,,,,,,,,
29,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-06-23 12:54:50.000000,2022-06-23 12:54:50,1658,105.0,7796,994.0,1317.0,110.0,1572.0,27875,A toolkit for developing and comparing reinforcement learning algorithms.,363.0,42,True,2022-06-07 13:51:45.000,0.24.1,101.0,gym,conda-forge/gym,,,,32798.0,30345.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2453.0,549981.0,554459.0,https://anaconda.org/conda-forge/gym,2022-02-08 14:22:06.829,116451.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
30,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-06-23 14:03:43.000000,2022-06-23 14:03:41,3007,100.0,3541,449.0,2609.0,218.0,2506.0,13921,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",261.0,42,True,2022-01-07 15:20:18.000,3.3.2,29.0,lightgbm,conda-forge/lightgbm,,,,14375.0,13745.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,630.0,7032529.0,7053025.0,https://anaconda.org/conda-forge/lightgbm,2022-01-08 00:29:45.463,1061606.0,,,,,2.0,155196.0,,,,,,,,,,,,,,,,,,
31,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2022-06-22 07:34:38.000000,2022-05-06 00:53:28,4383,51.0,4210,431.0,1607.0,374.0,1394.0,13289,Topic Modelling for Humans.,430.0,42,True,2022-05-01 16:17:56.000,4.2.0,90.0,gensim,conda-forge/gensim,,,,37070.0,34192.0,https://pypi.org/project/gensim,2022-05-01 16:17:56.000,2878.0,6147419.0,6161873.0,https://anaconda.org/conda-forge/gensim,2022-05-25 13:12:56.039,821189.0,,,,,1.0,3828.0,,,,,,,,,,,,,,,,,,
32,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-06-23 14:10:52.000000,2022-06-23 10:13:19,2806,231.0,6018,364.0,3820.0,721.0,1802.0,11910,"Datasets, Transforms and Models specific to Computer Vision.",487.0,42,True,2022-03-10 18:28:39.000,0.12.0,30.0,torchvision,conda-forge/torchvision,,,['pytorch'],3685.0,,https://pypi.org/project/torchvision,2022-03-10 16:45:51.000,3685.0,5040844.0,5045999.0,https://anaconda.org/conda-forge/torchvision,2022-03-29 18:28:29.092,272103.0,,,,,1.0,7304.0,,,,,,,,,,,,,,,,,,
33,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-06-23 13:43:16.000000,2022-06-23 13:43:15,5514,121.0,2161,274.0,1365.0,1173.0,1203.0,11683,The interactive graphing library for Python (includes Plotly Express).,201.0,42,True,2022-06-10 16:45:47.000,5.8.2,281.0,plotly,conda-forge/plotly,,,,4120.0,10.0,https://pypi.org/project/plotly,2022-06-10 16:42:16.000,4106.0,7623348.0,7707641.0,https://anaconda.org/conda-forge/plotly,2022-06-10 21:16:29.949,2751180.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,44991.0,,,,,,,,,,,
34,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-06-23 15:30:33.000000,2022-06-23 08:13:02,4136,139.0,1795,1739.0,3903.0,162.0,2298.0,9906,WebGL2 powered visualization framework.,198.0,42,True,2022-06-06 23:22:48.698,8.7.11,538.0,pydeck,conda-forge/pydeck,,,['jupyter'],4620.0,4211.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,875822.0,1156096.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,123886.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-06-20 08:08:32.511,385.0,275850.0,,,,,,,,,,,
35,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-06-23 01:37:11.000000,2022-06-23 01:37:08,2401,226.0,7243,614.0,2083.0,109.0,1502.0,22427,The fastai deep learning library.,613.0,41,True,2022-06-19 06:28:14.000,2.7.2,137.0,fastai,,,,['pytorch'],10815.0,10514.0,https://pypi.org/project/fastai,2022-06-19 19:51:25.000,301.0,313992.0,313992.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
36,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-06-23 13:37:53.000000,2022-06-23 12:44:50,36208,1430.0,4515,730.0,28812.0,2894.0,12823.0,18399,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,764.0,41,True,2022-05-13 08:03:36.000,2.3.0,54.0,paddlepaddle,,,,['paddle'],169.0,121.0,https://pypi.org/project/paddlepaddle,2022-05-09 06:15:03.000,48.0,84411.0,84629.0,,,,,,,,2.0,15315.0,,,,,,,,,,,,,,,,,,
37,shap,slundberg/shap,interpretability,,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000,2022-06-22 20:30:36.000000,2022-06-16 14:46:20,2277,111.0,2485,250.0,469.0,1371.0,598.0,16683,A game theoretic approach to explain the output of any machine learning model.,205.0,41,True,2022-06-16 00:31:04.000,0.41.0,95.0,shap,conda-forge/shap,,,,5976.0,5701.0,https://pypi.org/project/shap,2022-06-16 00:43:28.000,275.0,4184285.0,4211320.0,https://anaconda.org/conda-forge/shap,2022-06-20 09:35:07.854,1243616.0,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,
38,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-06-23 12:26:39.000000,2022-06-22 18:45:11,1982,68.0,2789,426.0,2269.0,282.0,1743.0,12750,Open standard for machine learning interoperability.,238.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,,,7638.0,7255.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,383.0,1261500.0,1269756.0,https://anaconda.org/conda-forge/onnx,2022-06-18 09:22:46.041,436788.0,,,,,1.0,17642.0,,,,,,,,,,,,,,,,,,
