,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,updated_github_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
10,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2023-08-31 14:35:53.000000,2023-08-30 17:29:57,55546.0,1172.0,3997,291.0,12597.0,4826.0,8476.0,11245,A computer algebra system written in pure Python.,1239.0,48,True,2023-05-10 18:09:23.000,sympy-1.12,50.0,sympy,conda-forge/sympy,,,,83870.0,79253.0,https://pypi.org/project/sympy,10076219.0,10127998.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4137634.0,,,,,1.0,510721.0,2023-05-10 18:24:09.226,4617.0,,,,,,,,,,,,,,,,,,,
11,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-08-31 14:05:54.000000,2023-08-31 13:34:08,63569.0,2766.0,18531,1670.0,72053.0,11689.0,24339.0,70254,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4307.0,47,True,2023-05-08 19:55:19.000,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],11.0,11.0,https://pypi.org/project/torch,11106702.0,11892037.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,18056402.0,,,,,1.0,22866.0,,,-4.0,,,,,,,,,,,,,,,,,,
12,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-08-31 14:10:45.000000,2023-08-31 11:35:09,30749.0,465.0,4896,347.0,9811.0,1684.0,7943.0,11637,"Ecosystem of open-source software for mathematics, science, and engineering.",1529.0,47,True,2023-08-17 23:02:23.000,1.11.2,96.0,scipy,conda-forge/scipy,,,,63493.0,11.0,https://pypi.org/project/scipy,62280727.0,63532691.0,https://anaconda.org/conda-forge/scipy,2023-08-20 07:05:06.617,41185124.0,,,,,1.0,381235.0,2023-08-17 22:08:09.000,63482.0,,,,,,,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-08-31 06:36:24.000000,2023-08-30 10:59:26,15163.0,260.0,2075,221.0,4363.0,105.0,2789.0,11079,Python Imaging Library (Fork).,446.0,47,True,2023-07-01 14:57:58.842,10.0.0,93.0,Pillow,conda-forge/pillow,,,,1384916.0,1318688.0,https://pypi.org/project/Pillow,62604890.0,63468662.0,https://anaconda.org/conda-forge/pillow,2023-07-02 00:52:56.834,31959593.0,,,,,1.0,,2023-07-01 14:57:58.842,66228.0,,,,,,,,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-08-31 14:26:15.000000,2023-08-31 06:12:10,18956.0,1359.0,4691,459.0,23697.0,3156.0,12205.0,27343,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,906.0,45,True,2023-08-15 16:40:29.000,ray-2.6.3,89.0,ray,conda-forge/ray-tune,,,,11484.0,11085.0,https://pypi.org/project/ray,4030313.0,4035272.0,https://anaconda.org/conda-forge/ray-tune,2023-08-17 00:56:02.998,158676.0,,,,,1.0,87.0,2023-08-15 16:39:07.000,399.0,,,,,,,,,,,,,,,,,,,
15,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-08-31 13:25:45.000000,2023-08-30 03:43:05,20197.0,76.0,4122,445.0,5799.0,771.0,6651.0,17890,"Interactive Data Visualization in the browser, from Python.",668.0,45,True,2023-08-14 02:42:48.000,3.2.2,174.0,bokeh,conda-forge/bokeh,,,,78766.0,75027.0,https://pypi.org/project/bokeh,5623362.0,5950242.0,https://anaconda.org/conda-forge/bokeh,2023-08-14 08:47:36.698,12421440.0,,,,,1.0,,2023-08-14 02:42:48.000,3739.0,3.0,,,,,,,,,,,,,,,,,,
16,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-08-31 09:55:48.000000,2023-08-30 09:58:14,15986.0,61.0,4096,552.0,3848.0,74.0,5391.0,26980,Industrial-strength Natural Language Processing (NLP) in Python.,736.0,44,True,2023-08-08 14:45:58.000,3.6.1,100.0,spacy,conda-forge/spacy,,,,68451.0,68451.0,https://pypi.org/project/spacy,5960653.0,6044623.0,https://anaconda.org/conda-forge/spacy,2023-08-09 19:17:06.552,3190882.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
17,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2023-08-31 14:07:23.000000,2023-08-31 09:00:04,4577.0,486.0,3551,293.0,6207.0,1239.0,2086.0,15125,Open source platform for the machine learning lifecycle.,631.0,44,True,2023-08-15 07:11:16.000,2.6.0,80.0,mlflow,conda-forge/mlflow,,,,23680.0,23202.0,https://pypi.org/project/mlflow,14107570.0,14146300.0,https://anaconda.org/conda-forge/mlflow,2023-08-15 08:47:37.291,1471766.0,,,,,1.0,,2023-08-15 06:14:52.000,478.0,,,,,,,,,,,,,,,,,,,
18,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2023-08-31 12:23:33.000000,2023-08-31 11:52:12,7373.0,68.0,2973,277.0,3385.0,397.0,2834.0,13115,Network Analysis in Python.,667.0,44,True,2023-04-04 20:05:38.000,networkx-3.1,89.0,networkx,conda-forge/networkx,,,,196222.0,181690.0,https://pypi.org/project/networkx,26901693.0,27060196.0,https://anaconda.org/conda-forge/networkx,2023-06-16 13:18:51.990,12997298.0,,,,,1.0,65.0,2023-04-04 20:09:20.051,14532.0,,,,,,,,,,,,,,,,,,,
19,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2023-08-29 18:59:46.000000,2023-08-10 17:52:58,15098.0,40.0,2571,277.0,3800.0,2487.0,2695.0,8801,Statsmodels: statistical modeling and econometrics in Python.,416.0,44,True,2023-05-05 10:52:12.000,0.14.0,25.0,statsmodels,conda-forge/statsmodels,,,,101094.0,101094.0,https://pypi.org/project/statsmodels,11471564.0,11600893.0,https://anaconda.org/conda-forge/statsmodels,2023-06-16 13:16:44.091,11122304.0,,,,,1.0,29.0,,,,,,,,,,,,,,,,,,,,,
20,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-08-31 10:33:20.000000,2023-08-22 05:30:30,8343.0,82.0,18490,1919.0,6534.0,275.0,11517.0,59107,Deep Learning for humans.,1201.0,43,True,2023-06-27 23:42:33.000,2.13.1,51.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],11.0,11.0,https://pypi.org/project/keras,11184909.0,11269276.0,https://anaconda.org/conda-forge/keras,2023-07-28 12:24:35.264,3205960.0,,,,,1.0,,,,-2.0,,,,,,,,,,,,,,,,,,
21,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2023-08-31 10:09:35.000000,2023-08-31 10:09:35,6534.0,151.0,8087,912.0,4630.0,310.0,4585.0,24526,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",622.0,43,True,2023-06-19 01:38:37.000,1.7.6,52.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,65355.0,65355.0,https://pypi.org/project/xgboost,9915895.0,10029423.0,https://anaconda.org/conda-forge/xgboost,2023-08-26 05:00:33.552,4198306.0,,,,,1.0,6997.0,,,,,,,,,,,,,,,,,,,,,
22,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2023-08-31 13:47:08.000000,2023-08-31 13:47:03,17259.0,987.0,2217,313.0,10808.0,1208.0,3243.0,24454,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",569.0,43,True,2023-08-30 19:26:20.000,jax-v0.4.15,81.0,jax,conda-forge/jaxlib,,,,16917.0,16917.0,https://pypi.org/project/jax,2855480.0,2879036.0,https://anaconda.org/conda-forge/jaxlib,2023-07-30 18:45:00.131,895164.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
23,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2023-08-29 02:52:38.000000,2023-08-23 16:21:46,3324.0,49.0,3761,441.0,2967.0,306.0,2798.0,15412,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",287.0,43,True,2023-07-13 21:20:18.278,4.0.0,33.0,lightgbm,conda-forge/lightgbm,,,,25423.0,24646.0,https://pypi.org/project/lightgbm,6288893.0,6347477.0,https://anaconda.org/conda-forge/lightgbm,2023-07-14 13:55:17.383,1958918.0,,,,,1.0,198785.0,2023-07-13 21:20:18.278,777.0,,,,,,,,,,,,,,,,,,,
24,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2023-08-24 12:28:14.000000,2023-08-24 12:28:14,6172.0,213.0,2390,279.0,1542.0,1408.0,1346.0,14040,The interactive graphing library for Python This project now includes Plotly Express!.,244.0,43,True,2023-08-16 18:25:11.000,5.16.1,292.0,plotly,conda-forge/plotly,,,,5128.0,11.0,https://pypi.org/project/plotly,11838696.0,11995635.0,https://anaconda.org/conda-forge/plotly,2023-08-16 21:22:51.337,4696916.0,,,,,1.0,,2023-08-16 18:14:13.000,5111.0,4.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,6.0,36506.0,,,,,,,,,,,,,
25,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2023-08-31 13:55:24.000000,2023-08-30 18:45:40,7847.0,69.0,1643,215.0,5432.0,957.0,4019.0,11338,Parallel computing with task scheduling.,584.0,43,True,2023-08-18 20:25:44.000,2023.8.1,177.0,dask,conda-forge/dask,,,,55118.0,52155.0,https://pypi.org/project/dask,10486311.0,10740444.0,https://anaconda.org/conda-forge/dask,2023-08-18 22:28:14.439,9911218.0,,,,,1.0,,2023-08-18 20:25:44.000,2963.0,,,,,,,stable/dask,,,,,,,,,,,,
26,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2023-08-30 22:24:07.000000,2023-08-30 22:24:07,5643.0,133.0,1604,192.0,4756.0,640.0,1202.0,6345,TensorFlows Visualization Toolkit.,305.0,43,True,2023-08-08 22:35:21.000,2.14.0,53.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],188054.0,185302.0,https://pypi.org/project/tensorboard,20423592.0,20535020.0,https://anaconda.org/conda-forge/tensorboard,2023-08-09 15:42:17.420,4234290.0,,,,,1.0,,2023-08-08 22:35:21.000,2752.0,,,,,,,,,,,,,,,,,,,
27,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2023-08-31 10:49:35.000000,2023-08-31 02:39:13,1772.0,217.0,3379,301.0,2061.0,813.0,1280.0,28065,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",234.0,42,True,2023-08-18 22:29:18.000,0.10.1,69.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],3847.0,3780.0,https://pypi.org/project/deepspeed,504578.0,504974.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,3.0,17059.0,1.0,,2023-08-18 22:27:52.000,67.0,,,,,,,,,,,,,,,,,,,
28,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2023-08-31 14:44:06.000000,2023-08-30 19:19:13,5593.0,423.0,1448,133.0,2342.0,411.0,2276.0,21444,"Wrap UIs around any model, share with anyone.",196.0,42,True,2023-08-25 19:13:10.000,3.41.2,484.0,gradio,,,,,12577.0,12435.0,https://pypi.org/project/gradio,4333628.0,4333628.0,,,,,,,,1.0,,2023-08-25 19:13:10.000,142.0,,,,,,,,,,,,,,,,,,,
29,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-08-31 14:01:27.000000,2023-08-31 13:06:06,43357.0,1347.0,5107,726.0,39435.0,1081.0,16128.0,20779,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1093.0,42,True,2023-07-25 11:09:59.000,2.5.0,60.0,paddlepaddle,,,,['paddle'],279.0,279.0,https://pypi.org/project/paddlepaddle,174037.0,174219.0,,,,,,,,2.0,15362.0,,,,,,,,,,,,,,,,,,,,,
30,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2023-08-31 14:23:24.000000,2023-08-30 20:01:39,2496.0,127.0,3568,433.0,2912.0,336.0,2199.0,15426,Open standard for machine learning interoperability.,292.0,42,True,2023-08-25 21:00:03.000,1.14.1,30.0,onnx,conda-forge/onnx,,,,18674.0,18104.0,https://pypi.org/project/onnx,2905516.0,2927273.0,https://anaconda.org/conda-forge/onnx,2023-07-12 10:54:40.179,816368.0,,,,,1.0,19181.0,2023-08-25 20:34:27.000,570.0,,,,,,,,,,,,,,,,,,,
31,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-08-31 14:14:56.000000,2023-08-31 11:05:37,3662.0,141.0,6768,399.0,4967.0,931.0,2194.0,14474,"Datasets, Transforms and Models specific to Computer Vision.",548.0,42,True,2023-05-08 20:12:27.000,0.15.2,37.0,torchvision,conda-forge/torchvision,,,['pytorch'],4516.0,11.0,https://pypi.org/project/torchvision,6916838.0,6945453.0,https://anaconda.org/conda-forge/torchvision,2023-06-22 22:01:34.204,818561.0,,,,,1.0,29576.0,2023-05-08 17:33:10.987,4505.0,,,,,,,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2023-08-30 03:25:45.336000,2023-08-29 22:19:23,4502.0,50.0,2024,1702.0,4316.0,227.0,2528.0,11145,WebGL2 powered visualization framework.,237.0,42,True,2023-08-30 03:25:45.336,8.9.27,610.0,pydeck,conda-forge/pydeck,,,['jupyter'],6937.0,6431.0,https://pypi.org/project/pydeck,1403339.0,1864109.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,430927.0,,,,,1.0,,2023-04-15 06:29:01.705,40.0,,deck.gl,https://www.npmjs.com/package/deck.gl,2023-08-30 03:25:45.336,466.0,450510.0,,,,,,,,,,,,,
33,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2023-08-31 12:54:01.000000,2023-08-31 12:54:00,3170.0,23.0,1737,256.0,1029.0,137.0,2257.0,11043,Statistical data visualization in Python.,199.0,42,True,2023-01-02 17:36:07.692,0.12.2,33.0,seaborn,conda-forge/seaborn,,,,306733.0,295869.0,https://pypi.org/project/seaborn,9951091.0,10038259.0,https://anaconda.org/conda-forge/seaborn,2023-06-16 13:21:42.625,7321957.0,,,,,1.0,268.0,2023-02-02 20:55:53.164,10864.0,,,,,,,,,,,,,,,,,,,
34,Altair,altair-viz/altair,data-viz,,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000,2023-08-30 19:10:45.196000,2023-08-30 13:58:07,3563.0,59.0,751,149.0,1261.0,199.0,1657.0,8442,Declarative statistical visualization library for Python.,157.0,42,True,2023-08-30 11:35:46.000,5.1.1,37.0,altair,conda-forge/altair,,,,70848.0,70260.0,https://pypi.org/project/altair,14207664.0,14306585.0,https://anaconda.org/conda-forge/altair,2023-08-30 19:10:45.196,1978401.0,,,,,1.0,81.0,2023-08-30 11:28:40.000,588.0,,,,,,,,,,,,,,,,,,,
35,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2023-08-29 17:34:11.000000,2023-08-26 19:38:11,13672.0,92.0,2169,188.0,4220.0,716.0,1986.0,5555,Image processing in Python.,625.0,42,False,2023-06-02 05:03:22.000,0.21.0,57.0,scikit-image,conda-forge/scikit-image,,,,162355.0,152243.0,https://pypi.org/project/scikit-image,8105582.0,8250034.0,https://anaconda.org/conda-forge/scikit-image,2023-07-08 14:10:33.891,5489193.0,,,,,1.0,,2023-06-02 05:00:23.583,10112.0,,,,,,,,,,,,,,,,,,,
36,shap,slundberg/shap,interpretability,,https://github.com/shap/shap,https://github.com/shap/shap,MIT,2016-11-22 19:17:08.000,2023-08-30 20:20:08.000000,2023-08-30 10:53:00,2494.0,123.0,2990,259.0,676.0,1401.0,889.0,19995,A game theoretic approach to explain the output of any machine learning model.,220.0,41,True,2023-07-15 11:31:17.694,0.42.1,98.0,shap,conda-forge/shap,,,,13398.0,12995.0,https://pypi.org/project/shap,7117105.0,7181485.0,https://anaconda.org/conda-forge/shap,2023-07-26 09:30:41.606,2060168.0,,,,,1.0,,2023-07-15 11:31:17.694,403.0,,,,,,,,shap/shap,,,,,,,,,,,
37,Rasa,RasaHQ/rasa,nlp,,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000,2023-08-31 09:56:15.000000,2023-08-30 14:04:10,32476.0,496.0,4265,346.0,6110.0,1.0,6642.0,16936,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",592.0,41,True,2023-08-30 16:44:54.000,3.5.16,100.0,rasa,,,,['tensorflow'],3622.0,3622.0,https://pypi.org/project/rasa,106473.0,106473.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
38,gensim,RaRe-Technologies/gensim,nlp,,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000,2023-08-27 14:14:53.000000,2023-08-27 14:14:44,4506.0,37.0,4146,434.0,1675.0,374.0,1440.0,14590,Topic Modelling for Humans.,447.0,41,True,2023-08-24 08:44:46.000,4.3.2,43.0,gensim,conda-forge/gensim,,,,49554.0,49554.0,https://pypi.org/project/gensim,3853943.0,3892802.0,https://anaconda.org/conda-forge/gensim,2023-08-24 12:30:21.806,1125559.0,,,,,1.0,4450.0,,,,,,,,,,,,,,,,,,,,,
