,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-10-20 15:34:25.000000,2022-10-20 08:11:36,28900.0,542.0,4435,338.0,8690.0,1700.0,7159.0,10368,"Ecosystem of open-source software for mathematics, science, and engineering.",1376.0,49,True,2022-10-20 02:34:14.000,1.9.3,85.0,scipy,conda-forge/scipy,,358704.0,45900617.0,638623.0,580396.0,https://pypi.org/project/scipy,2022-07-05 00:14:32.000,58227.0,45523248.0,https://anaconda.org/conda-forge/scipy,2022-10-19 13:21:31.316,28739993.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-10-20 11:41:50.000000,2022-10-20 11:41:50,13844.0,312.0,1886,215.0,3936.0,121.0,2550.0,10234,The friendly PIL fork (Python Imaging Library).,414.0,47,True,2022-07-01 18:32:05.000,9.2.0,89.0,Pillow,conda-forge/pillow,,,47248641.0,937594.0,874439.0,https://pypi.org/project/Pillow,2022-07-01 18:28:52.000,63155.0,46994597.0,https://anaconda.org/conda-forge/pillow,2022-08-13 11:08:07.290,19815437.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000,2022-10-20 15:21:19.000000,2022-10-14 10:49:21,52200.0,536.0,3749,280.0,11836.0,4521.0,8134.0,9718,A computer algebra system written in pure Python.,1178.0,46,True,2022-08-30 17:34:08.040,1.11.1,48.0,sympy,conda-forge/sympy,,468877.0,2943424.0,51333.0,47123.0,https://pypi.org/project/sympy,2022-03-20 12:00:44.000,4210.0,2906687.0,https://anaconda.org/conda-forge/sympy,2022-09-30 23:50:08.948,2503526.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2022-10-20 14:18:48.000000,2022-10-18 20:49:38,7460.0,268.0,19177,1934.0,5640.0,329.0,11245.0,56429,Deep Learning for humans.,1119.0,45,True,2022-09-02 21:31:44.000,2.10.0,70.0,keras,conda-forge/keras,['tensorflow'],,10140538.0,330.0,,https://pypi.org/project/keras,2022-05-13 18:15:03.000,330.0,10105036.0,https://anaconda.org/conda-forge/keras,2022-09-04 01:30:22.305,2627201.0,1.0,https://keras.io,,,,,,,,,,,,,,,,,,,,,,,,
14,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-10-20 13:45:19.000000,2022-10-20 11:38:29,15634.0,88.0,3961,553.0,3364.0,106.0,5166.0,24407,Industrial-strength Natural Language Processing (NLP) in Python.,702.0,44,True,2022-10-20 08:13:43.000,3.4.2,198.0,spacy,conda-forge/spacy,,3147.0,4196811.0,46827.0,44452.0,https://pypi.org/project/spacy,2022-04-05 12:33:50.000,2375.0,4155436.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2810572.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2022-10-20 14:36:16.000000,2022-10-19 18:52:54,5995.0,119.0,8485,928.0,3793.0,324.0,4303.0,23333,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",579.0,44,True,2022-08-23 13:05:54.000,1.6.2,66.0,xgboost,conda-forge/xgboost,,5312.0,8440939.0,38665.0,37295.0,https://pypi.org/project/xgboost,2022-05-09 09:32:28.000,1370.0,8392698.0,https://anaconda.org/conda-forge/xgboost,2022-10-12 09:50:00.304,3228773.0,1.0,https://xgboost.readthedocs.io/en/latest/,,,,,,,,,,,,,,,,,,,,,,,,
16,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-10-20 14:35:07.000000,2022-10-20 13:49:04,14647.0,1110.0,3925,428.0,17565.0,2673.0,9173.0,22382,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,770.0,44,True,2022-08-23 04:57:08.000,ray-2.0.0,76.0,ray,conda-forge/ray-tune,,,2083642.0,6409.0,6130.0,https://pypi.org/project/ray,2022-06-09 17:13:59.000,279.0,2080572.0,https://anaconda.org/conda-forge/ray-tune,2022-09-08 16:00:53.758,67550.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2022-10-20 11:27:54.000000,2022-10-20 00:54:03,13468.0,1105.0,1899,288.0,7847.0,1136.0,2683.0,20631,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",463.0,44,True,2022-10-12 18:09:04.804,0.3.23,130.0,jax,conda-forge/jaxlib,,,592320.0,6126.0,5804.0,https://pypi.org/project/jax,2022-06-28 20:01:20.000,322.0,580179.0,https://anaconda.org/conda-forge/jaxlib,2022-10-12 11:08:14.415,473537.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2022-10-18 16:36:28.000000,2022-10-04 07:04:07,14370.0,46.0,2650,470.0,1383.0,229.0,1431.0,11145,Suite of libraries and programs for symbolic and statistical natural language processing for English.,435.0,44,True,2021-12-28 23:28:57.000,3.6.7,50.0,nltk,conda-forge/nltk,,,11341982.0,171051.0,159092.0,https://pypi.org/project/nltk,2022-02-09 12:40:48.000,11959.0,11321266.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981,1533000.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,BSD-2-Clause,2011-07-07 22:07:20.000,2022-10-20 07:15:18.000000,2022-10-20 07:15:18,13314.0,71.0,2063,187.0,3871.0,646.0,1891.0,5087,Image processing in Python.,579.0,44,True,2022-06-12 18:12:41.000,0.19.3,45.0,scikit-image,conda-forge/scikit-image,,,5604993.0,124741.0,115375.0,https://pypi.org/project/scikit-image,2022-06-12 18:11:12.000,9366.0,5551955.0,https://anaconda.org/conda-forge/scikit-image,2022-08-10 20:08:06.478,4083977.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2022-10-20 14:42:44.000000,2022-10-20 09:41:16,34433.0,780.0,26119,2077.0,38294.0,259.0,,34159,Apache Spark Python API.,2745.0,43,True,2022-07-15 14:55:05.769,3.2.2,31.0,pyspark,conda-forge/pyspark,['spark'],,26859559.0,849.0,,https://pypi.org/project/pyspark,2022-06-15 08:58:01.000,849.0,26828680.0,https://anaconda.org/conda-forge/pyspark,2022-07-27 06:26:20.797,2068907.0,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,,,,,
21,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-10-20 10:55:03.000000,2022-10-20 05:23:15,19800.0,191.0,3995,449.0,5359.0,685.0,6351.0,16808,"Interactive Data Visualization in the browser, from Python.",619.0,43,True,2022-05-18 19:00:14.000,2.4.3,142.0,bokeh,conda-forge/bokeh,,,3340660.0,3716.0,163.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3205220.0,https://anaconda.org/conda-forge/bokeh,2022-08-15 18:06:05.668,8939064.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2022-10-20 10:12:27.000000,2022-10-20 02:56:56,7058.0,64.0,2749,278.0,2933.0,368.0,2651.0,11699,Network Analysis in Python.,621.0,43,True,2022-10-01 20:50:01.000,networkx-2.8.7,82.0,networkx,conda-forge/networkx,,60.0,18583351.0,134602.0,121138.0,https://pypi.org/project/networkx,2022-06-14 04:04:30.000,13464.0,18465424.0,https://anaconda.org/conda-forge/networkx,2022-10-01 23:32:58.825,8490755.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2022-10-20 15:10:53.000000,2022-10-18 20:39:32,7403.0,123.0,1547,222.0,4888.0,795.0,3807.0,10414,Parallel computing with task scheduling.,563.0,43,True,2022-10-14 22:25:58.774,2022.10.0,154.0,dask,conda-forge/dask,,,6186122.0,43389.0,40722.0,https://pypi.org/project/dask,2022-06-24 16:00:12.000,2667.0,6095793.0,https://anaconda.org/conda-forge/dask,2022-10-17 17:32:10.956,6955390.0,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,,,,,
24,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2022-10-20 14:46:36.000000,2022-10-19 20:41:35,5223.0,124.0,1548,191.0,4283.0,600.0,1141.0,5999,TensorFlows Visualization Toolkit.,290.0,43,True,2022-09-26 15:17:13.755,2.10.1,44.0,tensorboard,conda-forge/tensorboard,['tensorflow'],,17691218.0,129862.0,127442.0,https://pypi.org/project/tensorboard,2022-06-08 16:31:57.000,2420.0,17634015.0,https://anaconda.org/conda-forge/tensorboard,2022-09-27 00:28:15.265,3375011.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,OpenAI Gym,openai/gym,reinforcement-learning,,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000,2022-10-16 10:26:14.000000,2022-10-04 16:38:12,1754.0,63.0,8014,995.0,1431.0,35.0,1667.0,28845,A toolkit for developing and comparing reinforcement learning algorithms.,383.0,42,True,2022-10-04 23:58:42.348,0.26.2,107.0,gym,conda-forge/gym,,,934347.0,35517.0,33046.0,https://pypi.org/project/gym,2022-06-07 21:55:01.000,2471.0,929257.0,https://anaconda.org/conda-forge/gym,2022-07-10 13:48:52.471,152708.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2022-10-20 14:42:12.000000,2022-10-20 12:24:36,38108.0,1493.0,4731,735.0,31642.0,2945.0,13460.0,19038,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,842.0,42,True,2022-08-17 11:15:01.081,2.3.2,57.0,paddlepaddle,,['paddle'],15321.0,73060.0,204.0,154.0,https://pypi.org/project/paddlepaddle,2022-07-05 06:35:15.000,50.0,72853.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2022-10-20 08:40:22.000000,2022-10-12 01:53:01,3109.0,86.0,3633,450.0,2721.0,236.0,2608.0,14286,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",273.0,42,True,2022-10-10 21:18:04.234,3.3.3,30.0,lightgbm,conda-forge/lightgbm,,167216.0,7320823.0,16432.0,15789.0,https://pypi.org/project/lightgbm,2022-01-07 15:20:18.000,643.0,7298158.0,https://anaconda.org/conda-forge/lightgbm,2022-10-11 02:19:22.986,1268341.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2022-10-20 14:42:53.000000,2022-10-20 12:14:37,3104.0,269.0,6264,381.0,4212.0,793.0,1947.0,12601,"Datasets, Transforms and Models specific to Computer Vision.",508.0,42,True,2022-08-05 20:19:15.000,0.13.1,32.0,torchvision,conda-forge/torchvision,['pytorch'],13610.0,5812645.0,3719.0,,https://pypi.org/project/torchvision,2022-06-28 16:31:05.000,3719.0,5805689.0,https://anaconda.org/conda-forge/torchvision,2022-07-24 12:57:15.567,391548.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
29,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2022-10-20 12:20:32.000000,2022-10-20 07:04:07,4239.0,71.0,1857,1732.0,4005.0,169.0,2368.0,10289,WebGL2 powered visualization framework.,208.0,42,True,2022-10-20 08:26:56.084,8.8.14,562.0,pydeck,conda-forge/pydeck,['jupyter'],,1202326.0,5213.0,4774.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000,24.0,850361.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329,209541.0,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2022-10-20 08:26:56.084,415.0,345417.0,,,,,,,,,,,,,,,,,
30,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2022-10-18 23:25:22.000000,2022-10-18 23:25:22,3073.0,94.0,1660,248.0,924.0,106.0,2060.0,9946,Statistical data visualization in Python.,176.0,42,True,2022-10-18 13:02:16.355,0.12.1,32.0,seaborn,conda-forge/seaborn,,235.0,8808458.0,9410.0,,https://pypi.org/project/seaborn,2022-06-27 10:51:34.000,9410.0,8741650.0,https://anaconda.org/conda-forge/seaborn,2022-10-18 18:26:52.529,4943694.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
31,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2022-10-20 14:35:02.000000,2022-10-11 17:21:44,14736.0,59.0,2431,271.0,3613.0,2276.0,2563.0,7821,Statsmodels: statistical modeling and econometrics in Python.,386.0,42,True,2022-02-08 18:11:09.000,0.13.2,30.0,statsmodels,conda-forge/statsmodels,,26.0,9305390.0,75999.0,71486.0,https://pypi.org/project/statsmodels,2022-02-08 18:11:09.000,4513.0,9206243.0,https://anaconda.org/conda-forge/statsmodels,2022-06-09 15:31:18.577,7535234.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
32,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2022-10-20 14:50:07.000000,2022-10-19 17:11:17,5028.0,221.0,1892,276.0,2712.0,547.0,2244.0,21022,Streamlit The fastest way to build data apps in Python.,155.0,41,True,2022-09-22 17:20:10.762,1.13.0,182.0,streamlit,,,,885513.0,859.0,438.0,https://pypi.org/project/streamlit,2022-07-27 21:22:03.770,421.0,885513.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
33,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2022-10-20 15:14:20.000000,2022-10-18 03:54:55,2083.0,81.0,3069,428.0,2400.0,326.0,1847.0,13436,Open standard for machine learning interoperability.,259.0,41,True,2022-06-18 02:58:18.000,1.12.0,26.0,onnx,conda-forge/onnx,,18031.0,2058969.0,9203.0,8810.0,https://pypi.org/project/onnx,2022-06-18 02:36:59.000,393.0,2049440.0,https://anaconda.org/conda-forge/onnx,2022-09-26 01:58:13.778,544515.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2022-10-20 15:06:41.000000,2022-10-20 15:06:41,3339.0,400.0,2977,285.0,4500.0,981.0,1699.0,12836,Open source platform for the machine learning lifecycle.,501.0,41,True,2022-09-20 06:34:57.823,1.29.0,62.0,mlflow,conda-forge/mlflow,,,13813040.0,329.0,,https://pypi.org/project/mlflow,2022-06-29 03:41:27.000,329.0,13789868.0,https://anaconda.org/conda-forge/mlflow,2022-09-20 12:50:43.646,973242.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
35,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2022-10-20 06:00:02.000000,2022-08-11 14:39:59,5599.0,26.0,2217,275.0,1410.0,1276.0,1222.0,12293,The interactive graphing library for Python (includes Plotly Express).,201.0,41,True,2022-08-11 14:41:24.000,5.10.0,283.0,plotly,conda-forge/plotly,,,7898077.0,4158.0,12.0,https://pypi.org/project/plotly,2022-06-24 01:07:53.000,4142.0,7810148.0,https://anaconda.org/conda-forge/plotly,2022-08-14 12:44:46.659,3262362.0,1.0,,-1.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,4.0,43844.0,,,,,,,,,,,,,,,,,
36,Fastai,fastai/fastai,ml-frameworks,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Apache-2.0,2017-09-09 17:43:36.000,2022-10-20 06:35:01.000000,2022-10-20 06:35:01,2570.0,133.0,7296,609.0,2134.0,118.0,1562.0,22895,The fastai deep learning library.,613.0,40,True,2022-08-03 23:18:02.359,2.7.9,143.0,fastai,,['pytorch'],,282941.0,11630.0,11329.0,https://pypi.org/project/fastai,2022-07-04 04:05:22.000,301.0,282941.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2022-10-20 14:44:27.000000,2022-10-20 14:18:06,7895.0,664.0,2619,227.0,7331.0,638.0,4978.0,20363,"Build and train PyTorch models and connect them to the ML lifecycle using Lightning App templates, without handling..",780.0,40,True,2022-10-07 20:45:08.000,app/0.6.3,221.0,pytorch-lightning,conda-forge/pytorch-lightning,['pytorch'],8840.0,3510800.0,492.0,96.0,https://pypi.org/project/pytorch-lightning,2022-06-01 14:43:53.000,396.0,3489954.0,https://anaconda.org/conda-forge/pytorch-lightning,2022-09-23 22:18:39.548,575713.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
38,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2022-10-20 15:30:33.000000,2022-10-17 14:45:24,6436.0,129.0,1782,406.0,820.0,693.0,708.0,17507,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",127.0,40,True,2022-09-23 14:50:19.000,2.6.2,154.0,dash,conda-forge/dash,,,1118275.0,37306.0,36089.0,https://pypi.org/project/dash,2022-06-13 18:17:06.000,1217.0,1105757.0,https://anaconda.org/conda-forge/dash,2022-09-24 00:38:13.848,663476.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
