,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,gitlab_id,gitlab_url
10,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-02-25 14:07:27.000000,2021-02-25 10:07:39.000000,23409,223.0,,28897,29414.0,Apache Spark Python API.,2406.0,38,True,2021-02-19 18:08:00.000000,3.0.2,22.0,pyspark,conda-forge/pyspark,,,['spark'],1329.0,569.0,https://pypi.org/project/pyspark,2021-02-19 18:08:00.000000,760.0,4414982.0,4434440.0,https://anaconda.org/conda-forge/pyspark,2021-02-22 08:23:42.987000,914529.0,,,,,1.0,,stable/spark,,,,,,,,,,,,,,,,,,,,
11,Celery,celery/celery,,data-pipelines,https://github.com/celery/celery,https://github.com/celery/celery,BSD-3-Clause,2009-04-24 11:31:24.000000,2021-02-25 13:49:59.000000,2021-02-25 13:49:59.000000,3957,490.0,3944.0,16769,11524.0,Asynchronous task queue/job queue based on distributed message passing.,1089.0,38,True,2020-12-16 15:41:18.000000,5.0.5,171.0,celery,conda-forge/celery,,,,77536.0,49302.0,https://pypi.org/project/celery,2020-12-16 15:34:09.000000,28234.0,1697179.0,1703999.0,https://anaconda.org/conda-forge/celery,2021-02-08 18:58:32.032000,402430.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-02-25 14:23:46.000000,2021-02-25 14:16:14.000000,21125,2336.0,6721.0,44688,,scikit-learn: machine learning in Python.,2164.0,37,True,2021-01-19 18:10:37.000000,0.24.1,53.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],232368.0,194480.0,https://pypi.org/project/scikit-learn,2021-01-19 18:06:50.000000,37888.0,7665448.0,7790533.0,https://anaconda.org/conda-forge/scikit-learn,2021-01-21 23:33:46.354000,7129225.0,,,,,1.0,659.0,,,,,,,,,,,,,,,,,,,,,
13,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-02-25 10:29:35.000000,2021-02-24 11:40:46.000000,3304,105.0,4292.0,19673,14305.0,Industrial-strength Natural Language Processing (NLP) in Python.,567.0,37,True,2021-02-14 04:44:43.000000,3.0.3,174.0,spacy,conda-forge/spacy,,,,24846.0,21780.0,https://pypi.org/project/spacy,2021-02-14 04:44:43.000000,3066.0,789634.0,820026.0,https://anaconda.org/conda-forge/spacy,2021-02-14 15:14:46.994000,1456165.0,,,,,1.0,2959.0,,,,,,,,,,,,,,,,,,,,,
14,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-02-25 10:57:29.000000,2021-02-17 00:10:14.000000,1383,91.0,1693.0,8144,2759.0,Statistical data visualization using matplotlib.,149.0,37,True,2020-12-20 20:53:25.000000,0.11.1,23.0,seaborn,conda-forge/seaborn,,,,95518.0,82732.0,https://pypi.org/project/seaborn,2020-12-20 20:53:25.000000,12786.0,1624448.0,1662085.0,https://anaconda.org/conda-forge/seaborn,2021-01-28 11:50:33.609000,2032368.0,,,,,1.0,137.0,,,,,,,,,,,,,,,,,,,,,
15,transformers,huggingface/transformers,,nlp,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000000,2021-02-25 14:32:34.000000,2021-02-25 14:18:47.000000,10035,684.0,5435.0,41433,6630.0,Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,785.0,36,True,2021-02-24 20:16:39.000000,4.3.3,52.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",8115.0,7987.0,https://pypi.org/project/transformers,2021-02-24 20:14:46.000000,128.0,596758.0,598240.0,https://anaconda.org/conda-forge/transformers,2021-02-09 21:34:57.119000,22978.0,,,,,1.0,1261.0,,,,,,,,,,,,,,,,,,,,,
16,Faker,joke2k/faker,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2021-02-25 07:28:00.000000,2021-02-24 17:45:42.000000,1377,135.0,354.0,12142,2573.0,Faker is a Python package that generates fake data for you.,391.0,36,True,2021-02-24 17:46:38.000000,6.5.0,125.0,Faker,conda-forge/faker,,,,28452.0,23740.0,https://pypi.org/project/Faker,2021-02-24 17:46:24.000000,4712.0,1485053.0,1493130.0,https://anaconda.org/conda-forge/faker,2021-02-24 18:54:31.058000,379662.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
17,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-02-25 08:28:34.000000,2021-02-24 04:05:50.000000,2216,271.0,2316.0,8701,6426.0,Network Analysis in Python.,496.0,36,True,2020-08-22 20:10:33.000000,networkx-2.5,52.0,networkx,conda-forge/networkx,,,,88424.0,67606.0,https://pypi.org/project/networkx,2020-08-22 20:38:37.000000,20818.0,4288572.0,4347927.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:29:02.065000,3086485.0,,,,,1.0,51.0,,,,,,,,,,,,,,,,,,,,,
18,torchvision,pytorch/vision,,image,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000000,2021-02-25 14:43:15.000000,2021-02-25 11:36:25.000000,4350,445.0,1138.0,8438,1506.0,"Datasets, Transforms and Models specific to Computer Vision.",362.0,36,True,2020-12-10 17:10:41.000000,0.8.2,21.0,torchvision,conda-forge/torchvision,,,['pytorch'],46969.0,42357.0,https://pypi.org/project/torchvision,2020-12-10 16:27:20.000000,4612.0,446550.0,447447.0,https://anaconda.org/conda-forge/torchvision,2018-10-14 22:06:28.203000,34111.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
19,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-02-25 11:22:32.000000,2021-02-25 10:03:34.000000,3308,4053.0,7140.0,7848,46209.0,A computer algebra system written in pure Python.,1038.0,36,True,2020-12-12 23:23:00.000000,1.7.1,36.0,sympy,conda-forge/sympy,,,,35647.0,29225.0,https://pypi.org/project/sympy,2020-12-12 23:23:00.000000,6422.0,480102.0,507633.0,https://anaconda.org/conda-forge/sympy,2021-01-08 20:38:32.429000,1308634.0,,,,,1.0,416175.0,,,,,,,,,,,,,,,,,,,,,
20,StatsModels,statsmodels/statsmodels,,ml-frameworks,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000000,2021-02-19 18:34:35.000000,2021-02-19 14:10:59.000000,2156,2080.0,2261.0,6044,13587.0,Statsmodels: statistical modeling and econometrics in Python.,302.0,36,True,2021-02-02 11:08:49.000000,0.12.2,25.0,statsmodels,conda-forge/statsmodels,,,,44457.0,37801.0,https://pypi.org/project/statsmodels,2021-02-02 11:08:49.000000,6656.0,2286862.0,2347961.0,https://anaconda.org/conda-forge/statsmodels,2021-02-15 17:38:00.380000,3421557.0,,,,,1.0,25.0,,,,,,,,,,,,,,,,,,,,,
21,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-02-25 12:52:47.000000,2021-02-24 23:19:41.000000,1365,539.0,936.0,5166,4294.0,TensorFlow's Visualization Toolkit.,252.0,36,True,2021-01-14 20:49:19.000000,2.4.1,36.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],58709.0,55095.0,https://pypi.org/project/tensorboard,2021-01-14 20:49:19.000000,3614.0,3829884.0,3873786.0,https://anaconda.org/conda-forge/tensorboard,2021-01-15 08:30:57.960000,1712180.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
22,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-02-25 14:09:26.000000,2021-02-25 14:09:26.000000,393,184.0,961.0,1484,3566.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,161.0,36,True,2020-11-06 14:30:54.000000,3.1.0,25.0,h5py,conda-forge/h5py,,,,126486.0,103550.0,https://pypi.org/project/h5py,2020-11-06 14:30:54.000000,22936.0,3642367.0,3721269.0,https://anaconda.org/conda-forge/h5py,2021-01-01 10:48:16.133000,4654156.0,,,,,1.0,863.0,,,,,,,,,,,,,,,,,,,,,
23,Keras,keras-team/keras,,ml-frameworks,https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42.000000,2021-02-25 06:39:36.000000,2021-02-24 18:43:05.000000,18712,3204.0,7234.0,50761,5416.0,Deep Learning for humans.,901.0,35,True,2020-06-24 22:40:48.000000,2.4.3,53.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],14996.0,,https://pypi.org/project/keras,2020-06-24 22:40:48.000000,14996.0,1352727.0,1379885.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:34.254000,1466561.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
24,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-02-19 04:14:18.000000,2021-02-16 19:31:40.000000,6656,251.0,1062.0,23525,1242.0,A toolkit for developing and comparing reinforcement learning algorithms.,273.0,35,True,2020-12-19 00:29:36.000000,0.18.0,92.0,gym,,,,,21699.0,18137.0,https://pypi.org/project/gym,2020-12-19 00:29:36.000000,3562.0,231679.0,231679.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
25,Airflow,apache/airflow,,data-pipelines,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000000,2021-02-25 15:23:15.000000,2021-02-25 15:23:15.000000,8050,1040.0,2044.0,20788,11733.0,"Platform to programmatically author, schedule, and monitor workflows.",1765.0,35,True,2021-02-08 22:50:02.000000,2.0.1,71.0,apache-airflow,conda-forge/airflow,apache/airflow,,,294.0,,https://pypi.org/project/apache-airflow,2021-02-08 22:43:55.000000,294.0,515879.0,651763.0,https://anaconda.org/conda-forge/airflow,2021-02-16 09:49:35.732000,279130.0,https://hub.docker.com/r/apache/airflow,2021-02-25 02:09:24.751067,219.0,8978372.0,1.0,93725.0,stable/airflow,,,,,,,,,,,,,,,,,,,,
26,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-02-25 14:08:14.000000,2021-02-25 14:08:14.000000,7873,250.0,3674.0,20613,5238.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",506.0,35,True,2021-01-20 13:52:38.000000,1.3.3,53.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,15688.0,14096.0,https://pypi.org/project/xgboost,2021-01-20 13:39:06.000000,1592.0,1878325.0,1908059.0,https://anaconda.org/conda-forge/xgboost,2020-12-10 13:41:20.626000,1396433.0,,,,,1.0,1919.0,,,,,,,,,,,,,,,,,,,,,
27,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-02-25 05:11:45.000000,2021-02-24 14:25:01.000000,3176,92.0,2031.0,12216,2372.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",209.0,35,True,2020-12-08 03:00:35.000000,3.1.1,24.0,lightgbm,conda-forge/lightgbm,,,,6347.0,5791.0,https://pypi.org/project/lightgbm,2020-12-08 03:00:35.000000,556.0,1026480.0,1040259.0,https://anaconda.org/conda-forge/lightgbm,2021-02-23 19:15:02.093000,501567.0,,,,,1.0,97316.0,,,,,,,,,,,,,,,,,,,,,
28,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-02-25 06:20:17.000000,2021-02-13 00:31:17.000000,3903,351.0,1256.0,11757,3849.0,Topic Modelling for Humans.,387.0,35,True,2020-05-04 05:55:15.000000,3.8.3,83.0,gensim,conda-forge/gensim,,,,25777.0,21035.0,https://pypi.org/project/gensim,2020-11-15 12:53:37.000000,4742.0,4527376.0,4542160.0,https://anaconda.org/conda-forge/gensim,2020-05-14 08:28:35.604000,604191.0,,,,,1.0,3043.0,,,,,,,,,,,,,,,,,,,,,
29,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-02-21 16:35:28.000000,2021-01-14 02:04:12.000000,1753,818.0,1053.0,8953,4923.0,The interactive graphing library for Python (includes Plotly Express).,162.0,35,True,2021-01-12 17:01:21.000000,4.14.3,265.0,plotly,conda-forge/plotly,,,,4991.0,5.0,https://pypi.org/project/plotly,2021-01-12 16:12:40.000000,4982.0,1983578.0,2252163.0,https://anaconda.org/conda-forge/plotly,2021-01-12 17:11:42.117000,1221133.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,245972.0,,,,,,,,,,,,,,
30,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-02-25 13:53:16.000000,2021-02-24 15:30:45.000000,1220,731.0,2854.0,7962,6350.0,Parallel computing with task scheduling.,426.0,35,True,2021-02-05 19:29:50.000000,2021.2.0,112.0,dask,conda-forge/dask,,,,29416.0,25500.0,https://pypi.org/project/dask,2021-02-05 19:29:50.000000,3916.0,1218858.0,1271616.0,https://anaconda.org/conda-forge/dask,2021-02-06 12:05:38.376000,3007260.0,,,,,1.0,,stable/dask,,,,,,,,,,,,,,,,,,,,
31,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-02-25 15:09:28.000000,2021-02-25 05:01:47.000000,1802,136.0,566.0,7239,8625.0,Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-..,629.0,35,True,2021-01-26 01:05:45.000000,3.0.0,30.0,pyarrow,conda-forge/arrow,,,,1018.0,32.0,https://pypi.org/project/pyarrow,2021-01-26 01:05:45.000000,986.0,10824303.0,10832708.0,https://anaconda.org/conda-forge/arrow,2021-01-12 20:46:01.093000,479100.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
32,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-02-09 20:01:33.000000,2021-02-09 16:47:12.000000,286,291.0,354.0,2353,1367.0,Computing with Python functions.,98.0,35,True,2021-02-09 16:46:29.000000,1.0.1,100.0,joblib,conda-forge/joblib,,,,90604.0,83994.0,https://pypi.org/project/joblib,2021-02-09 16:46:29.000000,6610.0,10674679.0,10735855.0,https://anaconda.org/conda-forge/joblib,2021-02-09 19:26:28.194000,3364699.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
33,dash,plotly/dash,,data-viz,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000000,2021-02-22 17:45:01.000000,2021-02-15 19:52:46.000000,1414,405.0,561.0,14010,3543.0,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.",74.0,34,True,2021-01-20 00:00:50.000000,1.19.0,137.0,dash,conda-forge/dash,,,,19303.0,17695.0,https://pypi.org/project/dash,2021-01-19 23:50:28.000000,1608.0,167241.0,173878.0,https://anaconda.org/conda-forge/dash,2021-01-21 16:17:38.594000,219033.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
34,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-02-25 01:55:45.000000,2021-02-24 23:15:39.000000,1708,954.0,507.0,11830,1844.0,A game theoretic approach to explain the output of any machine learning model.,152.0,34,True,2021-01-15 18:02:54.000000,0.38.1,93.0,shap,conda-forge/shap,,,,2187.0,2051.0,https://pypi.org/project/shap,2021-01-15 21:02:34.000000,136.0,742772.0,755985.0,https://anaconda.org/conda-forge/shap,2020-12-16 19:26:39.477000,396416.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
35,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-02-25 12:21:09.000000,2021-02-10 00:34:01.000000,2434,233.0,1224.0,9655,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,387.0,34,True,2019-08-20 10:55:21.000000,3.4.5,39.0,nltk,conda-forge/nltk,,,,111260.0,90268.0,https://pypi.org/project/nltk,2020-04-12 23:46:10.000000,20992.0,3700699.0,3712314.0,https://anaconda.org/conda-forge/nltk,2019-08-08 17:07:46.504000,627227.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
36,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-01-27 07:16:52.000000,2020-09-05 10:39:50.000000,2501,674.0,2083.0,9362,28123.0,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-..",382.0,34,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,15776.0,10302.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,116464.0,140638.0,https://anaconda.org/conda-forge/theano,2021-01-21 21:14:21.756000,1329621.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
37,xlrd,python-excel/xlrd,,data-loading,https://github.com/python-excel/xlrd,https://github.com/python-excel/xlrd,BSD-3-Clause,2012-03-07 04:50:48.000000,2021-01-09 20:35:27.639000,2020-12-12 15:24:25.000000,406,3.0,,1864,502.0,Please use openpyxl where you can...,50.0,34,True,2020-12-11 10:14:20.000000,2.0.1,24.0,xlrd,conda-forge/xlrd,,,,78292.0,64718.0,https://pypi.org/project/xlrd,2020-12-11 10:14:20.000000,13574.0,3862089.0,3888229.0,https://anaconda.org/conda-forge/xlrd,2021-01-09 20:35:27.639000,1228600.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
38,dask.distributed,dask/distributed,,distributed-ml,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000000,2021-02-25 14:26:10.000000,2021-02-24 18:39:47.000000,511,741.0,1274.0,1149,3805.0,A distributed task scheduler for Dask.,227.0,34,True,2021-02-05 19:40:27.000000,2021.2.0,143.0,distributed,conda-forge/distributed,,,,18600.0,16822.0,https://pypi.org/project/distributed,2021-02-05 19:40:27.000000,1778.0,823543.0,889467.0,https://anaconda.org/conda-forge/distributed,2021-02-06 03:40:27.263000,3757711.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
