,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,snap_id,dnf_id,yay_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
10,XGBoost,dmlc/xgboost,,ml-frameworks,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000000,2021-12-30 12:12:25.000000,2021-12-30 12:12:25.000000,8246,308.0,3981.0,22052.0,5596.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",545.0,38,True,2021-11-24 19:51:13.000000,1.5.1,60.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,26922.0,25330.0,https://pypi.org/project/xgboost,2021-11-24 19:51:13.000000,1592.0,8412068.0,8450288.0,https://anaconda.org/conda-forge/xgboost,2021-11-20 17:37:18.728000,2176408.0,,,,,1.0,,3570.0,,,,,,,,,,,,,,,,,,,
11,spaCy,explosion/spaCy,,nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000000,2021-12-30 12:46:00.000000,2021-12-29 10:41:29.000000,3654,102.0,4878.0,22037.0,15214.0,Industrial-strength Natural Language Processing (NLP) in Python.,644.0,38,True,2021-12-07 16:30:56.000000,3.2.1,189.0,spacy,conda-forge/spacy,,,,36324.0,33258.0,https://pypi.org/project/spacy,2021-12-15 15:54:05.638000,3066.0,5907767.0,5951205.0,https://anaconda.org/conda-forge/spacy,2021-12-14 12:41:39.668000,2516504.0,,,,,1.0,,3104.0,,,,,,,,,,,,,,,,,,,
12,numpy,numpy/numpy,,data-containers,https://github.com/numpy/numpy,https://github.com/numpy/numpy,BSD-3-Clause,2010-09-13 23:02:39.000000,2021-12-30 10:22:14.000000,2021-12-28 22:24:13.000000,6288,2293.0,8142.0,19197.0,,The fundamental package for scientific computing with Python.,1378.0,38,True,2021-12-20 00:58:47.000000,1.21.5,119.0,numpy,conda-forge/numpy,,,,1093951.0,924229.0,https://pypi.org/project/numpy,2021-12-19 23:58:44.000000,169722.0,85587611.0,86002343.0,https://anaconda.org/conda-forge/numpy,2021-12-21 11:54:25.200000,27306293.0,,,,,1.0,,437742.0,,,,,,,,,,,,,,,,,,,
13,Matplotlib,matplotlib/matplotlib,,data-viz,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,Python-2.0,2011-02-19 03:17:12.000000,2021-12-30 10:11:24.000000,2021-12-29 21:08:57.000000,6167,1738.0,6757.0,14778.0,,matplotlib: plotting with Python.,1319.0,38,True,2021-12-11 08:22:08.000000,3.5.1,90.0,matplotlib,conda-forge/matplotlib,,,,558120.0,479016.0,https://pypi.org/project/matplotlib,2021-12-11 08:22:08.000000,79104.0,24878225.0,25020099.0,https://anaconda.org/conda-forge/matplotlib,2021-12-13 20:23:04.086000,10640608.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,Seaborn,mwaskom/seaborn,,data-viz,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000000,2021-12-30 01:16:45.000000,2021-11-27 18:58:32.000000,1489,97.0,1851.0,9025.0,2812.0,Statistical data visualization in Python.,161.0,38,True,2021-08-16 00:42:18.000000,0.11.2,25.0,seaborn,conda-forge/seaborn,,,,144585.0,131799.0,https://pypi.org/project/seaborn,2021-08-16 00:42:18.000000,12786.0,6218124.0,6268090.0,https://anaconda.org/conda-forge/seaborn,2021-08-16 06:42:17.619000,3197699.0,,,,,1.0,,209.0,,,,,,,,,,,,,,,,,,,
15,scikit-learn,scikit-learn/scikit-learn,,ml-frameworks,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000000,2021-12-30 14:00:02.000000,2021-12-30 11:16:41.000000,22434,2478.0,7377.0,48400.0,,scikit-learn: machine learning in Python.,2433.0,37,True,2021-12-25 20:30:08.000000,1.0.2,60.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],335780.0,297892.0,https://pypi.org/project/scikit-learn,2021-12-25 20:30:08.000000,37888.0,23255797.0,23417093.0,https://anaconda.org/conda-forge/scikit-learn,2021-12-26 01:02:52.879000,10806095.0,,,,,1.0,,759.0,,,,,,,,,,,,,,,,,,,
16,PySpark,apache/spark,,ml-frameworks,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000000,2021-12-30 13:50:36.000000,2021-12-30 13:18:49.000000,24892,244.0,,31699.0,32028.0,Apache Spark Python API.,2595.0,37,True,2021-10-18 08:17:19.000000,3.2.0,27.0,pyspark,conda-forge/pyspark,,,['spark'],760.0,,https://pypi.org/project/pyspark,2021-10-18 08:17:19.000000,760.0,15032816.0,15057398.0,https://anaconda.org/conda-forge/pyspark,2021-10-18 11:47:59.356000,1401192.0,,,,,1.0,,,stable/spark,,,,,,,,,,,,,,,,,,
17,Arrow,apache/arrow,,data-containers,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23.000000,2021-12-30 14:21:29.000000,2021-12-30 11:46:57.000000,2132,182.0,685.0,8881.0,10629.0,Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing.,782.0,37,True,2021-10-26 15:00:11.000000,6.0.0,35.0,pyarrow,conda-forge/arrow,,,,1046.0,60.0,https://pypi.org/project/pyarrow,2021-11-18 03:54:39.000000,986.0,32230168.0,32242849.0,https://anaconda.org/conda-forge/arrow,2021-10-26 15:18:02.635000,849663.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,SymPy,sympy/sympy,,others,https://github.com/sympy/sympy,https://github.com/sympy/sympy,BSD-3-Clause,2010-04-30 20:37:14.000000,2021-12-30 12:36:20.000000,2021-12-29 15:30:07.000000,3508,4242.0,7723.0,8718.0,49674.0,A computer algebra system written in pure Python.,1119.0,37,True,2021-10-08 23:27:06.000000,sympy-1.9,40.0,sympy,conda-forge/sympy,,,,44564.0,38142.0,https://pypi.org/project/sympy,2021-10-08 23:29:29.000000,6422.0,2008852.0,2040423.0,https://anaconda.org/conda-forge/sympy,2021-11-06 22:30:34.086000,1822930.0,,,,,1.0,,440823.0,,,,,,,,,,,,,,,,,,,
19,Tensorboard,tensorflow/tensorboard,,ml-experiments,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000000,2021-12-22 19:32:45.000000,2021-12-22 15:23:34.000000,1456,554.0,1059.0,5727.0,4899.0,TensorFlow's Visualization Toolkit.,275.0,37,True,2021-10-13 16:17:43.000000,2.7.0,39.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],93237.0,89623.0,https://pypi.org/project/tensorboard,2021-10-13 16:17:43.000000,3614.0,12262814.0,12317967.0,https://anaconda.org/conda-forge/tensorboard,2021-11-10 21:16:52.072000,2702520.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,OpenAI Gym,openai/gym,,reinforcement-learning,https://github.com/openai/gym,https://github.com/openai/gym,MIT,2016-04-27 14:59:16.000000,2021-12-29 22:11:57.000000,2021-12-22 23:51:33.000000,7337,118.0,1348.0,26086.0,1460.0,A toolkit for developing and comparing reinforcement learning algorithms.,333.0,36,True,2021-10-06 22:04:25.000000,0.21.0,96.0,gym,,,,,28918.0,25356.0,https://pypi.org/project/gym,2021-10-06 22:04:25.000000,3562.0,1013741.0,1013741.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
21,shap,slundberg/shap,,interpretability,https://github.com/slundberg/shap,https://github.com/slundberg/shap,MIT,2016-11-22 19:17:08.000000,2021-12-26 13:15:20.000000,2021-12-04 17:24:08.000000,2204,1229.0,566.0,14980.0,2011.0,A game theoretic approach to explain the output of any machine learning model.,162.0,36,True,2021-10-20 18:36:57.000000,0.40.0,94.0,shap,conda-forge/shap,,,,4256.0,4120.0,https://pypi.org/project/shap,2021-10-20 19:13:31.000000,136.0,4441970.0,4460305.0,https://anaconda.org/conda-forge/shap,2021-10-24 14:05:16.285000,733413.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
22,LightGBM,microsoft/LightGBM,,ml-frameworks,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000000,2021-12-30 07:57:40.000000,2021-12-30 05:12:00.000000,3433,163.0,2362.0,13331.0,2840.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",248.0,36,True,2021-10-27 23:58:39.000000,3.3.1,27.0,lightgbm,conda-forge/lightgbm,,,,11079.0,10523.0,https://pypi.org/project/lightgbm,2021-10-27 23:58:39.000000,556.0,10342669.0,10360943.0,https://anaconda.org/conda-forge/lightgbm,2021-11-20 15:50:31.621000,843388.0,,,,,1.0,,132298.0,,,,,,,,,,,,,,,,,,,
23,gensim,RaRe-Technologies/gensim,,nlp,https://github.com/RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,LGPL-2.1,2011-02-10 07:43:04.000000,2021-12-27 15:56:52.000000,2021-12-24 02:18:28.000000,4094,380.0,1360.0,12794.0,4263.0,Topic Modelling for Humans.,417.0,36,True,2021-09-18 14:21:47.000000,4.1.2,89.0,gensim,conda-forge/gensim,,,,34110.0,29368.0,https://pypi.org/project/gensim,2021-09-17 00:24:57.000000,4742.0,10100225.0,10115163.0,https://anaconda.org/conda-forge/gensim,2021-11-09 13:39:50.380000,759454.0,,,,,1.0,,3501.0,,,,,,,,,,,,,,,,,,,
24,Plotly,plotly/plotly.py,,data-viz,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000000,2021-12-25 19:29:13.000000,2021-12-21 03:49:19.000000,2078,1036.0,1160.0,10745.0,5375.0,The interactive graphing library for Python (includes Plotly Express).,191.0,36,True,2021-12-21 03:50:17.000000,5.5.0,276.0,plotly,conda-forge/plotly,,,,4995.0,9.0,https://pypi.org/project/plotly,2021-12-21 03:47:21.000000,4982.0,7550654.0,7637368.0,https://anaconda.org/conda-forge/plotly,2021-12-21 05:39:52.763000,2138129.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133000,4.0,53306.0,,,,,,,,,,,,,
25,joblib,joblib/joblib,,data-pipelines,https://github.com/joblib/joblib,https://github.com/joblib/joblib,BSD-3-Clause,2010-05-07 06:48:26.000000,2021-12-10 08:11:05.000000,2021-11-08 20:50:44.000000,315,332.0,376.0,2629.0,1385.0,Computing with Python functions.,106.0,36,True,2021-10-07 14:42:42.000000,1.1.0,102.0,joblib,conda-forge/joblib,,,,157786.0,151176.0,https://pypi.org/project/joblib,2021-10-07 14:42:42.000000,6610.0,25177910.0,25279456.0,https://anaconda.org/conda-forge/joblib,2021-10-07 20:15:36.705000,6600511.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
26,h5py,h5py/h5py,,data-containers,https://github.com/h5py/h5py,https://github.com/h5py/h5py,BSD-3-Clause,2012-09-21 00:40:02.000000,2021-12-23 07:07:15.000000,2021-12-18 21:53:00.000000,431,221.0,1056.0,1649.0,3857.0,HDF5 for Python -- The h5py package is a Pythonic interface to the HDF5 binary data format.,172.0,36,True,2021-11-16 13:35:22.000000,3.6.0,31.0,h5py,conda-forge/h5py,,,,167006.0,144070.0,https://pypi.org/project/h5py,2021-11-16 13:35:22.000000,22936.0,11001974.0,11100799.0,https://anaconda.org/conda-forge/h5py,2021-11-26 22:25:41.747000,6817023.0,,,,,2.0,,1646.0,,,,,,,,,,,,,,,,,,,
27,pytorch-lightning,PyTorchLightning/pytorch-lightning,,ml-frameworks,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000000,2021-12-30 10:02:20.000000,2021-12-28 01:20:57.000000,2048,479.0,3983.0,16738.0,6317.0,"The lightweight PyTorch wrapper for high-performance AI research. Scale your models, not the boilerplate.",593.0,35,True,2021-12-21 18:44:58.000000,1.5.7,200.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],6189.0,6175.0,https://pypi.org/project/pytorch-lightning,2021-12-21 18:44:58.000000,14.0,793395.0,814988.0,https://anaconda.org/conda-forge/pytorch-lightning,2021-12-21 20:18:18.340000,385644.0,,,,,2.0,,4926.0,,,,,,,,,,,,,,,,,,,
28,onnx,onnx/onnx,,model-serialisation,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000000,2021-12-24 02:24:04.000000,2021-12-17 18:37:19.000000,2255,481.0,1316.0,11867.0,1863.0,Open standard for machine learning interoperability.,217.0,35,True,2021-10-26 19:14:09.000000,1.10.2,24.0,onnx,conda-forge/onnx,,,,5386.0,5090.0,https://pypi.org/project/onnx,2021-10-26 19:14:09.000000,296.0,1205896.0,1213037.0,https://anaconda.org/conda-forge/onnx,2021-12-14 07:56:56.053000,332991.0,,,,,1.0,,17333.0,,,,,,,,,,,,,,,,,,,
29,nltk,nltk/nltk,,nlp,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000000,2021-12-29 13:04:08.000000,2021-12-29 13:03:52.000000,2536,205.0,1368.0,10332.0,,Suite of libraries and programs for symbolic and statistical natural language processing for English.,412.0,35,True,2021-12-28 23:28:57.000000,3.6.7,49.0,nltk,conda-forge/nltk,,,,146116.0,125124.0,https://pypi.org/project/nltk,2021-12-28 23:28:57.000000,20992.0,9182670.0,9199665.0,https://anaconda.org/conda-forge/nltk,2021-12-29 03:25:44.981000,1087703.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
30,networkx,networkx/networkx,,graph,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000000,2021-12-28 16:41:50.000000,2021-12-28 16:41:50.000000,2451,327.0,2453.0,10097.0,,Network Analysis in Python.,561.0,35,True,2021-09-09 22:09:39.000000,2.6.3,70.0,networkx,conda-forge/networkx,,,,114865.0,94047.0,https://pypi.org/project/networkx,2021-12-15 13:42:18.312000,20818.0,15768511.0,15852734.0,https://anaconda.org/conda-forge/networkx,2021-10-26 12:59:30.009000,5221864.0,,,,,1.0,,57.0,,,,,,,,,,,,,,,,,,,
31,Theano,Theano/Theano,,ml-frameworks,https://github.com/Theano/Theano,https://github.com/Theano/Theano,BSD-3-Clause,2011-08-10 03:48:06.000000,2021-12-01 00:24:43.000000,2021-11-23 08:52:10.000000,2509,679.0,2086.0,9500.0,28127.0,"Theano was a Python library that allows you to define, optimize, and evaluate mathematical expressions involving..",384.0,35,True,2020-07-27 16:13:54.000000,1.0.5,45.0,theano,conda-forge/theano,,,,17403.0,11929.0,https://pypi.org/project/theano,2020-07-27 16:13:54.000000,5474.0,223118.0,250821.0,https://anaconda.org/conda-forge/theano,2021-11-10 16:59:17.809000,1800740.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
32,pydeck,visgl/deck.gl,,geospatial-data,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000000,2021-12-30 09:39:26.744000,2021-12-30 09:36:56.000000,1702,131.0,2202.0,9328.0,3898.0,WebGL2 powered visualization framework.,187.0,35,True,2021-12-09 17:45:11.000000,8.6.5,509.0,pydeck,conda-forge/pydeck,,,['jupyter'],3972.0,3410.0,https://pypi.org/project/pydeck,2021-10-25 17:38:40.000000,2.0,609778.0,836042.0,https://anaconda.org/conda-forge/pydeck,2021-10-26 00:42:05.329000,63877.0,,,,,1.0,,,,deck.gl,https://www.npmjs.com/package/deck.gl,2021-12-30 09:39:26.744000,560.0,223361.0,,,,,,,,,,,,,
33,Pillow,python-pillow/Pillow,,image,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000000,2021-12-30 08:39:08.000000,2021-12-30 08:39:08.000000,1733,174.0,2233.0,9275.0,,The friendly PIL fork (Python Imaging Library).,378.0,35,True,2021-10-15 08:16:09.000000,8.4.0,84.0,Pillow,conda-forge/pillow,,,,111426.0,,https://pypi.org/project/Pillow,2021-10-15 08:10:15.000000,111426.0,32270469.0,32447330.0,https://anaconda.org/conda-forge/pillow,2021-11-10 16:07:31.860000,12026588.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,Ray,ray-project/ray,,distributed-ml,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000000,2021-12-30 11:36:47.000000,2021-12-30 07:44:06.000000,3147,2164.0,6878.0,18656.0,10803.0,"An open source framework that provides a simple, universal API for building distributed applications. Ray is packaged..",608.0,34,True,2021-12-22 00:59:29.000000,ray-1.9.1,62.0,ray,,,,,3780.0,3620.0,https://pypi.org/project/ray,2021-12-22 00:56:20.000000,160.0,765549.0,765549.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
35,luigi,spotify/luigi,,data-pipelines,https://github.com/spotify/luigi,https://github.com/spotify/luigi,Apache-2.0,2012-09-20 15:06:38.000000,2021-12-30 09:04:57.000000,2021-12-28 02:22:14.000000,2314,103.0,851.0,15257.0,4013.0,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution,..",570.0,34,True,2021-11-06 14:59:15.000000,3.0.3,73.0,luigi,luigi,,,,2293.0,1617.0,https://pypi.org/project/luigi,2020-09-23 11:57:12.000000,676.0,601544.0,601668.0,https://anaconda.org/anaconda/luigi,2021-04-17 18:49:18.708000,8723.0,,,,,1.0,,,stable/luigi,,,,,,0.0,,,,,,,,,,,,
36,dask,dask/dask,,distributed-ml,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000000,2021-12-28 09:29:57.000000,2021-12-22 14:34:08.000000,1406,752.0,3380.0,9339.0,,Parallel computing with task scheduling.,491.0,34,True,2021-12-10 19:50:17.000000,2021.12.0,133.0,dask,conda-forge/dask,,,,36537.0,32621.0,https://pypi.org/project/dask,2021-12-10 19:50:17.000000,3916.0,4883073.0,4954171.0,https://anaconda.org/conda-forge/dask,2021-12-11 02:29:38.463000,4763613.0,,,,,1.0,,,stable/dask,,,,,,,,,,,,,,,,,,
37,rq,rq/rq,,data-pipelines,https://github.com/rq/rq,https://github.com/rq/rq,BSD-3-Clause,2011-11-14 10:53:48.000000,2021-12-14 14:40:21.000000,2021-12-11 11:36:16.000000,1261,169.0,772.0,8080.0,1618.0,Simple job queues for Python.,249.0,34,True,2021-12-07 12:48:17.000000,1.10.1,68.0,rq,conda-forge/rq,,,,12647.0,9323.0,https://pypi.org/project/rq,2021-12-07 12:46:58.000000,3324.0,457813.0,458832.0,https://anaconda.org/conda-forge/rq,2021-06-30 09:49:43.099000,66275.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
38,Altair,altair-viz/altair,,data-viz,https://github.com/altair-viz/altair,https://github.com/altair-viz/altair,BSD-3-Clause,2015-09-19 03:14:04.000000,2021-12-29 17:47:26.885000,2021-12-29 13:37:47.000000,630,240.0,1346.0,7176.0,3109.0,Declarative statistical visualization library for Python.,133.0,34,True,2021-12-29 13:30:58.000000,4.2.0,28.0,altair,conda-forge/altair,,,,20487.0,20117.0,https://pypi.org/project/altair,2021-12-29 13:25:37.000000,370.0,3828486.0,3844588.0,https://anaconda.org/conda-forge/altair,2021-12-29 17:47:26.885000,1046635.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
