,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,helm_id,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,dnf_id,yay_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count
14,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-04-23 20:28:02.000000,2025-04-23 20:28:01,11474.0,162.0,19573.0,1901.0,7993.0,308.0,12179.0,62915.0,Deep Learning for humans.,1402.0,47,True,2025-04-02 20:22:14.000,3.9.2,108.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],1794.0,,https://pypi.org/project/keras,2025-04-02 19:03:07.000,1794.0,14682036.0,14751865.0,https://anaconda.org/conda-forge/keras,2025-04-22 14:56:26.303,4050100.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-04-24 14:37:06.000000,2025-04-24 04:57:37,24930.0,1236.0,6189.0,482.0,32192.0,4457.0,16225.0,36724.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1209.0,47,True,2025-03-27 17:13:14.000,ray-2.44.1,126.0,ray,conda-forge/ray-tune,,,,24168.0,23244.0,https://pypi.org/project/ray,2025-03-27 16:47:43.000,924.0,6655079.0,6669385.0,https://anaconda.org/conda-forge/ray-tune,2025-04-22 14:57:41.621,743833.0,,,,,1.0,251.0,,,,,,,,,,,,,,,,,,,
16,Streamlit,streamlit/streamlit,others,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-04-24 14:26:57.000000,2025-04-24 00:03:54,7501.0,497.0,3406.0,326.0,6017.0,1141.0,3998.0,38998.0,Streamlit A faster way to build and share data apps.,379.0,46,True,2025-04-01 20:36:24.000,1.44.1,242.0,streamlit,,,,,864587.0,861071.0,https://pypi.org/project/streamlit,2025-04-01 20:36:16.000,3516.0,9922408.0,9922408.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2025-04-23 16:46:01.000000,2025-04-23 16:46:01,7409.0,99.0,8766.0,906.0,5949.0,448.0,5062.0,26856.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",660.0,46,True,2025-03-15 13:45:01.000,3.0.0,88.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,151097.0,148769.0,https://pypi.org/project/xgboost,2025-03-15 13:45:01.000,2328.0,24886714.0,24992749.0,https://anaconda.org/conda-forge/xgboost,2025-04-22 14:56:33.345,6037240.0,,,,,1.0,15883.0,,,,,,,,,,,,,,,,,,,
18,dash,plotly/dash,data-viz,,https://github.com/plotly/dash,https://github.com/plotly/dash,MIT,2015-04-10 01:53:08.000,2025-04-24 14:45:17.000000,2025-04-24 12:49:57,8292.0,344.0,2133.0,423.0,1250.0,549.0,1428.0,22337.0,Data Apps & Dashboards for Python. No JavaScript Required.,176.0,46,True,2025-04-14 18:12:49.000,3.0.3,190.0,dash,conda-forge/dash,,,,85390.0,83788.0,https://pypi.org/project/dash,2025-04-14 18:10:19.000,1602.0,5523250.0,5553975.0,https://anaconda.org/conda-forge/dash,2025-04-22 14:56:50.273,1782023.0,,,,,1.0,88.0,,,,,,,,,,,,,,,,,,,
19,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2025-04-23 15:01:54.000000,2025-04-22 14:27:42,7803.0,357.0,2630.0,277.0,1862.0,650.0,2541.0,17044.0,The interactive graphing library for Python.,285.0,46,True,2025-03-17 15:02:47.000,6.0.1,304.0,plotly,conda-forge/plotly,,,,417580.0,409750.0,https://pypi.org/project/plotly,2025-03-31 18:47:11.000,7821.0,23135113.0,23347169.0,https://anaconda.org/conda-forge/plotly,2025-04-22 14:56:26.042,9156776.0,,,,,1.0,164.0,plotlywidget,https://www.npmjs.com/package/plotlywidget,2021-01-12 16:09:46.133,9.0,56856.0,,,,,,,,,,,,,,
20,jax,google/jax,ml-frameworks,,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,Apache-2.0,2018-10-25 21:25:02.000,2025-04-24 14:04:12.000000,2025-04-24 14:01:33,27275.0,2017.0,2978.0,327.0,18953.0,1485.0,4661.0,32035.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",862.0,45,True,2025-04-17 00:04:02.000,jax-v0.6.0,177.0,jax,conda-forge/jaxlib,,,,44301.0,41873.0,https://pypi.org/project/jax,2025-04-17 00:00:18.000,2428.0,8419110.0,8462768.0,https://anaconda.org/conda-forge/jaxlib,2025-04-22 14:57:08.015,2532220.0,,,,,1.0,,,,,,,jax-ml/jax,,,,,,,,,,,,,
21,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2025-04-24 14:12:15.000000,2025-04-24 14:12:15,53671.0,950.0,5715.0,715.0,53501.0,1791.0,17700.0,22705.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1370.0,45,True,2025-03-31 01:41:13.000,3.0.0,74.0,paddlepaddle,,,,['paddle'],8074.0,7846.0,https://pypi.org/project/paddlepaddle,2025-03-26 08:17:50.000,228.0,404974.0,405122.0,,,,,,,,1.0,15432.0,,,,,,,,,,,,,,,,,,,
22,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-04-24 11:30:51.000000,2025-04-24 11:16:19,20761.0,89.0,4214.0,434.0,6329.0,807.0,7142.0,19790.0,"Interactive Data Visualization in the browser, from Python.",710.0,45,True,2025-03-28 08:06:33.000,3.7.2,237.0,bokeh,conda-forge/bokeh,,,,102824.0,100910.0,https://pypi.org/project/bokeh,2025-03-28 08:06:33.000,1914.0,3744374.0,4026758.0,https://anaconda.org/conda-forge/bokeh,2025-04-22 14:56:34.327,16378328.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2025-04-22 14:56:27.119000,2025-03-15 01:00:12,14735.0,34.0,2887.0,459.0,1516.0,276.0,1593.0,14011.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,470.0,45,True,2024-08-18 19:48:21.000,3.9.1,63.0,nltk,conda-forge/nltk,,,,384388.0,379691.0,https://pypi.org/project/nltk,2024-08-18 19:48:21.000,4697.0,32784534.0,32848492.0,https://anaconda.org/conda-forge/nltk,2025-04-22 14:56:27.119,3133974.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
24,PySpark,apache/spark,ml-frameworks,,https://github.com/apache/spark,https://github.com/apache/spark,Apache-2.0,2014-02-25 08:00:08.000,2025-04-24 11:21:46.000000,2025-04-24 11:21:41,44238.0,828.0,28469.0,2017.0,50661.0,209.0,,40989.0,Apache Spark Python API.,3218.0,44,True,2025-02-27 09:16:31.000,3.5.5,51.0,pyspark,conda-forge/pyspark,,,['spark'],1805.0,,https://pypi.org/project/pyspark,2025-02-27 09:16:31.000,1805.0,42142851.0,42208577.0,https://anaconda.org/conda-forge/pyspark,2025-04-22 14:56:33.311,3812123.0,,,,,2.0,,,,,,,,stable/spark,-1.0,,,,,,,,,,,
25,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2025-04-24 14:26:23.000000,2025-04-23 18:49:40,7664.0,278.0,2864.0,183.0,5080.0,477.0,5120.0,37640.0,"Wrap UIs around any model, share with anyone.",567.0,44,True,2025-04-23 16:53:07.000,5.26.0,639.0,gradio,,,,,70869.0,69684.0,https://pypi.org/project/gradio,2025-04-23 16:53:07.000,1185.0,9375194.0,9375194.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2025-04-24 14:05:26.000000,2025-04-24 10:05:37,10567.0,65.0,3479.0,253.0,10443.0,919.0,6373.0,29354.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",1010.0,44,True,2025-03-19 20:28:20.000,2.5.1,286.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],46597.0,44968.0,https://pypi.org/project/pytorch-lightning,2025-03-19 20:28:20.000,1629.0,8288001.0,8314319.0,https://anaconda.org/conda-forge/pytorch-lightning,2025-04-22 14:57:27.508,1510818.0,,,,,2.0,11892.0,,,,,,Lightning-AI/pytorch-lightning,,,,,,,,,,,,,
27,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2025-04-24 14:22:11.000000,2025-04-24 11:14:57,7541.0,470.0,4483.0,307.0,10914.0,1818.0,2791.0,20286.0,Open source platform for the machine learning lifecycle.,841.0,44,True,2025-04-24 09:56:38.000,2.22.0,135.0,mlflow,conda-forge/mlflow,,,,59443.0,58380.0,https://pypi.org/project/mlflow,2025-04-24 09:11:38.000,1063.0,15739608.0,15793794.0,https://anaconda.org/conda-forge/mlflow,2025-04-22 14:57:04.066,3142831.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
28,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,BSD-3-Clause,2010-09-06 00:53:44.000,2025-04-22 14:56:28.978000,2025-04-21 23:56:49,7961.0,92.0,3257.0,281.0,4098.0,344.0,3085.0,15666.0,Network Analysis in Python.,774.0,44,True,2024-10-21 12:40:41.000,networkx-3.4.2,98.0,networkx,conda-forge/networkx,,,,400635.0,391005.0,https://pypi.org/project/networkx,2024-10-21 12:39:36.000,9630.0,86092138.0,86477905.0,https://anaconda.org/conda-forge/networkx,2025-04-22 14:56:28.978,21602993.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,,
29,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2025-04-24 10:55:44.000000,2025-04-24 10:55:44,9542.0,112.0,1757.0,212.0,6265.0,1125.0,4401.0,13143.0,Parallel computing with task scheduling.,621.0,44,True,2025-04-22 18:32:34.000,2025.4.0,218.0,dask,conda-forge/dask,,,,76268.0,73416.0,https://pypi.org/project/dask,2025-04-22 18:32:34.000,2852.0,11396396.0,11617297.0,https://anaconda.org/conda-forge/dask,2025-04-22 20:56:19.506,13033176.0,,,,,1.0,,,,,,,,stable/dask,,,,,,,,,,,,
30,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2025-04-22 14:56:24.492000,2025-04-02 08:10:43,15692.0,50.0,3091.0,285.0,4005.0,2851.0,2829.0,10604.0,Statsmodels: statistical modeling and econometrics in Python.,454.0,44,True,2024-10-03 16:13:31.000,0.14.4,39.0,statsmodels,conda-forge/statsmodels,,,,170176.0,165707.0,https://pypi.org/project/statsmodels,2024-10-03 16:13:31.000,4469.0,16731907.0,17052767.0,https://anaconda.org/conda-forge/statsmodels,2025-04-22 14:56:24.492,18609898.0,,,,,2.0,35.0,,,,,,,,,,,,,,,,,,,
31,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2025-04-22 14:56:32.571000,2025-04-11 18:56:52,16228.0,8.0,4485.0,563.0,4049.0,198.0,5527.0,31455.0,Industrial-strength Natural Language Processing (NLP) in Python.,764.0,43,True,2025-04-01 21:03:46.000,3.8.5,240.0,spacy,conda-forge/spacy,,,,130594.0,127541.0,https://pypi.org/project/spacy,2025-04-01 21:03:46.000,3053.0,18204704.0,18304417.0,https://anaconda.org/conda-forge/spacy,2025-04-22 14:56:32.571,5781920.0,,,,,1.0,2219.0,,,,,,,,,,,,,,,,,,,
32,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2025-04-24 06:27:44.000000,2025-04-24 06:27:44,21607.0,2425.0,2691.0,114.0,4907.0,1672.0,3814.0,21265.0,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI,..",489.0,43,True,2025-04-24 06:01:04.000,1.67.3.de1,1132.0,litellm,,,,others,12246.0,11158.0,https://pypi.org/project/litellm,2025-04-24 05:09:37.000,1088.0,7448248.0,7448565.0,,,,,,,,1.0,634.0,,,,,,,,-1.0,,,,,,,,,,,
33,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2025-04-24 11:02:26.000000,2025-04-24 11:02:26,1827.0,190.0,2574.0,144.0,701.0,1248.0,1145.0,16551.0,State-of-the-Art Text Embeddings.,222.0,43,True,2025-04-15 13:47:13.000,4.1.0,65.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],97892.0,95508.0,https://pypi.org/project/sentence-transformers,2025-04-15 13:46:12.000,2384.0,8926629.0,8938662.0,https://anaconda.org/conda-forge/sentence-transformers,2025-04-22 14:57:36.121,661837.0,,,,,1.0,,,,,,,,,-1.0,,,,,,,,,,,
34,triton,openai/triton,model-serialisation,,https://github.com/triton-lang/triton,https://github.com/triton-lang/triton,MIT,2014-08-30 17:07:16.000,2025-04-24 14:28:52.000000,2025-04-24 10:16:22,3803.0,538.0,1912.0,198.0,4664.0,745.0,998.0,15339.0,Development repository for the Triton language and compiler.,389.0,43,True,2025-04-09 20:27:25.000,3.3.0,198.0,triton,,,,,63764.0,63369.0,https://pypi.org/project/triton,2025-04-09 20:27:25.000,395.0,22820680.0,22820680.0,,,,,,,,1.0,,,,,,,triton-lang/triton,,,,,,,,,,,,,
35,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2025-04-22 14:56:26.328000,2025-01-26 16:55:13,3242.0,4.0,1949.0,262.0,1141.0,168.0,2456.0,13054.0,Statistical data visualization in Python.,215.0,43,True,2024-01-25 13:21:49.000,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,642485.0,631642.0,https://pypi.org/project/seaborn,2024-01-25 13:21:49.000,10843.0,24781837.0,24997256.0,https://anaconda.org/conda-forge/seaborn,2025-04-22 14:56:26.328,12494136.0,,,,,1.0,473.0,,,,,,,,,,,,,,,,,,,
36,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2025-04-23 21:29:06.000000,2025-04-23 20:58:49,5154.0,77.0,2116.0,1665.0,5072.0,423.0,2776.0,12640.0,WebGL2 powered visualization framework.,286.0,43,True,2025-04-18 11:03:48.824,9.1.11,694.0,pydeck,conda-forge/pydeck,,,['jupyter'],9468.0,8966.0,https://pypi.org/project/pydeck,2025-03-21 15:25:17.000,157.0,8543664.0,9165172.0,https://anaconda.org/conda-forge/pydeck,2025-04-22 14:57:20.802,736470.0,,,,,1.0,,deck.gl,https://www.npmjs.com/package/deck.gl,2025-04-18 11:03:48.824,345.0,608588.0,,,,,,,,,,,,,,
37,Optuna,optuna/optuna,hyperopt,,https://github.com/optuna/optuna,https://github.com/optuna/optuna,MIT,2018-02-21 06:12:56.000,2025-04-23 10:34:08.000000,2025-04-23 10:34:07,19077.0,221.0,1086.0,117.0,3913.0,63.0,1671.0,11798.0,A hyperparameter optimization framework.,292.0,43,True,2025-04-14 05:07:40.000,4.3.0,73.0,optuna,conda-forge/optuna,,,,26614.0,25367.0,https://pypi.org/project/optuna,2025-04-14 05:07:40.000,1247.0,3989184.0,4033558.0,https://anaconda.org/conda-forge/optuna,2025-04-22 14:57:16.783,2573749.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
